阿达日嘎,a'da'ri'ga
佰纳皮鞋,bai'na'pi'xie
白沙塘,bai'sha'tang
白山山,bai'shan'shan
白山子,bai'shan'zi
白石山,bai'shi'shan
柏树坑,bai'shu'keng
白塔塔,bai'ta'ta
白湾,bai'wan
百姓大药房,bai'xing'da'yao'fang
白兴图,bai'xing'tu
白崖子,bai'ya'zi
白杨沟,bai'yang'gou
白渣子,bai'zha'zi
半个山,ban'ge'shan
半截沟,ban'jie'gou
半截井,ban'jie'jing
包疙瘩,bao'ge'da
宝格德乌拉,bao'ge'de'wu'la
包家,bao'jia
保家井,bao'jia'jing
包家山,bao'jia'shan
暴坑,bao'keng
宝日图,bao'ri'tu
报喜鸟,bao'xi'niao
北岔,bei'cha
北村,bei'cun
北大湖,bei'da'hu
北大山,bei'da'shan
北方石油,bei'fang'shi'you
北沟,bei'gou
北汗,bei'han
北猴,bei'hou
北梁,bei'liang
北湾,bei'wan
本巴,ben'ba
本布图,ben'bu'tu
本井站,ben'jing'zhan
本肯,ben'ken
奔坑,ben'keng
本坑,ben'keng
崩空,beng'kong
笔架山,bi'jia'shan
必鲁图,bi'lu'tu
必图,bi'tu
边沟,bian'gou
冰沟,bing'gou
勃勒,bo'le
博日格,bo'ri'ge
布布,bu'bu
布尔特,bu'er'te
布尔图,bu'er'tu
布古图,bu'gu'tu
布拉格,bu'la'ge
布郎,bu'lang
布勒,bu'le
布隆,bu'long
布日德,bu'ri'de
步森,bu'sen
藏布台,cang'bu'tai
曹家圈,cao'jia'quan
策和,ce'he
策开,ce'kai
策克,ce'ke
查干敖包,cha'gan'ao'bao
查干敖包嘎查,cha'gan'ao'bao'ga'cha
查干布拉格,cha'gan'bu'la'ge
查干楚鲁,cha'gan'chu'lu
查干德日斯,cha'gan'de'ri'si
查干沟,cha'gan'gou
查干哈达,cha'gan'ha'da
查干呼舒,cha'gan'hu'shu
查干淖尔,cha'gan'nao'er
查干套海,cha'gan'tao'hai
查干陶勒盖,cha'gan'tao'le'gai
查干通格,cha'gan'tong'ge
查干乌拉,cha'gan'wu'la
查干乌苏,cha'gan'wu'su
岔沟,cha'gou
查哈尔,cha'ha'er
查哈尔滩,cha'ha'er'tan
查克尔,cha'ke'er
岔路口,cha'lu'kou
茶叶沟,cha'ye'gou
柴达木,chai'da'mu
长沟,chang'gou
长沟门,chang'gou'men
长流水,chang'liu'shui
长沙坡,chang'sha'po
长山,chang'shan
长山沟,chang'shan'gou
长信宾馆,chang'xin'bin'guan
长征站,chang'zheng'zhan
陈家房子,chen'jia'fang'zi
陈家泉,chen'jia'quan
乘降所,cheng'jiang'suo
冲吉,chong'ji
臭湖,chou'hu
楚鲁图,chu'lu'tu
出入口,chu'ru'kou
春圈子,chun'quan'zi
茨湖,ci'hu
大白山,da'bai'shan
达彩,da'cai
大槽,da'cao
大车场,da'che'chang
大东沟,da'dong'gou
大富翁,da'fu'weng
达格图,da'ge'tu
达根,da'gen
大沟,da'gou
大沟门,da'gou'men
达海,da'hai
大海子,da'hai'zi
大黑道,da'hei'dao
大红山,da'hong'shan
大黄山,da'huang'shan
大豁豁,da'huo'huo
大井,da'jing
大井沟,da'jing'gou
大井台,da'jing'tai
大口子,da'kou'zi
达拉图,da'la'tu
大岭上,da'ling'shang
大路沟,da'lu'gou
大路塘,da'lu'tang
大麦地,da'mai'di
大峁,da'mao
大磨石沟,da'mo'shi'gou
大坡,da'po
大坡沟,da'po'gou
达其,da'qi
大青山,da'qing'shan
大泉子,da'quan'zi
大沙沟,da'sha'gou
大山口,da'shan'kou
大树,da'shu
大水沟,da'shui'gou
大水井,da'shui'jing
大台子,da'tai'zi
大湾,da'wan
大西沟,da'xi'gou
大崖沟,da'ya'gou
大阳湾,da'yang'wan
大窑,da'yao
大榆树沟,da'yu'shu'gou
大战场,da'zhan'chang
荡海,dang'hai
当海,dang'hai
党山,dang'shan
当山,dang'shan
道蹦,dao'beng
道布,dao'bu
道沟,dao'gou
道沟子,dao'gou'zi
道角,dao'jiao
德勒,de'le
德特,de'te
邓家,deng'jia
电杆沟,dian'gan'gou
丁吉,ding'ji
东坝村,dong'ba'cun
东大山,dong'da'shan
东大塘,dong'da'tang
东风农场,dong'feng'nong'chang
东旮旯,dong'ga'la
东沟,dong'gou
东沟门,dong'gou'men
东关村,dong'guan'cun
东关队,dong'guan'dui
东海子,dong'hai'zi
东井,dong'jing
东坑,dong'keng
冬青湖,dong'qing'hu
东山宾馆,dong'shan'bin'guan
陡沟子,dou'gou'zi
都贵,dou'gui
都拉嘎,dou'la'ga
都兰,dou'lan
都兰山,dou'lan'shan
都台,dou'tai
都特,dou'te
都希,dou'xi
独青山,du'qing'shan
独山子,du'shan'zi
都图,du'tu
短沟,duan'gou
多头山,duo'tou'shan
鄂博沟,e'bo'gou
俄博山,e'bo'shan
额布都格,e'bu'dou'ge
额济纳旗,e'ji'na'qi
额济纳旗中学,e'ji'na'qi'zhong'xue
额肯呼都格,e'ken'hu'dou'ge
额勒,e'le
额门,e'men
额然,e'ran
额仁,e'ren
额仁陶勒盖,e'ren'tao'le'gai
额日格图,e'ri'ge'tu
二道沟,er'dao'gou
二道拐,er'dao'guai
二道湖,er'dao'hu
二道坎,er'dao'kan
二道岭,er'dao'ling
二道泉,er'dao'quan
二道山,er'dao'shan
二关,er'guan
二号,er'hao
二号山,er'hao'shan
二号水池,er'hao'shui'chi
二十二号,er'shi'er'hao
二十九号,er'shi'jiu'hao
二十六号,er'shi'liu'hao
二十三号,er'shi'san'hao
二十四号,er'shi'si'hao
二十五号,er'shi'wu'hao
二五零,er'wu'ling
二小队,er'xiao'dui
二子店,er'zi'dian
矾水沟,fan'shui'gou
方家田,fang'jia'tian
坟沟,fen'gou
富强加油站,fu'qiang'jia'you'zhan
福因寺,fu'yin'si
嘎亥图,ga'hai'tu
嘎顺,ga'shun
改良场,gai'liang'chang
干沟,gan'gou
干沟梁,gan'gou'liang
干海子,gan'hai'zi
甘家沟,gan'jia'gou
干坑,gan'keng
干其毛道,gan'qi'mao'dao
干其毛都,gan'qi'mao'dou
干树沟,gan'shu'gou
干树湾,gan'shu'wan
岗岗,gang'gang
缸图,gang'tu
高场子,gao'chang'zi
高家,gao'jia
高架子,gao'jia'zi
哥弟,ge'di
格尔图,ge'er'tu
格日勒图,ge'ri'le'tu
公厕,gong'ce
工行新城支行,gong'hang'xin'cheng'zhi'hang
工会俱乐部,gong'hui'ju'le'bu
供销宾馆,gong'xiao'bin'guan
沟槽子,gou'cao'zi
古布德,gu'bu'de
棺材山,guan'cai'shan
关井,guan'jing
光明酒楼,guang'ming'jiu'lou
光头梁,guang'tou'liang
广宗寺,guang'zong'si
滚珠和,gun'zhu'he
锅底坑,guo'di'keng
郭山,guo'shan
国税小区,guo'shui'xiao'qu
国泰大药房,guo'tai'da'yao'fang
哈巴特,ha'ba'te
哈布其勒,ha'bu'qi'le
哈布特盖,ha'bu'te'gai
哈达哈,ha'da'ha
哈达图,ha'da'tu
哈尔陶勒盖,ha'er'tao'le'gai
哈格,ha'ge
哈克图,ha'ke'tu
哈拉敖包,ha'la'ao'bao
哈那乌拉,ha'na'wu'la
哈日敖包,ha'ri'ao'bao
哈日干图,ha'ri'gan'tu
哈日根,ha'ri'gen
哈日根图,ha'ri'gen'tu
哈日吉,ha'ri'ji
哈日毛都,ha'ri'mao'dou
哈日陶勒盖,ha'ri'tao'le'gai
哈日乌苏,ha'ri'wu'su
哈沙,ha'sha
哈沙特,ha'sha'te
哈沙图,ha'sha'tu
哈沙土,ha'sha'tu
哈斯坦,ha'si'tan
哈夏图,ha'xia'tu
哈珠,ha'zhu
海尔汉,hai'er'han
海海子,hai'hai'zi
海阔天空浴场,hai'kuo'tian'kong'yu'chang
海日罕,hai'ri'han
海森楚鲁,hai'sen'chu'lu
海英,hai'ying
海子沟,hai'zi'gou
旱湖,han'hu
韩家井,han'jia'jing
含水沟,han'shui'gou
罕乌拉,han'wu'la
杭盖,hang'gai
好好涮,hao'hao'shuan
浩来,hao'lai
浩勒包,hao'le'bao
浩坦,hao'tan
和布特,he'bu'te
贺兰山,he'lan'shan
黑圪垯,hei'ge'da
黑疙瘩,hei'ge'da
黑沟,hei'gou
黑沟门,hei'gou'men
黑光头,hei'guang'tou
黑尖子,hei'jian'zi
黑梁,hei'liang
黑梁山,hei'liang'shan
黑渠,hei'qu
黑沙沟,hei'sha'gou
黑沙土,hei'sha'tu
黑山,hei'shan
黑山沟,hei'shan'gou
黑山头,hei'shan'tou
黑石山,hei'shi'shan
黑斯,hei'si
恒昌加油站,heng'chang'jia'you'zhan
恒顺宾馆,heng'shun'bin'guan
横塘,heng'tang
恒源祥,heng'yuan'xiang
红豆服饰,hong'dou'fu'shi
红豆男装,hong'dou'nan'zhuang
红墩子,hong'dun'zi
红疙瘩,hong'ge'da
红沟,hong'gou
红沟沟,hong'gou'gou
红红柳,hong'hong'liu
红尖子,hong'jian'zi
红窖,hong'jiao
红坑,hong'keng
红梁,hong'liang
红岭,hong'ling
红柳沟,hong'liu'gou
红柳河,hong'liu'he
红柳井,hong'liu'jing
红柳峡,hong'liu'xia
红坡,hong'po
红旗队,hong'qi'dui
红旗小学,hong'qi'xiao'xue
红圈,hong'quan
红圈子,hong'quan'zi
红沙岗,hong'sha'gang
红山,hong'shan
红山山,hong'shan'shan
红山寺,hong'shan'si
红山头,hong'shan'tou
红山子,hong'shan'zi
红石山,hong'shi'shan
红石崖,hong'shi'ya
红水井,hong'shui'jing
红土井,hong'tu'jing
红卫队,hong'wei'dui
红星大队,hong'xing'da'dui
红崖,hong'ya
红崖子沟,hong'ya'zi'gou
红岩沟,hong'yan'gou
红扎,hong'zha
后东沟,hou'dong'gou
后沟,hou'gou
后古城子,hou'gu'cheng'zi
后西花园村,hou'xi'hua'yuan'cun
猴子山,hou'zi'shan
虎豹,hu'bao
虎背山,hu'bei'shan
湖边,hu'bian
呼布,hu'bu
呼布其,hu'bu'qi
呼德日,hu'de'ri
呼和,hu'he
呼和哈达,hu'he'ha'da
呼和陶勒盖,hu'he'tao'le'gai
呼和乌拉,hu'he'wu'la
呼和乌苏,hu'he'wu'su
呼和乌素,hu'he'wu'su
呼吉尔图,hu'ji'er'tu
葫芦沟,hu'lu'gou
呼鲁斯,hu'lu'si
呼鲁斯太,hu'lu'si'tai
葫芦图,hu'lu'tu
呼热图,hu're'tu
呼仁,hu'ren
呼荣,hu'rong
湖西边,hu'xi'bian
湖西头,hu'xi'tou
化工厂,hua'gong'chang
华龙宾馆,hua'long'bin'guan
华西大酒店,hua'xi'da'jiu'dian
华亿商厦,hua'yi'shang'sha
花园市场,hua'yuan'shi'chang
黄草坡,huang'cao'po
黄叉子,huang'cha'zi
黄朝喜,huang'chao'xi
黄蒿梁,huang'hao'liang
黄河,huang'he
黄家,huang'jia
黄家井,huang'jia'jing
黄家塘,huang'jia'tang
黄牛圈,huang'niu'quan
黄渠沟,huang'qu'gou
黄山,huang'shan
黄石坪,huang'shi'ping
黄土沟,huang'tu'gou
黄土梁,huang'tu'liang
黄土梁子,huang'tu'liang'zi
汇川服饰,hui'chuan'fu'shi
灰圈,hui'quan
辉森,hui'sen
辉斯,hui'si
辉图高勒,hui'tu'gao'le
浑德伦,hun'de'lun
浑地,hun'di
霍布,huo'bu
火烧沟,huo'shao'gou
火烧坡,huo'shao'po
基东,ji'dong
基督教会,ji'du'jiao'hui
吉格德,ji'ge'de
吉格斯太,ji'ge'si'tai
鸡冠梁,ji'guan'liang
芨芨沟,ji'ji'gou
吉兰泰镇,ji'lan'tai'zhen
吉日嘎郎图,ji'ri'ga'lang'tu
鸡心山,ji'xin'shan
鸡爪山,ji'zhua'shan
夹道沟,jia'dao'gou
嘉尔嘎勒赛汉镇,jia'er'ga'le'sai'han'zhen
加工厂,jia'gong'chang
贾家,jia'jia
嘉年华,jia'nian'hua
夹山沟,jia'shan'gou
加油站,jia'you'zhan
夹子沟,jia'zi'gou
架子梁,jia'zi'liang
架子山,jia'zi'shan
健康花园,jian'kang'hua'yuan
尖山,jian'shan
尖山子,jian'shan'zi
尖石山,jian'shi'shan
胶白,jiao'bai
交通小区,jiao'tong'xiao'qu
教育小区,jiao'yu'xiao'qu
介沟,jie'gou
劲霸男装,jin'ba'nan'zhuang
劲霸男装专卖店,jin'ba'nan'zhuang'zhuan'mai'dian
金顶大帐,jin'ding'da'zhang
金鼎轩酒楼,jin'ding'xuan'jiu'lou
金盾小区,jin'dun'xiao'qu
金木都,jin'mu'dou
金牛宾馆,jin'niu'bin'guan
金山加油站,jin'shan'jia'you'zhan
金鑫加油站,jin'xin'jia'you'zhan
金洋酒店,jin'yang'jiu'dian
井沟,jing'gou
井沟门,jing'gou'men
九道班,jiu'dao'ban
九道湾,jiu'dao'wan
九个井,jiu'ge'jing
九号,jiu'hao
九号半,jiu'hao'ban
九连,jiu'lian
旧庙,jiu'miao
玖姿,jiu'zi
卡乃,ka'nai
开元宾馆,kai'yuan'bin'guan
开元购物中心,kai'yuan'gou'wu'zhong'xin
开元商城,kai'yuan'shang'cheng
开元娱乐城,kai'yuan'yu'le'cheng
康奈皮鞋,kang'nai'pi'xie
炕台,kang'tai
康威体育,kang'wei'ti'yu
克勃勒,ke'bo'le
咳德,ke'de
克尔森,ke'er'sen
肯德尔,ken'de'er
肯地图,ken'di'tu
孔家,kong'jia
口布,kou'bu
口井,kou'jing
口希,kou'xi
库布,ku'bu
苦井,ku'jing
窟窿圈,ku'long'quan
库仍,ku'reng
苦水井,ku'shui'jing
库斯勒,ku'si'le
宽沟,kuan'gou
框框井,kuang'kuang'jing
喇叭沟,la'ba'gou
喇叭沟门,la'ba'gou'men
拉达,la'da
拉格来,la'ge'lai
蓝天小学,lan'tian'xiao'xue
狼洞沟,lang'dong'gou
狼洞子,lang'dong'zi
狼舌头,lang'she'tou
狼头山,lang'tou'shan
狼娃山,lang'wa'shan
涝坝沟,lao'ba'gou
老奔,lao'ben
老点,lao'dian
劳格,lao'ge
老陵,lao'ling
老山头,lao'shan'tou
老爷车,lao'ye'che
老鹰沟,lao'ying'gou
老鹰窝,lao'ying'wo
老鹰崖,lao'ying'ya
磊石沟,lei'shi'gou
丽都酒店,li'du'jiu'dian
李福生,li'fu'sheng
李家,li'jia
李家井,li'jia'jing
李家坑,li'jia'keng
立康药店,li'kang'yao'dian
利郎男装,li'lang'nan'zhuang
李宁旗舰店,li'ning'qi'jian'dian
李廷禄,li'ting'lu
李新民,li'xin'min
莲花山,lian'hua'shan
炼焦厂,lian'jiao'chang
亮点酒吧,liang'dian'jiu'ba
两个井,liang'ge'jing
良种站,liang'zhong'zhan
烈士纪念碑,lie'shi'ji'nian'bei
六道沟,liu'dao'gou
六号,liu'hao
刘家,liu'jia
刘家圈,liu'jia'quan
柳树沟,liu'shu'gou
隆茨,long'ci
龙呼,long'hu
芦草井,lu'cao'jing
鹿角山,lu'jiao'shan
路口井,lu'kou'jing
鲁鲁图,lu'lu'tu
罗家井,luo'jia'jing
骆驼圈,luo'tuo'quan
骡子山,luo'zi'shan
吕子,lv'zi
马岗,ma'gang
麻岗,ma'gang
马沟,ma'gou
麻花沟,ma'hua'gou
麻黄草,ma'huang'cao
麻黄沟,ma'huang'gou
麻黄梁,ma'huang'liang
麻黄塘,ma'huang'tang
麻黄湾,ma'huang'wan
马家,ma'jia
马家沟,ma'jia'gou
马家湖,ma'jia'hu
马力图,ma'li'tu
马莲沟,ma'lian'gou
马莲滩,ma'lian'tan
麻梁,ma'liang
马路沟,ma'lu'gou
马路井,ma'lu'jing
马路坑,ma'lu'keng
马路口,ma'lu'kou
马路湾,ma'lu'wan
马尼,ma'ni
玛尼,ma'ni
马尼图,ma'ni'tu
玛尼图,ma'ni'tu
马柒,ma'qi
马圈,ma'quan
马圈沟,ma'quan'gou
马山,ma'shan
麻山,ma'shan
马蹄沟,ma'ti'gou
马蹄坡,ma'ti'po
麻子沟,ma'zi'gou
迈力,mai'li
曼德林,man'de'lin
曼都拉,man'dou'la
漫水滩,man'shui'tan
芒罕,mang'han
毛盖图,mao'gai'tu
毛家,mao'jia
门洞子,men'dong'zi
孟根,meng'gen
孟根乌拉,meng'gen'wu'la
蒙古族中学,meng'gu'zu'zhong'xue
孟家井,meng'jia'jing
庙沟,miao'gou
庙沟井,miao'gou'jing
庙湖,miao'hu
庙台子,miao'tai'zi
庙湾,miao'wan
明珠家具,ming'zhu'jia'ju
蘑菇图,mo'gu'tu
莫日古其格,mo'ri'gu'qi'ge
磨山子,mo'shan'zi
磨石沟,mo'shi'gou
木吉,mu'ji
木农,mu'nong
木仁,mu'ren
木仁高勒,mu'ren'gao'le
木瑞,mu'rui
那达木,na'da'mu
那尔特,na'er'te
那林,na'lin
那马格,na'ma'ge
那仁,na'ren
那仁布拉格,na'ren'bu'la'ge
那日图,na'ri'tu
奶子山,nai'zi'shan
南边山,nan'bian'shan
南大山,nan'da'shan
南沟,nan'gou
南梁,nan'liang
南桥沟,nan'qiao'gou
南深井,nan'shen'jing
南水沟,nan'shui'gou
南寺沟,nan'si'gou
南田,nan'tian
南田村,nan'tian'cun
瑙干,nao'gan
内蒙古庆华集团,nei'meng'gu'qing'hua'ji'tuan
牛场,niu'chang
牛圈沟,niu'juan'gou
牛泉,niu'quan
诺日公,nuo'ri'gong
诺日图,nuo'ri'tu
女人在线,nv'ren'zai'xian
帕德,pa'de
炮台山,pao'tai'shan
配种站,pei'zhong'zhan
片根,pian'gen
片更,pian'geng
平安大药店,ping'an'da'yao'dian
平安石油,ping'an'shi'you
平塘,ping'tang
浦京大酒店,pu'jing'da'jiu'dian
七号,qi'hao
七号井,qi'hao'jing
七号山,qi'hao'shan
祁家,qi'jia
七里沟,qi'li'gou
七连,qi'lian
柒牌男装,qi'pai'nan'zhuang
七匹狼,qi'pi'lang
七匹狼时尚运动,qi'pi'lang'shi'shang'yun'dong
其其格,qi'qi'ge
其日嘎,qi'ri'ga
其日格,qi'ri'ge
七十二号,qi'shi'er'hao
七十六号,qi'shi'liu'hao
七十四号,qi'shi'si'hao
前沟,qian'gou
前古城子,qian'gu'cheng'zi
前黑山,qian'hei'shan
前进嘎查,qian'jin'ga'cha
千条沟,qian'tiao'gou
前卫队,qian'wei'dui
前线站,qian'xian'zhan
桥沟,qiao'gou
切刀,qie'dao
青疙瘩,qing'ge'da
庆沟,qing'gou
庆华煤化,qing'hua'mei'hua
庆华物流,qing'hua'wu'liu
青坑,qing'keng
青年农场,qing'nian'nong'chang
青年桥,qing'nian'qiao
青山,qing'shan
青石咀,qing'shi'ju
青石山,qing'shi'shan
圈沟,quan'gou
泉吉,quan'ji
泉泉沟,quan'quan'gou
泉水井,quan'shui'jing
润通石油,run'tong'shi'you
萨拉,sa'la
撒拉,sa'la
赛尔,sai'er
赛汉塔拉,sai'han'ta'la
赛罕塔拉,sai'han'ta'la
赛汉陶来,sai'han'tao'lai
赛汉陶来苏木,sai'han'tao'lai'su'mu
赛勒,sai'le
赛日,sai'ri
赛乌苏,sai'wu'su
赛音呼都格,sai'yin'hu'dou'ge
三叉沟,san'cha'gou
三岔沟,san'cha'gou
三道沟,san'dao'gou
三道沟门,san'dao'gou'men
三道拐,san'dao'guai
三道梁,san'dao'liang
三道梁子,san'dao'liang'zi
三道泉,san'dao'quan
三道山,san'dao'shan
三疙瘩,san'ge'da
三个疙瘩,san'ge'ge'da
三个井,san'ge'jing
三个圈,san'ge'quan
三关,san'guan
三号,san'hao
三号山,san'hao'shan
三零五,san'ling'wu
三平,san'ping
三千里,san'qian'li
三十八号,san'shi'ba'hao
三十二号,san'shi'er'hao
三十四号,san'shi'si'hao
三十五号,san'shi'wu'hao
三鑫宾馆,san'xin'bin'guan
三转,san'zhuan
桑布,sang'bu
色日,se'ri
色日克,se'ri'ke
森吉,sen'ji
沙坝沟,sha'ba'gou
沙坝头,sha'ba'tou
沙巴图,sha'ba'tu
沙尔哈达,sha'er'ha'da
沙沟,sha'gou
沙河北,sha'he'bei
沙很,sha'hen
沙窖,sha'jiao
沙井子,sha'jing'zi
沙坑,sha'keng
沙拉苏,sha'la'su
沙拉图,sha'la'tu
沙拉乌苏,sha'la'wu'su
沙勒,sha'le
沙梁上,sha'liang'shang
沙门都,sha'men'dou
沙漠王酒店,sha'mo'wang'jiu'dian
沙坡,sha'po
沙日哈达,sha'ri'ha'da
沙日浩来,sha'ri'hao'lai
沙日木,sha'ri'mu
沙山,sha'shan
沙石地,sha'shi'di
沙塘子,sha'tang'zi
沙特图,sha'te'tu
沙子沟,sha'zi'gou
扇山,shan'shan
杉杉服装,shan'shan'fu'zhuang
上大井,shang'da'jing
上丹,shang'dan
尚丹,shang'dan
尚德,shang'de
上甘井子,shang'gan'jing'zi
上海,shang'hai
上海嘎查,shang'hai'ga'cha
上海山,shang'hai'shan
上海子,shang'hai'zi
上井,shang'jing
上坑,shang'keng
上圈,shang'quan
上滩,shang'tan
尚特,shang'te
上田,shang'tian
尚图,shang'tu
上一棵树,shang'yi'ke'shu
哨兵营,shao'bing'ying
烧圈,shao'quan
绍荣,shao'rong
少水,shao'shui
深沟,shen'gou
深井,shen'jing
神农大药房,shen'nong'da'yao'fang
神水梁,shen'shui'liang
神舟宾馆,shen'zhou'bin'guan
胜利站,sheng'li'zhan
盛世花园,sheng'shi'hua'yuan
圣淘沙茶楼,sheng'tao'sha'cha'lou
石板井,shi'ban'jing
石墩,shi'dun
石墩子,shi'dun'zi
十二号,shi'er'hao
石岗子,shi'gang'zi
石膏山,shi'gao'shan
十号,shi'hao
十号站,shi'hao'zhan
石猴子,shi'hou'zi
石灰窑,shi'hui'yao
世纪花园,shi'ji'hua'yuan
世纪星宾馆,shi'ji'xing'bin'guan
史家园,shi'jia'yuan
石井沟,shi'jing'gou
十九工区,shi'jiu'gong'qu
视康眼镜,shi'kang'yan'jing
石骆驼,shi'luo'tuo
石门子,shi'men'zi
仕奇服装,shi'qi'fu'zhuang
十七号,shi'qi'hao
石青沟,shi'qing'gou
石人圈,shi'ren'quan
十三号,shi'san'hao
石头疙瘩,shi'tou'ge'da
石头井,shi'tou'jing
石头圈,shi'tou'quan
石硖,shi'xia
十字路,shi'zi'lu
收费站,shou'fei'zhan
舒布,shu'bu
舒特,shu'te
舒图,shu'tu
树弯,shu'wan
双疙瘩,shuang'ge'da
双沟,shuang'gou
双河子,shuang'he'zi
双井子,shuang'jing'zi
双圈子,shuang'quan'zi
双山子,shuang'shan'zi
双图,shuang'tu
水泵站,shui'beng'zhan
水沟,shui'gou
水沟子,shui'gou'zi
水磨沟,shui'mo'gou
水泥厂,shui'ni'chang
水泉,shui'quan
水泉子,shui'quan'zi
水头山,shui'tou'shan
水务小区,shui'wu'xiao'qu
水云间,shui'yun'jian
顺天化工,shun'tian'hua'gong
顺鑫名烟名酒,shun'xin'ming'yan'ming'jiu
四道梁,si'dao'liang
斯得雅,si'de'ya
斯尔丽,si'er'li
四方井,si'fang'jing
四方山,si'fang'shan
四号,si'hao
四号山,si'hao'shan
饲料地,si'liao'di
四平,si'ping
死人沟,si'ren'gou
死人圈,si'ren'quan
死人山,si'ren'shan
四十号,si'shi'hao
四十三号,si'shi'san'hao
四十五号,si'shi'wu'hao
四十一公里,si'shi'yi'gong'li
四十一号,si'shi'yi'hao
四水站,si'shui'zhan
四通宾馆,si'tong'bin'guan
四眼井,si'yan'jing
松不如,song'bu'ru
苏泊淖尔,su'bo'nao'er
苏布日格,su'bu'ri'ge
苏亥图,su'hai'tu
苏海图,su'hai'tu
苏海湾,su'hai'wan
苏红图,su'hong'tu
苏吉,su'ji
苏克图,su'ke'tu
苏力,su'li
苏美雅,su'mei'ya
苏木图,su'mu'tu
苏日图,su'ri'tu
碎石山,sui'shi'shan
索格,suo'ge
梭梭井,suo'suo'jing
塔本陶勒盖,ta'ben'tao'le'gai
塔尔岭,ta'er'ling
塔沟,ta'gou
塔克其,ta'ke'qi
塔岭,ta'ling
塔日阿图,ta'ri'a'tu
塔日根,ta'ri'gen
塔斯尔,ta'si'er
塔塔,ta'ta
塔塔沟,ta'ta'gou
塔塔拉,ta'ta'la
塔塔勒,ta'ta'le
塔塔山,ta'ta'shan
台库,tai'ku
台台子,tai'tai'zi
太阳沟,tai'yang'gou
台子沟,tai'zi'gou
炭井沟,tan'jing'gou
炭窑沟,tan'yao'gou
炭窑子,tan'yao'zi
汤家,tang'jia
唐家沟,tang'jia'gou
