安才楼,an'cai'lou
丁寨,ding'zhai
丁庄,ding'zhuang
东大医院,dong'da'yi'yuan
东电厂,dong'dian'chang
东方红大街,dong'fang'hong'da'jie
东方骆驼,dong'fang'luo'tuo
东关,dong'guan
董官屯,dong'guan'tun
东明,dong'ming
东明的,dong'ming'de
东明集,dong'ming'ji
东明了,dong'ming'le
东明县,dong'ming'xian
东明一中,dong'ming'yi'zhong
董庄,dong'zhuang
都不孬,dou'bu'nao
都管呗,dou'guan'bei
都管了,dou'guan'le
都行呗,dou'xing'bei
都庄,dou'zhuang
独山镇,du'shan'zhen
都司,du'si
杜庄,du'zhuang
吨吨,dun'dun
多大会,duo'da'hui
多好不,duo'hao'bu
多禾,duo'he
多些钱,duo'xie'qian
屙粑粑,e'ba'ba
二十二中,er'shi'er'zhong
二十一中,er'shi'yi'zhong
二完小,er'wan'xiao
发展报告,fa'zhan'bao'gao
烦死喽,fan'si'lou
樊庄,fan'zhuang
仿山,fang'shan
费吧,fei'ba
费不着,fei'bu'zhao
费叫,fei'jiao
费觉,fei'jue
冯楼,feng'lou
冯庄,feng'zhuang
佛吧,fo'ba
佛佛,fo'fo
佛个,fo'ge
佛啥,fo'sha
佛实话,fo'shi'hua
浮龙湖,fu'long'hu
付庄,fu'zhuang
干撒类,gan'sa'lei
干啥来,gan'sha'lai
干啥来你,gan'sha'lai'ni
干啥类,gan'sha'lei
干啥类啊,gan'sha'lei'a
高老家,gao'lao'jia
高平路,gao'ping'lu
高韦庄,gao'wei'zhuang
高庄,gao'zhuang
高庄镇,gao'zhuang'zhen
葛庄,ge'zhuang
给你佛,gei'ni'fo
给说声,gei'shuo'sheng
给他佛,gei'ta'fo
给我佛,gei'wo'fo
耿庄,geng'zhuang
狗日来,gou'ri'lai
狗日类,gou'ri'lei
够啥,gou'sha
够死啦,gou'si'la
够死了,gou'si'le
够死我啦,gou'si'wo'la
够死我了,gou'si'wo'le
古邑商城,gu'yi'shang'cheng
古营集,gu'ying'ji
古营集镇,gu'ying'ji'zhen
挂擦,gua'ca
挂叉,gua'cha
管不,guan'bu
冠群芳,guan'qun'fang
罐子汤,guan'zi'tang
光等你,guang'deng'ni
光想哭,guang'xiang'ku
滚吊蛋,gun'diao'dan
郭村,guo'cun
郭村镇,guo'cun'zhen
郭楼,guo'lou
郭屯镇,guo'tun'zhen
过月子,guo'yue'zi
郭庄,guo'zhuang
还不孬,hai'bu'nao
还小不,hai'xiao'bu
还些,hai'xie
韩集镇,han'ji'zhen
好白来,hao'bai'lai
好呗来,hao'bei'lai
浩的,hao'de
好好类,hao'hao'lei
菏建,he'jian
何楼,he'lou
核桃园,he'tao'yuan
河务局,he'wu'ju
喝晕啦,he'yun'la
菏泽,he'ze
菏泽吧,he'ze'ba
菏泽的,he'ze'de
菏泽二中,he'ze'er'zhong
菏泽火车站,he'ze'huo'che'zhan
菏泽了,he'ze'le
菏泽吗,he'ze'ma
菏泽那,he'ze'na
菏泽哪的,he'ze'na'de
菏泽哪里,he'ze'na'li
菏泽呢,he'ze'ne
菏泽人,he'ze'ren
菏泽人事,he'ze'ren'shi
菏泽市,he'ze'shi
菏泽市委,he'ze'shi'wei
菏泽市物价局,he'ze'shi'wu'jia'ju
菏泽天气,he'ze'tian'qi
菏泽天气预报,he'ze'tian'qi'yu'bao
菏泽团,he'ze'tuan
菏泽信息港,he'ze'xin'xi'gang
菏泽学校,he'ze'xue'xiao
菏泽学院,he'ze'xue'yuan
菏泽一中,he'ze'yi'zhong
菏泽医专,he'ze'yi'zhuan
菏泽站,he'ze'zhan
贺庄,he'zhuang
黑家,hei'jia
亨通园,heng'tong'yuan
红船,hong'chuan
洪达,hong'da
洪业,hong'ye
侯集,hou'ji
侯楼,hou'lou
侯庄,hou'zhuang
胡庄,hu'zhuang
华平小区,hua'ping'xiao'qu
华英路,hua'ying'lu
环城公园,huan'cheng'gong'yuan
黄安,huang'an
黄安镇,huang'an'zhen
黄店,huang'dian
黄堆集,huang'dui'ji
黄集,huang'ji
辉的,hui'de
慧光,hui'guang
惠和,hui'he
回菏泽,hui'he'ze
火神台,huo'shen'tai
鸡蛋茶,ji'dan'cha
机电楼,ji'dian'lou
冀鲁豫,ji'lu'yu
家北,jia'bei
贾坊,jia'fang
佳合,jia'he
佳农,jia'nong
贾庄,jia'zhuang
监场,jian'chang
姜庄,jiang'zhuang
焦楼,jiao'lou
交通集团,jiao'tong'ji'tuan
焦园,jiao'yuan
焦园乡,jiao'yuan'xiang
杰的,jie'de
金霸,jin'ba
金堤,jin'di
金都华庭,jin'du'hua'ting
金盾花园,jin'dun'hua'yuan
金河路,jin'he'lu
金茂街,jin'mao'jie
金正大,jin'zheng'da
金庄,jin'zhuang
就佛,jiu'fo
九女,jiu'nv
就是佛,jiu'shi'fo
就是类,jiu'shi'lei
就行白,jiu'xing'bai
就行才,jiu'xing'cai
酒晕子,jiu'yun'zi
巨野,ju'ye
巨野的,ju'ye'de
巨野了,ju'ye'le
巨野县,ju'ye'xian
巨野一中,ju'ye'yi'zhong
巨野镇,ju'ye'zhen
鄄城,juan'cheng
鄄城的,juan'cheng'de
鄄城县,juan'cheng'xian
鄄城一中,juan'cheng'yi'zhong
看电视类,kan'dian'shi'lei
康庄,kang'zhuang
康庄路,kang'zhuang'lu
靠他娘,kao'ta'niang
孔楼,kong'lou
孔庄,kong'zhuang
来曹县,lai'cao'xian
来到家,lai'dao'jia
来东明,lai'dong'ming
来菏泽,lai'he'ze
莱河镇,lai'he'zhen
来家来,lai'jia'lai
来巨野,lai'ju'ye
来单县,lai'shan'xian
莱商银行,lai'shang'yin'hang
来郓城,lai'yun'cheng
蓝水湾,lan'shui'wan
老鳖一,lao'bie'yi
老魔道,lao'mo'dao
类不,lei'bu
磊的,lei'de
类啥,lei'sha
累时候,lei'shi'hou
李村镇,li'cun'zhen
李集,li'ji
李进士,li'jin'shi
李楼,li'lou
李田楼,li'tian'lou
李新庄,li'xin'zhuang
梁堤头,liang'di'tou
凉面条,liang'mian'tiao
梁庄,liang'zhuang
临卜,lin'bu
林展馆,lin'zhan'guan
柳林镇,liu'lin'zhen
刘楼,liu'lou
刘路,liu'lu
六完小,liu'wan'xiao
刘寨,liu'zhai
龙固,long'gu
龙堌镇,long'gu'zhen
龙王庙,long'wang'miao
喽白,lou'bai
喽呗,lou'bei
喽不,lou'bu
楼庄,lou'zhuang
鲁的,lu'de
陆圈,lu'quan
陆圈镇,lu'quan'zhen
鲁西南,lu'xi'nan
落落我,luo'luo'wo
吕庄,lv'zhuang
马海,ma'hai
麻类隔壁,ma'lei'ge'bi
马岭岗,ma'ling'gang
马岭岗镇,ma'ling'gang'zhen
马楼,ma'lou
玛丝菲尔,ma'si'fei'er
马头镇,ma'tou'zhen
漫步佳人,man'bu'jia'ren
曼德夫,man'de'fu
慢就滚蛋,man'jiu'gun'dan
忙啥来,mang'sha'lai
毛包,mao'bao
毛包毛,mao'bao'mao
毛庄,mao'zhuang
没大讲,mei'da'jiang
没多大会,mei'duo'da'hui
没佛,mei'fo
没局,mei'ju
没事不,mei'shi'bu
孟海,meng'hai
孟海镇,meng'hai'zhen
猛一,meng'yi
猛一烦,meng'yi'fan
民间小调,min'jian'xiao'diao
名门贵妇,ming'men'gui'fu
名门贵妻,ming'men'gui'qi
魔道,mo'dao
魔道啦,mo'dao'la
魔道了,mo'dao'le
牡丹茶座,mu'dan'cha'zuo
牡丹花会,mu'dan'hua'hui
牡丹路,mu'dan'lu
牡丹区,mu'dan'qu
牡丹区的,mu'dan'qu'de
牡丹新城,mu'dan'xin'cheng
穆庄,mu'zhuang
那不孬,na'bu'nao
那都管,na'dou'guan
那法,na'fa
那管,na'guan
哪和,na'he
拿活,na'huo
那也管,na'ye'guan
那咋法,na'za'fa
那杂志,na'za'zhi
那在这,na'zai'zhe
奶奶类,nai'nai'lei
南关,nan'guan
南华康城,nan'hua'kang'cheng
南鲁,nan'lu
南平花园,nan'ping'hua'yuan
南王店,nan'wang'dian
南赵楼,nan'zhao'lou
内家,nei'jia
能笨,neng'ben
能长时间,neng'chang'shi'jian
能大,neng'da
能大了,neng'da'le
能豆子,neng'dou'zi
能多,neng'duo
能多了,neng'duo'le
能多人,neng'duo'ren
能多事,neng'duo'shi
能贵,neng'gui
能黑,neng'hei
能狠,neng'hen
能回事,neng'hui'shi
能近,neng'jin
能俊,neng'jun
能客气,neng'ke'qi
能快,neng'kuai
能厉害,neng'li'hai
能忙,neng'mang
能难看,neng'nan'kan
能帅,neng'shuai
能晚了,neng'wan'le
能小,neng'xiao
能些,neng'xie
能些人,neng'xie'ren
能些事,neng'xie'shi
能严重,neng'yan'zhong
能远,neng'yuan
你不佛,ni'bu'fo
妮的,ni'de
你佛,ni'fo
你干啥来,ni'gan'sha'lai
你干啥类,ni'gan'sha'lei
你干啥去啦,ni'gan'sha'qu'la
你菏泽,ni'he'ze
倪集,ni'ji
倪集乡,ni'ji'xiang
你就佛,ni'jiu'fo
你来菏泽,ni'lai'he'ze
你忙啥来,ni'mang'sha'lai
你没事不,ni'mei'shi'bu
你魔道,ni'mo'dao
你品,ni'pin
你撒会,ni'sa'hui
你啥会,ni'sha'hui
你是菏泽,ni'shi'he'ze
你同位,ni'tong'wei
你想抓,ni'xiang'zhua
你在菏泽,ni'zai'he'ze
你抓啦,ni'zhua'la
你抓来,ni'zhua'lai
你抓去,ni'zhua'qu
你抓去了,ni'zhua'qu'le
你庄上,ni'zhuang'shang
聂庄,nie'zhuang
牛楼,niu'lou
女来,nv'lai
女类,nv'lei
哦粗,o'cu
潘渡,pan'du
潘庄,pan'zhuang
庞楼,pang'lou
庞庄,pang'zhuang
彭楼,peng'lou
彭庄,peng'zhuang
批发街,pi'fa'jie
偏能,pian'neng
拼妮,pin'ni
品妮子,pin'ni'zi
品样,pin'yang
品样子,pin'yang'zi
拼种,pin'zhong
普连集,pu'lian'ji
普连集镇,pu'lian'ji'zhen
奇怪的固执,qi'guai'de'gu'zhi
麒麟镇,qi'lin'zhen
起能早,qi'neng'zao
亲爱类,qin'ai'lei
秦庄,qin'zhuang
青岗集,qing'gang'ji
青堌集,qing'gu'ji
青堌集镇,qing'gu'ji'zhen
青年胡,qing'nian'hu
青山羊,qing'shan'yang
去白,qu'bai
去曹县,qu'cao'xian
去定陶,qu'ding'tao
去东明,qu'dong'ming
去菏泽,qu'he'ze
去菏泽了,qu'he'ze'le
去巨野,qu'ju'ye
去鄄城,qu'juan'cheng
去单县,qu'shan'xian
去郓城,qu'yun'cheng
拳铺,quan'pu
冉固,ran'gu
冉堌镇,ran'gu'zhen
仁兄弟,ren'xiong'di
任庄,ren'zhuang
睿鹰,rui'ying
散伙吧,san'huo'ba
三角花园,san'jiao'hua'yuan
三斤三两,san'jin'san'liang
散事,san'shi
三桐,san'tong
三信超市,san'xin'chao'shi
桑庄,sang'zhuang
嫂的,sao'de
啥哎,sha'ai
纱厂,sha'chang
啥法,sha'fa
啥会,sha'hui
啥会回来,sha'hui'hui'lai
啥回来,sha'hui'lai
啥回去,sha'hui'qu
傻妮的,sha'ni'de
沙土,sha'tu
沙土镇,sha'tu'zhen
沙窝,sha'wo
沙窝乡,sha'wo'xiang
傻型,sha'xing
啥样类,sha'yang'lei
傻种,sha'zhong
啥庄,sha'zhuang
山东菏泽,shan'dong'he'ze
山东单县,shan'dong'shan'xian
山东省菏泽市,shan'dong'sheng'he'ze'shi
山河网,shan'he'wang
单县,shan'xian
单县吧,shan'xian'ba
单县的,shan'xian'de
上菏泽,shang'he'ze
上一年啦,shang'yi'nian'la
上这类,shang'zhe'lei
上着那,shang'zhe'na
邵庄,shao'zhuang
邵庄镇,shao'zhuang'zhen
什集,shen'ji
申楼,shen'lou
盛玛特,sheng'ma'te
生气不理人,sheng'qi'bu'li'ren
是波,shi'bo
时代奥城,shi'dai'ao'cheng
时代花园,shi'dai'hua'yuan
是菏泽,shi'he'ze
石化小区,shi'hua'xiao'qu
市立医院,shi'li'yi'yuan
时楼,shi'lou
十月会,shi'yue'hui
双河路,shuang'he'lu
爽毁,shuang'hui
双桥乡,shuang'qiao'xiang
水岸新都,shui'an'xin'du
水堡,shui'bao
谁佛,shui'fo
水果街,shui'guo'jie
睡能,shui'neng
睡能早,shui'neng'zao
水邑,shui'yi
舜师,shun'shi
硕的,shuo'de
四君子,si'jun'zi
私立高,si'li'gao
死妮的,si'ni'de
宋江武校,song'jiang'wu'xiao
宋金河,song'jin'he
宋楼,song'lou
苏集,su'ji
苏集镇,su'ji'zhen
苏家摄影服饰,su'jia'she'ying'fu'shi
蒜菜,suan'cai
随官屯,sui'guan'tun
孙老家,sun'lao'jia
孙老家镇,sun'lao'jia'zhen
孙楼,sun'lou
孙庄,sun'zhuang
他佛,ta'fo
他几个,ta'ji'ge
太原路,tai'yuan'lu
谈着来,tan'zhe'lai
唐庄,tang'zhuang
涛的,tao'de
田集,tian'ji
田楼,tian'lou
天香公园,tian'xiang'gong'yuan
田庄,tian'zhuang
田庄镇,tian'zhuang'zhen
听佛,ting'fo
仝庄,tong'zhuang
玩白,wan'bai
万丰镇,wan'feng'zhen
万福河,wan'fu'he
玩几,wan'ji
万亩荷塘,wan'mu'he'tang
王浩屯,wang'hao'tun
王胡同,wang'hu'tong
王楼,wang'lou
伟的,wei'de
魏海,wei'hai
魏楼,wei'lou
魏湾,wei'wan
魏湾镇,wei'wan'zhen
魏庄,wei'zhuang
文亭,wen'ting
文亭湖,wen'ting'hu
温庄,wen'zhuang
我撑不了,wo'cheng'bu'liao
我到明天,wo'dao'ming'tian
我佛,wo'fo
我给你佛,wo'gei'ni'fo
我光想,wo'guang'xiang
我菏泽,wo'he'ze
我来后,wo'lai'hou
我类乖,wo'lei'guai
我累乖乖,wo'lei'guai'guai
我去菏泽,wo'qu'he'ze
我日吧,wo'ri'ba
我啥会,wo'sha'hui
我是大明星,wo'shi'da'ming'xing
我些,wo'xie
我咋着,wo'za'zhe
我在菏泽,wo'zai'he'ze
我在巨野,wo'zai'ju'ye
我抓啦,wo'zhua'la
吴店,wu'dian
吴店镇,wu'dian'zhen
五里墩,wu'li'dun
仵楼,wu'lou
仵楼乡,wu'lou'xiang
武胜桥,wu'sheng'qiao
五完小,wu'wan'xiao
媳妇来,xi'fu'lai
西关,xi'guan
西关的,xi'guan'de
西关医院,xi'guan'yi'yuan
喜毁,xi'hui
喜类,xi'lei
喜死,xi'si
喜死我啦,xi'si'wo'la
瞎包,xia'bao
下地啦,xia'di'la
瞎佛,xia'fo
瞎胡乱,xia'hu'luan
相媒,xiang'mei
小井乡,xiao'jing'xiang
小留,xiao'liu
小留镇,xiao'liu'zhen
肖楼,xiao'lou
小妮的,xiao'ni'de
些大,xie'da
些得,xie'de
些多,xie'duo
些烦,xie'fan
些好,xie'hao
些好看,xie'hao'kan
些好玩,xie'hao'wan
谢集,xie'ji
些快,xie'kuai
些冷,xie'leng
谢楼,xie'lou
些忙,xie'mang
些能,xie'neng
些热,xie're
些爽,xie'shuang
些想,xie'xiang
新苏天美,xin'su'tian'mei
行政村,xing'zheng'cun
熊孩的,xiong'hai'de
熊妮子,xiong'ni'zi
羞你了,xiu'ni'le
许集,xu'ji
许敬宗,xu'jing'zong
徐楼,xu'lou
徐寨,xu'zhai
炫乐城,xuan'le'cheng
鸭的,ya'de
闫店楼,yan'dian'lou
闫店楼镇,yan'dian'lou'zhen
闫什口,yan'shen'kou
演武楼,yan'wu'lou
闫庄,yan'zhuang
杨楼,yang'lou
杨庄,yang'zhuang
杨庄集,yang'zhuang'ji
样子的,yang'zi'de
样子的时候,yang'zi'de'shi'hou
样子的事情,yang'zi'de'shi'qing
样子的一点,yang'zi'de'yi'dian
样子的一个,yang'zi'de'yi'ge
也不孬,ye'bu'nao
也是愁,ye'shi'chou
也些,ye'xie
艺达,yi'da
一佛,yi'fo
一个伙计,yi'ge'huo'ji
一个事情,yi'ge'shi'qing
怡海花园,yi'hai'hua'yuan
一佳,yi'jia
一家人家,yi'jia'ren'jia
一恼,yi'nao
一千三百,yi'qian'san'bai
一完小,yi'wan'xiao
亿维,yi'wei
姨兄弟,yi'xiong'di
医专的,yi'zhuan'de
银盛,yin'sheng
因为撒,yin'wei'sa
玉皇,yu'huang
玉皇庙,yu'huang'miao
玉龙桥,yu'long'qiao
于楼,yu'lou
于庄,yu'zhuang
袁松花,yuan'song'hua
袁庄,yuan'zhuang
岳楼,yue'lou
郓百,yun'bai
郓城,yun'cheng
郓城的,yun'cheng'de
郓城了,yun'cheng'le
郓城县,yun'cheng'xian
郓城镇,yun'cheng'zhen
咋发,za'fa
咋佛,za'fo
咋去啦,za'qu'la
咋制,za'zhi
在本,zai'ben
在曹县,zai'cao'xian
在成武,zai'cheng'wu
在定陶,zai'ding'tao
在东明,zai'dong'ming
再佛,zai'fo
在菏泽,zai'he'ze
在菏泽呢,zai'he'ze'ne
在巨野,zai'ju'ye
在鄄城,zai'juan'cheng
在单县,zai'shan'xian
在郓城,zai'yun'cheng
咱老班,zan'lao'ban
怎些,zen'xie
占姐姐,zhan'jie'jie
章缝,zhang'feng
章缝镇,zhang'feng'zhen
张集,zhang'ji
张楼,zhang'lou
张美丽,zhang'mei'li
张湾镇,zhang'wan'zhen
张营,zhang'ying
张营镇,zhang'ying'zhen
张庄,zhang'zhuang
招呼点,zhao'hu'dian
赵楼,zhao'lou
招商街,zhao'shang'jie
赵王河,zhao'wang'he
赵庄,zhao'zhuang
这都睡,zhe'dou'shui
这法,zhe'fa
真不讲,zhen'bu'jiang
正榜,zheng'bang
郑营,zheng'ying
郑庄,zheng'zhuang
郑庄乡,zheng'zhuang'xiang
郅局,zhi'ju
制啥,zhi'sha
制啥来,zhi'sha'lai
中达尚城,zhong'da'shang'cheng
钟口,zhong'kou
中央公馆,zhong'yang'gong'guan
中原商城,zhong'yuan'shang'cheng
周楼,zhou'lou
朱洪庙,zhu'hong'miao
朱集,zhu'ji
朱楼,zhu'lou
洙水河,zhu'shui'he
朱庄,zhu'zhuang
抓几,zhua'ji
抓啦,zhua'la
抓来,zhua'lai
抓类,zhua'lei
抓去啦,zhua'qu'la
抓去了,zhua'qu'le
砖庙,zhuan'miao
砖庙镇,zhuan'miao'zhen
壮馍,zhuang'mo
庄上,zhuang'shang
庄上的,zhuang'shang'de
装行,zhuang'xing
庄寨,zhuang'zhai
庄寨镇,zhuang'zhai'zhen
准不能,zhun'bu'neng
准不是,zhun'bu'shi
准头,zhun'tou
自安装,zi'an'zhuang
左营,zuo'ying
