阿加德米,a'jia'de'mi
三个阶级,san'ge'jie'ji
色诺芬,se'nuo'fen
色诺芬尼,se'nuo'fen'ni
社会环境,she'hui'huan'jing
社会生活,she'hui'sheng'huo
神秘主义,shen'mi'zhu'yi
神秘主义色彩,shen'mi'zhu'yi'se'cai
身外之物,shen'wai'zhi'wu
神学思考,shen'xue'si'kao
生活领域,sheng'huo'ling'yu
生活态度,sheng'huo'tai'du
师承关系,shi'cheng'guan'xi
始基,shi'ji
实践的科学,shi'jian'de'ke'xue
世界本原,shi'jie'ben'yuan
世界图式,shi'jie'tu'shi
世界万物,shi'jie'wan'wu
世界物质,shi'jie'wu'zhi
世俗艺术,shi'su'yi'shu
诗学,shi'xue
实在界,shi'zai'jie
舒适环境,shu'shi'huan'jing
说明自然,shuo'ming'zi'ran
四大学派,si'da'xue'pai
斯多噶学派,si'duo'ga'xue'pai
斯多葛主义,si'duo'ge'zhu'yi
斯多亚派,si'duo'ya'pai
斯多亚学派,si'duo'ya'xue'pai
思维方式,si'wei'fang'shi
思维能力,si'wei'neng'li
苏格拉底,su'ge'la'di
苏格拉底时期,su'ge'la'di'shi'qi
所组成,suo'zu'cheng
泰阿泰德篇,tai'a'tai'de'pian
泰勒斯,tai'le'si
陶斯,tao'si
特殊功能,te'shu'gong'neng
提出问题,ti'chu'wen'ti
通过直觉,tong'guo'zhi'jue
统一到,tong'yi'dao
推论,tui'lun
外部环境,wai'bu'huan'jing
外界事物,wai'jie'shi'wu
外来词,wai'lai'ci
晚期的,wan'qi'de
玩世不恭,wan'shi'bu'gong
卫国者,wei'guo'zhe
唯物主义,wei'wu'zhu'yi
唯物主义世界观,wei'wu'zhu'yi'shi'jie'guan
唯物主义哲学家,wei'wu'zhu'yi'zhe'xue'jia
唯心主义倾向,wei'xin'zhu'yi'qing'xiang
唯心主义者,wei'xin'zhu'yi'zhe
唯心主义哲学,wei'xin'zhu'yi'zhe'xue
问答方法,wen'da'fang'fa
文化生活,wen'hua'sheng'huo
文艺复兴,wen'yi'fu'xing
毋须担心,wu'xu'dan'xin
物质性,wu'zhi'xing
无足轻重,wu'zu'qing'zhong
西方的,xi'fang'de
西方人,xi'fang'ren
西方文化,xi'fang'wen'hua
西方哲学,xi'fang'zhe'xue
西方政治思想,xi'fang'zheng'zhi'si'xiang
西方政治学,xi'fang'zheng'zhi'xue
西方中世纪,xi'fang'zhong'shi'ji
希腊本土,xi'la'ben'tu
希腊城邦时代,xi'la'cheng'bang'shi'dai
希腊城邦制度,xi'la'cheng'bang'zhi'du
希腊化时代,xi'la'hua'shi'dai
希腊人的,xi'la'ren'de
希腊文,xi'la'wen
希腊语,xi'la'yu
希腊哲学,xi'la'zhe'xue
希腊哲学的,xi'la'zhe'xue'de
希腊哲学家,xi'la'zhe'xue'jia
昔兰尼学派,xi'lan'ni'xue'pai
锡诺普,xi'nuo'pu
西塞罗,xi'sai'luo
现代科学,xian'dai'ke'xue
现代哲学,xian'dai'zhe'xue
宪法国家,xian'fa'guo'jia
现实的世界,xian'shi'de'shi'jie
现象世界,xian'xiang'shi'jie
相对民主,xiang'dui'min'zhu
飨宴篇,xiang'yan'pian
小苏格拉底学派,xiao'su'ge'la'di'xue'pai
小亚细亚,xiao'ya'xi'ya
小亚细亚西部,xiao'ya'xi'ya'xi'bu
逍遥学派,xiao'yao'xue'pai
新柏拉图学派,xin'bo'la'tu'xue'pai
新柏拉图主义,xin'bo'la'tu'zhu'yi
心灵智慧,xin'ling'zhi'hui
新政治学,xin'zheng'zhi'xue
形而上学,xing'er'shang'xue
行为方式,xing'wei'fang'shi
修饰学,xiu'shi'xue
学园派,xue'yuan'pai
寻求超越,xun'qiu'chao'yue
雅典法庭,ya'dian'fa'ting
亚里士多德,ya'li'shi'duo'de
亚里斯提布,ya'li'si'ti'bu
亚里土多德学说,ya'li'tu'duo'de'xue'shuo
研究对象,yan'jiu'dui'xiang
研究自然,yan'jiu'zi'ran
杨布利柯,yang'bu'li'ke
要摆脱,yao'bai'tuo
伊奥尼亚,yi'ao'ni'ya
伊壁鸠鲁,yi'bi'jiu'lu
伊壁鸠鲁派,yi'bi'jiu'lu'pai
伊壁鸠鲁篇,yi'bi'jiu'lu'pian
伊壁鸠鲁学派,yi'bi'jiu'lu'xue'pai
伊壁鸠鲁主义,yi'bi'jiu'lu'zhu'yi
意大利南部,yi'da'li'nan'bu
一旦拥有,yi'dan'yong'you
一切知识,yi'qie'zhi'shi
永恒不变,yong'heng'bu'bian
永恒存在,yong'heng'cun'zai
永恒真理,yong'heng'zhen'li
又名,you'ming
原子论者,yuan'zi'lun'zhe
约公元前,yue'gong'yuan'qian
在运动中,zai'yun'dong'zhong
暂时变动,zan'shi'bian'dong
早期希腊哲学,zao'qi'xi'la'zhe'xue
战略学,zhan'lue'xue
照单全收,zhao'dan'quan'shou
这些思想,zhe'xie'si'xiang
哲学基础,zhe'xue'ji'chu
哲学史,zhe'xue'shi
哲学思维,zhe'xue'si'wei
哲学体系,zhe'xue'ti'xi
哲学学派,zhe'xue'xue'pai
哲学学说,zhe'xue'xue'shuo
哲学研究,zhe'xue'yan'jiu
哲学之父,zhe'xue'zhi'fu
哲学追求,zhe'xue'zhui'qiu
这一主义,zhe'yi'zhu'yi
折衷主义,zhe'zhong'zhu'yi
真善美,zhen'shan'mei
真实本质,zhen'shi'ben'zhi
真实的存在,zhen'shi'de'cun'zai
真实知识,zhen'shi'zhi'shi
正确认识,zheng'que'ren'shi
整体需要,zheng'ti'xu'yao
政治传统,zheng'zhi'chuan'tong
政治活动,zheng'zhi'huo'dong
政治家篇,zheng'zhi'jia'pian
政治学家,zheng'zhi'xue'jia
指导原理,zhi'dao'yuan'li
值得拥有,zhi'de'yong'you
质料,zhi'liao
芝诺,zhi'nuo
智士篇,zhi'shi'pian
智者篇,zhi'zhe'pian
致知,zhi'zhi
忠诚可靠,zhong'cheng'ke'kao
中世纪,zhong'shi'ji
著名学派,zhu'ming'xue'pai
主要教条,zhu'yao'jiao'tiao
住在,zhu'zai
自然本身,zi'ran'ben'shen
自然的,zi'ran'de
自然过程,zi'ran'guo'cheng
自然科学,zi'ran'ke'xue
自然现象,zi'ran'xian'xiang
自然哲学家,zi'ran'zhe'xue'jia
自然哲学时期,zi'ran'zhe'xue'shi'qi
自我满足,zi'wo'man'zu
自相矛盾,zi'xiang'mao'dun
自由思想者,zi'you'si'xiang'zhe
宗教教条,zong'jiao'jiao'tiao
宗教伦理,zong'jiao'lun'li
宗教哲学,zong'jiao'zhe'xue
卒于,zu'yu
