爱思所牵引,ai'si'suo'qian'yin
此等尽相系,ci'deng'jin'xiang'xi
此等无别故,ci'deng'wu'bie'gu
次第产生者,ci'di'chan'sheng'zhe
此二说为因,ci'er'shuo'wei'yin
此非灯光等,ci'fei'deng'guang'deng
此非合力等,ci'fei'he'li'deng
此过亦等同,ci'guo'yi'deng'tong
此理若成立,ci'li'ruo'cheng'li
此名之所诠,ci'ming'zhi'suo'quan
此逆疑故谬,ci'ni'yi'gu'miu
此破大种法,ci'po'da'zhong'fa
此生之五处,ci'sheng'zhi'wu'chu
此是何原由,ci'shi'he'yuan'you
此说余亦尔,ci'shuo'yu'yi'er
此外若执因,ci'wai'ruo'zhi'yin
此我尔时无,ci'wo'er'shi'wu
此晓昆虫数,ci'xiao'kun'chong'shu
此有彼亦生,ci'you'bi'yi'sheng
此于彼亦有,ci'yu'bi'yi'you
此之重成无,ci'zhi'zhong'cheng'wu
从中生贪欲,cong'zhong'sheng'tan'yu
摧毁我所心,cui'hui'wo'suo'xin
存诸所依中,cun'zhu'suo'yi'zhong
错非风等法,cuo'fei'feng'deng'fa
大种心异故,da'zhong'xin'yi'gu
淡黄派等许,dan'huang'pai'deng'xu
当得增与减,dang'de'zeng'yu'jian
当来依鹫鹰,dang'lai'yi'jiu'ying
当知彼错等,dang'zhi'bi'cuo'deng
倒缘说无明,dao'yuan'shuo'wu'ming
得乐而流转,de'le'er'liu'zhuan
德实成无别,de'shi'cheng'wu'bie
等无间缘故,deng'wu'jian'yuan'gu
地等分毫无,di'deng'fen'hao'wu
颠倒识彼生,dian'dao'shi'bi'sheng
断除与功过,duan'chu'yu'gong'guo
断因具三德,duan'yin'ju'san'de
断应取舍故,duan'ying'qu'she'gu
对境未摈除,dui'jing'wei'bin'chu
对治与自品,dui'zhi'yu'zi'pin
多如有毒食,duo'ru'you'du'shi
而别非其果,er'bie'fei'qi'guo
而断我所心,er'duan'wo'suo'xin
而非依余者,er'fei'yi'yu'zhe
而非知一切,er'fei'zhi'yi'qie
尔后无能力,er'hou'wu'neng'li
而生诸过失,er'sheng'zhu'guo'shi
尔时彼流转,er'shi'bi'liu'zhuan
尔时苦增益,er'shi'ku'zeng'yi
尔时亦有贪,er'shi'yi'you'tan
而说成量性,er'shuo'cheng'liang'xing
而说相属者,er'shuo'xiang'zhu'zhe
而现昏迷等,er'xian'hun'mi'deng
凡是思我心,fan'shi'si'wo'xin
凡是贪我者,fan'shi'tan'wo'zhe
方便生彼因,fang'bian'sheng'bi'yin
方觅其余故,fang'mi'qi'yu'gu
方舍些微乐,fang'she'xie'wei'le
方说观修苦,fang'shuo'guan'xiu'ku
非白等依土,fei'bai'deng'yi'tu
非彼本性法,fei'bi'ben'xing'fa
非不成立性,fei'bu'cheng'li'xing
非不待自类,fei'bu'dai'zi'lei
非从惑业解,fei'cong'huo'ye'jie
非定已详说,fei'ding'yi'xiang'shuo
非断业及身,fei'duan'ye'ji'shen
非尔不成故,fei'er'bu'cheng'gu
非尔皆不定,fei'er'jie'bu'ding
非尔贪心等,fei'er'tan'xin'deng
非尔无力故,fei'er'wu'li'gu
非尔许不成,fei'er'xu'bu'cheng
非尔以热外,fei'er'yi're'wai
非尔有疗法,fei'er'you'liao'fa
非尔则陶师,fei'er'ze'tao'shi
非尔知现异,fei'er'zhi'xian'yi
非恒所依住,fei'heng'suo'yi'zhu
非呼吸生彼,fei'hu'xi'sheng'bi
非尽如色等,fei'jin'ru'se'deng
非具长存力,fei'ju'chang'cun'li
非具境性因,fei'ju'jing'xing'yin
非具余义因,fei'ju'yu'yi'yin
非苦所依故,fei'ku'suo'yi'gu
非乐作乐想,fei'le'zuo'yue'xiang
非理破依故,fei'li'po'yi'gu
非离贪有爱,fei'li'tan'you'ai
非令士不生,fei'ling'shi'bu'sheng
非能引其余,fei'neng'yin'qi'yu
非识彼亦无,fei'shi'bi'yi'wu
非识非识因,fei'shi'fei'shi'yin
非是若谓有,fei'shi'ruo'wei'you
非唯此即灭,fei'wei'ci'ji'mie
非未见故无,fei'wei'jian'gu'wu
非我非加持,fei'wo'fei'jia'chi
非无利于心,fei'wu'li'yu'xin
非已灭除罪,fei'yi'mie'chu'zui
非因非加持,fei'yin'fei'jia'chi
非因予遣除,fei'yin'yu'qian'chu
非由德起贪,fei'you'de'qi'tan
非有复次生,fei'you'fu'ci'sheng
非由见德致,fei'you'jian'de'zhi
非由业生过,fei'you'ye'sheng'guo
非由自在等,fei'you'zi'zai'deng
非于一尤贪,fei'yu'yi'you'tan
非与有情系,fei'yu'you'qing'xi
非真十六相,fei'zhen'shi'liu'xiang
分别假立义,fen'bie'jia'li'yi
分别随境转,fen'bie'sui'jing'zhuan
风排及引生,feng'pai'ji'yin'sheng
佛教徒宣说,fo'jiao'tu'xuan'shuo
佛陀行他利,fo'tuo'xing'ta'li
否则不合理,fou'ze'bu'he'li
否则非合理,fou'ze'fei'he'li
复不观待勤,fu'bu'guan'dai'qin
缚解皆非有,fu'jie'jie'fei'you
覆者亦应见,fu'zhe'yi'ying'jian
各自皆无力,ge'zi'jie'wu'li
根不明不见,gen'bu'ming'bu'jian
根除无始来,gen'chu'wu'shi'lai
根等非如是,gen'deng'fei'ru'shi
根等各无力,gen'deng'ge'wu'li
根等亦有余,gen'deng'yi'you'yu
根等执著为,gen'deng'zhi'zhuo'wei
共称非欲说,gong'cheng'fei'yu'shuo
功德所依灭,gong'de'suo'yi'mie
功能确定故,gong'neng'que'ding'gu
功能亦合尽,gong'neng'yi'he'jin
功能亦难悟,gong'neng'yi'nan'wu
汞与金混合,gong'yu'jin'hun'he
故爱是有依,gu'ai'shi'you'yi
故彼断不往,gu'bi'duan'bu'wang
故彼生不定,gu'bi'sheng'bu'ding
故彼是所依,gu'bi'shi'suo'yi
故察堪当彼,gu'cha'kan'dang'bi
故成恒有无,gu'cheng'heng'you'wu
故待彼能立,gu'dai'bi'neng'li
故二非离贪,gu'er'fei'li'tan
故非见非德,gu'fei'jian'fei'de
故非尽除过,gu'fei'jin'chu'guo
故非尽过患,gu'fei'jin'guo'huan
故非视一贪,gu'fei'shi'yi'tan
故非一切法,gu'fei'yi'qie'fa
故各无何力,gu'ge'wu'he'li
故根等不待,gu'gen'deng'bu'dai
故根由识起,gu'gen'you'shi'qi
故皆具贪等,gu'jie'ju'tan'deng
故瓶非谓色,gu'ping'fei'wei'se
故前无能力,gu'qian'wu'neng'li
故舍此惭见,gu'she'ci'can'jian
故生思无失,gu'sheng'si'wu'shi
故是无常性,gu'shi'wu'chang'xing
故识住所依,gu'shi'zhu'suo'yi
故贪由身生,gu'tan'you'shen'sheng
故悉种子性,gu'xi'zhong'zi'xing
故心独自住,gu'xin'du'zi'zhu
故心同时生,gu'xin'tong'shi'sheng
故心依于心,gu'xin'yi'yu'xin
故许悲无过,gu'xu'bei'wu'guo
故一非异时,gu'yi'fei'yi'shi
故蚁穴亦成,gu'yi'xue'yi'cheng
故亦有明说,gu'yi'you'ming'shuo
故有生有者,gu'you'sheng'you'zhe
故余不合理,gu'yu'bu'he'li
故欲解脱者,gu'yu'jie'tuo'zhe
故与生俱起,gu'yu'sheng'ju'qi
故欲有是因,gu'yu'you'shi'yin
观察其违品,guan'cha'qi'wei'pin
观察自相故,guan'cha'zi'xiang'gu
灌顶不能除,guan'ding'bu'neng'chu
灌顶等无间,guan'ding'deng'wu'jian
观苦而断除,guan'ku'er'duan'chu
果别由何致,guo'bie'you'he'zhi
过患所依故,guo'huan'suo'yi'gu
过灭如固体,guo'mie'ru'gu'ti
过心自类种,guo'xin'zi'lei'zhong
过因中起嗔,guo'yin'zhong'qi'chen
果总亦能证,guo'zong'yi'neng'zheng
毫亦不执我,hao'yi'bu'zhi'wo
何不依彼许,he'bu'yi'bi'xu
何不执为因,he'bu'zhi'wei'yin
何处不产生,he'chu'bu'chan'sheng
何法余有德,he'fa'yu'you'de
何非依何别,he'fei'yi'he'bie
何故不说彼,he'gu'bu'shuo'bi
何故成如此,he'gu'cheng'ru'ci
何故而承许,he'gu'er'cheng'xu
何故而消失,he'gu'er'xiao'shi
何故妄断言,he'gu'wang'duan'yan
何故许彼因,he'gu'xu'bi'yin
何故许罗汉,he'gu'xu'luo'han
何后无结生,he'hou'wu'jie'sheng
何时不待身,he'shi'bu'dai'shen
何时具贪欲,he'shi'ju'tan'yu
何事无变异,he'shi'wu'bian'yi
何时已造作,he'shi'yi'zao'zuo
何体成显现,he'ti'cheng'xian'xian
何外他体无,he'wai'ta'ti'wu
何许是耽著,he'xu'shi'dan'zhu
何益彼为因,he'yi'bi'wei'yin
何义心中明,he'yi'xin'zhong'ming
何有则何有,he'you'ze'he'you
黑者伤及愈,hei'zhe'shang'ji'yu
恒随彼因故,heng'sui'bi'yin'gu
后定同类生,hou'ding'tong'lei'sheng
后士亦了知,hou'shi'yi'le'zhi
后亦成如是,hou'yi'cheng'ru'shi
呼吸非决定,hu'xi'fei'jue'ding
呼吸根及识,hu'xi'gen'ji'shi
互异即无义,hu'yi'ji'wu'yi
患违身非因,huan'wei'shen'fei'yin
慧等增及减,hui'deng'zeng'ji'jian
会合等相属,hui'he'deng'xiang'zhu
会合者之因,hui'he'zhe'zhi'yin
或彼咬已除,huo'bi'yao'yi'chu
或法不知故,huo'fa'bu'zhi'gu
或救说四谛,huo'jiu'shuo'si'di
或谓烦恼性,huo'wei'fan'nao'xing
活亦成无能,huo'yi'cheng'wu'neng
火已遮破故,huo'yi'zhe'po'gu
或因接近故,huo'yin'jie'jin'gu
或于此地等,huo'yu'ci'di'deng
或与自所依,huo'yu'zi'suo'yi
即将生悲心,ji'jiang'sheng'bei'xin
及其方法者,ji'qi'fang'fa'zhe
极其过分故,ji'qi'guo'fen'gu
即诠有法名,ji'quan'you'fa'ming
即善彼由见,ji'shan'bi'you'jian
即是善逝性,ji'shi'shan'shi'xing
即是心之因,ji'shi'xin'zhi'yin
即识依于彼,ji'shi'yi'yu'bi
极微故非知,ji'wei'gu'fei'zhi
即用瓶之名,ji'yong'ping'zhi'ming
即由思能力,ji'you'si'neng'li
及于过去等,ji'yu'guo'qu'deng
即余明之本,ji'yu'ming'zhi'ben
驾驭故彼生,jia'yu'gu'bi'sheng
见变故生他,jian'bian'gu'sheng'ta
见不调亦贪,jian'bu'tiao'yi'tan
见此论式故,jian'ci'lun'shi'gu
见此若改变,jian'ci'ruo'gai'bian
见德生耽著,jian'de'sheng'dan'zhu
渐非无别故,jian'fei'wu'bie'gu
见故非自然,jian'gu'fei'zi'ran
见具结生力,jian'ju'jie'sheng'li
见其差异故,jian'qi'cha'yi'gu
见求真理是,jian'qiu'zhen'li'shi
见贪有何过,jian'tan'you'he'guo
见我所如我,jian'wo'suo'ru'wo
见远否皆可,jian'yuan'fou'jie'ke
见种种果故,jian'zhong'zhong'guo'gu
将生我所心,jiang'sheng'wo'suo'xin
教是此事因,jiao'shi'ci'shi'yin
皆变或不变,jie'bian'huo'bu'bian
皆非能妨害,jie'fei'neng'fang'hai
结生能力无,jie'sheng'neng'li'wu
结生有何违,jie'sheng'you'he'wei
皆无别成故,jie'wu'bie'cheng'gu
近取无变异,jin'qu'wu'bian'yi
近取已遮破,jin'qu'yi'zhe'po
今无离贪者,jin'wu'li'tan'zhe
尽业疲无义,jin'ye'pi'wu'yi
今于何离贪,jin'yu'he'li'tan
仅知苦相续,jin'zhi'ku'xiang'xu
精尽漏血尔,jing'jin'lou'xue'er
境亦非依据,jing'yi'fei'yi'ju
救护知真如,jiu'hu'zhi'zhen'ru
救者见道说,jiu'zhe'jian'dao'shuo
具悲故诸为,ju'bei'gu'zhu'wei
具悲为灭苦,ju'bei'wei'mie'ku
具彼佛为量,ju'bi'fo'wei'liang
具彼之彼等,ju'bi'zhi'bi'deng
具彼自体说,ju'bi'zi'ti'shuo
具差别次第,ju'cha'bie'ci'di
具根非生心,ju'gen'fei'sheng'xin
具能立说彼,ju'neng'li'shuo'bi
具如此能引,ju'ru'ci'neng'yin
具生灭心故,ju'sheng'mie'xin'gu
具生识力故,ju'sheng'shi'li'gu
俱生未断故,ju'sheng'wei'duan'gu
俱生有情见,ju'sheng'you'qing'jian
具手故证象,ju'shou'gu'zheng'xiang
具数及业等,ju'shu'ji'ye'deng
聚亦无能力,ju'yi'wu'neng'li
聚有德彼等,ju'you'de'bi'deng
俱有缘尽故,ju'you'yuan'jin'gu
具造受用相,ju'zao'shou'yong'xiang
具足数目等,ju'zu'shu'mu'deng
决定贪我者,jue'ding'tan'wo'zhe
可见或有因,ke'jian'huo'you'yin
可见前前根,ke'jian'qian'qian'gen
空见相违故,kong'jian'xiang'wei'gu
苦即流转蕴,ku'ji'liu'zhuan'yun
苦行许异惑,ku'xing'xu'yi'huo
乐我我所等,le'wo'wo'suo'deng
乐亦不起贪,le'yi'bu'qi'tan
了知痛苦因,le'zhi'tong'ku'yin
力非事外境,li'fei'shi'wai'jing
离坏聚见故,li'huai'ju'jian'gu
力渐除违品,li'jian'chu'wei'pin
离贪生未见,li'tan'sheng'wei'jian
离贪我之因,li'tan'wo'zhi'yin
离贪智慧等,li'tan'zhi'hui'deng
离一支亦非,li'yi'zhi'yi'fei
量不成义宗,liang'bu'cheng'yi'zong
量即无欺识,liang'ji'wu'qi'shi
量即知隐事,liang'ji'zhi'yin'shi
了悟因体故,liao'wu'yin'ti'gu
了悟真相者,liao'wu'zhen'xiang'zhe
令彼住他何,ling'bi'zhu'ta'he
令其住他何,ling'qi'zhu'ta'he
领受果报者,ling'shou'guo'bao'zhe
领受及名言,ling'shou'ji'ming'yan
领受生忆念,ling'shou'sheng'yi'nian
令我贪坚固,ling'wo'tan'jian'gu
流转一切处,liu'zhuan'yi'qie'chu
轮回故无解,lun'hui'gu'wu'jie
论能遣愚痴,lun'neng'qian'yu'chi
灭故事相续,mie'gu'shi'xiang'xu
灭即法尔有,mie'ji'fa'er'you
名称非异名,ming'cheng'fei'yi'ming
名起亦如是,ming'qi'yi'ru'shi
名识随异事,ming'shi'sui'yi'shi
名虽不成立,ming'sui'bu'cheng'li
名同无别故,ming'tong'wu'bie'gu
明未知义尔,ming'wei'zhi'yi'er
明知违品故,ming'zhi'wei'pin'gu
末心有结生,mo'xin'you'jie'sheng
末心与他心,mo'xin'yu'ta'xin
乃无我见依,nai'wu'wo'jian'yi
乃由苦乐生,nai'you'ku'le'sheng
乃暂时性故,nai'zan'shi'xing'gu
乃至身变前,nai'zhi'shen'bian'qian
乃诸论师说,nai'zhu'lun'shi'shuo
内非由外相,nei'fei'you'wai'xiang
内义别中生,nei'yi'bie'zhong'sheng
内义近中生,nei'yi'jin'zhong'sheng
能表彼力异,neng'biao'bi'li'yi
能成亦无过,neng'cheng'yi'wu'guo
能摧爱随行,neng'cui'ai'sui'xing
能害见无我,neng'hai'jian'wu'wo
能力各相异,neng'li'ge'xiang'yi
能立修悲中,neng'li'xiu'bei'zhong
能利亦容有,neng'li'yi'rong'you
能立亦有咎,neng'li'yi'you'jiu
能令业不生,neng'ling'ye'bu'sheng
能灭一切过,neng'mie'yi'qie'guo
能起作用等,neng'qi'zuo'yong'deng
能诠似异法,neng'quan'si'yi'fa
能生核心事,neng'sheng'he'xin'shi
能依非毁灭,neng'yi'fei'hui'mie
能引相续故,neng'yin'xiang'xu'gu
能转难得故,neng'zhuan'nan'de'gu
念及行苦已,nian'ji'xing'ku'yi
譬如谓长串,pi'ru'wei'chang'chuan
破彼分支事,po'bi'fen'zhi'shi
岂非已跟随,qi'fei'yi'gen'sui
起功用不欺,qi'gong'yong'bu'qi
其果何能遮,qi'guo'he'neng'zhe
其即不投生,qi'ji'bu'tou'sheng
其量住何处,qi'liang'zhu'he'chu
其是合理性,qi'shi'he'li'xing
其体先不现,qi'ti'xian'bu'xian
气息行弱等,qi'xi'xing'ruo'deng
其因力勤习,qi'yin'li'qin'xi
前前刹那者,qian'qian'cha'na'zhe
前无而生中,qian'wu'er'sheng'zhong
前行趋入者,qian'xing'qu'ru'zhe
前自类是因,qian'zi'lei'shi'yin
勤行者非有,qin'xing'zhe'fei'you
勤修诸方便,qin'xiu'zhu'fang'bian
勤作令后后,qin'zuo'ling'hou'hou
勤作亦不退,qin'zuo'yi'bu'tui
请说由何生,qing'shuo'you'he'sheng
取受而能障,qu'shou'er'neng'zhang
取已所取故,qu'yi'suo'qu'gu
趋知依即作,qu'zhi'yi'ji'zuo
诠一义一切,quan'yi'yi'yi'qie
却未生果故,que'wei'sheng'guo'gu
缺一则不生,que'yi'ze'bu'sheng
然彼非离贪,ran'bi'fei'li'tan
然此异所依,ran'ci'yi'suo'yi
然无无热火,ran'wu'wu're'huo
然一无有故,ran'yi'wu'you'gu
饶益一切具,rao'yi'yi'qie'ju
热次第有别,re'ci'di'you'bie
热石等何见,re'shi'deng'he'jian
如鸱枭派前,ru'chi'xiao'pai'qian
如此二无过,ru'ci'er'wu'guo
如此互为因,ru'ci'hu'wei'yin
如此生之因,ru'ci'sheng'zhi'yin
如道过复起,ru'dao'guo'fu'qi
如根如色味,ru'gen'ru'se'wei
如何能证知,ru'he'neng'zheng'zhi
如何失已作,ru'he'shi'yi'zuo
如何需所依,ru'he'xu'suo'yi
如何许我灭,ru'he'xu'wo'mie
如何有即因,ru'he'you'ji'yin
如何有取彼,ru'he'you'qu'bi
如黄野黄牛,ru'huang'ye'huang'niu
如灰不定故,ru'hui'bu'ding'gu
如灰物推火,ru'hui'wu'tui'huo
如火等燃柴,ru'huo'deng'ran'chai
如火红铜液,ru'huo'hong'tong'ye
如火于瓶等,ru'huo'yu'ping'deng
如火于薪金,ru'huo'yu'xin'jin
如见未得女,ru'jian'wei'de'nv
如金之硬性,ru'jin'zhi'ying'xing
如离身发等,ru'li'shen'fa'deng
如离贪贪厌,ru'li'tan'tan'yan
如目不明者,ru'mu'bu'ming'zhe
如泥无变异,ru'ni'wu'bian'yi
如前过亦同,ru'qian'guo'yi'tong
如热贪等变,ru're'tan'deng'bian
如若彼无有,ru'ruo'bi'wu'you
如色等不定,ru'se'deng'bu'ding
如蛇所咬肢,ru'she'suo'yao'zhi
如声依虚空,ru'sheng'yi'xu'kong
如是不成嗔,ru'shi'bu'cheng'chen
如识成取故,ru'shi'cheng'qu'gu
如是此是非,ru'shi'ci'shi'fei
如是此亦尔,ru'shi'ci'yi'er
如是修前前,ru'shi'xiu'qian'qian
如是有差异,ru'shi'you'cha'yi
如水如金汞,ru'shui'ru'jin'gong
如跳及水温,ru'tiao'ji'shui'wen
如外非实体,ru'wai'fei'shi'ti
如无种子芽,ru'wu'zhong'zi'ya
如心别有者,ru'xin'bie'you'zhe
如行故证牛,ru'xing'gu'zheng'niu
如一者尽成,ru'yi'zhe'jin'cheng
如欲于余女,ru'yu'yu'yu'nv
锐等无有因,rui'deng'wu'you'yin
若彼成无用,ruo'bi'cheng'wu'yong
若彼离因故,ruo'bi'li'yin'gu
若彼亦他义,ruo'bi'yi'ta'yi
若彼由身生,ruo'bi'you'shen'sheng
若不离大性,ruo'bu'li'da'xing
若不许我所,ruo'bu'xu'wo'suo
若大种别致,ruo'da'zhong'bie'zhi
若断岂有有,ruo'duan'qi'you'you
若非多之因,ruo'fei'duo'zhi'yin
若非皆假立,ruo'fei'jie'jia'li
若何事是因,ruo'he'shi'shi'yin
若近命名许,ruo'jin'ming'ming'xu
若如灯心等,ruo'ru'deng'xin'deng
若身顿生识,ruo'shen'dun'sheng'shi
若事依他灭,ruo'shi'yi'ta'mie
若是自灭性,ruo'shi'zi'mie'xing
若随此理许,ruo'sui'ci'li'xu
若贪等虽异,ruo'tan'deng'sui'yi
若未见去来,ruo'wei'jian'qu'lai
若为尽二勤,ruo'wei'jin'er'qin
若谓金与汞,ruo'wei'jin'yu'gong
若谓苦所依,ruo'wei'ku'suo'yi
若谓如水等,ruo'wei'ru'shui'deng
若许此假立,ruo'xu'ci'jia'li
若依苦行力,ruo'yi'ku'xing'li
若一识知多,ruo'yi'shi'zhi'duo
若亦许贪等,ruo'yi'xu'tan'deng
若因已增长,ruo'yin'yi'zeng'zhang
若由不等生,ruo'you'bu'deng'sheng
若由前同类,ruo'you'qian'tong'lei
若有取舍别,ruo'you'qu'she'bie
若与对治系,ruo'yu'dui'zhi'xi
若于我离贪,ruo'yu'wo'li'tan
若欲愿安乐,ruo'yu'yuan'an'le
