啊就一般性,a'jiu'yi'ban'xing
大绍兴,da'shao'xing
大市聚,da'shi'ju
打双扣,da'shuang'kou
大滩,da'tan
大唐的,da'tang'de
大唐了,da'tang'le
大唐镇,da'tang'zhen
大通,da'tong
搭头,da'tou
大王庙,da'wang'miao
大香林,da'xiang'lin
大禹陵,da'yu'ling
大浙江,da'zhe'jiang
大诸暨,da'zhu'ji
单面绒,dan'mian'rong
当不看,dang'bu'kan
挡不牢,dang'bu'lao
挡不牢了,dang'bu'lao'le
挡不住了,dang'bu'zhu'le
挡车工,dang'che'gong
党山,dang'shan
到吃过,dao'chi'guo
到吃好,dao'chi'hao
到柯桥,dao'ke'qiao
倒牌子,dao'pai'zi
到上虞,dao'shang'yu
到绍兴,dao'shao'xing
到嵊州,dao'sheng'zhou
到新昌,dao'xin'chang
到诸暨,dao'zhu'ji
得七得八,de'qi'de'ba
底布,di'bu
低弹,di'dan
迪荡,di'dang
第二医院,di'er'yi'yuan
第七医院,di'qi'yi'yuan
滴水岩,di'shui'yan
涤丝,di'si
涤塔夫,di'ta'fu
笛扬路,di'yang'lu
第一百货,di'yi'bai'huo
第一桥,di'yi'qiao
店口,dian'kou
店口的,dian'kou'de
店口镇,dian'kou'zhen
鼎乐迪,ding'le'di
定型机,ding'xing'ji
丁宅,ding'zhai
东白湖,dong'bai'hu
东白山,dong'bai'shan
冻出来,dong'chu'lai
东方大厦,dong'fang'da'sha
东方都市,dong'fang'du'shi
东关,dong'guan
东光村,dong'guang'cun
东湖镇,dong'hu'zhen
东浦镇,dong'pu'zhen
东山湖,dong'shan'hu
东升路,dong'sheng'lu
懂也不懂,dong'ye'bu'dong
豆腐包,dou'fu'bao
豆腐年糕,dou'fu'nian'gao
斗门镇,dou'men'zhen
读好了,du'hao'le
毒头,du'tou
对毛,dui'mao
对七对八,dui'qi'dui'ba
盾安,dun'an
多不多的,duo'bu'duo'de
嗯接,en'jie
嗯牛,en'niu
二阿姨,er'a'yi
饭吃过,fan'chi'guo
饭吃好,fan'chi'hao
纺机,fang'ji
纺织品,fang'zhi'pin
菲达,fei'da
凤凰山,feng'huang'shan
丰惠,feng'hui
枫桥,feng'qiao
枫桥镇,feng'qiao'zhen
缝头,feng'tou
否晓得,fou'xiao'de
否要,fou'yao
妇保院,fu'bao'yuan
富豪路,fu'hao'lu
复合丝,fu'he'si
府横街,fu'heng'jie
富丽华,fu'li'hua
福全,fu'quan
福全镇,fu'quan'zhen
府山,fu'shan
府山西路,fu'shan'xi'lu
富盛,fu'sheng
福田花园,fu'tian'hua'yuan
覆卮山,fu'zhi'shan
服装市场,fu'zhuang'shi'chang
嘎多,ga'duo
嘎个,ga'ge
噶介个,ga'jie'ge
嘎快,ga'kuai
噶忙,ga'mang
嘎么,ga'me
噶要,ga'yao
噶哟,ga'yo
噶远,ga'yuan
盖北,gai'bei
干菜,gan'cai
干菜饼,gan'cai'bing
干菜肉,gan'cai'rou
干菜汤,gan'cai'tang
甘茶度,gan'cha'du
甘霖镇,gan'lin'zhen
缸号,gang'hao
港越,gang'yue
港越路,gang'yue'lu
皋埠,gao'bu
搞不灵清,gao'bu'ling'qing
皋埠镇,gao'bu'zhen
高湖路,gao'hu'lu
工地里,gong'di'li
供销超市,gong'xiao'chao'shi
供销大厦,gong'xiao'da'sha
够了的,gou'le'de
古纤道,gu'qian'dao
鼓山,gu'shan
骨头煲,gu'tou'bao
古越,gu'yue
古越龙山,gu'yue'long'shan
挂盐水,gua'yan'shui
瓜渚,gua'zhu
瓜渚湖,gua'zhu'hu
瓜子湖,gua'zi'hu
管不牢,guan'bu'lao
关出,guan'chu
广宁桥,guang'ning'qiao
桂花园,gui'hua'yuan
国邦,guo'bang
国际大酒店,guo'ji'da'jiu'dian
郭家,guo'jia
过来好了,guo'lai'hao'le
国商,guo'shang
哈也,ha'ye
还好看的,hai'hao'kan'de
海皇世家,hai'huang'shi'jia
海涂,hai'tu
韩国料理,han'guo'liao'li
韩国绒,han'guo'rong
杭金衢,hang'jin'qu
杭甬,hang'yong
杭州乐园,hang'zhou'le'yuan
杭州湾,hang'zhou'wan
好的蛮,hao'de'man
好个好个,hao'ge'hao'ge
好够,hao'gou
好古,hao'gu
好接,hao'jie
好来了,hao'lai'le
好难为情,hao'nan'wei'qing
豪尚豪,hao'shang'hao
好省,hao'sheng
好睡啦,hao'shui'la
好睡了,hao'shui'le
和畅堂,he'chang'tang
鹤池苑,he'chi'yuan
何村,he'cun
河山桥,he'shan'qiao
黑鱼馆,hei'yu'guan
横街,heng'jie
横路,heng'lu
后村,hou'cun
吼山,hou'shan
后生哥,hou'sheng'ge
后生人,hou'sheng'ren
后夜班,hou'ye'ban
湖莲潭,hu'lian'tan
华维,hua'wei
花为媒,hua'wei'mei
花型,hua'xing
花瑶绉,hua'yao'zhou
华宇天庭,hua'yu'tian'ting
环城河,huan'cheng'he
浣东,huan'dong
浣东街道,huan'dong'jie'dao
浣江,huan'jiang
浣纱,huan'sha
浣纱小学,huan'sha'xiao'xue
璜山,huang'shan
慌死了,huang'si'le
慌兮兮,huang'xi'xi
回山,hui'shan
回上虞,hui'shang'yu
回绍兴,hui'shao'xing
回头考,hui'tou'kao
茴香豆,hui'xiang'dou
回新昌,hui'xin'chang
回诸暨,hui'zhu'ji
活蛋,huo'dan
集成灶,ji'cheng'zao
机缸,ji'gang
麂皮绒,ji'pi'rong
鸡婆店,ji'po'dian
稽山,ji'shan
稽山中学,ji'shan'zhong'xue
几时侯,ji'shi'hou
暨阳街道,ji'yang'jie'dao
佳飞,jia'fei
佳丽纱,jia'li'sha
佳萍,jia'ping
嘉绍大桥,jia'shao'da'qiao
鉴湖,jian'hu
鉴湖景园,jian'hu'jing'yuan
鉴湖路,jian'hu'lu
鉴湖镇,jian'hu'zhen
鉴湖中学,jian'hu'zhong'xue
江滨公园,jiang'bin'gong'yuan
江东路,jiang'dong'lu
讲空话,jiang'kong'hua
叫说,jiao'shuo
洁丽雅,jie'li'ya
街亭,jie'ting
金德隆,jin'de'long
金湖湾,jin'hu'wan
金鸡,jin'ji
金鸡百花,jin'ji'bai'hua
金家,jin'jia
金家村,jin'jia'cun
金柯桥,jin'ke'qiao
锦乐宫,jin'le'gong
金麦霸,jin'mai'ba
金片,jin'pian
金桥花园,jin'qiao'hua'yuan
金色家园,jin'se'jia'yuan
金时代,jin'shi'dai
金庭,jin'ting
锦绣华庭,jin'xiu'hua'ting
金永泰,jin'yong'tai
金鱼湾,jin'yu'wan
句对,ju'dui
开发委,kai'fa'wei
凯乐迪,kai'le'di
看太公,kan'tai'gong
考不出,kao'bu'chu
考出,kao'chu
考出了,kao'chu'le
柯北,ke'bei
柯迪,ke'di
柯笛花园,ke'di'hua'yuan
柯东,ke'dong
柯桥,ke'qiao
柯桥的,ke'qiao'de
柯桥了,ke'qiao'le
柯桥吗,ke'qiao'ma
柯桥人,ke'qiao'ren
柯桥镇,ke'qiao'zhen
柯桥中学,ke'qiao'zhong'xue
可莎蜜儿,ke'sha'mi'er
柯岩,ke'yan
柯岩风景区,ke'yan'feng'jing'qu
柯岩街道,ke'yan'jie'dao
柯岩中学,ke'yan'zhong'xue
客运中心,ke'yun'zhong'xin
克重,ke'zhong
空对,kong'dui
空对对,kong'dui'dui
空牢牢,kong'lao'lao
空气层,kong'qi'ceng
孔雀宫,kong'que'gong
空死了,kong'si'le
扣慌,kou'huang
扣鸡,kou'ji
快丢,kuai'diu
快阁苑,kuai'ge'yuan
会稽山,kuai'ji'shan
快捷回复,kuai'jie'hui'fu
快乐迪,kuai'le'di
快色,kuai'se
昆仑国际,kun'lun'guo'ji
拉芳舍,la'fang'she
拉毛,la'mao
来必堡,lai'bi'bao
来好了,lai'hao'le
来柯桥,lai'ke'qiao
来上虞,lai'shang'yu
来绍兴,lai'shao'xing
来嵊州,lai'sheng'zhou
来新昌,lai'xin'chang
来浙江,lai'zhe'jiang
来诸暨,lai'zhu'ji
烂花,lan'hua
蓝色沸点,lan'se'fei'dian
兰亭,lan'ting
兰亭镇,lan'ting'zhen
浪漫一身,lang'man'yi'shen
老板人家,lao'ban'ren'jia
老厂,lao'chang
老大通,lao'da'tong
牢度,lao'du
老国商,lao'guo'shang
老胡子,lao'hu'zi
老妈管,lao'ma'guan
老捏婆,lao'nie'po
老市场,lao'shi'chang
老太公,lao'tai'gong
老台门,lao'tai'men
老汤面,lao'tang'mian
老鹰山,lao'ying'shan
老作坊,lao'zuo'fang
了删了,le'shan'le
雷迪森,lei'di'sen
冷饭头,leng'fan'tou
理单,li'dan
里谷社,li'gu'she
理论看,li'lun'kan
理论考,li'lun'kao
历史与社会,li'shi'yu'she'hui
梨头,li'tou
漓渚,li'zhu
联合市场,lian'he'shi'chang
莲花落,lian'hua'lao
两东路,liang'dong'lu
凉风洞,liang'feng'dong
岭北,ling'bei
灵芝镇,ling'zhi'zhen
龙盛,long'sheng
龙洲花园,long'zhou'hua'yuan
娄宫,lou'gong
楼家,lou'jia
路近,lu'jin
鹿山,lu'shan
鲁迅,lu'xun
鲁迅电影城,lu'xun'dian'ying'cheng
鲁迅电影院,lu'xun'dian'ying'yuan
鲁迅故居,lu'xun'gu'ju
鲁迅故里,lu'xun'gu'li
鲁迅路,lu'xun'lu
鲁迅路口,lu'xun'lu'kou
鲁迅小学,lu'xun'xiao'xue
鲁迅中学,lu'xun'zhong'xue
鲁镇,lu'zhen
鲁中,lu'zhong
乱对,luan'dui
罗口,luo'kou
罗马布,luo'ma'bu
马鞍镇,ma'an'zhen
马大王,ma'da'wang
码单,ma'dan
麻灰,ma'hui
马剑,ma'jian
马山,ma'shan
马山镇,ma'shan'zhen
马臻路,ma'zhen'lu
买点来,mai'dian'lai
麦香城,mai'xiang'cheng
麦香村,mai'xiang'cun
慢慢来好了,man'man'lai'hao'le
曼妙午后,man'miao'wu'hou
毛笋,mao'sun
毛想想,mao'xiang'xiang
煤饼,mei'bing
湄池,mei'chi
没得读,mei'de'du
霉豆腐,mei'dou'fu
没考出,mei'kao'chu
美丽会,mei'li'hui
美丽家,mei'li'jia
美泉宫,mei'quan'gong
梅墅,mei'shu
没数的,mei'shu'de
没说起,mei'shuo'qi
没素,mei'su
门幅,men'fu
门市部,men'shi'bu
孟建平,meng'jian'ping
米数,mi'shu
描稿,miao'gao
名人广场,ming'ren'guang'chang
缪家桥,miu'jia'qiao
磨店,mo'dian
木牢牢,mu'lao'lao
木卵,mu'luan
哪噶,na'ga
哪几,na'ji
那莫,na'mo
那也好的,na'ye'hao'de
南复线,nan'fu'xian
南明街道,nan'ming'jie'dao
南山水库,nan'shan'shui'ku
难为情,nan'wei'qing
难为情的,nan'wei'qing'de
难为情了,nan'wei'qing'le
男眼睛,nan'yan'jing
闹戏,nao'xi
脑西搭牢,nao'xi'da'lao
脑子大佬,nao'zi'da'lao
脑子呢,nao'zi'ne
内娟,nei'juan
你杭州,ni'hang'zhou
你好空,ni'hao'kong
你好睡了,ni'hao'shui'le
你很空,ni'hen'kong
你叫说,ni'jiao'shuo
你科学,ni'ke'xue
你来好了,ni'lai'hao'le
你来绍兴,ni'lai'shao'xing
你脑子呢,ni'nao'zi'ne
你去好了,ni'qu'hao'le
你绍兴,ni'shao'xing
你相貌,ni'xiang'mao
你也好睡了,ni'ye'hao'shui'le
你也可以睡了,ni'ye'ke'yi'shui'le
你又知道的,ni'you'zhi'dao'de
你在柯桥,ni'zai'ke'qiao
你在绍兴,ni'zai'shao'xing
你在诸暨,ni'zai'zhu'ji
娘当,niang'dang
捏逼,nie'bi
捏句,nie'ju
牛头山,niu'tou'shan
侬个,nong'ge
女儿红,nv'er'hong
哦比,o'bi
欧比,ou'bi
讴歌,ou'ge
牌头,pai'tou
牌头镇,pai'tou'zhen
袍江,pao'jiang
胚布,pei'bu
坯布,pi'bu
皮道,pi'dao
匹数,pi'shu
匹样,pi'yang
品质样,pin'zhi'yang
平水,ping'shui
平水镇,ping'shui'zhen
平网,ping'wang
平绣,ping'xiu
破掉了,po'diao'le
普乐迪,pu'le'di
浦阳江,pu'yang'jiang
七号桥,qi'hao'qiao
气翘头,qi'qiao'tou
齐贤镇,qi'xian'zhen
七星大桥,qi'xing'da'qiao
七星街道,qi'xing'jie'dao
欠好,qian'hao
千客隆,qian'ke'long
钱亲,qian'qin
钱清,qian'qing
钱清镇,qian'qing'zhen
千飒飒,qian'sa'sa
千色色,qian'se'se
千死了,qian'si'le
钱塘江,qian'tang'jiang
墙布,qiang'bu
乔波,qiao'bo
翘掉了,qiao'diao'le
敲印,qiao'yin
伽蓝殿,qie'lan'dian
亲眷,qin'juan
亲亲家园,qin'qin'jia'yuan
亲情网,qin'qing'wang
轻纺,qing'fang
轻纺城,qing'fang'cheng
青山头,qing'shan'tou
去柯桥,qu'ke'qiao
去买来,qu'mai'lai
去上虞,qu'shang'yu
去绍兴,qu'shao'xing
去嵊州,qu'sheng'zhou
去世贸,qu'shi'mao
去诸暨,qu'zhu'ji
全涤,quan'di
全棉,quan'mian
全塘,quan'tang
全雍城,quan'yong'cheng
群贤,qun'xian
群贤路,qun'xian'lu
染厂,ran'chang
染底,ran'di
染费,ran'fei
染色布,ran'se'bu
染整,ran'zheng
人好的呀,ren'hao'de'ya
人棉,ren'mian
人民路口,ren'min'lu'kou
人造棉,ren'zao'mian
日发,ri'fa
荣怀,rong'huai
荣记,rong'ji
儒岙,ru'ao
瑞丰,rui'feng
瑞丰银行,rui'feng'yin'hang
润和,run'he
润泽大院,run'ze'da'yuan
三道湾,san'dao'wan
三江城,san'jiang'cheng
三角广场,san'jiao'guang'chang
三棚桥,san'peng'qiao
三摊,san'tan
三味书屋,san'wei'shu'wu
色丁,se'ding
色卡,se'ka
色织,se'zhi
森海豪庭,sen'hai'hao'ting
沙地王,sha'di'wang
纱卡,sha'ka
啥西,sha'xi
纱支,sha'zhi
山里头,shan'li'tou
剡溪,shan'xi
山下湖,shan'xia'hu
山阴路,shan'yin'lu
伤膏,shang'gao
上口爱,shang'kou'ai
上礼泉,shang'li'quan
上虞,shang'yu
上虞的,shang'yu'de
上虞了,shang'yu'le
上虞人,shang'yu'ren
上虞市,shang'yu'shi
绍话,shao'hua
绍剧,shao'ju
绍兴,shao'xing
绍兴啊,shao'xing'a
绍兴吧,shao'xing'ba
绍兴北,shao'xing'bei
绍兴的,shao'xing'de
绍兴话,shao'xing'hua
绍兴啦,shao'xing'la
绍兴了,shao'xing'le
绍兴吗,shao'xing'ma
绍兴哪里,shao'xing'na'li
绍兴人,shao'xing'ren
绍兴日报,shao'xing'ri'bao
绍兴润和,shao'xing'run'he
绍兴市,shao'xing'shi
绍兴市区,shao'xing'shi'qu
绍兴天气,shao'xing'tian'qi
绍兴天下,shao'xing'tian'xia
绍兴文理,shao'xing'wen'li
绍兴文理学院,shao'xing'wen'li'xue'yuan
绍兴县,shao'xing'xian
绍兴一中,shao'xing'yi'zhong
绍兴银行,shao'xing'yin'hang
绍兴站,shao'xing'zhan
沈园,shen'yuan
沈园堂,shen'yuan'tang
胜利东路,sheng'li'dong'lu
胜利西路,sheng'li'xi'lu
盛武肥牛,sheng'wu'fei'niu
嵊州,sheng'zhou
嵊州大桥,sheng'zhou'da'qiao
嵊州的,sheng'zhou'de
嵊州了,sheng'zhou'le
嵊州人,sheng'zhou'ren
嵊州市,sheng'zhou'shi
嵊州中学,sheng'zhou'zhong'xue
是的毛,shi'de'mao
是个接,shi'ge'jie
世禾新村,shi'he'xin'cun
石璜,shi'huang
世纪广场,shi'ji'guang'chang
世纪街,shi'ji'jie
是接,shi'jie
十九峰,shi'jiu'feng
十里荷塘,shi'li'he'tang
十里牌,shi'li'pai
世贸,shi'mao
世贸广场,shi'mao'guang'chang
是绍兴,shi'shao'xing
是说啊,shi'shuo'a
是说呀,shi'shuo'ya
寿酒,shou'jiu
舒棉绒,shu'mian'rong
书圣,shu'sheng
书圣故里,shu'sheng'gu'li
双彩,shuang'cai
双扣,shuang'kou
双梅,shuang'mei
双面绒,shuang'mian'rong
双岁,shuang'sui
水沟营,shui'gou'ying
水磨坊,shui'mo'fang
水木清华,shui'mu'qing'hua
水暖城,shui'nuan'cheng
水泡饭,shui'pao'fan
舜江,shun'jiang
舜杰,shun'jie
舜泉,shun'quan
顺旺基,shun'wang'ji
说不好的,shuo'bu'hao'de
四面弹,si'mian'tan
四明山,si'ming'shan
斯宅,si'zhai
宋梅桥,song'mei'qiao
嗖西,sou'xi
算接,suan'jie
随个,sui'ge
随古,sui'gu
随过,sui'guo
随好,sui'hao
随话,sui'hua
孙端,sun'duan
所系,suo'xi
梭织,suo'zhi
塔山,ta'shan
泰弗尔,tai'fu'er
台门,tai'men
太子龙,tai'zi'long
谈胖,tan'pang
谈头,tan'tou
汤江岩,tang'jiang'yan
汤姆斯,tang'mu'si
唐人广场,tang'ren'guang'chang
唐三彩,tang'san'cai
套色,tao'shai
桃形李,tao'xing'li
陶朱街道,tao'zhu'jie'dao
特头,te'tou
提花布,ti'hua'bu
剃头酒,ti'tou'jiu
天宝坊,tian'bao'fang
天镜南苑,tian'jing'nan'yuan
天姥山,tian'mu'shan
天香华庭,tian'xiang'hua'ting
天一阁,tian'yi'ge
天柱山,tian'zhu'shan
挑不好,tiao'bu'hao
铁皮枫斗,tie'pi'feng'dou
亭山,ting'shan
同城游,tong'cheng'you
同山,tong'shan
桐乡煲,tong'xiang'bao
同心楼,tong'xin'lou
头旁,tou'pang
兔留香,tu'liu'xiang
兔毛市场,tu'mao'shi'chang
涂山,tu'shan
涂山花园,tu'shan'hua'yuan
袜厂,wa'chang
袜机,wa'ji
袜业,wa'ye
外地看,wai'di'kan
外地佬,wai'di'lao
外地婆,wai'di'po
外婆烧,wai'po'shao
晚饭吃好,wan'fan'chi'hao
万国中心,wan'guo'zhong'xin
万和城,wan'he'cheng
万里来,wan'li'lai
万商路,wan'shang'lu
宛委山,wan'wei'shan
王家村,wang'jia'cun
王家井,wang'jia'jing
王家园,wang'jia'yuan
王坛,wang'tan
望云路,wang'yun'lu
王子宴会,wang'zi'yan'hui
伟丰,wei'feng
唯美动,wei'mei'dong
为搜,wei'sou
为所,wei'suo
纬向,wei'xiang
文理,wen'li
文理学院,wen'li'xue'yuan
我不响,wo'bu'xiang
我吃的空,wo'chi'de'kong
我挡不牢,wo'dang'bu'lao
我挡不住,wo'dang'bu'zhu
我火死了,wo'huo'si'le
我科学,wo'ke'xue
我难为情,wo'nan'wei'qing
我绍兴,wo'shao'xing
我想不好,wo'xiang'bu'hao
我在柯桥,wo'zai'ke'qiao
我在绍兴,wo'zai'shao'xing
我在世贸,wo'zai'shi'mao
我在浙江,wo'zai'zhe'jiang
我在诸暨,wo'zai'zhu'ji
我真当,wo'zhen'dang
无弹,wu'dan
五马园,wu'ma'yuan
五泄,wu'xie
午自修,wu'zi'xiu
西横河,xi'heng'he
西后街,xi'hou'jie
西湖桥,xi'hu'qiao
西湖头,xi'hu'tou
细码单,xi'ma'dan
洗唛,xi'mai
西施故里,xi'shi'gu'li
溪滩,xi'tan
西塘,xi'tang
下方桥,xia'fang'qiao
下管,xia'guan
夏履桥,xia'lv'qiao
下沙,xia'sha
咸亨,xian'heng
咸亨酒店,xian'heng'jiu'dian
仙芋世家,xian'yu'shi'jia
想不好,xiang'bu'hao
想不好了,xiang'bu'hao'le
响动,xiang'dong
香榧,xiang'fei
香湖郡,xiang'hu'jun
向来的,xiang'lai'de
香炉峰,xiang'lu'feng
相貌,xiang'mao
相貌好,xiang'mao'hao
相亲才会赢,xiang'qin'cai'hui'ying
象山,xiang'shan
香水湾,xiang'shui'wan
乡下头,xiang'xia'tou
小百货,xiao'bai'huo
小不好,xiao'bu'hao
小城北桥,xiao'cheng'bei'qiao
小皋埠,xiao'gao'bu
小搞搞,xiao'gao'gao
小官人,xiao'guan'ren
小将,xiao'jiang
肖金,xiao'jin
小句,xiao'ju
小马路,xiao'ma'lu
小马路口,xiao'ma'lu'kou
小娘生,xiao'niang'sheng
小捏婆,xiao'nie'po
萧山机场,xiao'shan'ji'chang
萧山街,xiao'shan'jie
萧山了,xiao'shan'le
小屠,xiao'tu
小外婆,xiao'wai'po
小西斯,xiao'xi'si
小咸亨,xiao'xian'heng
小越,xiao'yue
谢塘,xie'tang
新昌,xin'chang
新昌的,xin'chang'de
新昌了,xin'chang'le
新昌人,xin'chang'ren
新昌县,xin'chang'xian
新昌中学,xin'chang'zhong'xue
新大通,xin'da'tong
新甸,xin'dian
新甸村,xin'dian'cun
新国商,xin'guo'shang
新和成,xin'he'cheng
新天烘焙,xin'tian'hong'bei
新未庄,xin'wei'zhuang
信心村,xin'xin'cun
新宅,xin'zhai
兴越,xing'yue
兴越路,xing'yue'lu
兴越小区,xing'yue'xiao'qu
雄城,xiong'cheng
雄风,xiong'feng
绣花布,xiu'hua'bu
绣花厂,xiu'hua'chang
绣花机,xiu'hua'ji
绣品,xiu'pin
秀水桥,xiu'shui'qiao
秀水苑,xiu'shui'yuan
许村,xu'cun
虚拟网,xu'ni'wang
选不好,xuan'bu'hao
雪纺珠,xue'fang'zhu
学勉,xue'mian
学智,xue'zhi
寻宝记,xun'bao'ji
雅豪,ya'hao
衙前,ya'qian
验兵,yan'bing
验布,yan'bu
验进,yan'jin
颜色样,yan'se'yang
样布,yang'bu
样布费,yang'bu'fei
羊骨头,yang'gu'tou
羊毛袜,yang'mao'wa
杨梅桥,yang'mei'qiao
杨梅山,yang'mei'shan
羊山,yang'shan
杨汛桥,yang'xun'qiao
耀江,yao'jiang
摇粒,yao'li
摇粒绒,yao'li'rong
要骂的,yao'ma'de
要我看看,yao'wo'kan'kan
也好的,ye'hao'de
也就一般性,ye'jiu'yi'ban'xing
也没数,ye'mei'shu
夜神仙,ye'shen'xian
夜头,ye'tou
一百超市,yi'bai'chao'shi
一般性,yi'ban'xing
遗风,yi'feng
一号桥,yi'hao'qiao
益泉,yi'quan
衣之家,yi'zhi'jia
印花布,yin'hua'bu
印花厂,yin'hua'chang
印染,yin'ran
印染厂,yin'ran'chang
瘾头,yin'tou
应店街,ying'dian'jie
迎驾桥,ying'jia'qiao
有点多的,you'dian'duo'de
有点好的,you'dian'hao'de
有点嘛,you'dian'ma
有点么,you'dian'me
有丢,you'diu
又没关系的,you'mei'guan'xi'de
有没事的,you'mei'shi'de
有趣死了,you'qu'si'le
有数在,you'shu'zai
豫才,yu'cai
鱼得水,yu'de'shui
御和园,yu'he'yuan
玉兰花园,yu'lan'hua'yuan
玉玲珑,yu'ling'long
语文作业本,yu'wen'zuo'ye'ben
远不好,yuan'bu'hao
圆机,yuan'ji
袁家,yuan'jia
辕门,yuan'men
辕门桥,yuan'men'qiao
元培,yuan'pei
元培中学,yuan'pei'zhong'xue
圆网,yuan'wang
越城,yue'cheng
越城区,yue'cheng'qu
越东,yue'dong
越东路,yue'dong'lu
越都,yue'dou
越峰,yue'feng
越剧,yue'ju
越剧团,yue'ju'tuan
越崎,yue'qi
越崎中学,yue'qi'zhong'xue
越王,yue'wang
越王珠宝,yue'wang'zhu'bao
越西路,yue'xi'lu
越兴,yue'xing
越秀的,yue'xiu'de
越秀路,yue'xiu'lu
越中,yue'zhong
越州,yue'zhou
晕翻,yun'fan
咋办办,za'ban'ban
在百官,zai'bai'guan
在大唐,zai'da'tang
在店口,zai'dian'kou
再话,zai'hua
在柯桥,zai'ke'qiao
再来过,zai'lai'guo
在门市部,zai'men'shi'bu
在袍江,zai'pao'jiang
在上虞,zai'shang'yu
在绍兴,zai'shao'xing
在嵊州,zai'sheng'zhou
在世贸,zai'shi'mao
在说过,zai'shuo'guo
在新昌,zai'xin'chang
在诸暨,zai'zhu'ji
在助理,zai'zhu'li
早丢,zao'diu
遭么,zao'me
早自修,zao'zi'xiu
则水牌,ze'shui'pai
怎么办办,zen'me'ban'ban
炸面,zha'mian
乍浦,zha'pu
摘记,zhai'ji
章家,zhang'jia
找不好,zhao'bu'hao
赵家,zhao'jia
浙江绍兴,zhe'jiang'shao'xing
浙江身,zhe'jiang'shen
浙江诸暨,zhe'jiang'zhu'ji
浙教版,zhe'jiao'ban
这么好的啊,zhe'me'hao'de'a
这么空,zhe'me'kong
这样子的啊,zhe'yang'zi'de'a
真当,zhen'dang
真当个,zhen'dang'ge
真当是,zhen'dang'shi
针纺,zhen'fang
镇小,zhen'xiao
震元,zhen'yuan
震元堂,zhen'yuan'tang
振越,zhen'yue
针织布,zhen'zhi'bu
郑家,zheng'jia
正月里,zheng'yue'li
直埠,zhi'bu
职教的,zhi'jiao'de
指示单,zhi'shi'dan
中饭呢,zhong'fan'ne
中国轻纺城,zhong'guo'qing'fang'cheng
中央大厦,zhong'yang'da'sha
粥皇,zhou'huang
诸葛山,zhu'ge'shan
诸暨,zhu'ji
诸暨的,zhu'ji'de
诸暨话,zhu'ji'hua
诸暨了,zhu'ji'le
诸暨人,zhu'ji'ren
诸暨人家,zhu'ji'ren'jia
