阿尔法罗米欧,a'er'fa'luo'mi'ou
蒙派克,meng'pai'ke
迷你,mi'ni
名爵,ming'jue
摩根,mo'gen
南京菲亚特,nan'jing'fei'ya'te
南汽,nan'qi
欧宝,ou'bao
讴歌,ou'ge
欧蓝德,ou'lan'de
帕杰罗,pa'jie'luo
帕萨特,pa'sa'te
庞蒂克,pang'di'ke
普力马,pu'li'ma
骐达,qi'da
骐菱,qi'ling
奇瑞,qi'rui
起亚,qi'ya
庆铃,qing'ling
青年莲花,qing'nian'lian'hua
全时数字轿车,quan'shi'shu'zi'jiao'che
日产,ri'chan
荣威,rong'wei
萨博,sa'bo
三菱,san'ling
三菱戈蓝,san'ling'ge'lan
桑塔纳志俊,sang'ta'na'zhi'jun
陕西汽车,shan'xi'qi'che
上海大众,shang'hai'da'zhong
上海大众斯柯达,shang'hai'da'zhong'si'ke'da
上汽赛宝,shang'qi'sai'bao
申龙客车,shen'long'ke'che
世爵,shi'jue
曙光汽车,shu'guang'qi'che
双环汽车,shuang'huan'qi'che
双龙,shuang'long
水星,shui'xing
斯巴鲁,si'ba'lu
思迪,si'di
斯柯达,si'ke'da
思域,si'yu
速威,su'wei
苏州金龙,su'zhou'jin'long
索纳塔,suo'na'ta
索纳塔御翔,suo'na'ta'yu'xiang
天津一汽,tian'jin'yi'qi
天籁,tian'lai
天马汽车,tian'ma'qi'che
通田,tong'tian
万丰汽车,wan'feng'qi'che
威驰,wei'chi
沃尔沃,wo'er'wo
五菱,wu'ling
五十铃,wu'shi'ling
厦门金龙,xia'men'jin'long
现代,xian'dai
逍客,xiao'ke
新凯,xin'kai
雪佛兰,xue'fo'lan
雪佛兰乐驰,xue'fo'lan'le'chi
雪铁龙,xue'tie'long
雅阁,ya'ge
雅力士,ya'li'shi
雅绅特,ya'shen'te
亚星客车,ya'xing'ke'che
扬子汽车,yang'zi'qi'che
颐达,yi'da
伊兰特,yi'lan'te
伊兰特悦动,yi'lan'te'yue'dong
一汽奥迪,yi'qi'ao'di
一汽奔腾,yi'qi'ben'teng
一汽大发,yi'qi'da'fa
一汽大众,yi'qi'da'zhong
一汽丰田,yi'qi'feng'tian
一汽红塔,yi'qi'hong'ta
一汽佳宝,yi'qi'jia'bao
一汽解放,yi'qi'jie'fang
一汽马自达,yi'qi'ma'zi'da
一汽太湖,yi'qi'tai'hu
一拖,yi'tuo
依维柯,yi'wei'ke
英菲尼迪,ying'fei'ni'di
宇通客车,yu'tong'ke'che
原动力,yuan'dong'li
悦动,yue'dong
跃进,yue'jin
云雀,yun'que
郑州日产,zheng'zhou'ri'chan
中华,zhong'hua
中顺,zhong'shun
众泰,zhong'tai
中通客车,zhong'tong'ke'che
中兴汽车,zhong'xing'qi'che
中誉客车,zhong'yu'ke'che
