阿卡波糖,a'ka'bo'tang
病危,bing'wei
丙戊酸钠,bing'wu'suan'na
丙戊酸钠剂,bing'wu'suan'na'ji
波利维,bo'li'wei
播散性用两性霉素联合氟康唑,bo'san'xing'yong'liang'xing'mei'su'lian'he'fu'kang'zuo
波依定,bo'yi'ding
不应再给,bu'ying'zai'gei
补正常值量值内先给二分之一,bu'zheng'chang'zhi'liang'zhi'nei'xian'gei'er'fen'zhi'yi
搽浴,cha'yu
长春新碱,chang'chun'xin'jian
常规重组人胰岛素,chang'gui'chong'zu'ren'yi'dao'su
场内营养乳,chang'nei'ying'yang'ru
常用营养袋配置,chang'yong'ying'yang'dai'pei'zhi
常用止血药物,chang'yong'zhi'xue'yao'wu
冲管,chong'guan
重组人白细胞介素,chong'zu'ren'bai'xi'bao'jie'su
重组人促红细胞生成素,chong'zu'ren'cu'hong'xi'bao'sheng'cheng'su
重组人细胞击落刺激因子注射液,chong'zu'ren'xi'bao'ji'luo'ci'ji'yin'zi'zhu'she'ye
重组人血小板生成素注射液,chong'zu'ren'xue'xiao'ban'sheng'cheng'su'zhu'she'ye
床岁男,chuang'sui'nan
垂体叶素,chui'ti'ye'su
次次,ci'ci
次月,ci'yue
促进白细胞增高增强免疫力,cu'jin'bai'xi'bao'zeng'gao'zeng'qiang'mian'yi'li
醋酸奥曲肽,cu'suan'ao'qu'tai
醋酸泼尼松,cu'suan'po'ni'song
促醒,cu'xing
大扶康,da'fu'kang
大氟康,da'fu'kang
大于,da'yu
大于三小时,da'yu'san'xiao'shi
贷款发放撒,dai'kuan'fa'fang'sa
代酸无需补碱,dai'suan'wu'xu'bu'jian
代酸治疗,dai'suan'zhi'liao
蛋白质含氮,dan'bai'zhi'han'dan
胆红素,dan'hong'su
单开处方,dan'kai'chu'fang
丹参酮,dan'shen'tong
单硝酸异山梨酯,dan'xiao'suan'yi'shan'li'zhi
单硝酸异山梨酯缓释胶囊,dan'xiao'suan'yi'shan'li'zhi'huan'shi'jiao'nang
氮转换成蛋白质消耗,dan'zhuan'huan'cheng'dan'bai'zhi'xiao'hao
的能量,de'neng'liang
的脂肪乳相当于的能量,de'zhi'fang'ru'xiang'dang'yu'de'neng'liang
滴分,di'fen
地高辛,di'gao'xin
低坡卧位,di'po'wo'wei
地塞米松,di'sai'mi'song
地塞米松磷酸钠注射液,di'sai'mi'song'lin'suan'na'zhu'she'ye
低渗性脱水补钠,di'shen'xing'tuo'shui'bu'na
低渗性脱水补钠公式,di'shen'xing'tuo'shui'bu'na'gong'shi
地西泮安定,di'xi'pan'an'ding
滴眼用,di'yan'yong
第一小时内补,di'yi'xiao'shi'nei'bu
地榆升白,di'yu'sheng'bai
颠茄合剂,dian'qie'he'ji
对乳酸酸中毒的改善可有作用,dui'ru'suan'suan'zhong'du'de'gai'shan'ke'you'zuo'yong
兑水口,dui'shui'kou
对乙酰氨基酚缓释,dui'yi'xian'an'ji'fen'huan'shi
多巴胺,duo'ba'an
多巴酚丁胺,duo'ba'fen'ding'an
多粘菌素,duo'nian'jun'su
多潘立酮,duo'pan'li'tong
哆嗦茶碱,duo'suo'cha'jian
多索茶碱,duo'suo'cha'jian
多维素,duo'wei'su
多维素复方,duo'wei'su'fu'fang
多稀磷脂酰胆碱,duo'xi'lin'zhi'xian'dan'jian
多种微量素号,duo'zhong'wei'liang'su'hao
厄贝沙坦,e'bei'sha'tan
翻身防褥疮护理,fan'shen'fang'ru'chuang'hu'li
方案,fang'an
方案床,fang'an'chuang
方案疗程,fang'an'liao'cheng
非白色念珠菌,fei'bai'se'nian'zhu'jun
肺孢子菌感染,fei'bao'zi'jun'gan'ran
肺功能,fei'gong'neng
非患者,fei'huan'zhe
肺力咳合剂,fei'li'ke'he'ji
肺力咳胶囊合剂,fei'li'ke'jiao'nang'he'ji
非洛贝特,fei'luo'bei'te
非洛地平,fei'luo'di'ping
非洛地平波异丁,fei'luo'di'ping'bo'yi'ding
肺脑合剂,fei'nao'he'ji
肺泡灌洗液葡聚糖定,fei'pao'guan'xi'ye'pu'ju'tang'ding
肺泡灌洗液细菌培养,fei'pao'guan'xi'ye'xi'jun'pei'yang
肺泡灌洗液液真菌培养,fei'pao'guan'xi'ye'ye'zhen'jun'pei'yang
肺隐球菌,fei'yin'qiu'jun
酚磺乙胺,fen'huang'yi'an
芬太尼,fen'tai'ni
酚妥拉明,fen'tuo'la'ming
分钟打心电图,fen'zhong'da'xin'dian'tu
分钟打心电图了解心率,fen'zhong'da'xin'dian'tu'liao'jie'xin'lv
氟达拉宾,fu'da'la'bin
复发氨淋巴比托,fu'fa'an'lin'ba'bi'tuo
复方,fu'fang
复方氨基酸,fu'fang'an'ji'suan
复方氨林巴比妥,fu'fang'an'lin'ba'bi'tuo
复方丹参滴丸,fu'fang'dan'shen'di'wan
复方可待因口药,fu'fang'ke'dai'yin'kou'yao
复方可待因口液,fu'fang'ke'dai'yin'kou'ye
复方氯唑沙腙,fu'fang'lv'zuo'sha'zong
复方酮酸,fu'fang'tong'suan
复方维生素,fu'fang'wei'sheng'su
复方异丙托溴胺,fu'fang'yi'bing'tuo'xiu'an
复方异丙托溴铵,fu'fang'yi'bing'tuo'xiu'an
负荷,fu'he
复合辅酶,fu'he'fu'mei
氟康唑,fu'kang'zuo
氟康唑疗程为,fu'kang'zuo'liao'cheng'wei
氟康唑注射液,fu'kang'zuo'zhu'she'ye
氟康唑注射液大扶康,fu'kang'zuo'zhu'she'ye'da'fu'kang
伏立康唑,fu'li'kang'zuo
辅酶,fu'mei
呋噻米,fu'sai'mi
扶他林,fu'ta'lin
福辛普利,fu'xin'pu'li
改为,gai'wei
甘露醇,gan'lu'chun
甘露聚糖肽,gan'lu'ju'tang'tai
肝肾单位,gan'shen'dan'wei
肝素,gan'su
甘酰胺类,gan'xian'an'lei
肝性脑病,gan'xing'nao'bing
甘油果糖,gan'you'guo'tang
高三尖杉酯碱,gao'san'jian'shan'zhi'jian
高渗性脱水补水量,gao'shen'xing'tuo'shui'bu'shui'liang
高用他汀类,gao'yong'ta'ting'lei
格列本脲,ge'lie'ben'niao
格列齐脲,ge'lie'qi'niao
格列齐特缓释,ge'lie'qi'te'huan'shi
格列奇特缓释,ge'lie'qi'te'huan'shi
更昔洛韦,geng'xi'luo'wei
枸盐酸莫沙比利胶囊,gou'yan'suan'mo'sha'bi'li'jiao'nang
骨穿费,gu'chuan'fei
骨穿费用编码,gu'chuan'fei'yong'bian'ma
骨化三醇,gu'hua'san'chun
骨肽,gu'tai
冠脉,guan'mai
灌洗用,guan'xi'yong
海坤肾喜,hai'kun'shen'xi
海崑肾喜胶囊,hai'kun'shen'xi'jiao'nang
号气管插管一根,hao'qi'guan'cha'guan'yi'gen
红处方,hong'chu'fang
琥珀酸美托洛尔,hu'po'suan'mei'tuo'luo'er
环丙沙星,huan'bing'sha'xing
环磷酰胺,huan'lin'xian'an
还原性谷胱甘肽,huan'yuan'xing'gu'guang'gan'tai
黄葵胶囊,huang'kui'jiao'nang
会阴部冲洗,hui'yin'bu'chong'xi
肌酐,ji'gan
急救车备药,ji'jiu'che'bei'yao
即可补碱,ji'ke'bu'jian
极量,ji'liang
记录出入量,ji'lu'chu'ru'liang
激素换用表,ji'su'huan'yong'biao
急用可以滴完,ji'yong'ke'yi'di'wan
急用可予以静滴,ji'yong'ke'yu'yi'jing'di
甲氨蝶呤,jia'an'die'ling
甲泊尼酸琥珀松龙,jia'bo'ni'suan'hu'po'song'long
甲钴胺,jia'gu'an
甲钴胺冻干粉注射液,jia'gu'an'dong'gan'fen'zhu'she'ye
甲硫咪唑,jia'liu'mi'zuo
钾镁合剂,jia'mei'he'ji
甲泼尼龙,jia'po'ni'long
甲泼尼龙甲强龙,jia'po'ni'long'jia'qiang'long
加强龙,jia'qiang'long
甲强龙甲泼尼龙琥珀酸钠,jia'qiang'long'jia'po'ni'long'hu'po'suan'na
加入营养袋,jia'ru'ying'yang'dai
甲硝唑,jia'xiao'zuo
甲氧氯普胺,jia'yang'lv'pu'an
减半,jian'ban
减半即,jian'ban'ji
间断夹闭尿管,jian'duan'jia'bi'niao'guan
间断胃肠减压,jian'duan'wei'chang'jian'ya
降低胆固醇用普利类,jiang'di'dan'gu'chun'yong'pu'li'lei
降低甘油三酯,jiang'di'gan'you'san'zhi
将预警信息报本机构医务人员,jiang'yu'jing'xin'xi'bao'ben'ji'gou'yi'wu'ren'yuan
结核常用药物医嘱,jie'he'chang'yong'yao'wu'yi'zhu
金双歧活菌,jin'shuang'qi'huo'jun
金水宝,jin'shui'bao
精蛋白生物合成人胰岛素,jing'dan'bai'sheng'wu'he'cheng'ren'yi'dao'su
静滴,jing'di
静脉泵入,jing'mai'beng'ru
静脉泵入药物配伍,jing'mai'beng'ru'yao'wu'pei'wu
经气管插管处接呼吸机辅助通气,jing'qi'guan'cha'guan'chu'jie'hu'xi'ji'fu'zhu'tong'qi
经气切处接呼吸机辅助呼吸,jing'qi'qie'chu'jie'hu'xi'ji'fu'zhu'hu'xi
精一类处方常用药,jing'yi'lei'chu'fang'chang'yong'yao
酒石酸美托洛尔,jiu'shi'suan'mei'tuo'luo'er
局麻下床旁纤镜检查,ju'ma'xia'chuang'pang'xian'jing'jian'cha
据神志调速,ju'shen'zhi'tiao'su
据神智调速,ju'shen'zhi'tiao'su
据药敏结果,ju'yao'min'jie'guo
聚乙二胺粉,ju'yi'er'an'fen
聚乙二醇粉,ju'yi'er'chun'fen
卡泊芬净,ka'bo'fen'jing
卡马西平,ka'ma'xi'ping
卡托普利,ka'tuo'pu'li
咯血,ka'xie
开塞露山梨醇,kai'sai'lu'shan'li'chun
抗真菌药,kang'zhen'jun'yao
可产生热量,ke'chan'sheng're'liang
克咳胶囊,ke'ke'jiao'nang
可调最高,ke'tiao'zui'gao
苦参素,ku'shen'su
雷尼替丁,lei'ni'ti'ding
利多卡因,li'duo'ka'yin
利多卡因局部粘膜麻醉用,li'duo'ka'yin'ju'bu'nian'mo'ma'zui'yong
利福平,li'fu'ping
立即,li'ji
立普妥,li'pu'tuo
立止血,li'zhi'xue
立止血血凝酶,li'zhi'xue'xue'ning'mei
链氨基酸,lian'an'ji'suan
量钠正常钠男女小孩,liang'na'zheng'chang'na'nan'nv'xiao'hai
两性霉素,liang'xing'mei'su
量值女男,liang'zhi'nv'nan
疗程,liao'cheng
列地尔,lie'di'er
列地尔注射液,lie'di'er'zhu'she'ye
临时,lin'shi
另一通道,ling'yi'tong'dao
柳氮磺胺吡啶,liu'dan'huang'an'bi'ding
柳氮磺吡啶,liu'dan'huang'bi'ding
硫普罗宁,liu'pu'luo'ning
硫普罗宁针,liu'pu'luo'ning'zhen
流速容量曲线,liu'su'rong'liang'qu'xian
硫酸氯吡格雷,liu'suan'lv'bi'ge'lei
硫酸镁,liu'suan'mei
硫酸亚铁叶酸,liu'suan'ya'tie'ye'suan
硫酸鱼精蛋白,liu'suan'yu'jing'dan'bai
硫糖铝混悬液,liu'tang'lv'hun'xuan'ye
六味安消胶囊,liu'wei'an'xiao'jiao'nang
流质饮食,liu'zhi'yin'shi
路盖克,lu'gai'ke
洛丁新,luo'ding'xin
络活喜,luo'huo'xi
洛哌丁胺易蒙停,luo'pai'ding'an'yi'meng'ting
氯化钾缓释,lv'hua'jia'huan'shi
铝碳酸镁,lv'tan'suan'mei
吗丁啉,ma'ding'lin
吗替麦考酚酯,ma'ti'mai'kao'fen'zhi
慢淋方案,man'lin'fang'an
每公斤体重,mei'gong'jin'ti'zhong
美罗华,mei'luo'hua
美罗培南,mei'luo'pei'nan
每日最大剂量小于,mei'ri'zui'da'ji'liang'xiao'yu
美司钠,mei'si'na
美司钠针,mei'si'na'zhen
每月用一次,mei'yue'yong'yi'ci
门冬酰胺,men'dong'xian'an
孟鲁斯特,meng'lu'si'te
蒙脱石散,meng'tuo'shi'san
灭菌注射器一付,mie'jun'zhu'she'qi'yi'fu
莫沙比利,mo'sha'bi'li
莫西沙星,mo'xi'sha'xing
莫西沙星拜复乐,mo'xi'sha'xing'bai'fu'le
莫西沙星多不用于癫痫患者,mo'xi'sha'xing'duo'bu'yong'yu'dian'xian'huan'zhe
纳洛酮,na'luo'tong
纳洛酮对循环中有升压作用,na'luo'tong'dui'xun'huan'zhong'you'sheng'ya'zuo'yong
脑蛋白水解物,nao'dan'bai'shui'jie'wu
脑脊液常规,nao'ji'ye'chang'gui
内科常用长期医嘱,nei'ke'chang'yong'chang'qi'yi'zhu
能力合剂,neng'li'he'ji
能量,neng'liang
能量合剂,neng'liang'he'ji
尼可刹米,ni'ke'sha'mi
尼可刹米注射液,ni'ke'sha'mi'zhu'she'ye
尼莫地平注射液,ni'mo'di'ping'zhu'she'ye
年龄,nian'ling
尿酸高低肾衰,niao'suan'gao'di'shen'shuai
尿酮尿糖试验,niao'tong'niao'tang'shi'yan
凝血酶,ning'xue'mei
浓红含配血型,nong'hong'han'pei'xue'xing
泮托拉唑,pan'tuo'la'zuo
潘托拉唑,pan'tuo'la'zuo
培哚普利,pei'duo'pu'li
硼替佐米,peng'ti'zuo'mi
硼替佐米万珂,peng'ti'zuo'mi'wan'ke
皮质醇,pi'zhi'chun
泼尼龙,po'ni'long
泼尼松,po'ni'song
普伐他汀,pu'fa'ta'ting
葡萄糖酸钙,pu'tao'tang'suan'gai
普通胰岛素,pu'tong'yi'dao'su
起泵,qi'beng
起泵据血压调速,qi'beng'ju'xue'ya'tiao'su
气氮,qi'dan
气氮可产热能,qi'dan'ke'chan're'neng
气垫床,qi'dian'chuang
气管插管医嘱,qi'guan'cha'guan'yi'zhu
气管切开护理,qi'guan'qie'kai'hu'li
气管舒张试验,qi'guan'shu'zhang'shi'yan
强苯磺酸钙胶囊,qiang'ben'huang'suan'gai'jiao'nang
强的松,qiang'di'song
桥内注射,qiao'nei'zhu'she
侵袭性肺曲霉菌,qin'xi'xing'fei'qu'mei'jun
轻度用氟康唑,qing'du'yong'fu'kang'zuo
氢化可的松不经过肝脏代谢,qing'hua'ke'di'song'bu'jing'guo'gan'zang'dai'xie
氢化可的松可的,qing'hua'ke'di'song'ke'de
氢化皮质酮,qing'hua'pi'zhi'tong
氢可的松,qing'ke'di'song
去甲肾上腺素,qu'jia'shen'shang'xian'su
去甲万古霉素,qu'jia'wan'gu'mei'su
曲马多,qu'ma'duo
曲美他嗪,qu'mei'ta'qin
去乙酰毛花苷注射液,qu'yi'xian'mao'hua'gan'zhu'she'ye
去乙酰毛花苷注射液西地兰,qu'yi'xian'mao'hua'gan'zhu'she'ye'xi'di'lan
热氮比,re'dan'bi
热林清,re'lin'qing
热脂比,re'zhi'bi
人血白蛋白,ren'xue'bai'dan'bai
仍不能维持予以,reng'bu'neng'wei'chi'yu'yi
如肝肾用需用鱼精蛋白中和,ru'gan'shen'yong'xu'yong'yu'jing'dan'bai'zhong'he
瑞格列奈,rui'ge'lie'nai
瑞舒伐他汀,rui'shu'fa'ta'ting
若回升至,ruo'hui'sheng'zhi
赛托溴铵粉吸入剂,sai'tuo'xiu'an'fen'xi'ru'ji
噻托溴铵粉吸入剂,sai'tuo'xiu'an'fen'xi'ru'ji
三叉神经痛,san'cha'shen'jing'tong
三高一低一衰,san'gao'yi'di'yi'shuai
沙丁胺醇,sha'ding'an'chun
沙利度胺,sha'li'du'an
沙利度胺反应停,sha'li'du'an'fan'ying'ting
沙美特罗替卡松粉吸入剂,sha'mei'te'luo'ti'ka'song'fen'xi'ru'ji
善宁,shan'ning
肾病综合症,shen'bing'zong'he'zheng
肾功能不全时酸中毒,shen'gong'neng'bu'quan'shi'suan'zhong'du
神经科用药,shen'jing'ke'yong'yao
神经内科内线,shen'jing'nei'ke'nei'xian
肾康,shen'kang
参麦注射液,shen'mai'zhu'she'ye
肾内科常用医嘱,shen'nei'ke'chang'yong'yi'zhu
肾上腺色棕,shen'shang'xian'se'zong
肾上腺腙安络血,shen'shang'xian'zong'an'luo'xue
肾衰宁,shen'shuai'ning
肾衰宁胶囊,shen'shuai'ning'jiao'nang
肾炎舒,shen'yan'shu
慎重用药,shen'zhong'yong'yao
升白细胞药物,sheng'bai'xi'bao'yao'wu
升白细胞增强免疫,sheng'bai'xi'bao'zeng'qiang'mian'yi
圣通平,sheng'tong'ping
生长抑素,sheng'zhang'yi'su
试验,shi'yan
试验葡聚糖试验,shi'yan'pu'ju'tang'shi'yan
实值体重,shi'zhi'ti'zhong
首次,shou'ci
首剂,shou'ji
首剂加,shou'ji'jia
首剂加倍,shou'ji'jia'bei
首剂以,shou'ji'yi
收缩压,shou'suo'ya
收缩压的为舒张压,shou'suo'ya'de'wei'shu'zhang'ya
首选复方新诺明,shou'xuan'fu'fang'xin'nuo'ming
首选两性霉素,shou'xuan'liang'xing'mei'su
漱口用,shu'kou'yong
舒眠胶囊,shu'mian'jiao'nang
鼠神经生长因子,shu'shen'jing'sheng'zhang'yin'zi
输液大于,shu'ye'da'yu
双氯芬酸二乙胺乳胶,shuang'lv'fen'suan'er'yi'an'ru'jiao
双氯酚酸二乙胺乳胶扶他林软膏,shuang'lv'fen'suan'er'yi'an'ru'jiao'fu'ta'lin'ruan'gao
双氯芬酸利多卡因,shuang'lv'fen'suan'li'duo'ka'yin
双氯芬酸钠盐酸利多卡因注射液,shuang'lv'fen'suan'na'yan'suan'li'duo'ka'yin'zhu'she'ye
双歧杆菌活菌,shuang'qi'gan'jun'huo'jun
水溶性维生素,shui'rong'xing'wei'sheng'su
顺铂注射液,shun'bo'zhu'she'ye
四代头孢,si'dai'tou'bao
四分之一,si'fen'zhi'yi
随时吸痰,sui'shi'xi'tan
泰能,tai'neng
痰革氏染色,tan'ge'shi'ran'se
痰抗酸,tan'kang'suan
碳青霉稀类,tan'qing'mei'xi'lei
碳酸氢钠含各,tan'suan'qing'na'han'ge
碳酸氢钠小苏打,tan'suan'qing'na'xiao'su'da
痰胸水找脱落细胞,tan'xiong'shui'zhao'tuo'luo'xi'bao
痰血药敏,tan'xue'yao'min
痰真菌,tan'zhen'jun
糖肽类,tang'tai'lei
特比澳,te'bi'ao
提高免疫力,ti'gao'mian'yi'li
替加环素,ti'jia'huan'su
替考拉林,ti'kao'la'lin
替考拉宁,ti'kao'la'ning
提需深静脉置管,ti'xu'shen'jing'mai'zhi'guan
调速,tiao'su
通常开两种计量,tong'chang'kai'liang'zhong'ji'liang
通气功能,tong'qi'gong'neng
头孢呋辛酯,tou'bao'fu'xin'zhi
头孢克肟,tou'bao'ke'wo
头孢克肟世福素,tou'bao'ke'wo'shi'fu'su
头孢哌酮舒巴坦,tou'bao'pai'tong'shu'ba'tan
头孢哌酮舒巴坦钠,tou'bao'pai'tong'shu'ba'tan'na
头孢哌酮舒巴坦舒普森,tou'bao'pai'tong'shu'ba'tan'shu'pu'sen
头孢哌酮他唑巴坦,tou'bao'pai'tong'ta'zuo'ba'tan
头孢哌酮他唑巴坦钠,tou'bao'pai'tong'ta'zuo'ba'tan'na
头孢匹罗,tou'bao'pi'luo
头孢他啶,tou'bao'ta'ding
头孢头孢吡肟,tou'bao'tou'bao'bi'wo
退热,tui're
托烷司烷,tuo'wan'si'wan
外敷用,wai'fu'yong
万古霉素,wan'gu'mei'su
万古霉素胃注,wan'gu'mei'su'wei'zhu
维持小时以上,wei'chi'xiao'shi'yi'shang
维咀嚼,wei'ju'jue
维拉帕米,wei'la'pa'mi
伪膜性肠炎治疗,wei'mo'xing'chang'yan'zhi'liao
维生素,wei'sheng'su
维铁缓释,wei'tie'huan'shi
危重病人,wei'zhong'bing'ren
危重病人肠外营养时供给量为,wei'zhong'bing'ren'chang'wai'ying'yang'shi'gong'ji'liang'wei
胃注,wei'zhu
温开水溶解口,wen'kai'shui'rong'jie'kou
温水溶解口,wen'shui'rong'jie'kou
无创心排监,wu'chuang'xin'pai'jian
雾化吸入,wu'hua'xi'ru
无菌注射器一副,wu'jun'zhu'she'qi'yi'fu
无菌注射器一幅,wu'jun'zhu'she'qi'yi'fu
无菌注射用水,wu'jun'zhu'she'yong'shui
无菌注射用水呼吸机湿化用,wu'jun'zhu'she'yong'shui'hu'xi'ji'shi'hua'yong
无菌注射用水湿化气道,wu'jun'zhu'she'yong'shui'shi'hua'qi'dao
无菌注射用水稀释,wu'jun'zhu'she'yong'shui'xi'shi
无菌注射用水吸痰用,wu'jun'zhu'she'yong'shui'xi'tan'yong
乌司他丁,wu'si'ta'ding
乌司他丁万,wu'si'ta'ding'wan
细胞集落刺激生长因子,xi'bao'ji'luo'ci'ji'sheng'zhang'yin'zi
洗必泰口腔护理,xi'bi'tai'kou'qiang'hu'li
西地兰,xi'di'lan
稀释口,xi'shi'kou
稀释至取,xi'shi'zhi'qu
纤镜常用医嘱,xian'jing'chang'yong'yi'zhu
纤镜肺泡灌洗,xian'jing'fei'pao'guan'xi
纤镜双肺检查,xian'jing'shuang'fei'jian'cha
纤镜双肺吸痰,xian'jing'shuang'fei'xi'tan
先推滴,xian'tui'di
相当于,xiang'dang'yu
相当于据,xiang'dang'yu'ju
相当于气氮,xiang'dang'yu'qi'dan
硝苯地平,xiao'ben'di'ping
硝苯地平缓释,xiao'ben'di'ping'huan'shi
硝苯地平控释,xiao'ben'di'ping'kong'shi
哮喘患者慎用,xiao'chuan'huan'zhe'shen'yong
小儿血压,xiao'er'xue'ya
消化道出血,xiao'hua'dao'chu'xie
硝普钠,xiao'pu'na
硝酸甘油,xiao'suan'gan'you
硝酸异山梨酯,xiao'suan'yi'shan'li'zhi
缬沙坦胶囊,xie'sha'tan'jiao'nang
心电监护,xin'dian'jian'hu
辛伐他丁,xin'fa'ta'ding
辛伐他汀,xin'fa'ta'ting
心急收缩力,xin'ji'shou'suo'li
心排量指数,xin'pai'liang'zhi'shu
心室率下降予以,xin'shi'shuai'xia'jiang'yu'yi
心痛定,xin'tong'ding
心血管常用药物,xin'xue'guan'chang'yong'yao'wu
醒脑合剂,xing'nao'he'ji
醒脑合剂肺脑合剂,xing'nao'he'ji'fei'nao'he'ji
醒脑静,xing'nao'jing
醒脑静注射液,xing'nao'jing'zhu'she'ye
胸水常规,xiong'shui'chang'gui
休克首选去甲肾上腺素,xiu'ke'shou'xuan'qu'jia'shen'shang'xian'su
序贯治疗,xu'guan'zhi'liao
需立即补碱,xu'li'ji'bu'jian
需深静脉置管,xu'shen'jing'mai'zhi'guan
血必净,xue'bi'jing
血管收缩,xue'guan'shou'suo
血尿安胶囊,xue'niao'an'jiao'nang
血凝酶,xue'ning'mei
血栓通,xue'shuan'tong
血糖与的换算,xue'tang'yu'de'huan'suan
血压高无尿,xue'ya'gao'wu'niao
血液科常用药物,xue'ye'ke'chang'yong'yao'wu
循环衰竭首选去甲肾上腺素,xun'huan'shuai'jie'shou'xuan'qu'jia'shen'shang'xian'su
亚胺培南,ya'an'pei'nan
亚叶酸钙,ya'ye'suan'gai
眼科内线,yan'ke'nei'xian
盐酸阿托品注射用,yan'suan'a'tuo'pin'zhu'she'yong
盐酸胺碘酮,yan'suan'an'dian'tong
盐酸胺碘酮注射液,yan'suan'an'dian'tong'zhu'she'ye
盐酸安溴索,yan'suan'an'xiu'suo
盐酸氨溴索,yan'suan'an'xiu'suo
盐酸氨溴索分散,yan'suan'an'xiu'suo'fen'san
盐酸贝纳普利,yan'suan'bei'na'pu'li
盐酸贝纳普利洛丁新,yan'suan'bei'na'pu'li'luo'ding'xin
盐酸多巴胺注射液,yan'suan'duo'ba'an'zhu'she'ye
盐酸多巴酚丁胺注射液,yan'suan'duo'ba'fen'ding'an'zhu'she'ye
盐酸二甲双胍,yan'suan'er'jia'shuang'gua
盐酸利多卡因注射液,yan'suan'li'duo'ka'yin'zhu'she'ye
盐酸洛贝林注射液,yan'suan'luo'bei'lin'zhu'she'ye
盐酸莫西沙星拜复乐,yan'suan'mo'xi'sha'xing'bai'fu'le
盐酸哌替啶,yan'suan'pai'ti'ding
盐酸普萘洛尔,yan'suan'pu'nai'luo'er
盐酸曲马多,yan'suan'qu'ma'duo
盐酸曲马多缓释胶囊,yan'suan'qu'ma'duo'huan'shi'jiao'nang
盐酸曲马多注射液,yan'suan'qu'ma'duo'zhu'she'ye
盐酸曲美他嗪,yan'suan'qu'mei'ta'qin
盐酸肾上腺素注射液,yan'suan'shen'shang'xian'su'zhu'she'ye
盐酸特拉唑嗪,yan'suan'te'la'zuo'qin
盐酸溴乙新,yan'suan'xiu'yi'xin
盐酸溴已新,yan'suan'xiu'yi'xin
盐酸异丙肾上腺素注射液,yan'suan'yi'bing'shen'shang'xian'su'zhu'she'ye
野木瓜颗,ye'mu'gua'ke
