阿迪,a'di
挂瓶,gua'ping
观音山,guan'yin'shan
广化寺,guang'hua'si
桂圆干,gui'yuan'gan
海蛎饼,hai'li'bing
海头,hai'tou
海鲜楼,hai'xian'lou
海源,hai'yuan
还在莆田,hai'zai'pu'tian
涵江,han'jiang
涵江的,han'jiang'de
涵江了,han'jiang'le
涵江区,han'jiang'qu
好果,hao'guo
豪佳客,hao'jia'ke
豪佳香,hao'jia'xiang
豪客来,hao'ke'lai
好再来,hao'zai'lai
嘿啊,hei'a
黑弟,hei'di
黑灰,hei'hui
嘿呀,hei'ya
很经常,hen'jing'chang
红菇,hong'gu
红木家具,hong'mu'jia'ju
红皮,hong'pi
红酸枝,hong'suan'zhi
红柱子,hong'zhu'zi
后郭,hou'guo
后坑,hou'keng
后亭,hou'ting
后溪,hou'xi
后庄,hou'zhuang
壶公山,hu'gong'shan
呼啦啦,hu'la'la
笏石,hu'shi
笏石镇,hu'shi'zhen
华莱士,hua'lai'shi
华亭,hua'ting
华亭镇,hua'ting'zhen
华夏良子,hua'xia'liang'zi
欢乐迪,huan'le'di
黄瓜岛,huang'gua'dao
黄石,huang'shi
黄石镇,huang'shi'zhen
会福州,hui'fu'zhou
灰黑,hui'hei
回莆田,hui'pu'tian
回仙游,hui'xian'you
鸡翅木,ji'chi'mu
几单,ji'dan
几个谁,ji'ge'shui
寄货,ji'huo
集集小镇,ji'ji'xiao'zhen
几码,ji'ma
集美大学,ji'mei'da'xue
寄宿生,ji'su'sheng
佳客来,jia'ke'lai
加毛,jia'mao
佳通,jia'tong
假鞋,jia'xie
假一赔三,jia'yi'pei'san
煎包,jian'bao
建山,jian'shan
剑伟,jian'wei
江口,jiang'kou
江口车,jiang'kou'che
江口镇,jiang'kou'zhen
江南会,jiang'nan'hui
降权,jiang'quan
叫餐,jiao'can
脚感,jiao'gan
郊尾,jiao'wei
郊尾镇,jiao'wei'zhen
交易城,jiao'yi'cheng
界山,jie'shan
金凤桥,jin'feng'qiao
金石,jin'shi
金石中学,jin'shi'zhong'xue
旧车站,jiu'che'zhan
九华山,jiu'hua'shan
九鲤湖,jiu'li'hu
九龙谷,jiu'long'gu
九五医院,jiu'wu'yi'yuan
拒付,ju'fu
开拓者,kai'tuo'zhe
客边,ke'bian
坑北,keng'bei
旷远,kuang'yuan
来不起来,lai'bu'qi'lai
来福建,lai'fu'jian
来莆田,lai'pu'tian
濑溪,lai'xi
兰溪,lan'xi
牢记,lao'ji
乐翠,le'cui
乐基儿,le'ji'er
了牢记,le'lao'ji
了老李,le'lao'li
荔城,li'cheng
荔城区,li'cheng'qu
鲤城镇,li'cheng'zhen
丽群,li'qun
栗色,li'se
丽珊,li'shan
丽双,li'shuang
丽英,li'ying
荔园,li'yuan
荔园小区,li'yuan'xiao'qu
荔枝公园,li'zhi'gong'yuan
荔枝肉,li'zhi'rou
连天红,lian'tian'hong
两学,liang'xue
林斌,lin'bin
林涵,lin'han
林航,lin'hang
邻家女孩,lin'jia'nv'hai
林剑,lin'jian
林晶,lin'jing
林娟,lin'juan
林君,lin'jun
林萍,lin'ping
林群,lin'qun
林山,lin'shan
林婷婷,lin'ting'ting
林伟,lin'wei
灵川,ling'chuan
六城门,liu'cheng'men
柳坑,liu'keng
六一路,liu'yi'lu
龙岩,long'yan
龙岩的,long'yan'de
龙眼干,long'yan'gan
龙岩了,long'yan'le
路车,lu'che
卤面,lu'mian
路跑,lu'pao
路易,lu'yi
轮衰,lun'shuai
蛮说,man'shuo
没法度,mei'fa'du
梅芳,mei'fang
梅峰,mei'feng
妹糕,mei'gao
没行情,mei'hang'qing
每双,mei'shuang
没午睡,mei'wu'shui
梅霞,mei'xia
梅香,mei'xiang
梅园路,mei'yuan'lu
眉州,mei'zhou
湄洲岛,mei'zhou'dao
湄洲日报,mei'zhou'ri'bao
湄洲湾,mei'zhou'wan
米路,mi'lu
庙前,miao'qian
闽江学院,min'jiang'xue'yuan
闽台,min'tai
莫蕾蔻蕾,mo'lei'kou'lei
木雕,mu'diao
木兰,mu'lan
木兰溪,mu'lan'xi
那不是很好,na'bu'shi'hen'hao
那没错,na'mei'cuo
那去睡觉,na'qu'shui'jiao
拿一双,na'yi'shuang
耐克,nai'ke
耐克王,nai'ke'wang
男糕,nan'gao
男哥,nan'ge
南门,nan'men
楠木,nan'mu
南日岛,nan'ri'dao
南少林,nan'shao'lin
闹元宵,nao'yuan'xiao
你口袋,ni'kou'dai
你来莆田,ni'lai'pu'tian
你莆田,ni'pu'tian
你要什么时候,ni'yao'shen'me'shi'hou
你在福州,ni'zai'fu'zhou
你在莆田,ni'zai'pu'tian
年段,nian'duan
年段长,nian'duan'zhang
牛太郎,niu'tai'lang
泡椒田鸡,pao'jiao'tian'ji
泡爪,pao'zhao
皮面,pi'mian
皮鞋码,pi'xie'ma
聘金,pin'jin
平海,ping'hai
平海镇,ping'hai'zhen
评语,ping'yu
破机,po'ji
破破啦,po'po'la
莆田,pu'tian
莆田啊,pu'tian'a
莆田吧,pu'tian'ba
莆田的,pu'tian'de
莆田二中,pu'tian'er'zhong
莆田话,pu'tian'hua
莆田啦,pu'tian'la
莆田了,pu'tian'le
莆田六中,pu'tian'liu'zhong
莆田吗,pu'tian'ma
莆田哪里,pu'tian'na'li
莆田男,pu'tian'nan
莆田呢,pu'tian'ne
莆田哦,pu'tian'o
莆田人,pu'tian'ren
莆田三中,pu'tian'san'zhong
莆田市,pu'tian'shi
莆田市区,pu'tian'shi'qu
莆田玩,pu'tian'wan
莆田五中,pu'tian'wu'zhong
莆田学院,pu'tian'xue'yuan
莆田医院,pu'tian'yi'yuan
莆田一中,pu'tian'yi'zhong
埔尾,pu'wei
莆仙戏,pu'xian'xi
莆院,pu'yuan
七步,qi'bu
旗山,qi'shan
牵车,qian'che
前埔,qian'pu
浅棕,qian'zong
青璜,qing'huang
清汤粉,qing'tang'fen
清霞,qing'xia
青云山,qing'yun'shan
秋芦,qiu'lu
区府路,qu'fu'lu
去福州,qu'fu'zhou
去涵江,qu'han'jiang
去黄石,qu'huang'shi
去莆田,qu'pu'tian
去泉州,qu'quan'zhou
去天哪,qu'tian'na
去厦门,qu'xia'men
去漳州,qu'zhang'zhou
全年段,quan'nian'duan
三迪,san'di
三江口,san'jiang'kou
三棵树,san'ke'shu
啥办,sha'ban
沙色,sha'se
山立,shan'li
山亭,shan'ting
山中,shan'zhong
上杭,shang'hang
什么办,shen'me'ban
什么说,shen'me'shuo
生管,sheng'guan
石城,shi'cheng
市考,shi'kao
石码,shi'ma
石牌兜,shi'pai'dou
石狮,shi'shi
石室路,shi'shi'lu
石室岩,shi'shi'yan
石庭,shi'ting
食杂,shi'za
市质检,shi'zhi'jian
绶溪,shou'xi
书峰,shu'feng
刷吗,shua'ma
睡不起来,shui'bu'qi'lai
税校,shui'xiao
水煮活鱼,shui'zhu'huo'yu
四道菜,si'dao'cai
私立一中,si'li'yi'zhong
思密,si'mi
酸枝,suan'zhi
塔斗山,ta'dou'shan
踏居,ta'ju
太经常,tai'jing'chang
太子府,tai'zi'fu
塘头,tang'tou
陶源,tao'yuan
体育兵,ti'yu'bing
天博,tian'bo
天伯伦,tian'bo'lun
天飞,tian'fei
天后站,tian'hou'zhan
天九,tian'jiu
天九湾,tian'jiu'wan
天马山,tian'ma'shan
田头,tian'tou
田头店,tian'tou'dian
田尾,tian'wei
田尾圆圈,tian'wei'yuan'quan
天云洞,tian'yun'dong
停靠站,ting'kao'zhan
通学,tong'xue
通学生,tong'xue'sheng
头层皮,tou'ceng'pi
偷抄,tou'chao
投档分,tou'dang'fen
头鸡,tou'ji
头牙,tou'ya
土八路,tu'ba'lu
土楼,tu'lou
拖后,tuo'hou
托教,tuo'jiao
哇哈,wa'ha
万辉,wan'hui
万斯,wan'si
网贸,wang'mao
伟敏,wei'min
薇薇新娘,wei'wei'xin'niang
为咋,wei'za
为怎么,wei'zen'me
文甲,wen'jia
问说,wen'shuo
文献步行街,wen'xian'bu'xing'jie
文献路,wen'xian'lu
我吃饭下,wo'chi'fan'xia
我吃下,wo'chi'xia
我福建,wo'fu'jian
我刚要去,wo'gang'yao'qu
我口袋,wo'kou'dai
我莆田,wo'pu'tian
我去洗澡下,wo'qu'xi'zao'xia
我人家,wo'ren'jia
我洗澡下,wo'xi'zao'xia
我要过去了,wo'yao'guo'qu'le
我在福建,wo'zai'fu'jian
我在莆田,wo'zai'pu'tian
午班,wu'ban
武平,wu'ping
梧塘,wu'tang
梧塘镇,wu'tang'zhen
溪边,xi'bian
洗地板,xi'di'ban
溪口,xi'kou
西门兜,xi'men'dou
溪南,xi'nan
西天尾,xi'tian'wei
西天尾镇,xi'tian'wei'zhen
溪尾,xi'wei
洗澡下,xi'zao'xia
下房,xia'fang
下花,xia'hua
下黄,xia'huang
霞林,xia'lin
厦门北,xia'men'bei
厦门玩,xia'men'wan
下磨,xia'mo
下尾,xia'wei
仙草蜜,xian'cao'mi
仙水,xian'shui
仙水洋,xian'shui'yang
仙游,xian'you
仙游的,xian'you'de
仙游了,xian'you'le
仙游人,xian'you'ren
仙游县,xian'you'xian
仙游一中,xian'you'yi'zhong
橡胶底,xiang'jiao'di
向阳坊,xiang'yang'fang
效能办,xiao'neng'ban
小莆田,xiao'pu'tian
小神,xiao'shen
小时多,xiao'shi'duo
笑死掉,xiao'si'diao
小尾羊,xiao'wei'yang
小仙游,xiao'xian'you
小小神,xiao'xiao'shen
小鱼网,xiao'yu'wang
鞋标,xie'biao
鞋材,xie'cai
鞋厂,xie'chang
协丰,xie'feng
鞋服,xie'fu
鞋款,xie'kuan
鞋类,xie'lei
鞋舌,xie'she
鞋屋,xie'wu
鞋业,xie'ye
新车站,xin'che'zhan
新度,xin'du
新度镇,xin'du'zhen
新涵,xin'han
新涵大街,xin'han'da'jie
新华都,xin'hua'du
信辉,xin'hui
新罗区,xin'luo'qu
新汽车站,xin'qi'che'zhan
雄狮,xiong'shi
修光,xiu'guang
秀华,xiu'hua
秀梅,xiu'mei
秀屿,xiu'yu
秀屿区,xiu'yu'qu
雪津,xue'jin
学生街,xue'sheng'jie
鸭汤,ya'tang
岩前,yan'qian
洋尾,yang'wei
要去吃了,yao'qu'chi'le
瑶台,yao'tai
也有去,ye'you'qu
一咖啡,yi'ka'fei
益萍,yi'ping
易太,yi'tai
永辉超市,yong'hui'chao'shi
友德,you'de
游灯,you'deng
有回来,you'hui'lai
有回来吗,you'hui'lai'ma
有看见,you'kan'jian
有上班,you'shang'ban
有上班吗,you'shang'ban'ma
有上课,you'shang'ke
有上线,you'shang'xian
有通,you'tong
玉湖,yu'hu
园庄,yuan'zhuang
月塘街,yue'tang'jie
月塘乡,yue'tang'xiang
云庄,yun'zhuang
在城关,zai'cheng'guan
在福建,zai'fu'jian
在福州,zai'fu'zhou
在涵江,zai'han'jiang
在黄石,zai'huang'shi
在几天,zai'ji'tian
在两天,zai'liang'tian
在龙岩,zai'long'yan
在路易,zai'lu'yi
在莆田,zai'pu'tian
在普通,zai'pu'tong
再去天,zai'qu'tian
在仙游,zai'xian'you
在一会,zai'yi'hui
在一会儿,zai'yi'hui'er
怎么时候,zen'me'shi'hou
漳平,zhang'ping
漳州的,zhang'zhou'de
这么啦,zhe'me'la
针车,zhen'che
镇前,zhen'qian
政府路,zheng'fu'lu
正荣,zheng'rong
志萍,zhi'ping
智伟,zhi'wei
志雄,zhi'xiong
志忠,zhi'zhong
钟山,zhong'shan
中山中学,zhong'shan'zhong'xue
煮什么,zhu'shen'me
庄边,zhuang'bian
擢英,zhuo'ying
紫檀,zi'tan
座号,zuo'hao
做鞋子,zuo'xie'zi
做牙齿,zuo'ya'chi
