阿拉坦,a'la'tan
大青山,da'qing'shan
大三家,da'san'jia
大杨树,da'yang'shu
大营子,da'ying'zi
当铺地,dang'pu'di
到赤峰,dao'chi'feng
到赤峰了,dao'chi'feng'le
到呼市,dao'hu'shi
到内蒙,dao'nei'meng
到内蒙古,dao'nei'meng'gu
道日娜,dao'ri'na
到通辽,dao'tong'liao
德尼尔森,de'ni'er'sen
灯笼河,deng'long'he
等一会昂,deng'yi'hui'ang
帝苑豪庭,di'yuan'hao'ting
东方快车,dong'fang'kuai'che
东方斯卡拉,dong'fang'si'ka'la
洞山,dong'shan
东胜,dong'sheng
东胜了,dong'sheng'le
东乌旗,dong'wu'qi
豆片,dou'pian
都谁在家呢,dou'shui'zai'jia'ne
对夹,dui'jia
鄂尔多斯,e'er'duo'si
二道街,er'dao'jie
二连,er'lian
二米饭,er'mi'fan
纺校,fang'xiao
风水沟,feng'shui'gou
复方降压片,fu'fang'jiang'ya'pian
富贵园,fu'gui'yuan
福客源,fu'ke'yuan
嘎查,ga'cha
甘旗卡,gan'qi'ka
干啥去来,gan'sha'qu'lai
刚吃饭来,gang'chi'fan'lai
钢铁街,gang'tie'jie
高家梁,gao'jia'liang
格日勒,ge'ri'le
给我球,gei'wo'qiu
根河,gen'he
贡格尔,gong'ge'er
购物城,gou'wu'cheng
古山,gu'shan
孤山子,gu'shan'zi
官地,guan'di
冠东,guan'dong
广德公,guang'de'gong
哈达街,ha'da'jie
哈拉道口,ha'la'dao'kou
哈拉道口镇,ha'la'dao'kou'zhen
海贝尔,hai'bei'er
海勃湾,hai'bo'wan
海勃湾区,hai'bo'wan'qu
海达电器,hai'da'dian'qi
海拉尔,hai'la'er
海拉尔的,hai'la'er'de
海拉苏,hai'la'su
海日罕,hai'ri'han
罕山,han'shan
韩小轩,han'xiao'xuan
好宝贝了,hao'bao'bei'le
好老婆了,hao'lao'po'le
好乐宝,hao'le'bao
好力宝,hao'li'bao
好鲁库,hao'lu'ku
好你啦,hao'ni'la
好你了,hao'ni'le
浩特,hao'te
黑里河,hei'li'he
黑山头,hei'shan'tou
红花沟,hong'hua'gou
红庙子,hong'miao'zi
红旗剧场,hong'qi'ju'chang
红旗中学,hong'qi'zhong'xue
红山,hong'shan
红山公园,hong'shan'gong'yuan
红山区,hong'shan'qu
红山区的,hong'shan'qu'de
红山水库,hong'shan'shui'ku
红山晚报,hong'shan'wan'bao
胡日查,hu'ri'cha
胡日哈,hu'ri'ha
桦木沟,hua'mu'gou
花园胡同,hua'yuan'hu'tong
花之语,hua'zhi'yu
黄岗梁,huang'gang'liang
黄花沟,huang'hua'gou
皇家帝苑,huang'jia'di'yuan
黄金大厦,huang'jin'da'sha
回赤峰,hui'chi'feng
回赤峰了,hui'chi'feng'le
回通辽,hui'tong'liao
火花路,huo'hua'lu
霍林河,huo'lin'he
集宁南,ji'ning'nan
集宁区,ji'ning'qu
集通,ji'tong
吉祥家园,ji'xiang'jia'yuan
建昌营,jian'chang'ying
交通技校,jiao'tong'ji'xiao
街里,jie'li
街里的,jie'li'de
街里的吗,jie'li'de'ma
金厂沟梁,jin'chang'gou'liang
锦山,jin'shan
锦山的,jin'shan'de
锦山镇,jin'shan'zhen
经棚一中,jing'peng'yi'zhong
经棚镇,jing'peng'zhen
就在赤峰,jiu'zai'chi'feng
局高,ju'gao
喀喇沁,ka'la'qin
喀喇沁旗,ka'la'qin'qi
康帝斯,kang'di'si
考啥样,kao'sha'yang
靠夜,kao'ye
可别闹了,ke'bie'nao'le
可别说了,ke'bie'shuo'le
可不吧,ke'bu'ba
可不是的,ke'bu'shi'de
可不至于,ke'bu'zhi'yu
可没事,ke'mei'shi
可没事的,ke'mei'shi'de
克旗,ke'qi
克旗的,ke'qi'de
克什克腾,ke'shen'ke'teng
可是呗,ke'shi'bei
克什克腾旗,ke'shi'ke'teng'qi
可行了,ke'xing'le
科右中旗,ke'you'zhong'qi
拉硬,la'ying
辣嘴鸭,la'zui'ya
来赤峰,lai'chi'feng
来待会,lai'dai'hui
来林东,lai'lin'dong
来内蒙,lai'nei'meng
来天山,lai'tian'shan
来通辽,lai'tong'liao
来乌丹,lai'wu'dan
老船员,lao'chuan'yuan
老府,lao'fu
老哈河,lao'ha'he
老虎山,lao'hu'shan
老丫头,lao'ya'tou
雷蒙欣,lei'meng'xin
林东,lin'dong
林东的,lin'dong'de
林东一中,lin'dong'yi'zhong
林东镇,lin'dong'zhen
临河小区,lin'he'xiao'qu
林西,lin'xi
林西吧,lin'xi'ba
林西的,lin'xi'de
林西县,lin'xi'xian
六西街,liu'xi'jie
楼子店,lou'zi'dian
马架子,ma'jia'zi
买楼房,mai'lou'fang
满洲里,man'zhou'li
满洲里市,man'zhou'li'shi
忙农,mang'nong
没传送,mei'chuan'song
美丽河,mei'li'he
美林谷,mei'lin'gu
煤制气,mei'zhi'qi
蒙餐,meng'can
蒙东,meng'dong
蒙都,meng'dou
孟根,meng'gen
蒙古袍,meng'gu'pao
孟和,meng'he
蒙小,meng'xiao
蒙药,meng'yao
蒙医,meng'yi
蒙医院,meng'yi'yuan
蒙族,meng'zu
蒙族人,meng'zu'ren
免渡河,mian'du'he
莫旗,mo'qi
穆家营,mu'jia'ying
穆家营子,mu'jia'ying'zi
木兰街,mu'lan'jie
木头沟,mu'tou'gou
那达慕,na'da'mu
那可白,na'ke'bai
那可呗,na'ke'bei
那日苏,na'ri'su
那是为啥呢,na'shi'wei'sha'ne
那顺,na'shun
那也点,na'ye'dian
奶豆腐,nai'dou'fu
奈曼,nai'man
奈曼旗,nai'man'qi
南丁,nan'ding
南台子,nan'tai'zi
挠墙根,nao'qiang'gen
内工大,nei'gong'da
内蒙赤峰,nei'meng'chi'feng
内蒙的,nei'meng'de
内蒙古赤峰,nei'meng'gu'chi'feng
内蒙古赤峰市,nei'meng'gu'chi'feng'shi
内蒙古哦,nei'meng'gu'o
内蒙古移动,nei'meng'gu'yi'dong
内蒙古自治区,nei'meng'gu'zi'zhi'qu
内师大,nei'shi'da
能蒙古,neng'meng'gu
尼福达,ni'fu'da
你还知道呢,ni'hai'zhi'dao'ne
你具体情况,ni'ju'ti'qing'kuang
你来赤峰,ni'lai'chi'feng
你是赤峰,ni'shi'chi'feng
你是干什么工作,ni'shi'gan'shen'me'gong'zuo
你在赤峰,ni'zai'chi'feng
你在呼市,ni'zai'hu'shi
你找什么样的,ni'zhao'shen'me'yang'de
你这在哪呢,ni'zhe'zai'na'ne
酿皮,niang'pi
宁城,ning'cheng
宁城的,ning'cheng'de
宁城老窖,ning'cheng'lao'jiao
宁城县,ning'cheng'xian
牛古吐,niu'gu'tu
牛营子,niu'ying'zi
农电局,nong'dian'ju
农牧业局,nong'mu'ye'ju
平庄,ping'zhuang
平庄的,ping'zhuang'de
平庄镇,ping'zhuang'zhen
旗长,qi'chang
契丹街,qi'dan'jie
其木格,qi'mu'ge
其其格,qi'qi'ge
旗委,qi'wei
旗县,qi'xian
旗县区,qi'xian'qu
旗医院,qi'yi'yuan
旗政府,qi'zheng'fu
铅矿,qian'kuang
青格勒,qing'ge'le
清河路,qing'he'lu
去吃等,qu'chi'deng
去赤峰,qu'chi'feng
去赤峰了,qu'chi'feng'le
去海拉尔,qu'hai'la'er
去呼市,qu'hu'shi
去锦山,qu'jin'shan
去克旗,qu'ke'qi
去林东,qu'lin'dong
去林西,qu'lin'xi
去平庄,qu'ping'zhuang
去天山,qu'tian'shan
去通辽,qu'tong'liao
去新城,qu'xin'cheng
全旗,quan'qi
攘沙子,rang'sha'zi
人川,ren'chuan
荣济堂,rong'ji'tang
如意家园,ru'yi'jia'yuan
萨日娜,sa'ri'na
萨如拉,sa'ru'la
赛罕塔拉,sai'han'ta'la
三道街,san'dao'jie
三西街,san'xi'jie
三座店,san'zuo'dian
桑根达来,sang'gen'da'lai
傻种,sha'zhong
删了我吧,shan'le'wo'ba
山楂麦曲,shan'zha'mai'qu
上赤峰,shang'chi'feng
上京,shang'jing
绍根,shao'gen
圣嘉凯迪,sheng'jia'kai'di
盛世嘉园,sheng'shi'jia'yuan
是赤峰,shi'chi'feng
十家,shi'jia
十七小,shi'qi'xiao
是咋的,shi'za'de
手把肉,shou'ba'rou
双胜,shuang'sheng
水地,shui'di
水榭花都,shui'xie'hua'du
四道湾,si'dao'wan
四家子,si'jia'zi
四监狱,si'jian'yu
四门市,si'men'shi
斯日古楞,si'ri'gu'leng
松山,song'shan
松山区,song'shan'qu
松州巷,song'zhou'xiang
松州园,song'zhou'yuan
苏力德,su'li'de
苏木,su'mu
苏日娜,su'ri'na
太平地,tai'ping'di
套海,tao'hai
题谷,ti'gu
天山的,tian'shan'de
天山镇,tian'shan'zhen
天下最美,tian'xia'zui'mei
天义,tian'yi
天义镇,tian'yi'zhen
铁营子,tie'ying'zi
统部,tong'bu
通辽,tong'liao
通辽的,tong'liao'de
通辽了,tong'liao'le
通辽呢,tong'liao'ne
通辽市,tong'liao'shi
同裕,tong'yu
同裕胡同,tong'yu'hu'tong
头分地,tou'fen'di
土城子,tu'cheng'zi
突泉,tu'quan
图雅,tu'ya
王府花园,wang'fu'hua'yuan
王家店,wang'jia'dian
旺泉,wang'quan
旺香婷,wang'xiang'ting
王爷府,wang'ye'fu
维多利,wei'duo'li
文化大厦,wen'hua'da'sha
文钟镇,wen'zhong'zhen
翁牛,weng'niu
翁牛特,weng'niu'te
翁牛特旗,weng'niu'te'qi
我赤峰,wo'chi'feng
我赤峰的,wo'chi'feng'de
我们舍,wo'men'she
我内蒙,wo'nei'meng
我去赤峰,wo'qu'chi'feng
我上哪知道去,wo'shang'na'zhi'dao'qu
我是赤峰,wo'shi'chi'feng
我是赤峰的,wo'shi'chi'feng'de
我是内蒙,wo'shi'nei'meng
我是内蒙的,wo'shi'nei'meng'de
我四哥,wo'si'ge
我丫头,wo'ya'tou
我有肚子,wo'you'du'zi
我在赤峰,wo'zai'chi'feng
我在赤峰呢,wo'zai'chi'feng'ne
我在呼市,wo'zai'hu'shi
我在内蒙,wo'zai'nei'meng
我在内蒙古,wo'zai'nei'meng'gu
我在新城,wo'zai'xin'cheng
我知道就是,wo'zhi'dao'jiu'shi
乌达,wu'da
乌丹,wu'dan
乌丹的,wu'dan'de
乌丹镇,wu'dan'zhen
五道街,wu'dao'jie
五分地,wu'fen'di
乌海,wu'hai
乌海的,wu'hai'de
乌海了,wu'hai'le
乌海市,wu'hai'shi
乌海西,wu'hai'xi
五家,wu'jia
五间房,wu'jian'fang
乌拉盖,wu'la'gai
乌兰,wu'lan
乌兰布统,wu'lan'bu'tong
乌兰哈达,wu'lan'ha'da
乌兰浩特,wu'lan'hao'te
乌兰浩特市,wu'lan'hao'te'shi
乌力吉,wu'li'ji
五门市,wu'men'shi
乌日汗,wu'ri'han
乌日娜,wu'ri'na
乌日图,wu'ri'tu
五十家子,wu'shi'jia'zi
乌素图,wu'su'tu
梧桐花,wu'tong'hua
稀罕人,xi'han'ren
西拉木伦,xi'la'mu'lun
喜力来,xi'li'lai
锡林郭勒,xi'lin'guo'le
锡林郭勒盟,xi'lin'guo'le'meng
锡林浩特,xi'lin'hao'te
锡林浩特市,xi'lin'hao'te'shi
西露天,xi'lu'tian
锡盟,xi'meng
西南地,xi'nan'di
西乌旗,xi'wu'qi
汐子,xi'zi
汐子镇,xi'zi'zhen
夏家店,xia'jia'dian
下洼子,xia'wa'zi
向阳小区,xiang'yang'xiao'qu
小城子,xiao'cheng'zi
小牛群,xiao'niu'qun
小棚,xiao'peng
馨风雅居,xin'feng'ya'ju
新华小区,xin'hua'xiao'qu
新惠,xin'hui
新惠镇,xin'hui'zhen
新惠中学,xin'hui'zhong'xue
新开地,xin'kai'di
新林镇,xin'lin'zhen
心实,xin'shi
新泰和,xin'tai'he
新窝铺,xin'wo'pu
新右旗,xin'you'qi
兴安盟,xing'an'meng
兴隆小区,xing'long'xiao'qu
兴隆庄,xing'long'zhuang
炫步,xuan'bu
雪大吗,xue'da'ma
薛家湾,xue'jia'wan
寻思啥呢,xun'si'sha'ne
牙克石,ya'ke'shi
宴宾楼,yan'bin'lou
杨家营子,yang'jia'ying'zi
叶百寿,ye'bai'shou
一会说昂,yi'hui'shuo'ang
营子,ying'zi
永恒颜色,yong'heng'yan'se
玉龙家园,yu'long'jia'yuan
玉龙论坛,yu'long'lun'tan
榆树林子,yu'shu'lin'zi
于晓丽,yu'xiao'li
羽翼天使,yu'yi'tian'shi
宇宙地,yu'zhou'di
元宝山,yuan'bao'shan
元宝山的,yuan'bao'shan'de
元宝山区,yuan'bao'shan'qu
元宝山镇,yuan'bao'shan'zhen
远联,yuan'lian
园林路,yuan'lin'lu
咋也不能,za'ye'bu'neng
在敖汉,zai'ao'han
在吃等,zai'chi'deng
在赤峰,zai'chi'feng
在赤峰吗,zai'chi'feng'ma
在赤峰呢,zai'chi'feng'ne
在大板,zai'da'ban
在东胜,zai'dong'sheng
在海拉尔,zai'hai'la'er
在呼市,zai'hu'shi
在锦山,zai'jin'shan
在克旗,zai'ke'qi
在林东,zai'lin'dong
在林西,zai'lin'xi
在平庄,zai'ping'zhuang
在天山,zai'tian'shan
在天义,zai'tian'yi
在通辽,zai'tong'liao
在乌丹,zai'wu'dan
在乌海,zai'wu'hai
在锡盟,zai'xi'meng
在新城,zai'xin'cheng
在元宝山,zai'yuan'bao'shan
扎赉诺尔,zha'lai'nuo'er
扎赉特旗,zha'lai'te'qi
扎兰屯,zha'lan'tun
昭乌达,zhao'wu'da
昭乌达路,zhao'wu'da'lu
正基,zheng'ji
知道就是,zhi'dao'jiu'shi
芝瑞,zhi'rui
重感灵,zhong'gan'ling
中蒙医院,zhong'meng'yi'yuan
转兑,zhuan'dui
左旗,zuo'qi
