阿多诺,a'duo'nuo
比量,bi'liang
必然王国,bi'ran'wang'guo
必然性,bi'ran'xing
彼是相因,bi'shi'xiang'yin
比相生,bi'xiang'sheng
彼亦一是非,bi'yi'yi'shi'fei
蔽于一曲闇于大理,bi'yu'yi'qu'an'yu'da'li
毕沅,bi'yuan
裨灶,bi'zao
辨对待,bian'dui'dai
变非不变,bian'fei'bu'bian
变故易常,bian'gu'yi'chang
变古愈尽,bian'gu'yu'jin
辨合,bian'he
变化气质,bian'hua'qi'zhi
遍计所执性,bian'ji'suo'zhi'xing
便民愈甚,bian'min'yu'shen
变器卫道,bian'qi'wei'dao
辩说,bian'shuo
辩无胜,bian'wu'sheng
辩者二十一事,bian'zhe'er'shi'yi'shi
辩证否定观,bian'zheng'fou'ding'guan
辩证唯物主义,bian'zheng'wei'wu'zhu'yi
表诠,biao'quan
表现出,biao'xian'chu
别材,bie'cai
别名,bie'ming
别趣,bie'qu
别同异,bie'tong'yi
别宥,bie'you
并称为,bing'cheng'wei
冰炭不同器而久,bing'tan'bu'tong'qi'er'jiu
博爱,bo'ai
博爱哲学,bo'ai'zhe'xue
拨本塞源,bo'ben'sai'yuan
伯恩施坦,bo'en'shi'tan
波菲利,bo'fei'li
帛和,bo'he
柏拉图主义,bo'la'tu'zhu'yi
波罗蜜,bo'luo'mi
剥落物欲,bo'luo'wu'yu
般若,bo're
般若无知,bo're'wu'zhi
博通能用,bo'tong'neng'yong
博文约礼,bo'wen'yue'li
波昔东尼,bo'xi'dong'ni
博学笃志,bo'xue'du'zhi
伯阳父,bo'yang'fu
伯阳甫,bo'yang'fu
博约,bo'yue
不必担心,bu'bi'dan'xin
不诚无物,bu'cheng'wu'wu
布袋和尚,bu'dai'he'shang
不得经同,bu'de'jing'tong
不动心,bu'dong'xin
不二,bu'er
不二法门,bu'er'fa'men
布哈林,bu'ha'lin
不可使知之,bu'ke'shi'zhi'zhi
不可知论,bu'ke'zhi'lun
不可知之事,bu'ke'zhi'zhi'shi
不空,bu'kong
布洛赫,bu'luo'he
不平则鸣,bu'ping'ze'ming
不谴是非以与世俗处,bu'qian'shi'fei'yi'yu'shi'su'chu
不忍人之心,bu'ren'ren'zhi'xin
卜商,bu'shang
卜筮,bu'shi
不是而然,bu'shi'er'ran
不似之似,bu'si'zhi'si
不徒耳目,bu'tu'er'mu
不为而成,bu'wei'er'cheng
不行而知,bu'xing'er'zhi
不学未必为长夜,bu'xue'wei'bi'wei'zhang'ye
不依赖于,bu'yi'lai'yu
不以人助天,bu'yi'ren'zhu'tian
不豫则废,bu'yu'ze'fei
不再存在,bu'zai'cun'zai
不真空,bu'zhen'kong
不知廉耻,bu'zhi'lian'chi
不知所以因而自因,bu'zhi'suo'yi'yin'er'zi'yin
不知亦能行,bu'zhi'yi'neng'xing
不知之知,bu'zhi'zhi'zhi
不知之知与不识之知,bu'zhi'zhi'zhi'yu'bu'shi'zhi'zhi
蔡墨,cai'mo
才情,cai'qing
蔡尚思,cai'shang'si
蔡沈,cai'shen
才性,cai'xing
才性合,cai'xing'he
才性离,cai'xing'li
才性四本,cai'xing'si'ben
才性四本论,cai'xing'si'ben'lun
才性同,cai'xing'tong
才性异,cai'xing'yi
才性异同,cai'xing'yi'tong
才性之辨,cai'xing'zhi'bian
才性之学,cai'xing'zhi'xue
蔡邕,cai'yong
蔡元定,cai'yuan'ding
蔡元培,cai'yuan'pei
参两,can'liang
参天两地,can'tian'liang'di
参伍之道,can'wu'zhi'dao
参验,can'yan
仓廪实而知礼节,cang'lin'shi'er'zhi'li'jie
曹褒,cao'bao
曹端,cao'duan
操术,cao'shu
曹思文,cao'si'wen
曹植,cao'zhi
侧隐之心,ce'yin'zhi'xin
曾琦,ceng'qi
察类,cha'lei
刹那,cha'na
察身以知天,cha'shen'yi'zhi'tian
察识端倪,cha'shi'duan'ni
禅定,chan'ding
禅机,chan'ji
产生矛盾,chan'sheng'mao'dun
阐提,chan'ti
缠子,chan'zi
禅宗美学,chan'zong'mei'xue
昌必有衰,chang'bi'you'shuai
常变,chang'bian
长春真人,chang'chun'zhen'ren
常道,chang'dao
常德,chang'de
长沮,chang'ju
常名,chang'ming
常权,chang'quan
常统常变,chang'tong'chang'bian
常无有,chang'wu'you
朝彻,chao'che
晁错,chao'cuo
陈白沙,chen'bai'sha
陈炽,chen'chi
陈淳,chen'chun
陈独秀,chen'du'xiu
陈傅良,chen'fu'liang
陈鼓应,chen'gu'ying
陈焕章,chen'huan'zhang
陈榥,chen'huang
陈家康,chen'jia'kang
陈建,chen'jian
尘芥六合,chen'jie'lu'he
陈景元,chen'jing'yuan
陈九川,chen'jiu'chuan
陈澧,chen'li
陈立,chen'li
陈立夫,chen'li'fu
陈亮,chen'liang
陈龙川,chen'long'chuan
陈骈,chen'pian
陈启天,chen'qi'tian
陈虬,chen'qiu
陈铨,chen'quan
陈确,chen'que
陈荣捷,chen'rong'jie
沉思冥想,chen'si'ming'xiang
陈天华,chen'tian'hua
陈同甫,chen'tong'fu
陈抟,chen'tuan
谶纬,chen'wei
陈唯实,chen'wei'shi
陈献章,chen'xian'zhang
陈祥道,chen'xiang'dao
陈樱宁,chen'ying'ning
陈元晖,chen'yuan'hui
陈仲,chen'zhong
陈朱之辩,chen'zhu'zhi'bian
程端礼,cheng'duan'li
程端蒙,cheng'duan'meng
惩忿窒欲,cheng'fen'zhi'yu
承负,cheng'fu
成公绥,cheng'gong'sui
澄观,cheng'guan
程颢,cheng'hao
澄怀味象,cheng'huai'wei'xiang
成极,cheng'ji
成己成物,cheng'ji'cheng'wu
程门立雪,cheng'men'li'xue
诚明,cheng'ming
程明道,cheng'ming'dao
成天地者气也,cheng'tian'di'zhe'qi'ye
程廷祚,cheng'ting'zuo
乘物游心,cheng'wu'you'xin
成心,cheng'xin
成玄英,cheng'xuan'ying
程瑶田,cheng'yao'tian
诚意,cheng'yi
程颐,cheng'yi
程伊川,cheng'yi'chuan
成于乐,cheng'yu'le
成中英,cheng'zhong'ying
尺棰不尽,chi'chui'bu'jin
持戒,chi'jie
崇本息末,chong'ben'xi'mo
崇本抑末,chong'ben'yi'mo
冲决网罗,chong'jue'wang'luo
充满瑕疵,chong'man'xia'ci
冲气,chong'qi
崇尚知识,chong'shang'zhi'shi
蹱事增华,chong'shi'zeng'hua
充实之美,chong'shi'zhi'mei
崇有,chong'you
处静,chu'jing
楚狂接舆,chu'kuang'jie'yu
触类是道,chu'lei'shi'dao
出世间,chu'shi'jian
储泳,chu'yong
传神,chuan'shen
传神记,chuan'shen'ji
创造的科学,chuang'zao'de'ke'xue
纯客观法,chun'ke'guan'fa
纯思维,chun'si'wei
慈悲,ci'bei
雌节,ci'jie
辞让之心,ci'rang'zhi'xin
雌雄刚柔之辨,ci'xiong'gang'rou'zhi'bian
此亦一是非,ci'yi'yi'shi'fei
猝然念得,cu'ran'nian'de
崔浩,cui'hao
崔憬,cui'jing
粹灵之气,cui'ling'zhi'qi
崔适,cui'shi
崔寔,cui'shi
崔述,cui'shu
存神,cun'shen
存思,cun'si
存天理,cun'tian'li
存想,cun'xiang
存心,cun'xin
存疑主义,cun'yi'zhu'yi
大辩,da'bian
大别名,da'bie'ming
大胆假设小心求证,da'dan'jia'she'xiao'xin'qiu'zheng
达道,da'dao
大盗不止,da'dao'bu'zhi
打倒孔家店,da'dao'kong'jia'dian
达德,da'de
大动力,da'dong'li
大共名,da'gong'ming
大故,da'gu
大九州说,da'jiu'zhou'shuo
大理,da'li
达理明义,da'li'ming'yi
大美,da'mei
达名,da'ming
达摩,da'mo
大贫小贫说,da'pin'xiao'pin'shuo
大巧,da'qiao
大清明,da'qing'ming
达生,da'sheng
达视洞听,da'shi'dong'ting
大体,da'ti
大同,da'tong
大同异,da'tong'yi
大小戴,da'xiao'dai
大小俱足,da'xiao'ju'zu
大小夏侯,da'xiao'xia'hou
大心,da'xin
大衍义,da'yan'yi
大衍之数,da'yan'zhi'shu
大一统,da'yi'tong
大音,da'yin
大用流行,da'yong'liu'xing
大丈夫,da'zhang'fu
大知大觉,da'zhi'da'jiao
大中之道,da'zhong'zhi'dao
戴奥真尼斯,dai'ao'zhen'ni'si
代表人物,dai'biao'ren'wu
戴德,dai'de
戴东原,dai'dong'yuan
戴季陶,dai'ji'tao
戴逵,dai'kui
戴圣,dai'sheng
戴望,dai'wang
戴震,dai'zhen
单名与兼名,dan'ming'yu'jian'ming
丹书,dan'shu
担水砍柴无非妙道,dan'shui'kan'chai'wu'fei'miao'dao
当然,dang'ran
道安,dao'an
道本器末,dao'ben'qi'mo
道不可变,dao'bu'ke'bian
道绰,dao'chuo
道德革命,dao'de'ge'ming
道德天尊,dao'de'tian'zun
道德完善,dao'de'wan'shan
道德修养,dao'de'xiu'yang
道德原则,dao'de'yuan'ze
道德哲学,dao'de'zhe'xue
道法,dao'fa
道法自然,dao'fa'zi'ran
道纪,dao'ji
道即是艺,dao'ji'shi'yi
道稽万理,dao'ji'wan'li
倒见,dao'jian
道理,dao'li
道理相应,dao'li'xiang'ying
道器,dao'qi
道生,dao'sheng
道生顿悟义,dao'sheng'dun'wu'yi
道生法,dao'sheng'fa
道术,dao'shu
道枢,dao'shu
道体器用,dao'ti'qi'yong
道统说,dao'tong'shuo
道心,dao'xin
道宣,dao'xuan
道一,dao'yi
盗亦有道,dao'yi'you'dao
导引,dao'yin
道在物中,dao'zai'wu'zhong
德本财末,de'ben'cai'mo
得本知末,de'ben'zhi'mo
德操,de'cao
德勒斯,de'le'si
德力,de'li
德里达,de'li'da
德谟克利特,de'mo'ke'li'te
德虐相成,de'nue'xiang'cheng
德清,de'qing
德先生,de'xian'sheng
得象忘言,de'xiang'wang'yan
德行,de'xing
德性之知,de'xing'zhi'zhi
得意忘象,de'yi'wang'xiang
德治,de'zhi
德智主义,de'zhi'zhu'yi
登高必自卑,deng'gao'bi'zi'bei
邓陵氏,deng'ling'shi
邓陵子,deng'ling'zi
邓牧,deng'mu
邓析,deng'xi
邓析子,deng'xi'zi
邓显鹤,deng'xian'he
邓演达,deng'yan'da
邓以蛰,deng'yi'zhe
狄奥根尼,di'ao'gen'ni
迪奥吉尼士,di'ao'ji'ni'shi
地道,di'dao
狄德罗,di'de'luo
第欧根尼,di'ou'gen'ni
敌我分明,di'wo'fen'ming
第一哲学,di'yi'zhe'xue
地有常数,di'you'chang'shu
地中海沿岸,di'zhong'hai'yan'an
电气,dian'qi
丁福保,ding'fu'bao
定慧,ding'hui
定名与虚位,ding'ming'yu'xu'wei
丁文江,ding'wen'jiang
丁子有尾,ding'zi'you'wei
动必有机,dong'bi'you'ji
动的逻辑,dong'de'luo'ji
动的文明,dong'de'wen'ming
东方神秘主义,dong'fang'shen'mi'zhu'yi
动非自外,dong'fei'zi'wai
动静互涵,dong'jing'hu'han
动静皆动,dong'jing'jie'dong
董无心,dong'wu'xin
东西文化论战,dong'xi'wen'hua'lun'zhan
动心忍性,dong'xin'ren'xing
动则成昏,dong'ze'cheng'hun
董仲舒,dong'zhong'shu
斗争性,dou'zheng'xing
杜弼,du'bi
杜光庭,du'guang'ting
杜国庠,du'guo'xiang
独化,du'hua
独化于玄冥之境,du'hua'yu'xuan'ming'zhi'jing
独立存在,du'li'cun'zai
杜林,du'lin
独生而无所资借,du'sheng'er'wu'suo'zi'jie
杜守素,du'shou'su
杜顺,du'shun
独头无明,du'tou'wu'ming
独头意识,du'tou'yi'shi
杜武库,du'wu'ku
独心,du'xin
独性,du'xing
笃行,du'xing
独知独觉,du'zhi'du'jue
端木赐,duan'mu'ci
对待,dui'dai
对夺,dui'duo
对戡法,dui'kan'fa
对抗性矛盾,dui'kang'xing'mao'dun
对立起来,dui'li'qi'lai
对立统一,dui'li'tong'yi
对生,dui'sheng
对物,dui'wu
对应词汇,dui'ying'ci'hui
对争,dui'zheng
顿超直悟,dun'chao'zhi'wu
钝根,dun'gen
顿渐之争,dun'jian'zhi'zheng
遁天背情,dun'tian'bei'qing
顿悟,dun'wu
多元认识论,duo'yuan'ren'shi'lun
多中一,duo'zhong'yi
鹅湖之会,e'hu'zhi'hui
恩培多克勒,en'pei'duo'ke'le
二柄,er'bing
二谛,er'di
二而一,er'er'yi
耳目之官,er'mu'zhi'guan
耳目之实,er'mu'zhi'shi
兒说,er'shuo
二无一,er'wu'yi
而指非指,er'zhi'fei'zhi
法度,fa'du
法后王,fa'hou'wang
法界,fa'jie
法界缘起,fa'jie'yuan'qi
法琳,fa'lin
法律篇,fa'lv'pian
法生于义,fa'sheng'yu'yi
法式,fa'shi
法术势,fa'shu'shi
法顺,fa'shun
法天贵真,fa'tian'gui'zhen
法统,fa'tong
法显,fa'xian
法先王,fa'xian'wang
发现真理,fa'xian'zhen'li
法象,fa'xiang
法相,fa'xiang
法性,fa'xing
法演,fa'yan
法眼,fa'yan
法藏,fa'zang
发展哲学,fa'zhan'zhe'xue
法哲学,fa'zhe'xue
法执,fa'zhi
泛爱万物,fan'ai'wan'wu
反本,fan'ben
樊迟,fan'chi
范畴,fan'chou
犯而不校,fan'er'bu'jiao
反复,fan'fu
反复问答,fan'fu'wen'da
反观,fan'guan
泛架构主义,fan'jia'gou'zhu'yi
反经行权,fan'jing'xing'quan
范蠡,fan'li
烦恼障,fan'nao'zhang
反求诸己,fan'qiu'zhu'ji
反求自识,fan'qiu'zi'shi
反身而诚,fan'shen'er'cheng
范寿康,fan'shou'kang
范文澜,fan'wen'lan
凡物必合,fan'wu'bi'he
樊须,fan'xu
樊逊,fan'xun
反衍,fan'yan
反因,fan'yin
反映论,fan'ying'lun
反者道之动,fan'zhe'dao'zhi'dong
范缜,fan'zhen
范仲淹,fan'zhong'yan
方苞,fang'bao
方便,fang'bian
放达,fang'da
方东美,fang'dong'mei
方东树,fang'dong'shu
方会,fang'hui
方术,fang'shu
防微杜渐,fang'wei'du'jian
方孝孺,fang'xiao'ru
方以智,fang'yi'zhi
方植之,fang'zhi'zhi
非常激烈,fei'chang'ji'lie
非道弘人,fei'dao'hong'ren
斐德罗篇篇,fei'de'luo'pian'pian
斐多篇,fei'duo'pian
费尔巴哈,fei'er'ba'ha
非攻,fei'gong
非乐,fei'le
斐利布斯篇,fei'li'bu'si'pian
菲力帕斯篇,fei'li'pa'si'pian
非量,fei'liang
菲罗索菲亚,fei'luo'suo'fei'ya
费密,fei'mi
非命,fei'ming
非命尚力,fei'ming'shang'li
飞鸟之景未尝动,fei'niao'zhi'jing'wei'chang'dong
非耦,fei'ou
非气质无以见性,fei'qi'zhi'wu'yi'jian'xing
废然之静,fei'ran'zhi'jing
非人者必有以易之,fei'ren'zhe'bi'you'yi'yi'zhi
飞升,fei'sheng
非圣无法,fei'sheng'wu'fa
非汤武而薄周孔,fei'tang'wu'er'bo'zhou'kong
非以其名也,fei'yi'qi'ming'ye
费直,fei'zhi
非宗教精神,fei'zong'jiao'jing'shen
分理,fen'li
分命,fen'ming
愤世嫉俗,fen'shi'ji'su
分知分行,fen'zhi'fen'hang
奉常处变,feng'chang'chu'bian
冯定,feng'ding
风骨,feng'gu
冯桂芬,feng'gui'fen
风教,feng'jiao
冯契,feng'qi
奉天法古,feng'tian'fa'gu
冯文潜,feng'wen'qian
冯友兰,feng'you'lan
佛法,fo'fa
佛性,fo'xing
拂尘看净,fu'chen'kan'jing
傅嘏,fu'gu
富贵在钱,fu'gui'zai'qian
富贵在天,fu'gui'zai'tian
傅立叶,fu'li'ye
符箓,fu'lu
负面,fu'mian
复命,fu'ming
符命,fu'ming
傅青主,fu'qing'zhu
符瑞,fu'rui
傅山,fu'shan
伏胜,fu'sheng
伏生,fu'sheng
服食,fu'shi
符书,fu'shu
傅斯年,fu'si'nian
傅伟勋,fu'wei'xun
复性,fu'xing
傅玄,fu'xuan
符验,fu'yan
傅奕,fu'yi
负阴而抱阳,fu'yin'er'bao'yang
付之天均,fu'zhi'tian'jun
盖公,gai'gong
改过迁善,gai'guo'qian'shan
概念,gai'nian
概念范畴,gai'nian'fan'chou
盖天说,gai'tian'shuo
概要观点,gai'yao'guan'dian
改正朔,gai'zheng'shuo
感观,gan'guan
干吉,gan'ji
感觉和理性,gan'jue'he'li'xing
感觉灵敏,gan'jue'ling'min
干室,gan'shi
感相,gan'xiang
感兴,gan'xing
感性认识,gan'xing'ren'shi
敢咬敢斗,gan'yao'gan'dou
刚柔,gang'rou
刚毅木讷,gang'yi'mu'ne
高岸为谷,gao'an'wei'gu
高度发展,gao'du'fa'zhan
高尔吉亚,gao'er'ji'ya
高尔吉亚篇,gao'er'ji'ya'pian
高拱,gao'gong
高亨,gao'heng
高攀龙,gao'pan'long
高清海,gao'qing'hai
高相,gao'xiang
高诱,gao'you
告子,gao'zi
个别特征,ge'bie'te'zheng
革不必世,ge'bu'bi'shi
革故鼎新,ge'gu'ding'xin
格合外内,ge'he'wai'nei
葛洪,ge'hong
葛兰西,ge'lan'xi
革命,ge'ming
革命性,ge'ming'xing
格式,ge'shi
革天,ge'tian
格物,ge'wu
格物致知,ge'wu'zhi'zhi
格心,ge'xin
葛玄,ge'xuan
格义,ge'yi
格致,ge'zhi
格致相因,ge'zhi'xiang'yin
根本变化,gen'ben'bian'hua
根本原因,gen'ben'yuan'yin
根由,gen'you
耿定向,geng'ding'xiang
更化,geng'hua
更有名,geng'you'ming
耕战,geng'zhan
公案,gong'an
共比量,gong'bi'liang
公德,gong'de
龚定庵,gong'ding'an
公都子,gong'dou'zi
工夫所至,gong'fu'suo'zhi
恭敬之心,gong'jing'zhi'xin
恭宽信敏惠,gong'kuan'xin'min'hui
公例,gong'li
功利,gong'li
公孟子,gong'meng'zi
共名与别名,gong'ming'yu'bie'ming
功能,gong'neng
弓矢从的,gong'shi'cong'de
攻守异势与攻取异术,gong'shou'yi'shi'yu'gong'qu'yi'shu
公输班,gong'shu'ban
公孙丑,gong'sun'chou
公孙弘,gong'sun'hong
公孙龙,gong'sun'long
公孙龙子,gong'sun'long'zi
公孙尼子,gong'sun'ni'zi
公孙侨,gong'sun'qiao
公孙鞅,gong'sun'yang
公西赤,gong'xi'chi
共相,gong'xiang
公心,gong'xin
公性,gong'xing
躬行践履,gong'xing'jian'lv
公性在独性中,gong'xing'zai'du'xing'zhong
公羊高,gong'yang'gao
公羊三世说,gong'yang'san'shi'shuo
公冶长,gong'ye'chang
公因,gong'yin
功用,gong'yong
公众利益,gong'zhong'li'yi
龚自珍,gong'zi'zhen
狗非犬,gou'fei'quan
钩深致远,gou'shen'zhi'yuan
古典希腊哲学,gu'dian'xi'la'zhe'xue
古典政治学,gu'dian'zheng'zhi'xue
古风时代,gu'feng'shi'dai
顾欢,gu'huan
孤驹未尝有母,gu'ju'wei'chang'you'mu
顾恺之,gu'kai'zhi
穀梁赤,gu'liang'chi
谷神,gu'shen
故生,gu'sheng
顾亭林,gu'ting'lin
古希腊城邦,gu'xi'la'cheng'bang
古希腊罗马哲学,gu'xi'la'luo'ma'zhe'xue
古希腊思想,gu'xi'la'si'xiang
古希腊思想家,gu'xi'la'si'xiang'jia
古希腊文,gu'xi'la'wen
古希腊文化,gu'xi'la'wen'hua
古希腊哲学家,gu'xi'la'zhe'xue'jia
顾宪成,gu'xian'cheng
顾炎武,gu'yan'wu
固有知识,gu'you'zhi'shi
卦辞,gua'ci
卦气,gua'qi
寡欲,gua'yu
怪异行为,guai'yi'xing'wei
管敬仲,guan'jing'zhong
管理国家,guan'li'guo'jia
观念上层建筑,guan'nian'shang'ceng'jian'zhu
官无常贵,guan'wu'chang'gui
观物之异以知天意,guan'wu'zhi'yi'yi'zhi'tian'yi
观象制器,guan'xiang'zhi'qi
管夷吾,guan'yi'wu
关尹,guan'yin
关尹子,guan'yin'zi
管仲,guan'zhong
管子,guan'zi
光气,guang'qi
规不可以为圆,gui'bu'ke'yi'wei'yuan
龟长于蛇,gui'chang'yu'she
归根,gui'gen
贵公去私,gui'gong'qu'si
鬼谷子,gui'gu'zi
贵己,gui'ji
归寂,gui'ji
鬼谋,gui'mou
贵齐,gui'qi
贵柔守雌,gui'rou'shou'ci
鬼神,gui'shen
贵生重己,gui'sheng'zhong'ji
贵无,gui'wu
贵无论,gui'wu'lun
贵一贱二,gui'yi'jian'er
贵因,gui'yin
贵知不贵行,gui'zhi'bu'gui'xing
贵族政治理想,gui'zu'zheng'zhi'li'xiang
国粹,guo'cui
国故学,guo'gu'xue
过极失当,guo'ji'shi'dang
国家机器,guo'jia'ji'qi
郭沫若,guo'mo'ruo
郭璞,guo'pu
郭庆藩,guo'qing'fan
郭象,guo'xiang
过犹不及,guo'you'bu'ji
过则舍矣,guo'ze'she'yi
郭子玄,guo'zi'xuan
哈贝马斯,ha'bei'ma'si
韩昌黎,han'chang'li
汉传因明,han'chuan'yin'ming
邯郸学步,han'dan'xue'bu
韩非,han'fei
韩非子,han'fei'zi
韩康伯,han'kang'bo
汉盛于周,han'sheng'yu'zhou
韩檀,han'tan
韩退之,han'tui'zhi
涵养操存,han'yang'cao'cun
韩婴,han'ying
韩愈,han'yu
郝大通,hao'da'tong
浩然之气,hao'ran'zhi'qi
昊天,hao'tian
好质恶饰,hao'zhi'e'shi
何伯斋,he'bo'zhai
何承天,he'cheng'tian
和而不流,he'er'bu'liu
和而不同,he'er'bu'tong
合二而一,he'er'er'yi
合法性,he'fa'xing
呵佛骂祖,he'fo'ma'zu
何干之,he'gan'zhi
鹖冠子,he'guan'zi
何基,he'ji
赫拉克利特,he'la'ke'li'te
和乐如一,he'le'ru'yi
合理利己主义,he'li'li'ji'zhu'yi
合理内核,he'li'nei'he
合理性,he'li'xing
贺麟,he'lin
阖辟,he'pi
何启,he'qi
和气,he'qi
河上公,he'shang'gong
何绍基,he'shao'ji
和实生物,he'shi'sheng'wu
何塘,he'tang
何廷仁,he'ting'ren
合同,he'tong
和同,he'tong
合同异,he'tong'yi
合外内之道,he'wai'nei'zhi'dao
和为贵,he'wei'gui
何心隐,he'xin'yin
何休,he'xiu
何晏,he'yan
合一衍万,he'yi'yan'wan
黑格尔,hei'ge'er
很相似,hen'xiang'si
恒转,heng'zhuan
洪北江,hong'bei'jiang
洪范九畴,hong'fan'jiu'chou
洪亮吉,hong'liang'ji
洪谦,hong'qian
弘忍,hong'ren
洪仁玕,hong'ren'gan
洪秀全,hong'xiu'quan
弘一,hong'yi
厚生,hou'sheng
侯外庐,hou'wai'lu
厚自尊贵之风,hou'zi'zun'gui'zhi'feng
胡安定,hu'an'ding
胡安国,hu'an'guo
胡承诺,hu'cheng'nuo
胡广,hu'guang
胡宏,hu'hong
胡居仁,hu'ju'ren
胡礼垣,hu'li'yuan
胡母辅之,hu'mu'fu'zhi
胡秋原,hu'qiu'yuan
胡绳,hu'sheng
胡适,hu'shi
户枢不蠹,hu'shu'bu'du
胡文定,hu'wen'ding
胡五峰,hu'wu'feng
胡寅,hu'yin
互有,hu'you
胡瑗,hu'yuan
胡直,hu'zhi
化醇,hua'chun
化待,hua'dai
化工,hua'gong
华佗,hua'tuo
化性起伪,hua'xing'qi'wei
怀海,huai'hai
怀让,huai'rang
怀疑主义,huai'yi'zhu'yi
幻化,huan'hua
桓宽,huan'kuan
桓谭,huan'tan
桓团,huan'tuan
环渊,huan'yuan
环中,huan'zhong
黄白术,huang'bai'shu
黄道周,huang'dao'zhou
黄帝,huang'di
黄东发,huang'dong'fa
黄幹,huang'gan
皇极,huang'ji
皇侃,huang'kan
黄老,huang'lao
黄老道德之术,huang'lao'dao'de'zhi'shu
黄梨洲,huang'li'zhou
黄缭,huang'liao
黄凌霜,huang'ling'shuang
黄龙三关,huang'long'san'guan
黄枬森,huang'nan'sen
皇上帝,huang'shang'di
黄石龙,huang'shi'long
皇天,huang'tian
黄绾,huang'wan
黄震,huang'zhen
黄宗,huang'zong
黄宗羲,huang'zong'xi
惠栋,hui'dong
慧观,hui'guan
会合宗教,hui'he'zong'jiao
回互不回互,hui'hu'bu'hui'hu
慧寂,hui'ji
慧皎,hui'jiao
慧琳,hui'lin
慧南,hui'nan
惠能,hui'neng
慧能,hui'neng
诲人不倦,hui'ren'bu'juan
惠施,hui'shi
慧思,hui'si
慧文,hui'wen
回忆说,hui'yi'shuo
毁誉之名,hui'yu'zhi'ming
慧远,hui'yuan
会众合一,hui'zhong'he'yi
惠子,hui'zi
浑沌,hun'dun
浑论,hun'lun
魂魄,hun'po
魂气,hun'qi
浑天说,hun'tian'shuo
魂知,hun'zhi
火不热,huo'bu're
获得幸福,huo'de'xing'fu
活动能力,huo'dong'neng'li
祸福相倚,huo'fu'xiang'yi
霍克海默,huo'ke'hai'mo
火气一也,huo'qi'yi'ye
或使,huo'shi
火一元论,huo'yi'yuan'lun
火运水火,huo'yun'shui'huo
汲黯,ji'an
基本矛盾,ji'ben'mao'dun
基本内核,ji'ben'nei'he
基本取向,ji'ben'qu'xiang
基本问题,ji'ben'wen'ti
激变论,ji'bian'lun
吉藏,ji'cang
姬旦,ji'dan
疾得成佛,ji'de'cheng'fo
即动而求静,ji'dong'er'qiu'jing
基督教神学,ji'du'jiao'shen'xue
基督教神学观念,ji'du'jiao'shen'xue'guan'nian
