阿香婆,a'xiang'po
哈到家,ha'dao'jia
哈到家了,ha'dao'jia'le
哈到啦,ha'dao'la
哈到了,ha'dao'le
哈方便,ha'fang'bian
哈过来,ha'guo'lai
哈好,ha'hao
哈好啊,ha'hao'a
哈好吃,ha'hao'chi
哈好看,ha'hao'kan
哈好看啊,ha'hao'kan'a
哈好了,ha'hao'le
哈好玩,ha'hao'wan
哈回家,ha'hui'jia
哈回来,ha'hui'lai
哈回来了,ha'hui'lai'le
哈记得,ha'ji'de
哈看到,ha'kan'dao
哈看到了,ha'kan'dao'le
哈来啊,ha'lai'a
哈来啦,ha'lai'la
哈来了,ha'lai'le
哈忙,ha'mang
哈没,ha'mei
哈没到,ha'mei'dao
哈没睡,ha'mei'shui
哈木有,ha'mu'you
哈能,ha'neng
哈起来,ha'qi'lai
哈起来啦,ha'qi'lai'la
哈起来了,ha'qi'lai'le
哈去,ha'qu
哈去啊,ha'qu'a
哈认得,ha'ren'de
哈认识,ha'ren'shi
哈上班,ha'shang'ban
哈是,ha'shi
哈是的,ha'shi'de
哈是滴,ha'shi'di
哈收到,ha'shou'dao
哈收到了,ha'shou'dao'le
哈爽,ha'shuang
哈睡,ha'shui
哈睡觉,ha'shui'jiao
哈睡啦,ha'shui'la
哈睡了,ha'shui'le
哈听到了,ha'ting'dao'le
哈喜欢,ha'xi'huan
哈下班,ha'xia'ban
哈下班了,ha'xia'ban'le
哈想我,ha'xiang'wo
哈晓得,ha'xiao'de
哈行啊,ha'xing'a
哈行了,ha'xing'le
哈需要,ha'xu'yao
哈要,ha'yao
哈要去,ha'yao'qu
哈要我,ha'yao'wo
哈以为,ha'yi'wei
哈有,ha'you
哈有的,ha'you'de
哈有个,ha'you'ge
哈有空,ha'you'kong
哈有钱,ha'you'qian
哈有人,ha'you'ren
哈有什么,ha'you'shen'me
哈有事,ha'you'shi
哈有时间,ha'you'shi'jian
哈有意思,ha'you'yi'si
哈在,ha'zai
哈在啊,ha'zai'a
哈在家,ha'zai'jia
哈在了,ha'zai'le
哈知道,ha'zhi'dao
哈准备,ha'zhun'bei
哈走了,ha'zou'le
还好哎,hai'hao'ai
还老名字,hai'lao'ming'zi
海螺,hai'luo
海螺湾,hai'luo'wan
海啸馆,hai'xiao'guan
还在芜湖,hai'zai'wu'hu
汉爵阳明,han'jue'yang'ming
焊装,han'zhuang
好大事,hao'da'shi
好的一笔,hao'de'yi'bi
好快活,hao'kuai'huo
好孬,hao'nao
好怕人,hao'pa'ren
好一笔,hao'yi'bi
和平大厦,he'ping'da'sha
禾味,he'wei
黑扯,hei'che
恒大华府,heng'da'hua'fu
红梅新村,hong'mei'xin'cun
红旗园,hong'qi'yuan
红杨镇,hong'yang'zhen
花鼓香,hua'gu'xiang
花津南路,hua'jin'nan'lu
花津校区,hua'jin'xiao'qu
华仑港湾,hua'lun'gang'wan
花桥镇,hua'qiao'zhen
华衍水务,hua'yan'shui'wu
华亿,hua'yi
坏的了,huai'de'le
黄池,huang'chi
黄山,huang'shan
黄山西路,huang'shan'xi'lu
黄山园,huang'shan'yuan
汇成名郡,hui'cheng'ming'jun
回噶,hui'ga
汇金广场,hui'jin'guang'chang
徽商,hui'shang
徽商城,hui'shang'cheng
徽商春天,hui'shang'chun'tian
徽商银行,hui'shang'yin'hang
回芜湖,hui'wu'hu
火流星,huo'liu'xing
火龙岗,huo'long'gang
火桶,huo'tong
吉和街,ji'he'jie
籍山,ji'shan
籍山镇,ji'shan'zhen
架不住了,jia'bu'zhu'le
家发,jia'fa
家发镇,jia'fa'zhen
驾训,jia'xun
家苑,jia'yuan
江岸明珠,jiang'an'ming'zhu
江城国际,jiang'cheng'guo'ji
酱出名门,jiang'chu'ming'men
讲的对,jiang'de'dui
讲哈子,jiang'ha'zi
江南春城,jiang'nan'chun'cheng
结实货,jie'shi'huo
晋家门,jin'jia'men
金开元,jin'kai'yuan
锦秋园,jin'qiu'yuan
金色阳光,jin'se'yang'guang
金湾,jin'wan
镜湖,jing'hu
镜湖区,jing'hu'qu
镜湖世纪城,jing'hu'shi'ji'cheng
镜湖小学,jing'hu'xiao'xue
景江东方,jing'jiang'dong'fang
荆山,jing'shan
泾县,jing'xian
九华北路,jiu'hua'bei'lu
九华南路,jiu'hua'nan'lu
九华山路,jiu'hua'shan'lu
九华中路,jiu'hua'zhong'lu
鸠江,jiu'jiang
鸠江饭店,jiu'jiang'fan'dian
鸠江区,jiu'jiang'qu
九莲塘,jiu'lian'tang
九味,jiu'wei
九月山,jiu'yue'shan
就在芜湖,jiu'zai'wu'hu
鸠兹,jiu'zi
鸠兹广场,jiu'zi'guang'chang
鸠兹家苑,jiu'zi'jia'yuan
据讲,ju'jiang
居之安,ju'zhi'an
卡普兰,ka'pu'lan
卡萨帝,ka'sa'di
开过年,kai'guo'nian
看不起来,kan'bu'qi'lai
客享来,ke'xiang'lai
恐怕是的,kong'pa'shi'de
骷髅子,ku'lou'zi
裤头子,ku'tou'zi
奎湖,kui'hu
拉七扯八,la'qi'che'ba
来丝,lai'si
来芜湖,lai'wu'hu
来意浓,lai'yi'nong
蓝巨星,lan'ju'xing
劳动新村,lao'dong'xin'cun
老娘舅,lao'niang'jiu
老头老奶,lao'tou'lao'nai
利民路,li'min'lu
联大,lian'da
联盛,lian'sheng
联盛广场,lian'sheng'guang'chang
莲塘新村,lian'tang'xin'cun
临江桥,lin'jiang'qiao
柳春园,liu'chun'yuan
六郎镇,liu'lang'zhen
鲁港,lu'gang
庐剧,lu'ju
绿影,lv'ying
绿影新村,lv'ying'xin'cun
妈哎,ma'ai
马鞍山,ma'an'shan
马场村,ma'chang'cun
马到,ma'dao
马到了,ma'dao'le
马都,ma'dou
马回来,ma'hui'lai
马就,ma'jiu
麻辣刷,ma'la'shua
麻辣涮,ma'la'shuan
马来了,ma'lai'le
马去,ma'qu
马仁奇峰,ma'ren'qi'feng
马仁山,ma'ren'shan
马仁寺,ma'ren'si
马瑞利,ma'rui'li
马睡,ma'shui
马睡了,ma'shui'le
马塘区,ma'tang'qu
马塘新镇,ma'tang'xin'zhen
马要,ma'yao
马元,ma'yuan
买不起来,mai'bu'qi'lai
埋个,mai'ge
美加印象,mei'jia'yin'xiang
梅莲路,mei'lian'lu
没事蛮,mei'shi'man
没图像,mei'tu'xiang
美芝,mei'zhi
门道多,men'dao'duo
梦幻王国,meng'huan'wang'guo
名流印象,ming'liu'yin'xiang
沐春园,mu'chun'yuan
那不讲,na'bu'jiang
那吊,na'diao
哪拐,na'guai
哪讲,na'jiang
哪讲的,na'jiang'de
哪叫你,na'jiao'ni
哪要你,na'yao'ni
那怎搞,na'zen'gao
南北和,nan'bei'he
南方书店,nan'fang'shu'dian
南陵,nan'ling
南陵县,nan'ling'xian
南瑞,nan'rui
孬包,nao'bao
孬比,nao'bi
孬费,nao'fei
孬孬,nao'nao
孬笑,nao'xiao
孬则,nao'ze
孬子,nao'zi
你败,ni'bai
你不讲,ni'bu'jiang
你到芜湖,ni'dao'wu'hu
你等哈子,ni'deng'ha'zi
你噶人,ni'ga'ren
你该个,ni'gai'ge
你个能,ni'ge'neng
你狗的,ni'gou'de
你狗滴,ni'gou'di
你哈不睡,ni'ha'bu'shui
你哈吃,ni'ha'chi
你哈会,ni'ha'hui
你哈记得,ni'ha'ji'de
你哈看,ni'ha'kan
你哈来,ni'ha'lai
你哈能,ni'ha'neng
你哈去,ni'ha'qu
你哈认得,ni'ha'ren'de
你哈是,ni'ha'shi
你哈想,ni'ha'xiang
你哈晓得,ni'ha'xiao'de
你哈要,ni'ha'yao
你哈有,ni'ha'you
你哈在,ni'ha'zai
你哈知道,ni'ha'zhi'dao
你好好滴,ni'hao'hao'di
你好怕人,ni'hao'pa'ren
你讲吧,ni'jiang'ba
你讲呢,ni'jiang'ne
你恐怕,ni'kong'pa
你来芜湖,ni'lai'wu'hu
你两把,ni'liang'ba
你埋个,ni'mai'ge
你孬子,ni'nao'zi
你头脑子,ni'tou'nao'zi
你芜湖,ni'wu'hu
你在芜湖,ni'zai'wu'hu
你怎搞,ni'zen'gao
你怎搞的,ni'zen'gao'de
你怎么讲,ni'zen'me'jiang
你真精,ni'zhen'jing
你真怕人,ni'zhen'pa'ren
年陡,nian'dou
宁国,ning'guo
噢嚎,o'hao
欧尚,ou'shang
欧亚达,ou'ya'da
怕人,pa'ren
怕死人,pa'si'ren
泡泡子,pao'pao'zi
批得了,pi'de'le
漂亮妈妈,piao'liang'ma'ma
平湖秋月,ping'hu'qiu'yue
平铺镇,ping'pu'zhen
齐落山,qi'luo'shan
七屁八磨,qi'pi'ba'mo
奇瑞,qi'rui
奇瑞汽车,qi'rui'qi'che
卡子街,qia'zi'jie
卡子口,qia'zi'kou
乾宫,qian'gong
浅湾,qian'wan
强锅,qiang'guo
侨鸿,qiao'hong
翘骚,qiao'sao
切饭,qie'fan
青山街,qing'shan'jie
清水镇,qing'shui'zhen
青弋江,qing'yi'jiang
去方特,qu'fang'te
去合肥,qu'he'fei
去芜湖,qu'wu'hu
然后乃,ran'hou'nai
人噶,ren'ga
融汇,rong'hui
融汇锦江,rong'hui'jin'jiang
瑞东园,rui'dong'yuan
三刀三画,san'dao'san'hua
三连村,san'lian'cun
三山,san'shan
三山里,san'shan'li
三山区,san'shan'qu
三职高,san'zhi'gao
删的了,shan'de'le
商博城,shang'bo'cheng
上车子,shang'che'zi
伤蛋,shang'dan
伤的了,shang'de'le
勺死了,shao'si'le
神的了,shen'de'le
什么吊,shen'me'diao
神山,shen'shan
神山口,shen'shan'kou
申元街,shen'yuan'jie
圣地雅歌,sheng'di'ya'ge
生活传真,sheng'huo'chuan'zhen
市场园,shi'chang'yuan
石城湖,shi'cheng'hu
是的蛮,shi'de'man
是的男,shi'de'nan
是的哦,shi'de'o
是滴吧,shi'di'ba
是滴蛮,shi'di'man
是滴哦,shi'di'o
是丢,shi'diu
世纪联华,shi'ji'lian'hua
十里牌,shi'li'pai
市民心声,shi'min'xin'sheng
市容局,shi'rong'ju
是芜湖,shi'wu'hu
蜀客,shu'ke
甩腿,shuai'tui
双桐巷,shuang'tong'xiang
水岸星城,shui'an'xing'cheng
睡告,shui'gao
睡哈子,shui'ha'zi
水明月,shui'ming'yue
水捂子,shui'wu'zi
水阳,shui'yang
水元素,shui'yuan'su
四岔路口,si'cha'lu'kou
四褐山,si'he'shan
送节,song'jie
碎告,sui'gao
孙村,sun'cun
孙村镇,sun'cun'zhen
他噶,ta'ga
他哈,ta'ha
他讲,ta'jiang
太极洞,tai'ji'dong
太怕人,tai'pa'ren
棠梅,tang'mei
唐人游,tang'ren'you
陶沟,tao'gou
陶辛镇,tao'xin'zhen
特色王,te'se'wang
天官村,tian'guan'cun
天和苑,tian'he'yuan
田楼,tian'lou
天门山,tian'men'shan
天琴湾,tian'qin'wan
天置山庄,tian'zhi'shan'zhuang
天主教堂,tian'zhu'jiao'tang
跳水鱼,tiao'shui'yu
铁画,tie'hua
铁山宾馆,tie'shan'bin'guan
汀棠,ting'tang
汀棠公园,ting'tang'gong'yuan
汀苑小区,ting'yuan'xiao'qu
铜陵,tong'ling
同庆楼,tong'qing'lou
头脑不好,tou'nao'bu'hao
头脑子,tou'nao'zi
透湿,tou'shi
偷一手,tou'yi'shou
土老比,tu'lao'bi
歪告,wai'gao
万春,wan'chun
万春新苑,wan'chun'xin'yuan
皖江,wan'jiang
皖江学院,wan'jiang'xue'yuan
皖南,wan'nan
皖南医学院,wan'nan'yi'xue'yuan
皖医,wan'yi
湾址,wan'zhi
王家巷,wang'jia'xiang
纬六,wei'liu
纬七,wei'qi
纬七路,wei'qi'lu
伟星,wei'xing
伟星城,wei'xing'cheng
文津,wen'jin
文津花园,wen'jin'hua'yuan
我到芜湖,wo'dao'wu'hu
我噶人,wo'ga'ren
我该个,wo'gai'ge
我哈没,wo'ha'mei
我哈能,wo'ha'neng
我哈是,wo'ha'shi
我哈想,wo'ha'xiang
我哈要,wo'ha'yao
我哈以为,wo'ha'yi'wei
我哈有,wo'ha'you
我哈在,wo'ha'zai
我讲真的,wo'jiang'zhen'de
我快活,wo'kuai'huo
我两真的,wo'liang'zhen'de
我马到,wo'ma'dao
我妈讲,wo'ma'jiang
我马来,wo'ma'lai
我马去,wo'ma'qu
我埋个,wo'mai'ge
我去合肥,wo'qu'he'fei
我去收花,wo'qu'shou'hua
我芜湖,wo'wu'hu
我在安徽,wo'zai'an'hui
我在噶,wo'zai'ga
我在芜湖,wo'zai'wu'hu
芜湖,wu'hu
芜湖吧,wu'hu'ba
芜湖到,wu'hu'dao
芜湖的,wu'hu'de
芜湖方特,wu'hu'fang'te
芜湖港,wu'hu'gang
芜湖话,wu'hu'hua
芜湖火车站,wu'hu'huo'che'zhan
芜湖啦,wu'hu'la
芜湖来,wu'hu'lai
芜湖了,wu'hu'le
芜湖吗,wu'hu'ma
芜湖哪里,wu'hu'na'li
芜湖呢,wu'hu'ne
芜湖人,wu'hu'ren
芜湖人才网,wu'hu'ren'cai'wang
芜湖市,wu'hu'shi
芜湖天气,wu'hu'tian'qi
芜湖玩,wu'hu'wan
芜湖万达,wu'hu'wan'da
芜湖县,wu'hu'xian
芜湖一中,wu'hu'yi'zhong
芜湖有,wu'hu'you
芜湖站,wu'hu'zhan
芜湖这边,wu'hu'zhe'bian
芜湖职业,wu'hu'zhi'ye
芜南路,wu'nan'lu
无为,wu'wei
无为县,wu'wei'xian
五香蛋,wu'xiang'dan
五一小区,wu'yi'xiao'qu
西洋湖,xi'yang'hu
下床气,xia'chuang'qi
先染,xian'ran
香记,xiang'ji
橡树园,xiang'shu'yuan
响水涧,xiang'shui'jian
香苑,xiang'yuan
香樟花园,xiang'zhang'hua'yuan
小刀面,xiao'dao'mian
小狗滴,xiao'gou'di
小九华,xiao'jiu'hua
小姥,xiao'lao
小孬子,xiao'nao'zi
小圆门,xiao'yuan'men
歇比,xie'bi
歇火,xie'huo
新安人才网,xin'an'ren'cai'wang
新百大厦,xin'bai'da'sha
信德华府,xin'de'hua'fu
新都花园,xin'du'hua'yuan
新港镇,xin'gang'zhen
信捷,xin'jie
鑫科,xin'ke
新时代商业街,xin'shi'dai'shang'ye'jie
新市口,xin'shi'kou
新芜路,xin'wu'lu
新芜区,xin'wu'qu
新兴铸管,xin'xing'zhu'guan
秀客,xiu'ke
宣城,xuan'cheng
宣酒,xuan'jiu
丫山,ya'shan
烟墩,yan'dun
研磨时光,yan'mo'shi'guang
样大,yang'da
样滴,yang'di
阳光半岛,yang'guang'ban'dao
杨家门,yang'jia'men
杨家巷,yang'jia'xiang
扬子银行,yang'zi'yin'hang
姚沟,yao'gou
要开视频,yao'kai'shi'pin
一比吊糟,yi'bi'diao'zao
一吊,yi'diao
伊顿公馆,yi'dun'gong'guan
弋矶山,yi'ji'shan
弋矶山医院,yi'ji'shan'yi'yuan
弋江,yi'jiang
弋江嘉园,yi'jiang'jia'yuan
弋江桥,yi'jiang'qiao
弋江区,yi'jiang'qu
弋江镇,yi'jiang'zhen
一句话了,yi'ju'hua'le
一口歇,yi'kou'xie
一身劲,yi'shen'jin
一特,yi'te
一头火,yi'tou'huo
亿万多,yi'wan'duo
一职高,yi'zhi'gao
殷港,yin'gang
银湖,yin'hu
银湖北路,yin'hu'bei'lu
银湖路,yin'hu'lu
银湖小区,yin'hu'xiao'qu
银湖中路,yin'hu'zhong'lu
又称,you'cheng
有点个,you'dian'ge
有毫,you'hao
有耗子,you'hao'zi
优美滋,you'mei'zi
悠仙美地,you'xian'mei'di
余秋宝,yu'qiu'bao
羽绒衫,yu'rong'shan
裕溪口,yu'xi'kou
园丁小区,yuan'ding'xiao'qu
源丰装饰城,yuan'feng'zhuang'shi'cheng
袁泽桥,yuan'ze'qiao
晕的了,yun'de'le
运泰,yun'tai
在繁昌,zai'fan'chang
在方特,zai'fang'te
在噶,zai'ga
在个么,zai'ge'me
再讲吧,zai'jiang'ba
在南陵,zai'nan'ling
在芜湖,zai'wu'hu
糟扯,zao'che
糟讲,zao'jiang
早签到,zao'qian'dao
怎搞,zen'gao
怎搞的,zen'gao'de
怎搞的啊,zen'gao'de'a
怎搞滴,zen'gao'di
怎搞了,zen'gao'le
怎搞呢,zen'gao'ne
怎么讲啊,zen'me'jiang'a
渣肉蒸饭,zha'rou'zheng'fan
漳河,zhang'he
张家山,zhang'jia'shan
账已入,zhang'yi'ru
赵飞,zhao'fei
这吊,zhe'diao
赭山,zhe'shan
赭山公园,zhe'shan'gong'yuan
真怕人,zhen'pa'ren
直批,zhi'pi
重点局,zhong'dian'ju
中二街,zhong'er'jie
中沟,zhong'gou
中和路,zhong'he'lu
中江桥,zhong'jiang'qiao
中山桥,zhong'shan'qiao
中心花园,zhong'xin'hua'yuan
中央城,zhong'yang'cheng
铸管,zhu'guan
朱家桥,zhu'jia'qiao
猪头脑子,zhu'tou'nao'zi
装孬,zhuang'nao
自然村,zi'ran'cun
嘴不怂,zui'bu'song
醉三秋,zui'san'qiu
尊皇,zun'huang
