阿卡邦,a'ka'bang
东华苑,dong'hua'yuan
东江镇,dong'jiang'zhen
东莱街道,dong'lai'jie'dao
东陌堂,dong'mo'tang
东炮台,dong'pao'tai
东山宾馆,dong'shan'bin'guan
东市场,dong'shi'chang
东岳,dong'yue
东庄头,dong'zhuang'tou
豆豆团,dou'dou'tuan
兜里就剩,dou'li'jiu'sheng
斗山,dou'shan
都休班,dou'xiu'ban
都在烟台,dou'zai'yan'tai
对航,dui'hang
对吭,dui'keng
对心思,dui'xin'si
对烟台,dui'yan'tai
多大小,duo'da'xiao
剁去,duo'qu
多小钱,duo'xiao'qian
嗯好啊,en'hao'a
嗯好哇,en'hao'wa
嗯好呀,en'hao'ya
二胡了,er'hu'le
烦气人,fan'qi'ren
芳华园,fang'hua'yuan
放骚,fang'sao
放声,fang'sheng
放心行了,fang'xin'xing'le
非激素,fei'ji'su
肥料公司,fei'liao'gong'si
冯格庄,feng'ge'zhuang
封海,feng'hai
凤凰山庄,feng'huang'shan'zhuang
凤凰台,feng'huang'tai
凤凰小区,feng'huang'xiao'qu
风快,feng'kuai
风凉的,feng'liang'de
风凉风凉,feng'liang'feng'liang
风凉了,feng'liang'le
凤台,feng'tai
凤台小区,feng'tai'xiao'qu
孚德,fu'de
富尔玛,fu'er'ma
福海路,fu'hai'lu
福莱花苑,fu'lai'hua'yuan
福莱金店,fu'lai'jin'dian
富丽花园,fu'li'hua'yuan
福利莱,fu'li'lai
福山,fu'shan
福山的,fu'shan'de
福山了,fu'shan'le
福山区,fu'shan'qu
福山人,fu'shan'ren
福山医院,fu'shan'yi'yuan
福山一中,fu'shan'yi'zhong
阜山镇,fu'shan'zhen
富顺苑,fu'shun'yuan
福泰路,fu'tai'lu
嘎伙,ga'huo
噶实,ga'shi
噶系,ga'xi
该不该你事,gai'bu'gai'ni'shi
钙肥,gai'fei
该你什么事,gai'ni'shen'me'shi
该你事,gai'ni'shi
该我什么,gai'wo'shen'me
该我什么事,gai'wo'shen'me'shi
该我事,gai'wo'shi
干弟兄,gan'di'xiong
赶海,gan'hai
干航,gan'hang
干红么,gan'hong'me
干活了哈,gan'huo'le'ha
干吭,gan'keng
赶空,gan'kong
干口活,gan'kou'huo
赶山,gan'shan
干什么这是,gan'shen'me'zhe'shi
干姊妹,gan'zi'mei
港城东大街,gang'cheng'dong'da'jie
搞败了,gao'bai'le
告儿,gao'er
高格庄,gao'ge'zhuang
高陵镇,gao'ling'zhen
告诉声,gao'su'sheng
告诉特,gao'su'te
告诉我来,gao'su'wo'lai
高疃,gao'tuan
告我声,gao'wo'sheng
高职的,gao'zhi'de
个机子,ge'ji'zi
阁楼阁楼,ge'lou'ge'lou
阁楼你,ge'lou'ni
各样你,ge'yang'ni
各样人,ge'yang'ren
各样死,ge'yang'si
各样死了,ge'yang'si'le
各样死我了,ge'yang'si'wo'le
各样我,ge'yang'wo
格庄,ge'zhuang
给你看看哈,gei'ni'kan'kan'ha
给我行了,gei'wo'xing'le
跟小伙,gen'xiao'huo
宫家岛,gong'jia'dao
工商学院,gong'shang'xue'yuan
够棒了,gou'bang'le
够对了,gou'dui'le
够好看了,gou'hao'kan'le
狗机子,gou'ji'zi
狗精神,gou'jing'shen
够死我了,gou'si'wo'le
咕嘟白,gu'du'bai
鼓楼街,gu'lou'jie
崮山,gu'shan
怪烦的,guai'fan'de
怪害怕,guai'hai'pa
怪害怕的,guai'hai'pa'de
观海路,guan'hai'lu
观水,guan'shui
观水镇,guan'shui'zhen
管他来,guan'ta'lai
管委,guan'wei
光合菌,guang'he'jun
光合菌及,guang'he'jun'ji
光合细菌,guang'he'xi'jun
硅肥,gui'fei
国奥天地,guo'ao'tian'di
郭城,guo'cheng
郭家店,guo'jia'dian
郭家店镇,guo'jia'dian'zhen
郭家屯,guo'jia'tun
过年好哈,guo'nian'hao'ha
哈大了,ha'da'le
哈多了,ha'duo'le
哈呼我,ha'hu'wo
哈酒,ha'jiu
哈酒吧,ha'jiu'ba
哈酒了,ha'jiu'le
海岸华府,hai'an'hua'fu
海滨小区,hai'bin'xiao'qu
还凑副,hai'cou'fu
海岱,hai'dai
还赶不上,hai'gan'bu'shang
海港路,hai'gang'lu
海港医院,hai'gang'yi'yuan
海景苑,hai'jing'yuan
海阔天高,hai'kuo'tian'gao
海蛎子,hai'li'zi
海梦苑,hai'meng'yuan
海参鲍鱼,hai'shen'bao'yu
海水浴场,hai'shui'yu'chang
海天路,hai'tian'lu
海信慧园,hai'xin'hui'yuan
还行嗲,hai'xing'dia
还休班,hai'xiu'ban
海阳,hai'yang
海阳吧,hai'yang'ba
海阳的,hai'yang'de
海洋极地,hai'yang'ji'di
海洋极地世界,hai'yang'ji'di'shi'jie
海阳了,hai'yang'le
海阳人,hai'yang'ren
海阳市,hai'yang'shi
海阳天气,hai'yang'tian'qi
海阳一中,hai'yang'yi'zhong
还有半个点,hai'you'ban'ge'dian
还有一个周,hai'you'yi'ge'zhou
海韵苑,hai'yun'yuan
还在烟台,hai'zai'yan'tai
海政路,hai'zheng'lu
汉金城,han'jin'cheng
韩剧网,han'ju'wang
好不来,hao'bu'lai
好疯了,hao'feng'le
好风凉,hao'feng'liang
好干什么,hao'gan'shen'me
好过年了,hao'guo'nian'le
好几个周,hao'ji'ge'zhou
豪佳香,hao'jia'xiang
好哭了,hao'ku'le
好累死了,hao'lei'si'le
好没电,hao'mei'dian
好没电了,hao'mei'dian'le
好上班了,hao'shang'ban'le
好说我了,hao'shuo'wo'le
好天了,hao'tian'le
好下班了,hao'xia'ban'le
好下班了吧,hao'xia'ban'le'ba
好下雨了,hao'xia'yu'le
好一顿,hao'yi'dun
和俺爸,he'an'ba
和俺姐,he'an'jie
和俺妈,he'an'ma
河北村,he'bei'cun
核岛,he'dao
合格么,he'ge'me
和你样,he'ni'yang
和平家电,he'ping'jia'dian
和他没区别,he'ta'mei'qu'bie
和小伙,he'xiao'huo
和烟台,he'yan'tai
荷院,he'yuan
很风凉,hen'feng'liang
恒邦,heng'bang
恒丰银行,heng'feng'yin'hang
红将军,hong'jiang'jun
虹口大厦,hong'kou'da'sha
红麦田,hong'mai'tian
哄么,hong'me
红旗中路,hong'qi'zhong'lu
红糖果,hong'tang'guo
后柳行,hou'liu'xing
呼啦吧,hu'la'ba
呼隆,hu'long
虎头崖,hu'tou'ya
华达大厦,hua'da'da'sha
华电小区,hua'dian'xiao'qu
划分界限,hua'fen'jie'xian
华茂街,hua'mao'jie
华侨宾馆,hua'qiao'bin'guan
华信家园,hua'xin'jia'yuan
槐树花,huai'shu'hua
环海路,huan'hai'lu
环山路,huan'shan'lu
黄城,huang'cheng
黄城集,huang'cheng'ji
黄腐酸,huang'fu'suan
黄海,huang'hai
黄海城市花园,huang'hai'cheng'shi'hua'yuan
黄海花园,huang'hai'hua'yuan
黄海明珠,huang'hai'ming'zhu
黄河营,huang'he'ying
黄金顶,huang'jin'ding
黄山馆,huang'shan'guan
黄务,huang'wu
黄县,huang'xian
黄县的,huang'xian'de
黄县了,huang'xian'le
惠安小区,hui'an'xiao'qu
毁咯,hui'ge
回海阳,hui'hai'yang
回来说哈,hui'lai'shuo'ha
回莱阳,hui'lai'yang
回莱州,hui'lai'zhou
回里镇,hui'li'zhen
回龙口,hui'long'kou
汇龙湾,hui'long'wan
毁喽,hui'lou
回牟平,hui'mu'ping
回蓬莱,hui'peng'lai
回栖霞,hui'qi'xia
汇泉,hui'quan
回味香,hui'wei'xiang
回烟台,hui'yan'tai
回烟台了,hui'yan'tai'le
回招远,hui'zhao'yuan
混充,hun'chong
火次,huo'ci
火次楼,huo'ci'lou
活该倒霉,huo'gai'dao'mei
豁上了,huo'shang'le
豁上去,huo'shang'qu
即便是这样,ji'bian'shi'zhe'yang
级部,ji'bu
级部主任,ji'bu'zhu'ren
极地世界,ji'di'shi'jie
几个周,ji'ge'zhou
集贸城,ji'mao'cheng
鸡焖鱼,ji'men'yu
叽歪什么,ji'wai'shen'me
家不去,jia'bu'qu
家不去了,jia'bu'qu'le
加大加肥,jia'da'jia'fei
夹河,jia'he
嘉禾乐天,jia'he'le'tian
夹河桥,jia'he'qiao
夹河苑,jia'he'yuan
家家悦,jia'jia'yue
架旗山,jia'qi'shan
家去吧,jia'qu'ba
家去啦,jia'qu'la
家去了,jia'qu'le
佳世客,jia'shi'ke
夹着吧,jia'zhe'ba
剪子包袱锤,jian'zi'bao'fu'chui
姜格庄,jiang'ge'zhuang
姜家疃,jiang'jia'tuan
姜疃,jiang'tuan
叫俺妈,jiao'an'ma
较次,jiao'ci
胶东,jiao'dong
胶东半岛,jiao'dong'ban'dao
胶东在线,jiao'dong'zai'xian
叫风,jiao'feng
茭瓜,jiao'gua
叫你气的,jiao'ni'qi'de
叫你说的,jiao'ni'shuo'de
焦死了,jiao'si'le
教育路,jiao'yu'lu
解甲庄,jie'jia'zhuang
截图时候,jie'tu'shi'hou
近便,jin'bian
金城小区,jin'cheng'xiao'qu
金城镇,jin'cheng'zhen
进德,jin'de
金东小区,jin'dong'xiao'qu
金都百货,jin'du'bai'huo
金都花园,jin'du'hua'yuan
金沟寨,jin'gou'zhai
金光小区,jin'guang'xiao'qu
金猴,jin'hou
金岭镇,jin'ling'zhen
今天赶集,jin'tian'gan'ji
今天休班,jin'tian'xiu'ban
金象泰,jin'xiang'tai
锦绣江南,jin'xiu'jiang'nan
锦绣新城,jin'xiu'xin'cheng
金域河畔,jin'yu'he'pan
金中元,jin'zhong'yuan
京鲁,jing'lu
鲸鲨馆,jing'sha'guan
精实,jing'shi
净些,jing'xie
九点来钟,jiu'dian'lai'zhong
就告诉我声,jiu'gao'su'wo'sheng
就会有收获,jiu'hui'you'shou'huo
久久红,jiu'jiu'hong
九开,jiu'kai
九龙池,jiu'long'chi
就没明白,jiu'mei'ming'bai
就休班,jiu'xiu'ban
就在烟台,jiu'zai'yan'tai
九丈崖,jiu'zhang'ya
就这么样,jiu'zhe'me'yang
莒格庄,ju'ge'zhuang
菌肥,jun'fei
菌剂,jun'ji
军检线,jun'jian'xian
俊死了,jun'si'le
卡睡,ka'shui
卡睡了,ka'shui'le
卡睡死了,ka'shui'si'le
卡睡死我了,ka'shui'si'wo'le
开啊开,kai'a'kai
开发区,kai'fa'qu
开发区啊,kai'fa'qu'a
开发区吧,kai'fa'qu'ba
开发区的,kai'fa'qu'de
开发区了,kai'fa'qu'le
开发区吗,kai'fa'qu'ma
开发区医院,kai'fa'qu'yi'yuan
开元新村,kai'yuan'xin'cun
看光景,kan'guang'jing
看好个,kan'hao'ge
看好哪个,kan'hao'na'ge
看好你了,kan'hao'ni'le
看好我了,kan'hao'wo'le
看见来,kan'jian'lai
看看的吧,kan'kan'de'ba
看看你来,kan'kan'ni'lai
看看排名,kan'kan'pai'ming
看样是,kan'yang'shi
抗不了,kang'bu'liao
抗不了了,kang'bu'liao'le
康和新城,kang'he'xin'cheng
康惠公司,kang'hui'gong'si
康诺,kang'nuo
可波,ke'bo
客多,ke'duo
壳寡糖,ke'gua'tang
可害了,ke'hai'le
科技广场,ke'ji'guang'chang
可怜人的,ke'lian'ren'de
可伤了,ke'shang'le
崆峒岛,kong'tong'dao
苦瓜柠檬茶,ku'gua'ning'meng'cha
快闭嘴吧,kuai'bi'zui'ba
快行了吧,kuai'xing'le'ba
宽头,kuan'tou
魁星路,kui'xing'lu
魁玉路,kui'yu'lu
昆嵛山,kun'yu'shan
阔不是,kuo'bu'shi
阔伤了,kuo'shang'le
拉倒吧哈,la'dao'ba'ha
拉缸盐,la'gang'yan
啦睡,la'shui
啦睡了,la'shui'le
拉媳妇,la'xi'fu
来福山,lai'fu'shan
来海阳,lai'hai'yang
来黄县,lai'huang'xian
来回趟,lai'hui'tang
来开发区,lai'kai'fa'qu
来拉我,lai'la'wo
来莱州,lai'lai'zhou
来龙口,lai'long'kou
来牟平,lai'mu'ping
来蓬莱,lai'peng'lai
来栖霞,lai'qi'xia
莱山,lai'shan
莱山的,lai'shan'de
莱山机场,lai'shan'ji'chang
莱山了,lai'shan'le
莱山区,lai'shan'qu
莱山一中,lai'shan'yi'zhong
莱山镇,lai'shan'zhen
来耍吧,lai'shua'ba
赖说,lai'shuo
来行了,lai'xing'le
来烟台,lai'yan'tai
来烟台吧,lai'yan'tai'ba
来烟台了,lai'yan'tai'le
莱阳,lai'yang
莱阳啊,lai'yang'a
莱阳吧,lai'yang'ba
莱阳的,lai'yang'de
莱阳话,lai'yang'hua
莱阳了,lai'yang'le
莱阳梨,lai'yang'li
莱阳吗,lai'yang'ma
莱阳哪的,lai'yang'na'de
莱阳人,lai'yang'ren
莱阳市,lai'yang'shi
莱阳天气,lai'yang'tian'qi
莱阳一中,lai'yang'yi'zhong
来招远,lai'zhao'yuan
莱州,lai'zhou
莱州啊,lai'zhou'a
莱州吧,lai'zhou'ba
莱州的,lai'zhou'de
莱州话,lai'zhou'hua
莱州了,lai'zhou'le
莱州论坛,lai'zhou'lun'tan
莱州吗,lai'zhou'ma
莱州人,lai'zhou'ren
莱州市,lai'zhou'shi
莱州天气,lai'zhou'tian'qi
莱州天气预报,lai'zhou'tian'qi'yu'bao
莱州湾,lai'zhou'wan
莱州一中,lai'zhou'yi'zhong
兰高镇,lan'gao'zhen
懒死吧,lan'si'ba
老鼻子,lao'bi'zi
老鼻子了,lao'bi'zi'le
捞不着,lao'bu'zhao
老迟,lao'chi
老初,lao'chu
劳动课,lao'dong'ke
落价,lao'jia
了航,le'hang
了吭,le'keng
累彪了,lei'biao'le
冷凝管,leng'ning'guan
里店,li'dian
丽景海湾,li'jing'hai'wan
离开烟台,li'kai'yan'tai
离烟台,li'yan'tai
两点来钟,liang'dian'lai'zhong
两个周,liang'ge'zhou
两口家,liang'kou'jia
玲珑镇,ling'long'zhen
六点来钟,liu'dian'lai'zhong
刘公岛,liu'gong'dao
刘家沟,liu'jia'gou
刘家台子,liu'jia'tai'zi
浏览咱产品,liu'lan'zan'chan'pin
龙大,long'da
龙海家园,long'hai'jia'yuan
龙口,long'kou
龙口啊,long'kou'a
龙口的,long'kou'de
龙口港,long'kou'gang
龙口了,long'kou'le
龙口人,long'kou'ren
龙口市,long'kou'shi
龙口天气,long'kou'tian'qi
龙口天气预报,long'kou'tian'qi'yu'bao
龙矿,long'kuang
龙泉镇,long'quan'zhen
龙山店,long'shan'dian
龙旺庄,long'wang'zhuang
路边石,lu'bian'shi
鲁大,lu'da
鲁大的,lu'da'de
鲁东,lu'dong
鲁东大学,lu'dong'da'xue
鲁东的,lu'dong'de
鲁教版,lu'jiao'ban
鹿鸣,lu'ming
鹿鸣小区,lu'ming'xiao'qu
芦头,lu'tou
芦头镇,lu'tou'zhen
路旺,lu'wang
乱叨叨,luan'dao'dao
乱呼呼,luan'hu'hu
轮胎厂,lun'tai'chang
罗峰路,luo'feng'lu
吕格庄,lv'ge'zhuang
绿色家园,lv'se'jia'yuan
旅游大世界,lv'you'da'shi'jie
马步鱼,ma'bu'yu
妈个腿,ma'ge'tui
马格庄,ma'ge'zhuang
麻家,ma'jia
玛努尔,ma'nu'er
马山寨,ma'shan'zhai
麻汁,ma'zhi
麦千车,mai'qian'che
麦思凯,mai'si'kai
买樱桃,mai'ying'tao
蛮儿,man'er
满家,man'jia
忙活什么,mang'huo'shen'me
没道道,mei'dao'dao
没定下,mei'ding'xia
没多穿点,mei'duo'chuan'dian
没放声,mei'fang'sheng
每个周,mei'ge'zhou
没够了,mei'gou'le
没客,mei'ke
煤暖,mei'nuan
煤暖棚,mei'nuan'peng
没事嗲,mei'shi'dia
没事你登陆,mei'shi'ni'deng'lu
没休班,mei'xiu'ban
没有嗲,mei'you'dia
没有客,mei'you'ke
没有休班,mei'you'xiu'ban
门楼,men'lou
门楼镇,men'lou'zhen
闷人的,men'ren'de
门头房,men'tou'fang
蒙叨叨,meng'dao'dao
梦幻海,meng'huan'hai
米饭网,mi'fan'wang
庙岛,miao'dao
庙后,miao'hou
苗家,miao'jia
民航大厦,min'hang'da'sha
明天休班,ming'tian'xiu'ban
魔兽么,mo'shou'me
抹直口,mo'zhi'kou
牟哥,mou'ge
牟山路,mou'shan'lu
牟氏庄园,mou'shi'zhuang'yuan
牟总,mou'zong
牟平,mu'ping
牟平的,mu'ping'de
牟平了,mu'ping'le
牟平区,mu'ping'qu
牟平人,mu'ping'ren
牟平一中,mu'ping'yi'zhong
沐浴店,mu'yu'dian
那爸,na'ba
哪办,na'ban
那地了,na'di'le
那个小伙,na'ge'xiao'huo
那个周,na'ge'zhou
哪么办,na'me'ban
那么不说话,na'me'bu'shuo'hua
那么咯,na'me'ge
那么个事,na'me'ge'shi
那么啦,na'me'la
那么来,na'me'lai
那么了,na'me'le
那么喽,na'me'lou
那么弄,na'me'nong
那木,na'mu
那木了,na'mu'le
那天不回家,na'tian'bu'hui'jia
乃家,nai'jia
喃爸,nan'ba
南操场,nan'cao'chang
难滴,nan'di
喃对象,nan'dui'xiang
喃哥,nan'ge
南购,nan'gou
南关路,nan'guan'lu
南洪街,nan'hong'jie
喃俩,nan'lia
喃妈,nan'ma
南山大佛,nan'shan'da'fo
南山的,nan'shan'de
南山公园,nan'shan'gong'yuan
南山集团,nan'shan'ji'tuan
南山学院,nan'shan'xue'yuan
南上坊,nan'shang'fang
南十里,nan'shi'li
南通路,nan'tong'lu
南五里,nan'wu'li
南小区,nan'xiao'qu
南阳河,nan'yang'he
南尧,nan'yao
难以离开,nan'yi'li'kai
南迎祥路,nan'ying'xiang'lu
南于家,nan'yu'jia
南苑街,nan'yuan'jie
男正装,nan'zheng'zhuang
脑病,nao'bing
脑儿,nao'er
脑有病,nao'you'bing
脑子病,nao'zi'bing
内容差不多,nei'rong'cha'bu'duo
嫩村,nen'cun
嫩大爷,nen'da'ye
嫩单位,nen'dan'wei
嫩弟,nen'di
嫩对象,nen'dui'xiang
嫩儿,nen'er
