奥运,ao'yun
大国外交,da'guo'wai'jiao
大气污染治理,da'qi'wu'ran'zhi'li
大数据,da'shu'ju
大众创业,da'zhong'chuang'ye
贷款,dai'kuan
贷款利率,dai'kuan'li'lv
贷款人,dai'kuan'ren
贷款者,dai'kuan'zhe
担忧,dan'you
低谷,di'gu
低迷,di'mi
低于市场预期,di'yu'shi'chang'yu'qi
低于预期,di'yu'yu'qi
地震,di'zhen
钓鱼岛,diao'yu'dao
跌入,die'ru
独木难支,du'mu'nan'zhi
多哈回合,duo'ha'hui'he
恶化,e'hua
俄罗斯金融危机,e'luo'si'jin'rong'wei'ji
俄罗斯危机,e'luo'si'wei'ji
乏力,fa'li
反垄断,fan'long'duan
反倾销,fan'qing'xiao
反弹,fan'tan
房地产,fang'di'chan
放缓,fang'huan
房价上涨,fang'jia'shang'zhang
放慢,fang'man
风险,feng'xian
福利待遇计划,fu'li'dai'yu'ji'hua
福利改革,fu'li'gai'ge
负面影响,fu'mian'ying'xiang
复苏,fu'su
负增长,fu'zeng'zhang
负债累累,fu'zhai'lei'lei
改革,gai'ge
杠杆率较高,gang'gan'lv'jiao'gao
高杠杆,gao'gang'gan
高速免费,gao'su'mian'fei
高速铁路,gao'su'tie'lu
高铁,gao'tie
隔夜拆借利率,ge'ye'chai'jie'li'lv
公共援助,gong'gong'yuan'zhu
工会权利,gong'hui'quan'li
供给侧改革,gong'ji'ce'gai'ge
供给侧结构性改革,gong'ji'ce'jie'gou'xing'gai'ge
公立医院综合改革,gong'li'yi'yuan'zong'he'gai'ge
工商登记制度改革,gong'shang'deng'ji'zhi'du'gai'ge
工时,gong'shi
共有产权住房,gong'you'chan'quan'zhu'fang
工资,gong'zi
工资补偿,gong'zi'bu'chang
工作权,gong'zuo'quan
谷底,gu'di
固定投资,gu'ding'tou'zi
固定资产投资,gu'ding'zi'chan'tou'zi
股市,gu'shi
股市泡沫,gu'shi'pao'mo
关闭商店,guan'bi'shang'dian
关税,guan'shui
规制,gui'zhi
过低,guo'di
国防开支,guo'fang'kai'zhi
国际金融危机,guo'ji'jin'rong'wei'ji
国家安全,guo'jia'an'quan
过冷,guo'leng
过热,guo're
过剩,guo'sheng
国是日非,guo'shi'ri'fei
国条,guo'tiao
国五条,guo'wu'tiao
国有企业改革,guo'you'qi'ye'gai'ge
国债,guo'zhai
国债期货,guo'zhai'qi'huo
海军封锁,hai'jun'feng'suo
海绵城市,hai'mian'cheng'shi
海上钻井,hai'shang'zuan'jing
海洋经济,hai'yang'jing'ji
宏观调控,hong'guan'tiao'kong
沪港通,hu'gang'tong
户籍制度,hu'ji'zhi'du
互联网金融,hu'lian'wang'jin'rong
沪深,hu'shen
沪指,hu'zhi
环保,huan'bao
环境限制,huan'jing'xian'zhi
黄河三角洲,huang'he'san'jiao'zhou
回落,hui'luo
汇率,hui'lv
回升,hui'sheng
回天乏术,hui'tian'fa'shu
混合所有制,hun'he'suo'you'zhi
货币,huo'bi
货币崩溃,huo'bi'beng'kui
货币贬值,huo'bi'bian'zhi
货币操纵,huo'bi'cao'zong
货币超发,huo'bi'chao'fa
货币供应,huo'bi'gong'ying
货币升值,huo'bi'sheng'zhi
货币危机,huo'bi'wei'ji
货币政策,huo'bi'zheng'ce
火车票实名制,huo'che'piao'shi'ming'zhi
基地关闭,ji'di'guan'bi
技术改造,ji'shu'gai'zao
集体诉讼,ji'ti'su'song
加班费,jia'ban'fei
价格改革,jia'ge'gai'ge
加息,jia'xi
兼并政策,jian'bing'zheng'ce
见底,jian'di
健康保险,jian'kang'bao'xian
艰苦,jian'ku
减慢,jian'man
艰难,jian'nan
减弱,jian'ruo
减速,jian'su
简政放权,jian'zheng'fang'quan
疆独,jiang'du
降温,jiang'wen
降息,jiang'xi
降准,jiang'zhun
焦虑,jiao'lv
较弱,jiao'ruo
教育改革,jiao'yu'gai'ge
结构,jie'gou
结构失衡,jie'gou'shi'heng
结构调整,jie'gou'tiao'zheng
节俭监管,jie'jian'jian'guan
节能环保政策,jie'neng'huan'bao'zheng'ce
节能家电补贴,jie'neng'jia'dian'bu'tie
禁飞区,jin'fei'qu
金改,jin'gai
进口壁垒,jin'kou'bi'lei
进口关税,jin'kou'guan'shui
金融改革,jin'rong'gai'ge
金融市场,jin'rong'shi'chang
金融十条,jin'rong'shi'tiao
金融体制改革,jin'rong'ti'zhi'gai'ge
金融资本,jin'rong'zi'ben
金融综改,jin'rong'zong'gai
警察行动,jing'cha'xing'dong
惊慌,jing'huang
经济,jing'ji
经济带,jing'ji'dai
经济复苏,jing'ji'fu'su
经济结构,jing'ji'jie'gou
经济衰退,jing'ji'shuai'tui
经济危机,jing'ji'wei'ji
经济新常态,jing'ji'xin'chang'tai
经济运行,jing'ji'yun'xing
经济增速,jing'ji'zeng'su
经济增长,jing'ji'zeng'zhang
警戒,jing'jie
警惕,jing'ti
竞争,jing'zheng
竞争政策,jing'zheng'zheng'ce
窘境,jiong'jing
就业,jiu'ye
就业创业,jiu'ye'chuang'ye
军费开支,jun'fei'kai'zhi
军事采购,jun'shi'cai'gou
军事禁运,jun'shi'jin'yun
军事入侵,jun'shi'ru'qin
卡特尔,ka'te'er
开放型经济新体制,kai'fang'xing'jing'ji'xin'ti'zhi
开支,kai'zhi
堪忧,kan'you
恐怖,kong'bu
恐怖主义,kong'bu'zhu'yi
恐慌,kong'huang
恐慌情绪,kong'huang'qing'xu
跨境电子商务,kua'jing'dian'zi'shang'wu
困境,kun'jing
困难,kun'nan
劳动合同法,lao'dong'he'tong'fa
利率,li'lv
联邦贸易委员会,lian'bang'mao'yi'wei'yuan'hui
两税,liang'shui
令人担忧,ling'ren'dan'you
流动性,liu'dong'xing
垄断,long'duan
楼市,lou'shi
楼市泡沫,lou'shi'pao'mo
楼市调控,lou'shi'tiao'kong
矛盾,mao'dun
矛盾仍然突出,mao'dun'reng'ran'tu'chu
矛盾突出,mao'dun'tu'chu
贸易,mao'yi
贸易法,mao'yi'fa
贸易条约,mao'yi'tiao'yue
贸易协定,mao'yi'xie'ding
贸易政策,mao'yi'zheng'ce
每况愈下,mei'kuang'yu'xia
民不聊生,min'bu'liao'sheng
民间投资,min'jian'tou'zi
民穷财尽,min'qiong'cai'jin
民生凋敝,min'sheng'diao'bi
难度加大,nan'du'jia'da
难以为继,nan'yi'wei'ji
能源税,neng'yuan'shui
能源政策,neng'yuan'zheng'ce
农村电商,nong'cun'dian'shang
欧元区危机,ou'yuan'qu'wei'ji
欧元危机,ou'yuan'wei'ji
欧洲金融危机,ou'zhou'jin'rong'wei'ji
欧洲债务,ou'zhou'zhai'wu
泡沫,pao'mo
泡沫经济,pao'mo'jing'ji
棚户区改造,peng'hu'qu'gai'zao
疲软,pi'ruan
疲弱,pi'ruo
疲势,pi'shi
偏弱,pian'ruo
平衡预算,ping'heng'yu'suan
企业杠杆率,qi'ye'gang'gan'lv
欠佳,qian'jia
强弩之末,qiang'nu'zhi'mo
强震,qiang'zhen
侵权改革,qin'quan'gai'ge
侵权政策,qin'quan'zheng'ce
清洁能源,qing'jie'neng'yuan
权力清单,quan'li'qing'dan
全面二胎,quan'mian'er'tai
权益支出,quan'yi'zhi'chu
融资规模,rong'zi'gui'mo
三公,san'gong
三公改革,san'gong'gai'ge
三鹿,san'lu
三通,san'tong
三网融合,san'wang'rong'he
商品期货,shang'pin'qi'huo
商品住房价格,shang'pin'zhu'fang'jia'ge
上升,shang'sheng
上涨,shang'zhang
社保,she'bao
社保改革,she'bao'gai'ge
社会保障,she'hui'bao'zhang
社会保障制度,she'hui'bao'zhang'zhi'du
社会主义核心价值观,she'hui'zhu'yi'he'xin'jia'zhi'guan
深化改革,shen'hua'gai'ge
生产性服务业,sheng'chan'xing'fu'wu'ye
生活工资,sheng'huo'gong'zi
生活性服务业,sheng'huo'xing'fu'wu'ye
升级,sheng'ji
生态经济区,sheng'tai'jing'ji'qu
升准,sheng'zhun
市场准入负面清单,shi'chang'zhun'ru'fu'mian'qing'dan
世界贸易组织,shi'jie'mao'yi'zu'zhi
食品安全,shi'pin'an'quan
食品药品管理,shi'pin'yao'pin'guan'li
实体经济,shi'ti'jing'ji
失望,shi'wang
失业保险,shi'ye'bao'xian
失业救济金,shi'ye'jiu'ji'jin
失业率,shi'ye'lv
首发项目,shou'fa'xiang'mu
收紧,shou'jin
收入分配,shou'ru'fen'pei
收入分配改革,shou'ru'fen'pei'gai'ge
衰退,shuai'tui
双轨制,shuang'gui'zhi
税费改革,shui'fei'gai'ge
税收,shui'shou
丝绸之路,si'chou'zhi'lu
四个全面,si'ge'quan'mian
四万亿,si'wan'yi
所得税抵免,suo'de'shui'di'mian
碳排放,tan'pai'fang
碳税,tan'shui
淘汰落后产能,tao'tai'luo'hou'chan'neng
体制改革,ti'zhi'gai'ge
体制机制创新,ti'zhi'ji'zhi'chuang'xin
调结构,tiao'jie'gou
调控,tiao'kong
条例,tiao'li
挑战,tiao'zhan
调整,tiao'zheng
贴现窗口,tie'xian'chuang'kou
停滞,ting'zhi
通货紧缩,tong'huo'jin'suo
通货膨胀,tong'huo'peng'zhang
痛苦,tong'ku
通胀,tong'zhang
通知,tong'zhi
投融资体制改革,tou'rong'zi'ti'zhi'gai'ge
头疼,tou'teng
突发,tu'fa
外汇,wai'hui
外汇储备,wai'hui'chu'bei
外资,wai'zi
外资银行,wai'zi'yin'hang
万亿,wan'yi
万众创新,wan'zhong'chuang'xin
网络提速,wang'luo'ti'su
危机,wei'ji
萎靡,wei'mi
萎缩,wei'suo
危险,wei'xian
威胁,wei'xie
汶川,wen'chuan
问题,wen'ti
稳外需,wen'wai'xu
沃尔克,wo'er'ke
物价,wu'jia
物价调控,wu'jia'tiao'kong
物价指数,wu'jia'zhi'shu
乌拉圭回合,wu'la'gui'hui'he
污染控制,wu'ran'kong'zhi
武装力量,wu'zhuang'li'liang
西部大开发,xi'bu'da'kai'fa
下跌,xia'die
下滑,xia'hua
下降,xia'jiang
下行,xia'xing
下行压力,xia'xing'ya'li
限购,xian'gou
限购令,xian'gou'ling
限价,xian'jia
消费,xiao'fei
小微企业,xiao'wei'qi'ye
新常态,xin'chang'tai
信贷,xin'dai
新国条,xin'guo'tiao
新国五条,xin'guo'wu'tiao
新农保,xin'nong'bao
新农保试点,xin'nong'bao'shi'dian
新条,xin'tiao
信用体系建设规划,xin'yong'ti'xi'jian'she'gui'hua
行将就木,xing'jiang'jiu'mu
形势逼人,xing'shi'bi'ren
行政审批改革,xing'zheng'shen'pi'gai'ge
虚拟经济,xu'ni'jing'ji
雪灾,xue'zai
压力,ya'li
亚投行,ya'tou'hang
亚洲安全观,ya'zhou'an'quan'guan
亚洲金融危机,ya'zhou'jin'rong'wei'ji
亚洲危机,ya'zhou'wei'ji
烟产品提税,yan'chan'pin'ti'shui
严峻,yan'jun
央行,yang'hang
养老,yang'lao
养老保险,yang'lao'bao'xian
养老保险制度,yang'lao'bao'xian'zhi'du
养老改革,yang'lao'gai'ge
养老制度,yang'lao'zhi'du
药物政策,yao'wu'zheng'ce
一带一路,yi'dai'yi'lu
以房养老,yi'fang'yang'lao
医疗保健,yi'liao'bao'jian
医疗保险,yi'liao'bao'xian
医疗保险改革,yi'liao'bao'xian'gai'ge
医疗补助,yi'liao'bu'zhu
医疗改革,yi'liao'gai'ge
医疗事故,yi'liao'shi'gu
医疗诉讼,yi'liao'su'song
医疗责任,yi'liao'ze'ren
一落千丈,yi'luo'qian'zhang
移民政策,yi'min'zheng'ce
医药卫生体制改革,yi'yao'wei'sheng'ti'zhi'gai'ge
银行监管,yin'hang'jian'guan
银行压力测试,yin'hang'ya'li'ce'shi
银行业服务收费,yin'hang'ye'fu'wu'shou'fei
印花税,yin'hua'shui
营改增,ying'gai'zeng
佣金,yong'jin
优化,you'hua
优化第二产业,you'hua'di'er'chan'ye
油价上调,you'jia'shang'tiao
油价下调,you'jia'xia'tiao
预期不佳,yu'qi'bu'jia
预算,yu'suan
预算赤字,yu'suan'chi'zi
余震,yu'zhen
藏独,zang'du
增强,zeng'qiang
增长,zeng'zhang
债务,zhai'wu
战争,zhan'zheng
涨价,zhang'jia
涨停,zhang'ting
招生制度改革,zhao'sheng'zhi'du'gai'ge
振荡,zhen'dang
震荡,zhen'dang
阵痛,zhen'tong
振兴东北地区等老工业基地,zhen'xing'dong'bei'di'qu'deng'lao'gong'ye'ji'di
政策,zheng'ce
政府补贴,zheng'fu'bu'tie
政府补贴住房,zheng'fu'bu'tie'zhu'fang
政府赤字,zheng'fu'chi'zi
政府福利,zheng'fu'fu'li
政府权力清单,zheng'fu'quan'li'qing'dan
证券交易,zheng'quan'jiao'yi
征税,zheng'shui
支出,zhi'chu
制造,zhi'zao
制造业,zhi'zao'ye
中部地区崛起,zhong'bu'di'qu'jue'qi
中部崛起,zhong'bu'jue'qi
中等收入陷阱,zhong'deng'shou'ru'xian'jing
中国梦,zhong'guo'meng
中国人民银行,zhong'guo'ren'min'yin'hang
中国制造,zhong'guo'zhi'zao
中小企业,zhong'xiao'qi'ye
中央经济工作会议,zhong'yang'jing'ji'gong'zuo'hui'yi
周小川,zhou'xiao'chuan
主权债务,zhu'quan'zhai'wu
专利,zhuan'li
转型,zhuan'xing
转移支付,zhuan'yi'zhi'fu
资本要求,zi'ben'yao'qiu
自贸区,zi'mao'qu
自贸区扩容,zi'mao'qu'kuo'rong
走低,zou'di
组合拳,zu'he'quan
钻井限制,zuan'jing'xian'zhi
最低工资,zui'di'gong'zi
作风建设,zuo'feng'jian'she
