阿隆,a'long
国家施动者,guo'jia'shi'dong'zhe
国家行为,guo'jia'xing'wei
国家行为体,guo'jia'xing'wei'ti
国家中心主义,guo'jia'zhong'xin'zhu'yi
哈佛学派,ha'fo'xue'pai
核心概念,he'xin'gai'nian
核心假设,he'xin'jia'she
亨普尔,heng'pu'er
后现代理论,hou'xian'dai'li'lun
后现代主义,hou'xian'dai'zhu'yi
互动主义,hu'dong'zhu'yi
互应机制,hu'ying'ji'zhi
互应逻辑,hu'ying'luo'ji
霍布斯无政府文化,huo'bu'si'wu'zheng'fu'wen'hua
霍夫曼,huo'fu'man
吉尔平,ji'er'ping
激进建构主义,ji'jin'jian'gou'zhu'yi
激进主义,ji'jin'zhu'yi
基欧汉,ji'ou'han
技术理性,ji'shu'li'xing
集体非理性,ji'ti'fei'li'xing
集体认同,ji'ti'ren'tong
集体身份,ji'ti'shen'fen
集体身份形成,ji'ti'shen'fen'xing'cheng
集体行动逻辑,ji'ti'xing'dong'luo'ji
集体知识,ji'ti'zhi'shi
加利福尼亚州立大学伯克利分校,jia'li'fu'ni'ya'zhou'li'da'xue'bo'ke'li'fen'xiao
价值中立,jia'zhi'zhong'li
建构关系,jian'gou'guan'xi
建构主义,jian'gou'zhu'yi
结构变化的建构主义模式,jie'gou'bian'hua'de'jian'gou'zhu'yi'mo'shi
结构决定论,jie'gou'jue'ding'lun
结构条件,jie'gou'tiao'jian
结构现实主义理论,jie'gou'xian'shi'zhu'yi'li'lun
解构主义,jie'gou'zhu'yi
结构主义,jie'gou'zhu'yi
进化机制,jin'hua'ji'zhi
经济本能,jing'ji'ben'neng
经济进程解释模式,jing'ji'jin'cheng'jie'shi'mo'shi
经验认识,jing'yan'ren'shi
经验数据,jing'yan'shu'ju
绝对收益,jue'dui'shou'yi
均势理论,jun'shi'li'lun
康德无政府文化,kang'de'wu'zheng'fu'wen'hua
克努成,ke'nu'cheng
可实证性,ke'shi'zheng'xing
科斯定理,ke'si'ding'li
科学标准,ke'xue'biao'zhun
科学革命的结构,ke'xue'ge'ming'de'jie'gou
科学建构主义理论,ke'xue'jian'gou'zhu'yi'li'lun
科学人与权力政治,ke'xue'ren'yu'quan'li'zheng'zhi
科学实在论,ke'xue'shi'zai'lun
科学行为主义,ke'xue'xing'wei'zhu'yi
科学研究纲领方法论,ke'xue'yan'jiu'gang'ling'fang'fa'lun
库恩,ku'en
拉卡托斯,la'ka'tuo'si
理论假设,li'lun'jia'she
理念主义,li'nian'zhu'yi
理想主义,li'xiang'zhu'yi
理性,li'xing
两次阅读,liang'ci'yue'du
鲁杰,lu'jie
逻辑,luo'ji
逻辑实证主义,luo'ji'shi'zheng'zhu'yi
洛克无政府文化,luo'ke'wu'zheng'fu'wen'hua
马赫,ma'he
密尔,mi'er
米尔斯海默,mi'er'si'hai'mo
敏感性相互依赖,min'gan'xing'xiang'hu'yi'lai
民主和平论,min'zhu'he'ping'lun
摩根索,mo'gen'suo
目标的理性行动,mu'biao'de'li'xing'xing'dong
内外互动式,nei'wai'hu'dong'shi
年危机,nian'wei'ji
女性主义,nv'xing'zhu'yi
帕累托次优解,pa'lei'tuo'ci'you'jie
帕累托最优解,pa'lei'tuo'zui'you'jie
彭加勒,peng'jia'le
批判理论,pi'pan'li'lun
皮亚杰,pi'ya'jie
齐美尔,qi'mei'er
启蒙运动,qi'meng'yun'dong
亲社会性行为,qin'she'hui'xing'xing'wei
囚徒困境,qiu'tu'kun'jing
权力道德观,quan'li'dao'de'guan
权力分配,quan'li'fen'pei
权力分配结构,quan'li'fen'pei'jie'gou
权力观,quan'li'guan
权力界定的国家利益,quan'li'jie'ding'de'guo'jia'li'yi
权力欲,quan'li'yu
权力与规范,quan'li'yu'gui'fan
权力与相互依赖,quan'li'yu'xiang'hu'yi'lai
诠释学派,quan'shi'xue'pai
群我意识,qun'wo'yi'shi
人国家与战争,ren'guo'jia'yu'zhan'zheng
认识论,ren'shi'lun
人性的客观规律,ren'xing'de'ke'guan'gui'lv
人性现实主义,ren'xing'xian'shi'zhu'yi
认知结构,ren'zhi'jie'gou
认知平衡,ren'zhi'ping'heng
社会化,she'hui'hua
社会建构主义,she'hui'jian'gou'zhu'yi
社会进程的模式,she'hui'jin'cheng'de'mo'shi
社会科学方法论,she'hui'ke'xue'fang'fa'lun
社会事实,she'hui'shi'shi
社会习得,she'hui'xi'de
社会研究方法,she'hui'yan'jiu'fang'fa
生存和允许生存,sheng'cun'he'yun'xu'sheng'cun
市场失灵理论,shi'chang'shi'ling'li'lun
施动结构,shi'dong'jie'gou
施动者和结构的互构,shi'dong'zhe'he'jie'gou'de'hu'gou
世界经济体系,shi'jie'jing'ji'ti'xi
世界体系,shi'jie'ti'xi
世界政治,shi'jie'zheng'zhi
世界政治结构,shi'jie'zheng'zhi'jie'gou
十四点方案,shi'si'dian'fang'an
实证检验,shi'zheng'jian'yan
实证哲学教程,shi'zheng'zhe'xue'jiao'cheng
实证主义的适用领域,shi'zheng'zhu'yi'de'shi'yong'ling'yu
实证主义方法论,shi'zheng'zhu'yi'fang'fa'lun
实证主义认识论,shi'zheng'zhu'yi'ren'shi'lun
实质国家,shi'zhi'guo'jia
手段目的的理性,shou'duan'mu'di'de'li'xing
收益预期,shou'yi'yu'qi
顺应,shun'ying
斯奈德,si'nai'de
苏格拉底,su'ge'la'di
所有人消灭所有人的战争状态,suo'you'ren'xiao'mie'suo'you'ren'de'zhan'zheng'zhuang'tai
汤普森,tang'pu'sen
体系分析,ti'xi'fen'xi
体系结构,ti'xi'jie'gou
体系进程,ti'xi'jin'cheng
体系特征,ti'xi'te'zheng
条件合作者,tiao'jian'he'zuo'zhe
同化,tong'hua
图式,tu'shi
瓦斯奎兹,wa'si'kui'zi
韦伯,wei'bo
维持现状,wei'chi'xian'zhuang
威尔逊,wei'er'xun
威尔逊主义,wei'er'xun'zhu'yi
维柯,wei'ke
维列鲁学派,wei'lie'lu'xue'pai
威慑观,wei'she'guan
威慑理论,wei'she'li'lun
维斯特伐利亚条约,wei'si'te'fa'li'ya'tiao'yue
威望政策,wei'wang'zheng'ce
维也纳学派,wei'ye'na'xue'pai
文本,wen'ben
稳定的均衡解,wen'ding'de'jun'heng'jie
温和建构主义,wen'he'jian'gou'zhu'yi
文化选择,wen'hua'xuan'ze
温特,wen'te
问题结构解释模式,wen'ti'jie'gou'jie'shi'mo'shi
沃尔兹,wo'er'zi
沃克,wo'ke
沃勒斯坦,wo'le'si'tan
乌托邦主义,wu'tuo'bang'zhu'yi
无政府文化,wu'zheng'fu'wen'hua
无政府状态,wu'zheng'fu'zhuang'tai
物质要素,wu'zhi'yao'su
西方国际关系理论,xi'fang'guo'ji'guan'xi'li'lun
系统数据,xi'tong'shu'ju
狭义国际关系,xia'yi'guo'ji'guan'xi
现代国际关系,xian'dai'guo'ji'guan'xi
现代建构主义,xian'dai'jian'gou'zhu'yi
现实政治,xian'shi'zheng'zhi
现实主义六原则,xian'shi'zhu'yi'liu'yuan'ze
先验主义,xian'yan'zhu'yi
相对收益,xiang'dui'shou'yi
辛格,xin'ge
新葛兰西马克思主义,xin'ge'lan'xi'ma'ke'si'zhu'yi
新古典建构主义,xin'gu'dian'jian'gou'zhu'yi
新现实主义,xin'xian'shi'zhu'yi
信仰,xin'yang
新自由制度主义,xin'zi'you'zhi'du'zhu'yi
新自由主义,xin'zi'you'zhu'yi
形而上学,xing'er'shang'xue
研究纲领,yan'jiu'gang'ling
研究视角,yan'jiu'shi'jiao
研究问题,yan'jiu'wen'ti
验证,yan'zheng
一报还一报,yi'bao'huan'yi'bao
意图性,yi'tu'xing
因果关系,yin'guo'guan'xi
英国学派,ying'guo'xue'pai
应然研究,ying'ran'yan'jiu
约定事实,yue'ding'shi'shi
约定主义,yue'ding'zhu'yi
战争与和平,zhan'zheng'yu'he'ping
争论中的国际关系理论,zheng'lun'zhong'de'guo'ji'guan'xi'li'lun
整体主义,zheng'ti'zhu'yi
政治现实主义,zheng'zhi'xian'shi'zhu'yi
政治学福特教授,zheng'zhi'xue'fu'te'jiao'shou
制度主义,zhi'du'zhu'yi
质量不确定性气,zhi'liang'bu'que'ding'xing'qi
志愿惩罚者,zhi'yuan'cheng'fa'zhe
主客两元区分,zhu'ke'liang'yuan'qu'fen
主流国际体系理论评述,zhu'liu'guo'ji'ti'xi'li'lun'ping'shu
主权国家,zhu'quan'guo'jia
主体间本体论,zhu'ti'jian'ben'ti'lun
主体间实践活动,zhu'ti'jian'shi'jian'huo'dong
主体间性,zhu'ti'jian'xing
自然主义,zi'ran'zhu'yi
自然主义建构主义,zi'ran'zhu'yi'jian'gou'zhu'yi
总体权力结构解释模式,zong'ti'quan'li'jie'gou'jie'shi'mo'shi
最优战略,zui'you'zhan'lue
