阿泊加,a'bo'jia
病区申请日期,bing'qu'shen'qing'ri'qi
病区使用,bing'qu'shi'yong
病区执行工号,bing'qu'zhi'xing'gong'hao
病区执行日期,bing'qu'zhi'xing'ri'qi
病人编号,bing'ren'bian'hao
病人病区,bing'ren'bing'qu
病人床号,bing'ren'chuang'hao
病人费用,bing'ren'fei'yong
病人关联,bing'ren'guan'lian
病人卡号,bing'ren'ka'hao
病人科室,bing'ren'ke'shi
病人口令,bing'ren'kou'ling
病人来源,bing'ren'lai'yuan
病人满意,bing'ren'man'yi
病人年龄,bing'ren'nian'ling
病人情况,bing'ren'qing'kuang
病人全名,bing'ren'quan'ming
病人数量,bing'ren'shu'liang
病人送往,bing'ren'song'wang
病人天数,bing'ren'tian'shu
病人性别,bing'ren'xing'bie
病人姓名,bing'ren'xing'ming
病人性质,bing'ren'xing'zhi
病人血型,bing'ren'xue'xing
病人证号,bing'ren'zheng'hao
病人主诉,bing'ren'zhu'su
病史,bing'shi
病室床号,bing'shi'chuang'hao
病史摘要,bing'shi'zhai'yao
病危人数,bing'wei'ren'shu
冰箱冷藏,bing'xiang'leng'cang
丙型肝炎病毒抗体,bing'xing'gan'yan'bing'du'kang'ti
病因小计,bing'yin'xiao'ji
病种类别,bing'zhong'lei'bie
病种名称,bing'zhong'ming'cheng
病重人数,bing'zhong'ren'shu
病种序号,bing'zhong'xu'hao
部护士长,bu'hu'shi'zhang
部护士长代码,bu'hu'shi'zhang'dai'ma
部位编号,bu'wei'bian'hao
补休假,bu'xiu'jia
菜单价,cai'dan'jia
菜单序号,cai'dan'xu'hao
采购标志,cai'gou'biao'zhi
采购单号,cai'gou'dan'hao
采购方式,cai'gou'fang'shi
采购工号,cai'gou'gong'hao
采购计划,cai'gou'ji'hua
采购类型,cai'gou'lei'xing
采购人员,cai'gou'ren'yuan
采购日期,cai'gou'ri'qi
采购时间,cai'gou'shi'jian
采购数量,cai'gou'shu'liang
采购退回,cai'gou'tui'hui
采购验单据编号,cai'gou'yan'dan'ju'bian'hao
采集结果,cai'ji'jie'guo
采集频率,cai'ji'pin'lv
采集事件,cai'ji'shi'jian
采集时间,cai'ji'shi'jian
菜类型,cai'lei'xing
材料编号,cai'liao'bian'hao
材料产地,cai'liao'chan'di
材料单价,cai'liao'dan'jia
材料类型,cai'liao'lei'xing
材料名称,cai'liao'ming'cheng
材料批号,cai'liao'pi'hao
材料数量,cai'liao'shu'liang
材料效期,cai'liao'xiao'qi
菜名,cai'ming
菜谱名称,cai'pu'ming'cheng
菜谱序号,cai'pu'xu'hao
财务判别,cai'wu'pan'bie
财务月份,cai'wu'yue'fen
参保标志,can'bao'biao'zhi
参保时间,can'bao'shi'jian
参保应收,can'bao'ying'shou
参观单位,can'guan'dan'wei
参观内容,can'guan'nei'rong
参观人数,can'guan'ren'shu
参观日期,can'guan'ri'qi
参观天数,can'guan'tian'shu
参加工作时间,can'jia'gong'zuo'shi'jian
参加人员,can'jia'ren'yuan
参加时间,can'jia'shi'jian
参加讨论人数,can'jia'tao'lun'ren'shu
参漉时间,can'lu'shi'jian
参评科室,can'ping'ke'shi
参数编号,can'shu'bian'hao
参数代码,can'shu'dai'ma
参数单位,can'shu'dan'wei
参数二,can'shu'er
参数名称,can'shu'ming'cheng
参数取值,can'shu'qu'zhi
参数一,can'shu'yi
参数值,can'shu'zhi
仓库编号,cang'ku'bian'hao
仓库类别,cang'ku'lei'bie
仓库类型,cang'ku'lei'xing
仓库名称,cang'ku'ming'cheng
仓库状态,cang'ku'zhuang'tai
草药方,cao'yao'fang
草药费,cao'yao'fei
草药权限,cao'yao'quan'xian
操作,cao'zuo
操作工号,cao'zuo'gong'hao
操作规程,cao'zuo'gui'cheng
操作类别,cao'zuo'lei'bie
操作类型,cao'zuo'lei'xing
操作人,cao'zuo'ren
操作人员,cao'zuo'ren'yuan
操作日期,cao'zuo'ri'qi
操作时间,cao'zuo'shi'jian
操作者,cao'zuo'zhe
测定方法,ce'ding'fang'fa
测定内容,ce'ding'nei'rong
测量范围,ce'liang'fan'wei
侧切感染,ce'qie'gan'ran
侧切例数,ce'qie'li'shu
层次号,ceng'ci'hao
层次名称,ceng'ci'ming'cheng
曾用名,ceng'yong'ming
查床次数,cha'chuang'ci'shu
查床费,cha'chuang'fei
差错编号,cha'cuo'bian'hao
插队类别,cha'dui'lei'bie
插队时间,cha'dui'shi'jian
插队位置,cha'dui'wei'zhi
插队原因,cha'dui'yuan'yin
查房编号,cha'fang'bian'hao
查房次数,cha'fang'ci'shu
查房记录,cha'fang'ji'lu
查房目的,cha'fang'mu'di
查房人员,cha'fang'ren'yuan
查房日期,cha'fang'ri'qi
查房时间,cha'fang'shi'jian
查房小结,cha'fang'xiao'jie
插管难度,cha'guan'nan'du
查询名称,cha'xun'ming'cheng
查询序号,cha'xun'xu'hao
产出情况,chan'chu'qing'kuang
产地,chan'di
产地名称,chan'di'ming'cheng
产妇产次,chan'fu'chan'ci
产妇人数,chan'fu'ren'shu
产妇死亡,chan'fu'si'wang
产假,chan'jia
产检假,chan'jian'jia
产品类别,chan'pin'lei'bie
产品用途,chan'pin'yong'tu
常规编号,chang'gui'bian'hao
常规名称,chang'gui'ming'cheng
常规内容,chang'gui'nei'rong
常规器械消毒灭菌合格数,chang'gui'qi'xie'xiao'du'mie'jun'he'ge'shu
常规器械消毒灭菌检查数,chang'gui'qi'xie'xiao'du'mie'jun'jian'cha'shu
厂家,chang'jia
厂家编号,chang'jia'bian'hao
厂家名称,chang'jia'ming'cheng
厂家全称,chang'jia'quan'cheng
厂家状态,chang'jia'zhuang'tai
常量值,chang'liang'zhi
厂商地址,chang'shang'di'zhi
厂商竞争能力,chang'shang'jing'zheng'neng'li
厂商序号,chang'shang'xu'hao
厂休假,chang'xiu'jia
常用标志,chang'yong'biao'zhi
超额自付比例,chao'e'zi'fu'bi'li
超额自负比例,chao'e'zi'fu'bi'li
超额自负点比例,chao'e'zi'fu'dian'bi'li
超期天数,chao'qi'tian'shu
超限比例,chao'xian'bi'li
撤床病人床日,che'chuang'bing'ren'chuang'ri
撤床日期,che'chuang'ri'qi
撤床诊疗人次,che'chuang'zhen'liao'ren'ci
撤床总数,che'chuang'zong'shu
撤销人,che'xiao'ren
撤销日期,che'xiao'ri'qi
沉淀时间,chen'dian'shi'jian
成本比例,cheng'ben'bi'li
成本项目,cheng'ben'xiang'mu
成分编号,cheng'fen'bian'hao
成功次数,cheng'gong'ci'shu
成功人次,cheng'gong'ren'ci
成绩,cheng'ji
成品半成品判别,cheng'pin'ban'cheng'pin'pan'bie
成品检验量,cheng'pin'jian'yan'liang
成品检验判断标识,cheng'pin'jian'yan'pan'duan'biao'zhi
成品率,cheng'pin'lv
成品灭菌温度,cheng'pin'mie'jun'wen'du
成品灭菌压力,cheng'pin'mie'jun'ya'li
成品限量,cheng'pin'xian'liang
成药费,cheng'yao'fei
成员代码,cheng'yuan'dai'ma
成员级别,cheng'yuan'ji'bie
成员姓名,cheng'yuan'xing'ming
成员职务,cheng'yuan'zhi'wu
成员职责,cheng'yuan'zhi'ze
称重,cheng'zhong
迟到次数,chi'dao'ci'shu
重置单号,chong'zhi'dan'hao
重置单价,chong'zhi'dan'jia
重置日期,chong'zhi'ri'qi
重置序号,chong'zhi'xu'hao
重置原值,chong'zhi'yuan'zhi
处方,chu'fang
处方编号,chu'fang'bian'hao
处方标志,chu'fang'biao'zhi
处方关联,chu'fang'guan'lian
处方号码,chu'fang'hao'ma
处方来源,chu'fang'lai'yuan
处方类型,chu'fang'lei'xing
处方名称,chu'fang'ming'cheng
处方识别,chu'fang'shi'bie
处方贴数,chu'fang'tie'shu
处方限额,chu'fang'xian'e
处方用药备注,chu'fang'yong'yao'bei'zhu
处分,chu'fen
出观人数,chu'guan'ren'shu
出观占用床日,chu'guan'zhan'yong'chuang'ri
出观总数,chu'guan'zong'shu
出库备注,chu'ku'bei'zhu
出库标志,chu'ku'biao'zhi
出库仓库,chu'ku'cang'ku
出库单号,chu'ku'dan'hao
出库单位,chu'ku'dan'wei
出库方式,chu'ku'fang'shi
出库工号,chu'ku'gong'hao
出库进货,chu'ku'jin'huo
出库科室,chu'ku'ke'shi
出库零售,chu'ku'ling'shou
出库判别,chu'ku'pan'bie
出库批发,chu'ku'pi'fa
出库确认,chu'ku'que'ren
出库日期,chu'ku'ri'qi
出库时间,chu'ku'shi'jian
出库数量,chu'ku'shu'liang
处理对象,chu'li'dui'xiang
处理过程,chu'li'guo'cheng
处理结果,chu'li'jie'guo
处理意见,chu'li'yi'jian
出勤,chu'qin
出入库标志,chu'ru'ku'biao'zhi
出入库单号,chu'ru'ku'dan'hao
出入库方式,chu'ru'ku'fang'shi
出入库数量,chu'ru'ku'shu'liang
出生年月,chu'sheng'nian'yue
出生日期,chu'sheng'ri'qi
出生时间,chu'sheng'shi'jian
初始化标志,chu'shi'hua'biao'zhi
初始明细,chu'shi'ming'xi
初始序号,chu'shi'xu'hao
初始值,chu'shi'zhi
出院病区,chu'yuan'bing'qu
出院病人,chu'yuan'bing'ren
出院病人床日,chu'yuan'bing'ren'chuang'ri
出院病人费用,chu'yuan'bing'ren'fei'yong
出院床号,chu'yuan'chuang'hao
出院床日,chu'yuan'chuang'ri
出院待结,chu'yuan'dai'jie
出院待诊,chu'yuan'dai'zhen
出院方式,chu'yuan'fang'shi
出院科室,chu'yuan'ke'shi
出院判别,chu'yuan'pan'bie
出院情况,chu'yuan'qing'kuang
出院人数,chu'yuan'ren'shu
出院日期,chu'yuan'ri'qi
出院膳食指导,chu'yuan'shan'shi'zhi'dao
出院收入,chu'yuan'shou'ru
出院占用床日,chu'yuan'zhan'yong'chuang'ri
出院者总费用,chu'yuan'zhe'zong'fei'yong
出诊次数,chu'zhen'ci'shu
初诊判别,chu'zhen'pan'bie
出诊人次,chu'zhen'ren'ci
初诊日期,chu'zhen'ri'qi
出诊收入,chu'zhen'shou'ru
传真号码,chuan'zhen'hao'ma
床费限价,chuang'fei'xian'jia
创建人,chuang'jian'ren
创建日期,chuang'jian'ri'qi
窗口编号,chuang'kou'bian'hao
窗口名称,chuang'kou'ming'cheng
床位病区,chuang'wei'bing'qu
床位定编,chuang'wei'ding'bian
床位费,chuang'wei'fei
床位费用,chuang'wei'fei'yong
床位科室,chuang'wei'ke'shi
床位性别,chuang'wei'xing'bie
醇沉时间起止,chun'chen'shi'jian'qi'zhi
词汇名称,ci'hui'ming'cheng
词汇序号,ci'hui'xu'hao
次月折旧标志,ci'yue'zhe'jiu'biao'zhi
从事专业,cong'shi'zhuan'ye
催款比例,cui'kuan'bi'li
催款标志,cui'kuan'biao'zhi
催款金额,cui'kuan'jin'e
存放位置,cun'fang'wei'zhi
存在判别,cun'zai'pan'bie
错误编号,cuo'wu'bian'hao
错误行号,cuo'wu'hang'hao
错误日期,cuo'wu'ri'qi
错误信息,cuo'wu'xin'xi
大保病种,da'bao'bing'zhong
打包人,da'bao'ren
打包时间,da'bao'shi'jian
打包序号,da'bao'xu'hao
大便次数,da'bian'ci'shu
达标,da'biao
达标时间,da'biao'shi'jian
大件数,da'jian'shu
打开参数,da'kai'can'shu
大类编码,da'lei'bian'ma
大类名称,da'lei'ming'cheng
打印标志,da'yin'biao'zhi
打印工号,da'yin'gong'hao
打印判断,da'yin'pan'duan
打印时间,da'yin'shi'jian
贷方金额,dai'fang'jin'e
代煎药标志,dai'jian'yao'biao'zhi
代扣保险,dai'kou'bao'xian
代码,dai'ma
代码类别,dai'ma'lei'bie
代码名称,dai'ma'ming'cheng
代码识别,dai'ma'shi'bie
代码项二,dai'ma'xiang'er
代码项一,dai'ma'xiang'yi
代码序号,dai'ma'xu'hao
代谢膳食,dai'xie'shan'shi
担保关系,dan'bao'guan'xi
担保人名,dan'bao'ren'ming
单据备注,dan'ju'bei'zhu
单据编号,dan'ju'bian'hao
单据号码,dan'ju'hao'ma
单据类型,dan'ju'lei'xing
单据年份,dan'ju'nian'fen
单据前缀,dan'ju'qian'zhui
单据识别,dan'ju'shi'bie
单据月份,dan'ju'yue'fen
单据状态,dan'ju'zhuang'tai
单位,dan'wei
单位编号,dan'wei'bian'hao
单位编码,dan'wei'bian'ma
单位代码,dan'wei'dai'ma
单位地址,dan'wei'di'zhi
单位电话,dan'wei'dian'hua
单位缴纳,dan'wei'jiao'na
单位名称,dan'wei'ming'cheng
单位全称,dan'wei'quan'cheng
单位数量,dan'wei'shu'liang
单位说明,dan'wei'shuo'ming
单位序号,dan'wei'xu'hao
单位邮编,dan'wei'you'bian
单位帐号,dan'wei'zhang'hao
单位状态,dan'wei'zhuang'tai
当前版本,dang'qian'ban'ben
当前号码,dang'qian'hao'ma
当前记录,dang'qian'ji'lu
当前科室,dang'qian'ke'shi
当前年份,dang'qian'nian'fen
当前日期,dang'qian'ri'qi
当前项目,dang'qian'xiang'mu
当前性质,dang'qian'xing'zhi
当前序号,dang'qian'xu'hao
当前月份,dang'qian'yue'fen
当前值,dang'qian'zhi
当前支出,dang'qian'zhi'chu
当月天数,dang'yue'tian'shu
导入日期,dao'ru'ri'qi
导医显示,dao'yi'xian'shi
导诊识别,dao'zhen'shi'bie
导诊时间,dao'zhen'shi'jian
导诊说明,dao'zhen'shuo'ming
导诊台号,dao'zhen'tai'hao
导诊台名称,dao'zhen'tai'ming'cheng
导诊台说明,dao'zhen'tai'shuo'ming
导诊台位置,dao'zhen'tai'wei'zhi
导诊序号,dao'zhen'xu'hao
导诊状态,dao'zhen'zhuang'tai
得分,de'fen
得药液量,de'yao'ye'liang
登记工号,deng'ji'gong'hao
等级类别,deng'ji'lei'bie
等级名称,deng'ji'ming'cheng
登记人,deng'ji'ren
登记日期,deng'ji'ri'qi
登记时间,deng'ji'shi'jian
登记台帐标志,deng'ji'tai'zhang'biao'zhi
等效药品,deng'xiao'yao'pin
低储数量,di'chu'shu'liang
低碘,di'dian
滴定液名称浓度,di'ding'ye'ming'cheng'nong'du
第二次加水量,di'er'ci'jia'shui'liang
地区级别,di'qu'ji'bie
第三次加水量,di'san'ci'jia'shui'liang
低盐,di'yan
第一次加水量,di'yi'ci'jia'shui'liang
低脂,di'zhi
地址,di'zhi
地址名称,di'zhi'ming'cheng
地址序号,di'zhi'xu'hao
电话号码,dian'hua'hao'ma
电渗淡水,dian'shen'dan'shui
电子邮件,dian'zi'you'jian
调拨零售,diao'bo'ling'shou
调拨批发,diao'bo'pi'fa
调拨数量,diao'bo'shu'liang
调查结果,diao'cha'jie'guo
调动单号,diao'dong'dan'hao
调动人,diao'dong'ren
调动时间,diao'dong'shi'jian
调动原因,diao'dong'yuan'yin
调入标志,diao'ru'biao'zhi
调转单号,diao'zhuan'dan'hao
调转类别,diao'zhuan'lei'bie
调转序号,diao'zhuan'xu'hao
定价方式,ding'jia'fang'shi
定价公式,ding'jia'gong'shi
定价级别,ding'jia'ji'bie
定时判别,ding'shi'pan'bie
定时日期,ding'shi'ri'qi
定时设置,ding'shi'she'zhi
定时时间,ding'shi'shi'jian
冻结标志,dong'jie'biao'zhi
冻结金额,dong'jie'jin'e
冻结状态,dong'jie'zhuang'tai
冬莨菪碱,dong'lang'dang'jian
杜冷丁,du'leng'ding
短消息通知标志,duan'xiao'xi'tong'zhi'biao'zhi
队列编号,dui'lie'bian'hao
队列层次,dui'lie'ceng'ci
队列名称,dui'lie'ming'cheng
队列说明,dui'lie'shuo'ming
对齐方式,dui'qi'fang'shi
对外筌定合同单位,dui'wai'quan'ding'he'tong'dan'wei
对象代码,dui'xiang'dai'ma
对象方法,dui'xiang'fang'fa
对象高度,dui'xiang'gao'du
对象宽度,dui'xiang'kuan'du
对象类型,dui'xiang'lei'xing
对象名称,dui'xiang'ming'cheng
对象取值,dui'xiang'qu'zhi
对象样式,dui'xiang'yang'shi
对应代码,dui'ying'dai'ma
对应方式,dui'ying'fang'shi
对应护理小组,dui'ying'hu'li'xiao'zu
对应科室,dui'ying'ke'shi
对应类别,dui'ying'lei'bie
对应名称,dui'ying'ming'cheng
对应诊疗小组,dui'ying'zhen'liao'xiao'zu
对照序号,dui'zhao'xu'hao
额定床位,e'ding'chuang'wei
额定每周开机时数,e'ding'mei'zhou'kai'ji'shi'shu
恶性肿瘤,e'xing'zhong'liu
二级审批标志,er'ji'shen'pi'biao'zhi
二级审批工号,er'ji'shen'pi'gong'hao
二级审批时间,er'ji'shen'pi'shi'jian
发放金额,fa'fang'jin'e
发放年份,fa'fang'nian'fen
发放人,fa'fang'ren
发放日期,fa'fang'ri'qi
发放时间,fa'fang'shi'jian
发放序号,fa'fang'xu'hao
发放月份,fa'fang'yue'fen
发票关联,fa'piao'guan'lian
发票号码,fa'piao'hao'ma
发票张数,fa'piao'zhang'shu
法人代表,fa'ren'dai'biao
发生地点,fa'sheng'di'dian
发生过程,fa'sheng'guo'cheng
发生日期,fa'sheng'ri'qi
发生时间起,fa'sheng'shi'jian'qi
发生时间止,fa'sheng'shi'jian'zhi
发送人,fa'song'ren
发送时间,fa'song'shi'jian
发现问题,fa'xian'wen'ti
发药标志,fa'yao'biao'zhi
发药病区,fa'yao'bing'qu
发药窗口,fa'yao'chuang'kou
发药方式,fa'yao'fang'shi
发药工号,fa'yao'gong'hao
发药类型,fa'yao'lei'xing
发药零售,fa'yao'ling'shou
发药判别,fa'yao'pan'bie
发药批发,fa'yao'pi'fa
发药日期,fa'yao'ri'qi
发药时间,fa'yao'shi'jian
发药数量,fa'yao'shu'liang
发药属性,fa'yao'shu'xing
发药提醒,fa'yao'ti'xing
翻包消毒价格,fan'bao'xiao'du'jia'ge
反馈结果,fan'kui'jie'guo
方案说明,fang'an'shuo'ming
方法名称,fang'fa'ming'cheng
方法序号,fang'fa'xu'hao
防范措施,fang'fan'cuo'shi
房间号码,fang'jian'hao'ma
房间价格,fang'jian'jia'ge
房间类别,fang'jian'lei'bie
房间名称,fang'jian'ming'cheng
放弃,fang'qi
放射不符,fang'she'bu'fu
放射费,fang'she'fei
放射符合,fang'she'fu'he
放射疑诊,fang'she'yi'zhen
方式编号,fang'shi'bian'hao
方式归属,fang'shi'gui'shu
方式类别,fang'shi'lei'bie
方式名称,fang'shi'ming'cheng
方式判别,fang'shi'pan'bie
方式状态,fang'shi'zhuang'tai
防治号码,fang'zhi'hao'ma
费用,fei'yong
费用编号,fei'yong'bian'hao
费用标志,fei'yong'biao'zhi
费用标准,fei'yong'biao'zhun
费用病区,fei'yong'bing'qu
费用单价,fei'yong'dan'jia
费用单位,fei'yong'dan'wei
费用方式,fei'yong'fang'shi
费用分类,fei'yong'fen'lei
费用归并,fei'yong'gui'bing
费用合计,fei'yong'he'ji
费用金额,fei'yong'jin'e
费用科室,fei'yong'ke'shi
费用来源,fei'yong'lai'yuan
费用类别,fei'yong'lei'bie
费用类型,fei'yong'lei'xing
费用名称,fei'yong'ming'cheng
费用明细记录序号,fei'yong'ming'xi'ji'lu'xu'hao
费用日期,fei'yong'ri'qi
费用数量,fei'yong'shu'liang
费用限额,fei'yong'xian'e
费用项目,fei'yong'xiang'mu
费用性质,fei'yong'xing'zhi
费用序号,fei'yong'xu'hao
费用证号,fei'yong'zheng'hao
分度值,fen'du'zhi
分发日期,fen'fa'ri'qi
分级表名,fen'ji'biao'ming
分级层数,fen'ji'ceng'shu
分级长度,fen'ji'chang'du
分级代码,fen'ji'dai'ma
分类编号,fen'lei'bian'hao
分类编码,fen'lei'bian'ma
分类标志,fen'lei'biao'zhi
分类等级,fen'lei'deng'ji
分类名称,fen'lei'ming'cheng
分类排序,fen'lei'pai'xu
分类判别,fen'lei'pan'bie
分类体系,fen'lei'ti'xi
分类序号,fen'lei'xu'hao
分裂识别,fen'lie'shi'bie
分娩例数,fen'mian'li'shu
分娩情况,fen'mian'qing'kuang
分期金额,fen'qi'jin'e
分期日期,fen'qi'ri'qi
粉碎,fen'sui
粉碎后过筛重量,fen'sui'hou'guo'shai'zhong'liang
粉碎后数量,fen'sui'hou'shu'liang
粉碎日期,fen'sui'ri'qi
分题编号,fen'ti'bian'hao
分题简介,fen'ti'jian'jie
分题名称,fen'ti'ming'cheng
分值,fen'zhi
分组类别,fen'zu'lei'bie
分组识别,fen'zu'shi'bie
封存标志,feng'cun'biao'zhi
封存单号,feng'cun'dan'hao
封存档案工资时间,feng'cun'dang'an'gong'zi'shi'jian
封存工号,feng'cun'gong'hao
封存日期,feng'cun'ri'qi
封存序号,feng'cun'xu'hao
封存月数,feng'cun'yue'shu
蜂蜜量,feng'mi'liang
封装损耗,feng'zhuang'sun'hao
封装总容量,feng'zhuang'zong'rong'liang
副标题,fu'biao'ti
副标题加粗,fu'biao'ti'jia'cu
副标题加下划线,fu'biao'ti'jia'xia'hua'xian
副标题斜体,fu'biao'ti'xie'ti
副标题字号,fu'biao'ti'zi'hao
副标题字体,fu'biao'ti'zi'ti
副标题字体颜色,fu'biao'ti'zi'ti'yan'se
附单据数,fu'dan'ju'shu
复核标志,fu'he'biao'zhi
复核工号,fu'he'gong'hao
复核人,fu'he'ren
复核日期,fu'he'ri'qi
符合数,fu'he'shu
附加编码,fu'jia'bian'ma
附加处方,fu'jia'chu'fang
附加类别,fu'jia'lei'bie
父键,fu'jian
附件单价,fu'jian'dan'jia
复检号,fu'jian'hao
附件名称,fu'jian'ming'cheng
复检人,fu'jian'ren
附件数量,fu'jian'shu'liang
附件序号,fu'jian'xu'hao
付款标志,fu'kuan'biao'zhi
付款方式,fu'kuan'fang'shi
付款工号,fu'kuan'gong'hao
付款公式,fu'kuan'gong'shi
付款号码,fu'kuan'hao'ma
付款记录,fu'kuan'ji'lu
付款金额,fu'kuan'jin'e
付款精度,fu'kuan'jing'du
付款名称,fu'kuan'ming'cheng
付款凭证,fu'kuan'ping'zheng
付款日期,fu'kuan'ri'qi
付款时间,fu'kuan'shi'jian
付款序号,fu'kuan'xu'hao
服务标识,fu'wu'biao'zhi
服务费,fu'wu'fei
服务描述,fu'wu'miao'shu
服务名称,fu'wu'ming'cheng
服务内容,fu'wu'nei'rong
服务时间,fu'wu'shi'jian
服务台代码,fu'wu'tai'dai'ma
服务台机器,fu'wu'tai'ji'qi
