阿德默勒尔蒂群岛,a'de'mo'le'er'di'qun'dao
俄罗斯西伯利亚西南部,e'luo'si'xi'bo'li'ya'xi'nan'bu
斐济,fei'ji
斐济群岛,fei'ji'qun'dao
斐济群岛地区,fei'ji'qun'dao'di'qu
斐济群岛以南,fei'ji'qun'dao'yi'nan
斐济以南地区,fei'ji'yi'nan'di'qu
菲律宾吕宋岛,fei'lv'bin'lv'song'dao
菲律宾棉兰老岛,fei'lv'bin'mian'lan'lao'dao
菲律宾民都洛岛,fei'lv'bin'min'dou'luo'dao
菲律宾内格罗斯岛,fei'lv'bin'nei'ge'luo'si'dao
菲律宾群岛地区,fei'lv'bin'qun'dao'di'qu
福克斯群岛,fu'ke'si'qun'dao
哥伦比亚西岸近海,ge'lun'bi'ya'xi'an'jin'hai
古巴地区,gu'ba'di'qu
韩国,han'guo
吉尔吉斯斯坦,ji'er'ji'si'si'tan
吉尔吉斯斯坦伊塞克湖地区,ji'er'ji'si'si'tan'yi'sai'ke'hu'di'qu
加勒比海,jia'le'bi'hai
加利福尼亚湾,jia'li'fu'ni'ya'wan
加罗林群岛西部,jia'luo'lin'qun'dao'xi'bu
加罗林群岛以东,jia'luo'lin'qun'dao'yi'dong
加拿大温哥华岛地区,jia'na'da'wen'ge'hua'dao'di'qu
加拿大夏洛特皇后群岛地区,jia'na'da'xia'luo'te'huang'hou'qun'dao'di'qu
加拿大伊丽莎白女王群岛,jia'na'da'yi'li'sha'bai'nv'wang'qun'dao
卡尔斯伯格海岭,ka'er'si'bo'ge'hai'ling
堪察加东岸近海,kan'cha'jia'dong'an'jin'hai
堪察加东岸远海,kan'cha'jia'dong'an'yuan'hai
克马德克群岛,ke'ma'de'ke'qun'dao
克马德克群岛地区,ke'ma'de'ke'qun'dao'di'qu
科曼多尔群岛地区,ke'man'duo'er'qun'dao'di'qu
克什米尔西北部,ke'shi'mi'er'xi'bei'bu
拉特群岛,la'te'qun'dao
老挝,lao'wo
琉球群岛西南部,liu'qiu'qun'dao'xi'nan'bu
洛亚蒂群岛,luo'ya'di'qun'dao
洛亚蒂群岛东南,luo'ya'di'qun'dao'dong'nan
洛亚尔提群岛,luo'ya'er'ti'qun'dao
洛亚尔提群岛地区,luo'ya'er'ti'qun'dao'di'qu
马里亚纳群岛,ma'li'ya'na'qun'dao
马里亚纳群岛地区,ma'li'ya'na'qun'dao'di'qu
马里亚纳群岛以南,ma'li'ya'na'qun'dao'yi'nan
马里亚纳群岛以南地区,ma'li'ya'na'qun'dao'yi'nan'di'qu
马鲁古海峡,ma'lu'gu'hai'xia
麦夸里岛地区,mai'kua'li'dao'di'qu
麦夸里岛以北,mai'kua'li'dao'yi'bei
麦夸里岛以西,mai'kua'li'dao'yi'xi
美国阿拉斯加半岛,mei'guo'a'la'si'jia'ban'dao
美国阿拉斯加州东南部,mei'guo'a'la'si'jia'zhou'dong'nan'bu
美国阿拉斯加州乌尼马克岛地区,mei'guo'a'la'si'jia'zhou'wu'ni'ma'ke'dao'di'qu
美国阿拉斯加州以南,mei'guo'a'la'si'jia'zhou'yi'nan
美国加利福尼亚州北部沿岸远海,mei'guo'jia'li'fu'ni'ya'zhou'bei'bu'yan'an'yuan'hai
美国加利福尼亚州南部,mei'guo'jia'li'fu'ni'ya'zhou'nan'bu
美国夏威夷群岛,mei'guo'xia'wei'yi'qun'dao
蒙古,meng'gu
缅甸,mian'dian
缅甸印度边境地区,mian'dian'yin'du'bian'jing'di'qu
缅甸中国边境地区,mian'dian'zhong'guo'bian'jing'di'qu
棉兰老岛,mian'lan'lao'dao
莫桑比克,mo'sang'bi'ke
墨西哥,mo'xi'ge
墨西哥格雷罗州,mo'xi'ge'ge'lei'luo'zhou
墨西哥哈利斯科州沿岸远海,mo'xi'ge'ha'li'si'ke'zhou'yan'an'yuan'hai
墨西哥恰帕斯州沿岸近海,mo'xi'ge'qia'pa'si'zhou'yan'an'jin'hai
墨西哥恰帕斯州沿岸远海,mo'xi'ge'qia'pa'si'zhou'yan'an'yuan'hai
墨西哥瓦哈卡州沿岸近海,mo'xi'ge'wa'ha'ka'zhou'yan'an'jin'hai
墨西哥湾,mo'xi'ge'wan
南极洲斯科舍海,nan'ji'zhou'si'ke'she'hai
南桑德韦奇群岛地区,nan'sang'de'wei'qi'qun'dao'di'qu
南桑德为奇群岛地区,nan'sang'de'wei'qi'qun'dao'di'qu
南桑威奇群岛地区,nan'sang'wei'qi'qun'dao'di'qu
南桑威奇群岛以东,nan'sang'wei'qi'qun'dao'yi'dong
南设得兰群岛,nan'she'de'lan'qun'dao
南印度洋,nan'yin'du'yang
尼泊尔,ni'bo'er
尼泊尔印度边境地区,ni'bo'er'yin'du'bian'jing'di'qu
尼尔群岛,ni'er'qun'dao
尼加拉瓜,ni'jia'la'gua
尼加拉瓜沿岸近海,ni'jia'la'gua'yan'an'jin'hai
挪威海,nuo'wei'hai
挪威斯瓦尔巴群岛以北,nuo'wei'si'wa'er'ba'qun'dao'yi'bei
挪威扬马延岛地区,nuo'wei'yang'ma'yan'dao'di'qu
诺亚尔提群岛,nuo'ya'er'ti'qun'dao
欧文断裂带地区,ou'wen'duan'lie'dai'di'qu
葡萄牙亚速尔群岛,pu'tao'ya'ya'su'er'qun'dao
葡萄牙亚速尔群岛地区,pu'tao'ya'ya'su'er'qun'dao'di'qu
千岛群岛,qian'dao'qun'dao
千岛群岛地区,qian'dao'qun'dao'di'qu
千岛群岛西北,qian'dao'qun'dao'xi'bei
千岛群岛以东,qian'dao'qun'dao'yi'dong
日本北海道地区,ri'ben'bei'hai'dao'di'qu
日本本州东岸近海,ri'ben'ben'zhou'dong'an'jin'hai
日本本州东岸远海,ri'ben'ben'zhou'dong'an'yuan'hai
日本本州东部,ri'ben'ben'zhou'dong'bu
日本本州东海岸海域,ri'ben'ben'zhou'dong'hai'an'hai'yu
日本本州东海岸近海,ri'ben'ben'zhou'dong'hai'an'jin'hai
日本本州东海岸远海,ri'ben'ben'zhou'dong'hai'an'yuan'hai
日本本州东南,ri'ben'ben'zhou'dong'nan
日本本州南岸近海,ri'ben'ben'zhou'nan'an'jin'hai
日本本州西岸近海,ri'ben'ben'zhou'xi'an'jin'hai
日本本州西部南岸近海,ri'ben'ben'zhou'xi'bu'nan'an'jin'hai
日本本州以南地区,ri'ben'ben'zhou'yi'nan'di'qu
日本本州以南海域,ri'ben'ben'zhou'yi'nan'hai'yu
日本海,ri'ben'hai
日本海东部,ri'ben'hai'dong'bu
日本九州岛,ri'ben'jiu'zhou'dao
日本琉球群岛,ri'ben'liu'qiu'qun'dao
日本琉球群岛东南,ri'ben'liu'qiu'qun'dao'dong'nan
日本琉球群岛西南部,ri'ben'liu'qiu'qun'dao'xi'nan'bu
日本四国东南,ri'ben'si'guo'dong'nan
日本小笠原群岛地区,ri'ben'xiao'li'yuan'qun'dao'di'qu
萨摩亚群岛,sa'mo'ya'qun'dao
萨摩亚群岛地区,sa'mo'ya'qun'dao'di'qu
圣克鲁斯群岛,sheng'ke'lu'si'qun'dao
斯瓦巴德以北地区,si'wa'ba'de'yi'bei'di'qu
苏拉威西海,su'la'wei'xi'hai
苏门答腊西南以远地区,su'men'da'la'xi'nan'yi'yuan'di'qu
所罗门群岛,suo'luo'men'qun'dao
塔吉克斯坦,ta'ji'ke'si'tan
塔劳群岛,ta'lao'qun'dao
太平洋南部,tai'ping'yang'nan'bu
太平洋南极洲海岭,tai'ping'yang'nan'ji'zhou'hai'ling
台湾东部海中,tai'wan'dong'bu'hai'zhong
台湾恒春海域,tai'wan'heng'chun'hai'yu
台湾花莲海域,tai'wan'hua'lian'hai'yu
坦噶尼喀湖地区,tan'ga'ni'ka'hu'di'qu
汤加,tang'jia
汤加地区,tang'jia'di'qu
汤加群岛,tang'jia'qun'dao
土耳其,tu'er'qi
瓦努阿图,wa'nu'a'tu
瓦努阿图群岛,wa'nu'a'tu'qun'dao
瓦努阿图群岛地区,wa'nu'a'tu'qun'dao'di'qu
危地马拉,wei'di'ma'la
危地马拉沿岸,wei'di'ma'la'yan'an
危地马拉沿岸近海,wei'di'ma'la'yan'an'jin'hai
维尔京群岛,wei'er'jing'qun'dao
希腊,xi'la
希腊克里特岛,xi'la'ke'li'te'dao
希腊南部,xi'la'nan'bu
西智利海岭,xi'zhi'li'hai'ling
新爱尔兰地区,xin'ai'er'lan'di'qu
新不列颠岛地区,xin'bu'lie'dian'dao'di'qu
新几内亚,xin'ji'nei'ya
新几内亚北岸近海,xin'ji'nei'ya'bei'an'jin'hai
新几内亚北海岸近海,xin'ji'nei'ya'bei'hai'an'jin'hai
新几内亚东部地区,xin'ji'nei'ya'dong'bu'di'qu
新西兰奥克兰群岛地区,xin'xi'lan'ao'ke'lan'qun'dao'di'qu
新西兰克马德克群岛,xin'xi'lan'ke'ma'de'ke'qun'dao
新西兰克马德克群岛地区,xin'xi'lan'ke'ma'de'ke'qun'dao'di'qu
新西兰克马德克群岛以南,xin'xi'lan'ke'ma'de'ke'qun'dao'yi'nan
新西兰南岛,xin'xi'lan'nan'dao
新西兰南岛西海岸远海,xin'xi'lan'nan'dao'xi'hai'an'yuan'hai
兴都库什地区,xing'dou'ku'shen'di'qu
亚丁湾东部,ya'ding'wan'dong'bu
亚速尔圣文森特角海岭,ya'su'er'sheng'wen'sen'te'jiao'hai'ling
意大利中部地区,yi'da'li'zhong'bu'di'qu
伊朗南部,yi'lang'nan'bu
伊朗西部,yi'lang'xi'bu
伊朗中北部,yi'lang'zhong'bei'bu
印度安达曼群岛地区,yin'du'an'da'man'qun'dao'di'qu
印度东北部,yin'du'dong'bei'bu
印度尼科巴群岛地区,yin'du'ni'ke'ba'qun'dao'di'qu
印度尼西亚巴布亚群岛北部,yin'du'ni'xi'ya'ba'bu'ya'qun'dao'bei'bu
印度尼西亚米纳哈萨半岛,yin'du'ni'xi'ya'mi'na'ha'sa'ban'dao
印度尼西亚苏门答腊南部,yin'du'ni'xi'ya'su'men'da'la'nan'bu
印尼班达海,yin'ni'ban'da'hai
印尼弗洛勒斯海,yin'ni'fu'luo'le'si'hai
印尼哈马黑拉岛,yin'ni'ha'ma'hei'la'dao
印尼哈马黑拉岛以北,yin'ni'ha'ma'hei'la'dao'yi'bei
印尼马鲁古海北部,yin'ni'ma'lu'gu'hai'bei'bu
印尼马鲁古海南部,yin'ni'ma'lu'gu'hai'nan'bu
印尼米纳哈沙半岛,yin'ni'mi'na'ha'sha'ban'dao
印尼萨武海,yin'ni'sa'wu'hai
印尼塞兰岛,yin'ni'sai'lan'dao
印尼松巴岛地区,yin'ni'song'ba'dao'di'qu
印尼松巴哇岛地区,yin'ni'song'ba'wa'dao'di'qu
印尼苏拉威西岛,yin'ni'su'la'wei'xi'dao
印尼苏门答腊,yin'ni'su'men'da'la
印尼苏门答腊岛北部,yin'ni'su'men'da'la'dao'bei'bu
印尼苏门答腊岛北部西岸远海,yin'ni'su'men'da'la'dao'bei'bu'xi'an'yuan'hai
印尼苏门答腊岛南部,yin'ni'su'men'da'la'dao'nan'bu
印尼苏门答腊岛西南,yin'ni'su'men'da'la'dao'xi'nan
印尼苏门答腊南部,yin'ni'su'men'da'la'nan'bu
印尼苏门答腊南部地区,yin'ni'su'men'da'la'nan'bu'di'qu
印尼塔劳群岛,yin'ni'ta'lao'qun'dao
印尼塔宁巴尔群岛地区,yin'ni'ta'ning'ba'er'qun'dao'di'qu
印尼巽他海峡,yin'ni'xun'ta'hai'xia
印尼伊里安查亚省,yin'ni'yi'li'an'cha'ya'sheng
印尼伊里安查亚省北岸近海,yin'ni'yi'li'an'cha'ya'sheng'bei'an'jin'hai
印尼伊里安查亚省地区,yin'ni'yi'li'an'cha'ya'sheng'di'qu
印尼爪哇岛,yin'ni'zhao'wa'dao
印尼爪哇岛以南,yin'ni'zhao'wa'dao'yi'nan
智利阿根廷边境地区,zhi'li'a'gen'ting'bian'jing'di'qu
智利北部,zhi'li'bei'bu
智利北部海岸近海,zhi'li'bei'bu'hai'an'jin'hai
智利北部沿岸近海,zhi'li'bei'bu'yan'an'jin'hai
智利北部沿岸远海,zhi'li'bei'bu'yan'an'yuan'hai
智利南部,zhi'li'nan'bu
智利南部阿根廷边境地区,zhi'li'nan'bu'a'gen'ting'bian'jing'di'qu
智利南部沿岸远海,zhi'li'nan'bu'yan'an'yuan'hai
智利中部沿岸近海,zhi'li'zhong'bu'yan'an'jin'hai
智利中部沿岸远海,zhi'li'zhong'bu'yan'an'yuan'hai
中大西洋海岭,zhong'da'xi'yang'hai'ling
中大西洋海岭北部,zhong'da'xi'yang'hai'ling'bei'bu
中大西洋海岭南部,zhong'da'xi'yang'hai'ling'nan'bu
中大西洋海岭中部,zhong'da'xi'yang'hai'ling'zhong'bu
中大西洋中部海岭,zhong'da'xi'yang'zhong'bu'hai'ling
中国东北部,zhong'guo'dong'bei'bu
中国东海,zhong'guo'dong'hai
中国东南部,zhong'guo'dong'nan'bu
中国东南沿海,zhong'guo'dong'nan'yan'hai
中国甘肃省,zhong'guo'gan'su'sheng
中国黄海,zhong'guo'huang'hai
中国内蒙古自治区西部,zhong'guo'nei'meng'gu'zi'zhi'qu'xi'bu
中国青海省,zhong'guo'qing'hai'sheng
中国四川省,zhong'guo'si'chuan'sheng
中国台湾,zhong'guo'tai'wan
中国台湾地区,zhong'guo'tai'wan'di'qu
中国台湾东北,zhong'guo'tai'wan'dong'bei
中国西藏自治区,zhong'guo'xi'zang'zi'zhi'qu
中国西藏自治区印度边境地区,zhong'guo'xi'zang'zi'zhi'qu'yin'du'bian'jing'di'qu
中国新疆维吾尔自治区北部,zhong'guo'xin'jiang'wei'wu'er'zi'zhi'qu'bei'bu
中国新疆维吾尔自治区南部,zhong'guo'xin'jiang'wei'wu'er'zi'zhi'qu'nan'bu
中国云南省,zhong'guo'yun'nan'sheng
中印度洋海岭,zhong'yin'du'yang'hai'ling
