保管,bao'guan
物质承担者,wu'zhi'cheng'dan'zhe
习俗,xi'su
下降,xia'jiang
限度,xian'du
现实货币,xian'shi'huo'bi
消费,xiao'fei
消费安全,xiao'fei'an'quan
消费领域,xiao'fei'ling'yu
消费品,xiao'fei'pin
信用工具,xin'yong'gong'ju
信用货币,xin'yong'huo'bi
信用卡,xin'yong'ka
信用凭证,xin'yong'ping'zheng
信用证券,xin'yong'zheng'quan
需要,xu'yao
一般等价物,yi'ban'deng'jia'wu
一定程度,yi'ding'cheng'du
银行,yin'hang
银行汇票,yin'hang'hui'piao
影响,ying'xiang
优化配置,you'hua'pei'zhi
有利地位,you'li'di'wei
优胜劣汰,you'sheng'lie'tai
原因,yuan'yin
运输,yun'shu
在社会平均,zai'she'hui'ping'jun
增加,zeng'jia
增加就业,zeng'jia'jiu'ye
增长,zeng'zhang
纸币,zhi'bi
纸币贬值,zhi'bi'bian'zhi
制度,zhi'du
支付凭证,zhi'fu'ping'zheng
支付手段,zhi'fu'shou'duan
职能,zhi'neng
支票,zhi'piao
支取现金,zhi'qu'xian'jin
制造,zhi'zao
种类,zhong'lei
重要手段,zhong'yao'shou'duan
重要性,zhong'yao'xing
重要意义,zhong'yao'yi'yi
贮藏手段,zhu'cang'shou'duan
主导作用的,zhu'dao'zuo'yong'de
转帐支票,zhuan'zhang'zhi'piao
状况良好,zhuang'kuang'liang'hao
资金外逃,zi'jin'wai'tao
自然属性,zi'ran'shu'xing
资信,zi'xin
总供给,zong'gong'ji
宗教,zong'jiao
作用,zuo'yong
