哀公问政,ai'gong'wen'zheng
地道敏树,di'dao'min'shu
地之所载,di'zhi'suo'zai
动乎四体,dong'hu'si'ti
动则变,dong'ze'bian
笃行之,du'xing'zhi
敦厚以崇礼,dun'hou'yi'chong'li
遁世不见知而不悔,dun'shi'bu'jian'zhi'er'bu'hui
恶其文之著也,e'qi'wen'zhi'zhu'ye
而不能期月守也,er'bu'neng'ji'yue'shou'ye
而道自道也,er'dao'zi'dao'ye
而莫之知辟也,er'mo'zhi'zhi'pi'ye
而强者居之,er'qiang'zhe'ju'zhi
而时出之,er'shi'chu'zhi
而蚤有誉于天下者,er'zao'you'yu'yu'tian'xia'zhe
发而皆中节,fa'er'jie'zhong'jie
伐柯,fa'ke
发强刚毅,fa'qiang'gang'yi
发育万物,fa'yu'wan'wu
反古之道,fan'gu'zhi'dao
反求诸其身,fan'qiu'zhu'qi'shen
凡事豫则立,fan'shi'yu'ze'li
凡为天下国家有九经,fan'wei'tian'xia'guo'jia'you'jiu'jing
凡有血气者,fan'you'xue'qi'zhe
反诸身不诚,fan'zhu'shen'bu'cheng
费而隐,fei'er'yin
非礼不动,fei'li'bu'dong
非天子,fei'tian'zi
弗措也,fu'cuo'ye
夫妇也,fu'fu'ye
夫妇之不肖,fu'fu'zhi'bu'xiao
夫妇之愚,fu'fu'zhi'yu
父母其顺矣乎,fu'mu'qi'shun'yi'hu
父母之丧,fu'mu'zhi'sang
父为大夫,fu'wei'dai'fu
父为士,fu'wei'shi
夫微之显,fu'wei'zhi'xian
夫孝者,fu'xiao'zhe
夫焉有所倚,fu'yan'you'suo'yi
富有四海之内,fu'you'si'hai'zhi'nei
夫政也者,fu'zheng'ye'zhe
父子也,fu'zi'ye
父作之,fu'zuo'zhi
改而止,gai'er'zhi
盖曰天之所以为天也,gai'yue'tian'zhi'suo'yi'wei'tian'ye
盖曰文王之所以为文也,gai'yue'wen'wang'zhi'suo'yi'wei'wen'ye
高明配天,gao'ming'pei'tian
高明所以覆物也,gao'ming'suo'yi'fu'wu'ye
高也,gao'ye
苟不固聪明圣知达天德者,gou'bu'gu'cong'ming'sheng'zhi'da'tian'de'zhe
苟不至德,gou'bu'zhi'de
苟无其德,gou'wu'qi'de
苟无其位,gou'wu'qi'wei
故大德必得其位,gu'da'de'bi'de'qi'wei
故大德者必受命,gu'da'de'zhe'bi'shou'ming
故君子不动而敬,gu'jun'zi'bu'dong'er'jing
故君子不可以不修身,gu'jun'zi'bu'ke'yi'bu'xiu'shen
故君子和而不流,gu'jun'zi'he'er'bu'liu
故君子居易以俟命,gu'jun'zi'ju'yi'yi'si'ming
故君子内省不疚,gu'jun'zi'nei'xing'bu'jiu
故君子慎其独也,gu'jun'zi'shen'qi'du'ye
故君子以人治人,gu'jun'zi'yi'ren'zhi'ren
故君子语大,gu'jun'zi'yu'da
故君子之道,gu'jun'zi'zhi'dao
故君子尊德性而道问学,gu'jun'zi'zun'de'xing'er'dao'wen'xue
故时措之宜也,gu'shi'cuo'zhi'yi'ye
故天之生物,gu'tian'zhi'sheng'wu
故为政在人,gu'wei'zheng'zai'ren
故曰,gu'yue
故曰配天,gu'yue'pei'tian
故栽者培之,gu'zai'zhe'pei'zhi
故至诚如神,gu'zhi'cheng'ru'shen
故至诚无息,gu'zhi'cheng'wu'xi
官盛任使,guan'sheng'ren'shi
鬼神之为德,gui'shen'zhi'wei'de
国家将亡,guo'jia'jiang'wang
国家将兴,guo'jia'jiang'xing
果能此道矣,guo'neng'ci'dao'yi
国无道,guo'wu'dao
国有道,guo'you'dao
浩浩其天,hao'hao'qi'tian
好学近乎知,hao'xue'jin'hu'zhi
和乐且耽,he'le'qie'dan
合外内之道也,he'wai'nei'zhi'dao'ye
和也者,he'ye'zhe
后世有述焉,hou'shi'you'shu'yan
厚往而薄来,hou'wang'er'bo'lai
厚也,hou'ye
怀诸侯也,huai'zhu'hou'ye
怀诸侯则天下畏之,huai'zhu'hou'ze'tian'xia'wei'zhi
回之为人也,hui'zhi'wei'ren'ye
或安而行之,huo'an'er'xing'zhi
货财殖焉,huo'cai'zhi'yan
祸福将至,huo'fu'jiang'zhi
获乎上有道,huo'hu'shang'you'dao
或困而知之,huo'kun'er'zhi'zhi
或利而行之,huo'li'er'xing'zhi
或勉强而行之,huo'mian'qiang'er'xing'zhi
或生而知之,huo'sheng'er'zhi'zhi
或学而知之,huo'xue'er'zhi'zhi
极高明而道中庸,ji'gao'ming'er'dao'zhong'yong
继绝世,ji'jue'shi
既廪称事,ji'lin'cheng'shi
既明且哲,ji'ming'qie'zhe
及其不测,ji'qi'bu'ce
及其成功,ji'qi'cheng'gong
及其广大,ji'qi'guang'da
及其广厚,ji'qi'guang'hou
及其无穷也,ji'qi'wu'qiong'ye
及其至也,ji'qi'zhi'ye
及其知之一也,ji'qi'zhi'zhi'yi'ye
及士庶人,ji'shi'shu'ren
祭以大夫,ji'yi'dai'fu
祭以士,ji'yi'shi
嘉乐君子,jia'le'jun'zi
嘉善而矜不能,jia'shan'er'jin'bu'neng
贱而好自专,jian'er'hao'zi'zhuan
见而民莫不敬,jian'er'min'mo'bu'jing
简而文,jian'er'wen
见乎著龟,jian'hu'zhu'gui
贱货而贵德,jian'huo'er'gui'de
荐其时食,jian'qi'shi'shi
践其位,jian'qi'wei
建诸天地而不悖,jian'zhu'tian'di'er'bu'bei
蛟龙,jiao'long
郊社之礼,jiao'she'zhi'li
今夫地,jin'fu'di
今夫山,jin'fu'shan
今夫水,jin'fu'shui
今夫天,jin'fu'tian
今天下车同轨,jin'tian'xia'che'tong'gui
今用之,jin'yong'zhi
近之则不厌,jin'zhi'ze'bu'yan
敬大臣也,jing'da'chen'ye
敬大臣则不眩,jing'da'chen'ze'bu'xuan
敬其所尊,jing'qi'suo'zun
久也,jiu'ye
久则征,jiu'ze'zheng
举废国,ju'fei'guo
爵禄可辞也,jue'lu'ke'ci'ye
君臣也,jun'chen'ye
峻极于天,jun'ji'yu'tian
君子而时中,jun'zi'er'shi'zhong
君子胡不慥慥尔,jun'zi'hu'bu'zao'zao'er
君子居之,jun'zi'ju'zhi
君子素其位而行,jun'zi'su'qi'wei'er'xing
君子未有不如此,jun'zi'wei'you'bu'ru'ci
君子无入而不自得焉,jun'zi'wu'ru'er'bu'zi'de'yan
君子依乎中庸,jun'zi'yi'hu'zhong'yong
君子之道,jun'zi'zhi'dao
君子之道四,jun'zi'zhi'dao'si
君子之所不可及者,jun'zi'zhi'suo'bu'ke'ji'zhe
君子之中庸也,jun'zi'zhi'zhong'yong'ye
君子中庸,jun'zi'zhong'yong
君子遵道而行,jun'zi'zun'dao'er'xing
考诸三王而不缪,kao'zhu'san'wang'er'bu'miu
可离非道也,ke'li'fei'dao'ye
可以能行焉,ke'yi'neng'xing'yan
可以前知,ke'yi'qian'zhi
可一言而尽也,ke'yi'yan'er'jin'ye
可以与知焉,ke'yi'yu'zhi'yan
可以赞天地之化育,ke'yi'zan'tian'di'zhi'hua'yu
可与入德矣,ke'yu'ru'de'yi
恐惧乎其所不闻,kong'ju'hu'qi'suo'bu'wen
宽柔以教,kuan'rou'yi'jiao
宽裕温柔,kuan'yu'wen'rou
昆弟也,kun'di'ye
来百工也,lai'bai'gong'ye
来百工则财用足,lai'bai'gong'ze'cai'yong'zu
乐尔妻帑,le'er'qi'tang
礼所生也,li'suo'sheng'ye
立天下之大本,li'tian'xia'zhi'da'ben
力行近乎仁,li'xing'jin'hu'ren
礼仪三百,li'yi'san'bai
旅酬下为上,lv'chou'xia'wei'shang
毛犹有伦,mao'you'you'lun
民不可得而治矣,min'bu'ke'de'er'zhi'yi
民鲜能久矣,min'xian'neng'jiu'yi
明辨之,ming'bian'zhi
明乎郊社之礼,ming'hu'jiao'she'zhi'li
明也,ming'ye
明则诚矣,ming'ze'cheng'yi
明则动,ming'ze'dong
莫不尊亲,mo'bu'zun'qin
莫见乎隐,mo'jian'hu'yin
莫显乎微,mo'xian'hu'wei
末也,mo'ye
南方之强也,nan'fang'zhi'qiang'ye
南方之强与,nan'fang'zhi'qiang'yu
能尽其性,neng'jin'qi'xing
能尽人之性,neng'jin'ren'zhi'xing
能尽物之性,neng'jin'wu'zhi'xing
睨而视之,ni'er'shi'zhi
朋友之交也,peng'you'zhi'jiao'ye
辟如登高必自卑,pi'ru'deng'gao'bi'zi'bei
辟如四时之错行,pi'ru'si'shi'zhi'cuo'xing
辟如天地之无不持载,pi'ru'tian'di'zhi'wu'bu'chi'zai
辟如行远必自迩,pi'ru'xing'yuan'bi'zi'er
溥博如天,pu'bo'ru'tian
溥博渊泉,pu'bo'yuan'quan
蒲卢也,pu'lu'ye
杞不足徵也,qi'bu'zu'zheng'ye
其次致曲,qi'ci'zhi'qu
其此之谓与,qi'ci'zhi'wei'yu
其达孝矣乎,qi'da'xiao'yi'hu
其寡过矣乎,qi'gua'guo'yi'hu
齐明盛服,qi'ming'sheng'fu
其默足以容,qi'mo'zu'yi'rong
其人存,qi'ren'cun
其人亡,qi'ren'wang
其盛矣乎,qi'sheng'yi'hu
其孰能知之,qi'shu'neng'zhi'zhi
其斯以为舜乎,qi'si'yi'wei'shun'hu
其唯人之所不见乎,qi'wei'ren'zhi'suo'bu'jian'hu
其惟文王乎,qi'wei'wen'wang'hu
其为物不贰,qi'wei'wu'bu'er
其言足以兴,qi'yan'zu'yi'xing
其则不远,qi'ze'bu'yuan
期之丧,qi'zhi'sang
齐庄中正,qi'zhuang'zhong'zheng
妻子好合,qi'zi'hao'he
潜虽伏矣,qian'sui'fu'yi
强哉矫,qiang'zai'jiao
亲亲为大,qin'qin'wei'da
亲亲也,qin'qin'ye
亲亲则诸父昆弟不怨,qin'qin'ze'zhu'fu'kun'di'bu'yuan
亲亲之杀,qin'qin'zhi'sha
禽兽居之,qin'shou'ju'zhi
倾者覆之,qing'zhe'fu'zhi
丘未能一焉,qiu'wei'neng'yi'yan
去谗远色,qu'chan'yuan'se
驱而纳诸罟擭陷阱之中,qu'er'na'zhu'gu'huo'xian'jing'zhi'zhong
曲能有诚,qu'neng'you'cheng
取人以身,qu'ren'yi'shen
人道敏政,ren'dao'min'zheng
人皆曰予知,ren'jie'yue'yu'zhi
衽金革,ren'jin'ge
人力所通,ren'li'suo'tong
人莫不饮食也,ren'mo'bu'yin'shi'ye
人十能之己千之,ren'shi'neng'zhi'ji'qian'zhi
人一能之己百之,ren'yi'neng'zhi'ji'bai'zhi
人犹有所憾,ren'you'you'suo'han
仁者人也,ren'zhe'ren'ye
人之道也,ren'zhi'dao'ye
人之为道而远人,ren'zhi'wei'dao'er'yuan'ren
日省月试,ri'xing'yue'shi
日月所照,ri'yue'suo'zhao
日月星辰系焉,ri'yue'xing'chen'xi'yan
柔远人也,rou'yuan'ren'ye
柔远人则四方归之,rou'yuan'ren'ze'si'fang'gui'zhi
如此者,ru'ci'zhe
如此者不见而章,ru'ci'zhe'bu'jian'er'zhang
如鼓瑟琴,ru'gu'se'qin
如日月之代明,ru'ri'yue'zhi'dai'ming
如在其左右,ru'zai'qi'zuo'you
三年之丧,san'nian'zhi'sang
三者天下之达德也,san'zhe'tian'xia'zhi'da'de'ye
善必先知之,shan'bi'xian'zhi'zhi
善继人之志,shan'ji'ren'zhi'zhi
善述人之事者也,shan'shu'ren'zhi'shi'zhe'ye
尚不愧于屋漏,shang'bu'kui'yu'wu'lou
上不怨天,shang'bu'yuan'tian
上律天时,shang'lv'tian'shi
上祀先公以天子之礼,shang'si'xian'gong'yi'tian'zi'zhi'li
上天之载,shang'tian'zhi'zai
上焉者虽善无徵,shang'yan'zhe'sui'shan'wu'zheng
设其裳衣,she'qi'shang'yi
射有似乎君子,she'you'si'hu'jun'zi
身不失天下之显名,shen'bu'shi'tian'xia'zhi'xian'ming
矧可射思,shen'ke'she'si
慎思之,shen'si'zhi
审问之,shen'wen'zhi
神之格思,shen'zhi'ge'si
生乎今之世,sheng'hu'jin'zhi'shi
圣人也,sheng'ren'ye
圣人之道洋洋乎,sheng'ren'zhi'dao'yang'yang'hu
声色之于以化民,sheng'se'zhi'yu'yi'hua'min
是故居上不骄,shi'gu'ju'shang'bu'jiao
是故君子不赏而民劝,shi'gu'jun'zi'bu'shang'er'min'quan
是故君子诚之为贵,shi'gu'jun'zi'cheng'zhi'wei'gui
是故君子动而世为天下道,shi'gu'jun'zi'dong'er'shi'wei'tian'xia'dao
是故君子笃恭而天下平,shi'gu'jun'zi'du'gong'er'tian'xia'ping
是故君子戒慎乎其所不睹,shi'gu'jun'zi'jie'shen'hu'qi'suo'bu'du
施及蛮貊,shi'ji'man'mo
时靡有争,shi'mi'you'zheng
事前定则不困,shi'qian'ding'ze'bu'kun
时使薄敛,shi'shi'bo'lian
事死如事生,shi'si'ru'shi'sheng
使天下之人齐明盛服,shi'tian'xia'zhi'ren'qi'ming'sheng'fu
事亡如事存,shi'wang'ru'shi'cun
是以声名洋溢乎中国,shi'yi'sheng'ming'yang'yi'hu'zhong'guo
诗曰,shi'yue
诗云,shi'yun
视之而弗见,shi'zhi'er'fu'jian
施诸己而不愿,shi'zhu'ji'er'bu'yuan
失诸正鹄,shi'zhu'zheng'hu
受禄于天,shou'lu'yu'tian
庶几夙夜,shu'ji'su'ye
书同文,shu'tong'wen
率性之谓道,shuai'xing'zhi'wei'dao
霜露所队,shuang'lu'suo'dui
舜好问而好察迩言,shun'hao'wen'er'hao'cha'er'yan
顺乎亲有道,shun'hu'qin'you'dao
舜其大孝也与,shun'qi'da'xiao'ye'yu
舜其大知也与,shun'qi'da'zhi'ye'yu
死而不厌,si'er'bu'yan
斯礼也,si'li'ye
思事亲,si'shi'qin
思修身,si'xiu'shen
斯昭昭之多,si'zhao'zhao'zhi'duo
思之弗得,si'zhi'fu'de
思知人,si'zhi'ren
送往迎来,song'wang'ying'lai
素富贵,su'fu'gui
素患难行乎患难,su'huan'nan'xing'hu'huan'nan
素贫贱,su'pin'jian
素夷狄,su'yi'di
素隐行怪,su'yin'xing'guai
虽柔必强,sui'rou'bi'qiang
虽圣人亦有所不能焉,sui'sheng'ren'yi'you'suo'bu'neng'yan
虽圣人亦有所不知焉,sui'sheng'ren'yi'you'suo'bu'zhi'yan
虽有其德,sui'you'qi'de
虽有其位,sui'you'qi'wei
虽愚必明,sui'yu'bi'ming
所求乎臣,suo'qiu'hu'chen
所求乎弟,suo'qiu'hu'di
所求乎朋友,suo'qiu'hu'peng'you
所求乎子,suo'qiu'hu'zi
所以辨贵贱也,suo'yi'bian'gui'jian'ye
所以辨贤也,suo'yi'bian'xian'ye
所以成物也,suo'yi'cheng'wu'ye
所以逮贱也,suo'yi'dai'jian'ye
所以怀诸侯也,suo'yi'huai'zhu'hou'ye
所以劝百工也,suo'yi'quan'bai'gong'ye
所以劝百姓也,suo'yi'quan'bai'xing'ye
所以劝大臣也,suo'yi'quan'da'chen'ye
所以劝亲亲也,suo'yi'quan'qin'qin'ye
所以劝士也,suo'yi'quan'shi'ye
所以劝贤也,suo'yi'quan'xian'ye
所以柔远人也,suo'yi'rou'yuan'ren'ye
所以事上帝也,suo'yi'shi'shang'di'ye
所以祀乎其先也,suo'yi'si'hu'qi'xian'ye
所以行之者三,suo'yi'xing'zhi'zhe'san
所以行之者一也,suo'yi'xing'zhi'zhe'yi'ye
所以修身也,suo'yi'xiu'shen'ye
所以序齿也,suo'yi'xu'chi'ye
所以序昭穆也,suo'yi'xu'zhao'mu'ye
体群臣也,ti'qun'chen'ye
体群臣则士之报礼重,ti'qun'chen'ze'shi'zhi'bao'li'zhong
体物而不可遗,ti'wu'er'bu'ke'yi
天地位焉,tian'di'wei'yan
天地之大也,tian'di'zhi'da'ye
天地之道,tian'di'zhi'dao
天命之谓性,tian'ming'zhi'wei'xing
天下国家可均也,tian'xia'guo'jia'ke'jun'ye
天下莫能破焉,tian'xia'mo'neng'po'yan
天下莫能载焉,tian'xia'mo'neng'zai'yan
天下之大本也,tian'xia'zhi'da'ben'ye
天下之达道五,tian'xia'zhi'da'dao'wu
天下之达道也,tian'xia'zhi'da'dao'ye
天之道也,tian'zhi'dao'ye
天之所覆,tian'zhi'suo'fu
听之而弗闻,ting'zhi'er'fu'wen
同其好恶,tong'qi'hao'wu
万物并育而不相害,wan'wu'bing'yu'er'bu'xiang'hai
万物覆焉,wan'wu'fu'yan
万物育焉,wan'wu'yu'yan
万物载焉,wan'wu'zai'yan
王季,wang'ji
王天下有三重焉,wang'tian'xia'you'san'chong'yan
为能尽其性,wei'neng'jin'qi'xing
为能经纶天下之大经,wei'neng'jing'lun'tian'xia'zhi'da'jing
未能也,wei'neng'ye
唯圣者能之,wei'sheng'zhe'neng'zhi
唯天下至诚,wei'tian'xia'zhi'cheng
唯天下至诚为能化,wei'tian'xia'zhi'cheng'wei'neng'hua
唯天下至圣为能聪明睿知,wei'tian'xia'zhi'sheng'wei'neng'cong'ming'rui'zhi
惟天之命,wei'tian'zhi'ming
为下不倍,wei'xia'bu'bei
威仪三千,wei'yi'san'qian
谓之和,wei'zhi'he
谓之中,wei'zhi'zhong
温而理,wen'er'li
温故而知新,wen'gu'er'zhi'xin
文理密察,wen'li'mi'cha
文王之德之纯,wen'wang'zhi'de'zhi'chun
文王之绪,wen'wang'zhi'xu
文武之政,wen'wu'zhi'zheng
问之弗知,wen'zhi'fu'zhi
我知之矣,wo'zhi'zhi'yi
无不覆帱,wu'bu'fu'chou
吾从周,wu'cong'zhou
无恶于志,wu'e'yu'zhi
吾弗能已矣,wu'fu'neng'yi'yi
吾弗为之矣,wu'fu'wei'zhi'yi
无贵贱一也,wu'gui'jian'yi'ye
无声无臭,wu'sheng'wu'xiu
吾说夏礼,wu'shuo'xia'li
武王,wu'wang
武王末受命,wu'wang'mo'shou'ming
武王缵大王,wu'wang'zuan'da'wang
无为而成,wu'wei'er'cheng
吾学殷礼,wu'xue'yin'li
吾学周礼,wu'xue'zhou'li
无忧者,wu'you'zhe
五者天下之达道也,wu'zhe'tian'xia'zhi'da'dao'ye
无徵不信,wu'zheng'bu'xin
武之德,wu'zhi'de
喜怒哀乐之未发,xi'nu'ai'le'zhi'wei'fa
下不尤人,xia'bu'you'ren
下袭水土,xia'xi'shui'tu
下焉者虽善不尊,xia'yan'zhe'sui'shan'bu'zun
鲜能知味也,xian'neng'zhi'wei'ye
先施之,xian'shi'zhi
宪宪令德,xian'xian'ling'de
宪章文武,xian'zhang'wen'wu
贤者过之,xian'zhe'guo'zhi
相在尔室,xiang'zai'er'shi
小德川流,xiao'de'chuan'liu
小人而无忌惮也,xiao'ren'er'wu'ji'dan'ye
小人反中庸,xiao'ren'fan'zhong'yong
小人行险以徼幸,xiao'ren'xing'xian'yi'jiao'xing
小人之道,xiao'ren'zhi'dao
小人之中庸也,xiao'ren'zhi'zhong'yong'ye
孝之至也,xiao'zhi'zhi'ye
信乎朋友有道,xin'hu'peng'you'you'dao
行而民莫不说,xing'er'min'mo'bu'shuo
行而世为天下法,xing'er'shi'wei'tian'xia'fa
行顾言,xing'gu'yan
行乎富贵,xing'hu'fu'gui
行乎贫贱,xing'hu'pin'jian
行乎夷狄,xing'hu'yi'di
行其礼,xing'qi'li
行前定则不疚,xing'qian'ding'ze'bu'jiu
行同伦,xing'tong'lun
形则著,xing'ze'zhu
性之德也,xing'zhi'de'ye
行之弗笃,xing'zhi'fu'du
兄弟既翕,xiong'di'ji'xi
修道以仁,xiu'dao'yi'ren
修道之谓教,xiu'dao'zhi'wei'jiao
修身也,xiu'shen'ye
修身以道,xiu'shen'yi'dao
修身则道立,xiu'shen'ze'dao'li
序爵,xu'jue
序事,xu'shi
学之弗能,xue'zhi'fu'neng
言而民莫不信,yan'er'min'mo'bu'xin
言而世为天下则,yan'er'shi'wei'tian'xia'ze
言顾行,yan'gu'xing
燕毛,yan'mao
言其上下察也,yan'qi'shang'xia'cha'ye
言前定则不跲,yan'qian'ding'ze'bu'jie
洋洋乎如在其上,yang'yang'hu'ru'zai'qi'shang
以保其身,yi'bao'qi'shen
亦不敢作礼乐焉,yi'bu'gan'zuo'li'yue'yan
以承祭祀,yi'cheng'ji'si
一撮土之多,yi'cuo'tu'zhi'duo
抑而强与,yi'er'qiang'yu
宜尔室家,yi'er'shi'jia
衣锦尚絅,yi'jin'shang'jiong
一卷石之多,yi'juan'shi'zhi'duo
亦孔之昭,yi'kong'zhi'zhao
宜民宜人,yi'min'yi'ren
壹戎衣而有天下,yi'rong'yi'er'you'tian'xia
一勺之多,yi'shao'zhi'duo
以事父,yi'shi'fu
以事君,yi'shi'jun
以事兄,yi'shi'xiong
以王季为父,yi'wang'ji'wei'fu
亦勿施于人,yi'wu'shi'yu'ren
以武王为子,yi'wu'wang'wei'zi
一也,yi'ye
以永终誉,yi'yong'zhong'yu
义者宜也,yi'zhe'yi'ye
隐恶而扬善,yin'e'er'yang'shan
庸德之行,yong'de'zhi'xing
用其中于民,yong'qi'zhong'yu'min
庸言之谨,yong'yan'zhi'jin
有弗辨,you'fu'bian
有弗思,you'fu'si
有弗问,you'fu'wen
有弗行,you'fu'xing
有弗学,you'fu'xue
悠久所以成物也,you'jiu'suo'yi'cheng'wu'ye
悠久无疆,you'jiu'wu'jiang
有宋存焉,you'song'cun'yan
有所不足,you'suo'bu'zu
悠也,you'ye
犹以为远,you'yi'wei'yuan
优优大哉,you'you'da'zai
有余,you'yu
悠远则博厚,you'yuan'ze'bo'hou
鱼鳖生焉,yu'bie'sheng'yan
愚而好自用,yu'er'hao'zi'yong
于乎不显,yu'hu'bu'xian
予怀明德,yu'huai'ming'de
于穆不已,yu'mu'bu'yi
语小,yu'xiao
鱼跃于渊,yu'yue'yu'yuan
愚者不及也,yu'zhe'bu'ji'ye
鸢飞戾天,yuan'fei'li'tian
渊泉如渊,yuan'quan'ru'yuan
渊渊其渊,yuan'yuan'qi'yuan
远之则有望,yuan'zhi'ze'you'wang
在彼无恶,zai'bi'wu'e
在此无射,zai'ci'wu'yi
载华岳而不重,zai'hua'yue'er'bu'zhong
灾及其身者也,zai'ji'qi'shen'zhe'ye
在上位不陵下,zai'shang'wei'bu'ling'xia
在下位不获乎上,zai'xia'wei'bu'huo'hu'shang
在下位不援上,zai'xia'wei'bu'yuan'shang
葬以大夫,zang'yi'dai'fu
葬以士,zang'yi'shi
造端乎夫妇,zao'duan'hu'fu'fu
择乎中庸,ze'hu'zhong'yong
则可以与天地参矣,ze'ke'yi'yu'tian'di'can'yi
则可以赞天地之化育,ze'ke'yi'zan'tian'di'zhi'hua'yu
则能尽人之性,ze'neng'jin'ren'zhi'xing
则能尽物之性,ze'neng'jin'wu'zhi'xing
则其生物不测,ze'qi'sheng'wu'bu'ce
则其政举,ze'qi'zheng'ju
则其政息,ze'qi'zheng'xi
则拳拳服膺弗失之矣,ze'quan'quan'fu'ying'fu'shi'zhi'yi
择善而固执之者也,ze'shan'er'gu'zhi'zhi'zhe'ye
则无怨,ze'wu'yuan
则知所以修身,ze'zhi'suo'yi'xiu'shen
则知所以治人,ze'zhi'suo'yi'zhi'ren
则知所以治天下国家矣,ze'zhi'suo'yi'zhi'tian'xia'guo'jia'yi
振河海而不泄,zhen'he'hai'er'bu'xie
正己而不求于人,zheng'ji'er'bu'qiu'yu'ren
征则悠远,zheng'ze'you'yuan
徵诸庶民,zheng'zhu'shu'min
至诚之道,zhi'cheng'zhi'dao
知耻近乎勇,zhi'chi'jin'hu'yong
至道不凝焉,zhi'dao'bu'ning'yan
知风之自,zhi'feng'zhi'zi
致广大而尽精微,zhi'guang'da'er'jin'jing'wei
治国其如示诸掌乎,zhi'guo'qi'ru'shi'zhu'zhang'hu
执柯以伐柯,zhi'ke'yi'fa'ke
