罢其,ba'qi
巧说,qiao'shuo
巧说邪辞,qiao'shuo'xie'ci
秦隶书,qin'li'shu
秦烧灭经书,qin'shao'mie'jing'shu
秦始皇,qin'shi'huang
秦始皇初始天下,qin'shi'huang'chu'shi'tian'xia
秦始皇帝,qin'shi'huang'di
秦始皇帝使下杜人程邈所作也,qin'shi'huang'di'shi'xia'du'ren'cheng'miao'suo'zuo'ye
秦书有八体,qin'shu'you'ba'ti
秦文,qin'wen
取譬相成,qu'pi'xiang'cheng
取诸夬,qu'zhu'jue
阙文,que'wen
群书所载,qun'shu'suo'zai
人持十,ren'chi'shi
人持十为斗,ren'chi'shi'wei'dou
人用己私,ren'yong'ji'si
日繁,ri'fan
日月,ri'yue
日月是也,ri'yue'shi'ye
如也,ru'ye
若此者,ruo'ci'zhe
若此者甚众,ruo'ci'zhe'shen'zhong
三曰刻符,san'yue'ke'fu
三曰形声,san'yue'xing'sheng
三曰篆书,san'yue'zhuan'shu
善野言,shan'ye'yan
尚书,shang'shu
上下,shang'xia
上下是也,shang'xia'shi'ye
甚众,shen'zhong
圣人之微恉,sheng'ren'zhi'wei'zhi
使大司空甄丰等校文书之部,shi'da'si'kong'zhen'feng'deng'xiao'wen'shu'zhi'bu
视而,shi'er
视而可识,shi'er'ke'shi
是非无正,shi'fei'wu'zheng
施禄及下,shi'lu'ji'xia
始试,shi'shi
是时,shi'shi
是时秦烧灭经书,shi'shi'qin'shao'mie'jing'shu
使天下学者疑,shi'tian'xia'xue'zhe'yi
饰伪,shi'wei
饰伪萌生,shi'wei'meng'sheng
十五篇,shi'wu'pian
是也,shi'ye
时有六书,shi'you'liu'shu
史籀大篆,shi'zhou'da'zhuan
述春秋传,shu'chun'qiu'chuan
书幡信也,shu'fan'xin'ye
书或不正,shu'huo'bu'zheng
书六经,shu'liu'jing
书契,shu'qi
殳书,shu'shu
署书,shu'shu
殊体,shu'ti
庶业,shu'ye
庶业其繁,shu'ye'qi'fan
书曰,shu'yue
书者,shu'zhe
朔日,shuo'ri
说文解字叙,shuo'wen'jie'zi'xu
说字解经,shuo'zi'jie'jing
四曰虫书,si'yue'chong'shu
四曰会意,si'yue'hui'yi
四曰佐书,si'yue'zuo'shu
斯作仓颉篇,si'zuo'cang'jie'pian
俗儒鄙夫,su'ru'bi'fu
俗儒鄙夫翫其所习,su'ru'bi'fu'wan'qi'suo'xi
虽叵复见远流,sui'po'fu'jian'yuan'liu
随体,sui'ti
随体诘诎,sui'ti'ji'qu
虽有尉律,sui'you'wei'lv
所谓,suo'wei
所谓小篆者也,suo'wei'xiao'zhuan'zhe'ye
所以摹印也,suo'yi'mo'yin'ye
所以施禄及下,suo'yi'shi'lu'ji'xia
所以书幡信也,suo'yi'shu'fan'xin'ye
所载,suo'zai
太史令胡毋敬,tai'shi'ling'hu'wu'jing
太史令胡毋敬作博学篇,tai'shi'ling'hu'wu'jing'zuo'bo'xue'pian
太史籀,tai'shi'zhou
蹄迒,ti'hang
蹄迒之迹,ti'hang'zhi'ji
田畴,tian'chou
田畴异亩,tian'chou'yi'mu
廷尉说律,ting'wei'shuo'lv
通仓颉读者,tong'cang'jie'du'zhe
统其事,tong'qi'shi
通人,tong'ren
同焉,tong'yan
同意相受,tong'yi'xiang'shou
托事,tuo'shi
万品,wan'pin
万品以察,wan'pin'yi'cha
翫其所习,wan'qi'suo'xi
万物咸赌,wan'wu'xian'du
万原,wan'yuan
王天下,wang'tian'xia
亡新居摄,wang'xin'ju'she
王者朝廷,wang'zhe'chao'ting
王政之始,wang'zheng'zhi'shi
未尝覩字例之条,wei'chang'du'zi'li'zhi'tiao
尉律,wei'lv
猥曰,wei'yue
微恉,wei'zhi
谓之书,wei'zhi'shu
谓之文,wei'zhi'wen
谓之字,wei'zhi'zi
文者,wen'zhe
文字,wen'zi
文字异形,wen'zi'yi'xing
文字者,wen'zi'zhe
渥衍沛滂,wo'yan'pei'pang
五帝三王之世,wu'di'san'wang'zhi'shi
五千三百四十字,wu'qian'san'bai'si'shi'zi
物象之本,wu'xiang'zhi'ben
武信,wu'xin
武信是也,wu'xin'shi'ye
吾犹及史之阙文,wu'you'ji'shi'zhi'que'wen
五曰缪篆,wu'yue'miu'zhuan
五曰摹印,wu'yue'mo'yin
五曰转注,wu'yue'zhuan'zhu
昔者,xi'zhe
献春秋左氏传,xian'chun'qiu'zuo'shi'zhuan
宪象,xian'xiang
乡壁,xiang'bi
乡壁虚造不可知之书,xiang'bi'xu'zao'bu'ke'zhi'zhi'shu
相别异,xiang'bie'yi
象形,xiang'xing
象形者,xiang'xing'zhe
孝经,xiao'jing
孝平时,xiao'ping'shi
校文书之部,xiao'wen'shu'zhi'bu
孝宣时,xiao'xuan'shi
小学不修,xiao'xue'bu'xiu
小学元士,xiao'xue'yuan'shi
晓学者,xiao'xue'zhe
小篆者也,xiao'zhuan'zhe'ye
邪辞,xie'ci
信而有证,xin'er'you'zheng
形声,xing'sheng
形声相益,xing'sheng'xiang'yi
形声者,xing'sheng'zhe
兴役戍,xing'yi'shu
虚造不可知之书,xu'zao'bu'ke'zhi'zhi'shu
喧称秦之隶书为仓颉时书,xuan'cheng'qin'zhi'li'shu'wei'cang'jie'shi'shu
宣教明化,xuan'jiao'ming'hua
宣教明化于王者朝廷,xuan'jiao'ming'hua'yu'wang'zhe'chao'ting
宣王太史籀,xuan'wang'tai'shi'zhou
学童十七以上,xue'tong'shi'qi'yi'shang
学童十七以上始试,xue'tong'shi'qi'yi'shang'shi'shi
训纂篇,xun'zuan'pian
言必遵修旧文而不穿凿,yan'bi'zun'xiu'jiu'wen'er'bu'chuan'zao
炎神,yan'shen
言文者,yan'wen'zhe
言语,yan'yu
言语异声,yan'yu'yi'sheng
言孳乳而浸多也,yan'zi'ru'er'jin'duo'ye
仰则,yang'ze
仰则观象于天,yang'ze'guan'xiang'yu'tian
耀于世,yao'yu'shi
易八卦,yi'ba'gua
以八体试之,yi'ba'ti'shi'zhi
以察,yi'cha
以垂,yi'chui
以垂宪象,yi'chui'xian'xiang
异法,yi'fa
衣冠,yi'guan
衣冠异制,yi'guan'yi'zhi
异轨,yi'gui
以见,yi'jian
以见指撝,yi'jian'zhi'hui
依类象形,yi'lei'xiang'xing
以礼为,yi'li'wei
以礼为小学元士,yi'li'wei'xiao'xue'yuan'shi
异亩,yi'mu
亦能言,yi'neng'yan
亦能言之,yi'neng'yan'zhi
以其所知为秘妙,yi'qi'suo'zhi'wei'mi'miao
以迄五帝三王之世,yi'qi'wu'di'san'wang'zhi'shi
以趣约易,yi'qu'yue'yi
依声,yi'sheng
异声,yi'sheng
依声托事,yi'sheng'tuo'shi
以事为名,yi'shi'wei'ming
役戍,yi'shu
亦往往于山川得鼎彝,yi'wang'wang'yu'shan'chuan'de'ding'yi
以为好奇者也,yi'wei'hao'qi'zhe'ye
异形,yi'xing
以耀于世,yi'yao'yu'shi
一曰大篆,yi'yue'da'zhuan
一曰古文,yi'yue'gu'wen
一曰指事,yi'yue'zhi'shi
异制,yi'zhi
以字断法,yi'zi'duan'fa
因号古帝之所作也,yin'hao'gu'di'zhi'suo'zuo'ye
殷中,yin'zhong
又北平侯张苍献,you'bei'ping'hou'zhang'cang'xian
又见仓颉篇中幼子承诏,you'jian'cang'jie'pian'zhong'you'zi'cheng'zhao
又以八体试之,you'yi'ba'ti'shi'zhi
幼子承诏,you'zi'cheng'zhao
与古文或异,yu'gu'wen'huo'yi
于是始作,yu'shi'shi'zuo
于是始作易八卦,yu'shi'shi'zuo'yi'ba'gua
予欲观古人之象,yu'yu'guan'gu'ren'zhi'xiang
爰历篇,yuan'li'pian
爰明,yuan'ming
爰明以谕,yuan'ming'yi'yu
远取诸物,yuan'qu'zhu'wu
造书契,zao'shu'qi
张敞从受之,zhang'chang'cong'shou'zhi
召通仓颉读者,zhao'tong'cang'jie'du'zhe
辄举劾之,zhe'ju'he'zhi
征礼等百馀人,zheng'li'deng'bai'yu'ren
征礼等百馀人令说文字未央廷中,zheng'li'deng'bai'yu'ren'ling'shuo'wen'zi'wei'yang'ting'zhong
知分理之可相别异也,zhi'fen'li'zhi'ke'xiang'bie'yi'ye
知化穷冥,zhi'hua'qiong'ming
指撝,zhi'hui
止句,zhi'ju
之可,zhi'ke
至孔子,zhi'kong'zi
至孔子书六经,zhi'kong'zi'shu'liu'jing
指事,zhi'shi
指事者,zhi'shi'zhe
知天下之至啧,zhi'tian'xia'zhi'zhi'ze
知天下之至啧而不可乱也,zhi'tian'xia'zhi'zhi'ze'er'bu'ke'luan'ye
至以字断法,zhi'yi'zi'duan'fa
至于小大,zhi'yu'xiao'da
中车府令,zhong'che'fu'ling
中车府令赵高,zhong'che'fu'ling'zhao'gao
中车府令赵高作爰历篇,zhong'che'fu'ling'zhao'gao'zuo'yuan'li'pian
周官,zhou'guan
周礼,zhou'li
周礼八岁入小学,zhou'li'ba'sui'ru'xiao'xue
著大篆,zhu'da'zhuan
诸侯力政,zhu'hou'li'zheng
诸生竞说字解经,zhu'sheng'jing'shuo'zi'jie'jing
著于竹帛,zhu'yu'zhu'bo
著于竹帛谓之书,zhu'yu'zhu'bo'wei'zhi'shu
转注,zhuan'zhu
转注者,zhuan'zhu'zhe
自尔,zi'er
自尔秦书有八体,zi'er'qin'shu'you'ba'ti
孳乳,zi'ru
孳乳而浸多,zi'ru'er'jin'duo
孳乳而浸多也,zi'ru'er'jin'duo'ye
自以为应制,zi'yi'wei'ying'zhi
字者,zi'zhe
奏同之,zou'tong'zhi
最者以为尚书史,zui'zhe'yi'wei'shang'shu'shi
遵修旧文,zun'xiu'jiu'wen
遵修旧文而不穿凿,zun'xiu'jiu'wen'er'bu'chuan'zao
作博学篇,zuo'bo'xue'pian
作仓颉篇,zuo'cang'jie'pian
作颇,zuo'po
作颇改定古文,zuo'po'gai'ding'gu'wen
左丘明述春秋传,zuo'qiu'ming'shu'chun'qiu'chuan
左氏,zuo'shi
佐书,zuo'shu
作爰历篇,zuo'yuan'li'pian
