艾夫斯,ai'fu'si
黑龙关,hei'long'guan
恒富,heng'fu
红洞,hong'dong
红豆人,hong'dou'ren
洪二,hong'er
洪洞,hong'tong
洪洞吧,hong'tong'ba
洪洞的,hong'tong'de
洪洞了,hong'tong'le
洪洞县,hong'tong'xian
红卫厂,hong'wei'chang
红卫路,hong'wei'lu
红五,hong'wu
红五图库,hong'wu'tu'ku
洪一,hong'yi
侯北,hou'bei
侯村,hou'cun
侯马,hou'ma
侯马吧,hou'ma'ba
侯马北,hou'ma'bei
侯马的,hou'ma'de
侯马了,hou'ma'le
侯马呢,hou'ma'ne
侯马人,hou'ma'ren
侯马市,hou'ma'shi
侯马一中,hou'ma'yi'zhong
侯马站,hou'ma'zhan
胡吃,hu'chi
胡吃点,hu'chi'dian
胡吃了,hu'chi'le
胡吃了点,hu'chi'le'dian
胡村,hu'cun
胡干,hu'gan
壶口,hu'kou
花果街,hua'guo'jie
滑轮厅,hua'lun'ting
华尧,hua'yao
华远名邸,hua'yuan'ming'di
华州路,hua'zhou'lu
槐角丸,huai'jiao'wan
还迁,huan'qian
皇城霸,huang'cheng'ba
皇城相府,huang'cheng'xiang'fu
黄芪口服液,huang'qi'kou'fu'ye
浍滨,hui'bin
浍滨街,hui'bin'jie
回村了,hui'cun'le
回村里,hui'cun'li
浍河,hui'he
回侯马,hui'hou'ma
回临汾,hui'lin'fen
回临汾了,hui'lin'fen'le
回坡底,hui'po'di
回恰,hui'qia
会校,hui'xiao
混炒,hun'chao
霍州,huo'zhou
霍州吧,huo'zhou'ba
霍州的,huo'zhou'de
霍州了,huo'zhou'le
霍州煤电,huo'zhou'mei'dian
霍州市,huo'zhou'shi
几点了呢,ji'dian'le'ne
几点走呢,ji'dian'zou'ne
鸡块面,ji'kuai'mian
吉县,ji'xian
吉祥花园,ji'xiang'hua'yuan
贾村,jia'cun
贾得,jia'de
贾得乡,jia'de'xiang
家福乐,jia'fu'le
家家利,jia'jia'li
家思博尔,jia'si'bo'er
健康合理,jian'kang'he'li
见了说,jian'le'shuo
绛县,jiang'xian
教科局,jiao'ke'ju
教授花园,jiao'shou'hua'yuan
教育宾馆,jiao'yu'bin'guan
借不下,jie'bu'xia
金百度,jin'bai'du
金殿镇,jin'dian'zhen
金家酒,jin'jia'jiu
锦悦城,jin'yue'cheng
景毛,jing'mao
就佛,jiu'fo
就临汾,jiu'lin'fen
就呢吧,jiu'ne'ba
就是了么,jiu'shi'le'me
就是呢么,jiu'shi'ne'me
就是说么,jiu'shi'shuo'me
就在临汾,jiu'zai'lin'fen
九州广场,jiu'zhou'guang'chang
九州花园,jiu'zhou'hua'yuan
君鸿,jun'hong
君爵,jun'jue
开元街,kai'yuan'jie
看的啥电视,kan'de'sha'dian'shi
科奥,ke'ao
可不求,ke'bu'qiu
可不是的,ke'bu'shi'de
可不是啥,ke'bu'shi'sha
可不是啥呢,ke'bu'shi'sha'ne
可不咋,ke'bu'za
克城,ke'cheng
课二,ke'er
磕服,ke'fu
可幻,ke'huan
科委巷,ke'wei'xiang
可笑么,ke'xiao'me
可笑呢,ke'xiao'ne
课一,ke'yi
可以改善,ke'yi'gai'shan
口服,kou'fu
快点这,kuai'dian'zhe
会计之星,kuai'ji'zhi'xing
快你妈点,kuai'ni'ma'dian
来侯马,lai'hou'ma
来临汾,lai'lin'fen
来曲沃,lai'qu'wo
来山西,lai'shan'xi
来我家来,lai'wo'jia'lai
莱茵半岛,lai'yin'ban'dao
老拜,lao'bai
涝河,lao'he
老老的,lao'lao'de
老鼠街,lao'shu'jie
老四川,lao'si'chuan
乐彩网,le'cai'wang
乐客,le'ke
雷黑子,lei'hei'zi
李曹,li'cao
李曹镇,li'cao'zhen
里村,li'cun
里么,li'me
李雅庄,li'ya'zhuang
礼元,li'yuan
莲花家园,lian'hua'jia'yuan
联校,lian'xiao
连心桥,lian'xin'qiao
凉面皮,liang'mian'pi
凉皮面,liang'pi'mian
聊女,liao'nv
淋巴结肿大,lin'ba'jie'zhong'da
临纺,lin'fang
临汾,lin'fen
临汾啊,lin'fen'a
临汾吧,lin'fen'ba
临汾到,lin'fen'dao
临汾的,lin'fen'de
临汾地区,lin'fen'di'qu
临汾号,lin'fen'hao
临汾啦,lin'fen'la
临汾了,lin'fen'le
临汾吗,lin'fen'ma
临汾么,lin'fen'me
临汾那,lin'fen'na
临汾哪的,lin'fen'na'de
临汾哪里,lin'fen'na'li
临汾哪里的,lin'fen'na'li'de
临汾呢,lin'fen'ne
临汾人,lin'fen'ren
临汾三中,lin'fen'san'zhong
临汾市,lin'fen'shi
临汾市尧都区,lin'fen'shi'yao'du'qu
临汾天气,lin'fen'tian'qi
临汾学院,lin'fen'xue'yuan
临汾呀,lin'fen'ya
临汾一中,lin'fen'yi'zhong
临汾有,lin'fen'you
临汾站,lin'fen'zhan
临钢,lin'gang
临开,lin'kai
临开一中,lin'kai'yi'zhong
临一,lin'yi
临一中,lin'yi'zhong
领导组,ling'dao'zu
刘村,liu'cun
刘村镇,liu'cun'zhen
刘家垣,liu'jia'yuan
刘家庄,liu'jia'zhuang
隆化镇,long'hua'zhen
龙牡壮骨颗粒,long'mu'zhuang'gu'ke'li
陆合,lu'he
芦荟凝胶,lu'hui'ning'jiao
锣鼓大桥,luo'gu'da'qiao
锣鼓桥,luo'gu'qiao
氯雷他定胶囊,lv'lei'ta'ding'jiao'nang
买饼子,mai'bing'zi
买下车,mai'xia'che
买下拉,mai'xia'la
买下了,mai'xia'le
买下了吗,mai'xia'le'ma
买下了么,mai'xia'le'me
买下票,mai'xia'piao
买下票了,mai'xia'piao'le
麦香斯,mai'xiang'si
慢咽舒宁冲剂,man'yan'shu'ning'chong'ji
莽河,mang'he
美得美,mei'de'mei
美的美,mei'di'mei
没电动,mei'dian'dong
眉户,mei'hu
煤化巷,mei'hua'xiang
美了么,mei'le'me
没买下,mei'mai'xia
煤气化,mei'qi'hua
没事可,mei'shi'ke
煤销,mei'xiao
没心劲,mei'xin'jin
没找下,mei'zhao'xia
绵山,mian'shan
明姜镇,ming'jiang'zhen
明天多会,ming'tian'duo'hui
馍花,mo'hua
馍馍菜,mo'mo'cai
磨盘岭,mo'pan'ling
莫沙必利片,mo'sha'bi'li'pian
没收上,mo'shou'shang
木材巷,mu'cai'xiang
木法子,mu'fa'zi
木唠叨,mu'lao'dao
哪的呢,na'de'ne
那多会,na'duo'hui
那会不在,na'hui'bu'zai
那会打电话,na'hui'da'dian'hua
哪了呢,na'le'ne
那你多会,na'ni'duo'hui
那是啥呢,na'shi'sha'ne
那有啥呢,na'you'sha'ne
男宝胶囊,nan'bao'jiao'nang
南机场,nan'ji'chang
南贾,nan'jia
南街小学,nan'jie'xiao'xue
南寿城,nan'shou'cheng
南外环,nan'wai'huan
南西庄,nan'xi'zhuang
南下庄,nan'xia'zhuang
南孝,nan'xiao
南辛店,nan'xin'dian
南垣,nan'yuan
内分泌失调引起,nei'fen'mi'shi'tiao'yin'qi
能买下,neng'mai'xia
能死了,neng'si'le
能咋呢,neng'za'ne
能找见,neng'zhao'jian
能找下,neng'zhao'xia
你多会,ni'duo'hui
你多会回,ni'duo'hui'hui
你多会回来,ni'duo'hui'hui'lai
你多会回来呢,ni'duo'hui'hui'lai'ne
你多会开学,ni'duo'hui'kai'xue
你多回来,ni'duo'hui'lai
你多回去,ni'duo'hui'qu
你多会睡,ni'duo'hui'shui
你多会走,ni'duo'hui'zou
你干嘛着呢,ni'gan'ma'zhe'ne
你跟谁呢,ni'gen'shui'ne
你和谁呢,ni'he'shui'ne
你和谁在家,ni'he'shui'zai'jia
你侯马,ni'hou'ma
你家俩,ni'jia'lia
你叫啥呢,ni'jiao'sha'ne
你来临汾,ni'lai'lin'fen
你临汾,ni'lin'fen
尼玛白,ni'ma'bai
你买下,ni'mai'xia
你买下了,ni'mai'xia'le
你们多会,ni'men'duo'hui
你们多会开学,ni'men'duo'hui'kai'xue
你哪的呢,ni'na'de'ne
你内会,ni'nei'hui
你去临汾,ni'qu'lin'fen
你去太原,ni'qu'tai'yuan
你啥意思呢,ni'sha'yi'si'ne
你是临汾,ni'shi'lin'fen
你是临汾的,ni'shi'lin'fen'de
你是哪的呢,ni'shi'na'de'ne
你是谁呢,ni'shi'shui'ne
你谁呢,ni'shui'ne
你说多会,ni'shuo'duo'hui
你死恰,ni'si'qia
你要咋,ni'yao'za
你要咋呢,ni'yao'za'ne
你咋了呢,ni'za'le'ne
你咋呢,ni'za'ne
你在村里,ni'zai'cun'li
你在侯马,ni'zai'hou'ma
你在临汾,ni'zai'lin'fen
你在太原,ni'zai'tai'yuan
你在运城,ni'zai'yun'cheng
你真尼玛,ni'zhen'ni'ma
你作业完了吗,ni'zuo'ye'wan'le'ma
牛肉丸子,niu'rou'wan'zi
牛肉丸子面,niu'rou'wan'zi'mian
弄不下,nong'bu'xia
排毒养颜胶囊,pai'du'yang'yan'jiao'nang
胖女,pang'nv
脾肾两助丸,pi'shen'liang'zhu'wan
脾胃虚弱,pi'wei'xu'ruo
飘字,piao'zi
撇打,pie'da
撇会,pie'hui
撇呢,pie'ne
撇女,pie'nv
撇天,pie'tian
撇一会,pie'yi'hui
平阳北街,ping'yang'bei'jie
平阳的,ping'yang'de
平阳鼓楼,ping'yang'gu'lou
平阳广场,ping'yang'guang'chang
平阳南街,ping'yang'nan'jie
平阳中学,ping'yang'zhong'xue
普国,pu'guo
普救寺,pu'jiu'si
蒲剧,pu'ju
蒲县,pu'xian
蒲县的,pu'xian'de
骑电动,qi'dian'dong
七里峪,qi'li'yu
恰吧,qia'ba
千江水,qian'jiang'shui
乔村,qiao'cun
乔家湾,qiao'jia'wan
乔家庄,qiao'jia'zhuang
乔李镇,qiao'li'zhen
乔忠延,qiao'zhong'yan
亲宝贝,qin'bao'bei
秦壁,qin'bi
沁春园,qin'chun'yuan
秦村,qin'cun
亲疙瘩,qin'ge'da
秦蜀路,qin'shu'lu
请不下假,qing'bu'xia'jia
清淡容易消化,qing'dan'rong'yi'xiao'hua
轻工城,qing'gong'cheng
青狮,qing'shi
青狮北街,qing'shi'bei'jie
青狮街,qing'shi'jie
清之颜胶囊,qing'zhi'yan'jiao'nang
曲村,qu'cun
去洪洞,qu'hong'tong
去侯马,qu'hou'ma
龋坏,qu'huai
去霍州,qu'huo'zhou
去了太原,qu'le'tai'yuan
去临汾,qu'lin'fen
去临汾了,qu'lin'fen'le
去曲沃,qu'qu'wo
去太原,qu'tai'yuan
去太原了,qu'tai'yuan'le
曲亭,qu'ting
曲亭水库,qu'ting'shui'ku
曲亭镇,qu'ting'zhen
曲沃,qu'wo
曲沃吧,qu'wo'ba
曲沃的,qu'wo'de
曲沃了,qu'wo'le
曲沃县,qu'wo'xian
去襄汾,qu'xiang'fen
去运城,qu'yun'cheng
热水泡脚,re'shui'pao'jiao
惹下了,re'xia'le
人多多的,ren'duo'duo'de
人多里,ren'duo'li
人家你,ren'jia'ni
人祖山,ren'zu'shan
乳酸菌素颗粒,ru'suan'jun'su'ke'li
赛克,sai'ke
三多乡,san'duo'xiang
三合家园,san'he'jia'yuan
三交河,san'jiao'he
三毛图库,san'mao'tu'ku
扫家,sao'jia
啥饭呢,sha'fan'ne
山焦,shan'jiao
山西侯马,shan'xi'hou'ma
山西临汾,shan'xi'lin'fen
山西人事,shan'xi'ren'shi
山西人事考试网,shan'xi'ren'shi'kao'shi'wang
山西省,shan'xi'sheng
山西省临汾市,shan'xi'sheng'lin'fen'shi
山西师大,shan'xi'shi'da
山西师范,shan'xi'shi'fan
山西师范大学,shan'xi'shi'fan'da'xue
山西网通一,shan'xi'wang'tong'yi
山西一,shan'xi'yi
山西招生,shan'xi'zhao'sheng
山西招生考试网,shan'xi'zhao'sheng'kao'shi'wang
山西招生网,shan'xi'zhao'sheng'wang
上班着呢,shang'ban'zhe'ne
上课着呢,shang'ke'zhe'ne
上礼,shang'li
伸筋活络丸,shen'jin'huo'luo'wan
肾精不足,shen'jing'bu'zu
参苓白术散,shen'ling'bai'zhu'san
肾气不固证,shen'qi'bu'gu'zheng
肾阳不足,shen'yang'bu'zu
圣佛,sheng'fo
生理现象,sheng'li'xian'xiang
是啊不是呢,shi'a'bu'shi'ne
是不是呢,shi'bu'shi'ne
史村,shi'cun
史村镇,shi'cun'zhen
师大后门,shi'da'hou'men
是多会,shi'duo'hui
十凤,shi'feng
市府路,shi'fu'lu
世纪百悦,shi'ji'bai'yue
是临汾,shi'lin'fen
是么吧,shi'me'ba
是呢吧,shi'ne'ba
是呀不是,shi'ya'bu'shi
是呀不是呢,shi'ya'bu'shi'ne
是这话,shi'zhe'hua
兽霸,shou'ba
收不上,shou'bu'shang
手机不合适,shou'ji'bu'he'shi
收上了,shou'shang'le
收拾家呢,shou'shi'jia'ne
输药,shu'yao
刷牙漱口,shua'ya'shu'kou
涮锅,shuan'guo
双合成,shuang'he'cheng
双唑泰栓,shuang'zuo'tai'shuan
水车巷,shui'che'xiang
水滴石,shui'di'shi
水果蔬菜,shui'guo'shu'cai
睡觉家,shui'jiao'jia
睡觉恰,shui'jiao'qia
睡觉着呢,shui'jiao'zhe'ne
水门街,shui'men'jie
睡恰,shui'qia
谁说的呢,shui'shuo'de'ne
睡下了么,shui'xia'le'me
谁也帮不了你,shui'ye'bang'bu'liao'ni
谁有狙,shui'you'ju
说不哈,shuo'bu'ha
说不下,shuo'bu'xia
说的啥呢,shuo'de'sha'ne
思麦尔,si'mai'er
死女子,si'nv'zi
死恰,si'qia
苏堡,su'bao
苏村,su'cun
苏三监狱,su'san'jian'yu
孙堡,sun'bao
所家伙,suo'jia'huo
所在大区,suo'zai'da'qu
太林,tai'lin
太原回来,tai'yuan'hui'lai
太原么,tai'yuan'me
太原呢,tai'yuan'ne
太子滩,tai'zi'tan
唐城镇,tang'cheng'zhen
淘气里,tao'qi'li
淘气呢,tao'qi'ne
陶唐峪,tao'tang'yu
提村,ti'cun
提肛运动,ti'gang'yun'dong
替硝唑胶囊,ti'xiao'zuo'jiao'nang
体育北街,ti'yu'bei'jie
体育街,ti'yu'jie
体育运动,ti'yu'yun'dong
铁锅门,tie'guo'men
婷吧,ting'ba
停点,ting'dian
通才,tong'cai
同盛,tong'sheng
同盛福,tong'sheng'fu
同世达,tong'shi'da
头不在,tou'bu'zai
土门镇,tu'men'zhen
土窑,tu'yao
团柏,tuan'bai
退沙,tui'sha
屯里,tun'li
屯里镇,tun'li'zhen
娃蛋,wa'dan
娃家,wa'jia
瓦窑头,wa'yao'tou
外你可,wai'ni'ke
万家福,wan'jia'fu
万鑫达,wan'xin'da
丸子面,wan'zi'mian
尉村,wei'cun
魏村镇,wei'cun'zhen
卫生习惯,wei'sheng'xi'guan
文城,wen'cheng
文锦苑,wen'jin'yuan
我爱见,wo'ai'jian
我大爸,wo'da'ba
我到临汾了,wo'dao'lin'fen'le
我等你这,wo'deng'ni'zhe
我电动,wo'dian'dong
我多会,wo'duo'hui
我洪洞,wo'hong'tong
我侯马,wo'hou'ma
我老拜,wo'lao'bai
我临汾,wo'lin'fen
我临汾的,wo'lin'fen'de
我买下,wo'mai'xia
我买下了,wo'mai'xia'le
我内会,wo'nei'hui
我你可,wo'ni'ke
我骑电动,wo'qi'dian'dong
我去临汾,wo'qu'lin'fen
我去太原,wo'qu'tai'yuan
我山西,wo'shan'xi
我山西的,wo'shan'xi'de
我是临汾,wo'shi'lin'fen
我是临汾的,wo'shi'lin'fen'de
我是山西的,wo'shi'shan'xi'de
我睡觉家,wo'shui'jiao'jia
我说么,wo'shuo'me
我熄火,wo'xi'huo
我熄火的,wo'xi'huo'de
我小爸,wo'xiao'ba
我咋呢,wo'za'ne
我在村里,wo'zai'cun'li
我在洪洞,wo'zai'hong'tong
我在侯马,wo'zai'hou'ma
我在霍州,wo'zai'huo'zhou
我在临汾,wo'zai'lin'fen
我在临汾呢,wo'zai'lin'fen'ne
我在曲沃,wo'zai'qu'wo
我在山西,wo'zai'shan'xi
我找不下,wo'zhao'bu'xia
吴村,wu'cun
吴村镇,wu'cun'zhen
五道庙,wu'dao'miao
无聊的不行,wu'liao'de'bu'xing
梧桐苑,wu'tong'yuan
五味子糖浆,wu'wei'zi'tang'jiang
五一东路,wu'yi'dong'lu
五一西路,wu'yi'xi'lu
无语了就,wu'yu'le'jiu
席村,xi'cun
喜得龙,xi'de'long
西关口,xi'guan'kou
稀活,xi'huo
熄火的,xi'huo'de
熄火地,xi'huo'di
熄火死了,xi'huo'si'le
西街小学,xi'jie'xiao'xue
西芦,xi'lu
西南街,xi'nan'jie
隰县,xi'xian
下高,xia'gao
下临汾,xia'lin'fen
下庄,xia'zhuang
现代文理学院,xian'dai'wen'li'xue'yuan
县底,xian'di
县底镇,xian'di'zhen
仙洞沟,xian'dong'gou
先平,xian'ping
想不下,xiang'bu'xia
襄汾,xiang'fen
襄汾的,xiang'fen'de
襄汾了,xiang'fen'le
襄汾县,xiang'fen'xian
襄高,xiang'gao
襄陵镇,xiang'ling'zhen
乡宁,xiang'ning
乡宁的,xiang'ning'de
乡宁县,xiang'ning'xian
响水河,xiang'shui'he
乡贤街,xiang'xian'jie
向阳路,xiang'yang'lu
向阳西路,xiang'yang'xi'lu
小爸,xiao'ba
小不理,xiao'bu'li
小不下,xiao'bu'xia
小儿健脾散,xiao'er'jian'pi'san
小郭跑腿,xiao'guo'pao'tui
小活络丸大蜜丸,xiao'huo'luo'wan'da'mi'wan
新东城,xin'dong'cheng
新绛,xin'jiang
辛辣刺激生冷,xin'la'ci'ji'sheng'leng
新丽都,xin'li'du
心里烦的,xin'li'fan'de
新田路,xin'tian'lu
新田市场,xin'tian'shi'chang
新银河,xin'yin'he
新英,xin'ying
辛置矿,xin'zhi'kuang
辛置镇,xin'zhi'zhen
幸福湾,xing'fu'wan
星原,xing'yuan
血不安神,xue'bu'an'shen
血不养发,xue'bu'yang'fa
薛关,xue'guan
雪花山,xue'hua'shan
薛家大院,xue'jia'da'yuan
血虚,xue'xu
郇村,xun'cun
熏面,xun'mian
呀呢,ya'ne
亚特兰,ya'te'lan
丫丫滴,ya'ya'di
牙周宁胶囊,ya'zhou'ning'jiao'nang
淹底,yan'di
炎立消胶囊,yan'li'xiao'jiao'nang
杨家庄,yang'jia'zhuang
杨谈,yang'tan
杨天天,yang'tian'tian
养心安神丸,yang'xin'an'shen'wan
养血生发胶囊,yang'xue'sheng'fa'jiao'nang
尧都,yao'du
尧都驾校,yao'du'jia'xiao
尧都区,yao'du'qu
尧丰,yao'feng
尧丰市场,yao'feng'shi'chang
要里,yao'li
尧陵,yao'ling
尧庙,yao'miao
尧庙镇,yao'miao'zhen
尧神,yao'shen
尧乡,yao'xiang
尧苑,yao'yuan
要咋呢,yao'za'ne
也找不下,ye'zhao'bu'xia
翼城,yi'cheng
翼城的,yi'cheng'de
翼城县,yi'cheng'xian
一胆,yi'dan
漪汾花园,yi'fen'hua'yuan
衣服回来了,yi'fu'hui'lai'le
翼钢,yi'gang
一个这,yi'ge'zhe
一会晚上,yi'hui'wan'shang
一会下午,yi'hui'xia'wu
一级路,yi'ji'lu
一级路口,yi'ji'lu'kou
一平垣,yi'ping'yuan
益气养血口服液,yi'qi'yang'xue'kou'fu'ye
一尊皇牛,yi'zun'huang'niu
银河超市,yin'he'chao'shi
印染巷,yin'ran'xiang
饮食习惯,yin'shi'xi'guan
迎春北街,ying'chun'bei'jie
迎春街,ying'chun'jie
哟得,yo'de
永和县,yong'he'xian
呦得,you'de
有句没,you'ju'mei
有临汾,you'lin'fen
悠悠地,you'you'di
御景水城,yu'jing'shui'cheng
俞育红,yu'yu'hong
浴园,yu'yuan
运城的,yun'cheng'de
运城了,yun'cheng'le
云丘山,yun'qiu'shan
咋爸,za'ba
咋啦呢,za'la'ne
咋了呢,za'le'ne
咋里呢,za'li'ne
咋妈,za'ma
咋呢,za'ne
在百汇,zai'bai'hui
在村里呢,zai'cun'li'ne
在浮山,zai'fu'shan
在古县,zai'gu'xian
在河津,zai'he'jin
在洪洞,zai'hong'tong
在侯马,zai'hou'ma
在霍州,zai'huo'zhou
在家坐着,zai'jia'zuo'zhe
在临汾,zai'lin'fen
在临汾了,zai'lin'fen'le
在临汾呢,zai'lin'fen'ne
在蒲县,zai'pu'xian
在曲沃,zai'qu'wo
在太原呢,zai'tai'yuan'ne
在襄汾,zai'xiang'fen
在乡宁,zai'xiang'ning
在翼城,zai'yi'cheng
早回来的,zao'hui'lai'de
遭死了,zao'si'le
怎么啦呢,zen'me'la'ne
怎么里呢,zen'me'li'ne
找不下,zhao'bu'xia
赵城,zhao'cheng
赵城镇,zhao'cheng'zhen
赵家庄,zhao'jia'zhuang
找见了吗,zhao'jian'le'ma
找下了,zhao'xia'le
