爱国诗人,ai'guo'shi'ren
的胜利,de'sheng'li
的时代,de'shi'dai
的势力,de'shi'li
的他,de'ta
的贪欲,de'tan'yu
的通道,de'tong'dao
的土地,de'tu'di
的武官,de'wu'guan
的新障碍,de'xin'zhang'ai
的行动,de'xing'dong
的需求,de'xu'qiu
的学者,de'xue'zhe
得意地想到,de'yi'de'xiang'dao
的阴谋,de'yin'mou
的真正意图,de'zhen'zheng'yi'tu
的支持下,de'zhi'chi'xia
的中兴,de'zhong'xing
的主战场,de'zhu'zhan'chang
的最高武官,de'zui'gao'wu'guan
的尊严,de'zun'yan
等二十城,deng'er'shi'cheng
等国,deng'guo
等刑,deng'xing
第二年就,di'er'nian'jiu
帝号,di'hao
第四次,di'si'ci
第一个强国,di'yi'ge'qiang'guo
第一个统一的,di'yi'ge'tong'yi'de
地主政权,di'zhu'zheng'quan
调动军队,diao'dong'jun'dui
订补,ding'bu
定都邯郸,ding'du'han'dan
定名,ding'ming
定是经过,ding'shi'jing'guo
定是他,ding'shi'ta
东方各个,dong'fang'ge'ge
东方国家,dong'fang'guo'jia
东方六国,dong'fang'liu'guo
东西对峙,dong'xi'dui'zhi
动摇军心,dong'yao'jun'xin
东垣,dong'yuan
东周公,dong'zhou'gong
东周公治下,dong'zhou'gong'zhi'xia
东周时期,dong'zhou'shi'qi
东周战国七雄,dong'zhou'zhan'guo'qi'xiong
都将,dou'jiang
都城在,du'cheng'zai
都江堰,du'jiang'yan
堵塞私门,du'se'si'men
都尉,du'wei
短长,duan'chang
对犯罪予以,dui'fan'zui'yu'yi
对方君主,dui'fang'jun'zhu
对其它,dui'qi'ta
对秦的,dui'qin'de
对人才,dui'ren'cai
对胜利的,dui'sheng'li'de
对外用兵,dui'wai'yong'bing
多民族的,duo'min'zu'de
夺其,duo'qi
鹅毛大雪,e'mao'da'xue
二百三十次,er'bai'san'shi'ci
二百五十五年,er'bai'wu'shi'wu'nian
二地,er'di
而定出这种,er'ding'chu'zhe'zhong
而那支,er'na'zhi
二强平分,er'qiang'ping'fen
而让,er'rang
二十八年,er'shi'ba'nian
二十二年,er'shi'er'nian
二十六年,er'shi'liu'nian
二十年,er'shi'nian
二十三年,er'shi'san'nian
二十四年,er'shi'si'nian
二十五年,er'shi'wu'nian
二十一年,er'shi'yi'nian
发兵,fa'bing
发兵攻秦,fa'bing'gong'qin
伐楚,fa'chu
发动合纵,fa'dong'he'zong
伐韩,fa'han
法经,fa'jing
法令由一统,fa'ling'you'yi'tong
法律系统化,fa'lv'xi'tong'hua
伐宋,fa'song
发展经济,fa'zhan'jing'ji
发展水利,fa'zhan'shui'li
反包围,fan'bao'wei
反间计,fan'jian'ji
范雎,fan'ju
反秦,fan'qin
反围在,fan'wei'zai
繁阳,fan'yang
犯赵,fan'zhao
方城,fang'cheng
放弃原定的,fang'qi'yuan'ding'de
废除贵族的,fei'chu'gui'zu'de
废除了,fei'chu'le
废帝号,fei'di'hao
奋发图强,fen'fa'tu'qiang
分封制,fen'feng'zhi
分化六国合纵,fen'hua'liu'guo'he'zong
粉碎了,fen'sui'le
封建官僚制度,feng'jian'guan'liao'zhi'du
封君,feng'jun
俸禄开支,feng'lu'kai'zhi
封其弟于唐,feng'qi'di'yu'tang
封为,feng'wei
富国强兵,fu'guo'qiang'bing
负黍,fu'shu
富庶的,fu'shu'de
赋税收入,fu'shui'shou'ru
改车战,gai'che'zhan
改传统的,gai'chuan'tong'de
改为给以,gai'wei'gei'yi
高诱,gao'you
各霸一方,ge'ba'yi'fang
割地给魏赵,ge'di'gei'wei'zhao
各国变法,ge'guo'bian'fa
各国次一级,ge'guo'ci'yi'ji
各国争相,ge'guo'zheng'xiang
各级官府,ge'ji'guan'fu
各级官吏,ge'ji'guan'li
各有封地,ge'you'feng'di
各诸侯国,ge'zhu'hou'guo
根本就无足惧,gen'ben'jiu'wu'zu'ju
更不说影响到,geng'bu'shuo'ying'xiang'dao
更加强了,geng'jia'qiang'le
更为普遍,geng'wei'pu'bian
更远处,geng'yuan'chu
更远处那条,geng'yuan'chu'na'tiao
更制定了,geng'zhi'ding'le
攻楚,gong'chu
攻打魏国,gong'da'wei'guo
攻秦,gong'qin
攻取楚国的,gong'qu'chu'guo'de
攻取魏,gong'qu'wei
攻入了关中,gong'ru'le'guan'zhong
公室,gong'shi
公叔,gong'shu
公孙衍,gong'sun'yan
公孙衍的策略,gong'sun'yan'de'ce'lue
共同霸主,gong'tong'ba'zhu
攻西周,gong'xi'zhou
攻下来了,gong'xia'lai'le
攻陷的消息,gong'xian'de'xiao'xi
巩邑,gong'yi
攻占赵军,gong'zhan'zhao'jun
攻赵,gong'zhao
共主地位,gong'zhu'di'wei
公族,gong'zu
古国名,gu'guo'ming
古荆州,gu'jing'zhou
鼓励臣民进谏,gu'li'chen'min'jin'jian
孤立对方,gu'li'dui'fang
固着到土地上,gu'zhuo'dao'tu'di'shang
贯彻执行,guan'che'zhi'xing
贯耳,guan'er
官吏世袭,guan'li'shi'xi
管叔,guan'shu
关心国事,guan'xin'guo'shi
广招宾客,guang'zhao'bin'ke
桂陵之战,gui'ling'zhi'zhan
贵族特权,gui'zu'te'quan
国策,guo'ce
国家的,guo'jia'de
国君,guo'jun
国君的,guo'jun'de
国君对,guo'jun'dui
国君之手,guo'jun'zhi'shou
国君之下,guo'jun'zhi'xia
国内大乱,guo'nei'da'luan
过三代,guo'san'dai
国事,guo'shi
国相,guo'xiang
国相子之,guo'xiang'zi'zhi
国在燕国之西,guo'zai'yan'guo'zhi'xi
还隔着一道,hai'ge'zhe'yi'dao
海内为郡县,hai'nei'wei'jun'xian
还是我,hai'shi'wo
还魏,hai'wei
还用,hai'yong
韩哀侯韩屯蒙,han'ai'hou'han'tun'meng
邯郸之战,han'dan'zhi'zhan
韩悼襄王,han'dao'xiang'wang
韩都城,han'du'cheng
韩废王,han'fei'wang
寒风的卷积下,han'feng'de'juan'ji'xia
韩共侯韩若山,han'gong'hou'han'ruo'shan
函谷之坚,han'gu'zhi'jian
韩国,han'guo
韩国的,han'guo'de
韩国国土,han'guo'guo'tu
韩国君主,han'guo'jun'zhu
韩桓惠王韩然,han'huan'hui'wang'han'ran
韩景侯韩虔,han'jing'hou'han'qian
韩厘侯韩武,han'li'hou'han'wu
韩厘王韩咎,han'li'wang'han'jiu
韩烈侯韩取,han'lie'hou'han'qu
韩王安韩安,han'wang'an'han'an
韩威侯韩康,han'wei'hou'han'kang
捍卫了赵,han'wei'le'zhao
韩文侯韩猷,han'wen'hou'han'you
韩武侯,han'wu'hou
韩襄哀王,han'xiang'ai'wang
韩襄王韩仓,han'xiang'wang'han'cang
韩宣惠王,han'xuan'hui'wang
韩宣王,han'xuan'wang
韩懿侯,han'yi'hou
韩原,han'yuan
韩昭侯,han'zhao'hou
韩赵魏,han'zhao'wei
韩赵魏三家分晋,han'zhao'wei'san'jia'fen'jin
韩贞子,han'zhen'zi
韩之兵,han'zhi'bing
汉中地六百里,han'zhong'di'liu'bai'li
韩庄侯,han'zhuang'hou
号唐叔,hao'tang'shu
好在黄天,hao'zai'huang'tian
河北西部,he'bei'xi'bu
和国土,he'guo'tu
河津县东北,he'jin'xian'dong'bei
河南北部,he'nan'bei'bu
和南部,he'nan'bu
和农业生产,he'nong'ye'sheng'chan
和市被,he'shi'bei
和他的,he'ta'de
合围之,he'wei'zhi
合纵,he'zong
合纵攻秦,he'zong'gong'qin
黑色粗线,hei'se'cu'xian
横扫六国,heng'sao'liu'guo
鸿沟,hong'gou
泓水,hong'shui
后半期,hou'ban'qi
后方基地,hou'fang'ji'di
后改成晋,hou'gai'cheng'jin
后来的,hou'lai'de
后迁至,hou'qian'zhi
后转至楚,hou'zhuan'zhi'chu
湖北全部,hu'bei'quan'bu
胡服骑射,hu'fu'qi'she
互相承认,hu'xiang'cheng'ren
互相争斗,hu'xiang'zheng'dou
呼啸的北风,hu'xiao'de'bei'feng
欢呼声,huan'hu'sheng
缓缓投向,huan'huan'tou'xiang
黄金钱币,huang'jin'qian'bi
黄歇,huang'xie
恢复和发展,hui'fu'he'fa'zhan
会合燕赵等,hui'he'yan'zhao'deng
辉煌的,hui'huang'de
惠施,hui'shi
回师勤王,hui'shi'qin'wang
惠文君,hui'wen'jun
或称国尉,huo'cheng'guo'wei
获得了一个,huo'de'le'yi'ge
镬烹之刑,huo'peng'zhi'xing
或赏给,huo'shang'gei
即今山西,ji'jin'shan'xi
寄居于,ji'ju'yu
几十万人,ji'shi'wan'ren
几万至,ji'wan'zhi
继位的,ji'wei'de
稷下,ji'xia
继续作战,ji'xu'zuo'zhan
给予士大夫的,ji'yu'shi'da'fu'de
集中力量,ji'zhong'li'liang
集中于,ji'zhong'yu
急骤膨胀,ji'zhou'peng'zhang
甲兵,jia'bing
加固壁垒,jia'gu'bi'lei
加重处罚,jia'zhong'chu'fa
监察之任,jian'cha'zhi'ren
渐渐势弱,jian'jian'shi'ruo
建立了,jian'li'le
建立武卒,jian'li'wu'zu
减轻或,jian'qing'huo
建三川郡,jian'san'chuan'jun
坚毅的目光,jian'yi'de'mu'guang
建议与魏,jian'yi'yu'wei
将国都迁至,jiang'guo'du'qian'zhi
将军队,jiang'jun'dui
将军市被,jiang'jun'shi'bei
将劳动者,jiang'lao'dong'zhe
奖励军功,jiang'li'jun'gong
将王位让给,jiang'wang'wei'rang'gei
将相分职,jiang'xiang'fen'zhi
将有关,jiang'you'guan
结党进攻,jie'dang'jin'gong
接着在,jie'zhe'zai
进步和繁荣,jin'bu'he'fan'rong
今残缺,jin'can'que
金刀等刑,jin'dao'deng'xing
今登封西南,jin'deng'feng'xi'nan
尽地力之教,jin'di'li'zhi'jiao
近二十万,jin'er'shi'wan
进攻韩国的,jin'gong'han'guo'de
晋国大夫,jin'guo'dai'fu
晋国的,jin'guo'de
晋国的六卿,jin'guo'de'liu'qing
晋国执政,jin'guo'zhi'zheng
今河北邯郸,jin'he'bei'han'dan
今河南,jin'he'nan
今河南登封东南,jin'he'nan'deng'feng'dong'nan
今河南巩县,jin'he'nan'gong'xian
今河南洛阳南,jin'he'nan'luo'yang'nan
今河南省,jin'he'nan'sheng
今人,jin'ren
近人,jin'ren
晋三分为,jin'san'fen'wei
今山西,jin'shan'xi
今山西河津县东北,jin'shan'xi'he'jin'xian'dong'bei
今山西临汾市西南,jin'shan'xi'lin'fen'shi'xi'nan
今山西南部,jin'shan'xi'nan'bu
今山西太原东南,jin'shan'xi'tai'yuan'dong'nan
近卫中军,jin'wei'zhong'jun
进行变法,jin'xing'bian'fa
进行的变法,jin'xing'de'bian'fa
进行改革,jin'xing'gai'ge
进行以,jin'xing'yi
进行政治改革,jin'xing'zheng'zhi'gai'ge
进一步使,jin'yi'bu'shi
今尹,jin'yin
金正炜,jin'zheng'wei
禁止私门请托,jin'zhi'si'men'qing'tuo
荆楚,jing'chu
竟会有,jing'hui'you
经济实力,jing'ji'shi'li
经济迅速发展,jing'ji'xun'su'fa'zhan
荆轲,jing'ke
竟然在,jing'ran'zai
经云中,jing'yun'zhong
旧都,jiu'du
旧都雍城,jiu'du'yong'cheng
就攻取,jiu'gong'qu
旧贵族,jiu'gui'zu
就会定下,jiu'hui'ding'xia
旧势力,jiu'shi'li
就是整整,jiu'shi'zheng'zheng
具法,ju'fa
聚是村落,ju'shi'cun'luo
据统计,ju'tong'ji
绝非是,jue'fei'shi
绝无他人,jue'wu'ta'ren
军队出,jun'dui'chu
军事进攻,jun'shi'jin'gong
军事实力,jun'shi'shi'li
郡县的设置,jun'xian'de'she'zhi
军心大乱,jun'xin'da'luan
君主,jun'zhu
君主集权制,jun'zhu'ji'quan'zhi
开到洛阳,kai'dao'luo'yang
开始设,kai'shi'she
开始算起,kai'shi'suan'qi
客卿,ke'qing
可是处在,ke'shi'chu'zai
可以再次看到,ke'yi'zai'ci'kan'dao
恐怕更,kong'pa'geng
控制和瓜分,kong'zhi'he'gua'fen
刳腹系狱,ku'fu'xi'yu
扩充领地,kuo'chong'ling'di
扩建位于,kuo'jian'wei'yu
扩张领土,kuo'zhang'ling'tu
嫪毐,lao'ai
了长平,le'chang'ping
乐乘,le'cheng
李克,li'ke
李悝,li'kui
李悝变法,li'kui'bian'fa
李悝改革,li'kui'gai'ge
李牧,li'mu
李牧攻占,li'mu'gong'zhan
李牧军,li'mu'jun
李牧率,li'mu'lv
李牧骑军,li'mu'qi'jun
历史的大潮,li'shi'de'da'chao
历史翻开了,li'shi'fan'kai'le
历史时期,li'shi'shi'qi
离魏至楚,li'wei'zhi'chu
礼贤下士,li'xian'xia'shi
立一年而卒,li'yi'nian'er'zu
里有里正,li'you'li'zheng
联合伐齐,lian'he'fa'qi
联合攻楚,lian'he'gong'chu
联合攻齐,lian'he'gong'qi
联合攻秦,lian'he'gong'qin
联合抗秦,lian'he'kang'qin
联合齐,lian'he'qi
联合五国,lian'he'wu'guo
联合诸侯,lian'he'zhu'hou
连横,lian'heng
连年征战,lian'nian'zheng'zhan
廉颇,lian'po
联齐抗秦,lian'qi'kang'qin
联秦抗齐,lian'qin'kang'qi
连坐之法,lian'zuo'zhi'fa
两大罪状,liang'da'zui'zhuang
两支秦军,liang'zhi'qin'jun
邻近的国家,lin'jin'de'guo'jia
蔺相如,lin'xiang'ru
临淄的,lin'zi'de
领军十万,ling'jun'shi'wan
六国,liu'guo
六国年表,liu'guo'nian'biao
六卿,liu'qing
刘向,liu'xiang
鲁国的,lu'guo'de
鲁穆公,lu'mu'gong
陆续形成,lu'xu'xing'cheng
掠夺更多,lue'duo'geng'duo
掠夺土地,lue'duo'tu'di
洛阳一带,luo'yang'yi'dai
洛邑,luo'yi
吕不韦,lv'bu'wei
马陵之战,ma'ling'zhi'zhan
马王堆,ma'wang'dui
漫天飞舞的,man'tian'fei'wu'de
冒险突围,mao'xian'tu'wei
没有想到我的,mei'you'xiang'dao'wo'de
门下,men'xia
弭兵大会,mi'bing'da'hui
汨罗江,mi'luo'jiang
秘书称,mi'shu'cheng
勉强维持,mian'qiang'wei'chi
灭楚,mie'chu
灭东周,mie'dong'zhou
灭东周公,mie'dong'zhou'gong
灭韩,mie'han
灭齐,mie'qi
灭魏,mie'wei
灭燕,mie'yan
灭于秦国,mie'yu'qin'guo
灭赵,mie'zhao
灭郑国,mie'zheng'guo
明法审令,ming'fa'shen'ling
明法申令,ming'fa'shen'ling
名义上的,ming'yi'shang'de
缪文远,miu'wen'yuan
谋划作战,mou'hua'zuo'zhan
谋求发展,mou'qiu'fa'zhan
谋取权势,mou'qu'quan'shi
纳范雎,na'fan'ju
那里有,na'li'you
纳上郡十五县,na'shang'jun'shi'wu'xian
那是将他和,na'shi'jiang'ta'he
那些长年与,na'xie'chang'nian'yu
南北对峙,nan'bei'dui'zhi
喃喃道,nan'nan'dao
难以逾越的,nan'yi'yu'yue'de
内外夹攻,nei'wai'jia'gong
你围了我,ni'wei'le'wo
年称王,nian'cheng'wang
年轻气盛,nian'qing'qi'sheng
年在位,nian'zai'wei
牛耕的推广,niu'geng'de'tui'guang
派兵伐魏,pai'bing'fa'wei
派兵伐燕,pai'bing'fa'yan
庞煖,pang'nuan
庞煖军,pang'nuan'jun
培养弟子,pei'yang'di'zi
平籴法,ping'di'fa
平嫪毐之乱,ping'lao'ai'zhi'luan
平息了,ping'xi'le
迫使天下诸侯,po'shi'tian'xia'zhu'hou
迫使魏国,po'shi'wei'guo
铺开红色大军,pu'kai'hong'se'da'jun
濮阳,pu'yang
齐的力量,qi'de'li'liang
齐都,qi'dou
齐都临淄,qi'dou'lin'zi
七国,qi'guo
齐国,qi'guo
齐国的,qi'guo'de
齐国的力量,qi'guo'de'li'liang
齐国和秦国,qi'guo'he'qin'guo
齐国孟尝君,qi'guo'meng'chang'jun
齐国以,qi'guo'yi
七国争雄,qi'guo'zheng'xiong
齐桓公,qi'huan'gong
奇计,qi'ji
齐将,qi'jiang
齐军,qi'jun
齐军从燕国,qi'jun'cong'yan'guo
骑军过万,qi'jun'guo'wan
齐康公,qi'kang'gong
齐愍王,qi'min'wang
其它各国,qi'ta'ge'guo
其它诸侯国,qi'ta'zhu'hou'guo
齐威王,qi'wei'wang
其下有伍什,qi'xia'you'wu'shen
七雄之一,qi'xiong'zhi'yi
齐宣王,qi'xuan'wang
齐与楚结盟,qi'yu'chu'jie'meng
齐与秦抗衡,qi'yu'qin'kang'heng
签订盟约,qian'ding'meng'yue
迁都于陈,qian'du'yu'chen
迁新郑,qian'xin'zheng
迁移到,qian'yi'dao
迁于平阳,qian'yu'ping'yang
强大的敌手,qiang'da'de'di'shou
强大攻击力,qiang'da'gong'ji'li
强大起来,qiang'da'qi'lai
强者生存,qiang'zhe'sheng'cun
秦的,qin'de
秦的郡县长官,qin'de'jun'xian'zhang'guan
秦帝国,qin'di'guo
秦帝国皇帝,qin'di'guo'huang'di
秦二世皇帝,qin'er'shi'huang'di
秦国,qin'guo
秦国本来就有,qin'guo'ben'lai'jiu'you
秦国的,qin'guo'de
秦国统一天下,qin'guo'tong'yi'tian'xia
秦国于,qin'guo'yu
秦国主帅,qin'guo'zhu'shuai
秦惠王,qin'hui'wang
秦将,qin'jiang
秦军,qin'jun
秦军攻魏,qin'jun'gong'wei
秦军击赵,qin'jun'ji'zhao
秦人的,qin'ren'de
秦人独享,qin'ren'du'xiang
秦始皇,qin'shi'huang
秦始皇帝,qin'shi'huang'di
秦始皇二十六年,qin'shi'huang'er'shi'liu'nian
秦王扫六合,qin'wang'sao'lu'he
秦王政,qin'wang'zheng
秦王政九年,qin'wang'zheng'jiu'nian
秦王政六年,qin'wang'zheng'liu'nian
秦武王,qin'wu'wang
秦相,qin'xiang
秦孝公,qin'xiao'gong
秦孝文王,qin'xiao'wen'wang
秦与阳城,qin'yu'yang'cheng
秦昭王,qin'zhao'wang
秦昭襄王,qin'zhao'xiang'wang
秦赵战争,qin'zhao'zhan'zheng
秦中军大营,qin'zhong'jun'da'ying
秦庄襄王,qin'zhuang'xiang'wang
秦庄襄王继位,qin'zhuang'xiang'wang'ji'wei
秦自孝公时,qin'zi'xiao'gong'shi
秦子婴,qin'zi'ying
亲自执掌政权,qin'zi'zhi'zhang'zheng'quan
卿大夫,qing'da'fu
庆功场,qing'gong'chang
囚法,qiu'fa
囚法和捕法,qiu'fa'he'bu'fa
取韩之,qu'han'zhi
取名,qu'ming
取魏,qu'wei
屈原,qu'yuan
全部献给秦,quan'bu'xian'gei'qin
劝告齐愍王,quan'gao'qi'min'wang
全军大败,quan'jun'da'bai
全力冲击的,quan'li'chong'ji'de
劝说齐闵王,quan'shuo'qi'min'wang
却被使用,que'bei'shi'yong
却并未废止,que'bing'wei'fei'zhi
缺佚,que'yi
然后行事,ran'hou'xing'shi
穰侯,rang'hou
让他们,rang'ta'men
绕道匈奴,rao'dao'xiong'nu
壬辰,ren'chen
人称,ren'cheng
人对峙的,ren'dui'zhi'de
人口增殖,ren'kou'zeng'zhi
任免官吏,ren'mian'guan'li
任命为,ren'ming'wei
任用李悝,ren'yong'li'kui
任用商鞅,ren'yong'shang'yang
任用吴起,ren'yong'wu'qi
任用张仪,ren'yong'zhang'yi
任用邹忌,ren'yong'zou'ji
仍相当强大,reng'xiang'dang'qiang'da
如此厉害,ru'ci'li'hai
如刀似箭,ru'dao'si'jian
如火苗一般,ru'huo'miao'yi'ban
如火墙般,ru'huo'qiang'ban
如火似炎,ru'huo'si'yan
如齐有烹,ru'qi'you'peng
如铁桶一般,ru'tie'tong'yi'ban
如野火燃烧般,ru'ye'huo'ran'shao'ban
弱者淘汰,ruo'zhe'tao'tai
三桓,san'huan
三家,san'jia
三家分晋,san'jia'fen'jin
三晋,san'jin
三晋和田氏,san'jin'he'tian'shi
三年死,san'nian'si
三日了,san'ri'le
三十六邑,san'shi'liu'yi
三十三篇,san'shi'san'pian
三族等刑,san'zu'deng'xing
杀楚将,sha'chu'jiang
杀妻求将,sha'qi'qiu'jiang
杀神,sha'shen
杀太子平,sha'tai'zi'ping
山脚下像,shan'jiao'xia'xiang
山头上,shan'tou'shang
上党,shang'dang
上党郡,shang'dang'jun
上连横之策,shang'lian'heng'zhi'ce
商人出身,shang'ren'chu'shen
商鞅,shang'yang
商鞅变法,shang'yang'bian'fa
商纣王子,shang'zhou'wang'zi
上柱国,shang'zhu'guo
设东郡,she'dong'jun
社会文明程度,she'hui'wen'ming'cheng'du
设连坐之法,she'lian'zuo'zhi'fa
身为,shen'wei
身为秦军主将,shen'wei'qin'jun'zhu'jiang
身在长平前线,shen'zai'chang'ping'qian'xian
生动悲壮的,sheng'dong'bei'zhuang'de
生活待遇,sheng'huo'dai'yu
剩下韩魏赵,sheng'xia'han'wei'zhao
是百官之长,shi'bai'guan'zhi'chang
史称秦灭六国,shi'cheng'qin'mie'liu'guo
使出的,shi'chu'de
使楚与齐绝交,shi'chu'yu'qi'jue'jiao
是对盗贼,shi'dui'dao'zei
是根据情况,shi'gen'ju'qing'kuang
十家为一什,shi'jia'wei'yi'shen
实力仅次于,shi'li'jin'ci'yu
十六年,shi'liu'nian
时期的,shi'qi'de
事秦,shi'qin
世卿世棣,shi'qing'shi'di
世卿世禄制度,shi'qing'shi'lu'zhi'du
十三岁的,shi'san'sui'de
十四国,shi'si'guo
使统治者,shi'tong'zhi'zhe
是武官之长,shi'wu'guan'zhi'chang
十五年,shi'wu'nian
实行变法,shi'xing'bian'fa
实行的,shi'xing'de
十一年,shi'yi'nian
食有劳而禄有功,shi'you'lao'er'lu'you'gong
事语,shi'yu
始于前,shi'yu'qian
什长,shi'zhang
受到挫折,shou'dao'cuo'zhe
收到了秦王,shou'dao'le'qin'wang
受到齐楚,shou'dao'qi'chu
收到秦国,shou'dao'qin'guo
受到重用,shou'dao'zhong'yong
收夺爵禄,shou'duo'jue'lu
受封于,shou'feng'yu
收复了失地,shou'fu'le'shi'di
受骗往秦,shou'pian'wang'qin
首先事秦,shou'xian'shi'qin
