白炽灯,bai'chi'deng
其他气体放电灯,qi'ta'qi'ti'fang'dian'deng
其他室内照明灯具,qi'ta'shi'nei'zhao'ming'deng'ju
其他室外照明灯具,qi'ta'shi'wai'zhao'ming'deng'ju
其他手电筒,qi'ta'shou'dian'tong
其他未分类,qi'ta'wei'fen'lei
其他指示灯具,qi'ta'zhi'shi'deng'ju
其他专门用途灯具,qi'ta'zhuan'men'yong'tu'deng'ju
气体放电灯,qi'ti'fang'dian'deng
前照灯,qian'zhao'deng
桥梁灯具,qiao'liang'deng'ju
三极电源插头,san'ji'dian'yuan'cha'tou
三极电源插座,san'ji'dian'yuan'cha'zuo
刹车灯,sha'che'deng
设备指示灯,she'bei'zhi'shi'deng
射灯,she'deng
摄影灯具,she'ying'deng'ju
摄影灯泡,she'ying'deng'pao
室内照明灯具,shi'nei'zhao'ming'deng'ju
视频插头,shi'pin'cha'tou
视频插座,shi'pin'cha'zuo
室外照明灯具,shi'wai'zhao'ming'deng'ju
手电筒,shou'dian'tong
水下灯具,shui'xia'deng'ju
水下灯泡,shui'xia'deng'pao
隧道灯具,sui'dao'deng'ju
台灯,tai'deng
太阳能灯,tai'yang'neng'deng
太阳能手电筒,tai'yang'neng'shou'dian'tong
探照灯,tan'zhao'deng
提灯,ti'deng
贴片加工,tie'pian'jia'gong
庭院灯,ting'yuan'deng
筒灯,tong'deng
头灯,tou'deng
投射灯,tou'she'deng
尾灯,wei'deng
微型灯泡,wei'xing'deng'pao
稳压器,wen'ya'qi
雾灯,wu'deng
无电源手电筒,wu'dian'yuan'shou'dian'tong
舞台灯具,wu'tai'deng'ju
无影灯,wu'ying'deng
吸顶灯,xi'ding'deng
氙气灯,xian'qi'deng
小夜灯,xiao'ye'deng
信号灯,xin'hao'deng
芯柱,xin'zhu
型荧光灯管,xing'ying'guang'deng'guan
仪表灯,yi'biao'deng
医疗灯具,yi'liao'deng'ju
音频,yin'pin
荧光粉,ying'guang'fen
应急指示灯具,ying'ji'zhi'shi'deng'ju
运动场馆灯具,yun'dong'chang'guan'deng'ju
云母片,yun'mu'pian
照明配附件,zhao'ming'pei'fu'jian
照明器材代理,zhao'ming'qi'cai'dai'li
照明器材项目合作,zhao'ming'qi'cai'xiang'mu'he'zuo
镇流器,zhen'liu'qi
支架,zhi'jia
指示灯具,zhi'shi'deng'ju
指示灯泡,zhi'shi'deng'pao
直型荧光灯管,zhi'xing'ying'guang'deng'guan
转换插座,zhuan'huan'cha'zuo
专门用途灯具,zhuan'men'yong'tu'deng'ju
转向灯,zhuan'xiang'deng
装饰灯串,zhuang'shi'deng'chuan
紫外线灯,zi'wai'xian'deng
紫外线灯管,zi'wai'xian'deng'guan
