艾滋病防治条例,ai'zi'bing'fang'zhi'tiao'li
裁决书,cai'jue'shu
采矿权,cai'kuang'quan
财贸工会,cai'mao'gong'hui
财团法人,cai'tuan'fa'ren
财务公司,cai'wu'gong'si
采信的证据,cai'xin'de'zheng'ju
财政部,cai'zheng'bu
财政赤字,cai'zheng'chi'zi
财政挤银行,cai'zheng'ji'yin'hang
财政检查工作办法,cai'zheng'jian'cha'gong'zuo'ban'fa
残疾人保障法,can'ji'ren'bao'zhang'fa
残疾人福利基金会,can'ji'ren'fu'li'ji'jin'hui
残疾人教育条例,can'ji'ren'jiao'yu'tiao'li
残疾人就业条例,can'ji'ren'jiu'ye'tiao'li
残疾人康复工作办公室,can'ji'ren'kang'fu'gong'zuo'ban'gong'shi
残疾人联合会,can'ji'ren'lian'he'hui
参事室,can'shi'shi
蚕种管理办法,can'zhong'guan'li'ban'fa
仓库防火安全管理规则,cang'ku'fang'huo'an'quan'guan'li'gui'ze
草畜平衡管理办法,cao'chu'ping'heng'guan'li'ban'fa
草拟,cao'ni
草拟股份转让协议,cao'ni'gu'fen'zhuan'rang'xie'yi
草原防火条例,cao'yuan'fang'huo'tiao'li
草原监理人员行为准则,cao'yuan'jian'li'ren'yuan'xing'wei'zhun'ze
草种管理办法,cao'zhong'guan'li'ban'fa
操纵汇率,cao'zong'hui'lv
操作弹性,cao'zuo'tan'xing
测绘成果管理条例,ce'hui'cheng'guo'guan'li'tiao'li
测绘法,ce'hui'fa
测绘局,ce'hui'ju
查封,cha'feng
查阅法条,cha'yue'fa'tiao
产品构成,chan'pin'gou'cheng
产品积压,chan'pin'ji'ya
产品瑕疵,chan'pin'xia'ci
产品责任法,chan'pin'ze'ren'fa
产品质量法,chan'pin'zhi'liang'fa
产前诊断技术管理办法,chan'qian'zhen'duan'ji'shu'guan'li'ban'fa
产权,chan'quan
产权关系,chan'quan'guan'xi
产权瑕疵,chan'quan'xia'ci
产权制度,chan'quan'zhi'du
产权转让,chan'quan'zhuan'rang
产销率,chan'xiao'lv
产销衔接,chan'xiao'xian'jie
产业政策,chan'ye'zheng'ce
长城保护条例,chang'cheng'bao'hu'tiao'li
长江河道采砂管理条例,chang'jiang'he'dao'cai'sha'guan'li'tiao'li
敞口头寸,chang'kou'tou'cun
长命契,chang'ming'qi
长期国债,chang'qi'guo'zhai
常务董事,chang'wu'dong'shi
炒股,chao'gu
车船使用税暂行条例,che'chuan'shi'yong'shui'zan'xing'tiao'li
车船税暂行条例,che'chuan'shui'zan'xing'tiao'li
撤回,che'hui
撤回上述,che'hui'shang'shu
车辆购置税暂行条例,che'liang'gou'zhi'shui'zan'xing'tiao'li
车辆识别代号管理办法,che'liang'shi'bie'dai'hao'guan'li'ban'fa
撤诉,che'su
撤消并发回给,che'xiao'bing'fa'hui'gei
撤消权,che'xiao'quan
撤销原判,che'xiao'yuan'pan
陈述,chen'shu
陈述书,chen'shu'shu
承包经营权,cheng'bao'jing'ying'quan
承担,cheng'dan
承担责任,cheng'dan'ze'ren
承典人,cheng'dian'ren
承兑票据,cheng'dui'piao'ju
惩罚与教育相结合原则,cheng'fa'yu'jiao'yu'xiang'jie'he'yuan'ze
承购包销,cheng'gou'bao'xiao
城建建材工会,cheng'jian'jian'cai'gong'hui
成品油市场管理办法,cheng'pin'you'shi'chang'guan'li'ban'fa
呈请,cheng'qing
承认,cheng'ren
承认书,cheng'ren'shu
乘人之危,cheng'ren'zhi'wei
城市道路管理条例,cheng'shi'dao'lu'guan'li'tiao'li
城市动物园管理规定,cheng'shi'dong'wu'yuan'guan'li'gui'ding
城市房地产管理法,cheng'shi'fang'di'chan'guan'li'fa
城市房屋拆迁工作规程,cheng'shi'fang'wu'chai'qian'gong'zuo'gui'cheng
城市房屋拆迁管理条例,cheng'shi'fang'wu'chai'qian'guan'li'tiao'li
城市供水水质管理规定,cheng'shi'gong'shui'shui'zhi'guan'li'gui'ding
城市公有房屋管理规定,cheng'shi'gong'you'fang'wu'guan'li'gui'ding
城市规划编制办法,cheng'shi'gui'hua'bian'zhi'ban'fa
城市规划法,cheng'shi'gui'hua'fa
城市合作银行,cheng'shi'he'zuo'yin'hang
城市黄线管理办法,cheng'shi'huang'xian'guan'li'ban'fa
城市建设总局,cheng'shi'jian'she'zong'ju
城市蓝线管理办法,cheng'shi'lan'xian'guan'li'ban'fa
城市绿线管理办法,cheng'shi'lv'xian'guan'li'ban'fa
城市排水许可管理办法,cheng'shi'pai'shui'xu'ke'guan'li'ban'fa
城市商品房预售管理法,cheng'shi'shang'pin'fang'yu'shou'guan'li'fa
城市商业银行,cheng'shi'shang'ye'yin'hang
城市私有房屋管理条例,cheng'shi'si'you'fang'wu'guan'li'tiao'li
城市危险房屋管理规定,cheng'shi'wei'xian'fang'wu'guan'li'gui'ding
城市信用社,cheng'shi'xin'yong'she
诚实仪用原则,cheng'shi'yi'yong'yuan'ze
城市住宅局,cheng'shi'zhu'zhai'ju
城市紫线管理办法,cheng'shi'zi'xian'guan'li'ban'fa
成套机电产品,cheng'tao'ji'dian'chan'pin
城乡规划法,cheng'xiang'gui'hua'fa
诚信责任,cheng'xin'ze'ren
程序法,cheng'xu'fa
城镇廉租住房管理办法,cheng'zhen'lian'zu'zhu'fang'guan'li'ban'fa
驰名商标,chi'ming'shang'biao
持续升温,chi'xu'sheng'wen
重播权,chong'bo'quan
重复布点,chong'fu'bu'dian
重复建设,chong'fu'jian'she
重婚,chong'hun
重婚罪,chong'hun'zui
重审,chong'shen
重收土地,chong'shou'tu'di
冲突规范,chong'tu'gui'fan
重新立案侦查,chong'xin'li'an'zhen'cha
重置成本,chong'zhi'cheng'ben
重组计划,chong'zu'ji'hua
筹资渠道,chou'zi'qu'dao
出版管理条例,chu'ban'guan'li'tiao'li
出版局,chu'ban'ju
出版事业管理局,chu'ban'shi'ye'guan'li'ju
出版物印刷管理规,chu'ban'wu'yin'shua'guan'li'gui
出差,chu'chai
出典人,chu'dian'ren
处罚,chu'fa
触犯,chu'fan
处方管理办法,chu'fang'guan'li'ban'fa
处分权,chu'fen'quan
初见成效,chu'jian'cheng'xiao
出具,chu'ju
出口统一管理,chu'kou'tong'yi'guan'li
出口退税,chu'kou'tui'shui
出口退税制度,chu'kou'tui'shui'zhi'du
出口押汇,chu'kou'ya'hui
出票日,chu'piao'ri
除权判决,chu'quan'pan'jue
出入境检验检疫局,chu'ru'jing'jian'yan'jian'yi'ju
出示的证据,chu'shi'de'zheng'ju
出庭,chu'ting
储蓄存款,chu'xu'cun'kuan
储蓄分流,chu'xu'fen'liu
储源萎缩,chu'yuan'wei'suo
出资,chu'zi
出资比例,chu'zi'bi'li
船舶保险,chuan'bo'bao'xian
船舶保险单,chuan'bo'bao'xian'dan
船舶登记证书,chuan'bo'deng'ji'zheng'shu
船舶抵押权,chuan'bo'di'ya'quan
船舶工业总公司,chuan'bo'gong'ye'zong'gong'si
船舶国籍证书,chuan'bo'guo'ji'zheng'shu
船舶检验,chuan'bo'jian'yan
船舶进港费,chuan'bo'jin'gang'fei
船舶扣押,chuan'bo'kou'ya
船舶留置权,chuan'bo'liu'zhi'quan
船舶碰撞,chuan'bo'peng'zhuang
船舶所有权证书,chuan'bo'suo'you'quan'zheng'shu
船舶所有人责任限制,chuan'bo'suo'you'ren'ze'ren'xian'zhi
船舶遇难,chuan'bo'yu'nan
船舶债权,chuan'bo'zhai'quan
船舶丈量,chuan'bo'zhang'liang
船舶转租,chuan'bo'zhuan'zu
船舶租赁,chuan'bo'zu'lin
传导机制,chuan'dao'ji'zhi
传唤,chuan'huan
船级社,chuan'ji'she
船级证书,chuan'ji'zheng'shu
传票,chuan'piao
船棋国,chuan'qi'guo
传染病防治法,chuan'ran'bing'fang'zhi'fa
传染病防治法实施办法,chuan'ran'bing'fang'zhi'fa'shi'shi'ban'fa
串通,chuan'tong
传闻证据,chuan'wen'zheng'ju
传销,chuan'xiao
船员服务管理规定,chuan'yuan'fu'wu'guan'li'gui'ding
创造性,chuang'zao'xing
创作,chuang'zuo
次代理,ci'dai'li
从价税,cong'jia'shui
从紧控制,cong'jin'kong'zhi
从旧兼从轻原则,cong'jiu'jian'cong'qing'yuan'ze
从旧原则,cong'jiu'yuan'ze
从宽处理,cong'kuan'chu'li
从民事法律行为,cong'min'shi'fa'lv'xing'wei
从轻处罚,cong'qing'chu'fa
从轻原则,cong'qing'yuan'ze
从事,cong'shi
从物,cong'wu
从新兼从轻原则,cong'xin'jian'cong'qing'yuan'ze
从新原则,cong'xin'yuan'ze
从债,cong'zhai
从重处罚,cong'zhong'chu'fa
存贷款比例,cun'dai'kuan'bi'li
存款保险体系,cun'kuan'bao'xian'ti'xi
存款货币银行,cun'kuan'huo'bi'yin'hang
存款机构,cun'kuan'ji'gou
存款准备金,cun'kuan'zhun'bei'jin
村民委员会组织法,cun'min'wei'yuan'hui'zu'zhi'fa
措词,cuo'ci
错漏,cuo'lou
挫折,cuo'zhe
打白条,da'bai'tiao
答辩,da'bian
答辩陈述书,da'bian'chen'shu'shu
答辩状,da'bian'zhuang
大厂回族自治县,da'chang'hui'zu'zi'zhi'xian
大额存单,da'e'cun'dan
大额提现,da'e'ti'xian
大法官,da'fa'guan
答复,da'fu
大股,da'gu
大股东控权人,da'gu'dong'kong'quan'ren
打官司,da'guan'si
大化瑶族自治县,da'hua'yao'zu'zi'zhi'xian
打击,da'ji
打击走私领导小组,da'ji'zou'si'ling'dao'xiao'zu
打假,da'jia
打假办,da'jia'ban
大检察官,da'jian'cha'guan
大陆法,da'lu'fa
大陆法系,da'lu'fa'xi
大律师,da'lv'shi
大律师的收费,da'lv'shi'de'shou'fei
大律师登记册,da'lv'shi'deng'ji'ce
大律师公会,da'lv'shi'gong'hui
大律师见习职位,da'lv'shi'jian'xi'zhi'wei
大律师名册,da'lv'shi'ming'ce
大律师事务所,da'lv'shi'shi'wu'suo
大律师书记,da'lv'shi'shu'ji
大面积滑坡,da'mian'ji'hua'po
大批,da'pi
大一统的银行体制,da'yi'tong'de'yin'hang'ti'zhi
代办申请取保候审,dai'ban'shen'qing'qu'bao'hou'shen
逮捕,dai'bu
待决案件,dai'jue'an'jian
贷款沉淀,dai'kuan'chen'dian
贷款分类,dai'kuan'fen'lei
贷款通则,dai'kuan'tong'ze
贷款限额管理,dai'kuan'xian'e'guan'li
贷款约束机制,dai'kuan'yue'shu'ji'zhi
代理,dai'li
代理词,dai'li'ci
代理房地产买卖,dai'li'fang'di'chan'mai'mai
代理房地产转让,dai'li'fang'di'chan'zhuan'rang
代理公证,dai'li'gong'zheng
代理国库,dai'li'guo'ku
代理记账管理办法,dai'li'ji'zhang'guan'li'ban'fa
代理检察员,dai'li'jian'cha'yuan
代理金融机构贷款,dai'li'jin'rong'ji'gou'dai'kuan
代理控告,dai'li'kong'gao
代理权,dai'li'quan
代理人,dai'li'ren
代理审判员,dai'li'shen'pan'yuan
代理申诉,dai'li'shen'su
代理行为,dai'li'xing'wei
代理仲裁,dai'li'zhong'cai
戴帽贷款,dai'mao'dai'kuan
代通知金,dai'tong'zhi'jin
代位继承,dai'wei'ji'cheng
代位求偿权,dai'wei'qiu'chang'quan
代位权,dai'wei'quan
代位索赔,dai'wei'suo'pei
代销,dai'xiao
代写文书,dai'xie'wen'shu
呆账,dai'zhang
呆账准备金,dai'zhang'zhun'bei'jin
呆滞贷款,dai'zhi'dai'kuan
代租金,dai'zu'jin
担保,dan'bao
担保法,dan'bao'fa
担保人,dan'bao'ren
担保书,dan'bao'shu
担保物权,dan'bao'wu'quan
单采血浆站管理办法,dan'cai'xie'jiang'zhan'guan'li'ban'fa
单独过错,dan'du'guo'cuo
单独继承,dan'du'ji'cheng
单方,dan'fang
单方民事法律行为,dan'fang'min'shi'fa'lv'xing'wei
但书,dan'shu
单位,dan'wei
单务合同,dan'wu'he'tong
单一之债,dan'yi'zhi'zhai
档案法,dang'an'fa
档案法实施办法,dang'an'fa'shi'shi'ban'fa
档案工作人员,dang'an'gong'zuo'ren'yuan
档案局,dang'an'ju
当事人,dang'shi'ren
当事人陈述,dang'shi'ren'chen'shu
当事人起诉要求,dang'shi'ren'qi'su'yao'qiu
当庭宣判,dang'ting'xuan'pan
当选婚,dang'xuan'hun
党政分工,dang'zheng'fen'gong
盗版,dao'ban
倒逼机制,dao'bi'ji'zhi
道德风险,dao'de'feng'xian
道路交通安全法,dao'lu'jiao'tong'an'quan'fa
道路交通标志和标线,dao'lu'jiao'tong'biao'zhi'he'biao'xian
道路交通管理条例,dao'lu'jiao'tong'guan'li'tiao'li
道路交通事故处理办法,dao'lu'jiao'tong'shi'gu'chu'li'ban'fa
到期票据,dao'qi'piao'ju
盗窃,dao'qie
盗窃枪支,dao'qie'qiang'zhi
盗窃武器装备,dao'qie'wu'qi'zhuang'bei
导游人员管理条例,dao'you'ren'yuan'guan'li'tiao'li
得到证实,de'dao'zheng'shi
得利者,de'li'zhe
抵触,di'chu
第二产业,di'er'chan'ye
第二次答辩,di'er'ci'da'bian
第二审判庭,di'er'shen'pan'ting
第二顺序继承人,di'er'shun'xu'ji'cheng'ren
地方人民检察院,di'fang'ren'min'jian'cha'yuan
地方志工作条例,di'fang'zhi'gong'zuo'tiao'li
地理标志产品保护规定,di'li'biao'zhi'chan'pin'bao'hu'gui'ding
地名委员会,di'ming'wei'yuan'hui
地区差别,di'qu'cha'bie
地区管辖,di'qu'guan'xia
地区检察分院,di'qu'jian'cha'fen'yuan
第三产业,di'san'chan'ye
第三人,di'san'ren
第三人过错,di'san'ren'guo'cuo
第三债务,di'san'zhai'wu
第三者,di'san'zhe
地上权,di'shang'quan
抵销,di'xiao
抵押,di'ya
抵押标的物,di'ya'biao'di'wu
抵押品,di'ya'pin
抵押权,di'ya'quan
抵押权的次序,di'ya'quan'de'ci'xu
抵押权的抛弃,di'ya'quan'de'pao'qi
抵押权的让与,di'ya'quan'de'rang'yu
抵押权的设定,di'ya'quan'de'she'ding
抵押权的实现,di'ya'quan'de'shi'xian
抵押权的效力,di'ya'quan'de'xiao'li
抵押权的消灭,di'ya'quan'de'xiao'mie
抵押权人,di'ya'quan'ren
抵押人,di'ya'ren
抵押物,di'ya'wu
抵押物登记,di'ya'wu'deng'ji
抵押优先权,di'ya'you'xian'quan
递延资产,di'yan'zi'chan
第一产业,di'yi'chan'ye
地役权,di'yi'quan
第一审判庭,di'yi'shen'pan'ting
第一顺序继承人,di'yi'shun'xu'ji'cheng'ren
地震监测管理条例,di'zhen'jian'ce'guan'li'tiao'li
地震局,di'zhen'ju
地质勘查资质管理条例,di'zhi'kan'cha'zi'zhi'guan'li'tiao'li
地质灾害防治条例,di'zhi'zai'hai'fang'zhi'tiao'li
典当管理办法,dian'dang'guan'li'ban'fa
典当物,dian'dang'wu
电力安全生产监管办法,dian'li'an'quan'sheng'chan'jian'guan'ban'fa
电力法,dian'li'fa
电力公司,dian'li'gong'si
电力监管条例,dian'li'jian'guan'tiao'li
电力监管信息公开办法,dian'li'jian'guan'xin'xi'gong'kai'ban'fa
电力企业信息报送规定,dian'li'qi'ye'xin'xi'bao'song'gui'ding
电力企业信息披露规定,dian'li'qi'ye'xin'xi'pi'lu'gui'ding
电力设施保护条例,dian'li'she'shi'bao'hu'tiao'li
电力市场监管办法,dian'li'shi'chang'jian'guan'ban'fa
电力市场运营基本规则,dian'li'shi'chang'yun'ying'ji'ben'gui'ze
佃权,dian'quan
电视剧审查管理规定,dian'shi'ju'shen'cha'guan'li'gui'ding
电梯应急指南,dian'ti'ying'ji'zhi'nan
电网运行规则,dian'wang'yun'xing'gui'ze
电信服务规范,dian'xin'fu'wu'gui'fan
电信条例,dian'xin'tiao'li
典型物培养中心,dian'xing'wu'pei'yang'zhong'xin
电子出版物管理规定,dian'zi'chu'ban'wu'guan'li'gui'ding
电子交易系统,dian'zi'jiao'yi'xi'tong
电子认证服务管理办法,dian'zi'ren'zheng'fu'wu'guan'li'ban'fa
电子银行安全评估指引,dian'zi'yin'hang'an'quan'ping'gu'zhi'yin
电子银行业务管理办法,dian'zi'yin'hang'ye'wu'guan'li'ban'fa
电子支付指引,dian'zi'zhi'fu'zhi'yin
调查,diao'cha
调查报告,diao'cha'bao'gao
调查笔录,diao'cha'bi'lu
调查部,diao'cha'bu
调查取证,diao'cha'qu'zheng
吊销执行证,diao'xiao'zhi'xing'zheng
定案结论,ding'an'jie'lun
定案理由,ding'an'li'you
定额赔偿,ding'e'pei'chang
订货不足,ding'huo'bu'zu
订货合同卡片,ding'huo'he'tong'ka'pian
定金,ding'jin
订立,ding'li
定期存款,ding'qi'cun'kuan
定期减免所得税,ding'qi'jian'mian'suo'de'shui
定期宣判,ding'qi'xuan'pan
定期证据,ding'qi'zheng'ju
定期租船合同,ding'qi'zu'chuan'he'tong
定向募集,ding'xiang'mu'ji
定性,ding'xing
丢弃,diu'qi
东北人民政府,dong'bei'ren'min'zheng'fu
动产,dong'chan
动产抵押登记办法,dong'chan'di'ya'deng'ji'ban'fa
东道国,dong'dao'guo
冻干健康人血浆,dong'gan'jian'kang'ren'xue'jiang
冻干血浆,dong'gan'xue'jiang
动机,dong'ji
冻结,dong'jie
董事,dong'shi
董事会,dong'shi'hui
董事长,dong'shi'zhang
动物防疫法,dong'wu'fang'yi'fa
东乡族自治县,dong'xiang'zu'zi'zhi'xian
都安瑶族自治县,dou'an'yao'zu'zi'zhi'xian
督促程序,du'cu'cheng'xu
独家代理,du'jia'dai'li
独立的不法行为,du'li'de'bu'fa'xing'wei
独立个案,du'li'ge'an
独立核算,du'li'he'suan
独立核算工业企业,du'li'he'suan'gong'ye'qi'ye
独立请求书,du'li'qing'qiu'shu
独立审判,du'li'shen'pan
毒品罪,du'pin'zui
独任仲载员,du'ren'zhong'zai'yuan
独生子女,du'sheng'zi'nv
渎职罪,du'zhi'zui
断绝,duan'jue
短期国债,duan'qi'guo'zhai
短期融资券管理办法,duan'qi'rong'zi'quan'guan'li'ban'fa
对冲操作,dui'chong'cao'zuo
对等原则,dui'deng'yuan'ze
对立的一方,dui'li'de'yi'fang
对令状的发出作确认,dui'ling'zhuang'de'fa'chu'zuo'que'ren
对上诉抗辩,dui'shang'su'kang'bian
对外承包工程商会,dui'wai'cheng'bao'gong'cheng'shang'hui
对外经济法律顾问处,dui'wai'jing'ji'fa'lv'gu'wen'chu
对外经济律师事务所,dui'wai'jing'ji'lv'shi'shi'wu'suo
对外贸易,dui'wai'mao'yi
对外贸易法,dui'wai'mao'yi'fa
对外贸易经济合作部,dui'wai'mao'yi'jing'ji'he'zuo'bu
对物诉讼令状,dui'wu'su'song'ling'zhuang
对席判决,dui'xi'pan'jue
对帐,dui'zhang
多边公约,duo'bian'gong'yue
多边国际公约,duo'bian'guo'ji'gong'yue
多方民事法律行为,duo'fang'min'shi'fa'lv'xing'wei
多分,duo'fen
多头,duo'tou
多头仲裁,duo'tou'zhong'cai
多于一名人士,duo'yu'yi'ming'ren'shi
多元立法体制,duo'yuan'li'fa'ti'zhi
多元主义,duo'yuan'zhu'yi
多种所有制形式,duo'zhong'suo'you'zhi'xing'shi
峨边彝族自治县,e'bian'yi'zu'zi'zhi'xian
恶性通货膨胀,e'xing'tong'huo'peng'zhang
恶意,e'yi
恶意串通,e'yi'chuan'tong
恶意占有,e'yi'zhan'you
恩惠期间,en'hui'qi'jian
恩恤付款,en'xu'fu'kuan
二级市场,er'ji'shi'chang
二审,er'shen
二审案件,er'shen'an'jian
二审裁定书,er'shen'cai'ding'shu
二审法院,er'shen'fa'yuan
二审判决书,er'shen'pan'jue'shu
二手车流通管理办法,er'shou'che'liu'tong'guan'li'ban'fa
儿童玩具召回管理规定,er'tong'wan'ju'zhao'hui'guan'li'gui'ding
二者只能择其一,er'zhe'zhi'neng'ze'qi'yi
法案,fa'an
发表权,fa'biao'quan
发出,fa'chu
法定部门,fa'ding'bu'men
法定代表律师,fa'ding'dai'biao'lv'shi
法定代表人,fa'ding'dai'biao'ren
法定代理人,fa'ding'dai'li'ren
法定公积金,fa'ding'gong'ji'jin
法定继承,fa'ding'ji'cheng
法定继承人,fa'ding'ji'cheng'ren
法定监护人,fa'ding'jian'hu'ren
法定期限,fa'ding'qi'xian
法定违约金,fa'ding'wei'yue'jin
法定义务,fa'ding'yi'wu
