安其格纳芬,an'qi'ge'na'fen
右主支气管,you'zhu'zhi'qi'guan
羽毛状,yu'mao'zhuang
远程放射学,yuan'cheng'fang'she'xue
原发性肺结核,yuan'fa'xing'fei'jie'he
原发综合征,yuan'fa'zong'he'zheng
晕环征,yun'huan'zheng
早出晚归,zao'chu'wan'gui
造影剂,zao'ying'ji
增粗,zeng'cu
增多,zeng'duo
增多紊乱,zeng'duo'wen'luan
增多增粗,zeng'duo'zeng'cu
增厚,zeng'hou
增强,zeng'qiang
粘连,zhan'lian
正电子发射体层显像,zheng'dian'zi'fa'she'ti'ceng'xian'xiang
直肠闭锁,zhi'chang'bi'suo
脂肪肝,zhi'fang'gan
脂肪抑制,zhi'fang'yi'zhi
致密影,zhi'mi'ying
支气管,zhi'qi'guan
支气管充盈征,zhi'qi'guan'chong'ying'zheng
支气管肺炎,zhi'qi'guan'fei'yan
支气管气相,zhi'qi'guan'qi'xiang
支气管炎,zhi'qi'guan'yan
指压征,zhi'ya'zheng
中间段支气管,zhong'jian'duan'zhi'qi'guan
中央型,zhong'yang'xing
中纵隔,zhong'zong'ge
轴位,zhou'wei
周围型,zhou'wei'xing
主动脉弓,zhu'dong'mai'gong
主动脉结,zhu'dong'mai'jie
潴留液,zhu'liu'ye
椎管造影,zhui'guan'zao'ying
椎间隙狭窄,zhui'jian'xi'xia'zhai
自旋回波,zi'xuan'hui'bo
纵膈,zong'ge
纵隔,zong'ge
纵轴型,zong'zhou'xing
走行,zou'xing
组织多普勒成像,zu'zhi'duo'pu'le'cheng'xiang
组织透明投影,zu'zhi'tou'ming'tou'ying
最大强度投影,zui'da'qiang'du'tou'ying
最小强度投影,zui'xiao'qiang'du'tou'ying
左肺上叶,zuo'fei'shang'ye
左肺上叶尖后段,zuo'fei'shang'ye'jian'hou'duan
左肺上叶前段,zuo'fei'shang'ye'qian'duan
左肺上叶上舌段,zuo'fei'shang'ye'shang'she'duan
左肺上叶下舌段,zuo'fei'shang'ye'xia'she'duan
左肺上叶支气管,zuo'fei'shang'ye'zhi'qi'guan
左肺下叶,zuo'fei'xia'ye
左肺下叶前内基底段,zuo'fei'xia'ye'qian'nei'ji'di'duan
左肺下叶外基底段,zuo'fei'xia'ye'wai'ji'di'duan
左肺下叶支气管,zuo'fei'xia'ye'zhi'qi'guan
左肺下叶左肺下叶后基底段,zuo'fei'xia'ye'zuo'fei'xia'ye'hou'ji'di'duan
左上肺,zuo'shang'fei
左下肺,zuo'xia'fei
左支,zuo'zhi
左主支气管,zuo'zhu'zhi'qi'guan
