爱达,ai'da
陈庄六合,chen'zhuang'lu'he
城北社区,cheng'bei'she'qu
城北站,cheng'bei'zhan
城东农贸市场,cheng'dong'nong'mao'shi'chang
城东站,cheng'dong'zhan
城河村,cheng'he'cun
城河村南,cheng'he'cun'nan
城隍庙,cheng'huang'miao
程家小圩,cheng'jia'xiao'wei
城南站,cheng'nan'zhan
程桥街道,cheng'qiao'jie'dao
程桥镇,cheng'qiao'zhen
成山路,cheng'shan'lu
成山小区,cheng'shan'xiao'qu
城市绿洲,cheng'shi'lv'zhou
城头,cheng'tou
城头城,cheng'tou'cheng
城西,cheng'xi
城西东站,cheng'xi'dong'zhan
成贤街,cheng'xian'jie
诚信大道北,cheng'xin'da'dao'bei
诚信大道南,cheng'xin'da'dao'nan
诚信大道西,cheng'xin'da'dao'xi
成墟路,cheng'xu'lu
城中,cheng'zhong
城中南站,cheng'zhong'nan'zhan
赤壁路小学,chi'bi'lu'xiao'xue
池二路,chi'er'lu
池三路,chi'san'lu
池田村,chi'tian'cun
仇庄,chou'zhuang
出口加工区南区,chu'kou'jia'gong'qu'nan'qu
褚庄,chu'zhuang
创业中心,chuang'ye'zhong'xin
淳化,chun'hua
淳化东站,chun'hua'dong'zhan
淳化南站,chun'hua'nan'zhan
淳化收费站,chun'hua'shou'fei'zhan
淳化西站,chun'hua'xi'zhan
春江路东站,chun'jiang'lu'dong'zhan
春江路西站,chun'jiang'lu'xi'zhan
春江新城,chun'jiang'xin'cheng
春天家园,chun'tian'jia'yuan
糍粑墩,ci'ba'dun
慈悲社,ci'bei'she
磁碑营,ci'bei'ying
翠岛花城,cui'dao'hua'cheng
翠岛花城北站,cui'dao'hua'cheng'bei'zhan
崔家营,cui'jia'ying
翠屏国际城,cui'ping'guo'ji'cheng
翠屏清华园托乐嘉,cui'ping'qing'hua'yuan'tuo'le'jia
翠屏山小学,cui'ping'shan'xiao'xue
翠屏湾花园城,cui'ping'wan'hua'yuan'cheng
萃文路,cui'wen'lu
大安德门,da'an'de'men
大报恩寺,da'bao'en'si
大厂,da'chang
大厂中学,da'chang'zhong'xue
大定坊,da'ding'fang
大定坊北站王燕街,da'ding'fang'bei'zhan'wang'yan'jie
大定坊南站,da'ding'fang'nan'zhan
大方,da'fang
大方村,da'fang'cun
大方巷,da'fang'xiang
大方巷北,da'fang'xiang'bei
大方巷南,da'fang'xiang'nan
大瓜园,da'gua'yuan
大瓜园东站,da'gua'yuan'dong'zhan
大光路,da'guang'lu
大光路北,da'guang'lu'bei
大河,da'he
大荷花巷,da'he'hua'xiang
大江路,da'jiang'lu
大江路东站,da'jiang'lu'dong'zhan
大街,da'jie
大街东站,da'jie'dong'zhan
大井头,da'jing'tou
大井巷,da'jing'xiang
大里,da'li
大里村委会,da'li'cun'wei'hui
大里墅村,da'li'shu'cun
大里墅村西,da'li'shu'cun'xi
大里墅东,da'li'shu'dong
大里墅西,da'li'shu'xi
大林,da'lin
大马路,da'ma'lu
大庙村,da'miao'cun
大明西路,da'ming'xi'lu
大棚,da'peng
大浦塘,da'pu'tang
大桥,da'qiao
大桥北路长途北站,da'qiao'bei'lu'chang'tu'bei'zhan
大桥北路西,da'qiao'bei'lu'xi
大桥饭店,da'qiao'fan'dian
大桥南路,da'qiao'nan'lu
大桥南路南,da'qiao'nan'lu'nan
大桥南路盐仓桥,da'qiao'nan'lu'yan'cang'qiao
大桥南路中山北路,da'qiao'nan'lu'zhong'shan'bei'lu
大桥四处,da'qiao'si'chu
大纱帽巷,da'sha'mao'xiang
大圣,da'sheng
大石坝街,da'shi'ba'jie
大士茶亭,da'shi'cha'ting
大士茶亭东,da'shi'cha'ting'dong
大石桥,da'shi'qiao
大树城,da'shu'cheng
大树根,da'shu'gen
大同,da'tong
大行宫,da'xing'gong
大行宫北站,da'xing'gong'bei'zhan
大行宫南,da'xing'gong'nan
大行宫西站,da'xing'gong'xi'zhan
大驯象门,da'xun'xiang'men
大洋百货,da'yang'bai'huo
大阳沟,da'yang'gou
大窑庄,da'yao'zhuang
大影壁,da'ying'bi
大栅门,da'zha'men
大栅门南,da'zha'men'nan
大赵营,da'zhao'ying
大中桥,da'zhong'qiao
大中桥环北市场,da'zhong'qiao'huan'bei'shi'chang
大周路,da'zhou'lu
大庄,da'zhuang
戴家库,dai'jia'ku
戴家棚,dai'jia'peng
戴家巷,dai'jia'xiang
岱山公墓,dai'shan'gong'mu
丹凤街,dan'feng'jie
丹凤新寓,dan'feng'xin'yu
丹阳,dan'yang
丹阳政府,dan'yang'zheng'fu
党校,dang'xiao
道北庵,dao'bei'an
德基广场,de'ji'guang'chang
邓府村,deng'fu'cun
邓府山,deng'fu'shan
邓家庄,deng'jia'zhuang
地庵,di'an
第二中学,di'er'zhong'xue
狄平,di'ping
第三中学,di'san'zhong'xue
地税局,di'shui'ju
滴水珠,di'shui'zhu
第一农贸市场,di'yi'nong'mao'shi'chang
电厂,dian'chang
电瓷新村,dian'ci'xin'cun
电工新村,dian'gong'xin'cun
点将台,dian'jiang'tai
电台村,dian'tai'cun
电信局,dian'xin'ju
电站,dian'zhan
钓鱼台,diao'yu'tai
定坊,ding'fang
定淮门,ding'huai'men
丁家桥,ding'jia'qiao
丁家桥童家巷,ding'jia'qiao'tong'jia'xiang
丁家庄,ding'jia'zhuang
丁解,ding'jie
定林村,ding'lin'cun
定林村部,ding'lin'cun'bu
丁墙,ding'qiang
丁墙村,ding'qiang'cun
丁山,ding'shan
顶山,ding'shan
丁山宾馆,ding'shan'bin'guan
丁湾,ding'wan
鼎新路红土桥,ding'xin'lu'hong'tu'qiao
丁圩,ding'xu
东柏果园,dong'bai'guo'yuan
东宝路,dong'bao'lu
东宝路清河新寓,dong'bao'lu'qing'he'xin'yu
东长林,dong'chang'lin
东城金发市场,dong'cheng'jin'fa'shi'chang
东池,dong'chi
董村路西站,dong'cun'lu'xi'zhan
东大九龙湖校区北门东,dong'da'jiu'long'hu'xiao'qu'bei'men'dong
东大九龙湖校区北门西,dong'da'jiu'long'hu'xiao'qu'bei'men'xi
东大九龙湖校区东门,dong'da'jiu'long'hu'xiao'qu'dong'men
东大招待所,dong'da'zhao'dai'suo
东方城,dong'fang'cheng
东方商城,dong'fang'shang'cheng
东风,dong'feng
东葛,dong'ge
东葛北站,dong'ge'bei'zhan
东葛南站,dong'ge'nan'zhan
东瓜市,dong'gua'shi
东关头,dong'guan'tou
东管头,dong'guan'tou
东虹花苑西苑,dong'hong'hua'yuan'xi'yuan
东湖,dong'hu
东胡,dong'hu
东华,dong'hua
东环路,dong'huan'lu
东江,dong'jiang
东井村,dong'jing'cun
东井亭,dong'jing'ting
东井新村,dong'jing'xin'cun
东坑,dong'keng
东林,dong'lin
东流西岗果牧场,dong'liu'xi'gang'guo'mu'chang
东流西站,dong'liu'xi'zhan
东门大街,dong'men'da'jie
东门街,dong'men'jie
东门立交,dong'men'li'jiao
东门桥,dong'men'qiao
东南大学,dong'nan'da'xue
东南大学江宁校区西门,dong'nan'da'xue'jiang'ning'xiao'qu'xi'men
东南大学路,dong'nan'da'xue'lu
东南大学浦口校区,dong'nan'da'xue'pu'kou'xiao'qu
东炮台,dong'pao'tai
东屏路,dong'ping'lu
东山,dong'shan
东山宾馆,dong'shan'bin'guan
东善桥,dong'shan'qiao
东善桥北站,dong'shan'qiao'bei'zhan
东善桥北站东善桥社区,dong'shan'qiao'bei'zhan'dong'shan'qiao'she'qu
东善桥菜场,dong'shan'qiao'cai'chang
东善桥小学,dong'shan'qiao'xiao'xue
东山下,dong'shan'xia
东山总站,dong'shan'zong'zhan
东王,dong'wang
东新北路,dong'xin'bei'lu
东新南路,dong'xin'nan'lu
东阳,dong'yang
东杨坊,dong'yang'fang
东苑北站,dong'yuan'bei'zhan
东岳庙,dong'yue'miao
豆腐巷,dou'fu'xiang
陡岗,dou'gang
陡岗南站,dou'gang'nan'zhan
陡门口,dou'men'kou
渡船口,du'chuan'kou
度假村,du'jia'cun
多伦路,duo'lun'lu
峨嵋岭,e'mei'ling
二板桥,er'ban'qiao
二道桥,er'dao'qiao
二方圩,er'fang'xu
二里桥,er'li'qiao
二桥服务区,er'qiao'fu'wu'qu
二桥公园,er'qiao'gong'yuan
二十八所,er'shi'ba'suo
二十一世纪国际公寓,er'shi'yi'shi'ji'guo'ji'gong'yu
儿童医院,er'tong'yi'yuan
二窑,er'yao
二招,er'zhao
樊集,fan'ji
樊庄,fan'zhuang
方家营,fang'jia'ying
方前,fang'qian
方山,fang'shan
方山车站,fang'shan'che'zhan
方山集贸市场,fang'shan'ji'mao'shi'chang
方水东路,fang'shui'dong'lu
方水路,fang'shui'lu
方水南路,fang'shui'nan'lu
芳烃南路,fang'ting'nan'lu
方巷,fang'xiang
纺织工业园,fang'zhi'gong'ye'yuan
方州广场,fang'zhou'guang'chang
飞花,fei'hua
菲尼克斯路,fei'ni'ke'si'lu
奋斗,fen'dou
奋斗村,fen'dou'cun
奋斗村西站,fen'dou'cun'xi'zhan
焚衣街,fen'yi'jie
冯村,feng'cun
风光里,feng'guang'li
凤凰村,feng'huang'cun
凤凰二村,feng'huang'er'cun
凤凰花园,feng'huang'hua'yuan
凤凰花园城,feng'huang'hua'yuan'cheng
凤凰街,feng'huang'jie
凤凰三村,feng'huang'san'cun
凤凰山,feng'huang'shan
凤凰山公园,feng'huang'shan'gong'yuan
凤凰台,feng'huang'tai
凤凰西街,feng'huang'xi'jie
凤凰西街西,feng'huang'xi'jie'xi
凤凰新村,feng'huang'xin'cun
凤集大道,feng'ji'da'dao
冯家村,feng'jia'cun
丰润门,feng'run'men
凤台门,feng'tai'men
凤台南路,feng'tai'nan'lu
凤舞路,feng'wu'lu
凤栖苑,feng'xi'yuan
冯圩村,feng'xu'cun
凤游寺,feng'you'si
佛城西路统宝光电,fo'cheng'xi'lu'tong'bao'guang'dian
佛宁门,fo'ning'men
佛心桥,fo'xin'qiao
富春江东街,fu'chun'jiang'dong'jie
富春江东街黄山路,fu'chun'jiang'dong'jie'huang'shan'lu
富春江西街,fu'chun'jiang'xi'jie
富春江西街东,fu'chun'jiang'xi'jie'dong
富贵山,fu'gui'shan
富贵山南,fu'gui'shan'nan
傅厚岗,fu'hou'gang
福建路,fu'jian'lu
富康,fu'kang
富丽山庄,fu'li'shan'zhuang
富丽山庄北门,fu'li'shan'zhuang'bei'men
富丽山庄南门,fu'li'shan'zhuang'nan'men
伏龙桥,fu'long'qiao
府前路,fu'qian'lu
浮桥,fu'qiao
浮桥西,fu'qiao'xi
浮桥珠江路,fu'qiao'zhu'jiang'lu
芙蓉苑,fu'rong'yuan
福特汽车公司,fu'te'qi'che'gong'si
服务中心,fu'wu'zhong'xin
福园,fu'yuan
覆舟山,fu'zhou'shan
阜庄,fu'zhuang
服装城,fu'zhuang'cheng
夫子庙,fu'zi'miao
夫子庙北,fu'zi'miao'bei
夫子庙东,fu'zi'miao'dong
夫子庙南门,fu'zi'miao'nan'men
夫子庙市中医院,fu'zi'miao'shi'zhong'yi'yuan
傅佐路,fu'zuo'lu
甘家巷,gan'jia'xiang
干休所,gan'xiu'suo
干休所东,gan'xiu'suo'dong
钢材市场,gang'cai'shi'chang
岗陈,gang'chen
钢窗厂,gang'chuang'chang
港电路东站,gang'dian'lu'dong'zhan
港电路西站,gang'dian'lu'xi'zhan
岗虹苑,gang'hong'yuan
岗山超市,gang'shan'chao'shi
岗西村,gang'xi'cun
岗子村,gang'zi'cun
岗子村板仓街,gang'zi'cun'ban'cang'jie
高尔夫西花苑,gao'er'fu'xi'hua'yuan
高岗里,gao'gang'li
高湖路,gao'hu'lu
高家边,gao'jia'bian
高家库,gao'jia'ku
高井,gao'jing
高里村,gao'li'cun
高里店,gao'li'dian
高力家具港,gao'li'jia'ju'gang
高楼门,gao'lou'men
高庙,gao'miao
高庙淳化,gao'miao'chun'hua
高庙浦口,gao'miao'pu'kou
高桥门,gao'qiao'men
高旺,gao'wang
高新花苑,gao'xin'hua'yuan
高新开发区,gao'xin'kai'fa'qu
高新路,gao'xin'lu
高新区,gao'xin'qu
高阳,gao'yang
高云岭,gao'yun'ling
高庄,gao'zhuang
舸舫西园,ge'fang'xi'yuan
舸舫园,ge'fang'yuan
葛桥,ge'qiao
个师桥,ge'shi'qiao
葛塘,ge'tang
葛塘客运站,ge'tang'ke'yun'zhan
工程兵学院,gong'cheng'bing'xue'yuan
工程学院江宁校区,gong'cheng'xue'yuan'jiang'ning'xiao'qu
工程学院江宁校区北站,gong'cheng'xue'yuan'jiang'ning'xiao'qu'bei'zhan
工程学院江宁校区号门,gong'cheng'xue'yuan'jiang'ning'xiao'qu'hao'men
工地,gong'di
巩固,gong'gu
巩固村,gong'gu'cun
公光路,gong'guang'lu
弓箭坊,gong'jian'fang
公交车辆厂,gong'jiao'che'liang'chang
公教一村,gong'jiao'yi'cun
公交总公司,gong'jiao'zong'gong'si
公交总公司地铁新模范马路站,gong'jiao'zong'gong'si'di'tie'xin'mo'fan'ma'lu'zhan
公交总公司驾校公交四公司,gong'jiao'zong'gong'si'jia'xiao'gong'jiao'si'gong'si
公路养护中心,gong'lu'yang'hu'zhong'xin
公路站,gong'lu'zhan
工农村,gong'nong'cun
工农新村,gong'nong'xin'cun
共青广场,gong'qing'guang'chang
共青团路,gong'qing'tuan'lu
工人新村,gong'ren'xin'cun
公司,gong'si
供销商厦,gong'xiao'shang'sha
供销商厦南,gong'xiao'shang'sha'nan
工业大学江浦分校,gong'ye'da'xue'jiang'pu'fen'xiao
贡院街,gong'yuan'jie
公园路,gong'yuan'lu
公园南路,gong'yuan'nan'lu
狗皮山,gou'pi'shan
古墩,gu'dun
古耳井,gu'er'jing
顾家坝,gu'jia'ba
顾家棚,gu'jia'peng
顾家营,gu'jia'ying
顾家庄,gu'jia'zhuang
鼓教二村,gu'jiao'er'cun
谷里,gu'li
谷里车站,gu'li'che'zhan
谷里村村委会,gu'li'cun'cun'wei'hui
谷里东站,gu'li'dong'zhan
古林公园,gu'lin'gong'yuan
鼓楼,gu'lou
鼓楼鼓楼公园,gu'lou'gu'lou'gong'yuan
鼓楼区,gu'lou'qu
鼓楼医院,gu'lou'yi'yuan
鼓楼医院双龙巷,gu'lou'yi'yuan'shuang'long'xiang
鼓楼医院西门,gu'lou'yi'yuan'xi'men
鼓楼中山北路,gu'lou'zhong'shan'bei'lu
古平岗,gu'ping'gang
古平岗南,gu'ping'gang'nan
古泉村,gu'quan'cun
鼓山路,gu'shan'lu
古塘,gu'tang
古棠中学,gu'tang'zhong'xue
箍桶巷,gu'tong'xiang
古雄,gu'xiong
古遗井,gu'yi'jing
管家桥,guan'jia'qiao
官山,guan'shan
官塘,guan'tang
管头,guan'tou
观音里,guan'yin'li
观音门,guan'yin'men
官州路,guan'zhou'lu
管子桥,guan'zi'qiao
广城花园,guang'cheng'hua'yuan
光华东街,guang'hua'dong'jie
光华门,guang'hua'men
光华门北,guang'hua'men'bei
光华园,guang'hua'yuan
光卡路,guang'ka'lu
光明,guang'ming
光明奶业,guang'ming'nai'ye
广洋,guang'yang
广洋村,guang'yang'cun
广州路,guang'zhou'lu
桂花,gui'hua
桂花园,gui'hua'yuan
果场,guo'chang
郭村,guo'cun
国防园,guo'fang'yuan
郭干,guo'gan
郭干小村,guo'gan'xiao'cun
国际大酒店,guo'ji'da'jiu'dian
国际关系学院,guo'ji'guan'xi'xue'yuan
国美,guo'mei
国泰民康,guo'tai'min'kang
郭营,guo'ying
果园,guo'yuan
哈慈科技院,ha'ci'ke'ji'yuan
海底世界,hai'di'shi'jie
海底世界北站,hai'di'shi'jie'bei'zhan
还懂啊,hai'dong'a
海福巷,hai'fu'xiang
海福巷东站,hai'fu'xiang'dong'zhan
海福巷西站,hai'fu'xiang'xi'zhan
海事学院,hai'shi'xue'yuan
海棠里,hai'tang'li
海子口,hai'zi'kou
涵洞口,han'dong'kou
韩府山庄,han'fu'shan'zhuang
韩圭,han'gui
汉江路,han'jiang'lu
汉口路,han'kou'lu
汉西门,han'xi'men
汉中路,han'zhong'lu
汉中门,han'zhong'men
汉中门北,han'zhong'men'bei
汉中门大街东,han'zhong'men'da'jie'dong
汉中门大街西,han'zhong'men'da'jie'xi
汉中门汉中门长途车站,han'zhong'men'han'zhong'men'chang'tu'che'zhan
汉中商场,han'zhong'shang'chang
汉中西路,han'zhong'xi'lu
合班,he'ban
河北,he'bei
河北大街,he'bei'da'jie
河滨大道永宁路,he'bin'da'dao'yong'ning'lu
河定桥,he'ding'qiao
河定桥金王府,he'ding'qiao'jin'wang'fu
河定桥秦淮路,he'ding'qiao'qin'huai'lu
河定桥西,he'ding'qiao'xi
河海大学,he'hai'da'xue
河海大学河海广场,he'hai'da'xue'he'hai'guang'chang
河海大学江宁校区,he'hai'da'xue'jiang'ning'xiao'qu
河海大学江宁校区东门,he'hai'da'xue'jiang'ning'xiao'qu'dong'men
河海大学江宁校区康厚街,he'hai'da'xue'jiang'ning'xiao'qu'kang'hou'jie
荷花,he'hua
荷花塘,he'hua'tang
和会街,he'hui'jie
河路道,he'lu'dao
河南,he'nan
和平村,he'ping'cun
和平门,he'ping'men
荷塘村,he'tang'cun
河西,he'xi
河西大街,he'xi'da'jie
河西金陵中学,he'xi'jin'ling'zhong'xue
和燕路,he'yan'lu
和燕园,he'yan'yuan
何营,he'ying
合作村,he'zuo'cun
合作村西,he'zuo'cun'xi
合作村兴卫,he'zuo'cun'xing'wei
黑龙江路,hei'long'jiang'lu
黑龙江路东站,hei'long'jiang'lu'dong'zhan
黑墨营,hei'mo'ying
黑簪巷,hei'zan'xiang
横坝,heng'ba
恒丰世家,heng'feng'shi'jia
恒广路,heng'guang'lu
横和桥,heng'he'qiao
恒竞路,heng'jing'lu
恒山路,heng'shan'lu
恒山路南站,heng'shan'lu'nan'zhan
横溪,heng'xi
衡阳,heng'yang
衡阳寺,heng'yang'si
恒谊路,heng'yi'lu
虹板桥,hong'ban'qiao
红枫新村,hong'feng'xin'cun
红花,hong'hua
红花村,hong'hua'cun
红花村总站,hong'hua'cun'zong'zhan
红花地,hong'hua'di
红花镇,hong'hua'zhen
洪家园,hong'jia'yuan
洪家园西,hong'jia'yuan'xi
洪楼,hong'lou
红梅,hong'mei
洪庙朱,hong'miao'zhu
红旗,hong'qi
红旗村,hong'qi'cun
红桥,hong'qiao
红山,hong'shan
红山动物园,hong'shan'dong'wu'yuan
红山动物园东门,hong'shan'dong'wu'yuan'dong'men
红山公园,hong'shan'gong'yuan
红太阳装饰城,hong'tai'yang'zhuang'shi'cheng
红土山,hong'tu'shan
洪武北路,hong'wu'bei'lu
洪武路,hong'wu'lu
虹苑,hong'yuan
虹苑新寓,hong'yuan'xin'yu
宏运大道东,hong'yun'da'dao'dong
宏运大道东站,hong'yun'da'dao'dong'zhan
宏运国际村,hong'yun'guo'ji'cun
后汉桥,hou'han'qiao
侯家桥,hou'jia'qiao
候家塘,hou'jia'tang
后江沿,hou'jiang'yan
后刘,hou'liu
后山岗,hou'shan'gang
后塘西,hou'tang'xi
后巷,hou'xiang
后宰门,hou'zai'men
后宰门东,hou'zai'men'dong
后宰门南,hou'zai'men'nan
湖北路,hu'bei'lu
湖北路南站,hu'bei'lu'nan'zhan
湖滨公寓,hu'bin'gong'yu
户部街,hu'bu'jie
户部街洪武路,hu'bu'jie'hong'wu'lu
沪江商贸城,hu'jiang'shang'mao'cheng
沪江商贸城槽坊,hu'jiang'shang'mao'cheng'cao'fang
虎踞北路,hu'ju'bei'lu
虎踞关,hu'ju'guan
虎踞关北站,hu'ju'guan'bei'zhan
虎踞关南站,hu'ju'guan'nan'zhan
虎踞路,hu'ju'lu
