摆动投点,bai'dong'tou'dian
高斯一克吕格平面直角坐标,gao'si'yi'ke'lv'ge'ping'mian'zhi'jiao'zuo'biao
工业场地平面,gong'ye'chang'di'ping'mian
贯通测量,guan'tong'ce'liang
贯通误差预计,guan'tong'wu'cha'yu'ji
惯性测量系统,guan'xing'ce'liang'xi'tong
光电测距导,guang'dian'ce'ju'dao
国际矿山测量协会,guo'ji'kuang'shan'ce'liang'xie'hui
海拔,hai'ba
巷道断面仪,hang'dao'duan'mian'yi
巷道坡度线,hang'dao'po'du'xian
巷道碎部测量,hang'dao'sui'bu'ce'liang
巷道腰线标定,hang'dao'yao'xian'biao'ding
巷道中线,hang'dao'zhong'xian
巷道中线标定,hang'dao'zhong'xian'biao'ding
后方交会,hou'fang'jiao'hui
基本控制导线,ji'ben'kong'zhi'dao'xian
激光铅垂仪,ji'guang'qian'chui'yi
激光指向,ji'guang'zhi'xiang
激光指向仪,ji'guang'zhi'xiang'yi
几何定向,ji'he'ding'xiang
几何水准测量,ji'he'shui'zhun'ce'liang
假定高程,jia'ding'gao'cheng
间接高程测量,jian'jie'gao'cheng'ce'liang
间接水准测量,jian'jie'shui'zhun'ce'liang
接收机,jie'shou'ji
近井点,jin'jing'dian
近景摄影测量,jin'jing'she'ying'ce'liang
井底车场平面图,jing'di'che'chang'ping'mian'tu
井上下对照图,jing'shang'xia'dui'zhao'tu
井田区域地形图,jing'tian'qu'yu'di'xing'tu
井筒中心线,jing'tong'zhong'xin'xian
经纬仪,jing'wei'yi
井下测量,jing'xia'ce'liang
井下硐室测量,jing'xia'dong'shi'ce'liang
井下平面控制测量,jing'xia'ping'mian'kong'zhi'ce'liang
绝对高程,jue'dui'gao'cheng
掘进收尺,jue'jin'shou'chi
均方误差,jun'fang'wu'cha
开采沉陷,kai'cai'chen'xian
开采沉陷观测,kai'cai'chen'xian'guan'ce
开采沉陷图,kai'cai'chen'xian'tu
开采沉陷学,kai'cai'chen'xian'xue
开采沉陷预计,kai'cai'chen'xian'yu'ji
空间对象,kong'jian'dui'xiang
空间数据,kong'jian'shu'ju
空间数据结构,kong'jian'shu'ju'jie'gou
空间统计学,kong'jian'tong'ji'xue
空间信息统计学,kong'jian'xin'xi'tong'ji'xue
矿井测量,kuang'jing'ce'liang
矿井提升设备安装测量,kuang'jing'ti'sheng'she'bei'an'zhuang'ce'liang
矿区地面测量,kuang'qu'di'mian'ce'liang
矿区地面测量数据库,kuang'qu'di'mian'ce'liang'shu'ju'ku
矿区控制测量,kuang'qu'kong'zhi'ce'liang
矿区平面直角坐标,kuang'qu'ping'mian'zhi'jiao'zuo'biao
矿区土地复,kuang'qu'tu'di'fu
矿山测量,kuang'shan'ce'liang
矿山测量数据库,kuang'shan'ce'liang'shu'ju'ku
矿山测量学,kuang'shan'ce'liang'xue
矿山地理信息系统,kuang'shan'di'li'xin'xi'xi'tong
矿山经纬仪,kuang'shan'jing'wei'yi
矿山空间信息,kuang'shan'kong'jian'xin'xi
矿山空间信息编码,kuang'shan'kong'jian'xin'xi'bian'ma
矿体几何,kuang'ti'ji'he
矿体几何学,kuang'ti'ji'he'xue
矿体几何制图,kuang'ti'ji'he'zhi'tu
矿体信息可视化,kuang'ti'xin'xi'ke'shi'hua
矿田区域地形图,kuang'tian'qu'yu'di'xing'tu
矿图,kuang'tu
立井施工测量,li'jing'shi'gong'ce'liang
立井十字中线,li'jing'shi'zi'zhong'xian
立井中心,li'jing'zhong'xin
连接三角形法,lian'jie'san'jiao'xing'fa
联系测量,lian'xi'ce'liang
两井定向,liang'jing'ding'xiang
裂缝观测,lie'feng'guan'ce
裂缝角,lie'feng'jiao
临界开采,lin'jie'kai'cai
露天矿测量,lu'tian'kuang'ce'liang
露天矿工程测,lu'tian'kuang'gong'cheng'ce
露天矿控制测量,lu'tian'kuang'kong'zhi'ce'liang
露天矿验收测量,lu'tian'kuang'yan'shou'ce'liang
罗盘仪测量,luo'pan'yi'ce'liang
煤层等厚线图,mei'ceng'deng'hou'xian'tu
煤层等深线图,mei'ceng'deng'shen'xian'tu
煤层底板等高线图,mei'ceng'di'ban'deng'gao'xian'tu
瞄直法,miao'zhi'fa
逆转点法,ni'zhuan'dian'fa
偶然误差,ou'ran'wu'cha
排土场平面图,pai'tu'chang'ping'mian'tu
平板仪,ping'ban'yi
前方交会,qian'fang'jiao'hui
全球定位系统,quan'qiu'ding'wei'xi'tong
全站仪,quan'zhan'yi
三边测量,san'bian'ce'liang
三角测量,san'jiao'ce'liang
三角高程测量,san'jiao'gao'cheng'ce'liang
三维地心坐标系,san'wei'di'xin'zuo'biao'xi
三维激光扫描,san'wei'ji'guang'sao'miao
视距测量,shi'ju'ce'liang
矢量绘图,shi'liang'hui'tu
矢量数据,shi'liang'shu'ju
实体,shi'ti
竖直角,shu'zhi'jiao
数字地形模型,shu'zi'di'xing'mo'xing
数字高程模型,shu'zi'gao'cheng'mo'xing
数字矿山,shu'zi'kuang'shan
数字摄影测量,shu'zi'she'ying'ce'liang
水平角,shui'ping'jiao
水平仪,shui'ping'yi
水平移动系数,shui'ping'yi'dong'xi'shu
水准标尺,shui'zhun'biao'chi
水准测量,shui'zhun'ce'liang
水准尺,shui'zhun'chi
水准基点,shui'zhun'ji'dian
水准零点,shui'zhun'ling'dian
水准路线,shui'zhun'lu'xian
水准仪,shui'zhun'yi
水准原点,shui'zhun'yuan'dian
碎部测量,sui'bu'ce'liang
随机误差,sui'ji'wu'cha
投点,tou'dian
图根控制测量,tu'gen'kong'zhi'ce'liang
陀螺定向,tuo'luo'ding'xiang
陀螺定向光电测距导线,tuo'luo'ding'xiang'guang'dian'ce'ju'dao'xian
陀螺定向误差,tuo'luo'ding'xiang'wu'cha
陀螺方位角,tuo'luo'fang'wei'jiao
陀螺经纬仪,tuo'luo'jing'wei'yi
陀螺经纬仪定向,tuo'luo'jing'wei'yi'ding'xiang
陀螺全站仪,tuo'luo'quan'zhan'yi
陀螺子午线,tuo'luo'zi'wu'xian
围护带,wei'hu'dai
稳定投点,wen'ding'tou'dian
系统误差,xi'tong'wu'cha
下沉系数,xia'chen'xi'shu
相对高度,xiang'dui'gao'du
象限角,xiang'xian'jiao
悬挂带零位观测,xuan'gua'dai'ling'wei'guan'ce
悬挂罗盘仪,xuan'gua'luo'pan'yi
岩层移动,yan'ceng'yi'dong
腰线,yao'xian
移动角,yi'dong'jiao
移动盆地主断面,yi'dong'pen'di'zhu'duan'mian
一井定向,yi'jing'ding'xiang
允许误差,yun'xu'wu'cha
照准仪,zhao'zhun'yi
支导线,zhi'dao'xian
直接水准测量,zhi'jie'shui'zhun'ce'liang
中天法,zhong'tian'fa
中误差,zhong'wu'cha
中线,zhong'xian
主要巷道平面图,zhu'yao'hang'dao'ping'mian'tu
主要影响半径,zhu'yao'ying'xiang'ban'jing
自动安平水准仪,zi'dong'an'ping'shui'zhun'yi
资源与环境遥感,zi'yuan'yu'huan'jing'yao'gan
钻孔伸长仪,zuan'kong'shen'chang'yi
坐标方位角,zuo'biao'fang'wei'jiao
