阿北路,a'bei'lu
包头温州商会温州街,bao'tou'wen'zhou'shang'hui'wen'zhou'jie
包头眼科医院,bao'tou'yan'ke'yi'yuan
包头伊利,bao'tou'yi'li
包头医学院,bao'tou'yi'xue'yuan
包头站,bao'tou'zhan
包头职大,bao'tou'zhi'da
北奔重卡,bei'ben'zhong'ka
北方宾馆,bei'fang'bin'guan
北方股份,bei'fang'gu'fen
北方医院,bei'fang'yi'yuan
北京华联超市友谊店,bei'jing'hua'lian'chao'shi'you'yi'dian
北沙梁,bei'sha'liang
北新街,bei'xin'jie
北兴加油站,bei'xing'jia'you'zhan
北洋饭店,bei'yang'fan'dian
北重培训中心,bei'zhong'pei'xun'zhong'xin
边防支队,bian'fang'zhi'dui
滨河小区,bin'he'xiao'qu
财神庙,cai'shen'miao
财校,cai'xiao
财政局,cai'zheng'ju
曹家营村,cao'jia'ying'cun
曹家营蔬菜批发中心,cao'jia'ying'shu'cai'pi'fa'zhong'xin
曹家营子,cao'jia'ying'zi
草原水泥厂,cao'yuan'shui'ni'chang
柴脑包,chai'nao'bao
昌福窑,chang'fu'yao
厂汉,chang'han
厂前路,chang'qian'lu
长途汽车站,chang'tu'qi'che'zhan
朝聚眼科医院,chao'ju'yan'ke'yi'yuan
超越大酒店,chao'yue'da'jiu'dian
车管所,che'guan'suo
车轮总厂,che'lun'zong'chang
晨光牙科,chen'guang'ya'ke
晨旭修理厂,chen'xu'xiu'li'chang
城梁,cheng'liang
城梁卫生院,cheng'liang'wei'sheng'yuan
城外城俱乐部,cheng'wai'cheng'ju'le'bu
臭水井,chou'shui'jing
储运站,chu'yun'zhan
春竹专卖店,chun'zhu'zhuan'mai'dian
磁性材料厂,ci'xing'cai'liao'chang
打不气,da'bu'qi
大发,da'fa
大富豪酒店,da'fu'hao'jiu'dian
达丽雅,da'li'ya
大连开发区,da'lian'kai'fa'qu
大连新型小区,da'lian'xin'xing'xiao'qu
大庙,da'miao
大青山机械制造公司,da'qing'shan'ji'xie'zhi'zao'gong'si
大圣鹿业,da'sheng'lu'ye
大信建材装饰公司,da'xin'jian'cai'zhuang'shi'gong'si
大自然旅行社,da'zi'ran'lv'xing'she
道口,dao'kou
德源洗浴休闲广场,de'yuan'xi'yu'xiu'xian'guang'chang
邓家营村,deng'jia'ying'cun
第二储运公司,di'er'chu'yun'gong'si
电厂宿舍,dian'chang'su'she
电视台,dian'shi'tai
东百大楼,dong'bai'da'lou
东百商城,dong'bai'shang'cheng
东百商厦,dong'bai'shang'sha
东宝,dong'bao
东二里半,dong'er'li'ban
东方本田,dong'fang'ben'tian
东壕口,dong'hao'kou
东河法院,dong'he'fa'yuan
东河火车站,dong'he'huo'che'zhan
东河区政府,dong'he'qu'zheng'fu
东河劝业城,dong'he'quan'ye'cheng
东河税务局,dong'he'shui'wu'ju
东华货仓,dong'hua'huo'cang
东门外大街,dong'men'wai'da'jie
东乌兰计,dong'wu'lan'ji
东站,dong'zhan
东站货场,dong'zhan'huo'chang
都兰小区,dou'lan'xiao'qu
段四圪堵,duan'si'ge'du
鄂日登路,e'ri'deng'lu
二厂,er'chang
二厂东门,er'chang'dong'men
二厂南门外,er'chang'nan'men'wai
二厂西门,er'chang'xi'men
二厂西门外,er'chang'xi'men'wai
二厂邮电局,er'chang'you'dian'ju
二道沙河村,er'dao'sha'he'cun
二道沙河桥,er'dao'sha'he'qiao
二电厂,er'dian'chang
二队菜市场,er'dui'cai'shi'chang
二附院,er'fu'yuan
二宫,er'gong
二海壕村,er'hai'hao'cun
二机二中,er'ji'er'zhong
二九一医院,er'jiu'yi'yi'yuan
二里半,er'li'ban
二旅社,er'lv'she
二十八中,er'shi'ba'zhong
二十二中,er'shi'er'zhong
二十九中南校区,er'shi'jiu'zhong'nan'xiao'qu
二十五中,er'shi'wu'zhong
二十中,er'shi'zhong
凡尔赛宫邸,fan'er'sai'gong'di
繁荣道,fan'rong'dao
纺织总厂,fang'zhi'zong'chang
废钢,fei'gang
丰盈道,feng'ying'dao
富丽佳苑,fu'li'jia'yuan
富丽佳园小区,fu'li'jia'yuan'xiao'qu
富林市场,fu'lin'shi'chang
富强路,fu'qiang'lu
富强南路,fu'qiang'nan'lu
富强市场,fu'qiang'shi'chang
富强中路,fu'qiang'zhong'lu
附属医院,fu'shu'yi'yuan
干部教育中心,gan'bu'jiao'yu'zhong'xin
钢材市场,gang'cai'shi'chang
钢三十七街坊,gang'san'shi'qi'jie'fang
钢铁大街,gang'tie'da'jie
高新花园,gao'xin'hua'yuan
高新双语学校,gao'xin'shuang'yu'xue'xiao
工程机械商城,gong'cheng'ji'xie'shang'cheng
供电宾馆,gong'dian'bin'guan
公交集团,gong'jiao'ji'tuan
公交一公司,gong'jiao'yi'gong'si
公交运输集团,gong'jiao'yun'shu'ji'tuan
工农贸易货栈,gong'nong'mao'yi'huo'zhan
公汽宿舍,gong'qi'su'she
公汽一公司,gong'qi'yi'gong'si
共青场部,gong'qing'chang'bu
共青小区,gong'qing'xiao'qu
供销社,gong'xiao'she
工业二园区,gong'ye'er'yuan'qu
工业路口,gong'ye'lu'kou
购物广场,gou'wu'guang'chang
古城湾,gu'cheng'wan
古城湾乡,gu'cheng'wan'xiang
骨里香熟食友谊店,gu'li'xiang'shu'shi'you'yi'dian
呱呱叫食品厂,gua'gua'jiao'shi'pin'chang
呱呱叫调味品厂,gua'gua'jiao'tiao'wei'pin'chang
官将,guan'jiang
官井梁,guan'jing'liang
光彩街,guang'cai'jie
光彩街市场,guang'cai'jie'shi'chang
光辉假日酒店,guang'hui'jia'ri'jiu'dian
广汇商城,guang'hui'shang'cheng
桂园大酒店,gui'yuan'da'jiu'dian
国道,guo'dao
哈林格尔,ha'lin'ge'er
哈林格尔村,ha'lin'ge'er'cun
哈林格尔乡政府,ha'lin'ge'er'xiang'zheng'fu
哈业胡同乡,ha'ye'hu'tong'xiang
哈业脑包,ha'ye'nao'bao
海德俱乐部,hai'de'ju'le'bu
海威小区,hai'wei'xiao'qu
韩庆坝,han'qing'ba
壕赖沟村,hao'lai'gou'cun
和发稀土集团,he'fa'xi'tu'ji'tuan
核工业二,he'gong'ye'er
和平村村委会,he'ping'cun'cun'wei'hui
和平村三队,he'ping'cun'san'dui
和平村委会,he'ping'cun'wei'hui
和平村卫生院,he'ping'cun'wei'sheng'yuan
和平村医院,he'ping'cun'yi'yuan
和平路,he'ping'lu
和平商贸,he'ping'shang'mao
和平商贸公司,he'ping'shang'mao'gong'si
河西公园,he'xi'gong'yuan
恒大华府,heng'da'hua'fu
宏昌学校,hong'chang'xue'xiao
红旗农场,hong'qi'nong'chang
红星,hong'xing
后营子,hou'ying'zi
后营子村,hou'ying'zi'cun
互助道与科学路口,hu'zhu'dao'yu'ke'xue'lu'kou
华宝机械制造厂,hua'bao'ji'xie'zhi'zao'chang
画匠营子,hua'jiang'ying'zi
华美稀土,hua'mei'xi'tu
华泰食品有限责任公司,hua'tai'shi'pin'you'xian'ze'ren'gong'si
华新机械,hua'xin'ji'xie
花苑,hua'yuan
环宇驾校,huan'yu'jia'xiao
黄草洼村,huang'cao'wa'cun
黄河大街,huang'he'da'jie
黄河大桥,huang'he'da'qiao
黄河电影院,huang'he'dian'ying'yuan
黄河渡口,huang'he'du'kou
黄河饭店,huang'he'fan'dian
黄河化工集团,huang'he'hua'gong'ji'tuan
黄河化工油脂厂,huang'he'hua'gong'you'zhi'chang
黄河路,huang'he'lu
黄河乳牛厂,huang'he'ru'niu'chang
黄河水源厂,huang'he'shui'yuan'chang
黄河小区,huang'he'xiao'qu
黄金小区,huang'jin'xiao'qu
回民办事处,hui'min'ban'shi'chu
回民中学,hui'min'zhong'xue
会展中心,hui'zhan'zhong'xin
货运公司,huo'yun'gong'si
货栈,huo'zhan
机动车检测中心,ji'dong'che'jian'ce'zhong'xin
机务段,ji'wu'duan
机械商城,ji'xie'shang'cheng
集装箱,ji'zhuang'xiang
甲尔坝农贸市场,jia'er'ba'nong'mao'shi'chang
甲尔坝新村,jia'er'ba'xin'cun
驾驶员培训中心,jia'shi'yuan'pei'xun'zhong'xin
加油站,jia'you'zhan
建材商城,jian'cai'shang'cheng
健康路,jian'kang'lu
健康阳光城,jian'kang'yang'guang'cheng
建设路,jian'she'lu
建委,jian'wei
江南文枢苑,jiang'nan'wen'shu'yuan
交建公司,jiao'jian'gong'si
交界营子,jiao'jie'ying'zi
交警支队,jiao'jing'zhi'dui
交通治安分局,jiao'tong'zhi'an'fen'ju
教育印刷厂,jiao'yu'yin'shua'chang
金地大酒店,jin'di'da'jiu'dian
金荣建材城,jin'rong'jian'cai'cheng
金荣装饰建材城,jin'rong'zhuang'shi'jian'cai'cheng
金三角,jin'san'jiao
精胶厂,jing'jiao'chang
井坪新村,jing'ping'xin'cun
精益验光配镜中心,jing'yi'yan'guang'pei'jing'zhong'xin
九星大楼,jiu'xing'da'lou
九星电子大楼,jiu'xing'dian'zi'da'lou
九原地税局,jiu'yuan'di'shui'ju
九原国防委,jiu'yuan'guo'fang'wei
九原剧院,jiu'yuan'ju'yuan
九原体育场,jiu'yuan'ti'yu'chang
九原一中队,jiu'yuan'yi'zhong'dui
巨风风机厂,ju'feng'feng'ji'chang
居雅企业,ju'ya'qi'ye
军分区,jun'fen'qu
开发区公交站,kai'fa'qu'gong'jiao'zhan
开发区管委会,kai'fa'qu'guan'wei'hui
凯星国际建材中心,kai'xing'guo'ji'jian'cai'zhong'xin
康复路小学,kang'fu'lu'xiao'xue
康宏兽药公司,kang'hong'shou'yao'gong'si
康乐小区,kang'le'xiao'qu
康瑞药玻公司,kang'rui'yao'bo'gong'si
科大附中,ke'da'fu'zhong
科技大学,ke'ji'da'xue
科技路,ke'ji'lu
科隆大酒店,ke'long'da'jiu'dian
科隆家电城,ke'long'jia'dian'cheng
科学路,ke'xue'lu
矿机宿舍,kuang'ji'su'she
矿机小区,kuang'ji'xiao'qu
矿研所,kuang'yan'suo
昆百,kun'bai
昆百大楼,kun'bai'da'lou
昆北路,kun'bei'lu
昆河北桥,kun'he'bei'qiao
昆河南桥,kun'he'nan'qiao
昆仑,kun'lun
昆仑百货,kun'lun'bai'huo
昆仑百货大楼,kun'lun'bai'huo'da'lou
昆区法院,kun'qu'fa'yuan
昆区供电局,kun'qu'gong'dian'ju
昆区交警大队,kun'qu'jiao'jing'da'dui
昆区交警七中队,kun'qu'jiao'jing'qi'zhong'dui
昆区征费所,kun'qu'zheng'fei'suo
兰桂村,lan'gui'cun
蓝天商厦,lan'tian'shang'sha
劳动大厦,lao'dong'da'sha
劳动公园,lao'dong'gong'yuan
劳动局,lao'dong'ju
劳动路,lao'dong'lu
立交桥,li'jiao'qiao
丽日花园,li'ri'hua'yuan
邻圃道,lin'pu'dao
零公里,ling'gong'li
刘二圪梁,liu'er'ge'liang
刘三种圪旦,liu'san'zhong'ge'dan
柳树湾,liu'shu'wan
六医院,liu'yi'yuan
留柱窑村,liu'zhu'yao'cun
留柱窑新村,liu'zhu'yao'xin'cun
刘柱窑子,liu'zhu'yao'zi
龙凤阁美食广场,long'feng'ge'mei'shi'guang'chang
龙隆灯饰布艺广场,long'long'deng'shi'bu'yi'guang'chang
龙苑小区,long'yuan'xiao'qu
鹿晨私立学校,lu'chen'si'li'xue'xiao
鹿城饭店,lu'cheng'fan'dian
鹿峰建材总厂,lu'feng'jian'cai'zong'chang
六合成,lu'he'cheng
六合成公交站,lu'he'cheng'gong'jiao'zhan
鹿西市场,lu'xi'shi'chang
骆驼巴子,luo'tuo'ba'zi
吕祖庙,lv'zu'miao
麻池城梁,ma'chi'cheng'liang
麻池供销社,ma'chi'gong'xiao'she
麻池乡,ma'chi'xiang
麻池小学,ma'chi'xiao'xue
麻池医院分院,ma'chi'yi'yuan'fen'yuan
麻池镇政府,ma'chi'zhen'zheng'fu
满都拉娱乐城,man'dou'la'yu'le'cheng
蔓菁甲坝,man'jing'jia'ba
毛鬼神窑子,mao'gui'shen'yao'zi
梅力更,mei'li'geng
孟家河湾,meng'jia'he'wan
蒙中,meng'zhong
蒙中医院,meng'zhong'yi'yuan
棉纺,mian'fang
棉纺厂,mian'fang'chang
民兵训练基地,min'bing'xun'lian'ji'di
民航大厦,min'hang'da'sha
民航小区,min'hang'xiao'qu
民主路,min'zhu'lu
民主路与科学路口,min'zhu'lu'yu'ke'xue'lu'kou
民族东路,min'zu'dong'lu
名人鞋城,ming'ren'xie'cheng
明日星城,ming'ri'xing'cheng
穆斯林大厦,mu'si'lin'da'sha
娜琳商厦,na'lin'shang'sha
耐火厂路,nai'huo'chang'lu
南海村,nan'hai'cun
南海公园,nan'hai'gong'yuan
南壕村东门,nan'hao'cun'dong'men
南郊信用社,nan'jiao'xin'yong'she
南排道,nan'pai'dao
南桥七十九街坊,nan'qiao'qi'shi'jiu'jie'fang
南市场,nan'shi'chang
内蒙古地勘五院,nei'meng'gu'di'kan'wu'yuan
内蒙古科技大学,nei'meng'gu'ke'ji'da'xue
农机学校,nong'ji'xue'xiao
农贸大厅,nong'mao'da'ting
农牧学校,nong'mu'xue'xiao
农研所,nong'yan'suo
七医院,qi'yi'yuan
恰特,qia'te
前进机械制造厂,qian'jin'ji'xie'zhi'zao'chang
前进乡,qian'jin'xiang
青北道,qing'bei'dao
青东东路,qing'dong'dong'lu
青东路,qing'dong'lu
轻工学院,qing'gong'xue'yuan
轻工中专,qing'gong'zhong'zhuan
青年路,qing'nian'lu
青年农场,qing'nian'nong'chang
青年生态园,qing'nian'sheng'tai'yuan
青年生态圆,qing'nian'sheng'tai'yuan
青年之家,qing'nian'zhi'jia
青山宾馆,qing'shan'bin'guan
青山检察院,qing'shan'jian'cha'yuan
青山交警大队,qing'shan'jiao'jing'da'dui
青山区服务中心,qing'shan'qu'fu'wu'zhong'xin
青山区中医院,qing'shan'qu'zhong'yi'yuan
青山商厦,qing'shan'shang'sha
青山征费处,qing'shan'zheng'fei'chu
青一百,qing'yi'bai
全巴图乡政府,quan'ba'tu'xiang'zheng'fu
全聚德烤鸭店,quan'ju'de'kao'ya'dian
仁爱门诊部,ren'ai'men'zhen'bu
赛汗塔拉,sai'han'ta'la
赛汗塔拉公园,sai'han'ta'la'gong'yuan
三岔口,san'cha'kou
三岔路口,san'cha'lu'kou
三厂,san'chang
三道沙河,san'dao'sha'he
三道沙河村,san'dao'sha'he'cun
三十八中,san'shi'ba'zhong
三十三中,san'shi'san'zhong
三十五中,san'shi'wu'zhong
三医院后门,san'yi'yuan'hou'men
三医院门诊,san'yi'yuan'men'zhen
三运公司,san'yun'gong'si
森警大队,sen'jing'da'dui
山羊圪堵,shan'yang'ge'du
上古城湾村,shang'gu'cheng'wan'cun
上古城湾村委会,shang'gu'cheng'wan'cun'wei'hui
商贸大厦,shang'mao'da'sha
商业街,shang'ye'jie
商业局,shang'ye'ju
少先路,shao'xian'lu
少先路东口,shao'xian'lu'dong'kou
社会福利院,she'hui'fu'li'yuan
神华佳苑,shen'hua'jia'yuan
圣澳音乐广场,sheng'ao'yin'yue'guang'chang
胜利路,sheng'li'lu
盛世嘉苑,sheng'shi'jia'yuan
市公安局,shi'gong'an'ju
石拐,shi'guai
市教育局,shi'jiao'yu'ju
十六中,shi'liu'zhong
市人大,shi'ren'da
市三医院,shi'san'yi'yuan
市少年宫,shi'shao'nian'gong
市委,shi'wei
市政府,shi'zheng'fu
树人学校,shu'ren'xue'xiao
斯伯润饮品,si'bo'run'yin'pin
四道沙河,si'dao'sha'he
四道沙河村,si'dao'sha'he'cun
四道沙河桥,si'dao'sha'he'qiao
饲料公司,si'liao'gong'si
四十六中,si'shi'liu'zhong
四医院,si'yi'yuan
松石名第,song'shi'ming'di
松石雅居小区,song'shi'ya'ju'xiao'qu
索家圪旦,suo'jia'ge'dan
锁呐,suo'na
太平寺商城,tai'ping'si'shang'cheng
太平寺商业城,tai'ping'si'shang'ye'cheng
太平洋商厦,tai'ping'yang'shang'sha
搪瓷厂,tang'ci'chang
体育公园,ti'yu'gong'yuan
天安学院,tian'an'xue'yuan
天合义,tian'he'yi
天云商厦,tian'yun'shang'sha
天云商厦西,tian'yun'shang'sha'xi
铁工校,tie'gong'xiao
铁路加油站,tie'lu'jia'you'zhan
铁路宿舍,tie'lu'su'she
铁西区,tie'xi'qu
铁西土二楼,tie'xi'tu'er'lou
铁鑫大厦,tie'xin'da'sha
通达路,tong'da'lu
同利商场,tong'li'shang'chang
同利四角分店,tong'li'si'jiao'fen'dian
通顺,tong'shun
通顺市场,tong'shun'shi'chang
同益轩,tong'yi'xuan
土黑麻淖,tu'hei'ma'nao
屠宰场,tu'zai'chang
瓦窑沟,wa'yao'gou
万南路,wan'nan'lu
万青陵园,wan'qing'ling'yuan
万青路,wan'qing'lu
万水泉村,wan'shui'quan'cun
万水泉火车站,wan'shui'quan'huo'che'zhan
王大汉村,wang'da'han'cun
王大汉营子,wang'da'han'ying'zi
王府井青山店,wang'fu'jing'qing'shan'dian
文光艺术中心,wen'guang'yi'shu'zhong'xin
文明路,wen'ming'lu
文明小区,wen'ming'xiao'qu
温州商贸城,wen'zhou'shang'mao'cheng
温州商厦,wen'zhou'shang'sha
沃土壕,wo'tu'hao
五二研究所,wu'er'yan'jiu'suo
五家圪旦,wu'jia'ge'dan
武警医院,wu'jing'yi'yuan
武警支队,wu'jing'zhi'dui
五一市场,wu'yi'shi'chang
西北门,xi'bei'men
西北门转盘,xi'bei'men'zhuan'pan
西阁外,xi'ge'wai
西河楞,xi'he'leng
西河路,xi'he'lu
锡华俱乐部,xi'hua'ju'le'bu
西井湾,xi'jing'wan
西脑包,xi'nao'bao
西脑包村,xi'nao'bao'cun
西脑包同祥大药房,xi'nao'bao'tong'xiang'da'yao'fang
西沙梁二区,xi'sha'liang'er'qu
稀土国际大酒店,xi'tu'guo'ji'da'jiu'dian
希望铝业,xi'wang'lv'ye
希望饲料,xi'wang'si'liao
希望饲料公司,xi'wang'si'liao'gong'si
西一街,xi'yi'jie
先锋道,xian'feng'dao
祥和商城,xiang'he'shang'cheng
小白楼,xiao'bai'lou
消防指挥中心,xiao'fang'zhi'hui'zhong'xin
小尾羊大厦,xiao'wei'yang'da'sha
小型轧钢厂,xiao'xing'zha'gang'chang
校园路,xiao'yuan'lu
校园路小学,xiao'yuan'lu'xiao'xue
新曹家营子,xin'cao'jia'ying'zi
新曹家营子村,xin'cao'jia'ying'zi'cun
新城村,xin'cheng'cun
新大漠公司,xin'da'mo'gong'si
新光西路,xin'guang'xi'lu
新纪元公司,xin'ji'yuan'gong'si
新马场,xin'ma'chang
鑫垣公司,xin'yuan'gong'si
新中西街,xin'zhong'xi'jie
幸福南路,xing'fu'nan'lu
兴航路,xing'hang'lu
兴胜乡北村,xing'sheng'xiang'bei'cun
兴胜乡政府,xing'sheng'xiang'zheng'fu
兴胜镇,xing'sheng'zhen
蓄电池厂,xu'dian'chi'chang
旭日红鞋城,xu'ri'hong'xie'cheng
亚麻厂,ya'ma'chang
阳光尚品,yang'guang'shang'pin
阳光小区,yang'guang'xiao'qu
阳光雅局,yang'guang'ya'ju
冶金研究所,ye'jin'yan'jiu'suo
一电厂门岗,yi'dian'chang'men'gang
移动通信公司,yi'dong'tong'xin'gong'si
一附院,yi'fu'yuan
一宫,yi'gong
一号楼,yi'hao'lou
一机二中,yi'ji'er'zhong
一机公园,yi'ji'gong'yuan
一机俱乐部,yi'ji'ju'le'bu
一机三小,yi'ji'san'xiao
一机医院,yi'ji'yi'yuan
一机一中,yi'ji'yi'zhong
一机招待所,yi'ji'zhao'dai'suo
银海新村,yin'hai'xin'cun
银河广场,yin'he'guang'chang
银河游泳馆,yin'he'you'yong'guan
银匠窑子村,yin'jiang'yao'zi'cun
尹六窑子,yin'liu'yao'zi
银座日本料理,yin'zuo'ri'ben'liao'li
迎宾道,ying'bin'dao
英华大酒店,ying'hua'da'jiu'dian
永茂隆,yong'mao'long
永盛成超市团结店,yong'sheng'cheng'chao'shi'tuan'jie'dian
邮电大楼,you'dian'da'lou
邮电大厦,you'dian'da'sha
友谊大街,you'yi'da'jie
友谊广场,you'yi'guang'chang
友谊商场,you'yi'shang'chang
友谊市场,you'yi'shi'chang
友谊蔬菜批发市场,you'yi'shu'cai'pi'fa'shi'chang
友谊轧钢厂,you'yi'zha'gang'chang
裕丰,yu'feng
御澜世家,yu'lan'shi'jia
原销处,yuan'xiao'chu
云龙骨科医院,yun'long'gu'ke'yi'yuan
韵升强磁,yun'sheng'qiang'ci
造纸厂,zao'zhi'chang
站北路,zhan'bei'lu
站前路,zhan'qian'lu
张家营村,zhang'jia'ying'cun
张家营子,zhang'jia'ying'zi
张家营子检查站,zhang'jia'ying'zi'jian'cha'zhan
张四圪旦,zhang'si'ge'dan
赵家店,zhao'jia'dian
赵家营村,zhao'jia'ying'cun
赵家营子,zhao'jia'ying'zi
赵家营子村,zhao'jia'ying'zi'cun
沼潭西路,zhao'tan'xi'lu
召湾,zhao'wan
郑二窑子,zheng'er'yao'zi
征费处,zheng'fei'chu
征稽局,zheng'ji'ju
中国联通包头分公司,zhong'guo'lian'tong'bao'tou'fen'gong'si
中石油,zhong'shi'you
众兴办事处,zhong'xing'ban'shi'chu
转龙液酒厂,zhuan'long'ye'jiu'chang
转龙藏,zhuan'long'zang
自来水公司,zi'lai'shui'gong'si
自由路,zi'you'lu
自由路与科学路口,zi'you'lu'yu'ke'xue'lu'kou
总部经济园,zong'bu'jing'ji'yuan
