阿尔伯特,a'er'bo'te
国力较弱而刘邦,guo'li'jiao'ruo'er'liu'bang
国力衰弱,guo'li'shuai'ruo
哈拉和林,ha'la'he'lin
还包括,hai'bao'kuo
还模仿了,hai'mo'fang'le
汉朝采用,han'chao'cai'yong
汉朝的,han'chao'de
汉朝皇帝,han'chao'huang'di
汉朝经历,han'chao'jing'li
汉朝是,han'chao'shi
汉朝统治时期,han'chao'tong'zhi'shi'qi
汉朝先后出现了,han'chao'xian'hou'chu'xian'le
汉朝以,han'chao'yi
汉朝正朔,han'chao'zheng'shuo
汉成帝,han'cheng'di
汉代起初在,han'dai'qi'chu'zai
汉帝国,han'di'guo
汉高祖,han'gao'zu
汉高祖刘邦,han'gao'zu'liu'bang
汉高祖元年,han'gao'zu'yuan'nian
汉光武帝,han'guang'wu'di
汉光武帝刘秀,han'guang'wu'di'liu'xiu
汉惠帝刘盈继位,han'hui'di'liu'ying'ji'wei
汉景帝,han'jing'di
汉人,han'ren
汉书,han'shu
汉王朝,han'wang'chao
汉王算起,han'wang'suan'qi
汉文帝,han'wen'di
汉文译音,han'wen'yi'yin
汉文译音是,han'wen'yi'yin'shi
汉武帝,han'wu'di
汉武帝晚年,han'wu'di'wan'nian
韩信,han'xin
汉元帝即位,han'yuan'di'ji'wei
汉昭帝,han'zhao'di
杭爱山区,hang'ai'shan'qu
好大喜功,hao'da'xi'gong
好女色,hao'nv'se
合称两汉,he'cheng'liang'han
合称为,he'cheng'wei
和第,he'di
和籴法,he'di'fa
赫尔曼,he'er'man
和后来,he'hou'lai
和刘邦,he'liu'bang
和亲,he'qin
和亲政策,he'qin'zheng'ce
和同时期的,he'tong'shi'qi'de
和赵国的中国人,he'zhao'guo'de'zhong'guo'ren
和之后的,he'zhi'hou'de
横吊在腰背部,heng'diao'zai'yao'bei'bu
厚厚的眉毛,hou'hou'de'mei'mao
后来秦始皇,hou'lai'qin'shi'huang
后又,hou'you
换取和平,huan'qu'he'ping
还政于,huan'zheng'yu
黄金成色,huang'jin'cheng'se
黄老,huang'lao
黄老学说,huang'lao'xue'shuo
黄老政策,huang'lao'zheng'ce
皇太后,huang'tai'hou
恢复了,hui'fu'le
恢复礼法,hui'fu'li'fa
辉煌的文明,hui'huang'de'wen'ming
或更含糊地被叫作,huo'geng'han'hu'de'bei'jiao'zuo
霍光,huo'guang
霍光从此,huo'guang'cong'ci
霍光去世,huo'guang'qu'shi
霍光延续,huo'guang'yan'xu
霍去病,huo'qu'bing
或首领,huo'shou'ling
即公元第,ji'gong'yuan'di
积极对付,ji'ji'dui'fu
积极治国,ji'ji'zhi'guo
即南俄罗斯时,ji'nan'e'luo'si'shi
继秦朝之后,ji'qin'chao'zhi'hou
即史书上,ji'shi'shu'shang
计算西汉年数时,ji'suan'xi'han'nian'shu'shi
即屠耆王,ji'tu'qi'wang
即为,ji'wei
即位,ji'wei
即位期间,ji'wei'qi'jian
继续采取,ji'xu'cai'qu
积蓄国力,ji'xu'guo'li
即在鄂尔多斯,ji'zai'e'er'duo'si
假皇帝西元,jia'huang'di'xi'yuan
加强国家,jia'qiang'guo'jia
加强农业生产,jia'qiang'nong'ye'sheng'chan
加上汉武帝,jia'shang'han'wu'di
建都长安,jian'du'chang'an
建都洛阳,jian'du'luo'yang
建立的,jian'li'de
建立新朝,jian'li'xin'chao
箭筒也,jian'tong'ye
箭头朝着右边,jian'tou'chao'zhe'you'bian
建武二年,jian'wu'er'nian
降低国家在经济中的角色经过了,jiang'di'guo'jia'zai'jing'ji'zhong'de'jue'se'jing'guo'le
将霍氏集团,jiang'huo'shi'ji'tuan
皆采用了这种说法,jie'cai'yong'le'zhe'zhong'shuo'fa
接替董贤,jie'ti'dong'xian
今鄂尔多斯北部地区,jin'e'er'duo'si'bei'bu'di'qu
进而控制西域,jin'er'kong'zhi'xi'yu
金日磾,jin'ri'di
进一步膨胀,jin'yi'bu'peng'zhang
经此二次事件后,jing'ci'er'ci'shi'jian'hou
景帝死后,jing'di'si'hou
经济军事,jing'ji'jun'shi
经历数月,jing'li'shu'yue
竟死在,jing'si'zai
就基本上,jiu'ji'ben'shang
就建在这儿,jiu'jian'zai'zhe'er
酒色侵骨,jiu'se'qin'gu
巨大破坏,ju'da'po'huai
据中国史家,ju'zhong'guo'shi'jia
均将由,jun'jiang'you
军事上,jun'shi'shang
均输,jun'shu
均为,jun'wei
开辟了,kai'pi'le
开凿白渠,kai'zao'bai'qu
砍下的,kan'xia'de
克鲁伦高地,ke'lu'lun'gao'di
可能像,ke'neng'xiang
可能在,ke'neng'zai
可能这些匈奴人,ke'neng'zhe'xie'xiong'nu'ren
可以发现突厥,ke'yi'fa'xian'tu'jue
可以看到,ke'yi'kan'dao
孔雀王朝,kong'que'wang'chao
宽大的裤子,kuan'da'de'ku'zi
宽松长袍,kuan'song'chang'pao
阔脸,kuo'lian
来饮酒,lai'yin'jiu
老上单于用,lao'shang'chan'yu'yong
了匈奴一名,le'xiong'nu'yi'ming
垒起最初的城墙,lei'qi'zui'chu'de'cheng'qiang
类似的现象,lei'si'de'xian'xiang
离间西域和匈奴,li'jian'xi'yu'he'xiong'nu
历经二千年的,li'jing'er'qian'nian'de
里面嵌上金片,li'mian'qian'shang'jin'pian
两边开叉的,liang'bian'kai'cha'de
两次派,liang'ci'pai
两个历史时期,liang'ge'li'shi'shi'qi
列侯,lie'hou
列入汉朝的延续,lie'ru'han'chao'de'yan'xu
邻近诸国的,lin'jin'zhu'guo'de
刘骜,liu'ao
刘邦,liu'bang
刘邦称,liu'bang'cheng
刘邦死后,liu'bang'si'hou
刘邦在手下萧何,liu'bang'zai'shou'xia'xiao'he
刘备,liu'bei
刘病己是为汉宣帝,liu'bing'ji'shi'wei'han'xuan'di
刘彻,liu'che
刘弗陵,liu'fu'ling
刘贺,liu'he
刘解忧,liu'jie'you
刘据,liu'ju
刘衎,liu'kan
刘衎已经,liu'kan'yi'jing
刘启,liu'qi
六人,liu'ren
刘细君,liu'xi'jun
刘向,liu'xiang
刘欣,liu'xin
刘歆,liu'xin
刘秀,liu'xiu
刘婴,liu'ying
留着一束头发外,liu'zhe'yi'shu'tou'fa'wai
绿林军,lu'lin'jun
轮台之诏,lun'tai'zhi'zhao
沦为,lun'wei
罗马帝国,luo'ma'di'guo
罗马人和,luo'ma'ren'he
吕后,lv'hou
吕后死后,lv'hou'si'hou
吕后以,lv'hou'yi
马斯佩罗推测,ma'si'pei'luo'tui'ce
蒙古人的都城,meng'gu'ren'de'du'cheng
蒙古语词,meng'gu'yu'ci
蒙古语词根,meng'gu'yu'ci'gen
蒙古种,meng'gu'zhong
蒙古种的游牧民中,meng'gu'zhong'de'you'mu'min'zhong
密谋除掉霍光,mi'mou'chu'diao'huo'guang
民族是以,min'zu'shi'yi
明帝,ming'di
明显恢复,ming'xian'hui'fu
漠南无王庭,mo'nan'wu'wang'ting
末世之象,mo'shi'zhi'xiang
目光炯炯有神,mu'guang'jiong'jiong'you'shen
那里学来的,na'li'xue'lai'de
南越,nan'yue
南越国,nan'yue'guo
内依次有,nei'yi'ci'you
年号建武,nian'hao'jian'wu
年仅八岁的,nian'jin'ba'sui'de
年在位,nian'zai'wei
酿成,niang'cheng
佩戴着一只耳环,pei'dai'zhe'yi'zhi'er'huan
彭越,peng'yue
皮套蒙上,pi'tao'meng'shang
平帝,ping'di
平准政策,ping'zhun'zheng'ce
骑兵裤子所取代,qi'bing'ku'zi'suo'qu'dai
起到很大作用的,qi'dao'hen'da'zuo'yong'de
七国之乱,qi'guo'zhi'luan
其间曾有,qi'jian'ceng'you
其人数达到,qi'ren'shu'da'dao
其数目是,qi'shu'mu'shi
其他的部落,qi'ta'de'bu'luo
其他妃嫔,qi'ta'fei'pin
其文字系统,qi'wen'zi'xi'tong
其余部分都剃光,qi'yu'bu'fen'dou'ti'guang
其中在古代史上,qi'zhong'zai'gu'dai'shi'shang
其子,qi'zi
前朝积蓄被挥霍殆尽,qian'chao'ji'xu'bei'hui'huo'dai'jin
千夫长,qian'fu'chang
前汉书,qian'han'shu
强大的民族,qiang'da'de'min'zu
强汉盛唐,qiang'han'sheng'tang
秦朝灭亡,qin'chao'mie'wang
秦朝灭亡以后,qin'chao'mie'wang'yi'hou
清查土地,qing'cha'tu'di
清楚地记载,qing'chu'de'ji'zai
轻徭薄赋,qing'yao'bo'fu
穷兵黩武,qiong'bing'du'wu
取消了,qu'xiao'le
颧骨高,quan'gu'gao
权力急剧膨胀,quan'li'ji'ju'peng'zhang
劝民农桑,quan'min'nong'sang
然后是,ran'hou'shi
认为的那样,ren'wei'de'na'yang
认为汉朝,ren'wei'han'chao
任用外戚,ren'yong'wai'qi
柔仁好儒,rou'ren'hao'ru
如此汉朝灭亡,ru'ci'han'chao'mie'wang
儒家思想,ru'jia'si'xiang
如葬礼上的牺牲,ru'zang'li'shang'de'xi'sheng
孺子婴,ru'zi'ying
锐意进取,rui'yi'jin'qu
萨尔马特人,sa'er'ma'te'ren
洒在插在,sa'zai'cha'zai
三公,san'gong
三国志,san'guo'zhi
三人共同,san'ren'gong'tong
山西北部和河北北部,shan'xi'bei'bu'he'he'bei'bei'bu
山西最北部大同地区,shan'xi'zui'bei'bu'da'tong'di'qu
上百或者上千,shang'bai'huo'zhe'shang'qian
上官桀,shang'guan'jie
上官桀被杀,shang'guan'jie'bei'sha
上胡须浓密,shang'hu'xu'nong'mi
上述服装的一些细部,shang'shu'fu'zhuang'de'yi'xie'xi'bu
上游的山区,shang'you'de'shan'qu
社会与政治制度,she'hui'yu'zheng'zhi'zhi'du
设三公和九卿任用萧何为丞相,she'san'gong'he'jiu'qing'ren'yong'xiao'he'wei'cheng'xiang
设尚书,she'shang'shu
身穿长齐小腿的,shen'chuan'zhang'qi'xiao'tui'de
神圣的,shen'sheng'de
甚至从,shen'zhi'cong
是朝南,shi'chao'nan
史称,shi'cheng
是处于,shi'chu'yu
是当时世界上,shi'dang'shi'shi'jie'shang
使得汉朝,shi'de'han'chao
十夫长,shi'fu'chang
时根据,shi'gen'ju
世纪的秦朝,shi'ji'de'qin'chao
世纪的突厥人中,shi'ji'de'tu'jue'ren'zhong
世纪后半叶,shi'ji'hou'ban'ye
实际上还夺取了,shi'ji'shang'hai'duo'qu'le
世纪时,shi'ji'shi
实际是,shi'ji'shi
史家称,shi'jia'cheng
时间相接则从,shi'jian'xiang'jie'ze'cong
势力兴起,shi'li'xing'qi
使人民,shi'ren'min
是同词源的,shi'tong'ci'yuan'de
是突厥,shi'tu'jue
是为,shi'wei
是为汉,shi'wei'han
是为汉平帝,shi'wei'han'ping'di
是为昭帝,shi'wei'zhao'di
史学界,shi'xue'jie
是一支胡人部落,shi'yi'zhi'hu'ren'bu'luo
十月为,shi'yue'wei
是指那些,shi'zhi'na'xie
使中国,shi'zhong'guo
是中国成为,shi'zhong'guo'cheng'wei
是中国历史上,shi'zhong'guo'li'shi'shang
收归中央管理,shou'gui'zhong'yang'guan'li
首领统帅着,shou'ling'tong'shuai'zhe
蜀汉,shu'han
蜀汉政权,shu'han'zheng'quan
叔孙通,shu'sun'tong
属于火德,shu'yu'huo'de
说法四起,shuo'fa'si'qi
丝绸之路,si'chou'zhi'lu
厮混,si'hun
斯基泰人,si'ji'tai'ren
斯基泰人将,si'ji'tai'ren'jiang
斯基泰人用,si'ji'tai'ren'yong
斯基泰人在,si'ji'tai'ren'zai
司空,si'kong
司马迁记述,si'ma'qian'ji'shu
司徒,si'tu
岁的,sui'de
虽然景帝年间,sui'ran'jing'di'nian'jian
虽然西元前刘邦才称帝,sui'ran'xi'yuan'qian'liu'bang'cai'cheng'di
所称的酎金失侯,suo'cheng'de'zhou'jin'shi'hou
所建立,suo'jian'li
所能谈到的,suo'neng'tan'dao'de
所平定,suo'ping'ding
所确立的,suo'que'li'de
所杀敌人,suo'sha'di'ren
所谓北戎即,suo'wei'bei'rong'ji
他宠信,ta'chong'xin
他和儿子,ta'he'er'zi
他们的继承者,ta'men'de'ji'cheng'zhe
他们的身材,ta'men'de'shen'cai
他们可能被称为,ta'men'ke'neng'bei'cheng'wei
他们那里,ta'men'na'li
他们由,ta'men'you
他死后,ta'si'hou
太皇太后,tai'huang'tai'hou
太尉,tai'wei
唐朝,tang'chao
特别是从,te'bie'shi'cong
特别是裹齐踝部的裤子,te'bie'shi'guo'qi'huai'bu'de'ku'zi
提供了条件,ti'gong'le'tiao'jian
天下共击之,tian'xia'gong'ji'zhi
天下晏然,tian'xia'yan'ran
同时也在,tong'shi'ye'zai
同时又,tong'shi'you
统一的,tong'yi'de
统一和完成了,tong'yi'he'wan'cheng'le
同一蛮族的名称,tong'yi'man'zu'de'ming'cheng
头部除了头顶上,tou'bu'chu'le'tou'ding'shang
头大而圆,tou'da'er'yuan
头戴皮帽,tou'dai'pi'mao
透过马复力,tou'guo'ma'fu'li
头颅以及,tou'lu'yi'ji
图尔盖河流域,tu'er'gai'he'liu'yu
突厥蒙古种民族,tu'jue'meng'gu'zhong'min'zu
突厥人和蒙古人身上,tu'jue'ren'he'meng'gu'ren'shen'shang
屠耆,tu'qi
屠耆王,tu'qi'wang
推恩令,tui'en'ling
退位建立新朝,tui'wei'jian'li'xin'chao
外交上,wai'jiao'shang
外戚王氏,wai'qi'wang'shi
外戚与宦官,wai'qi'yu'huan'guan
王莽,wang'mang
王莽逼迫,wang'mang'bi'po
王莽的傀儡,wang'mang'de'kui'lei
王氏集团,wang'shi'ji'tuan
王政君,wang'zheng'jun
王政君派,wang'zheng'jun'pai
为丞相,wei'cheng'xiang
威格尔概括道,wei'ge'er'gai'kuo'dao
为汉,wei'han
为火德,wei'huo'de
围困于,wei'kun'yu
为了与,wei'le'yu
为灵活的骑兵,wei'ling'huo'de'qi'bing
为抢救经济,wei'qiang'jiu'jing'ji
卫青,wei'qing
为史家所称道,wei'shi'jia'suo'cheng'dao
为外戚,wei'wai'qi
唯一的动乱,wei'yi'de'dong'luan
为由,wei'you
围在肩上,wei'zai'jian'shang
稳定物价,wen'ding'wu'jia
文化上,wen'hua'shang
文景之治,wen'jing'zhi'zhi
温柔乡之中,wen'rou'xiang'zhi'zhong
翁主,weng'zhu
我们在,wo'men'zai
五德始终说,wu'de'shi'zhong'shuo
武帝,wu'di
武帝将,wu'di'jiang
武帝死后,wu'di'si'hou
武帝孙,wu'di'sun
武帝晚年的政策,wu'di'wan'nian'de'zheng'ce
巫蛊之祸,wu'gu'zhi'huo
乌里雅苏台附近,wu'li'ya'su'tai'fu'jin
五年后王莽毒死,wu'nian'hou'wang'mang'du'si
无为而治,wu'wei'er'zhi
无疑地,wu'yi'de
西楚霸王于西元前,xi'chu'ba'wang'yu'xi'yuan'qian
西汉皇族,xi'han'huang'zu
西汉开始走向衰败,xi'han'kai'shi'zou'xiang'shuai'bai
西汉灭亡,xi'han'mie'wang
西汉为,xi'han'wei
希罗多德,xi'luo'duo'de
希望不再,xi'wang'bu'zai
西西伯利亚,xi'xi'bo'li'ya
西域大国,xi'yu'da'guo
西元前,xi'yuan'qian
系在腰带上,xi'zai'yao'dai'shang
先后宠爱,xian'hou'chong'ai
献上的,xian'shang'de
像天子一样广大的首领,xiang'tian'zi'yi'yang'guang'da'de'shou'ling
像一支军队,xiang'yi'zhi'jun'dui
项羽,xiang'yu
萧规曹随,xiao'gui'cao'sui
鞋是皮制的,xie'shi'pi'zhi'de
新朝,xin'chao
新王朝,xin'wang'chao
姓刘,xing'liu
行为放纵,xing'wei'fang'zong
匈奴,xiong'nu
匈奴单于使得,xiong'nu'chan'yu'shi'de
匈奴和,xiong'nu'he
匈奴和斯基泰人,xiong'nu'he'si'ji'tai'ren
匈奴和斯基泰人都是,xiong'nu'he'si'ji'tai'ren'dou'shi
匈奴冒顿单于,xiong'nu'mo'du'chan'yu
匈奴人中,xiong'nu'ren'zhong
匈奴时,xiong'nu'shi
匈奴似乎,xiong'nu'si'hu
匈奴统治集团,xiong'nu'tong'zhi'ji'tuan
匈奴肖像上,xiong'nu'xiao'xiang'shang
匈奴一名,xiong'nu'yi'ming
休养生息,xiu'yang'sheng'xi
袖子在手腕处收紧,xiu'zi'zai'shou'wan'chu'shou'jin
许皇后,xu'huang'hou
宣帝,xuan'di
宣帝继续,xuan'di'ji'xu
宣帝死后,xuan'di'si'hou
削弱了,xue'ruo'le
压制功臣,ya'zhi'gong'chen
炎汉,yan'han
炎刘,yan'liu
沿其北部边境,yan'qi'bei'bu'bian'jing
盐铁,yan'tie
沿用刘邦的黄老政治,yan'yong'liu'bang'de'huang'lao'zheng'zhi
燕啄皇孙,yan'zhuo'huang'sun
腰带两端都垂在前面,yao'dai'liang'duan'dou'chui'zai'qian'mian
腰上系有腰带,yao'shang'xi'you'yao'dai
也可以看到,ye'ke'yi'kan'dao
也使汉朝,ye'shi'han'chao
也是相同的,ye'shi'xiang'tong'de
也同样盛行于,ye'tong'yang'sheng'xing'yu
也正是为了,ye'zheng'shi'wei'le
一般行进的方向,yi'ban'xing'jin'de'fang'xiang
亦称为,yi'cheng'wei
已成为习惯,yi'cheng'wei'xi'guan
一个强大,yi'ge'qiang'da
一个小土堆上的,yi'ge'xiao'tu'dui'shang'de
一个战士,yi'ge'zhan'shi
以后成吉思汗,yi'hou'cheng'ji'si'han
以后的史书,yi'hou'de'shi'shu
以华夏族为主的,yi'hua'xia'zu'wei'zhu'de
以婚姻和财宝,yi'hun'yin'he'cai'bao
以及成吉思汗,yi'ji'cheng'ji'si'han
以及喝一杯,yi'ji'he'yi'bei
已经被中国人,yi'jing'bei'zhong'guo'ren
已经归降于,yi'jing'gui'xiang'yu
以两位,yi'liang'wei
亦慢慢,yi'man'man
一名而,yi'ming'er
以示夸耀,yi'shi'kua'yao
一条短毛皮,yi'tiao'duan'mao'pi
一网打尽,yi'wang'da'jin
一位名叫,yi'wei'ming'jiao
意为左右贤王,yi'wei'zuo'you'xian'wang
一系列,yi'xi'lie
以游牧生活为主,yi'you'mu'sheng'huo'wei'zhu
抑制兼并,yi'zhi'jian'bing
一直延续到,yi'zhi'yan'xu'dao
以种种罪名取消他们的王爵,yi'zhong'zhong'zui'ming'qu'xiao'ta'men'de'wang'jue
以诸侯,yi'zhu'hou
因此被害,yin'ci'bei'hai
因此汉朝,yin'ci'han'chao
印度人称呼,yin'du'ren'cheng'hu
印欧种和突厥,yin'ou'zhong'he'tu'jue
英布,ying'bu
用一条皮带,yong'yi'tiao'pi'dai
又改正朔为土德,you'gai'zheng'shuo'wei'tu'de
有两个,you'liang'ge
有时也被称为,you'shi'ye'bei'cheng'wei
有同样的习惯,you'tong'yang'de'xi'guan
又吞灭,you'tun'mie
右贤王,you'xian'wang
有效地防范,you'xiao'de'fang'fan
有许多习惯,you'xu'duo'xi'guan
又因,you'yin
又迎立,you'ying'li
由于寒冷,you'yu'han'leng
由于历经多年动乱,you'yu'li'jing'duo'nian'dong'luan
由于赵氏姐妹,you'yu'zhao'shi'jie'mei
与后来,yu'hou'lai
羽毛装饰,yu'mao'zhuang'shi
与民休息的政策,yu'min'xiu'xi'de'zheng'ce
与民休息清静无为,yu'min'xiu'xi'qing'jing'wu'wei
与民争利,yu'min'zheng'li
与斯基泰人来说,yu'si'ji'tai'ren'lai'shuo
与他一生中,yu'ta'yi'sheng'zhong
与突厥字,yu'tu'jue'zi
与印度的,yu'yin'du'de
元帝,yuan'di
元凤元年,yuan'feng'yuan'nian
元凤政变,yuan'feng'zheng'bian
元寿二年八月,yuan'shou'er'nian'ba'yue
原则上是,yuan'ze'shang'shi
约公元前,yue'gong'yuan'qian
月氏王的,yue'zhi'wang'de
