半径,ban'jing
近似相似,jin'si'xiang'si
经济工作区,jing'ji'gong'zuo'qu
静平衡,jing'ping'heng
径向速度,jing'xiang'su'du
径向调节器,jing'xiang'tiao'jie'qi
径向叶片,jing'xiang'ye'pian
静压,jing'ya
静压系数,jing'ya'xi'shu
静叶,jing'ye
具有一定的气流流场,ju'you'yi'ding'de'qi'liu'liu'chang
绝对速度,jue'dui'su'du
开式叶轮,kai'shi'ye'lun
可调性,ke'tiao'xing
孔板,kong'ban
空间叶栅,kong'jian'ye'zha
空气动力略图,kong'qi'dong'li'lue'tu
空气试验,kong'qi'shi'yan
跨距,kua'ju
扩压器,kuo'ya'qi
扩压损失,kuo'ya'sun'shi
冷却系统,leng'que'xi'tong
理论,li'lun
理论静压能量头,li'lun'jing'ya'neng'liang'tou
理论能量头,li'lun'neng'liang'tou
理想气体,li'xiang'qi'ti
离心风机,li'xin'feng'ji
联合运行,lian'he'yun'xing
联轴器护罩,lian'zhou'qi'hu'zhao
两台以上风机的串联或并联运行,liang'tai'yi'shang'feng'ji'de'chuan'lian'huo'bing'lian'yun'xing
临界,lin'jie
临界转速,lin'jie'zhuan'su
流动损失,liu'dong'sun'shi
流动显示器,liu'dong'xian'shi'qi
流量,liu'liang
流量系数,liu'liang'xi'shu
轮盖,lun'gai
轮毂,lun'gu
轮毂比,lun'gu'bi
轮盘,lun'pan
轮阻,lun'zu
轮阻损失,lun'zu'sun'shi
轮阻系数,lun'zu'xi'shu
铆接叶轮,mao'jie'ye'lun
密度,mi'du
密封高位油箱,mi'feng'gao'wei'you'xiang
密封油高位油箱,mi'feng'you'gao'wei'you'xiang
密封油系统,mi'feng'you'xi'tong
迷宫密封,mi'gong'mi'feng
面积,mian'ji
摩檫损失,mo'cha'sun'shi
末端冷却器,mo'duan'leng'que'qi
模化试验,mo'hua'shi'yan
某一点某截面,mou'yi'dian'mou'jie'mian
挠性支座,nao'xing'zhi'zuo
挠性转子,nao'xing'zhuan'zi
内部,nei'bu
内功率,nei'gong'lv
内功率系数,nei'gong'lv'xi'shu
内机壳,nei'ji'ke
内效率,nei'xiao'lv
内泄漏,nei'xie'lou
能量头系数,neng'liang'tou'xi'shu
扭振,niu'zhen
排气节流调节,pai'qi'jie'liu'tiao'jie
盘车,pan'che
盘车装置,pan'che'zhuang'zhi
盘鼓式,pan'gu'shi
盘鼓式转子,pan'gu'shi'zhuan'zi
盘轴式转子,pan'zhou'shi'zhuan'zi
旁通调节,pang'tong'tiao'jie
配重,pei'zhong
喷咀,pen'zui
喷嘴,pen'zui
平板叶片,ping'ban'ye'pian
平衡,ping'heng
平衡块,ping'heng'kuai
平衡盘,ping'heng'pan
平衡气管,ping'heng'qi'guan
平衡腔,ping'heng'qiang
平面叶栅,ping'mian'ye'zha
气动与几何参数,qi'dong'yu'ji'he'can'shu
气流落后角,qi'liu'luo'hou'jiao
气流折转角,qi'liu'zhe'zhuan'jiao
气流转折角,qi'liu'zhuan'zhe'jiao
气密性试验,qi'mi'xing'shi'yan
气体常数,qi'ti'chang'shu
气体在叶轮中得到的,qi'ti'zai'ye'lun'zhong'de'dao'de
气液分离器,qi'ye'fen'li'qi
前机壳,qian'ji'ke
潜流,qian'liu
前向叶片,qian'xiang'ye'pian
前缘点,qian'yuan'dian
前缘方向角,qian'yuan'fang'xiang'jiao
切向速度,qie'xiang'su'du
切于翼型凹面的切线称外弦,qie'yu'yi'xing'ao'mian'de'qie'xian'cheng'wai'xian
全闭,quan'bi
热力学湿度,re'li'xue'shi'du
容积的,rong'ji'de
容积流量,rong'ji'liu'liang
润滑油系统,run'hua'you'xi'tong
三元叶片,san'yuan'ye'pian
上机壳,shang'ji'ke
升压,sheng'ya
实际气体,shi'ji'qi'ti
湿空气,shi'kong'qi
试验台,shi'yan'tai
双列叶栅,shuang'lie'ye'zha
双吸入,shuang'xi'ru
双支承式,shuang'zhi'cheng'shi
水封,shui'feng
水平剖分型,shui'ping'pou'fen'xing
说明,shuo'ming
松动转速,song'dong'zhuan'su
速度三角形,su'du'san'jiao'xing
锁口件,suo'kou'jian
弹性支座,tan'xing'zhi'zuo
特征尺寸,te'zheng'chi'cun
填料密封,tian'liao'mi'feng
调节器,tiao'jie'qi
调节系统,tiao'jie'xi'tong
调节油系统,tiao'jie'you'xi'tong
跳闸,tiao'zha
跳闸转速,tiao'zha'zhuan'su
调整垫片,tiao'zheng'dian'pian
调整螺钉,tiao'zheng'luo'ding
调整旋转件的质量分布,tiao'zheng'xuan'zhuan'jian'de'zhi'liang'fen'bu
停车点,ting'che'dian
通风机,tong'feng'ji
通风机的轴功率,tong'feng'ji'de'zhou'gong'lv
通风机动压,tong'feng'ji'dong'ya
通风机静压,tong'feng'ji'jing'ya
通风机静压与之比,tong'feng'ji'jing'ya'yu'zhi'bi
通风机静轴效率,tong'feng'ji'jing'zhou'xiao'lv
通风机内功率,tong'feng'ji'nei'gong'lv
通风机效率,tong'feng'ji'xiao'lv
通风机压力,tong'feng'ji'ya'li
通风机轴功率,tong'feng'ji'zhou'gong'lv
通风机轴效率,tong'feng'ji'zhou'xiao'lv
通风机总效率,tong'feng'ji'zong'xiao'lv
透平,tou'ping
透平鼓风机,tou'ping'gu'feng'ji
透平压缩机,tou'ping'ya'suo'ji
脱气槽,tuo'qi'cao
外机壳,wai'ji'ke
外泄漏,wai'xie'lou
弯道,wan'dao
弯度,wan'du
弯度的最大值,wan'du'de'zui'da'zhi
弯度与弦长之比,wan'du'yu'xian'chang'zhi'bi
弯振,wan'zhen
稳定工作区,wen'ding'gong'zuo'qu
稳定性,wen'ding'xing
温度,wen'du
蜗壳,wo'ke
窝壳,wo'ke
无叶扩压器,wu'ye'kuo'ya'qi
无因次性能曲线,wu'yin'ci'xing'neng'qu'xian
系列综合性能曲线,xi'lie'zong'he'xing'neng'qu'xian
铣制叶轮,xi'zhi'ye'lun
下机壳,xia'ji'ke
弦长,xian'chang
相对厚度,xiang'dui'hou'du
相对宽度,xiang'dui'kuan'du
相对速度,xiang'dui'su'du
相对弯度,xiang'dui'wan'du
相对栅距,xiang'dui'zha'ju
相对栅距的倒数,xiang'dui'zha'ju'de'dao'shu
相似设计,xiang'si'she'ji
消声器,xiao'sheng'qi
斜流风机,xie'liu'feng'ji
泄漏,xie'lou
泄漏损失,xie'lou'sun'shi
泄漏系数,xie'lou'xi'shu
性能,xing'neng
性能曲线,xing'neng'qu'xian
性能试验,xing'neng'shi'yan
型式试验,xing'shi'shi'yan
蓄能器,xu'neng'qi
悬臂式,xuan'bi'shi
旋风分离器,xuan'feng'fen'li'qi
旋涡鼓风机,xuan'wo'gu'feng'ji
选择性能曲线,xuan'ze'xing'neng'qu'xian
旋转脱离,xuan'zhuan'tuo'li
旋转脱流,xuan'zhuan'tuo'liu
压力,ya'li
压力比,ya'li'bi
压力试验,ya'li'shi'yan
压力系数,ya'li'xi'shu
压力油箱,ya'li'you'xiang
压缩机,ya'suo'ji
压缩机额定点,ya'suo'ji'e'ding'dian
压缩性系数,ya'suo'xing'xi'shu
压缩性修正系数,ya'suo'xing'xiu'zheng'xi'shu
沿翼弦方向最大弯度处,yan'yi'xian'fang'xiang'zui'da'wan'du'chu
叶根,ye'gen
叶轮,ye'lun
叶盘,ye'pan
叶片,ye'pian
叶片安装角,ye'pian'an'zhuang'jiao
叶片高度,ye'pian'gao'du
叶片厚度,ye'pian'hou'du
叶片厚度的最大值,ye'pian'hou'du'de'zui'da'zhi
叶片扩压器,ye'pian'kuo'ya'qi
叶片频率,ye'pian'pin'lv
叶型,ye'xing
叶型内切圆直径,ye'xing'nei'qie'yuan'zhi'jing
叶栅,ye'zha
叶栅额线,ye'zha'e'xian
叶栅额线为直线的叶栅,ye'zha'e'xian'wei'zhi'xian'de'ye'zha
亦称为筒型,yi'cheng'wei'tong'xing
翼弦,yi'xian
翼弦的长度,yi'xian'de'chang'du
翼弦的后端点,yi'xian'de'hou'duan'dian
翼弦的前端点,yi'xian'de'qian'duan'dian
翼弦通常指内弦,yi'xian'tong'chang'zhi'nei'xian
翼型安装角,yi'xing'an'zhuang'jiao
翼型弯曲角,yi'xing'wan'qu'jiao
翼型叶片,yi'xing'ye'pian
翼型中线,yi'xing'zhong'xian
翼型中线到翼弦间的距离,yi'xing'zhong'xian'dao'yi'xian'jian'de'ju'li
意义,yi'yi
英文,ying'wen
用于脚标字母与数字,yong'yu'jiao'biao'zi'mu'yu'shu'zi
油净化器,you'jing'hua'qi
油路系统,you'lu'xi'tong
有效,you'xiao
油站,you'zhan
原动机的输出功率,yuan'dong'ji'de'shu'chu'gong'lv
圆弧叶片,yuan'hu'ye'pian
圆周的,yuan'zhou'de
圆周速度,yuan'zhou'su'du
运动粘性系数,yun'dong'nian'xing'xi'shu
运动相似,yun'dong'xiang'si
运行试验,yun'xing'shi'yan
允许的最,yun'xu'de'zui
允许的最高工作压力,yun'xu'de'zui'gao'gong'zuo'ya'li
允许的最高温度,yun'xu'de'zui'gao'wen'du
运转时的摩檫损失,yun'zhuan'shi'de'mo'cha'sun'shi
在其出口法兰处的,zai'qi'chu'kou'fa'lan'chu'de
栅距,zha'ju
栅距与弦长之比,zha'ju'yu'xian'chang'zhi'bi
展弦比,zhan'xian'bi
找正,zhao'zheng
真空试验,zhen'kong'shi'yan
正常运行点,zheng'chang'yun'xing'dian
正常转速,zheng'chang'zhuan'su
整流器,zheng'liu'qi
整体组装型,zheng'ti'zu'zhuang'xing
直径比,zhi'jing'bi
质量,zhi'liang
质量流量,zhi'liang'liu'liang
直列叶栅,zhi'lie'ye'zha
滞留压力,zhi'liu'ya'li
至前缘点的距离,zhi'qian'yuan'dian'de'ju'li
支腿,zhi'tui
滞止,zhi'zhi
中机壳,zhong'ji'ke
中间冷却器,zhong'jian'leng'que'qi
轴的,zhou'de
轴端密封,zhou'duan'mi'feng
轴功率,zhou'gong'lv
轴流风机,zhou'liu'feng'ji
轴流调节门,zhou'liu'tiao'jie'men
轴盘,zhou'pan
轴盘式转子,zhou'pan'shi'zhuan'zi
周速系数,zhou'su'xi'shu
轴套,zhou'tao
轴向,zhou'xiang
轴向风机,zhou'xiang'feng'ji
轴向速度,zhou'xiang'su'du
轴向调节门,zhou'xiang'tiao'jie'men
注水装置,zhu'shui'zhuang'zhi
铸造叶轮,zhu'zao'ye'lun
主轴,zhu'zhou
转动叶片调节,zhuan'dong'ye'pian'tiao'jie
转鼓,zhuan'gu
转速,zhuan'su
专用工具,zhuan'yong'gong'ju
转子,zhuan'zi
装置,zhuang'zhi
装置的,zhuang'zhi'de
装置效率,zhuang'zhi'xiao'lv
装置轴功率,zhuang'zhi'zhou'gong'lv
自动模化,zi'dong'mo'hua
资料性附录,zi'liao'xing'fu'lu
子午加速轴流通风机,zi'wu'jia'su'zhou'liu'tong'feng'ji
子午速度,zi'wu'su'du
自由排气,zi'you'pai'qi
总的,zong'de
最大厚度位置,zui'da'hou'du'wei'zhi
最大弯度,zui'da'wan'du
最大弯度位置,zui'da'wan'du'wei'zhi
最大叶片厚度,zui'da'ye'pian'hou'du
最低连续转速,zui'di'lian'xu'zhuan'su
最低允许转速,zui'di'yun'xu'zhuan'su
最高连续转速,zui'gao'lian'xu'zhuan'su
最高密封压力,zui'gao'mi'feng'ya'li
