阿六头,a'liu'tou
城站火车站,cheng'zhan'huo'che'zhan
城站了,cheng'zhan'le
城中街,cheng'zhong'jie
吃巴掌,chi'ba'zhang
吃棒冰,chi'bang'bing
吃不吃得消,chi'bu'chi'de'xiao
吃不光,chi'bu'guang
吃不来,chi'bu'lai
吃不落,chi'bu'luo
吃不消的,chi'bu'xiao'de
吃吃掉,chi'chi'diao
吃吃空,chi'chi'kong
痴呆儿,chi'dai'er
迟的话,chi'de'hua
吃的空,chi'de'kong
吃得消,chi'de'xiao
吃点好了,chi'dian'hao'le
迟点来,chi'dian'lai
赤豆汤,chi'dou'tang
吃好回来,chi'hao'hui'lai
吃好来,chi'hao'lai
吃好去,chi'hao'qu
吃空,chi'kong
吃苦头,chi'ku'tou
吃老酒,chi'lao'jiu
吃了空,chi'le'kong
吃力死,chi'li'si
尺码表,chi'ma'biao
赤山埠,chi'shan'bu
吃厌了,chi'yan'le
池州学院,chi'zhou'xue'yuan
冲不来,chong'bu'lai
崇化,chong'hua
充进,chong'jin
崇贤,chong'xian
崇贤镇,chong'xian'zhen
崇一堂,chong'yi'tang
出来好了,chu'lai'hao'le
初中里,chu'zhong'li
穿不来,chuan'bu'lai
穿穿的,chuan'chuan'de
传达室,chuan'da'shi
穿马路,chuan'ma'lu
穿品,chuan'pin
川味观,chuan'wei'guan
创业大厦,chuang'ye'da'sha
淳安,chun'an
淳安县,chun'an'xian
春波小区,chun'bo'xiao'qu
春江,chun'jiang
春江花月,chun'jiang'hua'yue
春路,chun'lu
春晓路,chun'xiao'lu
春学期,chun'xue'qi
次坞打面,ci'wu'da'mian
慈溪人,ci'xi'ren
词语手册,ci'yu'shou'ce
葱包烩,cong'bao'hui
从杭州,cong'hang'zhou
匆忙客,cong'mang'ke
从下沙,cong'xia'sha
凑不好,cou'bu'hao
凑好,cou'hao
凑后,cou'hou
粗菜馆,cu'cai'guan
翠柏,cui'bai
翠柏路,cui'bai'lu
翠苑,cui'yuan
翠苑三区,cui'yuan'san'qu
翠苑四区,cui'yuan'si'qu
翠苑五区,cui'yuan'wu'qu
翠苑一区,cui'yuan'yi'qu
翠竹苑,cui'zhu'yuan
错光,cuo'guang
大伯伯,da'bo'bo
大伯大妈,da'bo'da'ma
大不大的,da'bu'da'de
大慈岩,da'ci'yan
打的票,da'di'piao
大兜路,da'dou'lu
大关,da'guan
大关北,da'guan'bei
大关店,da'guan'dian
大关路,da'guan'lu
大关路口,da'guan'lu'kou
大关桥,da'guan'qiao
大关小区,da'guan'xiao'qu
打好折,da'hao'zhe
大核桃,da'he'tao
大红鹰,da'hong'ying
大浒,da'hu
大浒东苑,da'hu'dong'yuan
大华饭店,da'hua'fan'dian
大计基,da'ji'ji
搭牢了,da'lao'le
大罗山,da'luo'shan
大明山,da'ming'shan
大排饭,da'pai'fan
大排面,da'pai'mian
大起来,da'qi'lai
大起来了,da'qi'lai'le
大奇山,da'qi'shan
大清谷,da'qing'gu
打双扣,da'shuang'kou
打索桥,da'suo'qiao
大堂吧,da'tang'ba
大塘新村,da'tang'xin'cun
打套儿,da'tao'er
打铁关,da'tie'guan
大学酒,da'xue'jiu
大学路北口,da'xue'lu'bei'kou
大姨娘,da'yi'niang
大禹陵,da'yu'ling
大源,da'yuan
大站车,da'zhan'che
大浙江,da'zhe'jiang
大浙网,da'zhe'wang
呆不牢,dai'bu'lao
戴村镇,dai'cun'zhen
袋儿,dai'er
代管费,dai'guan'fei
代官山,dai'guan'shan
戴家桥,dai'jia'qiao
带了去,dai'le'qu
岱山,dai'shan
蛋糕券,dan'gao'quan
蛋黄南瓜,dan'huang'nan'gua
单考单招,dan'kao'dan'zhao
单双休,dan'shuang'xiu
单位里,dan'wei'li
挡不牢,dang'bu'lao
挡不牢了,dang'bu'lao'le
荡荡儿,dang'dang'er
荡马路,dang'ma'lu
荡圈,dang'quan
党山,dang'shan
党山镇,dang'shan'zhen
党湾镇,dang'wan'zhen
荡一圈,dang'yi'quan
党员之家,dang'yuan'zhi'jia
到滨江,dao'bin'jiang
到城站,dao'cheng'zhan
到吃过,dao'chi'guo
到吃过了,dao'chi'guo'le
到吃好,dao'chi'hao
到吃好了,dao'chi'hao'le
倒笃菜,dao'du'cai
到富阳,dao'fu'yang
到杭州,dao'hang'zhou
到杭州了,dao'hang'zhou'le
到湖州,dao'hu'zhou
到黄龙,dao'huang'long
到嘉兴,dao'jia'xing
到九堡,dao'jiu'bao
到快了,dao'kuai'le
到丽水,dao'li'shui
到临安,dao'lin'an
到临平,dao'lin'ping
道路考,dao'lu'kao
刀茅巷,dao'mao'xiang
到绍兴,dao'shao'xing
岛石,dao'shi
到时光,dao'shi'guang
到桐庐,dao'tong'lu
到西湖,dao'xi'hu
到下沙,dao'xia'sha
稻香园,dao'xiang'yuan
到萧山,dao'xiao'shan
到余杭,dao'yu'hang
德奥,de'ao
德嘉,de'jia
的喽,de'lou
的哦,de'o
德清,de'qing
德清县,de'qing'xian
德胜,de'sheng
德胜东村,de'sheng'dong'cun
德胜东路,de'sheng'dong'lu
德胜里,de'sheng'li
德胜路,de'sheng'lu
德胜路口,de'sheng'lu'kou
德胜新村,de'sheng'xin'cun
德头,de'tou
的喂,de'wei
等不牢,deng'bu'lao
灯具市场,deng'ju'shi'chang
登陆过,deng'lu'guo
等些,deng'xie
登新公寓,deng'xin'gong'yu
登云路,deng'yun'lu
登云路口,deng'yun'lu'kou
迪安,di'an
第二课堂,di'er'ke'tang
第二乐章,di'er'yue'zhang
抵价,di'jia
抵价券,di'jia'quan
迪凯,di'kai
第六空间,di'liu'kong'jian
迪欧达,di'ou'da
蒂头,di'tou
地下一楼,di'xia'yi'lou
第一世界,di'yi'shi'jie
店宝,dian'bao
垫被,dian'bei
店口,dian'kou
电路原理,dian'lu'yuan'li
电视看看,dian'shi'kan'kan
点我吧,dian'wo'ba
电影大世界,dian'ying'da'shi'jie
电子钱包,dian'zi'qian'bao
蝶园,die'yuan
定安路,ding'an'lu
鼎福门,ding'fu'men
定海新村,ding'hai'xin'cun
丁桥,ding'qiao
丁桥镇,ding'qiao'zhen
定胜糕,ding'sheng'gao
懂啊不懂,dong'a'bu'dong
东白山,dong'bai'shan
东边套,dong'bian'tao
动不来,dong'bu'lai
东部软件园,dong'bu'ruan'jian'yuan
冻出来,dong'chu'lai
东方郡,dong'fang'jun
东方魅力,dong'fang'mei'li
东方润园,dong'fang'run'yuan
东方通信,dong'fang'tong'xin
东方威尼斯,dong'fang'wei'ni'si
东方文化园,dong'fang'wen'hua'yuan
东风裕隆,dong'feng'yu'long
东冠路,dong'guan'lu
东极岛,dong'ji'dao
董家路,dong'jia'lu
董家新村,dong'jia'xin'cun
动漫节,dong'man'jie
东门头,dong'men'tou
东坡路,dong'po'lu
东坡肉,dong'po'rou
冻去,dong'qu
东山弄,dong'shan'nong
冻死鬼,dong'si'gui
东天目,dong'tian'mu
东吴公园,dong'wu'gong'yuan
东西吃吃,dong'xi'chi'chi
东西大道,dong'xi'da'dao
东信大道,dong'xin'da'dao
东新路,dong'xin'lu
东新园,dong'xin'yuan
东星行,dong'xing'xing
冬学期,dong'xue'qi
东阳,dong'yang
东阳的,dong'yang'de
东阳了,dong'yang'le
东阳人,dong'yang'ren
东阳市,dong'yang'shi
懂也不懂,dong'ye'bu'dong
东裕,dong'yu
东洲,dong'zhou
豆腐包,dou'fu'bao
豆腐饭,dou'fu'fan
豆腐年糕,dou'fu'nian'gao
都还好的,dou'hai'hao'de
都好的,dou'hao'de
都很空,dou'hen'kong
都空的,dou'kong'de
都是个人,dou'shi'ge'ren
都在杭州,dou'zai'hang'zhou
嘟嘟城,du'du'cheng
独品,du'pin
都市快报,du'shi'kuai'bao
都市生活,du'shi'sheng'huo
都市水乡,du'shi'shui'xiang
毒头,du'tou
肚子痛死,du'zi'tong'si
断桥,duan'qiao
断桥残雪,duan'qiao'can'xue
短学期,duan'xue'qi
对奥,dui'ao
对不对啦,dui'bu'dui'la
对不牢,dui'bu'lao
对的咯,dui'de'ge
对的么,dui'de'me
对的那,dui'de'na
对的闹,dui'de'nao
对够,dui'gou
对杭州,dui'hang'zhou
对面对,dui'mian'dui
盾安,dun'an
墩头,dun'tou
多不多的,duo'bu'duo'de
多喝喝,duo'he'he
多蓝水岸,duo'lan'shui'an
多立方,duo'li'fang
堕落街,duo'luo'jie
多少大,duo'shao'da
多少高,duo'shao'gao
多少价格,duo'shao'jia'ge
多少一斤,duo'shao'yi'jin
多少重,duo'shao'zhong
恶心呸,e'xin'pei
恩好的呢,en'hao'de'ne
嗯牛,en'niu
二阿姨,er'a'yi
儿保,er'bao
二纺机,er'fang'ji
二桥村,er'qiao'cun
发不来,fa'bu'lai
发掉,fa'diao
发给我好了,fa'gei'wo'hao'le
法华寺,fa'hua'si
发千,fa'qian
发我个,fa'wo'ge
发我下,fa'wo'xia
发我一个,fa'wo'yi'ge
法喜寺,fa'xi'si
发下我,fa'xia'wo
烦啊烦死,fan'a'fan'si
饭吃过,fan'chi'guo
饭吃过了,fan'chi'guo'le
饭吃过没,fan'chi'guo'mei
饭吃好,fan'chi'hao
饭吃好了,fan'chi'hao'le
范大姐,fan'da'jie
饭都吃好了,fan'dou'chi'hao'le
烦都烦死,fan'dou'fan'si
梵克雅宝,fan'ke'ya'bao
烦起来,fan'qi'lai
番茄鱼,fan'qie'yu
烦色,fan'se
烦死的,fan'si'de
反一反,fan'yi'fan
反一下,fan'yi'xia
放不来,fang'bu'lai
放冲,fang'chong
方回春堂,fang'hui'chun'tang
方家畈,fang'jia'fan
方家花苑,fang'jia'hua'yuan
方家塘,fang'jia'tang
芳满庭,fang'man'ting
房探,fang'tan
房途,fang'tu
房途网,fang'tu'wang
废话咯,fei'hua'ge
费家塘,fei'jia'tang
飞来峰,fei'lai'feng
菲力伟,fei'li'wei
飞云江,fei'yun'jiang
飞云江路,fei'yun'jiang'lu
非质量,fei'zhi'liang
粉干,fen'gan
粉蝴蝶,fen'hu'die
汾口,fen'kou
分水,fen'shui
分水镇,fen'shui'zhen
分岁酒,fen'sui'jiu
凤川,feng'chuan
封道,feng'dao
丰登街,feng'deng'jie
枫斗,feng'dou
凤都,feng'du
峰谷电,feng'gu'dian
风荷,feng'he
枫华,feng'hua
枫华府第,feng'hua'fu'di
丰乐桥,feng'le'qiao
丰乐桥南,feng'le'qiao'nan
疯婆儿,feng'po'er
凤起,feng'qi
凤起店,feng'qi'dian
凤起东路,feng'qi'dong'lu
凤起立交,feng'qi'li'jiao
凤起路,feng'qi'lu
风情大道,feng'qing'da'dao
风情苑,feng'qing'yuan
凤山门,feng'shan'men
丰潭,feng'tan
丰潭路,feng'tan'lu
丰潭路口,feng'tan'lu'kou
风雅钱塘,feng'ya'qian'tang
妇保,fu'bao
富春,fu'chun
富春江,fu'chun'jiang
富春街道,fu'chun'jie'dao
富春路,fu'chun'lu
付掉,fu'diao
福雷德,fu'lei'de
浮力,fu'li
富丽达,fu'li'da
浮力森林,fu'li'sen'lin
孚伦特,fu'lun'te
复茂,fu'mao
抚宁巷,fu'ning'xiang
福气好,fu'qi'hao
服饰城,fu'shi'cheng
阜师院,fu'shi'yuan
福通,fu'tong
府新花园,fu'xin'hua'yuan
复兴大桥,fu'xing'da'qiao
复兴南苑,fu'xing'nan'yuan
富阳,fu'yang
富阳的,fu'yang'de
富阳了,fu'yang'le
富阳人,fu'yang'ren
富阳市,fu'yang'shi
富阳中学,fu'yang'zhong'xue
府苑,fu'yuan
府苑新村,fu'yuan'xin'cun
嘎迟,ga'chi
嘎大,ga'da
噶的啊,ga'de'a
嘎多,ga'duo
噶多人,ga'duo'ren
噶好,ga'hao
噶好的,ga'hao'de
噶可怜,ga'ke'lian
噶客气,ga'ke'qi
嘎快,ga'kuai
噶快的,ga'kuai'de
噶厉害,ga'li'hai
噶忙,ga'mang
嘎么,ga'me
噶没,ga'mei
噶便宜,ga'pian'yi
噶是噶非,ga'shi'ga'fei
噶舒服,ga'shu'fu
噶爽,ga'shuang
噶说,ga'shuo
噶无聊,ga'wu'liao
噶小,ga'xiao
噶许多,ga'xu'duo
噶远,ga'yuan
改标,gai'biao
改不来,gai'bu'lai
干菜饼,gan'cai'bing
干菜肉,gan'cai'rou
甘茶度,gan'cha'du
甘长村,gan'chang'cun
赶进,gan'jin
赶来赶去,gan'lai'gan'qu
干嘛老,gan'ma'lao
甘其食,gan'qi'shi
干死干活,gan'si'gan'huo
杠爆,gang'bao
港不来,gang'bu'lai
港昌,gang'chang
刚到杭州,gang'dao'hang'zhou
刚看好,gang'kan'hao
刚考好,gang'kao'hao
刚前面,gang'qian'mian
刚烧好,gang'shao'hao
刚外面,gang'wai'mian
刚我姑,gang'wo'gu
刚因为,gang'yin'wei
搞不灵清,gao'bu'ling'qing
搞得来,gao'de'lai
高低铺,gao'di'pu
搞搞哇,gao'gao'wa
高虹,gao'hong
高技街,gao'ji'jie
高教,gao'jiao
高教东区,gao'jiao'dong'qu
高教园,gao'jiao'yuan
高教园区,gao'jiao'yuan'qu
搞七捻三,gao'qi'nian'san
高桥,gao'qiao
高沙,gao'sha
高银街,gao'yin'jie
搞游戏,gao'you'xi
高职考,gao'zhi'kao
高中里,gao'zhong'li
高祖生煎,gao'zu'sheng'jian
个不是,ge'bu'shi
个倒是,ge'dao'shi
歌德,ge'de
格畈,ge'fan
格畈小区,ge'fan'xiao'qu
个几天,ge'ji'tian
搁脚,ge'jiao
个两天,ge'liang'tian
个毛,ge'mao
个么是,ge'me'shi
歌山,ge'shan
个些,ge'xie
戈雅公寓,ge'ya'gong'yu
给我吃吃,gei'wo'chi'chi
给我过了,gei'wo'guo'le
给我好了,gei'wo'hao'le
艮山,gen'shan
艮山东路,gen'shan'dong'lu
艮山流水苑,gen'shan'liu'shui'yuan
艮山路,gen'shan'lu
艮山门,gen'shan'men
艮山西路,gen'shan'xi'lu
跟小姐妹,gen'xiao'jie'mei
艮新天桥,gen'xin'tian'qiao
艮园,gen'yuan
跟早,gen'zao
更加了,geng'jia'le
更楼,geng'lou
拱北小区,gong'bei'xiao'qu
拱宸,gong'chen
拱宸桥,gong'chen'qiao
拱宸桥东,gong'chen'qiao'dong
公共自行车,gong'gong'zi'xing'che
公交总公司,gong'jiao'zong'gong'si
拱康路,gong'kang'lu
工商大学,gong'shang'da'xue
拱墅,gong'shu
拱墅区,gong'shu'qu
拱秀路,gong'xiu'lu
工训,gong'xun
拱苑,gong'yuan
公元大厦,gong'yuan'da'sha
公园卡,gong'yuan'ka
够了咯,gou'le'ge
狗屁倒灶,gou'pi'dao'zao
狗一样的,gou'yi'yang'de
勾运路,gou'yun'lu
勾庄,gou'zhuang
古翠,gu'cui
古翠路,gu'cui'lu
古荡,gu'dang
古荡湾,gu'dang'wan
古荡小区,gu'dang'xiao'qu
古荡新村,gu'dang'xin'cun
古墩,gu'dun
古墩路,gu'dun'lu
古墩路口,gu'dun'lu'kou
顾家桥,gu'jia'qiao
古木夕羊,gu'mu'xi'yang
姑娘儿,gu'niang'er
孤山,gu'shan
骨头到,gu'tou'dao
骨头饭,gu'tou'fan
古越龙山,gu'yue'long'shan
刮擦,gua'ca
挂价,gua'jia
瓜沥,gua'li
瓜沥镇,gua'li'zhen
瓜山,gua'shan
挂下来,gua'xia'lai
挂盐水,gua'yan'shui
拐翻,guai'fan
管不牢,guan'bu'lao
管村,guan'cun
管店,guan'dian
冠二,guan'er
管儿子,guan'er'zi
官河,guan'he
观澜时代,guan'lan'shi'dai
管理楼,guan'li'lou
鹳山,guan'shan
官巷口,guan'xiang'kou
管小孩,guan'xiao'hai
观音塘,guan'yin'tang
管自己,guan'zi'ji
光版,guang'ban
逛好,guang'hao
逛了圈,guang'le'quan
广利大厦,guang'li'da'sha
逛圈,guang'quan
广厦,guang'sha
逛西湖,guang'xi'hu
桂花城,gui'hua'cheng
桂花路,gui'hua'lu
桂花西路,gui'hua'xi'lu
桂花香,gui'hua'xiang
过渡房,guo'du'fang
国都公寓,guo'du'gong'yu
国股,guo'gu
国际花园,guo'ji'hua'yuan
过境费,guo'jing'fei
过来好了,guo'lai'hao'le
过去好了,guo'qu'hao'le
国信嘉园,guo'xin'jia'yuan
国远,guo'yuan
哈你心里,ha'ni'xin'li
哈许多,ha'xu'duo
海潮路,hai'chao'lu
海创园,hai'chuang'yuan
孩儿巷,hai'er'xiang
还好吃的,hai'hao'chi'de
还好的,hai'hao'de
还好的啊,hai'hao'de'a
还好的吧,hai'hao'de'ba
还好的啦,hai'hao'de'la
还好看的,hai'hao'kan'de
还好看看,hai'hao'kan'kan
还好看看的,hai'hao'kan'kan'de
还好玩的,hai'hao'wan'de
海皇星,hai'huang'xing
还近的,hai'jin'de
海康,hai'kang
海康威视,hai'kang'wei'shi
还快的,hai'kuai'de
还没类,hai'mei'lei
海宁,hai'ning
海宁市,hai'ning'shi
海宁西,hai'ning'xi
还便宜的,hai'pian'yi'de
海天城,hai'tian'cheng
海外海,hai'wai'hai
海王星辰,hai'wang'xing'chen
海鲜面,hai'xian'mian
海盐,hai'yan
海洋二所,hai'yang'er'suo
还有的吧,hai'you'de'ba
还在杭州,hai'zai'hang'zhou
还在合肥,hai'zai'he'fei
还早类,hai'zao'lei
汗背心,han'bei'xin
韩将军,han'jiang'jun
翰林花园,han'lin'hua'yuan
杭帮菜,hang'bang'cai
杭城,hang'cheng
杭大,hang'da
杭大路,hang'da'lu
杭电,hang'dian
杭儿风,hang'er'feng
杭二中,hang'er'zhong
杭钢,hang'gang
杭海路,hang'hai'lu
行会走,hang'hui'zou
杭嘉湖,hang'jia'hu
杭金衢,hang'jin'qu
杭九中,hang'jiu'zhong
杭科院,hang'ke'yuan
杭七中,hang'qi'zhong
杭千,hang'qian
杭师,hang'shi
杭师大,hang'shi'da
杭师范,hang'shi'fan
杭十四中,hang'shi'si'zhong
杭师院,hang'shi'yuan
杭四中,hang'si'zhong
杭同,hang'tong
杭图,hang'tu
航坞山,hang'wu'shan
杭新景,hang'xin'jing
杭行路,hang'xing'lu
杭甬,hang'yong
杭幼师,hang'you'shi
杭职,hang'zhi
杭州,hang'zhou
杭州啊,hang'zhou'a
杭州吧,hang'zhou'ba
杭州办,hang'zhou'ban
杭州北站,hang'zhou'bei'zhan
杭州本地,hang'zhou'ben'di
杭州不,hang'zhou'bu
杭州菜,hang'zhou'cai
杭州城,hang'zhou'cheng
杭州城站,hang'zhou'cheng'zhan
杭州大剧院,hang'zhou'da'ju'yuan
杭州大厦,hang'zhou'da'sha
杭州到,hang'zhou'dao
杭州的,hang'zhou'de
杭州的啊,hang'zhou'de'a
杭州的话,hang'zhou'de'hua
杭州地图,hang'zhou'di'tu
杭州店,hang'zhou'dian
杭州电视台,hang'zhou'dian'shi'tai
杭州电子科技,hang'zhou'dian'zi'ke'ji
杭州东,hang'zhou'dong
杭州东站,hang'zhou'dong'zhan
杭州分公司,hang'zhou'fen'gong'si
杭州分行,hang'zhou'fen'hang
杭州富阳,hang'zhou'fu'yang
杭州咯,hang'zhou'ge
杭州公交,hang'zhou'gong'jiao
杭州工作,hang'zhou'gong'zuo
杭州还是,hang'zhou'hai'shi
杭州好,hang'zhou'hao
杭州话,hang'zhou'hua
杭州回来,hang'zhou'hui'lai
杭州火车站,hang'zhou'huo'che'zhan
杭州今天,hang'zhou'jin'tian
杭州就,hang'zhou'jiu
杭州剧院,hang'zhou'ju'yuan
杭州卡,hang'zhou'ka
杭州啦,hang'zhou'la
杭州来,hang'zhou'lai
杭州来了,hang'zhou'lai'le
杭州了,hang'zhou'le
杭州了吗,hang'zhou'le'ma
杭州乐园,hang'zhou'le'yuan
杭州联合银行,hang'zhou'lian'he'yin'hang
杭州吗,hang'zhou'ma
杭州麻将,hang'zhou'ma'jiang
杭州买,hang'zhou'mai
杭州么,hang'zhou'me
杭州没,hang'zhou'mei
杭州没有,hang'zhou'mei'you
杭州那,hang'zhou'na
杭州哪里,hang'zhou'na'li
杭州南,hang'zhou'nan
杭州南站,hang'zhou'nan'zhan
杭州呢,hang'zhou'ne
