阿不都,a'bu'dou
奥斯曼,ao'si'man
把被子盖好,ba'bei'zi'gai'hao
巴楚,ba'chu
巴楚县,ba'chu'xian
八大怪,ba'da'guai
巴达木,ba'da'mu
巴旦木,ba'dan'mu
八道湾,ba'dao'wan
把饭吃上,ba'fan'chi'shang
八钢,ba'gang
八钢的,ba'gang'de
八公斤,ba'gong'jin
巴哈尔,ba'ha'er
巴哈尔古丽,ba'ha'er'gu'li
八户梁,ba'hu'liang
八家户,ba'jia'hu
八街,ba'jie
巴口香,ba'kou'xiang
巴拉提,ba'la'ti
巴郎子,ba'lang'zi
巴里坤,ba'li'kun
八楼了,ba'lou'le
吧木,ba'mu
八农,ba'nong
把人看的,ba'ren'kan'de
把人累的,ba'ren'lei'de
八师,ba'shi
巴特鱼庄,ba'te'yu'zhuang
把我冻得,ba'wo'dong'de
把我烦的,ba'wo'fan'de
把我急得,ba'wo'ji'de
把我激动的,ba'wo'ji'dong'de
把我累的,ba'wo'lei'de
把我难受的,ba'wo'nan'shou'de
把我气的,ba'wo'qi'de
把我无聊的,ba'wo'wu'liao'de
把我笑的,ba'wo'xiao'de
把药吃上,ba'yao'chi'shang
八一中学,ba'yi'zhong'xue
巴音布鲁克,ba'yin'bu'lu'ke
巴音郭楞,ba'yin'guo'leng
八音盒,ba'yin'he
八支队,ba'zhi'dui
巴州,ba'zhou
巴州路,ba'zhou'lu
拜城,bai'cheng
拜城县,bai'cheng'xian
百得,bai'de
百富,bai'fu
百富烤霸,bai'fu'kao'ba
拜给,bai'gei
白哈巴,bai'ha'ba
百花村,bai'hua'cun
白碱滩,bai'jian'tan
白克力,bai'ke'li
柏兰迪,bai'lan'di
百乐苑,bai'le'yuan
百信康城,bai'xin'kang'cheng
白杨沟,bai'yang'gou
白杨河,bai'yang'he
百园路,bai'yuan'lu
板房沟,ban'fang'gou
半公斤,ban'gong'jin
办号,ban'hao
拌米粉,ban'mi'fen
拌面,ban'mian
半时天,ban'shi'tian
报告测,bao'gao'ce
暴乱的,bao'luan'de
暴乱了,bao'luan'le
包暖,bao'nuan
宝山路,bao'shan'lu
宝石光,bao'shi'guang
北公园,bei'gong'yuan
北疆,bei'jiang
北郊客运站,bei'jiao'ke'yun'zhan
北京北路,bei'jing'bei'lu
北京路,bei'jing'lu
北京南路,bei'jing'nan'lu
北门了,bei'men'le
北山坡,bei'shan'po
北屯,bei'tun
北一巷,bei'yi'xiang
北园春,bei'yuan'chun
被子盖好,bei'zi'gai'hao
本来想的,ben'lai'xiang'de
本市的,ben'shi'de
本想的,ben'xiang'de
比不成,bi'bu'cheng
比层,bi'ceng
逼叨叨,bi'dao'dao
逼话,bi'hua
逼加,bi'jia
比价了,bi'jia'le
逼贱,bi'jian
比什凯克,bi'shi'kai'ke
逼娃娃,bi'wa'wa
比歪歪,bi'wai'wai
逼样子,bi'yang'zi
扁豆面旗子,bian'dou'mian'qi'zi
边疆宾馆,bian'jiang'bin'guan
别受凉了,bie'shou'liang'le
别这样撒,bie'zhe'yang'sa
滨湖河,bin'hu'he
病的呢,bing'de'ne
兵二,bing'er
兵青旅,bing'qing'lv
兵团,bing'tuan
兵团的,bing'tuan'de
兵团二中,bing'tuan'er'zhong
兵团医院,bing'tuan'yi'yuan
兵一,bing'yi
博尔塔拉,bo'er'ta'la
博格达,bo'ge'da
博湖县,bo'hu'xian
博乐,bo'le
博乐市,bo'le'shi
薄皮包子,bo'pi'bao'zi
博斯腾,bo'si'teng
博斯腾湖,bo'si'teng'hu
博雅文轩,bo'ya'wen'xuan
博雅馨园,bo'ya'xin'yuan
拨鱼子,bo'yu'zi
博州,bo'zhou
不传谣,bu'chuan'yao
布尔津,bu'er'jin
不尔视,bu'er'shi
不干撒,bu'gan'sa
不来号,bu'lai'hao
布朗先生,bu'lang'xian'sheng
不理事,bu'li'shi
不清真,bu'qing'zhen
不求行,bu'qiu'xing
不求行了,bu'qiu'xing'le
不求知,bu'qiu'zhi
不是非,bu'shi'fei
不说撒,bu'shuo'sa
不算撒,bu'suan'sa
不为怕,bu'wei'pa
不为撒,bu'wei'sa
步校,bu'xiao
不信谣,bu'xin'yao
不行是吧,bu'xing'shi'ba
不喧了,bu'xuan'le
不在乌鲁木齐,bu'zai'wu'lu'mu'qi
不在新疆,bu'zai'xin'jiang
不早早,bu'zao'zao
不知道吃撒,bu'zhi'dao'chi'sa
不知道说撒,bu'zhi'dao'shuo'sa
不知道为撒,bu'zhi'dao'wei'sa
彩板房,cai'ban'fang
菜店,cai'dian
菜盒子,cai'he'zi
才黑,cai'hei
彩楼,cai'lou
财院,cai'yuan
仓房沟,cang'fang'gou
仓房沟路,cang'fang'gou'lu
草莓卡,cao'mei'ka
察布查尔,cha'bu'cha'er
察布查尔县,cha'bu'cha'er'xian
差费,chai'fei
柴窝堡,chai'wo'bao
柴窝铺,chai'wo'pu
缠头,chan'tou
长春路,chang'chun'lu
长春南路,chang'chun'nan'lu
唱的呢,chang'de'ne
长福宫,chang'fu'gong
昌吉,chang'ji
昌吉的,chang'ji'de
昌吉市,chang'ji'shi
昌吉学院,chang'ji'xue'yuan
昌吉州,chang'ji'zhou
长江路,chang'jiang'lu
昌乐园,chang'le'yuan
长面子,chang'mian'zi
长青四队,chang'qing'si'dui
长撒样,chang'sa'yang
长沙路,chang'sha'lu
长山子,chang'shan'zi
畅泰,chang'tai
吵的很,chao'de'hen
炒烤肉,chao'kao'rou
炒米粉,chao'mi'fen
晨光花园,chen'guang'hua'yuan
辰野,chen'ye
成教院,cheng'jiao'yuan
橙街,cheng'jie
成撒了,cheng'sa'le
吃拌面,chi'ban'mian
吃大盘鸡,chi'da'pan'ji
吃大肉,chi'da'rou
吃的呢,chi'de'ne
吃的怕,chi'de'pa
吃的撒,chi'de'sa
吃饭的呢,chi'fan'de'ne
吃给,chi'gei
吃辣子,chi'la'zi
吃米粉,chi'mi'fen
吃馍馍,chi'mo'mo
吃撒,chi'sa
吃撒饭,chi'sa'fan
吃撒了,chi'sa'le
吃撒呢,chi'sa'ne
吃上吧,chi'shang'ba
吃汤饭,chi'tang'fan
吃喜,chi'xi
吃夜市,chi'ye'shi
吃一哈,chi'yi'ha
吃抓饭,chi'zhua'fan
充电的呢,chong'dian'de'ne
臭蛋蛋,chou'dan'dan
臭娃娃,chou'wa'wa
臭样子,chou'yang'zi
出撒事,chu'sa'shi
出租房屋,chu'zu'fang'wu
穿的呢,chuan'de'ne
床上躺的呢,chuang'shang'tang'de'ne
从昌吉,cong'chang'ji
葱花饼,cong'hua'bing
从内地,cong'nei'di
从石河子,cong'shi'he'zi
从乌鲁木齐,cong'wu'lu'mu'qi
催的呢,cui'de'ne
翠泉路,cui'quan'lu
大巴扎,da'ba'zha
达坂城,da'ban'cheng
达坂城区,da'ban'cheng'qu
大册,da'ce
大册子,da'ce'zi
打的呢,da'di'ne
打电话的呢,da'dian'hua'de'ne
大河沿,da'he'yan
大黄山,da'huang'shan
大家马甲,da'jia'ma'jia
大陆桥,da'lu'qiao
大美新疆,da'mei'xin'jiang
大漠明珠,da'mo'ming'zhu
打你呢,da'ni'ne
大盘鸡,da'pan'ji
大肉的,da'rou'de
打扫房子,da'sao'fang'zi
大勺子,da'shao'zi
大十字,da'shi'zi
打死你呢,da'si'ni'ne
大湾,da'wan
大湾北路,da'wan'bei'lu
大碗厨,da'wan'chu
大湾南路,da'wan'nan'lu
大乌苏,da'wu'su
达吾提,da'wu'ti
大西部,da'xi'bu
大西沟,da'xi'gou
大西门,da'xi'men
大小西门,da'xiao'xi'men
大新疆,da'xin'jiang
大修厂,da'xiu'chang
打夜,da'ye
大寨沟,da'zhai'gou
打字撒,da'zi'sa
歹不歹,dai'bu'dai
歹歹的,dai'dai'de
歹得很,dai'de'hen
带的呢,dai'de'ne
带家教,dai'jia'jiao
歹妹纸,dai'mei'zhi
歹妹子,dai'mei'zi
歹呀,dai'ya
丹璐,dan'lu
到房子,dao'fang'zi
到房子了,dao'fang'zi'le
到哈密,dao'ha'mi
到喀什,dao'ka'shi
到库尔勒,dao'ku'er'le
到米泉,dao'mi'quan
到哪去呢,dao'na'qu'ne
到哪玩去了,dao'na'wan'qu'le
到南湖,dao'nan'hu
倒是非,dao'shi'fei
到石河子,dao'shi'he'zi
到铁路局,dao'tie'lu'ju
到吐鲁番,dao'tu'lu'fan
到乌鲁木齐,dao'wu'lu'mu'qi
到乌鲁木齐了,dao'wu'lu'mu'qi'le
到乌市,dao'wu'shi
到新疆,dao'xin'jiang
到伊犁,dao'yi'li
到友好,dao'you'hao
的不行了,de'bu'xing'le
德汇,de'hui
的呢吧,de'ne'ba
的呢个,de'ne'ge
的呢吗,de'ne'ma
的呢么,de'ne'me
的你的呢,de'ni'de'ne
等的呢,deng'de'ne
等你的呢,deng'ni'de'ne
灯泡厂,deng'pao'chang
等我的呢,deng'wo'de'ne
嘀嗒团,di'da'tuan
地方史,di'fang'shi
滴灌,di'guan
迪拉热,di'la're
迪里拜尔,di'li'bai'er
迪丽努尔,di'li'nu'er
迪力夏提,di'li'xia'ti
迪泰,di'tai
地调处,di'tiao'chu
地窝堡,di'wo'bao
地下街,di'xia'jie
地邪,di'xie
敌占区,di'zhan'qu
地州,di'zhou
电池厂,dian'chi'chang
电打,dian'da
电石,dian'shi
电信公司,dian'xin'gong'si
掉个脸,diao'ge'lian
丁丁炒面,ding'ding'chao'mian
东八家户,dong'ba'jia'hu
冬不拉,dong'bu'la
东大梁,dong'da'liang
冻得很,dong'de'hen
东方花园,dong'fang'hua'yuan
东方王朝,dong'fang'wang'chao
东后街,dong'hou'jie
冻求子,dong'qiu'zi
东三县,dong'san'xian
东外环,dong'wai'huan
东鑫园,dong'xin'yuan
都干撒,dou'gan'sa
都好的呢,dou'hao'de'ne
都可以呢,dou'ke'yi'ne
都没撒,dou'mei'sa
都行呢,dou'xing'ne
都有撒,dou'you'sa
都知道呢,dou'zhi'dao'ne
堵成,du'cheng
堵成马了,du'cheng'ma'le
堵的很,du'de'hen
堵的呢,du'de'ne
堵堵堵,du'du'du
独山子,du'shan'zi
杜尚别,du'shang'bie
对的呢,dui'de'ne
对呢对呢,dui'ne'dui'ne
对新疆,dui'xin'jiang
多歹,duo'dai
多的呢,duo'de'ne
多多吃饭,duo'duo'chi'fan
多少公斤,duo'shao'gong'jin
额敏县,e'min'xian
鹅掌门,e'zhang'men
嗯嗯好么,en'en'hao'me
嗯嗯好呢,en'en'hao'ne
嗯好么,en'hao'me
嗯好呢,en'hao'ne
嗯就是的,en'jiu'shi'de
二道歉,er'dao'qian
二道桥,er'dao'qiao
二道湾,er'dao'wan
二宫,er'gong
二节子,er'jie'zi
二批次,er'pi'ci
儿童村,er'tong'cun
儿童公园,er'tong'gong'yuan
儿娃子,er'wa'zi
二医院,er'yi'yuan
二姨子,er'yi'zi
二转子,er'zhuan'zi
儿子娃娃,er'zi'wa'wa
发的呢,fa'de'ne
发的撒,fa'de'sa
发过来撒,fa'guo'lai'sa
发货价,fa'huo'jia
发新疆,fa'xin'jiang
发一哈,fa'yi'ha
饭吃上,fan'chi'shang
烦的啊,fan'de'a
烦的呢,fan'de'ne
烦的呀,fan'de'ya
烦求子,fan'qiu'zi
烦求子的,fan'qiu'zi'de
芳草湖,fang'cao'hu
放的呢,fang'de'ne
房探,fang'tan
纺校,fang'xiao
房子来,fang'zi'lai
房子呢,fang'zi'ne
飞的呢,fei'de'ne
飞巾,fei'jin
分斋,fen'zhai
风干肉,feng'gan'rou
封斋,feng'zhai
封斋了,feng'zhai'le
佛的,fo'de
佛的呢,fo'de'ne
福海,fu'hai
福海县,fu'hai'xian
阜康,fu'kang
阜康市,fu'kang'shi
福兰德,fu'lan'de
福利区,fu'li'qu
福润德,fu'run'de
富蕴,fu'yun
富蕴县,fu'yun'xian
伽师,ga'shi
该干撒,gai'gan'sa
该说撒,gai'shuo'sa
盖章子,gai'zhang'zi
干煸炒面,gan'bian'chao'mian
干的呢,gan'de'ne
干点撒,gan'dian'sa
干个撒,gan'ge'sa
甘沟,gan'gou
干果,gan'guo
干哈的呢,gan'ha'de'ne
甘河子,gan'he'zi
干活的呢,gan'huo'de'ne
干嘛的呢,gan'ma'de'ne
干球,gan'qiu
干求呢,gan'qiu'ne
甘泉堡,gan'quan'bao
干撒,gan'sa
干撒的,gan'sa'de
干撒的呢,gan'sa'de'ne
干撒了,gan'sa'le
干撒呢,gan'sa'ne
干撒去,gan'sa'qu
干撒去了,gan'sa'qu'le
干撒去呢,gan'sa'qu'ne
干什么的呢,gan'shen'me'de'ne
甘肃人,gan'su'ren
刚到房子,gang'dao'fang'zi
刚黑,gang'hei
杠后,gang'hou
刚拿上,gang'na'shang
刚前面,gang'qian'mian
搞不成事,gao'bu'cheng'shi
搞错没有,gao'cuo'mei'you
高家庄,gao'jia'zhuang
高新街,gao'xin'jie
高支队,gao'zhi'dui
戈壁滩,ge'bi'tan
戈壁玉,ge'bi'yu
疙瘩子,ge'da'zi
各地州,ge'di'zhou
歌谷,ge'gu
格林威治,ge'lin'wei'zhi
各种来,ge'zhong'lai
给你讲了,gei'ni'jiang'le
给我讲下,gei'wo'jiang'xia
给我讲一声,gei'wo'jiang'yi'sheng
给我讲一下,gei'wo'jiang'yi'xia
给一哈,gei'yi'ha
跟头绊子,gen'tou'ban'zi
公共车,gong'gong'che
公斤了,gong'jin'le
巩留县,gong'liu'xian
巩乃斯,gong'nai'si
公式月,gong'shi'yue
公园北街,gong'yuan'bei'jie
古尔邦,gu'er'bang
古尔邦节,gu'er'bang'jie
古海,gu'hai
古兰经,gu'lan'jing
古丽,gu'li
古丽姐,gu'li'jie
古丽米热,gu'li'mi're
古丽娜,gu'li'na
古丽努尔,gu'li'nu'er
古丽扎,gu'li'zha
古牧地,gu'mu'di
挂的呢,gua'de'ne
拐调,guai'tiao
灌翻,guan'fan
逛的呢,guang'de'ne
光光头,guang'guang'tou
广汇,guang'hui
光明路,guang'ming'lu
广晟园,guang'sheng'yuan
硅化木,gui'hua'mu
硅业,gui'ye
滚球吧,gun'qiu'ba
过得呢,guo'de'ne
国际大巴扎,guo'ji'da'ba'zha
国际置地,guo'ji'zhi'di
过水热,guo'shui're
国秀家园,guo'xiu'jia'yuan
过油肉,guo'you'rou
果子沟,guo'zi'gou
哈巴河,ha'ba'he
哈立德,ha'li'de
哈力克,ha'li'ke
哈密,ha'mi
哈密的,ha'mi'de
哈密地区,ha'mi'di'qu
哈密了,ha'mi'le
哈密路,ha'mi'lu
哈密市,ha'mi'shi
哈木,ha'mu
哈那提,ha'na'ti
哈萨克,ha'sa'ke
哈萨克斯,ha'sa'ke'si
哈萨克斯坦,ha'sa'ke'si'tan
哈萨克族,ha'sa'ke'zu
哈斯木,ha'si'mu
哈熊沟,ha'xiong'gou
哈亚姆,ha'ya'mu
嗨吖,hai'a
还吃的呢,hai'chi'de'ne
还多的呢,hai'duo'de'ne
还好的呢,hai'hao'de'ne
还看的呢,hai'kan'de'ne
海拉提,hai'la'ti
海龙泉,hai'long'quan
海麦斯,hai'mai'si
还忙的呢,hai'mang'de'ne
海娜粉,hai'na'fen
害怕撒,hai'pa'sa
海石,hai'shi
还是撒,hai'shi'sa
还睡的呢,hai'shui'de'ne
还说撒,hai'shuo'sa
海棠果,hai'tang'guo
还玩的呢,hai'wan'de'ne
还想的,hai'xiang'de
嗨呀,hai'ya
还要撒,hai'yao'sa
还有怕,hai'you'pa
还有撒,hai'you'sa
还在乌鲁木齐,hai'zai'wu'lu'mu'qi
还在新疆,hai'zai'xin'jiang
还早的呢,hai'zao'de'ne
喊的呢,han'de'ne
汉人街,han'ren'jie
汉族吗,han'zu'ma
汉族人,han'zu'ren
航志,hang'zhi
好的呢啊,hao'de'ne'a
好的呢吧,hao'de'ne'ba
好的呢吗,hao'de'ne'ma
好的呢呀,hao'de'ne'ya
好好的你,hao'hao'de'ni
好好的怕,hao'hao'de'pa
好好的撒,hao'hao'de'sa
好好说的呢,hao'hao'shuo'de'ne
好好说呢,hao'hao'shuo'ne
好好说撒,hao'hao'shuo'sa
好好喧,hao'hao'xuan
浩鸿,hao'hong
好家乡,hao'jia'xiang
好家长,hao'jia'zhang
好瞌睡,hao'ke'shui
好瞌睡啊,hao'ke'shui'a
好了撒,hao'le'sa
好呢啊,hao'ne'a
好呢吧,hao'ne'ba
好呢好呢,hao'ne'hao'ne
好呢呀,hao'ne'ya
好怕的呢,hao'pa'de'ne
好怕去,hao'pa'qu
好稀罕,hao'xi'han
好着呢吧,hao'zhe'ne'ba
河北东路,he'bei'dong'lu
河北路,he'bei'lu
和布克赛尔,he'bu'ke'sai'er
喝的呢,he'de'ne
和枫雅居,he'feng'ya'ju
和钢,he'gang
喝给,he'gei
和静,he'jing
和静县,he'jing'xian
喝酒的呢,he'jiu'de'ne
荷兰小镇,he'lan'xiao'zhen
禾木,he'mu
河南东路,he'nan'dong'lu
河南路,he'nan'lu
河南西路,he'nan'xi'lu
和平都会,he'ping'dou'hui
和平南路,he'ping'nan'lu
和平桥,he'ping'qiao
和平渠,he'ping'qu
和硕,he'shuo
和硕县,he'shuo'xian
河滩,he'tan
河滩北路,he'tan'bei'lu
河滩路,he'tan'lu
河滩上,he'tan'shang
和田,he'tian
和田的,he'tian'de
和田地区,he'tian'di'qu
和田街,he'tian'jie
和田市,he'tian'shi
和田县,he'tian'xian
和田玉,he'tian'yu
黑潮,hei'chao
黑蛋蛋,hei'dan'dan
黑肚子,hei'du'zi
黑甲山,hei'jia'shan
黑龙江路,hei'long'jiang'lu
黑山头,hei'shan'tou
嗨呀呀,hei'ya'ya
很歹,hen'dai
很瞌睡,hen'ke'shui
红茶坊,hong'cha'fang
宏大广场,hong'da'guang'chang
红豆腐,hong'dou'fu
红二电,hong'er'dian
鸿福,hong'fu
红光钱,hong'guang'qian
红光山,hong'guang'shan
红湖,hong'hu
宏景,hong'jing
红庙子,hong'miao'zi
红旗大队,hong'qi'da'dui
红旗路,hong'qi'lu
红山,hong'shan
红山公园,hong'shan'gong'yuan
红山了,hong'shan'le
红山路,hong'shan'lu
红山市场,hong'shan'shi'chang
红山体育馆,hong'shan'ti'yu'guan
红山网,hong'shan'wang
红山新世纪,hong'shan'xin'shi'ji
红烧鹅,hong'shao'e
红十五,hong'shi'wu
红十月,hong'shi'yue
红乌苏,hong'wu'su
红雁池,hong'yan'chi
宏怡花园,hong'yi'hua'yuan
宏源证券,hong'yuan'zheng'quan
侯班,hou'ban
后面再说,hou'mian'zai'shuo
后面再说吧,hou'mian'zai'shuo'ba
后峡,hou'xia
胡达,hu'da
胡叫,hu'jiao
葫芦瓜,hu'lu'gua
虎皮辣子,hu'pi'la'zi
胡说的呢,hu'shuo'de'ne
呼图壁,hu'tu'bi
呼图壁县,hu'tu'bi'xian
胡杨,hu'yang
胡杨牧歌,hu'yang'mu'ge
胡子王,hu'zi'wang
华凌,hua'ling
华凌市场,hua'ling'shi'chang
花帽,hua'mao
华美文轩,hua'mei'wen'xuan
华世丹,hua'shi'dan
话意思,hua'yi'si
坏的呢,huai'de'ne
坏娃娃,huai'wa'wa
皇二,huang'er
黄河路,huang'he'lu
黄萝卜,huang'luo'bo
黄面烤肉,huang'mian'kao'rou
皇一,huang'yi
回博乐,hui'bo'le
回昌吉,hui'chang'ji
回到房子,hui'dao'fang'zi
回的呢,hui'de'ne
回房子,hui'fang'zi
回房子了,hui'fang'zi'le
汇芙园,hui'fu'yuan
回哈密,hui'ha'mi
汇嘉,hui'jia
回家的呢,hui'jia'de'ne
汇嘉时代,hui'jia'shi'dai
汇嘉园,hui'jia'yuan
回喀什,hui'ka'shi
汇珉园,hui'min'yuan
回内地,hui'nei'di
回色兰,hui'se'lan
回石河子,hui'shi'he'zi
回乌鲁木齐,hui'wu'lu'mu'qi
回乌市,hui'wu'shi
回新疆,hui'xin'jiang
汇轩园,hui'xuan'yuan
回伊犁,hui'yi'li
汇展园,hui'zhan'yuan
回族人,hui'zu'ren
混的呢,hun'de'ne
火车西站,huo'che'xi'zhan
霍城县,huo'cheng'xian
活的呢,huo'de'ne
霍尔果斯,huo'er'guo'si
霍尔果斯口岸,huo'er'guo'si'kou'an
火炬大厦,huo'ju'da'sha
火焰山,huo'yan'shan
机电市场,ji'dian'shi'chang
激动撒,ji'dong'sa
吉尔吉斯,ji'er'ji'si
吉尔吉斯斯坦,ji'er'ji'si'si'tan
几公斤,ji'gong'jin
济康,ji'kang
吉木乃,ji'mu'nai
吉木乃县,ji'mu'nai'xian
吉木萨,ji'mu'sa
吉木萨尔,ji'mu'sa'er
吉木萨尔县,ji'mu'sa'er'xian
鸡脑子,ji'nao'zi
急死忙活,ji'si'mang'huo
机械厂,ji'xie'chang
集资建房,ji'zi'jian'fang
家宝爱婴,jia'bao'ai'ying
嘉德园,jia'de'yuan
贾登峪,jia'deng'yu
嘉丰园,jia'feng'yuan
嘉禾园,jia'he'yuan
嘉华园,jia'hua'yuan
家家乐,jia'jia'le
驾考中心,jia'kao'zhong'xin
加气站,jia'qi'zhan
嘉盛园,jia'sheng'yuan
伽师县,jia'shi'xian
驾训,jia'xun
加依娜,jia'yi'na
架子肉,jia'zi'rou
建工师,jian'gong'shi
建工医院,jian'gong'yi'yuan
碱沟,jian'gou
捡棉花,jian'mian'hua
碱泉,jian'quan
碱泉街,jian'quan'jie
建设学院,jian'she'xue'yuan
捡石头,jian'shi'tou
见一哈,jian'yi'ha
江布拉克,jiang'bu'la'ke
犟得很,jiang'de'hen
江南道,jiang'nan'dao
疆内,jiang'nei
酱园,jiang'yuan
江原道,jiang'yuan'dao
叫的呢,jiao'de'ne
交河故城,jiao'he'gu'cheng
椒麻鸡,jiao'ma'ji
叫撒,jiao'sa
交通医院,jiao'tong'yi'yuan
教育学校,jiao'yu'xue'xiao
教育月,jiao'yu'yue
接飞机,jie'fei'ji
戒严了,jie'yan'le
解忧公主,jie'you'gong'zhu
金碧华府,jin'bi'hua'fu
金达莱,jin'da'lai
进教,jin'jiao
金酷,jin'ku
金色嘉年华,jin'se'jia'nian'hua
锦绣年华,jin'xiu'nian'hua
锦绣山河,jin'xiu'shan'he
金阳小区,jin'yang'xiao'qu
金银路,jin'yin'lu
京都小区,jing'du'xiao'qu
精河县,jing'he'xian
经济报,jing'ji'bao
经济技术开发区,jing'ji'ji'shu'kai'fa'qu
就不瞌睡了,jiu'bu'ke'shui'le
九家湾,jiu'jia'wan
就快快,jiu'kuai'kuai
就没撒,jiu'mei'sa
就呢个,jiu'ne'ge
就呢么,jiu'ne'me
就呢样,jiu'ne'yang
揪片子,jiu'pian'zi
酒票,jiu'piao
就悄悄,jiu'qiao'qiao
九胜,jiu'sheng
九师,jiu'shi
就是的,jiu'shi'de
就说撒,jiu'shuo'sa
就完了么,jiu'wan'le'me
就想的,jiu'xiang'de
九运司,jiu'yun'si
就在乌鲁木齐,jiu'zai'wu'lu'mu'qi
居来提,ju'lai'ti
军垦,jun'ken
军区医院,jun'qu'yi'yuan
军区总医院,jun'qu'zong'yi'yuan
卡德尔,ka'de'er
卡迪尔,ka'di'er
卡哈尔,ka'ha'er
喀拉峻,ka'la'jun
卡啦啦,ka'la'la
卡乐士,ka'le'shi
喀纳斯,ka'na'si
喀纳斯湖,ka'na'si'hu
喀什,ka'shi
喀什的,ka'shi'de
喀什地区,ka'shi'di'qu
喀什东路,ka'shi'dong'lu
喀什了,ka'shi'le
喀什路,ka'shi'lu
喀什市,ka'shi'shi
喀什西路,ka'shi'xi'lu
卡斯木,ka'si'mu
卡瓦斯,ka'wa'si
开包检查,kai'bao'jian'cha
开的呢,kai'de'ne
开房子,kai'fang'zi
开会的呢,kai'hui'de'ne
开玩笑的呢,kai'wan'xiao'de'ne
开斋,kai'zhai
开斋了,kai'zhai'le
看的呢,kan'de'ne
看的撒,kan'de'sa
看电视的呢,kan'dian'shi'de'ne
看撒呢,kan'sa'ne
看书的呢,kan'shu'de'ne
康城果岭,kang'cheng'guo'ling
康而家,kang'er'jia
康明园,kang'ming'yuan
烤包子,kao'bao'zi
烤烤肉,kao'kao'rou
烤腰子,kao'yao'zi
可爱的呀,ke'ai'de'ya
可按揭,ke'an'jie
瞌不瞌睡,ke'bu'ke'shui
可不可笑,ke'bu'ke'xiao
客舱部,ke'cang'bu
克东路,ke'dong'lu
可可托海,ke'ke'tuo'hai
克拉玛依,ke'la'ma'yi
克拉玛依的,ke'la'ma'yi'de
克拉玛依了,ke'la'ma'yi'le
克拉玛依区,ke'la'ma'yi'qu
克拉玛依市,ke'la'ma'yi'shi
克拉玛依西路,ke'la'ma'yi'xi'lu
克里木,ke'li'mu
柯坪,ke'ping
客气撒,ke'qi'sa
瞌睡的,ke'shui'de
瞌睡的不行了,ke'shui'de'bu'xing'le
瞌睡的很,ke'shui'de'hen
瞌睡了吗,ke'shui'le'ma
瞌睡了么,ke'shui'le'me
瞌睡么,ke'shui'me
瞌睡没,ke'shui'mei
瞌睡没有,ke'shui'mei'you
瞌睡那,ke'shui'na
克西路,ke'xi'lu
可笑不可笑,ke'xiao'bu'ke'xiao
可笑的,ke'xiao'de
可笑得很,ke'xiao'de'hen
可笑死了,ke'xiao'si'le
科信学院,ke'xin'xue'yuan
克依木,ke'yi'mu
可以呢,ke'yi'ne
可以呢吧,ke'yi'ne'ba
可以呢么,ke'yi'ne'me
