阿尔法罗米欧,a'er'fa'luo'mi'ou
进口凯迪拉克,jin'kou'kai'di'la'ke
进口克莱斯勒,jin'kou'ke'lai'si'le
进口铃木,jin'kou'ling'mu
进口马自达,jin'kou'ma'zi'da
进口起亚,jin'kou'qi'ya
进口日产,jin'kou'ri'chan
进口三菱,jin'kou'san'ling
进口斯柯达,jin'kou'si'ke'da
进口沃尔沃,jin'kou'wo'er'wo
进口现代,jin'kou'xian'dai
金鹰,jin'ying
景程,jing'cheng
精灵,jing'ling
晶锐,jing'rui
竞速,jing'su
景逸,jing'yi
竞悦,jing'yue
君阁,jun'ge
骏捷,jun'jie
君爵,jun'jue
君威,jun'wei
骏逸,jun'yi
君越,jun'yue
卡罗拉,ka'luo'la
卡宴,ka'yan
开迪,kai'di
凯雷德,kai'lei'de
凯领,kai'ling
凯美瑞,kai'mei'rui
凯睿,kai'rui
开瑞,kai'rui
凯旋,kai'xuan
凯越,kai'yue
克莱斯勒,ke'lai'si'le
科雷傲,ke'lei'ao
科鲁兹,ke'lu'zi
柯尼赛格,ke'ni'sai'ge
科帕奇,ke'pa'qi
酷搏,ku'bo
酷路泽,ku'lu'ze
酷派,ku'pai
酷威,ku'wei
酷熊,ku'xiong
拉古那,la'gu'na
来宝,lai'bao
兰博基尼,lan'bo'ji'ni
兰德酷路泽,lan'de'ku'lu'ze
蓝鸟,lan'niao
蓝瑟,lan'se
蓝瑟翼神,lan'se'yi'shen
揽胜,lan'sheng
揽胜运动版,lan'sheng'yun'dong'ban
浪迪,lang'di
朗逸,lang'yi
劳恩斯,lao'en'si
劳恩斯酷派,lao'en'si'ku'pai
劳斯莱斯,lao'si'lai'si
乐骋,le'cheng
乐驰,le'chi
乐风,le'feng
雷克萨斯,lei'ke'sa'si
雷诺,lei'nuo
雷斯特,lei'si'te
里程,li'cheng
力狮,li'shi
骊威,li'wei
利亚纳,li'ya'na
莲花,lian'hua
莲花汽车,lian'hua'qi'che
猎豹飞腾,lie'bao'fei'teng
猎豹黑金刚,lie'bao'hei'jin'gang
猎豹奇兵,lie'bao'qi'bing
林肯,lin'ken
林荫大道,lin'yin'da'dao
凌傲,ling'ao
领航员,ling'hang'yuan
菱绅,ling'shen
菱帅,ling'shuai
凌特,ling'te
领翔,ling'xiang
领雅,ling'ya
羚羊,ling'yang
领驭,ling'yu
菱悦,ling'yue
菱智,ling'zhi
路宝节油,lu'bao'jie'you
路帝,lu'di
陆地巡洋舰,lu'di'xun'yang'jian
陆风,lu'feng
陆风汽车,lu'feng'qi'che
路虎,lu'hu
玛莎拉蒂,ma'sha'la'di
马自达两厢,ma'zi'da'liang'xiang
迈巴赫,mai'ba'he
麦柯斯,mai'ke'si
迈腾,mai'teng
漫步者,man'bu'zhe
梅甘娜,mei'gan'na
美佳,mei'jia
美人豹,mei'ren'bao
美日,mei'ri
梦迪博朗,meng'di'bo'lang
蒙迪欧,meng'di'ou
蒙派克,meng'pai'ke
迷迪,mi'di
迷你,mi'ni
明锐,ming'rui
名驭,ming'yu
牧马人,mu'ma'ren
南京菲亚特,nan'jing'fei'ya'te
欧宝,ou'bao
欧菲莱斯,ou'fei'lai'si
讴歌,ou'ge
欧陆,ou'lu
欧雅,ou'ya
帕杰罗,pa'jie'luo
帕拉丁,pa'la'ding
派朗,pai'lang
派力奥,pai'li'ao
庞蒂克,pang'di'ke
朋多,peng'duo
普拉多,pu'la'duo
普力马,pu'li'ma
普锐斯,pu'rui'si
普瑞维亚,pu'rui'wei'ya
骐达,qi'da
奇骏,qi'jun
骐菱,qi'ling
奇瑞,qi'rui
旗胜,qi'sheng
骑士,qi'shi
旗云,qi'yun
千里马,qian'li'ma
丘比特,qiu'bi'te
全球鹰,quan'qiu'ying
荣威,rong'wei
荣御,rong'yu
瑞风,rui'feng
瑞虎,rui'hu
锐欧,rui'ou
瑞麒,rui'qi
睿翼,rui'yi
瑞鹰,rui'ying
锐志,rui'zhi
萨博,sa'bo
赛豹,sai'bao
赛飞利,sai'fei'li
赛弗,sai'fu
赛拉图,sai'la'tu
赛马,sai'ma
赛威,sai'wei
赛影,sai'ying
桑塔纳,sang'ta'na
桑塔纳志俊,sang'ta'na'zhi'jun
森林人,sen'lin'ren
森雅,sen'ya
上海大众,shang'hai'da'zhong
上海大众斯柯达,shang'hai'da'zhong'si'ke'da
上海汽车,shang'hai'qi'che
上海通用别克,shang'hai'tong'yong'bie'ke
上海通用凯迪拉克,shang'hai'tong'yong'kai'di'la'ke
上海通用雪佛兰,shang'hai'tong'yong'xue'fo'lan
上海英伦,shang'hai'ying'lun
尚酷,shang'ku
上汽双龙,shang'qi'shuang'long
上汽通用五菱,shang'qi'tong'yong'wu'ling
上汽通用五菱雪佛兰,shang'qi'tong'yong'wu'ling'xue'fo'lan
神行者,shen'xing'zhe
圣达菲,sheng'da'fei
盛世,sheng'shi
世嘉,shi'jia
世爵,shi'jue
狮跑,shi'pao
帅豹,shuai'bao
帅舰,shuai'jian
帅客,shuai'ke
双环汽车,shuang'huan'qi'che
斯巴鲁,si'ba'lu
思铂睿,si'bo'rui
四川汽车,si'chuan'qi'che
思迪,si'di
思域,si'yu
速迈,su'mai
速派,su'pai
速腾,su'teng
索兰托,suo'lan'tuo
特拉卡,te'la'ka
特锐,te'rui
天津一汽,tian'jin'yi'qi
天籁,tian'lai
天语,tian'yu
天语两厢,tian'yu'liang'xiang
天语三厢,tian'yu'san'xiang
挑战者,tiao'zhan'zhe
同悦,tong'yue
途安,tu'an
途观,tu'guan
途乐,tu'le
途锐,tu'rui
途胜,tu'sheng
威驰,wei'chi
威达,wei'da
威航,wei'hang
威客,wei'ke
维拉克斯,wei'la'ke'si
威乐,wei'le
威麟,wei'lin
威赛帝,wei'sai'di
卫士,wei'shi
威霆,wei'ting
唯雅诺,wei'ya'nuo
威志,wei'zhi
威姿,wei'zi
五菱荣光,wu'ling'rong'guang
五菱之光,wu'ling'zhi'guang
西玛,xi'ma
西耶那,xi'ye'na
夏利,xia'li
享御,xiang'yu
小贵族,xiao'gui'zu
逍客,xiao'ke
新宝来,xin'bao'lai
新佳乐,xin'jia'le
新嘉年华,xin'jia'nian'hua
新普力马,xin'pu'li'ma
新赛欧,xin'sai'ou
新胜达,xin'sheng'da
新一代普力马,xin'yi'dai'pu'li'ma
熊猫,xiong'mao
秀尔,xiu'er
炫丽,xuan'li
轩逸,xuan'yi
雪佛兰,xue'fo'lan
雪铁龙,xue'tie'long
雅阁,ya'ge
雅科仕,ya'ke'shi
雅力士,ya'li'shi
雅绅特,ya'shen'te
雅特,ya'te
雅致,ya'zhi
雅尊,ya'zun
野马,ye'ma
翼豹,yi'bao
颐达,yi'da
翼虎,yi'hu
伊兰特,yi'lan'te
一汽奥迪,yi'qi'ao'di
一汽大众,yi'qi'da'zhong
一汽丰田,yi'qi'feng'tian
一汽吉林,yi'qi'ji'lin
一汽马自达,yi'qi'ma'zi'da
英菲尼迪,ying'fei'ni'di
英朗,ying'lang
永源飞碟,yong'yuan'fei'die
优劲,you'jin
优利欧,you'li'ou
优派,you'pai
优胜,you'sheng
优雅,you'ya
优翼,you'yi
优优,you'you
御翔,yu'xiang
御轩,yu'xuan
雨燕,yu'yan
远舰,yuan'jian
远景,yuan'jing
悦翔,yue'xiang
郑州日产,zheng'zhou'ri'chan
指挥官,zhi'hui'guan
指南者,zhi'nan'zhe
志翔,zhi'xiang
中华酷宝,zhong'hua'ku'bao
众泰,zhong'tai
众泰汽车,zhong'tai'qi'che
中兴汽车,zhong'xing'qi'che
中意,zhong'yi
周末风,zhou'mo'feng
自由舰,zi'you'jian
总裁,zong'cai
尊驰,zun'chi
