阿鼻地狱,a'bi'di'yu
冰川河流,bing'chuan'he'liu
冰川化,bing'chuan'hua
冰川退缩,bing'chuan'tui'suo
冰川湾,bing'chuan'wan
冰川物质平衡,bing'chuan'wu'zhi'ping'heng
冰川隙,bing'chuan'xi
冰川学,bing'chuan'xue
冰川作用,bing'chuan'zuo'yong
冰斗,bing'dou
冰斗冰川,bing'dou'bing'chuan
冰分凝,bing'fen'ning
冰盖,bing'gai
冰胶结,bing'jiao'jie
冰期,bing'qi
冰期后,bing'qi'hou
冰山,bing'shan
冰透镜体,bing'tou'jing'ti
冰湾,bing'wan
冰下河道,bing'xia'he'dao
冰楔,bing'xie
冰原,bing'yuan
冰缘,bing'yuan
并州,bing'zhou
波波卡特佩特,bo'bo'ka'te'pei'te
波多韦约,bo'duo'wei'yue
波尔多,bo'er'duo
波尔多的历史中心月亮港,bo'er'duo'de'li'shi'zhong'xin'yue'liang'gang
波尔多湾,bo'er'duo'wan
博尔戈尔山及那巴塔,bo'er'ge'er'shan'ji'na'ba'ta
伯尔尼古城,bo'er'ni'gu'cheng
波尔图历史中心,bo'er'tu'li'shi'zhong'xin
波夫莱特修道院,bo'fu'lai'te'xiu'dao'yuan
薄骨律,bo'gu'lv
渤海,bo'hai
勃海郡,bo'hai'jun
拨换城,bo'huan'cheng
波剌斯国,bo'la'si'guo
波浪侵蚀,bo'lang'qin'shi
博浪沙,bo'lang'sha
波雷奇,bo'lei'qi
伯力,bo'li
玻利瓦尔学院,bo'li'wa'er'xue'yuan
勃利州,bo'li'zhou
伯利兹堡礁保护区,bo'li'zi'bao'jiao'bao'hu'qu
柏林的宫殿与庭园,bo'lin'de'gong'dian'yu'ting'yuan
博陵,bo'ling
波隆纳鲁伐,bo'long'na'lu'fa
波隆纳鲁沃,bo'long'na'lu'wo
剥落,bo'luo
波罗奈国,bo'luo'nai'guo
钵罗耶伽,bo'luo'ye'jia
勃律,bo'lv
剥蚀,bo'shi
剥蚀面,bo'shi'mian
波斯波利斯,bo'si'bo'li'si
波所黎各,bo'suo'li'ge
钵头摩地狱,bo'tou'mo'di'yu
波托西城,bo'tuo'xi'cheng
博望,bo'wang
博物馆岛,bo'wu'guan'dao
博物馆综合体,bo'wu'guan'zong'he'ti
博亚纳教堂,bo'ya'na'jiao'tang
博伊谷地,bo'yi'gu'di
博因遗迹群,bo'yin'yi'ji'qun
博州,bo'zhou
播州,bo'zhou
波兹坦,bo'zi'tan
布达城堡区,bu'da'cheng'bao'qu
布达拉宫,bu'da'la'gong
布达佩斯,bu'da'pei'si
布尔戈斯,bu'er'ge'si
布尔诺,bu'er'nuo
布尔日大教堂,bu'er'ri'da'jiao'tang
不规则三角网,bu'gui'ze'san'jiao'wang
布哈拉,bu'ha'la
布拉格,bu'la'ge
不来梅,bu'lai'mei
布莱尼姆宫,bu'lai'ni'mu'gong
布里哈迪斯瓦拉,bu'li'ha'di'si'wa'la
布里特威斯,bu'li'te'wei'si
布鲁日,bu'lu'ri
布鲁塞尔,bu'lu'sai'er
部落领土,bu'luo'ling'tu
布吕尔,bu'lv'er
布吕根地区,bu'lv'gen'di'qu
部门经济地理学,bu'men'jing'ji'di'li'xue
布斯拉古城,bu'si'la'gu'cheng
布特林特,bu'te'lin'te
布温迪国家公国,bu'wen'di'guo'jia'gong'guo
彩绘教堂,cai'hui'jiao'tang
采桑,cai'sang
蔡州,cai'zhou
残积层,can'ji'ceng
残积景观,can'ji'jing'guan
残积土,can'ji'tu
残积物,can'ji'wu
残留因素,can'liu'yin'su
残遗种区,can'yi'zhong'qu
苍梧,cang'wu
沧州,cang'zhou
草甸,cao'dian
草甸沼泽,cao'dian'zhao'ze
曹国,cao'guo
漕矩咤国,cao'ju'zha'guo
草原,cao'yuan
草原气候,cao'yuan'qi'hou
草原土壤,cao'yuan'tu'rang
曹州,cao'zhou
侧向侵蚀,ce'xiang'qin'shi
层次分析法,ceng'ci'fen'xi'fa
层间流,ceng'jian'liu
层结湖,ceng'jie'hu
查科文化,cha'ke'wen'hua
查询,cha'xun
差异风化作用,cha'yi'feng'hua'zuo'yong
柴桑,chai'sang
柴市,chai'shi
产流,chan'liu
产沙量,chan'sha'liang
产沙率,chan'sha'lv
产水量,chan'shui'liang
单于都护府,chan'yu'du'hu'fu
颤沼,chan'zhao
澶州,chan'zhou
长安,chang'an
长坂,chang'ban
昌昌考古区,chang'chang'kao'gu'qu
长城,chang'cheng
常德,chang'de
昌德宫,chang'de'gong
长方形主教教堂,chang'fang'xing'zhu'jiao'jiao'tang
昌国,chang'guo
昌黎,chang'li
常绿阔叶林,chang'lv'kuo'ye'lin
昌南镇,chang'nan'zhen
昌平,chang'ping
长平,chang'ping
长沙,chang'sha
常山,chang'shan
长勺,chang'shao
昌邑,chang'yi
常州,chang'zhou
长洲苑,chang'zhou'yuan
潮沟,chao'gou
朝圣教堂,chao'sheng'jiao'tang
朝圣之路,chao'sheng'zhi'lu
潮滩,chao'tan
潮汐通道,chao'xi'tong'dao
潮州,chao'zhou
车里,che'li
陈仓,chen'cang
沉积物,chen'ji'wu
沉积相,chen'ji'xiang
沉积作用,chen'ji'zuo'yong
陈郡,chen'jun
陈留,chen'liu
陈桥驿,chen'qiao'yi
辰阳,chen'yang
辰州,chen'zhou
郴州,chen'zhou
陈州,chen'zhou
城堡,cheng'bao
城堡和城墙,cheng'bao'he'cheng'qiang
城堡和文化,cheng'bao'he'wen'hua
城堡及庄园,cheng'bao'ji'zhuang'yuan
城堡式要塞,cheng'bao'shi'yao'sai
成冰作用,cheng'bing'zuo'yong
成德,cheng'de
承德避暑山庄及周围寺庙,cheng'de'bi'shu'shan'zhuang'ji'zhou'wei'si'miao
城父,cheng'fu
成皋,cheng'gao
城内,cheng'nei
城濮,cheng'pu
城市,cheng'shi
城市边缘,cheng'shi'bian'yuan
城市场,cheng'shi'chang
城市等级序列,cheng'shi'deng'ji'xu'lie
城市地理学,cheng'shi'di'li'xue
城市辐集,cheng'shi'fu'ji
城市更新,cheng'shi'geng'xin
城市化,cheng'shi'hua
城市化村,cheng'shi'hua'cun
城市化区域,cheng'shi'hua'qu'yu
城市集群,cheng'shi'ji'qun
城市历史地理,cheng'shi'li'shi'di'li
城市连绵区,cheng'shi'lian'mian'qu
城市气候,cheng'shi'qi'hou
城市热岛,cheng'shi're'dao
城市人口,cheng'shi'ren'kou
城市生态系统,cheng'shi'sheng'tai'xi'tong
城市生长极,cheng'shi'sheng'zhang'ji
城市衰落区,cheng'shi'shuai'luo'qu
城市体系,cheng'shi'ti'xi
城市蔓生,cheng'shi'wan'sheng
城市形态,cheng'shi'xing'tai
城市引力,cheng'shi'yin'li
城市再开发,cheng'shi'zai'kai'fa
成熟土壤,cheng'shu'tu'rang
承天,cheng'tian
城乡交错带,cheng'xiang'jiao'cuo'dai
承压地下水,cheng'ya'di'xia'shui
城阳,cheng'yang
城颍,cheng'ying
成周城,cheng'zhou'cheng
赤城,chi'cheng
赤道,chi'dao
赤道带,chi'dao'dai
赤嵌,chi'qian
赤县,chi'xian
池州,chi'zhou
冲沟,chong'gou
冲积层,chong'ji'ceng
冲积扇,chong'ji'shan
冲积物,chong'ji'wu
冲积锥,chong'ji'zhui
舂陵,chong'ling
重庆,chong'qing
冲刷,chong'shua
仇池,chou'chi
出河店,chu'he'dian
出口基地理论,chu'kou'ji'di'li'lun
畜生道,chu'sheng'dao
处州,chu'zhou
楚州,chu'zhou
滁州,chu'zhou
川边,chuan'bian
传染扩散,chuan'ran'kuo'san
传统建筑,chuan'tong'jian'zhu
吹蚀,chui'shi
吹雪,chui'xue
垂直地带,chui'zhi'di'dai
垂直地带性,chui'zhi'di'dai'xing
春明,chun'ming
春申江,chun'shen'jiang
刺激扩散,ci'ji'kuo'san
刺桐,ci'tong
磁州,ci'zhou
葱岭,cong'ling
从属景观,cong'shu'jing'guan
措迪洛山,cuo'di'luo'shan
大成历史名城,da'cheng'li'shi'ming'cheng
大都,da'dou
大都市圈,da'du'shi'quan
大都市市区,da'du'shi'shi'qu
大峰山,da'feng'shan
达夫尼,da'fu'ni
大骨节病,da'gu'jie'bing
大广场,da'guang'chang
大吉岭,da'ji'ling
大吉岭喜马拉雅铁路,da'ji'ling'xi'ma'la'ya'tie'lu
打箭炉,da'jian'lu
大教堂,da'jiao'tang
大津巴布韦遗址,da'jin'ba'bu'wei'yi'zhi
大金川,da'jin'chuan
大卡萨斯,da'ka'sa'si
达勒姆大教堂和城堡,da'le'mu'da'jiao'tang'he'cheng'bao
大雷普提斯,da'lei'pu'ti'si
达连国家公园,da'lian'guo'jia'gong'yuan
大梁,da'liang
大羚羊保护区,da'ling'yang'bao'hu'qu
大陆,da'lu
大陆度,da'lu'du
大陆架,da'lu'jia
大陆坡,da'lu'po
大陆性冰川,da'lu'xing'bing'chuan
大陆性气候,da'lu'xing'qi'hou
达罗毗荼国,da'luo'pi'tu'guo
怛罗斯,da'luo'si
大吕宋国,da'lv'song'guo
大马士革,da'ma'shi'ge
大名府,da'ming'fu
大泥,da'ni
大宁卫,da'ning'wei
大气迁移,da'qi'qian'yi
大气圈,da'qi'quan
大气污染,da'qi'wu'ran
大秦,da'qin
大秦国,da'qin'guo
大清真寺和医院,da'qing'zhen'si'he'yi'yuan
大圣卢西亚沼泽公园,da'sheng'lu'xi'ya'zhao'ze'gong'yuan
打牲乌拉,da'sheng'wu'la
大食,da'shi
达特施泰因,da'te'shi'tai'yin
大田制度,da'tian'zhi'du
大同,da'tong
大铜山采矿区,da'tong'shan'cai'kuang'qu
大宛,da'wan
大雾山国家公园,da'wu'shan'guo'jia'gong'yuan
大西洋东南森林保护区,da'xi'yang'dong'nan'sen'lin'bao'hu'qu
大西洋国,da'xi'yang'guo
大西洋沿岸的森林保护区,da'xi'yang'yan'an'de'sen'lin'bao'hu'qu
大夏,da'xia
大峡谷国家公园,da'xia'gu'guo'jia'gong'yuan
大峡谷文化景观,da'xia'gu'wen'hua'jing'guan
大兴城,da'xing'cheng
大熊猫栖息地,da'xiong'mao'qi'xi'di
大仪镇,da'yi'zhen
大藏经板木及板库,da'zang'jing'ban'mu'ji'ban'ku
大泽乡,da'ze'xiang
大昭寺,da'zhao'si
大沼泽地国家公园,da'zhao'ze'di'guo'jia'gong'yuan
大足石刻,da'zu'shi'ke
戴安诺,dai'an'nuo
代郡,dai'jun
戴克里先,dai'ke'li'xian
丹布勒金寺,dan'bu'le'jin'si
呾叉始罗,dan'cha'shi'luo
单父,dan'fu
掸国,dan'guo
单面山,dan'mian'shan
淡水,dan'shui
淡水湖,dan'shui'hu
丹霞地貌,dan'xia'di'mao
丹阳,dan'yang
单元景观,dan'yuan'jing'guan
丹周尔,dan'zhou'er
宕渠,dang'qu
砀山,dang'shan
当涂,dang'tu
刀耕火种,dao'geng'huo'zhong
忉利天,dao'li'tian
岛山,dao'shan
岛屿,dao'yu
倒置地貌,dao'zhi'di'mao
道州,dao'zhou
德安,de'an
的达亚恩城堡,de'da'ya'en'cheng'bao
德尔斐,de'er'fei
德国纳粹集中营和死亡营,de'guo'na'cui'ji'zhong'ying'he'si'wang'ying
德化,de'hua
德卡尼修道院,de'ka'ni'xiu'dao'yuan
德孔波斯特拉,de'kong'bo'si'te'la
德拉肯斯山,de'la'ken'si'shan
德拉罗卡堡,de'la'luo'ka'bao
德累斯顿,de'lei'si'dun
德罗特宁霍尔摩宫,de'luo'te'ning'huo'er'mo'gong
的木构教堂,de'mu'gou'jiao'tang
德绍,de'shao
德胜城,de'sheng'cheng
德文特河谷工业区,de'wen'te'he'gu'gong'ye'qu
德乌玛瓦卡,de'wu'ma'wa'ka
等活地狱,deng'huo'di'yu
等级扩散,deng'ji'kuo'san
等距原则,deng'ju'yuan'ze
等值线,deng'zhi'xian
登州,deng'zhou
邓州,deng'zhou
蒂阿曼蒂那城,di'a'man'di'na'cheng
迪奥西亚,di'ao'xi'ya
底比斯古城及墓地,di'bi'si'gu'cheng'ji'mu'di
地带,di'dai
地带性,di'dai'xing
狄道,di'dao
低地,di'di
地方病,di'fang'bing
地方气候,di'fang'qi'hou
地方性,di'fang'xing
迪夫里伊,di'fu'li'yi
地籍,di'ji
地居天,di'ju'tian
蒂卡尔国家公园,di'ka'er'guo'jia'gong'yuan
地理大发现,di'li'da'fa'xian
地理单元,di'li'dan'yuan
地理分布,di'li'fen'bu
地理过程,di'li'guo'cheng
地理环境,di'li'huan'jing
地理界线,di'li'jie'xian
地理经度,di'li'jing'du
地理考察,di'li'kao'cha
地理圈,di'li'quan
地理数据可视化,di'li'shu'ju'ke'shi'hua
地理纬度,di'li'wei'du
地理位置,di'li'wei'zhi
地理系统,di'li'xi'tong
地理信息,di'li'xin'xi
地理信息科学,di'li'xin'xi'ke'xue
地理信息流,di'li'xin'xi'liu
地理学,di'li'xue
地理学史,di'li'xue'shi
地理学思想史,di'li'xue'si'xiang'shi
地理学体系,di'li'xue'ti'xi
地理因子,di'li'yin'zi
地理专业词汇,di'li'zhuan'ye'ci'hui
地理综合,di'li'zong'he
地理阻障,di'li'zu'zhang
狄罗尼三角网,di'luo'ni'san'jiao'wang
地貌,di'mao
地貌成因,di'mao'cheng'yin
地貌倒置,di'mao'dao'zhi
地貌过程,di'mao'guo'cheng
地貌量计学,di'mao'liang'ji'xue
地貌年代学,di'mao'nian'dai'xue
地貌世代,di'mao'shi'dai
地貌形成作用,di'mao'xing'cheng'zuo'yong
地貌序列,di'mao'xu'lie
地貌学,di'mao'xue
地貌组合,di'mao'zu'he
地面沉降,di'mian'chen'jiang
地壳均衡,di'qiao'jun'heng
地球,di'qiu
帝丘,di'qiu
地球表层,di'qiu'biao'ceng
地球表面,di'qiu'biao'mian
地球化学景观,di'qiu'hua'xue'jing'guan
地球体,di'qiu'ti
地区,di'qu
地区历史遗迹及其自然景观,di'qu'li'shi'yi'ji'ji'qi'zi'ran'jing'guan
地圈,di'quan
地生态学,di'sheng'tai'xue
缔头万城,di'tou'wan'cheng
地图符号,di'tu'fu'hao
地图投影,di'tu'tou'ying
地图学史,di'tu'xue'shi
蒂瓦纳科文化中心,di'wa'na'ke'wen'hua'zhong'xin
低位沼泽,di'wei'zhao'ze
地文学,di'wen'xue
蒂沃利城,di'wo'li'cheng
地峡,di'xia
地下冰,di'xia'bing
地下宫殿,di'xia'gong'dian
地下河,di'xia'he
地下水库,di'xia'shui'ku
地下水位,di'xia'shui'wei
地下水文学,di'xia'shui'wen'xue
地形基面,di'xing'ji'mian
地形气候学,di'xing'qi'hou'xue
蒂亚,di'ya
地狱,di'yu
地域类型,di'yu'lei'xing
地域生产综合体,di'yu'sheng'chan'zong'he'ti
地域系统,di'yu'xi'tong
地域专业化,di'yu'zhuan'ye'hua
地域自然综合体,di'yu'zi'ran'zong'he'ti
地缘政治学,di'yuan'zheng'zhi'xue
地志学,di'zhi'xue
地中海盆地岩画艺术,di'zhong'hai'pen'di'yan'hua'yi'shu
地中海气候,di'zhong'hai'qi'hou
棣州,di'zhou
点密度法,dian'mi'du'fa
电子地图,dian'zi'di'tu
叠合分析,die'he'fen'xi
叠加定律,die'jia'ding'lv
顶点,ding'dian
顶极群落,ding'ji'qun'luo
顶极土壤,ding'ji'tu'rang
丁威勒,ding'wei'le
定襄,ding'xiang
定州,ding'zhou
鼎州,ding'zhou
栋巴耶延山,dong'ba'ye'yan'shan
东昌,dong'chang
东川,dong'chuan
东都,dong'du
东莞,dong'guan
冻害,dong'hai
东海郡,dong'hai'jun
冻结层中水,dong'jie'ceng'zhong'shui
冻结指数,dong'jie'zhi'shu
东京,dong'jing
东郡,dong'jun
动力地貌学,dong'li'di'mao'xue
东欧远古山毛榉林,dong'ou'yuan'gu'shan'mao'ju'lin
东平,dong'ping
东坡,dong'po
冻融循环,dong'rong'xun'huan
冻土,dong'tu
冻土动力学,dong'tu'dong'li'xue
冻土进化,dong'tu'jin'hua
冻土退化,dong'tu'tui'hua
冻土相分析,dong'tu'xiang'fen'xi
冻土学,dong'tu'xue
东吴,dong'wu
动物传布,dong'wu'chuan'bu
动物地理学,dong'wu'di'li'xue
