胺碘酮,an'dian'tong
阑尾炎麦氏切除术,lan'wei'yan'mai'shi'qie'chu'shu
阑尾周围脓肿,lan'wei'zhou'wei'nong'zhong
老年人高血压,lao'nian'ren'gao'xue'ya
类癌,lei'ai
利尿剂心衰,li'niao'ji'xin'shuai
两眼注视前方,liang'yan'zhu'shi'qian'fang
淋巴瘤,lin'ba'liu
淋巴细胞,lin'ba'xi'bao
瘤样病损,liu'yang'bing'sun
埋藏式,mai'cang'shi
慢粒急性变,man'li'ji'xing'bian
慢性骨髓炎,man'xing'gu'sui'yan
慢性肉芽肿性炎,man'xing'rou'ya'zhong'xing'yan
慢性肾盂肾炎慢性肾炎,man'xing'shen'yu'shen'yan'man'xing'shen'yan
酶活性增高原因,mei'huo'xing'zeng'gao'yuan'yin
每天量数据,mei'tian'liang'shu'ju
迷离瘤,mi'li'liu
弥漫性结缔组织疾病,mi'man'xing'jie'di'zu'zhi'ji'bing
泌尿系统,mi'niao'xi'tong
泌乳素瘤,mi'ru'su'liu
免疫反应变态反应,mian'yi'fan'ying'bian'tai'fan'ying
秒用力呼气量,miao'yong'li'hu'qi'liang
模体,mo'ti
内分泌风湿,nei'fen'mi'feng'shi
内分泌甲状腺滤泡聚碘,nei'fen'mi'jia'zhuang'xian'lv'pao'ju'dian
能被苯巴比妥诱导,neng'bei'ben'ba'bi'tuo'you'dao
能量皮温,neng'liang'pi'wen
尿崩症,niao'beng'zheng
尿感抗生素,niao'gan'kang'sheng'su
尿感治疗,niao'gan'zhi'liao
凝胶电泳,ning'jiao'dian'yong
疲劳骨折,pi'lao'gu'zhe
贫血性心脏病,pin'xue'xing'xin'zang'bing
平均动脉压,ping'jun'dong'mai'ya
葡萄糖耐量试验,pu'tao'tang'nai'liang'shi'yan
葡萄糖体内代谢,pu'tao'tang'ti'nei'dai'xie
气胸临床表现,qi'xiong'lin'chuang'biao'xian
前后负荷,qian'hou'fu'he
前后阻力,qian'hou'zu'li
前列腺增生,qian'lie'xian'zeng'sheng
前庭阶鼓阶,qian'ting'jie'gu'jie
氰化物中毒过度通气中度运动时,qing'hua'wu'zhong'du'guo'du'tong'qi'zhong'du'yun'dong'shi
趋化作用,qu'hua'zuo'yong
曲线,qu'xian
全麻并发症,quan'ma'bing'fa'zheng
全麻分期,quan'ma'fen'qi
缺铁性贫血机制,que'tie'xing'pin'xue'ji'zhi
桡骨下端骨折,rao'gu'xia'duan'gu'zhe
桡神经损伤,rao'shen'jing'sun'shang
溶血卵磷脂,rong'xue'luan'lin'zhi
肉瘤,rou'liu
肉芽组织肉芽肿急性炎症,rou'ya'zu'zhi'rou'ya'zhong'ji'xing'yan'zheng
乳房胸外,ru'fang'xiong'wai
乳腺凝集法,ru'xian'ning'ji'fa
三闭,san'bi
上尿路梗阻,shang'niao'lu'geng'zu
烧伤病人饮食,shao'shang'bing'ren'yin'shi
射精,she'jing
肾病性水肿,shen'bing'xing'shui'zhong
肾高血压动脉硬化期指标,shen'gao'xue'ya'dong'mai'ying'hua'qi'zhi'biao
肾活检,shen'huo'jian
肾结核,shen'jie'he
神经根型颈椎病,shen'jing'gen'xing'jing'zhui'bing
神经体液调节,shen'jing'ti'ye'tiao'jie
神经体液自身调节比较,shen'jing'ti'ye'zi'shen'tiao'jie'bi'jiao
神经兴奋,shen'jing'xing'fen
神经中枢,shen'jing'zhong'shu
肾区痛,shen'qu'tong
肾衰分期,shen'shuai'fen'qi
肾糖域,shen'tang'yu
肾周围炎,shen'zhou'wei'yan
生化,sheng'hua
生理,sheng'li
生物活性肽,sheng'wu'huo'xing'tai
生殖生理允许全或无,sheng'zhi'sheng'li'yun'xu'quan'huo'wu
生殖月经,sheng'zhi'yue'jing
石膏管型,shi'gao'guan'xing
食管癌放疗,shi'guan'ai'fang'liao
食管癌手术,shi'guan'ai'shou'shu
食管癌脱落细胞,shi'guan'ai'tuo'luo'xi'bao
噬菌体,shi'jun'ti
室缺,shi'que
嗜酸性粒细胞,shi'suan'xing'li'xi'bao
失血量,shi'xue'liang
试验,shi'yan
适应症禁忌症,shi'ying'zheng'jin'ji'zheng
手法复位,shou'fa'fu'wei
手术分类,shou'shu'fen'lei
手外伤治疗,shou'wai'shang'zhi'liao
输浓缩红细胞,shu'nong'suo'hong'xi'bao
术前抗生素,shu'qian'kang'sheng'su
输血速度,shu'xue'su'du
输血注意,shu'xue'zhu'yi
舒张性心衰,shu'zhang'xing'xin'shuai
双螺旋,shuang'luo'xuan
酸碱平衡维持,suan'jian'ping'heng'wei'chi
锁骨中段骨折,suo'gu'zhong'duan'gu'zhe
弹性阻力,tan'xing'zu'li
糖尿病乳酸酸中毒,tang'niao'bing'ru'suan'suan'zhong'du
糖尿病诊断,tang'niao'bing'zhen'duan
糖尿病治疗,tang'niao'bing'zhi'liao
糖皮质激素错误的,tang'pi'zhi'ji'su'cuo'wu'de
体位影响,ti'wei'ying'xiang
通道阻滞剂,tong'dao'zu'zhi'ji
痛风,tong'feng
酮替芬,tong'ti'fen
外科引流目的,wai'ke'yin'liu'mu'di
外科总论,wai'ke'zong'lun
腕部骨折,wan'bu'gu'zhe
腕管综合征,wan'guan'zong'he'zheng
网织红细胞,wang'zhi'hong'xi'bao
胃大部切除,wei'da'bu'qie'chu
胃大部切除并发症,wei'da'bu'qie'chu'bing'fa'zheng
胃溃疡手术并发症,wei'kui'yang'shou'shu'bing'fa'zheng
微小病变肾炎,wei'xiao'bing'bian'shen'yan
胃血管,wei'xue'guan
微终板电位,wei'zhong'ban'dian'wei
无症状,wu'zheng'zhuang
细胞细胞膜,xi'bao'xi'bao'mo
细胞信号传导通路,xi'bao'xin'hao'chuan'dao'tong'lu
细胞因子,xi'bao'yin'zi
细静脉,xi'jing'mai
吸入性肺炎,xi'ru'xing'fei'yan
下垂患肢缓解,xia'chui'huan'zhi'huan'jie
下颈髓,xia'jing'sui
狭窄性腱鞘炎,xia'zhai'xing'jian'qiao'yan
下肢静脉瓣膜功能不全,xia'zhi'jing'mai'ban'mo'gong'neng'bu'quan
下肢静脉插管,xia'zhi'jing'mai'cha'guan
现代外科人造材料,xian'dai'wai'ke'ren'zao'cai'liao
线粒体氧化磷酸化,xian'li'ti'yang'hua'lin'suan'hua
先天性胆管扩张,xian'tian'xing'dan'guan'kuo'zhang
先天性髋关节脱位,xian'tian'xing'kuan'guan'jie'tuo'wei
先天性马蹄内翻足,xian'tian'xing'ma'ti'nei'fan'zu
纤维支气管镜,xian'wei'zhi'qi'guan'jing
线胸片,xian'xiong'pian
限制性核酸内切酶,xian'zhi'xing'he'suan'nei'qie'mei
哮喘分级,xiao'chuan'fen'ji
消化,xiao'hua
消化交叉循环试验,xiao'hua'jiao'cha'xun'huan'shi'yan
消化性溃疡穿孔,xiao'hua'xing'kui'yang'chuan'kong
心电图肋间位置,xin'dian'tu'lei'jian'wei'zhi
心梗图形演变,xin'geng'tu'xing'yan'bian
心梗诱因,xin'geng'you'yin
心梗预后,xin'geng'yu'hou
心功能步行试验,xin'gong'neng'bu'xing'shi'yan
心肌重塑,xin'ji'chong'su
心绞痛病理,xin'jiao'tong'bing'li
心脑肺复苏后处理,xin'nao'fei'fu'su'hou'chu'li
心内,xin'nei
心血管肺动脉压左右心室,xin'xue'guan'fei'dong'mai'ya'zuo'you'xin'shi
心血管溶栓,xin'xue'guan'rong'shuan
型超敏反应,xing'chao'min'fan'ying
型呼衰氧疗,xing'hu'shuai'yang'liao
性激素,xing'ji'su
型糖尿病,xing'tang'niao'bing
胸腔闭式引流,xiong'qiang'bi'shi'yin'liu
胸水腹水渗出液漏出液良性恶性,xiong'shui'fu'shui'shen'chu'ye'lou'chu'ye'liang'xing'e'xing
嗅诊,xiu'zhen
绪论外环境,xu'lun'wai'huan'jing
选择性血管造影,xuan'ze'xing'xue'guan'zao'ying
血常规异常值,xue'chang'gui'yi'chang'zhi
血管壁,xue'guan'bi
血浆与组织液血清原尿,xue'jiang'yu'zu'zhi'ye'xue'qing'yuan'niao
血涂片,xue'tu'pian
血小板止血,xue'xiao'ban'zhi'xue
血压计算,xue'ya'ji'suan
血液,xue'ye
血液保存,xue'ye'bao'cun
血液血细胞比容,xue'ye'xue'xi'bao'bi'rong
蕈样霉菌病,xun'yang'mei'jun'bing
压力感受性反射,ya'li'gan'shou'xing'fan'she
延搁,yan'ge
延期手术,yan'qi'shou'shu
眼征分期,yan'zheng'fen'qi
眼征治疗,yan'zheng'zhi'liao
腰肌劳损,yao'ji'lao'sun
腰麻并发症,yao'ma'bing'fa'zheng
腰麻禁忌症,yao'ma'jin'ji'zheng
腰腿痛压痛点,yao'tui'tong'ya'tong'dian
腰椎管狭窄,yao'zhui'guan'xia'zhai
抑癌基因,yi'ai'ji'yin
遗传密码,yi'chuan'mi'ma
胰岛素作用机制,yi'dao'su'zuo'yong'ji'zhi
胰头癌,yi'tou'ai
移位因素,yi'wei'yin'su
胰腺辅助检查,yi'xian'fu'zhu'jian'cha
胰腺假性囊肿,yi'xian'jia'xing'nang'zhong
胰腺外分泌功能,yi'xian'wai'fen'mi'gong'neng
隐睾治疗,yin'gao'zhi'liao
饮酒后胰腺炎,yin'jiu'hou'yi'xian'yan
引起肥胖疾病,yin'qi'fei'pang'ji'bing
应激性溃疡,ying'ji'xing'kui'yang
应急应激,ying'ji'ying'ji
硬膜外并发症,ying'mo'wai'bing'fa'zheng
硬皮病,ying'pi'bing
影响自律性的因素,ying'xiang'zi'lv'xing'de'yin'su
右后支阻滞,you'hou'zhi'zu'zhi
有机磷中毒,you'ji'lin'zhong'du
幽门梗阻,you'men'geng'zu
右束支传导阻滞,you'shu'zhi'chuan'dao'zu'zhi
原发性肝癌,yuan'fa'xing'gan'ai
原发性主动转运,yuan'fa'xing'zhu'dong'zhuan'yun
原核生物复制特点,yuan'he'sheng'wu'fu'zhi'te'dian
晕船反应,yun'chuan'fan'ying
运动系统慢性损伤,yun'dong'xi'tong'man'xing'sun'shang
晕厥,yun'jue
再发心梗,zai'fa'xin'geng
载体易化扩散,zai'ti'yi'hua'kuo'san
再障穿刺诊断,zai'zhang'chuan'ci'zhen'duan
再障贫血恢复,zai'zhang'pin'xue'hui'fu
增强子,zeng'qiang'zi
粘连性肠梗阻,zhan'lian'xing'chang'geng'zu
粘连性肩关节炎,zhan'lian'xing'jian'guan'jie'yan
诊断,zhen'duan
真菌感染,zhen'jun'gan'ran
正常补液,zheng'chang'bu'ye
正常心脏病,zheng'chang'xin'zang'bing
直肠癌,zhi'chang'ai
直肠指检,zhi'chang'zhi'jian
脂肪降解,zhi'fang'jiang'jie
质粒转入受体菌,zhi'li'zhuan'ru'shou'ti'jun
治疗,zhi'liao
支气管扩张,zhi'qi'guan'kuo'zhang
致痛物质,zhi'tong'wu'zhi
中毒,zhong'du
肿瘤生物治疗,zhong'liu'sheng'wu'zhi'liao
肿瘤未见,zhong'liu'wei'jian
肿瘤转移,zhong'liu'zhuan'yi
中心粒细胞,zhong'xin'li'xi'bao
重症肌无力,zhong'zheng'ji'wu'li
周围神经炎,zhou'wei'shen'jing'yan
主动脉夹层,zhu'dong'mai'jia'ceng
主狭病因,zhu'xia'bing'yin
主狭收缩期,zhu'xia'shou'suo'qi
转氨酶,zhuan'an'mei
子宫颈癌子宫内膜癌分期,zi'gong'jing'ai'zi'gong'nei'mo'ai'fen'qi
子宫颈上皮内瘤变,zi'gong'jing'shang'pi'nei'liu'bian
自杀基因,zi'sha'ji'yin
综合征,zong'he'zheng
阻塞性黄疸,zu'se'xing'huang'dan
左前支阻滞,zuo'qian'zhi'zu'zhi
左室广泛坏死,zuo'shi'guang'fan'huai'si
左束支传导阻滞,zuo'shu'zhi'chuan'dao'zu'zhi
左心衰夜间阵发性呼吸困难机制,zuo'xin'shuai'ye'jian'zhen'fa'xing'hu'xi'kun'nan'ji'zhi
左右心衰,zuo'you'xin'shuai
