不完全竞争论,bu'wan'quan'jing'zheng'lun
国际投资基本变量,guo'ji'tou'zi'ji'ben'bian'liang
国际投资金融风险,guo'ji'tou'zi'jin'rong'feng'xian
国际投资经济学,guo'ji'tou'zi'jing'ji'xue
国际投资商业风险,guo'ji'tou'zi'shang'ye'feng'xian
国际投资政治风险,guo'ji'tou'zi'zheng'zhi'feng'xian
国际信托,guo'ji'xin'tuo
国际信托投资,guo'ji'xin'tuo'tou'zi
国际性公司,guo'ji'xing'gong'si
国际越过贸易障碍投资,guo'ji'yue'guo'mao'yi'zhang'ai'tou'zi
国际证券投资,guo'ji'zheng'quan'tou'zi
国际直接投资,guo'ji'zhi'jie'tou'zi
国际资本流动,guo'ji'zi'ben'liu'dong
国际自然资源指向型投资,guo'ji'zi'ran'zi'yuan'zhi'xiang'xing'tou'zi
国际咨询信托,guo'ji'zi'xun'xin'tuo
国际资源转移论,guo'ji'zi'yuan'zhuan'yi'lun
国际租赁信托,guo'ji'zu'lin'xin'tuo
国民待遇,guo'min'dai'yu
海外投资法,hai'wai'tou'zi'fa
合资经营,he'zi'jing'ying
合作经营,he'zuo'jing'ying
合作开发,he'zuo'kai'fa
混合贷款,hun'he'dai'kuan
借贷资本国际化,jie'dai'zi'ben'guo'ji'hua
借资保资,jie'zi'bao'zi
进入和接管控制,jin'ru'he'jie'guan'kong'zhi
进入战略,jin'ru'zhan'lue
净国民效益,jing'guo'min'xiao'yi
竞争雇用和生产控制,jing'zheng'gu'yong'he'sheng'chan'kong'zhi
君子协定,jun'zi'xie'ding
跨国经营战略,kua'guo'jing'ying'zhan'lue
累进偿付贷款,lei'jin'chang'fu'dai'kuan
利用外资,li'yong'wai'zi
利用外资效益,li'yong'wai'zi'xiao'yi
两缺口理论,liang'que'kou'li'lun
灵活偿还期贷款,ling'huo'chang'huan'qi'dai'kuan
垄断优势论,long'duan'you'shi'lun
内部化论,nei'bu'hua'lun
生产资本国际化,sheng'chan'zi'ben'guo'ji'hua
双边投资条约,shuang'bian'tou'zi'tiao'yue
双边政府贷款,shuang'bian'zheng'fu'dai'kuan
所有权战略,suo'you'quan'zhan'lue
投资保护,tou'zi'bao'hu
投资保险,tou'zi'bao'xian
投资保证,tou'zi'bao'zheng
投资环境比较,tou'zi'huan'jing'bi'jiao
投资环境构成,tou'zi'huan'jing'gou'cheng
投资环境评价,tou'zi'huan'jing'ping'jia
投资气候,tou'zi'qi'hou
投资小环境,tou'zi'xiao'huan'jing
投资小气候,tou'zi'xiao'qi'hou
投资争议,tou'zi'zheng'yi
外国投资法,wai'guo'tou'zi'fa
外国投资控制,wai'guo'tou'zi'kong'zhi
外国投资审批程序,wai'guo'tou'zi'shen'pi'cheng'xu
外债偿还能力,wai'zhai'chang'huan'neng'li
外债规模,wai'zhai'gui'mo
外债结构,wai'zhai'jie'gou
外债清偿率,wai'zhai'qing'chang'lv
外资出资比例,wai'zi'chu'zi'bi'li
外资出资构成,wai'zi'chu'zi'gou'cheng
外资没收,wai'zi'mo'shou
外资企业国有化,wai'zi'qi'ye'guo'you'hua
外资企业征用,wai'zi'qi'ye'zheng'yong
外资所有权控制,wai'zi'suo'you'quan'kong'zhi
外资原本与利润汇出,wai'zi'yuan'ben'yu'li'run'hui'chu
外资逐渐消失方式,wai'zi'zhu'jian'xiao'shi'fang'shi
西方国际直接投资理论,xi'fang'guo'ji'zhi'jie'tou'zi'li'lun
抑制性控制,yi'zhi'xing'kong'zhi
引进外资部门结构,yin'jin'wai'zi'bu'men'jie'gou
引进外资形式结构,yin'jin'wai'zi'xing'shi'jie'gou
引进外资总规模,yin'jin'wai'zi'zong'gui'mo
债务周期假设,zhai'wu'zhou'qi'jia'she
政府间贷款,zheng'fu'jian'dai'kuan
资本外逃,zi'ben'wai'tao
资本移动自由化,zi'ben'yi'dong'zi'you'hua
自借自还国外贷款,zi'jie'zi'hai'guo'wai'dai'kuan
资金筹措和财务控制,zi'jin'chou'cuo'he'cai'wu'kong'zhi
自然资源开采控制,zi'ran'zi'yuan'kai'cai'kong'zhi
