靶道工程测量,ba'dao'gong'cheng'ce'liang
带状平面图,dai'zhuang'ping'mian'tu
道岔测量,dao'cha'ce'liang
倒锤法,dao'chui'fa
倒锤线观测,dao'chui'xian'guan'ce
导弹定向测量,dao'dan'ding'xiang'ce'liang
导弹试验场工程测量,dao'dan'shi'yan'chang'gong'cheng'ce'liang
导航台定位测量,dao'hang'tai'ding'wei'ce'liang
道路工程测量,dao'lu'gong'cheng'ce'liang
导入高程测量,dao'ru'gao'cheng'ce'liang
导线边,dao'xian'bian
导线测量,dao'xian'ce'liang
导线点,dao'xian'dian
导线横向误差,dao'xian'heng'xiang'wu'cha
导线角度闭合差,dao'xian'jiao'du'bi'he'cha
导线结点,dao'xian'jie'dian
导线曲折系数,dao'xian'qu'zhe'xi'shu
导线全长闭合差,dao'xian'quan'chang'bi'he'cha
导线网,dao'xian'wang
导线相对闭合差,dao'xian'xiang'dui'bi'he'cha
导线折角,dao'xian'zhe'jiao
导线纵向误差,dao'xian'zong'xiang'wu'cha
等权代替法,deng'quan'dai'ti'fa
堤坝施工测量,di'ba'shi'gong'ce'liang
底板测点,di'ban'ce'dian
地表移动观测站,di'biao'yi'dong'guan'ce'zhan
地表移动曲线图,di'biao'yi'dong'qu'xian'tu
地产界测量,di'chan'jie'ce'liang
地籍,di'ji
地籍簿,di'ji'bu
地籍册,di'ji'ce
地籍测量,di'ji'ce'liang
地籍测量系统,di'ji'ce'liang'xi'tong
地籍测量细则,di'ji'ce'liang'xi'ze
地籍调查,di'ji'diao'cha
地籍更新,di'ji'geng'xin
地籍管理,di'ji'guan'li
地籍图,di'ji'tu
地籍图册,di'ji'tu'ce
地籍修测,di'ji'xiu'ce
地界测量,di'jie'ce'liang
地块测量,di'kuai'ce'liang
地块数据库,di'kuai'shu'ju'ku
地类界图,di'lei'jie'tu
地下管线测量,di'xia'guan'xian'ce'liang
地下铁道测量,di'xia'tie'dao'ce'liang
地下油库测量,di'xia'you'ku'ce'liang
地形测量,di'xing'ce'liang
地形测量学,di'xing'ce'liang'xue
地形底图,di'xing'di'tu
地形图更新,di'xing'tu'geng'xin
地应力测量,di'ying'li'ce'liang
地震台精密测量,di'zhen'tai'jing'mi'ce'liang
地质草图,di'zhi'cao'tu
地质测量,di'zhi'ce'liang
地质点测量,di'zhi'dian'ce'liang
地质略图,di'zhi'lue'tu
地质剖面测量,di'zhi'pou'mian'ce'liang
地质剖面图,di'zhi'pou'mian'tu
电磁波测距,dian'ci'bo'ce'ju
点下对中,dian'xia'dui'zhong
典型图形平差,dian'xing'tu'xing'ping'cha
点之记,dian'zhi'ji
吊锤投影,diao'chui'tou'ying
顶板测点,ding'ban'ce'dian
定测,ding'ce
顶管测量,ding'guan'ce'liang
定线测量,ding'xian'ce'liang
定向连接测量,ding'xiang'lian'jie'ce'liang
定向连接点,ding'xiang'lian'jie'dian
定向投影,ding'xiang'tou'ying
定向误差,ding'xiang'wu'cha
冻结壁交圈图,dong'jie'bi'jiao'quan'tu
冻结法施工测量,dong'jie'fa'shi'gong'ce'liang
独立交会高程点,du'li'jiao'hui'gao'cheng'dian
独立坐标系,du'li'zuo'biao'xi
断层位移测量,duan'ceng'wei'yi'ce'liang
多边形平差法,duo'bian'xing'ping'cha'fa
多角高程导线,duo'jiao'gao'cheng'dao'xian
多用途地籍,duo'yong'tu'di'ji
房地产地籍,fang'di'chan'di'ji
方格法,fang'ge'fa
方格网点,fang'ge'wang'dian
防排水系统图,fang'pai'shui'xi'tong'tu
方向附合导线,fang'xiang'fu'he'dao'xian
放样测量,fang'yang'ce'liang
飞机场测量,fei'ji'chang'ce'liang
飞机洞库测量,fei'ji'dong'ku'ce'liang
复测法,fu'ce'fa
附合导线,fu'he'dao'xian
附合水准路线,fu'he'shui'zhun'lu'xian
港口工程测量,gang'kou'gong'cheng'ce'liang
高程导线,gao'cheng'dao'xian
高程点,gao'cheng'dian
高程控制测量,gao'cheng'kong'zhi'ce'liang
高程控制点,gao'cheng'kong'zhi'dian
高程控制网,gao'cheng'kong'zhi'wang
工厂现状图测量,gong'chang'xian'zhuang'tu'ce'liang
工程测量,gong'cheng'ce'liang
工程控制网,gong'cheng'kong'zhi'wang
公用事业工程测量,gong'yong'shi'ye'gong'cheng'ce'liang
管道测量,guan'dao'ce'liang
管道综合图,guan'dao'zong'he'tu
灌溉泵站测量,guan'gai'beng'zhan'ce'liang
灌区平面布置图,guan'qu'ping'mian'bu'zhi'tu
贯通测量,guan'tong'ce'liang
光电测距导线,guang'dian'ce'ju'dao'xian
光学准直,guang'xue'zhun'zhi
航测地籍,hang'ce'di'ji
巷道坡度线标定,hang'dao'po'du'xian'biao'ding
巷道碎部测量,hang'dao'sui'bu'ce'liang
巷道验收丈量,hang'dao'yan'shou'zhang'liang
巷道中线标定,hang'dao'zhong'xian'biao'ding
航艇洞库,hang'ting'dong'ku
航艇洞库测量,hang'ting'dong'ku'ce'liang
河道整治测量,he'dao'zheng'zhi'ce'liang
横断面测量,heng'duan'mian'ce'liang
横断面图,heng'duan'mian'tu
横基尺视差法,heng'ji'chi'shi'cha'fa
后方交会,hou'fang'jiao'hui
缓和曲线测设,huan'he'qu'xian'ce'she
环形控制网,huan'xing'kong'zhi'wang
汇水面积测量,hui'shui'mian'ji'ce'liang
回头曲线测设,hui'tou'qu'xian'ce'she
机场跑道测量,ji'chang'pao'dao'ce'liang
激光导向仪给向,ji'guang'dao'xiang'yi'gei'xiang
激光投点,ji'guang'tou'dian
激光准直,ji'guang'zhun'zhi
激光准直法,ji'guang'zhun'zhi'fa
几何定向,ji'he'ding'xiang
技术境界标定,ji'shu'jing'jie'biao'ding
既有线站场测量,ji'you'xian'zhan'chang'ce'liang
假定坐标系,jia'ding'zuo'biao'xi
建筑工程测量,jian'zhu'gong'cheng'ce'liang
建筑红线测量,jian'zhu'hong'xian'ce'liang
建筑物沉降观测,jian'zhu'wu'chen'jiang'guan'ce
建筑轴线测量,jian'zhu'zhou'xian'ce'liang
交叉点放样,jiao'cha'dian'fang'yang
校核基点,jiao'he'ji'dian
交会,jiao'hui
结点平差,jie'dian'ping'cha
解析图根点,jie'xi'tu'gen'dian
界址点,jie'zhi'dian
近似平差,jin'si'ping'cha
井底车场平面图,jing'di'che'chang'ping'mian'tu
净空区测量,jing'kong'qu'ce'liang
井口位置点,jing'kou'wei'zhi'dian
精密测距,jing'mi'ce'ju
精密垂准,jing'mi'chui'zhun
精密定向,jing'mi'ding'xiang
精密工程测量,jing'mi'gong'cheng'ce'liang
精密工程控制网,jing'mi'gong'cheng'kong'zhi'wang
精密机械安装测量,jing'mi'ji'xie'an'zhuang'ce'liang
精密准直,jing'mi'zhun'zhi
井上下对照图,jing'shang'xia'dui'zhao'tu
井探工程测量,jing'tan'gong'cheng'ce'liang
井田区域地形图,jing'tian'qu'yu'di'xing'tu
井筒十字中线标定,jing'tong'shi'zi'zhong'xian'biao'ding
井筒延伸测量,jing'tong'yan'shen'ce'liang
井筒中心标定,jing'tong'zhong'xin'biao'ding
经纬仪测绘法,jing'wei'yi'ce'hui'fa
经纬仪导线,jing'wei'yi'dao'xian
井下测量,jing'xia'ce'liang
井下高程测量,jing'xia'gao'cheng'ce'liang
井下交叉闭合导线,jing'xia'jiao'cha'bi'he'dao'xian
井下勘探测量,jing'xia'kan'tan'ce'liang
井下空硐测量,jing'xia'kong'dong'ce'liang
井下水平控制测量,jing'xia'shui'ping'kong'zhi'ce'liang
距离测量,ju'li'ce'liang
矩形分幅,ju'xing'fen'fu
竣工测量,jun'gong'ce'liang
军事工程变形观测,jun'shi'gong'cheng'bian'xing'guan'ce
军事工程测量,jun'shi'gong'cheng'ce'liang
军事基地测量,jun'shi'ji'di'ce'liang
军用大比例尺测图,jun'yong'da'bi'li'chi'ce'tu
军用道路测量,jun'yong'dao'lu'ce'liang
军用坑道测量,jun'yong'keng'dao'ce'liang
军用桥梁测量,jun'yong'qiao'liang'ce'liang
开采沉陷观测,kai'cai'chen'xian'guan'ce
开采沉陷图,kai'cai'chen'xian'tu
开采沉陷预计,kai'cai'chen'xian'yu'ji
勘测,kan'ce
勘测设计阶段测量,kan'ce'she'ji'jie'duan'ce'liang
勘探基线,kan'tan'ji'xian
勘探网测量,kan'tan'wang'ce'liang
勘探网测设,kan'tan'wang'ce'she
勘探线测量,kan'tan'xian'ce'liang
勘探线剖面图,kan'tan'xian'pou'mian'tu
垦复测量,ken'fu'ce'liang
坑道平面图,keng'dao'ping'mian'tu
坑探工程测量,keng'tan'gong'cheng'ce'liang
控制测量,kong'zhi'ce'liang
控制点,kong'zhi'dian
库容测量,ku'rong'ce'liang
矿层底板等高线图,kuang'ceng'di'ban'deng'gao'xian'tu
矿层顶板等高线图,kuang'ceng'ding'ban'deng'gao'xian'tu
矿层要素测定,kuang'ceng'yao'su'ce'ding
矿产图,kuang'chan'tu
矿产性质几何制图,kuang'chan'xing'zhi'ji'he'zhi'tu
矿场标定一,kuang'chang'biao'ding'yi
矿场平面图,kuang'chang'ping'mian'tu
矿床几何,kuang'chuang'ji'he
矿井测量,kuang'jing'ce'liang
矿井提升设备安装测量,kuang'jing'ti'sheng'she'bei'an'zhuang'ce'liang
矿区控制测量,kuang'qu'kong'zhi'ce'liang
矿区控制网精度估算,kuang'qu'kong'zhi'wang'jing'du'gu'suan
矿区控制网设计,kuang'qu'kong'zhi'wang'she'ji
矿山测量,kuang'shan'ce'liang
矿山测量交换图,kuang'shan'ce'liang'jiao'huan'tu
矿山测量图,kuang'shan'ce'liang'tu
矿山测量学,kuang'shan'ce'liang'xue
矿山地面测量,kuang'shan'di'mian'ce'liang
矿体几何制图,kuang'ti'ji'he'zhi'tu
莱曼法,lai'man'fa
立井定向测量,li'jing'ding'xiang'ce'liang
粒子加速器测量,li'zi'jia'su'qi'ce'liang
连接测量,lian'jie'ce'liang
联系测量,lian'xi'ce'liang
联系三角形法,lian'xi'san'jiao'xing'fa
联系四边形法,lian'xi'si'bian'xing'fa
林班测量,lin'ban'ce'liang
临时界桩,lin'shi'jie'zhuang
林相图,lin'xiang'tu
林业测量,lin'ye'ce'liang
林业基本图,lin'ye'ji'ben'tu
露天矿爆破工作测量,lu'tian'kuang'bao'po'gong'zuo'ce'liang
露天矿测量,lu'tian'kuang'ce'liang
露天矿矿图,lu'tian'kuang'kuang'tu
路线水准测量,lu'xian'shui'zhun'ce'liang
罗盘仪测量,luo'pan'yi'ce'liang
面水准测量,mian'shui'zhun'ce'liang
瞄直法,miao'zhi'fa
挠度观测,nao'du'guan'ce
逆转点法,ni'zhuan'dian'fa
排土场平面图,pai'tu'chang'ping'mian'tu
偏角法,pian'jiao'fa
平板仪测量,ping'ban'yi'ce'liang
平板仪导线,ping'ban'yi'dao'xian
平距,ping'ju
平面控制点,ping'mian'kong'zhi'dian
平面控制网,ping'mian'kong'zhi'wang
平面曲线测设,ping'mian'qu'xian'ce'she
平面坐标,ping'mian'zuo'biao
平整土地测量,ping'zheng'tu'di'ce'liang
坡度测设,po'du'ce'she
普通测量学,pu'tong'ce'liang'xue
普通凿井法施工测量,pu'tong'zao'jing'fa'shi'gong'ce'liang
起测基点,qi'ce'ji'dian
前方,qian'fang
前方交会,qian'fang'jiao'hui
桥墩定位,qiao'dun'ding'wei
桥涵洞测量,qiao'han'dong'ce'liang
桥梁测量,qiao'liang'ce'liang
桥梁控制测量,qiao'liang'kong'zhi'ce'liang
桥梁轴线测设,qiao'liang'zhou'xian'ce'she
切线支距法,qie'xian'zhi'ju'fa
倾斜观测,qing'xie'guan'ce
求积仪法,qiu'ji'yi'fa
渠道测量,qu'dao'ce'liang
区域地质测量,qu'yu'di'zhi'ce'liang
区域地质图,qu'yu'di'zhi'tu
任意轴子午线,ren'yi'zhou'zi'wu'xian
三边测量,san'bian'ce'liang
三边网,san'bian'wang
三维图,san'wei'tu
三维网一,san'wei'wang'yi
森林分布图,sen'lin'fen'bu'tu
生产矿井测量,sheng'chan'kuang'jing'ce'liang
视差导线,shi'cha'dao'xian
施工测量,shi'gong'ce'liang
施工方格网,shi'gong'fang'ge'wang
施工控制网,shi'gong'kong'zhi'wang
施工平面图,shi'gong'ping'mian'tu
施工详图,shi'gong'xiang'tu
视距导线,shi'ju'dao'xian
视线高程,shi'xian'gao'cheng
石油勘探测量,shi'you'kan'tan'ce'liang
市政工程测量,shi'zheng'gong'cheng'ce'liang
视准线法,shi'zhun'xian'fa
竖基尺视差法,shu'ji'chi'shi'cha'fa
竖井激光指向,shu'jing'ji'guang'zhi'xiang
竖曲线测设,shu'qu'xian'ce'she
输油管道测量,shu'you'guan'dao'ce'liang
数值地籍,shu'zhi'di'ji
水库测量,shui'ku'ce'liang
水库淹没线测设,shui'ku'yan'mo'xian'ce'she
水利工程测量,shui'li'gong'cheng'ce'liang
水难测量,shui'nan'ce'liang
水平角,shui'ping'jiao
水平控制网,shui'ping'kong'zhi'wang
水系图,shui'xi'tu
水准测量,shui'zhun'ce'liang
水准网,shui'zhun'wang
碎部测量,sui'bu'ce'liang
碎部点,sui'bu'dian
隧道测量,sui'dao'ce'liang
特殊凿井法施工测量,te'shu'zao'jing'fa'shi'gong'ce'liang
铁路工程测量,tie'lu'gong'cheng'ce'liang
通过立井导入高程测量,tong'guo'li'jing'dao'ru'gao'cheng'ce'liang
土地档案,tu'di'dang'an
土地登记,tu'di'deng'ji
土地规划测量,tu'di'gui'hua'ce'liang
土地划分,tu'di'hua'fen
土地利用,tu'di'li'yong
土地利用现状图,tu'di'li'yong'xian'zhuang'tu
土地评价,tu'di'ping'jia
土地统计,tu'di'tong'ji
土地证,tu'di'zheng
土地整理,tu'di'zheng'li
图根点,tu'gen'dian
图根控制,tu'gen'kong'zhi
图解法,tu'jie'fa
图解图根点,tu'jie'tu'gen'dian
陀螺定向测量,tuo'luo'ding'xiang'ce'liang
陀螺定向光电测距导线,tuo'luo'ding'xiang'guang'dian'ce'ju'dao'xian
陀螺定向误差,tuo'luo'ding'xiang'wu'cha
陀螺方位角排,tuo'luo'fang'wei'jiao'pai
陀螺仪子午线,tuo'luo'yi'zi'wu'xian
网点板法,wang'dian'ban'fa
微三角形法,wei'san'jiao'xing'fa
位移观测,wei'yi'guan'ce
位置平面图,wei'zhi'ping'mian'tu
稳定锤投影,wen'ding'chui'tou'ying
物理定向,wu'li'ding'xiang
线路平面图,xian'lu'ping'mian'tu
线路中线测量,xian'lu'zhong'xian'ce'liang
弦线偏距法,xian'xian'pian'ju'fa
弦线支距法,xian'xian'zhi'ju'fa
线形锁,xian'xing'suo
线形网,xian'xing'wang
乡村规划测量,xiang'cun'gui'hua'ce'liang
像片地质解译,xiang'pian'di'zhi'jie'yi
像片地质判读,xiang'pian'di'zhi'pan'du
小比例尺地形图,xiao'bi'li'chi'di'xing'tu
小角度法,xiao'jiao'du'fa
小三角测量,xiao'san'jiao'ce'liang
斜距,xie'ju
选厂测量,xuan'chang'ce'liang
悬挂带零位观测,xuan'gua'dai'ling'wei'guan'ce
严密平差,yan'mi'ping'cha
延伸三角形,yan'shen'san'jiao'xing
野外地质图,ye'wai'di'zhi'tu
移动角,yi'dong'jiao
一级测设,yi'ji'ce'she
引张线法,yin'zhang'xian'fa
营房建筑测量,ying'fang'jian'zhu'ce'liang
影象地质图,ying'xiang'di'zhi'tu
永久界柱,yong'jiu'jie'zhu
圆曲线测设,yuan'qu'xian'ce'she
增量,zeng'liang
照难点归心,zhao'nan'dian'gui'xin
照准点,zhao'zhun'dian
真子午线,zhen'zi'wu'xian
正锤法,zheng'chui'fa
正锤线观测,zheng'chui'xian'guan'ce
正方形分幅,zheng'fang'xing'fen'fu
征税地籍,zheng'shui'di'ji
支导线,zhi'dao'xian
直角计算,zhi'jiao'ji'suan
直角坐标网,zhi'jiao'zuo'biao'wang
直伸三角形,zhi'shen'san'jiao'xing
支水准路线,zhi'shui'zhun'lu'xian
中桩水准测量,zhong'zhuang'shui'zhun'ce'liang
中桩位置,zhong'zhuang'wei'zhi
主要巷道,zhu'yao'hang'dao
主要巷道平面图,zhu'yao'hang'dao'ping'mian'tu
主轴线,zhu'zhou'xian
主轴线测设,zhu'zhou'xian'ce'she
自然边界,zi'ran'bian'jie
自然边界测量,zi'ran'bian'jie'ce'liang
纵断面,zong'duan'mian
纵断面测量,zong'duan'mian'ce'liang
纵断面计算,zong'duan'mian'ji'suan
纵断面水准测量,zong'duan'mian'shui'zhun'ce'liang
纵断面图,zong'duan'mian'tu
钻井法,zuan'jing'fa
钻井法施工测量,zuan'jing'fa'shi'gong'ce'liang
钻孔位置,zuan'kong'wei'zhi
钻孔位置测量,zuan'kong'wei'zhi'ce'liang
坐标,zuo'biao
坐标地籍,zuo'biao'di'ji
坐标网,zuo'biao'wang
坐标增量,zuo'biao'zeng'liang
坐标增量闭合差,zuo'biao'zeng'liang'bi'he'cha
