安装工程一切险,an'zhuang'gong'cheng'yi'qie'xian
绝对责任,jue'dui'ze'ren
均方差,jun'fang'cha
均衡纯保费,jun'heng'chun'bao'fei
宽限期,kuan'xian'qi
劳工保险和雇主责任保险,lao'gong'bao'xian'he'gu'zhu'ze'ren'bao'xian
劳合社,lao'he'she
理赔,li'pei
利润损失险,li'run'sun'shi'xian
联合人寿保险,lian'he'ren'shou'bao'xian
临时再保险,lin'shi'zai'bao'xian
内在缺陷,nei'zai'que'xian
年金保险,nian'jin'bao'xian
批单,pi'dan
平安险,ping'an'xian
平均余命,ping'jun'yu'ming
弃权与禁止反言,qi'quan'yu'jin'zhi'fan'yan
企业财产保险,qi'ye'cai'chan'bao'xian
确实保证保险,que'shi'bao'zheng'bao'xian
人身保险,ren'shen'bao'xian
人身意外伤害保险,ren'shen'yi'wai'shang'hai'bao'xian
人寿保险,ren'shou'bao'xian
人寿保险精算师,ren'shou'bao'xian'jing'suan'shi
人寿保险责任准备金,ren'shou'bao'xian'ze'ren'zhun'bei'jin
生命表,sheng'ming'biao
生死两全保险,sheng'si'liang'quan'bao'xian
适航,shi'hang
实际全损,shi'ji'quan'sun
施救费用,shi'jiu'fei'yong
受益人,shou'yi'ren
双重价值条款,shuang'chong'jia'zhi'tiao'kuan
水渍险,shui'zi'xian
损失率,sun'shi'lv
索赔,suo'pei
特别费用,te'bie'fei'yong
投保单,tou'bao'dan
投保人,tou'bao'ren
途耗,tu'hao
团体人身保险,tuan'ti'ren'shen'bao'xian
团体人身意外伤害保险,tuan'ti'ren'shen'yi'wai'shang'hai'bao'xian
退保,tui'bao
推定全损,tui'ding'quan'sun
退休年金保险,tui'xiu'nian'jin'bao'xian
未到期责任准备金,wei'dao'qi'ze'ren'zhun'bei'jin
委付,wei'fu
未决赔款准备金,wei'jue'pei'kuan'zhun'bei'jin
危险,wei'xian
危险单位,wei'xian'dan'wei
危险管理,wei'xian'guan'li
危险事故,wei'xian'shi'gu
危险因素,wei'xian'yin'su
无效果无报酬,wu'xiao'guo'wu'bao'chou
现金价值,xian'jin'jia'zhi
现金赔款,xian'jin'pei'kuan
信用人寿保险,xin'yong'ren'shou'bao'xian
养殖业保险,yang'zhi'ye'bao'xian
溢额再保险,yi'e'zai'bao'xian
一切险,yi'qie'xian
预约再保险,yu'yue'zai'bao'xian
运费保险,yun'fei'bao'xian
再保险,zai'bao'xian
暂保单,zan'bao'dan
责任保险,ze'ren'bao'xian
增值条款,zeng'zhi'tiao'kuan
职业责任保险,zhi'ye'ze'ren'bao'xian
忠诚保证保险,zhong'cheng'bao'zheng'bao'xian
中国保险监督管理委员会,zhong'guo'bao'xian'jian'du'guan'li'wei'yuan'hui
终身寿险,zhong'shen'shou'xian
中小学团体平安保险,zhong'xiao'xue'tuan'ti'ping'an'bao'xian
种植业保险,zhong'zhi'ye'bao'xian
转分保,zhuan'fen'bao
自动垫交保险费贷款,zi'dong'dian'jiao'bao'xian'fei'dai'kuan
自留额,zi'liu'e
姊妹船条款,zi'mei'chuan'tiao'kuan
子女教育保险,zi'nv'jiao'yu'bao'xian
自然纯保费,zi'ran'chun'bao'fei
自杀条款,zi'sha'tiao'kuan
最大诚信,zui'da'cheng'xin
