埃殆为病,ai'dai'wei'bing
彼近吾死而我不听,bi'jin'wu'si'er'wo'bu'ting
必静必清,bi'jing'bi'qing
敝精神乎蹇浅,bi'jing'shen'hu'jian'qian
彼来则我与之来,bi'lai'ze'wo'yu'zhi'lai
彼民有常性,bi'min'you'chang'xing
必能教其弟,bi'neng'jiao'qi'di
必能诏其子,bi'neng'zhao'qi'zi
彼其充实,bi'qi'chong'shi
彼其道幽远而无人,bi'qi'dao'you'yuan'er'wu'ren
彼其道远而险,bi'qi'dao'yuan'er'xian
彼其乎归居,bi'qi'hu'gui'ju
彼其所殉,bi'qi'suo'xun
彼其所以会之,bi'qi'suo'yi'hui'zhi
彼其外与,bi'qi'wai'yu
彼其物无测而人皆以为有极,bi'qi'wu'wu'ce'er'ren'jie'yi'wei'you'ji
彼其物无穷而人皆以为有终,bi'qi'wu'wu'qiong'er'ren'jie'yi'wei'you'zhong
必其行,bi'qi'xing
必齐以静心,bi'qi'yi'jing'xin
彼其于世,bi'qi'yu'shi
彼其真是也,bi'qi'zhen'shi'ye
彼强阳则我与之强阳,bi'qiang'yang'ze'wo'yu'zhi'qiang'yang
彼且乘人而无天,bi'qie'cheng'ren'er'wu'tian
彼且恶乎待哉,bi'qie'e'hu'dai'zai
彼窃钩者诛,bi'qie'gou'zhe'zhu
彼且何肯以物为事乎,bi'qie'he'ken'yi'wu'wei'shi'hu
彼且蕲以皎诡幻怪之名闻,bi'qie'qi'yi'jiao'gui'huan'guai'zhi'ming'wen
必且数眯焉,bi'qie'shu'mi'yan
彼且为无町畦,bi'qie'wei'wu'ding'qi
彼且为无崖,bi'qie'wei'wu'ya
彼且为婴儿,bi'qie'wei'ying'er
彼且奚适也,bi'qie'xi'shi'ye
彼且以丘为佞人也,bi'qie'yi'qiu'wei'ning'ren'ye
必且有感,bi'qie'you'gan
彼且择日而登假,bi'qie'ze'ri'er'deng'jia
必取其绪,bi'qu'qi'xu
彼人含其明,bi'ren'han'qi'ming
彼仁人何其多忧也,bi'ren'ren'he'qi'duo'you'ye
必入而叹,bi'ru'er'tan
闭汝外,bi'ru'wai
彼审乎禁过,bi'shen'hu'jin'guo
彼圣人者,bi'sheng'ren'zhe
必生于尧舜之间,bi'sheng'yu'yao'shun'zhi'jian
必盛卒徒而后敢出焉,bi'sheng'zu'tu'er'hou'gan'chu'yan
彼是方生之说也,bi'shi'fang'sheng'zhi'shuo'ye
彼是莫得其偶,bi'shi'mo'de'qi'ou
彼视三釜三千钟,bi'shi'san'fu'san'qian'zhong
彼视渊若陵,bi'shi'yuan'ruo'ling
避世之人,bi'shi'zhi'ren
必授之职,bi'shou'zhi'zhi
必死于暴人之前矣,bi'si'yu'bao'ren'zhi'qian'yi
彼所小言,bi'suo'xiao'yan
彼特以天为父,bi'te'yi'tian'wei'fu
彼往则我与之往,bi'wang'ze'wo'yu'zhi'wang
彼为本末非本末,bi'wei'ben'mo'fei'ben'mo
彼为己,bi'wei'ji
彼为积散非积散也,bi'wei'ji'san'fei'ji'san'ye
彼唯人言之恶闻,bi'wei'ren'yan'zhi'e'wen
彼为衰杀非衰杀,bi'wei'shuai'sha'fei'shuai'sha
彼为盈虚非盈虚,bi'wei'ying'xu'fei'ying'xu
彼未知夫无方之传,bi'wei'zhi'fu'wu'fang'zhi'chuan
必我为贪也,bi'wo'wei'tan'ye
彼无故以合者,bi'wu'gu'yi'he'zhe
彼无为谓真是也,bi'wu'wei'wei'zhen'shi'ye
彼兀者也,bi'wu'zhe'ye
避席反走,bi'xi'fan'zou
比牺尊于沟中之断,bi'xi'zun'yu'gou'zhong'zhi'duan
必信,bi'xin
彼已尽矣,bi'yi'jin'yi
彼以利合,bi'yi'li'he
彼宜女与予颐与,bi'yi'nv'yu'yu'yi'yu
彼以生为附赘悬疣,bi'yi'sheng'wei'fu'zhui'xuan'you
必以我为贼也,bi'yi'wo'wei'zei'ye
彼亦一是非,bi'yi'yi'shi'fei
彼亦直寄焉,bi'yi'zhi'ji'yan
必有不蕲言而言,bi'you'bu'qi'yan'er'yan
彼又恶能愦愦然为世俗之礼,bi'you'e'neng'kui'kui'ran'wei'shi'su'zhi'li
彼又恶能无惊乎哉,bi'you'e'neng'wu'jing'hu'zai
彼游方之外者也,bi'you'fang'zhi'wai'zhe'ye
必由其名,bi'you'qi'ming
必有人道之患,bi'you'ren'dao'zhi'huan
必有真宰,bi'you'zhen'zai
必有重赏大功而后得见,bi'you'zhong'shang'da'gong'er'hou'de'jian
彼与彼不知也,bi'yu'bi'bu'zhi'ye
比于大泽,bi'yu'da'ze
彼于致福,bi'yu'zhi'fu
必与之莫多,bi'yu'zhi'mo'duo
必在九重之渊而骊龙颔下,bi'zai'jiu'chong'zhi'yuan'er'li'long'han'xia
必遭其睡也,bi'zao'qi'shui'ye
彼正而蒙己德,bi'zheng'er'meng'ji'de
彼正正者,bi'zheng'zheng'zhe
彼知颦美,bi'zhi'pin'mei
彼知丘之著于己也,bi'zhi'qiu'zhi'zhu'yu'ji'ye
彼至人者,bi'zhi'ren'zhe
彼之谓不道之道,bi'zhi'wei'bu'dao'zhi'dao
彼直以循斯须也,bi'zhi'yi'xun'si'xu'ye
彼至则不论,bi'zhi'ze'bu'lun
比周而友,bi'zhou'er'you
必自苦以腓无跋,bi'zi'ku'yi'fei'wu'ba
毕足而止,bi'zu'er'zhi
辩不能举也,bian'bu'neng'ju'ye
辩不若默,bian'bu'ruo'mo
变而有气,bian'er'you'qi
变更易常,bian'geng'yi'chang
变固外战,bian'gu'wai'zhan
辨乎荣辱之境,bian'hu'rong'ru'zhi'jing
编虎须,bian'hu'xu
变化齐一,bian'hua'qi'yi
变化无常,bian'hua'wu'chang
变化之流也,bian'hua'zhi'liu'ye
蝙狙以为雌,bian'ju'yi'wei'ci
辩其所不能辩也,bian'qi'suo'bu'neng'bian'ye
扁然而无为,bian'ran'er'wu'wei
辩士无谈说之序则不乐,bian'shi'wu'tan'shuo'zhi'xu'ze'bu'le
卞随辞曰,bian'sui'ci'yue
辩虽凋万物,bian'sui'diao'wan'wu
卞随曰,bian'sui'yue
遍为万物说,bian'wei'wan'wu'shuo
辩也者,bian'ye'zhe
辩者,bian'zhe
辩者以此与惠施相应,bian'zhe'yi'ci'yu'hui'shi'xiang'ying
辩者有言曰,bian'zhe'you'yan'yue
辩者之囿也,bian'zhe'zhi'you'ye
辩之不必慧,bian'zhi'bu'bi'hui
编之以皂栈,bian'zhi'yi'zao'zhan
扁子曰,bian'zi'yue
辩足以饰非,bian'zu'yi'shi'fei
蹩蹑为仁,bie'nie'wei'ren
宾礼乐,bin'li'yue
鬓眉交白,bin'mei'jiao'bai
宾于乡里,bin'yu'xiang'li
宾者以告列子,bin'zhe'yi'gao'lie'zi
邴邴乎其似喜乎,bing'bing'hu'qi'si'xi'hu
并斗斛权衡符玺之利者,bing'dou'hu'quan'heng'fu'xi'zhi'li'zhe
病而求医,bing'er'qiu'yi
兵革之士乐战,bing'ge'zhi'shi'le'zhan
并溃漏发,bing'kui'lou'fa
兵莫谮于志,bing'mo'zen'yu'zhi
秉人之知谋以为明察,bing'ren'zhi'zhi'mou'yi'wei'ming'cha
兵恃之则亡,bing'shi'zhi'ze'wang
病也,bing'ye
并与其圣知之法,bing'yu'qi'sheng'zhi'zhi'fa
并与其圣知之法而盗之,bing'yu'qi'sheng'zhi'zhi'fa'er'dao'zhi
病者能言其病,bing'zhe'neng'yan'qi'bing
病者犹未病也,bing'zhe'you'wei'bing'ye
伯常骞曰,bo'chang'qian'yue
伯成子高辞为诸侯而耕,bo'cheng'zi'gao'ci'wei'zhu'hou'er'geng
伯成子高立为诸侯,bo'cheng'zi'gao'li'wei'zhu'hou
伯皇氏,bo'huang'shi
伯昏瞀人北面而立,bo'hun'mao'ren'bei'mian'er'li
伯昏瞀人曰,bo'hun'mao'ren'yue
伯昏无人曰,bo'hun'wu'ren'yue
伯乐之罪也,bo'le'zhi'zui'ye
博溺心,bo'ni'xin
勃然动,bo'ran'dong
伯夷,bo'yi
伯夷辞之以为多,bo'yi'ci'zhi'yi'wei'duo
伯夷叔齐,bo'yi'shu'qi
伯夷叔齐辞孤竹之君,bo'yi'shu'qi'ci'gu'zhu'zhi'jun
伯夷死名于首阳之下,bo'yi'si'ming'yu'shou'yang'zhi'xia
薄于义而不积,bo'yu'yi'er'bu'ji
剥则辱,bo'ze'ru
搏之而不得也,bo'zhi'er'bu'de'ye
勃志也,bo'zhi'ye
不哀夭,bu'ai'yao
不爱则不孝,bu'ai'ze'bu'xiao
不安其所安,bu'an'qi'suo'an
不安其所不安,bu'an'qi'suo'bu'an
不报其人而报其人之天,bu'bao'qi'ren'er'bao'qi'ren'zhi'tian
不比而周,bu'bi'er'zhou
不比则不利也,bu'bi'ze'bu'li'ye
不比之又,bu'bi'zhi'you
不辩牛马,bu'bian'niu'ma
不不免也,bu'bu'mian'ye
不藏是非美恶,bu'cang'shi'fei'mei'e
不成者为尾,bu'cheng'zhe'wei'wei
不翅于父母,bu'chi'yu'fu'mu
不侈于后世,bu'chi'yu'hou'shi
不丑穷,bu'chou'qiong
不出乎害人,bu'chu'hu'hai'ren
不穿耳,bu'chuan'er
不纯于德,bu'chun'yu'de
不贷,bu'dai
不当时命而大穷乎天下,bu'dang'shi'ming'er'da'qiong'hu'tian'xia
不导引而寿,bu'dao'yin'er'shou
不道于天下者,bu'dao'yu'tian'xia'zhe
不道之道,bu'dao'zhi'dao
不得复使,bu'de'fu'shi
不得类焉尔,bu'de'lei'yan'er
不得其真,bu'de'qi'zhen
不得已而后起,bu'de'yi'er'hou'qi
不得已于事也,bu'de'yi'yu'shi'ye
不得已之类,bu'de'yi'zhi'lei
不得则惑,bu'de'ze'huo
不断,bu'duan
不多辞让,bu'duo'ci'rang
不多辟异,bu'duo'pi'yi
不多仁恩,bu'duo'ren'en
不多食乎力,bu'duo'shi'hu'li
不罚而民畏,bu'fa'er'min'wei
不废穷民,bu'fei'qiong'min
不冯其子,bu'feng'qi'zi
不敢怀非誉巧拙,bu'gan'huai'fei'yu'qiao'zhuo
不敢去之,bu'gan'qu'zhi
不敢食一脔,bu'gan'shi'yi'luan
不敢以全物与之,bu'gan'yi'quan'wu'yu'zhi
不敢以生物与之,bu'gan'yi'sheng'wu'yu'zhi
不敢饮食,bu'gan'yin'shi
不敢饮一杯,bu'gan'yin'yi'bei
不敢用也,bu'gan'yong'ye
不告则不知其爱人也,bu'gao'ze'bu'zhi'qi'ai'ren'ye
不告则不知其美于人也,bu'gao'ze'bu'zhi'qi'mei'yu'ren'ye
不耕而食,bu'geng'er'shi
不苟于人,bu'gou'yu'ren
不顾父母兄弟,bu'gu'fu'mu'xiong'di
不顾于虑,bu'gu'yu'lv
不过此矣,bu'guo'ci'yi
不过满腹,bu'guo'man'fu
不过数金,bu'guo'shu'jin
不过数仞而下,bu'guo'shu'ren'er'xia
不过一枝,bu'guo'yi'zhi
不忽于人,bu'hu'yu'ren
布挥而不曳,bu'hui'er'bu'ye
不晖于数度,bu'hui'yu'shu'du
不货,bu'huo
不吉,bu'ji
不祭先祖,bu'ji'xian'zu
不及孝之言也,bu'ji'xiao'zhi'yan'ye
不及有虞氏乎,bu'ji'you'yu'shi'hu
不际之际,bu'ji'zhi'ji
不见观,bu'jian'guan
不见己焉尔,bu'jian'ji'yan'er
不贱门隶,bu'jian'men'li
不贱佞谄,bu'jian'ning'chan
不见其诚己而发,bu'jian'qi'cheng'ji'er'fa
不践其土,bu'jian'qi'tu
不见水端,bu'jian'shui'duan
不贱贪污,bu'jian'tan'wu
不监于道,bu'jian'yu'dao
不监于体,bu'jian'yu'ti
不监于心,bu'jian'yu'xin
不将不迎,bu'jiang'bu'ying
不近富贵,bu'jin'fu'gui
不近人情焉,bu'jin'ren'qing'yan
不矜于同而矜于治,bu'jin'yu'tong'er'jin'yu'zhi
不精不诚,bu'jing'bu'cheng
不就利,bu'jiu'li
不拘一世之利以为己私分,bu'ju'yi'shi'zhi'li'yi'wei'ji'si'fen
不拘于俗,bu'ju'yu'su
不惧之实,bu'ju'zhi'shi
不开人之天,bu'kai'ren'zhi'tian
不考不鸣,bu'kao'bu'ming
不可,bu'ke
不可不察也,bu'ke'bu'cha'ye
不可耻乎,bu'ke'chi'hu
不可得也,bu'ke'de'ye
不可多取,bu'ke'duo'qu
不可乎不可,bu'ke'hu'bu'ke
不可解于心,bu'ke'jie'yu'xin
不可亏也,bu'ke'kui'ye
不可内于灵台,bu'ke'nei'yu'ling'tai
不可入于灵府,bu'ke'ru'yu'ling'fu
不可使复之也,bu'ke'shi'fu'zhi'ye
不可听也,bu'ke'ting'ye
不可为量数,bu'ke'wei'liang'shu
不可为象,bu'ke'wei'xiang
不可围者,bu'ke'wei'zhe
不可以加矣,bu'ke'yi'jia'yi
不可一日不为乎,bu'ke'yi'ri'bu'wei'hu
不可以适河,bu'ke'yi'shi'he
不可以物物,bu'ke'yi'wu'wu
不可以言传也,bu'ke'yi'yan'chuan'ye
不可以已,bu'ke'yi'yi
不可以有崖,bu'ke'yi'you'ya
不可于不可,bu'ke'yu'bu'ke
不可与往者,bu'ke'yu'wang'zhe
不可与庄语,bu'ke'yu'zhuang'yu
不可止也,bu'ke'zhi'ye
不可知者也,bu'ke'zhi'zhe'ye
不哭亦足矣,bu'ku'yi'zu'yi
不乐寿,bu'le'shou
不累于俗,bu'lei'yu'su
不离苞苴竿牍,bu'li'bao'ju'gan'du
不离不劳,bu'li'bu'lao
不利货财,bu'li'huo'cai
不离于精,bu'li'yu'jing
不离于真,bu'li'yu'zhen
不离于宗,bu'li'yu'zong
不论所以矣,bu'lun'suo'yi'yi
不虑而对,bu'lv'er'dui
不靡于万物,bu'mi'yu'wan'wu
不明于道者,bu'ming'yu'dao'zhe
不谋士,bu'mou'shi
不谋于知,bu'mou'yu'zhi
不乃为大盗积者也,bu'nai'wei'da'dao'ji'zhe'ye
不内变,bu'nei'bian
不能避刳肠之患,bu'neng'bi'ku'chang'zhi'huan
不能出气,bu'neng'chu'qi
不能动人,bu'neng'dong'ren
不能法天而恤于人,bu'neng'fa'tian'er'xu'yu'ren
不能服人之心,bu'neng'fu'ren'zhi'xin
不能过也,bu'neng'guo'ye
不能让禄,bu'neng'rang'lu
不能让名,bu'neng'rang'ming
不能容人者无亲,bu'neng'rong'ren'zhe'wu'qin
不能如此,bu'neng'ru'ci
不能说其志意养其寿命者,bu'neng'shuo'qi'zhi'yi'yang'qi'shou'ming'zhe
不能无为也,bu'neng'wu'wei'ye
不能下人,bu'neng'xia'ren
不能相通,bu'neng'xiang'tong
不能以言读其所自化,bu'neng'yi'yan'du'qi'suo'zi'hua
不能与人柄,bu'neng'yu'ren'bing
不能自胜而强不从者,bu'neng'zi'sheng'er'qiang'bu'cong'zhe
不能自胜则从,bu'neng'zi'sheng'ze'cong
不逆寡,bu'ni'gua
不念本养寿命也,bu'nian'ben'yang'shou'ming'ye
不辟高下,bu'pi'gao'xia
不蕲畜乎樊中,bu'qi'chu'hu'fan'zhong
不期精粗焉,bu'qi'jing'cu'yan
不蕲哭而哭者,bu'qi'ku'er'ku'zhe
不歧于众,bu'qi'yu'zhong
不迁其德,bu'qian'qi'de
不谴是非,bu'qian'shi'fei
不求其所终,bu'qiu'qi'suo'zhong
不求文以待形,bu'qiu'wen'yi'dai'xing
不然,bu'ran
不然于不然,bu'ran'yu'bu'ran
不然则已,bu'ran'ze'yi
不仁也,bu'ren'ye
不任则不利,bu'ren'ze'bu'li
不仁则害人,bu'ren'ze'hai'ren
步仞之丘陵,bu'ren'zhi'qiu'ling
不仁之人,bu'ren'zhi'ren
不仁之于人也,bu'ren'zhi'yu'ren'ye
不容身于天下,bu'rong'shen'yu'tian'xia
不荣通,bu'rong'tong
不如避之,bu'ru'bi'zhi
不茹荤者数月矣,bu'ru'hun'zhe'shu'yue'yi
不如两忘而化其道,bu'ru'liang'wang'er'hua'qi'dao
不如食以糠糟而错之牢荚之中,bu'ru'shi'yi'kang'zao'er'cuo'zhi'lao'jia'zhi'zhong
不如相忘于江湖,bu'ru'xiang'wang'yu'jiang'hu
不入则止,bu'ru'ze'zhi
不若非其父者也,bu'ruo'fei'qi'fu'zhe'ye
不若其所不知,bu'ruo'qi'suo'bu'zhi
不若人,bu'ruo'ren
不若审之,bu'ruo'shen'zhi
不若是而已,bu'ruo'shi'er'yi
不若未生之时,bu'ruo'wei'sheng'zhi'shi
不若相忘于江湖,bu'ruo'xiang'wang'yu'jiang'hu
不若休之,bu'ruo'xiu'zhi
不若以非马喻马之非马也,bu'ruo'yi'fei'ma'yu'ma'zhi'fei'ma'ye
不若以非指喻指之非指也,bu'ruo'yi'fei'zhi'yu'zhi'zhi'fei'zhi'ye
不若刖之则易,bu'ruo'yue'zhi'ze'yi
不善也,bu'shan'ye
不上不下,bu'shang'bu'xia
不赏而民劝,bu'shang'er'min'quan
不伤物者,bu'shang'wu'zhe
不尚贤,bu'shang'xian
不识今之言者,bu'shi'jin'zhi'yan'zhe
不使能,bu'shi'neng
不恃其成,bu'shi'qi'cheng
不失其性命之情,bu'shi'qi'xing'ming'zhi'qing
不食五谷,bu'shi'wu'gu
不事于世,bu'shi'yu'shi
不饰于物,bu'shi'yu'wu
不师知虑,bu'shi'zhi'lv
不受其禄,bu'shou'qi'lu
不受于外,bu'shou'yu'wai
捕鼠不如狸猩,bu'shu'bu'ru'li'xing
不顺天子,bu'shun'tian'zi
不顺于理,bu'shun'yu'li
不似睇米之在大仓乎,bu'si'di'mi'zhi'zai'da'cang'hu
不似尔向之自多于水乎,bu'si'er'xiang'zhi'zi'duo'yu'shui'hu
不似豪末之在于马体乎,bu'si'hao'mo'zhi'zai'yu'ma'ti'hu
不似垒空之在大泽乎,bu'si'lei'kong'zhi'zai'da'ze'hu
不思虑,bu'si'lv
不随其所废,bu'sui'qi'suo'fei
不泰多事乎,bu'tai'duo'shi'hu
不听国君之政,bu'ting'guo'jun'zhi'zheng
不同其事,bu'tong'qi'shi
不同同之之谓大,bu'tong'tong'zhi'zhi'wei'da
不通于道者,bu'tong'yu'dao'zhe
不同于己,bu'tong'yu'ji
不推,bu'tui
不外从,bu'wai'cong
不忘其所始,bu'wang'qi'suo'shi
不忘天下,bu'wang'tian'xia
不亡以待尽,bu'wang'yi'dai'jin
不为爱人,bu'wei'ai'ren
不为福先,bu'wei'fu'xian
不为功名,bu'wei'gong'ming
不违害,bu'wei'hai
不位乎其形,bu'wei'hu'qi'xing
不为祸始,bu'wei'huo'shi
不违其度,bu'wei'qi'du
不为穷约趋俗,bu'wei'qiong'yue'qu'su
不为社者,bu'wei'she'zhe
不闻弩声而后敢乘,bu'wen'nu'sheng'er'hou'gan'cheng
不闻治天下也,bu'wen'zhi'tian'xia'ye
不务生之所外以为,bu'wu'sheng'zhi'suo'wai'yi'wei
不物于易者也,bu'wu'yu'yi'zhe'ye
不务知之所无奈何,bu'wu'zhi'zhi'suo'wu'nai'he
不喜求,bu'xi'qiu
不相与为怪,bu'xiang'yu'wei'guai
不相与为谋,bu'xiang'yu'wei'mou
不相与为事,bu'xiang'yu'wei'shi
不肖人得矣,bu'xiao'ren'de'yi
不肖则欺,bu'xiao'ze'qi
不信则不任,bu'xin'ze'bu'ren
不幸不见天地之纯,bu'xing'bu'jian'tian'di'zhi'chun
不幸遇饿虎,bu'xing'yu'e'hu
不形之形,bu'xing'zhi'xing
不雄成,bu'xiong'cheng
不修而物不能离焉,bu'xiu'er'wu'bu'neng'li'yan
不徐不疾,bu'xu'bu'ji
不选其具矣,bu'xuan'qi'ju'yi
不削于人,bu'xue'yu'ren
不言而出,bu'yan'er'chu
不厌其天,bu'yan'qi'tian
不厌深眇而已矣,bu'yan'shen'miao'er'yi'yi
不言则齐,bu'yan'ze'qi
不夭斤斧,bu'yao'jin'fu
不异,bu'yi
不亦悲乎,bu'yi'bei'hu
不以辩饰知,bu'yi'bian'shi'zhi
不亦大乎,bu'yi'da'hu
不以多少进退者,bu'yi'duo'shao'jin'tui'zhe
不亦拂乎,bu'yi'fu'hu
