柏忌,bai'ji
湖泊球场,hu'po'qiu'chang
互锁式握杆法,hu'suo'shi'wo'gan'fa
壶状沙坑,hu'zhuang'sha'keng
皇家与古典,huang'jia'yu'gu'dian
汇丰冠军赛,hui'feng'guan'jun'sai
挥杆,hui'gan
挥杆顶点,hui'gan'ding'dian
挥杆平面,hui'gan'ping'mian
回合,hui'he
会所,hui'suo
混合四人组,hun'he'si'ren'zu
混合铁木杆,hun'he'tie'mu'gan
霍士凯球,huo'shi'kai'qiu
鸡翅膀,ji'chi'bang
积分,ji'fen
计分卡,ji'fen'ka
积分赛,ji'fen'sai
击球,ji'qiu
击球的准备,ji'qiu'de'zhun'bei
击球杆,ji'qiu'gan
击球角度,ji'qiu'jiao'du
击球上果岭,ji'qiu'shang'guo'ling
击球瞬间,ji'qiu'shun'jian
击球准备,ji'qiu'zhun'bei
击球准确度,ji'qiu'zhun'que'du
积水处,ji'shui'chu
加赛,jia'sai
奖品,jiang'pin
界外球,jie'wai'qiu
近距离距切球,jin'ju'li'ju'qie'qiu
净杆,jing'gan
净杆冠军,jing'gan'guan'jun
净杆前三名,jing'gan'qian'san'ming
净杆亚军,jing'gan'ya'jun
惊恐山锦标赛,jing'kong'shan'jin'biao'sai
开放球杆面,kai'fang'qiu'gan'mian
开放式,kai'fang'shi
开放式站姿,kai'fang'shi'zhan'zi
开球,kai'qiu
开球杆,kai'qiu'gan
开球球座,kai'qiu'qiu'zuo
开球位置,kai'qiu'wei'zhi
可移动障碍物,ke'yi'dong'zhang'ai'wu
库克草,ku'ke'cao
昆明春城,kun'ming'chun'cheng
困难球,kun'nan'qiu
拉球,la'qiu
拉式右曲球,la'shi'you'qu'qiu
拉式左曲球,la'shi'zuo'qu'qiu
老鹰,lao'ying
老鹰球,lao'ying'qiu
林间球场,lin'jian'qiu'chang
林克司球场,lin'ke'si'qiu'chang
乱草区,luan'cao'qu
落球,luo'qiu
落球点,luo'qiu'dian
落球区,luo'qiu'qu
落球位置,luo'qiu'wei'zhi
码距,ma'ju
码数,ma'shu
美国高尔夫锦标赛,mei'guo'gao'er'fu'jin'biao'sai
美国高尔夫协会,mei'guo'gao'er'fu'xie'hui
美国公开赛,mei'guo'gong'kai'sai
美国名人赛,mei'guo'ming'ren'sai
美国职业高尔夫协会,mei'guo'zhi'ye'gao'er'fu'xie'hui
美巡赛,mei'xun'sai
木杆,mu'gan
逆风,ni'feng
女子职业高尔夫协会,nv'zi'zhi'ye'gao'er'fu'xie'hui
欧巡赛,ou'xun'sai
欧洲锦标赛,ou'zhou'jin'biao'sai
抛球,pao'qiu
劈起杆,pi'qi'gan
劈起滚地球,pi'qi'gun'di'qiu
劈起球,pi'qi'qiu
平标准杆,ping'biao'zhun'gan
平打,ping'da
平手,ping'shou
葡萄牙公开赛,pu'tao'ya'gong'kai'sai
起杆,qi'gan
旗杆,qi'gan
旗杆位,qi'gan'wei
前挥,qian'hui
签记分卡,qian'ji'fen'ka
前九洞,qian'jiu'dong
签名,qian'ming
强式握杆,qiang'shi'wo'gan
切杆,qie'gan
切滚球,qie'gun'qiu
切击球,qie'ji'qiu
切球,qie'qiu
球包,qiu'bao
球车,qiu'che
球车道,qiu'che'dao
球车费,qiu'che'fei
球袋,qiu'dai
球道,qiu'dao
球道长度,qiu'dao'chang'du
球道地形,qiu'dao'di'xing
球道地形高度,qiu'dao'di'xing'gao'du
球道距离,qiu'dao'ju'li
球道宽度,qiu'dao'kuan'du
球道木杆,qiu'dao'mu'gan
球道难度,qiu'dao'nan'du
球道沙坑,qiu'dao'sha'keng
球道总长,qiu'dao'zong'chang
球洞,qiu'dong
球杆,qiu'gan
球杆握把,qiu'gan'wo'ba
球具,qiu'ju
球具专卖店,qiu'ju'zhuan'mai'dian
丘陵球场,qiu'ling'qiu'chang
球童,qiu'tong
球童费,qiu'tong'fei
球位标记,qiu'wei'biao'ji
球位置,qiu'wei'zhi
球员,qiu'yuan
球员锦标赛,qiu'yuan'jin'biao'sai
曲臂,qu'bi
曲腕,qu'wan
曲膝,qu'xi
全挥杆,quan'hui'gan
让杆,rang'gan
人造革,ren'zao'ge
弱式握杆,ruo'shi'wo'gan
三巨头,san'ju'tou
森林球场,sen'lin'qiu'chang
沙坑杆,sha'keng'gan
沙坑类的障碍物,sha'keng'lei'de'zhang'ai'wu
沙坑挖起杆,sha'keng'wa'qi'gan
山地球场,shan'di'qiu'chang
上杆,shang'gan
上海佘山,shang'hai'she'shan
上海太阳岛,shang'hai'tai'yang'dao
上海汤臣,shang'hai'tang'chen
上坡位,shang'po'wei
上坡位击球,shang'po'wei'ji'qiu
上位,shang'wei
上位击球,shang'wei'ji'qiu
上旋球,shang'xuan'qiu
舍林,she'lin
设施,she'shi
设施费,she'shi'fei
深圳观澜湖,shen'zhen'guan'lan'hu
圣安德鲁斯高尔夫球会,sheng'an'de'lu'si'gao'er'fu'qiu'hui
圣裘德锦标赛,sheng'qiu'de'jin'biao'sai
失打,shi'da
释放,shi'fang
世界比洞赛,shi'jie'bi'dong'sai
世界锦标赛,shi'jie'jin'biao'sai
手套,shou'tao
双柏忌,shuang'bai'ji
双层果岭,shuang'ceng'guo'ling
双洞果岭,shuang'dong'guo'ling
双果岭,shuang'guo'ling
双击,shuang'ji
双鹰,shuang'ying
水障碍,shui'zhang'ai
顺风,shun'feng
四大赛大满贯,si'da'sai'da'man'guan
四大赛大满贯得主,si'da'sai'da'man'guan'de'zhu
四人两球赛,si'ren'liang'qiu'sai
四人组,si'ren'zu
送杆,song'gan
碳素杆,tan'su'gan
碳素杆身,tan'su'gan'shen
天津国际温泉,tian'jin'guo'ji'wen'quan
甜蜜点,tian'mi'dian
铁杆,tie'gan
铁投球杆,tie'tou'qiu'gan
推杆,tui'gan
推杆果岭,tui'gan'guo'ling
推杆练习,tui'gan'lian'xi
推式右曲球,tui'shi'you'qu'qiu
推式左曲球,tui'shi'zuo'qu'qiu
瓦登握杆法,wa'deng'wo'gan'fa
挖泥机,wa'ni'ji
挖起杆,wa'qi'gan
威尔士公开赛,wei'er'shi'gong'kai'sai
无法击球之宣言,wu'fa'ji'qiu'zhi'xuan'yan
下包处,xia'bao'chu
下杆,xia'gan
下坡位,xia'po'wei
下坡位击球,xia'po'wei'ji'qiu
下沙,xia'sha
下水,xia'shui
下位,xia'wei
下位击球,xia'wei'ji'qiu
小费,xiao'fei
小鸡腿,xiao'ji'tui
小鸟球,xiao'niao'qiu
小溪,xiao'xi
小羊皮,xiao'yang'pi
斜角球杆,xie'jiao'qiu'gan
斜坡,xie'po
斜坡球,xie'po'qiu
斜坡位,xie'po'wei
信天翁,xin'tian'weng
新选手,xin'xuan'shou
幸运奖,xing'yun'jiang
削顶球,xue'ding'qiu
亚巡赛,ya'xun'sai
沿海球场,yan'hai'qiu'chang
沿河球场,yan'he'qiu'chang
业巡赛,ye'xun'sai
业余,ye'yu
业余球员,ye'yu'qiu'yuan
一杆进洞,yi'gan'jin'dong
一号木杆,yi'hao'mu'gan
易普,yi'pu
遗失,yi'shi
遗失球,yi'shi'qiu
英国公开赛,ying'guo'gong'kai'sai
右狗腿洞,you'gou'tui'dong
由内侧向外侧挥杆,you'nei'ce'xiang'wai'ce'hui'gan
右曲球,you'qu'qiu
由外侧向内侧挥杆,you'wai'ce'xiang'nei'ce'hui'gan
优先开球权,you'xian'kai'qiu'quan
优先开球者,you'xian'kai'qiu'zhe
右直球,you'zhi'qiu
暂定球,zan'ding'qiu
站姿,zhan'zi
障碍,zhang'ai
障碍区,zhang'ai'qu
障碍物,zhang'ai'wu
长草区,zhang'cao'qu
正面,zheng'mian
正面水障碍,zheng'mian'shui'zhang'ai
整修地,zheng'xiu'di
职业高尔夫协会,zhi'ye'gao'er'fu'xie'hui
职业选手,zhi'ye'xuan'shou
职业与业余配对赛,zhi'ye'yu'ye'yu'pei'dui'sai
中洞,zhong'dong
中高协,zhong'gao'xie
中山温泉,zhong'shan'wen'quan
中式握杆,zhong'shi'wo'gan
中铁杆,zhong'tie'gan
中巡赛,zhong'xun'sai
竹节杆身,zhu'jie'gan'shen
抓鸟,zhua'niao
抓鹰,zhua'ying
转弯点,zhuan'wan'dian
转折,zhuan'zhe
装饰用景观区,zhuang'shi'yong'jing'guan'qu
捉鸟,zhuo'niao
捉鹰,zhuo'ying
自由抛球,zi'you'pao'qiu
总杆,zong'gan
总杆冠军,zong'gan'guan'jun
总杆前三名,zong'gan'qian'san'ming
总杆赛,zong'gan'sai
总杆数,zong'gan'shu
总杆亚军,zong'gan'ya'jun
最佳球位,zui'jia'qiu'wei
最近洞,zui'jin'dong
最近洞奖,zui'jin'dong'jiang
左狗腿洞,zuo'gou'tui'dong
左曲,zuo'qu
左曲球,zuo'qu'qiu
左直球,zuo'zhi'qiu
