曾几何时,ceng'ji'he'shi
雍容不迫,yong'rong'bu'po
雍容大度,yong'rong'da'du
雍容大雅,yong'rong'da'ya
雍容典雅,yong'rong'dian'ya
雍容尔雅,yong'rong'er'ya
雍荣尔雅,yong'rong'er'ya
雍容华贵,yong'rong'hua'gui
雍荣华贵,yong'rong'hua'gui
雍容文雅,yong'rong'wen'ya
雍容闲雅,yong'rong'xian'ya
雍荣闲雅,yong'rong'xian'ya
雍容雅步,yong'rong'ya'bu
雍荣雅步,yong'rong'ya'bu
拥孺人抱稚子,yong'ru'ren'bao'zhi'zi
咏桑寓柳,yong'sang'yu'liu
用舍行藏,yong'she'xing'cang
永生永世,yong'sheng'yong'shi
永世不忘,yong'shi'bu'wang
永世长存,yong'shi'chang'cun
永矢弗谖,yong'shi'fu'xuan
永世其芳,yong'shi'qi'fang
永世无穷,yong'shi'wu'qiong
拥书百城,yong'shu'bai'cheng
拥书南面,yong'shu'nan'mian
饔飧不饱,yong'sun'bu'bao
饔飧不给,yong'sun'bu'gei
饔飧不济,yong'sun'bu'ji
饔飧不继,yong'sun'bu'ji
用天因地,yong'tian'yin'di
勇退急流,yong'tui'ji'liu
勇退激流,yong'tui'ji'liu
勇往直前,yong'wang'zhi'qian
用违其长,yong'wei'qi'chang
用违所长,yong'wei'suo'chang
拥雾翻波,yong'wu'fan'bo
永无宁日,yong'wu'ning'ri
用武之地,yong'wu'zhi'di
永无止境,yong'wu'zhi'jing
永锡不匮,yong'xi'bu'kui
用夏变夷,yong'xia'bian'yi
用贤任能,yong'xian'ren'neng
永巷宫人,yong'xiang'gong'ren
用心措意,yong'xin'cuo'yi
用心竭力,yong'xin'jie'li
用心良苦,yong'xin'liang'ku
用心用意,yong'xin'yong'yi
用行舍藏,yong'xing'she'cang
咏絮之才,yong'xu'zhi'cai
咏雪之才,yong'xue'zhi'cai
咏雪之慧,yong'xue'zhi'hui
庸言庸行,yong'yan'yong'xing
用逸待劳,yong'yi'dai'lao
用一当十,yong'yi'dang'shi
庸医杀人,yong'yi'sha'ren
颙颙卬卬,yong'yong'ang'ang
雝雝喈喈,yong'yong'jie'jie
庸庸碌碌,yong'yong'lu'lu
永永无穷,yong'yong'wu'qiong
勇于私斗怯于公愤,yong'yu'si'dou'qie'yu'gong'fen
勇于自责,yong'yu'zi'ze
咏月嘲风,yong'yue'chao'feng
咏月嘲花,yong'yue'chao'hua
踊跃输将,yong'yue'shu'jiang
踊跃争先,yong'yue'zheng'xian
勇者不惧,yong'zhe'bu'ju
拥政爱民,yong'zheng'ai'min
用志不分,yong'zhi'bu'fen
用之不竭,yong'zhi'bu'jie
永志不忘,yong'zhi'bu'wang
用智铺谋,yong'zhi'pu'mou
用之则行舍之则藏,yong'zhi'ze'xing'she'zhi'ze'cang
佣中佼佼,yong'zhong'jiao'jiao
庸中佼佼,yong'zhong'jiao'jiao
庸中皎皎,yong'zhong'jiao'jiao
庸中皦皦,yong'zhong'jiao'jiao
永字八法,yong'zi'ba'fa
有碍观瞻,you'ai'guan'zhan
有案可查,you'an'ke'cha
有案可稽,you'an'ke'ji
有百害而无一利,you'bai'hai'er'wu'yi'li
有板有眼,you'ban'you'yan
有备无患,you'bei'wu'huan
有本有原,you'ben'you'yuan
有本有源,you'ben'you'yuan
有本有则,you'ben'you'ze
油壁香车,you'bi'xiang'che
游必有方,you'bi'you'fang
有鼻子有眼,you'bi'zi'you'yan
由表及里,you'biao'ji'li
有病乱投医,you'bing'luan'tou'yi
由博返约,you'bo'fan'yue
有才无命,you'cai'wu'ming
有财有势,you'cai'you'shi
优差美缺,you'cha'mei'que
忧谗畏讥,you'chan'wei'ji
游尘土梗,you'chen'tu'geng
有翅难飞,you'chi'nan'fei
有翅难展,you'chi'nan'zhan
有耻且格,you'chi'qie'ge
有尺水行尺船,you'chi'shui'xing'chi'chuan
有仇不报非君子,you'chou'bu'bao'fei'jun'zi
有抽有长,you'chou'you'chang
有触即发,you'chu'ji'fa
有初鲜终,you'chu'xian'zhong
游辞浮说,you'ci'fu'shuo
由此及彼,you'ci'ji'bi
游辞巧饰,you'ci'qiao'shi
优存劣败,you'cun'lie'bai
有胆有识,you'dan'you'shi
又当别论,you'dang'bie'lun
游荡不羁,you'dang'bu'ji
游荡不覊,you'dang'bu'ji
有道之士,you'dao'zhi'shi
有的放矢,you'di'fang'shi
诱敌深入,you'di'shen'ru
有典有则,you'dian'you'ze
由窦尚书,you'dou'shang'shu
有度有识,you'du'you'shi
右都御史,you'du'yu'shi
狖轭鼯轩,you'e'wu'xuan
尤而效之,you'er'xiao'zhi
幼而学壮而行,you'er'xue'zhuang'er'xing
有犯无隐,you'fan'wu'yin
忧愤成疾,you'fen'cheng'ji
有风方起浪,you'feng'fang'qi'lang
有凤来仪,you'feng'lai'yi
游蜂浪蝶,you'feng'lang'die
游蜂戏蝶,you'feng'xi'die
有风有化,you'feng'you'hua
友风子雨,you'feng'zi'yu
有福共享,you'fu'gong'xiang
有福同享,you'fu'tong'xiang
有福同享有祸同当,you'fu'tong'xiang'you'huo'tong'dang
有福同享有难同当,you'fu'tong'xiang'you'nan'tong'dang
有斧无柯,you'fu'wu'ke
有负众望,you'fu'zhong'wang
油干灯草尽,you'gan'deng'cao'jin
油干灯尽,you'gan'deng'jin
油干火尽,you'gan'huo'jin
有根有底,you'gen'you'di
有根有据,you'gen'you'ju
有根有苗,you'gen'you'miao
有功不赏有劳不录,you'gong'bu'shang'you'lao'bu'lu
忧公如家,you'gong'ru'jia
忧公忘私,you'gong'wang'si
忧公无私,you'gong'wu'si
有功之臣,you'gong'zhi'chen
油光晶亮,you'guang'jing'liang
油光可鉴,you'guang'ke'jian
油光水滑,you'guang'shui'hua
游光扬声,you'guang'yang'sheng
幽闺弱质,you'gui'ruo'zhi
忧国哀民,you'guo'ai'min
忧国爱民,you'guo'ai'min
忧国奉公,you'guo'feng'gong
有国难投,you'guo'nan'tou
忧国如家,you'guo'ru'jia
忧国忘家,you'guo'wang'jia
忧国忘身,you'guo'wang'shen
忧国忘思,you'guo'wang'si
忧国忘私,you'guo'wang'si
忧国恤民,you'guo'xu'min
忧国忧民,you'guo'you'min
有过之而无不及,you'guo'zhi'er'wu'bu'ji
有过之无不及,you'guo'zhi'wu'bu'ji
有害无利,you'hai'wu'li
有害无益,you'hai'wu'yi
有何面目,you'he'mian'mu
有红似白,you'hong'si'bai
尤红殢翠,you'hong'ti'cui
又红又专,you'hong'you'zhuan
有话便长无话便短,you'hua'bian'chang'wu'hua'bian'duan
有话便长无话就短,you'hua'bian'chang'wu'hua'jiu'duan
游花插趣,you'hua'cha'qu
游花光棍,you'hua'guang'gun
有话即长无话即短,you'hua'ji'chang'wu'hua'ji'duan
尤花殢雪,you'hua'ti'xue
有话则长无话则短,you'hua'ze'chang'wu'hua'ze'duan
忧患余生,you'huan'yu'sheng
油回磨转,you'hui'mo'zhuan
游回磨转,you'hui'mo'zhuan
油火虫虫,you'huo'chong'chong
有机可趁,you'ji'ke'chen
有机可乘,you'ji'ke'cheng
有己无人,you'ji'wu'ren
有几下子,you'ji'xia'zi
有家难奔,you'jia'nan'ben
有加无瘳,you'jia'wu'chou
有加无损,you'jia'wu'sun
有加无替,you'jia'wu'ti
有加无已,you'jia'wu'yi
油煎火辣,you'jian'huo'la
油煎火燎,you'jian'huo'liao
有间可乘,you'jian'ke'cheng
有鉴于此,you'jian'yu'ci
右剪左屠,you'jian'zuo'tu
右翦左屠,you'jian'zuo'tu
油浇火燎,you'jiao'huo'liao
有脚书厨,you'jiao'shu'chu
有脚书橱,you'jiao'shu'chu
有教无类,you'jiao'wu'lei
有脚阳春,you'jiao'yang'chun
犹解倒悬,you'jie'dao'xuan
有借无还,you'jie'wu'huan
油尽灯枯,you'jin'deng'ku
由近及远,you'jin'ji'yuan
有紧没慢,you'jin'mei'man
有紧没要,you'jin'mei'yao
有进无退,you'jin'wu'tui
有惊无险,you'jing'wu'xian
又惊又喜,you'jing'you'xi
有酒胆无饭力,you'jiu'dan'wu'fan'li
游居有常,you'ju'you'chang
右军习气,you'jun'xi'qi
有口皆碑,you'kou'jie'bei
有口莫辩,you'kou'mo'bian
有口难辩,you'kou'nan'bian
有口难分,you'kou'nan'fen
有口难开,you'kou'nan'kai
有口难言,you'kou'nan'yan
有口难张,you'kou'nan'zhang
有口无心,you'kou'wu'xin
有口无行,you'kou'wu'xing
有来无回,you'lai'wu'hui
由来已久,you'lai'yi'jiu
有来有往,you'lai'you'wang
忧劳成疾,you'lao'cheng'ji
有劳有逸,you'lao'you'yi
有了存孝不显彦章,you'le'cun'xiao'bu'xian'yan'zhang
有棱有角,you'leng'you'jiao
有例不兴无例不灭,you'li'bu'xing'wu'li'bu'mie
有理不在声高,you'li'bu'zai'sheng'gao
有利可图,you'li'ke'tu
有例可援,you'li'ke'yuan
有利无弊,you'li'wu'bi
优礼相待,you'li'xiang'dai
有利有弊,you'li'you'bi
有理走遍天下,you'li'zou'bian'tian'xia
有两下子,you'liang'xia'zi
优劣得所,you'lie'de'suo
游廪食粟,you'lin'shi'su
有龙则灵,you'long'ze'ling
有眉有眼,you'mei'you'yan
优孟衣冠,you'meng'yi'guan
忧民忧国,you'min'you'guo
有名亡实,you'ming'wang'shi
有名无实,you'ming'wu'shi
有命无运,you'ming'wu'yun
幽明异路,you'ming'yi'lu
幽明永隔,you'ming'yong'ge
有名有利,you'ming'you'li
有名有姓,you'ming'you'xing
有模有样,you'mo'you'yang
游目骋观,you'mu'cheng'guan
游目骋怀,you'mu'cheng'huai
有目共睹,you'mu'gong'du
有目共见,you'mu'gong'jian
有目共赏,you'mu'gong'shang
有目如盲,you'mu'ru'mang
有目无睹,you'mu'wu'du
有目咸睹,you'mu'xian'du
有目咸赏,you'mu'xian'shang
有奶便是娘,you'nai'bian'shi'niang
忧能伤人,you'neng'shang'ren
有你不多无你不少,you'ni'bu'duo'wu'ni'bu'shao
有年无月,you'nian'wu'yue
有女怀春,you'nv'huai'chun
酉牌时分,you'pai'shi'fen
有蠙可乘,you'pin'ke'cheng
有凭有据,you'ping'you'ju
有其父必有其子,you'qi'fu'bi'you'qi'zi
有气没力,you'qi'mei'li
幽期密约,you'qi'mi'yue
游骑无归,you'qi'wu'gui
有气无力,you'qi'wu'li
有气无烟,you'qi'wu'yan
油乾火尽,you'qian'huo'jin
有钱买马没钱置鞍,you'qian'mai'ma'mei'qian'zhi'an
有钱能使鬼推磨,you'qian'neng'shi'gui'tui'mo
由浅入深,you'qian'ru'shen
有钱使得鬼推磨,you'qian'shi'de'gui'tui'mo
油钱香分,you'qian'xiang'fen
有钱有势,you'qian'you'shi
油腔滑调,you'qiang'hua'diao
诱秦诓楚,you'qin'kuang'chu
有情人终成眷属,you'qing'ren'zhong'cheng'juan'shu
幽情雅趣,you'qing'ya'qu
幽情逸韵,you'qing'yi'yun
有情有义,you'qing'you'yi
有情有意,you'qing'you'yi
有求必给,you'qiu'bi'gei
有求必应,you'qiu'bi'ying
幽囚受辱,you'qiu'shou'ru
有求斯应,you'qiu'si'ying
有求辄应,you'qiu'zhe'ying
有去无回,you'qu'wu'hui
有屈无伸,you'qu'wu'shen
有权有势,you'quan'you'shi
油然而生,you'ran'er'sheng
悠然神往,you'ran'shen'wang
悠然自得,you'ran'zi'de
悠然自适,you'ran'zi'shi
游刃恢恢,you'ren'hui'hui
游刃皆虚,you'ren'jie'xu
游刃有余,you'ren'you'yu
游刃有余地,you'ren'you'yu'di
游刃余地,you'ren'yu'di
幽人之风,you'ren'zhi'feng
优柔不断,you'rou'bu'duan
优柔寡断,you'rou'gua'duan
优柔失断,you'rou'shi'duan
优柔无断,you'rou'wu'duan
优柔厌饫,you'rou'yan'yu
优柔餍饫,you'rou'yan'yu
优柔魇饫,you'rou'yan'yu
有如白水,you'ru'bai'shui
有如大江,you'ru'da'jiang
有如皎日,you'ru'jiao'ri
有如皦日,you'ru'jiao'ri
又弱一个,you'ruo'yi'ge
有三有俩,you'san'you'liang
有色人种,you'se'ren'zhong
有色眼镜,you'se'yan'jing
有色有声,you'se'you'sheng
游山逛水,you'shan'guang'shui
游山玩景,you'shan'wan'jing
游山玩水,you'shan'wan'shui
有伤风化,you'shang'feng'hua
有神没气,you'shen'mei'qi
忧深思远,you'shen'si'yuan
有声电影,you'sheng'dian'ying
有声读物,you'sheng'du'wu
有声盒带,you'sheng'he'dai
有生力量,you'sheng'li'liang
优胜劣败,you'sheng'lie'bai
优胜劣汰,you'sheng'lie'tai
有声没气,you'sheng'mei'qi
忧盛危明,you'sheng'wei'ming
有声无气,you'sheng'wu'qi
有声无实,you'sheng'wu'shi
有生以来,you'sheng'yi'lai
又生一秦,you'sheng'yi'qin
有声有泪,you'sheng'you'lei
有声有情,you'sheng'you'qing
有声有色,you'sheng'you'se
有生于无,you'sheng'yu'wu
有生之年,you'sheng'zhi'nian
有恃不恐,you'shi'bu'kong
有恃无恐,you'shi'wu'kong
有恃毋恐,you'shi'wu'kong
有始无终,you'shi'wu'zhong
有始有终,you'shi'you'zhong
有始有卒,you'shi'you'zu
有事之秋,you'shi'zhi'qiu
有识之士,you'shi'zhi'shi
游手好闲,you'shou'hao'xian
右手画圆左手画方,you'shou'hua'yuan'zuo'shou'hua'fang
游手偷闲,you'shou'tou'xian
有首有尾,you'shou'you'wei
有说有笑,you'shuo'you'xiao
游丝飞絮,you'si'fei'xu
游思妄想,you'si'wang'xiang
有死无二,you'si'wu'er
油丝子烟,you'si'zi'yan
有损无益,you'sun'wu'yi
有所不为,you'suo'bu'wei
有所恃而不恐,you'suo'shi'er'bu'kong
有所为而为,you'suo'wei'er'wei
有所作为,you'suo'zuo'wei
游谈无根,you'tan'wu'gen
优昙一现,you'tan'yi'xian
有天没日,you'tian'mei'ri
有天没日头,you'tian'mei'ri'tou
有天无日,you'tian'wu'ri
有天无日头,you'tian'wu'ri'tou
有忝祖德,you'tian'zu'de
有条不紊,you'tiao'bu'wen
有条有理,you'tiao'you'li
邮亭醉尉,you'ting'zui'wei
油头粉面,you'tou'fen'mian
油头光棍,you'tou'guang'gun
油头滑脸,you'tou'hua'lian
油头滑面,you'tou'hua'mian
油头滑脑,you'tou'hua'nao
有头没脑,you'tou'mei'nao
有头没尾,you'tou'mei'wei
有头无脑,you'tou'wu'nao
有头无尾,you'tou'wu'wei
有头有脸,you'tou'you'lian
有头有脑,you'tou'you'nao
有头有尾,you'tou'you'wei
有为有守,you'wei'you'shou
有问必答,you'wen'bi'da
有闻必录,you'wen'bi'lu
有闻必録,you'wen'bi'lu
有文无行,you'wen'wu'xing
有我无人,you'wo'wu'ren
有无相生,you'wu'xiang'sheng
有无相通,you'wu'xiang'tong
尤物移人,you'wu'yi'ren
幼吾幼以及人之幼,you'wu'you'yi'ji'ren'zhi'you
有物有则,you'wu'you'ze
游戏笔墨,you'xi'bi'mo
游戏尘寰,you'xi'chen'huan
游席过座,you'xi'guo'zuo
游戏翰墨,you'xi'han'mo
忧喜交并,you'xi'jiao'bing
忧喜交集,you'xi'jiao'ji
有隙可趁,you'xi'ke'chen
有隙可乘,you'xi'ke'cheng
游戏人间,you'xi'ren'jian
游戏人世,you'xi'ren'shi
游戏三昧,you'xi'san'mei
游侠骑士,you'xia'qi'shi
游闲公子,you'xian'gong'zi
有闲阶级,you'xian'jie'ji
优贤扬历,you'xian'yang'li
优贤飏历,you'xian'yang'li
有仙则名,you'xian'ze'ming
悠闲自在,you'xian'zi'zai
右相丹青,you'xiang'dan'qing
游响停云,you'xiang'ting'yun
由小见大,you'xiao'jian'da
有效射程,you'xiao'she'cheng
游心骋目,you'xin'cheng'mu
忧心忡忡,you'xin'chong'chong
游心骇耳,you'xin'hai'er
有衅可乘,you'xin'ke'cheng
有心没想,you'xin'mei'xiang
忧心悄悄,you'xin'qiao'qiao
有心人,you'xin'ren
忧心如酲,you'xin'ru'cheng
忧心如捣,you'xin'ru'dao
忧心如擣,you'xin'ru'dao
忧心如焚,you'xin'ru'fen
忧心如惔,you'xin'ru'tan
忧心如薰,you'xin'ru'xun
忧心如醉,you'xin'ru'zui
忧心若醉,you'xin'ruo'zui
有心无力,you'xin'wu'li
有心有意,you'xin'you'yi
游心寓目,you'xin'yu'mu
有幸不幸,you'xing'bu'xing
有形可检有数可推,you'xing'ke'jian'you'shu'ke'tui
游行示威,you'xing'shi'wei
有幸有不幸,you'xing'you'bu'xing
忧形于色,you'xing'yu'se
輶轩之使,you'xuan'zhi'shi
有血有肉,you'xue'you'rou
幼学壮行,you'xue'zhuang'xing
有眼不识荆山玉,you'yan'bu'shi'jing'shan'yu
有眼不识泰山,you'yan'bu'shi'tai'shan
油盐酱醋,you'yan'jiang'cu
有眼如盲,you'yan'ru'mang
有眼无瞳,you'yan'wu'tong
有眼无珠,you'yan'wu'zhu
有言在前,you'yan'zai'qian
有言在先,you'yan'zai'xian
有要没紧,you'yao'mei'jin
有要于时,you'yao'yu'shi
诱掖后进,you'ye'hou'jin
油煠猢狲,you'ye'hu'sun
诱掖奖劝,you'ye'jiang'quan
诱掖奬劝,you'ye'jiang'quan
游移不定,you'yi'bu'ding
有一搭没一搭,you'yi'da'mei'yi'da
有一得一,you'yi'de'yi
又一个弱,you'yi'ge'ruo
有以教我,you'yi'jiao'wo
有一利必有一弊,you'yi'li'bi'you'yi'bi
有一利即有一弊,you'yi'li'ji'you'yi'bi
有以善处,you'yi'shan'chu
有一手儿,you'yi'shou'er
有一无二,you'yi'wu'er
有意无意,you'yi'wu'yi
有意无意之间,you'yi'wu'yi'zhi'jian
有影无形,you'ying'wu'xing
有影无踪,you'ying'wu'zong
有勇无谋,you'yong'wu'mou
有勇有谋,you'yong'you'mou
有勇知方,you'yong'zhi'fang
优游不断,you'you'bu'duan
优游不迫,you'you'bu'po
悠悠荡荡,you'you'dang'dang
悠悠伏枕,you'you'fu'zhen
优游涵泳,you'you'han'yong
悠悠忽忽,you'you'hu'hu
优优简简,you'you'jian'jian
油油腻腻,you'you'ni'ni
幽幽凄凄,you'you'qi'qi
优游少断,you'you'shao'duan
由由忬忬,you'you'shu'shu
优游岁月,you'you'sui'yue
优游恬淡,you'you'tian'dan
犹有童心,you'you'tong'xin
悠悠扬扬,you'you'yang'yang
悠悠洋洋,you'you'yang'yang
呦呦嘤嘤,you'you'ying'ying
优游自得,you'you'zi'de
悠悠自得,you'you'zi'de
悠游自得,you'you'zi'de
优游自如,you'you'zi'ru
优游自若,you'you'zi'ruo
优游自适,you'you'zi'shi
优游自在,you'you'zi'zai
悠游自在,you'you'zi'zai
优游卒岁,you'you'zu'sui
犹豫不定,you'yu'bu'ding
犹豫不决,you'yu'bu'jue
囿于成见,you'yu'cheng'jian
游鱼出听,you'yu'chu'ting
犹鱼得水,you'yu'de'shui
犹豫狐疑,you'yu'hu'yi
囿于见闻,you'yu'jian'wen
友于甚笃,you'yu'shen'du
犹豫未决,you'yu'wei'jue
友于兄弟,you'yu'xiong'di
有冤报冤有仇报仇,you'yuan'bao'yuan'you'chou'bao'chou
有缘千里来相会,you'yuan'qian'li'lai'xiang'hui
有约在先,you'yue'zai'xian
游云惊龙,you'yun'jing'long
尤云殢雪,you'yun'ti'xue
尤云殢雨,you'yun'ti'yu
优哉游哉,you'zai'you'zai
悠哉游哉,you'zai'you'zai
有则改之,you'ze'gai'zhi
有则改之无则加勉,you'ze'gai'zhi'wu'ze'jia'mian
有则改之无则嘉勉,you'ze'gai'zhi'wu'ze'jia'mian
有增无减,you'zeng'wu'jian
有增无损,you'zeng'wu'sun
有增无已,you'zeng'wu'yi
油炸猢狲,you'zha'hu'sun
有章可循,you'zhang'ke'xun
有张没智,you'zhang'mei'zhi
有张有弛,you'zhang'you'chi
有长者风,you'zhang'zhe'feng
有朝一日,you'zhao'yi'ri
有征无战,you'zheng'wu'zhan
有志不在年高,you'zhi'bu'zai'nian'gao
有治法无治人,you'zhi'fa'wu'zhi'ren
有志竟成,you'zhi'jing'cheng
幼稚可笑,you'zhi'ke'xiao
油纸枚子,you'zhi'mei'zi
油脂模糊,you'zhi'mo'hu
有志难酬,you'zhi'nan'chou
有治人无治法,you'zhi'ren'wu'zhi'fa
有志事竟成,you'zhi'shi'jing'cheng
有枝添叶,you'zhi'tian'ye
有职无权,you'zhi'wu'quan
有志无时,you'zhi'wu'shi
有枝有叶,you'zhi'you'ye
有志者事竟成,you'zhi'zhe'shi'jing'cheng
有志之士,you'zhi'zhi'shi
牖中窥日,you'zhong'kui'ri
由中之言,you'zhong'zhi'yan
由衷之言,you'zhong'zhi'yan
右传之八章,you'zhuan'zhi'ba'zhang
有子存焉,you'zi'cun'yan
油渍麻花,you'zi'ma'hua
有滋有味,you'zi'you'wei
油嘴狗舌,you'zui'gou'she
游嘴光棍,you'zui'guang'gun
油嘴花唇,you'zui'hua'chun
油嘴滑舌,you'zui'hua'she
有嘴没舌,you'zui'mei'she
有嘴没心,you'zui'mei'xin
油嘴骗舌,you'zui'pian'she
有嘴无心,you'zui'wu'xin
油嘴油舌,you'zui'you'she
又作别论,you'zuo'bie'lun
有作其芒,you'zuo'qi'mang
宥坐之器,you'zuo'zhi'qi
雨爱云欢,yu'ai'yun'huan
于安思危,yu'an'si'wei
欲罢不能,yu'ba'bu'neng
玉白花红,yu'bai'hua'hong
瑜百瑕一,yu'bai'xia'yi
鹬蚌持争渔翁得利,yu'bang'chi'zheng'yu'weng'de'li
鹬蚌相持,yu'bang'xiang'chi
鹬蚌相持渔人得利,yu'bang'xiang'chi'yu'ren'de'li
鹬蚌相持渔翁得利,yu'bang'xiang'chi'yu'weng'de'li
鹬蚌相斗,yu'bang'xiang'dou
鹬蚌相危,yu'bang'xiang'wei
鹬蚌相争,yu'bang'xiang'zheng
鹬蚌相争渔人获利,yu'bang'xiang'zheng'yu'ren'huo'li
鹬蚌相争渔翁得利,yu'bang'xiang'zheng'yu'weng'de'li
余杯冷炙,yu'bei'leng'zhi
誉必待试,yu'bi'dai'shi
寓贬于褒,yu'bian'yu'bao
雨鬓风鬟,yu'bin'feng'huan
寓兵于农,yu'bing'yu'nong
鱼帛狐篝,yu'bo'hu'gou
鱼帛狐声,yu'bo'hu'sheng
余波未平,yu'bo'wei'ping
语不惊人,yu'bu'jing'ren
语不惊人死不休,yu'bu'jing'ren'si'bu'xiu
誉不绝口,yu'bu'jue'kou
愚不可及,yu'bu'ke'ji
欲不可纵,yu'bu'ke'zong
语不投机,yu'bu'tou'ji
瑜不掩瑕,yu'bu'yan'xia
瑜不揜瑕,yu'bu'yan'xia
语不择人,yu'bu'ze'ren
玉不琢不成器,yu'bu'zhuo'bu'cheng'qi
玉惨花愁,yu'can'hua'chou
与草木俱腐,yu'cao'mu'ju'fu
与草木俱灰,yu'cao'mu'ju'hui
与草木俱朽,yu'cao'mu'ju'xiu
与草木同腐,yu'cao'mu'tong'fu
与草木同朽,yu'cao'mu'tong'xiu
雨僝风僽,yu'chan'feng'zhou
雨僝云僽,yu'chan'yun'zhou
鱼肠尺素,yu'chang'chi'su
语长心重,yu'chang'xin'zhong
鱼肠雁足,yu'chang'yan'zu
鱼沉鸿断,yu'chen'hong'duan
鱼沉雁静,yu'chen'yan'jing
鱼沉雁落,yu'chen'yan'luo
鱼沉鴈落,yu'chen'yan'luo
鱼沉雁渺,yu'chen'yan'miao
鱼沉雁杳,yu'chen'yan'yao
舆榇自缚,yu'chen'zi'fu
玉成此事,yu'cheng'ci'shi
玉成其美,yu'cheng'qi'mei
玉成其事,yu'cheng'qi'shi
玉成之恩,yu'cheng'zhi'en
逾侈长饰,yu'chi'chang'shi
玉尺量才,yu'chi'liang'cai
语吃气阻,yu'chi'qi'zu
予齿去角,yu'chi'qu'jiao
鬻宠擅权,yu'chong'shan'quan
雨愁烟恨,yu'chou'yan'hen
虞褚欧颜,yu'chu'ou'yan
玉除彤庭,yu'chu'tong'ting
愈出愈奇,yu'chu'yu'qi
语出月胁,yu'chu'yue'xie
语出月脇,yu'chu'yue'xie
鱼传尺素,yu'chuan'chi'su
杅穿皮蠹,yu'chuan'pi'du
逾次超秩,yu'ci'chao'zhi
榆次之辱,yu'ci'zhi'ru
雨凑云集,yu'cou'yun'ji
雨打风吹,yu'da'feng'chui
雨打梨花,yu'da'li'hua
鱼大水小,yu'da'shui'xiao
羽蹈烈火,yu'dao'lie'huo
玉倒山頽,yu'dao'shan'tui
欲得而甘心,yu'de'er'gan'xin
御敌于国门之外,yu'di'yu'guo'men'zhi'wai
玉殿嫦娥,yu'dian'chang'e
雨栋风帘,yu'dong'feng'lian
语短情长,yu'duan'qing'chang
雨断云销,yu'duan'yun'xiao
郁多罗僧,yu'duo'luo'seng
渔夺侵牟,yu'duo'qin'mou
予夺生杀,yu'duo'sheng'sha
鬻儿卖女,yu'er'mai'nv
娱耳悦目,yu'er'yue'mu
盂方水方,yu'fang'shui'fang
榆枋之见,yu'fang'zhi'jian
于飞之乐,yu'fei'zhi'le
于飞之愿,yu'fei'zhi'yuan
余分闰气,yu'fen'run'qi
驭凤骖鹤,yu'feng'can'he
鱼封雁帖,yu'feng'yan'tie
余风遗文,yu'feng'yi'wen
鱼釜尘甑,yu'fu'chen'zeng
愚夫蠢妇,yu'fu'chun'fu
吁咈都俞,yu'fu'dou'yu
愚夫俗子,yu'fu'su'zi
迂腐腾腾,yu'fu'teng'teng
玉斧修月,yu'fu'xiu'yue
愚夫愚妇,yu'fu'yu'fu
雨覆云翻,yu'fu'yun'fan
迂夫子,yu'fu'zi
欲盖而彰,yu'gai'er'zhang
欲盖弥彰,yu'gai'mi'zhang
欲盖弥著,yu'gai'mi'zhu
欲盖名彰,yu'gai'ming'zhang
饫甘餍肥,yu'gan'yan'fei
愚戆窳惰,yu'gang'yu'duo
余膏剩馥,yu'gao'sheng'fu
雨膏烟腻,yu'gao'yan'ni
于公高门,yu'gong'gao'men
愚公移山,yu'gong'yi'shan
御沟红叶,yu'gou'hong'ye
御沟流叶,yu'gou'liu'ye
玉骨冰肌,yu'gu'bing'ji
玉骨冰姿,yu'gu'bing'zi
鱼鼓简子,yu'gu'jian'zi
与古为徒,yu'gu'wei'tu
玉骨仙姿,yu'gu'xian'zi
迂怪不经,yu'guai'bu'jing
鱼贯成行,yu'guan'cheng'xing
鱼贯而出,yu'guan'er'chu
鱼贯而进,yu'guan'er'jin
鱼贯而前,yu'guan'er'qian
鱼贯而入,yu'guan'er'ru
鱼贯而行,yu'guan'er'xing
鬻官卖爵,yu'guan'mai'jue
玉关人老,yu'guan'ren'lao
鱼贯雁比,yu'guan'yan'bi
鱼贯雁行,yu'guan'yan'xing
余光分人,yu'guang'fen'ren
玉圭金臬,yu'gui'jin'nie
与鬼为邻,yu'gui'wei'lin
逾规越矩,yu'gui'yue'ju
于归之期,yu'gui'zhi'qi
誉过其实,yu'guo'qi'shi
雨过天晴,yu'guo'tian'qing
雨过天青,yu'guo'tian'qing
裕国足民,yu'guo'zu'min
渔海樵山,yu'hai'qiao'shan
羽翮飞肉,yu'he'fei'rou
雨翮风翎,yu'he'feng'ling
欲壑难填,yu'he'nan'tian
羽翮已就,yu'he'yi'jiu
雨恨云愁,yu'hen'yun'chou
雨横风狂,yu'heng'feng'kuang
雨后春笋,yu'hou'chun'sun
裕后光前,yu'hou'guang'qian
雨后送伞,yu'hou'song'san
于乎哀哉,yu'hu'ai'zai
于呼哀哉,yu'hu'ai'zai
与狐谋皮,yu'hu'mou'pi
与虎谋皮,yu'hu'mou'pi
与狐谋裘,yu'hu'mou'qiu
与虎添翼,yu'hu'tian'yi
与狐议裘,yu'hu'yi'qiu
羽化登仙,yu'hua'deng'xian
羽化飞天,yu'hua'fei'tian
逾淮为枳,yu'huai'wei'zhi
逾淮之橘,yu'huai'zhi'ju
羽换宫移,yu'huan'gong'yi
玉皇大帝,yu'huang'da'di
