阿坝当归,a'ba'dang'gui
贵州毛柃,gui'zhou'mao'ling
贵州美登木,gui'zhou'mei'deng'mu
贵州木瓜红,gui'zhou'mu'gua'hong
贵州泡花树,gui'zhou'pao'hua'shu
贵州蒲桃,gui'zhou'pu'tao
贵州桤叶树,gui'zhou'qi'ye'shu
贵州千斤拔,gui'zhou'qian'jin'ba
贵州青冈,gui'zhou'qing'gang
贵州琼楠,gui'zhou'qiong'nan
贵州榕,gui'zhou'rong
贵州赛爵床,gui'zhou'sai'jue'chuang
贵州缫丝花,gui'zhou'sao'si'hua
贵州山橙,gui'zhou'shan'cheng
贵州山核桃,gui'zhou'shan'he'tao
贵州石蝴蝶,gui'zhou'shi'hu'die
贵州实蕨,gui'zhou'shi'jue
贵州石楠,gui'zhou'shi'nan
贵州石仙桃,gui'zhou'shi'xian'tao
贵州鼠李,gui'zhou'shu'li
贵州鼠尾草,gui'zhou'shu'wei'cao
贵州水车前,gui'zhou'shui'che'qian
贵州水锦树,gui'zhou'shui'jin'shu
贵州四轮香,gui'zhou'si'lun'xiang
贵州苏铁,gui'zhou'su'tie
贵州蹄盖蕨,gui'zhou'ti'gai'jue
贵州天名精,gui'zhou'tian'ming'jing
贵州铁线莲,gui'zhou'tie'xian'lian
贵州通泉草,gui'zhou'tong'quan'cao
贵州橐吾,gui'zhou'tuo'wu
贵州娃儿藤,gui'zhou'wa'er'teng
贵州卫矛,gui'zhou'wei'mao
贵州喜鹊苣苔,gui'zhou'xi'que'ju'tai
贵州虾脊兰,gui'zhou'xia'ji'lan
贵州香花藤,gui'zhou'xiang'hua'teng
贵州小檗,gui'zhou'xiao'bo
贵州绣线菊,gui'zhou'xiu'xian'ju
贵州悬竹,gui'zhou'xuan'zhu
贵州羊耳蒜,gui'zhou'yang'er'suan
贵州羊奶子,gui'zhou'yang'nai'zi
贵州叶下珠,gui'zhou'ye'xia'zhu
贵州远志,gui'zhou'yuan'zhi
贵州獐牙菜,gui'zhou'zhang'ya'cai
贵州直瓣苣苔,gui'zhou'zhi'ban'ju'tai
贵州锥,gui'zhou'zhui
贵州醉魂藤,gui'zhou'zui'hun'teng
桂竹,gui'zhu
桂竹香,gui'zhu'xiang
桂竹香属,gui'zhu'xiang'shu
棍棒花柱属,gun'bang'hua'zhu'shu
棍毛金锦香,gun'mao'jin'jin'xiang
过布柿,guo'bu'shi
果冻椰子属,guo'dong'ye'zi'shu
过江龙,guo'jiang'long
过江藤,guo'jiang'teng
过江藤属,guo'jiang'teng'shu
过路黄,guo'lu'huang
过路惊,guo'lu'jing
果洛宝洁黄芪,guo'luo'bao'jie'huang'qi
果洛杜鹃,guo'luo'du'juan
国楣复叶耳蕨,guo'mei'fu'ye'er'jue
国楣马先蒿,guo'mei'ma'xian'hao
国楣铁线莲,guo'mei'tie'xian'lian
果山还阳参,guo'shan'huan'yang'can
过山蕨,guo'shan'jue
过山蕨属,guo'shan'jue'shu
过山崖爬藤,guo'shan'ya'pa'teng
郭氏细柄草,guo'shi'xi'bing'cao
果香菊,guo'xiang'ju
果香菊属,guo'xiang'ju'shu
果香兰,guo'xiang'lan
果子蔓,guo'zi'man
果子蔓属,guo'zi'man'shu
哈巴百合,ha'ba'bai'he
哈巴娥眉蕨,ha'ba'e'mei'jue
哈巴耳蕨,ha'ba'er'jue
哈巴河葱,ha'ba'he'cong
哈巴河黄芪,ha'ba'he'huang'qi
哈巴河以礼草,ha'ba'he'yi'li'cao
哈巴虎耳草,ha'ba'hu'er'cao
哈巴鳞毛蕨,ha'ba'lin'mao'jue
哈巴山黄芪,ha'ba'shan'huang'qi
哈巴山马先蒿,ha'ba'shan'ma'xian'hao
哈巴乌头,ha'ba'wu'tou
哈代羊茅,ha'dai'yang'mao
哈登柏豆,ha'deng'bai'dou
哈登柏豆属,ha'deng'bai'dou'shu
哈尔滨榆,ha'er'bin'yu
哈克木属,ha'ke'mu'shu
哈罗果松属,ha'luo'guo'song'shu
哈密黄芪,ha'mi'huang'qi
哈密棘豆,ha'mi'ji'dou
哈密毛茛,ha'mi'mao'gen
哈青杨,ha'qing'yang
哈如铁角蕨,ha'ru'tie'jiao'jue
哈萨克短舌菊,ha'sa'ke'duan'she'ju
哈氏胡椒,ha'shi'hu'jiao
哈氏薹草,ha'shi'tai'cao
哈亚早熟禾,ha'ya'zao'shu'he
蝦夷云杉,ha'yi'yun'shan
海岸松,hai'an'song
海岸桐,hai'an'tong
海岸桐属,hai'an'tong'shu
海岸乌蔹莓,hai'an'wu'lian'mei
海边马兜铃,hai'bian'ma'dou'ling
海边柿,hai'bian'shi
海边月见草,hai'bian'yue'jian'cao
海滨车前,hai'bin'che'qian
海滨大戟,hai'bin'da'ji
海滨黄芪,hai'bin'huang'qi
海滨芥,hai'bin'jie
海滨芥属,hai'bin'jie'shu
海滨藜,hai'bin'li
海滨柳穿鱼,hai'bin'liu'chuan'yu
海滨木巴戟,hai'bin'mu'ba'ji
海滨木槿,hai'bin'mu'jin
海滨莎,hai'bin'sha
海滨莎属,hai'bin'sha'shu
海滨山黧豆,hai'bin'shan'li'dou
海滨异木患,hai'bin'yi'mu'huan
海滨蝇子草,hai'bin'ying'zi'cao
海菜花,hai'cai'hua
海菖蒲,hai'chang'pu
海菖蒲属,hai'chang'pu'shu
海车前属,hai'che'qian'shu
海葱,hai'cong
海葱属,hai'cong'shu
海岛冬青,hai'dao'dong'qing
海刀豆,hai'dao'dou
海岛轮环藤,hai'dao'lun'huan'teng
海岛棉,hai'dao'mian
海岛藤,hai'dao'teng
海岛藤属,hai'dao'teng'shu
海岛远志,hai'dao'yuan'zhi
海岛越橘,hai'dao'yue'ju
海岛苎麻,hai'dao'zhu'ma
海地草胡椒属,hai'di'cao'hu'jiao'shu
孩儿参,hai'er'can
孩儿参属,hai'er'can'shu
孩儿草,hai'er'cao
孩儿草属,hai'er'cao'shu
海枫屯,hai'feng'tun
海芙蓉,hai'fu'rong
海红豆,hai'hong'dou
海红豆属,hai'hong'dou'shu
海壶菌科,hai'hu'jun'ke
海金沙,hai'jin'sha
海金沙科,hai'jin'sha'ke
海金沙属,hai'jin'sha'shu
海金子,hai'jin'zi
海韭菜,hai'jiu'cai
海康钩粉草,hai'kang'gou'fen'cao
海壳科,hai'ke'ke
海拉尔绣线菊,hai'la'er'xiu'xian'ju
海拉槭,hai'la'qi
海榄雌,hai'lan'ci
海榄雌科,hai'lan'ci'ke
海榄雌属,hai'lan'ci'shu
海莲,hai'lian
还亮草,hai'liang'cao
海林沙参,hai'lin'sha'shen
海伦兜兰,hai'lun'dou'lan
海马齿,hai'ma'chi
海马齿科,hai'ma'chi'ke
海马齿属,hai'ma'chi'shu
海杧果,hai'mang'guo
海杧果属,hai'mang'guo'shu
海绵杜鹃,hai'mian'du'juan
海绵基荸荠,hai'mian'ji'bi'qi
海绵基薹草,hai'mian'ji'tai'cao
海南暗罗,hai'nan'an'luo
海南巴豆,hai'nan'ba'dou
海南巴戟,hai'nan'ba'ji
海南菝葜,hai'nan'ba'qia
海南白桐树,hai'nan'bai'tong'shu
海南半边莲,hai'nan'ban'bian'lian
海南杯冠藤,hai'nan'bei'guan'teng
海南蝙蝠草,hai'nan'bian'fu'cao
海南柄果木,hai'nan'bing'guo'mu
海南菜豆树,hai'nan'cai'dou'shu
海南槽裂木,hai'nan'cao'lie'mu
海南草珊瑚,hai'nan'cao'shan'hu
海南叉柱花,hai'nan'cha'zhu'hua
海南常山,hai'nan'chang'shan
海南赪桐,hai'nan'cheng'tong
海南匙羹藤,hai'nan'chi'geng'teng
海南赤竹,hai'nan'chi'zhu
海南重楼,hai'nan'chong'lou
海南臭黄荆,hai'nan'chou'huang'jing
海南粗毛藤,hai'nan'cu'mao'teng
海南大苞兰,hai'nan'da'bao'lan
海南大风子,hai'nan'da'feng'zi
海南大戟,hai'nan'da'ji
海南大头茶,hai'nan'da'tou'cha
海南大叶白粉藤,hai'nan'da'ye'bai'fen'teng
海南地不容,hai'nan'di'bu'rong
海南地皮消,hai'nan'di'pi'xiao
海南冬青,hai'nan'dong'qing
海南杜鹃,hai'nan'du'juan
海南毒鼠子,hai'nan'du'shu'zi
海南椴,hai'nan'duan
海南短肠蕨,hai'nan'duan'chang'jue
海南短萼齿木,hai'nan'duan'e'chi'mu
海南椴属,hai'nan'duan'shu
海南盾翅藤,hai'nan'dun'chi'teng
海南鹅耳枥,hai'nan'e'er'li
海南鹅掌柴,hai'nan'e'zhang'chai
海南耳草,hai'nan'er'cao
海南凤尾蕨,hai'nan'feng'wei'jue
海南凤仙花,hai'nan'feng'xian'hua
海南凤丫蕨,hai'nan'feng'ya'jue
海南符藤蕨,hai'nan'fu'teng'jue
海南复叶耳蕨,hai'nan'fu'ye'er'jue
海南高秆莎草,hai'nan'gao'gan'suo'cao
海南割鸡芒,hai'nan'ge'ji'mang
海南哥纳香,hai'nan'ge'na'xiang
海南弓果藤,hai'nan'gong'guo'teng
海南沟瓣,hai'nan'gou'ban
海南谷木,hai'nan'gu'mu
海南栝楼,hai'nan'gua'lou
海南观音座莲,hai'nan'guan'yin'zuo'lian
海南海金沙,hai'nan'hai'jin'sha
海南海桑,hai'nan'hai'sang
海南鹤顶兰,hai'nan'he'ding'lan
海南核果木,hai'nan'he'guo'mu
海南合欢,hai'nan'he'huan
海南红豆,hai'nan'hong'dou
海南猴欢喜,hai'nan'hou'huan'xi
海南厚壳桂,hai'nan'hou'ke'gui
海南厚壳树,hai'nan'hou'ke'shu
海南厚皮香,hai'nan'hou'pi'xiang
海南虎刺,hai'nan'hu'ci
海南蝴蝶兰,hai'nan'hu'die'lan
海南画眉草,hai'nan'hua'mei'cao
海南黄,hai'nan'huang
海南黄皮,hai'nan'huang'pi
海南黄芩,hai'nan'huang'qin
海南幌伞枫,hai'nan'huang'san'feng
海南黄檀,hai'nan'huang'tan
海南黄杨,hai'nan'huang'yang
海南火麻树,hai'nan'huo'ma'shu
海南假瘤蕨,hai'nan'jia'liu'jue
海南假脉蕨,hai'nan'jia'mai'jue
海南荚蒾,hai'nan'jia'mi
海南假砂仁,hai'nan'jia'sha'ren
海南假韶子,hai'nan'jia'shao'zi
海南樫木,hai'nan'jian'mu
海南箭竹,hai'nan'jian'zhu
海南胶核木,hai'nan'jiao'he'mu
海南节毛蕨,hai'nan'jie'mao'jue
海南荩草,hai'nan'jin'cao
海南金锦香,hai'nan'jin'jin'xiang
海南锦香草,hai'nan'jin'xiang'cao
海南金星蕨,hai'nan'jin'xing'jue
海南九节,hai'nan'jiu'jie
海南蒟,hai'nan'ju
海南卷柏,hai'nan'juan'bai
海南兰花蕉,hai'nan'lan'hua'jiao
海南榄仁,hai'nan'lan'ren
海南肋毛蕨,hai'nan'lei'mao'jue
海南冷水花,hai'nan'leng'shui'hua
海南里白,hai'nan'li'bai
海南黧豆,hai'nan'li'dou
海南镰扁豆,hai'nan'lian'bian'dou
海南链珠藤,hai'nan'lian'zhu'teng
海南林地苋,hai'nan'lin'di'xian
海南鳞盖蕨,hai'nan'lin'gai'jue
海南鳞花草,hai'nan'lin'hua'cao
海南柃,hai'nan'ling
海南留萼木,hai'nan'liu'e'mu
海南流苏树,hai'nan'liu'su'shu
海南柳叶箬,hai'nan'liu'ye'ruo
海南龙船花,hai'nan'long'chuan'hua
海南龙血树,hai'nan'long'xue'shu
海南鹿角藤,hai'nan'lu'jiao'teng
海南罗汉松,hai'nan'luo'han'song
海南螺序草,hai'nan'luo'xu'cao
海南马兜铃,hai'nan'ma'dou'ling
海南马唐,hai'nan'ma'tang
海南买麻藤,hai'nan'mai'ma'teng
海南毛蕨,hai'nan'mao'jue
海南锚柱兰,hai'nan'mao'zhu'lan
海南美登木,hai'nan'mei'deng'mu
海南玫瑰木,hai'nan'mei'gui'mu
海南牡蒿,hai'nan'mu'hao
海南木姜子,hai'nan'mu'jiang'zi
海南木茎香草,hai'nan'mu'jing'xiang'cao
海南木莲,hai'nan'mu'lian
海南木樨榄,hai'nan'mu'xi'lan
海南牛齿兰,hai'nan'niu'chi'lan
海南牛奶菜,hai'nan'niu'nai'cai
海南盆距兰,hai'nan'pen'ju'lan
海南飘拂草,hai'nan'piao'fu'cao
海南苹婆,hai'nan'ping'po
海南破布叶,hai'nan'po'bu'ye
海南蒲儿根,hai'nan'pu'er'gen
海南蒲桃,hai'nan'pu'tao
海南千斤拔,hai'nan'qian'jin'ba
海南千年健,hai'nan'qian'nian'jian
海南茄,hai'nan'qie
海南青牛胆,hai'nan'qing'niu'dan
海南琼楠,hai'nan'qiong'nan
海南秋海棠,hai'nan'qiu'hai'tang
海南秋英爵床,hai'nan'qiu'ying'jue'chuang
海南雀舌木,hai'nan'que'she'mu
海南染木树,hai'nan'ran'mu'shu
海南荛花,hai'nan'rao'hua
海南忍冬,hai'nan'ren'dong
海南蕊木,hai'nan'rui'mu
海南赛爵床,hai'nan'sai'jue'chuang
海南三角瓣花,hai'nan'san'jiao'ban'hua
海南三七,hai'nan'san'qi
海南桑叶草,hai'nan'sang'ye'cao
海南砂仁,hai'nan'sha'ren
海南山矾,hai'nan'shan'fan
海南山胡椒,hai'nan'shan'hu'jiao
海南山姜,hai'nan'shan'jiang
海南山龙眼,hai'nan'shan'long'yan
海南山麻秆,hai'nan'shan'ma'gan
海南山牵牛,hai'nan'shan'qian'niu
海南山小橘,hai'nan'shan'xiao'ju
海南山猪菜,hai'nan'shan'zhu'cai
海南韶子,hai'nan'shao'zi
海南蛇根草,hai'nan'she'gen'cao
海南深红鸡脚参,hai'nan'shen'hong'ji'jiao'can
海南深裂鳞始蕨,hai'nan'shen'lie'lin'shi'jue
海南柿,hai'nan'shi
海南石豆兰,hai'nan'shi'dou'lan
海南石斛,hai'nan'shi'hu
海南薯,hai'nan'shu
海南树参,hai'nan'shu'can
海南书带蕨,hai'nan'shu'dai'jue
海南鼠李,hai'nan'shu'li
海南双盖蕨,hai'nan'shuang'gai'jue
海南水虎尾,hai'nan'shui'hu'wei
海南水锦树,hai'nan'shui'jin'shu
海南苏铁,hai'nan'su'tie
海南藤春,hai'nan'teng'chun
海南藤芋,hai'nan'teng'yu
海南蹄盖蕨,hai'nan'ti'gai'jue
海南条蕨,hai'nan'tiao'jue
海南铁角蕨,hai'nan'tie'jiao'jue
海南铁苋菜,hai'nan'tie'xian'cai
海南铁线莲,hai'nan'tie'xian'lian
海南同心结,hai'nan'tong'xin'jie
海南挖耳草,hai'nan'wa'er'cao
海南瓦韦,hai'nan'wa'wei
海南万寿竹,hai'nan'wan'shou'zhu
海南网蕨,hai'nan'wang'jue
海南卫矛,hai'nan'wei'mao
海南五层龙,hai'nan'wu'ceng'long
海南乌口树,hai'nan'wu'kou'shu
海南梧桐,hai'nan'wu'tong
海南五月茶,hai'nan'wu'yue'cha
海南五针松,hai'nan'wu'zhen'song
海南腺萼木,hai'nan'xian'e'mu
海南线果兜铃,hai'nan'xian'guo'dou'ling
海南香花藤,hai'nan'xiang'hua'teng
海南新木姜子,hai'nan'xin'mu'jiang'zi
海南新樟,hai'nan'xin'zhang
海南雪花,hai'nan'xue'hua
海南蕈树,hai'nan'xun'shu
海南崖豆藤,hai'nan'ya'dou'teng
海南崖爬藤,hai'nan'ya'pa'teng
海南烟斗柯,hai'nan'yan'dou'ke
海南羊蹄甲,hai'nan'yang'ti'jia
海南杨桐,hai'nan'yang'tong
海南野扇花,hai'nan'ye'shan'hua
海南叶下珠,hai'nan'ye'xia'zhu
海南翼核果,hai'nan'yi'he'guo
海南油杉,hai'nan'you'shan
海南鱼藤,hai'nan'yu'teng
海南玉叶金花,hai'nan'yu'ye'jin'hua
海南远志,hai'nan'yuan'zhi
海南越橘,hai'nan'yue'ju
海南沼兰,hai'nan'zhao'lan
海南蜘蛛抱蛋,hai'nan'zhi'zhu'bao'dan
海南栀子,hai'nan'zhi'zi
海南柊叶,hai'nan'zhong'ye
海南轴榈,hai'nan'zhou'lv
海南轴脉蕨,hai'nan'zhou'mai'jue
海南蛛毛苣苔,hai'nan'zhu'mao'ju'tai
海南猪屎豆,hai'nan'zhu'shi'dou
海南砖子蕾,hai'nan'zhuan'zi'lei
海南锥,hai'nan'zhui
海南锥花,hai'nan'zhui'hua
海南紫荆木,hai'nan'zi'jing'mu
海南子楝树,hai'nan'zi'lian'shu
海南钻喙兰,hai'nan'zuan'hui'lan
海南醉魂藤,hai'nan'zui'hun'teng
海葡萄,hai'pu'tao
海葡萄属,hai'pu'tao'shu
海漆,hai'qi
海漆属,hai'qi'shu
海牵牛,hai'qian'niu
海茜树,hai'qian'shu
海茜树属,hai'qian'shu'shu
海蔷薇属,hai'qiang'wei'shu
海雀稗,hai'que'bai
海人树,hai'ren'shu
海人树科,hai'ren'shu'ke
海人树属,hai'ren'shu'shu
海乳草,hai'ru'cao
海乳草属,hai'ru'cao'shu
海桑,hai'sang
海桑科,hai'sang'ke
海桑属,hai'sang'shu
海石竹,hai'shi'zhu
海石竹属,hai'shi'zhu'shu
海台白点兰,hai'tai'bai'dian'lan
海檀木,hai'tan'mu
海檀木属,hai'tan'mu'shu
海棠花,hai'tang'hua
海棠叶报春,hai'tang'ye'bao'chun
海棠叶蜂斗草,hai'tang'ye'feng'dou'cao
海棠越橘,hai'tang'yue'ju
海桐,hai'tong
海通,hai'tong
海桐花科,hai'tong'hua'ke
海桐花属,hai'tong'hua'shu
海桐山矾,hai'tong'shan'fan
海桐叶白英,hai'tong'ye'bai'ying
海桐叶柃,hai'tong'ye'ling
海桐叶木姜子,hai'tong'ye'mu'jiang'zi
海桐状香草,hai'tong'zhuang'xiang'cao
海瓦菊,hai'wa'ju
海瓦菊属,hai'wa'ju'shu
海仙报春,hai'xian'bao'chun
海仙花,hai'xian'hua
海罂粟,hai'ying'su
海罂粟属,hai'ying'su'shu
海芋,hai'yu
海芋属,hai'yu'shu
海枣,hai'zao
海州常山,hai'zhou'chang'shan
海州香薷,hai'zhou'xiang'ru
海竹,hai'zhu
海缀属,hai'zhui'shu
海子山老牛筋,hai'zi'shan'lao'niu'jin
旱霸王科,han'ba'wang'ke
旱霸王属,han'ba'wang'shu
汉白杨,han'bai'yang
含苞草,han'bao'cao
含苞草属,han'bao'cao'shu
蔊菜,han'cai
蔊菜属,han'cai'shu
蔊菜叶马先蒿,han'cai'ye'ma'xian'hao
汉城细辛,han'cheng'xi'xin
汉城蝇子草,han'cheng'ying'zi'cao
旱垂柳,han'chui'liu
寒地报春,han'di'bao'chun
寒地景天,han'di'jing'tian
旱地木槿,han'di'mu'jin
寒丁子属,han'ding'zi'shu
旱杜根藤,han'du'gen'teng
旱禾,han'he
旱禾属,han'he'shu
汉荭鱼腥草,han'hong'yu'xing'cao
寒金菊属,han'jin'ju'shu
旱金莲,han'jin'lian
旱金莲科,han'jin'lian'ke
旱金莲木科,han'jin'lian'mu'ke
旱金莲属,han'jin'lian'shu
寒金盏花属,han'jin'zhan'hua'shu
旱蕨,han'jue
旱蕨属,han'jue'shu
旱快柳,han'kuai'liu
寒兰,han'lan
寒莲菀,han'lian'wan
寒莲菀属,han'lian'wan'shu
旱柳,han'liu
旱麦草,han'mai'cao
旱麦草属,han'mai'cao'shu
旱茅,han'mao
旱茅属,han'mao'shu
寒莓,han'mei
汉密悬钩子,han'mi'xuan'gou'zi
汉姆氏马先蒿,han'mu'shi'ma'xian'hao
寒蓬属,han'peng'shu
旱芹,han'qin
旱雀豆属,han'que'dou'shu
旱雀麦,han'que'mai
寒绒菊属,han'rong'ju'shu
旱生丛菔,han'sheng'cong'fu
旱生大花蝇子草,han'sheng'da'hua'ying'zi'cao
旱生点地梅,han'sheng'dian'di'mei
寒生耳蕨,han'sheng'er'jue
旱生红腺蕨,han'sheng'hong'xian'jue
旱生黄芪,han'sheng'huang'qi
旱生韭,han'sheng'jiu
旱生卷柏,han'sheng'juan'bai
旱生南星,han'sheng'nan'xing
寒生蒲公英,han'sheng'pu'gong'ying
旱生溲疏,han'sheng'sou'shu
旱生无心菜,han'sheng'wu'xin'cai
旱生香茶菜,han'sheng'xiang'cha'cai
寒生羊茅,han'sheng'yang'mao
旱黍草,han'shu'cao
旱田草,han'tian'cao
寒菀属,han'wan'shu
寒藓科,han'xian'ke
含笑花,han'xiao'hua
含笑属,han'xiao'shu
韩信草,han'xin'cao
含羞草,han'xiu'cao
含羞草决明,han'xiu'cao'jue'ming
含羞草科,han'xiu'cao'ke
含羞草属,han'xiu'cao'shu
含羞云实,han'xiu'yun'shi
旱叶草,han'ye'cao
旱叶草科,han'ye'cao'ke
旱叶草属,han'ye'cao'shu
旱莠竹属,han'you'zhu'shu
旱榆,han'yu
寒原荠属,han'yuan'ji'shu
汉源小檗,han'yuan'xiao'bo
寒竹,han'zhu
寒竹属,han'zhu'shu
杭爱龙蒿,hang'ai'long'hao
杭白芷,hang'bai'zhi
杭蓟,hang'ji
杭州景天,hang'zhou'jing'tian
杭州苦竹,hang'zhou'ku'zhu
杭州鳞毛蕨,hang'zhou'lin'mao'jue
杭州石荠苎,hang'zhou'shi'ji'zhu
杭州榆,hang'zhou'yu
杭子梢,hang'zi'shao
杭子梢属,hang'zi'shao'shu
浩罕彩花,hao'han'cai'hua
号角花,hao'jiao'hua
号角花属,hao'jiao'hua'shu
号角树,hao'jiao'shu
号角树科,hao'jiao'shu'ke
号角树属,hao'jiao'shu'shu
蒿蕨,hao'jue
豪爵千里光,hao'jue'qian'li'guang
豪爵千里光属,hao'jue'qian'li'guang'shu
蒿蕨属,hao'jue'shu
豪爵棕,hao'jue'zong
豪爵棕属,hao'jue'zong'shu
蒿柳,hao'liu
蒿绒草,hao'rong'cao
蒿绒草属,hao'rong'cao'shu
蒿属,hao'shu
豪斯库木属,hao'si'ku'mu'shu
蒿菀属,hao'wan'shu
好望角火把树,hao'wang'jiao'huo'ba'shu
好望角苣苔属,hao'wang'jiao'ju'tai'shu
蒿叶马先蒿,hao'ye'ma'xian'hao
蒿叶猪毛菜,hao'ye'zhu'mao'cai
貉藻,hao'zao
貉藻属,hao'zao'shu
豪猪刺,hao'zhu'ci
豪猪花,hao'zhu'hua
豪猪花属,hao'zhu'hua'shu
蒿状大戟,hao'zhuang'da'ji
蒿子秆,hao'zi'gan
河岸鼠刺,he'an'shu'ci
河岸阴山荠,he'an'yin'shan'ji
河坝吊灯花,he'ba'diao'deng'hua
河八王,he'ba'wang
河八王属,he'ba'wang'shu
褐斑虎耳草,he'ban'hu'er'cao
合瓣莲科,he'ban'lian'ke
合瓣莲属,he'ban'lian'shu
合瓣鹿药,he'ban'lu'yao
褐斑苜蓿,he'ban'mu'xu
褐斑南星,he'ban'nan'xing
合瓣樟,he'ban'zhang
合瓣樟属,he'ban'zhang'shu
合苞唇柱苣苔,he'bao'chun'zhu'ju'tai
荷包地不容,he'bao'di'bu'rong
荷包豆,he'bao'dou
褐苞蒿,he'bao'hao
荷包花,he'bao'hua
荷包花科,he'bao'hua'ke
荷包花属,he'bao'hua'shu
荷包蕨属,he'bao'jue'shu
荷包牡丹,he'bao'mu'dan
荷包牡丹属,he'bao'mu'dan'shu
合苞蓬属,he'bao'peng'shu
褐苞三肋果,he'bao'san'lei'guo
荷包山桂花,he'bao'shan'gui'hua
褐苞蓍,he'bao'shi
褐苞薯蓣,he'bao'shu'yu
荷包藤,he'bao'teng
荷包藤属,he'bao'teng'shu
合苞铁线莲,he'bao'tie'xian'lian
合苞橐吾,he'bao'tuo'wu
合苞挖耳草,he'bao'wa'er'cao
河北白喉乌头,he'bei'bai'hou'wu'tou
合被虫实属,he'bei'chong'shi'shu
河北娥眉蕨,he'bei'e'mei'jue
河北葛缕子,he'bei'ge'lv'zi
河北红门兰,he'bei'hong'men'lan
河北假报春,he'bei'jia'bao'chun
河北堇菜,he'bei'jin'cai
合被韭,he'bei'jiu
合杯菊属,he'bei'ju'shu
合被藜,he'bei'li
河北栎,he'bei'li
河北梨,he'bei'li
河北柳,he'bei'liu
褐背柳,he'bei'liu
河北毛白杨,he'bei'mao'bai'yang
河北木蓝,he'bei'mu'lan
河北婆婆纳,he'bei'po'po'na
褐背蒲桃,he'bei'pu'tao
河北山梅花,he'bei'shan'mei'hua
合被商陆属,he'bei'shang'lu'shu
河北石头花,he'bei'shi'tou'hua
河北薹草,he'bei'tai'cao
合被藤属,he'bei'teng'shu
河北铁角蕨,he'bei'tie'jiao'jue
河北橐吾,he'bei'tuo'wu
合被苋,he'bei'xian
河北杨,he'bei'yang
禾本科,he'ben'ke
和闭脉斑果藤,he'bi'mai'ban'guo'teng
河边杜鹃,he'bian'du'juan
河边龙胆,he'bian'long'dan
河边毛蕨,he'bian'mao'jue
河边千斤拔,he'bian'qian'jin'ba
褐柄短肠蕨,he'bing'duan'chang'jue
褐柄合耳菊,he'bing'he'er'ju
褐柄剑蕨,he'bing'jian'jue
合柄铁线莲,he'bing'tie'xian'lian
和布克塞尔青兰,he'bu'ke'sai'er'qing'lan
鹤草,he'cao
河池唇柱苣苔,he'chi'chun'zhu'ju'tai
河池胡椒,he'chi'hu'jiao
河池楼梯草,he'chi'lou'ti'cao
河池毛蕨,he'chi'mao'jue
褐翅猪毛菜,he'chi'zhu'mao'cai
禾串树,he'chuan'shu
褐点金腰,he'dian'jin'yao
鹤顶兰,he'ding'lan
鹤顶兰属,he'ding'lan'shu
合萼半蒴苣苔,he'e'ban'shuo'ju'tai
合萼丛菔,he'e'cong'fu
合萼吊石苣苔,he'e'diao'shi'ju'tai
合萼兰,he'e'lan
合萼兰属,he'e'lan'shu
合萼肋柱花,he'e'lei'zhu'hua
合萼漏斗苣苔,he'e'lou'dou'ju'tai
合耳菊,he'er'ju
合耳菊属,he'er'ju'shu
合耳委陵菜,he'er'wei'ling'cai
合肥小巢菜,he'fei'xiao'chao'cai
鹤峰唇柱苣苔,he'feng'chun'zhu'ju'tai
和丰翠雀花,he'feng'cui'que'hua
鹤峰铁线莲,he'feng'tie'xian'lian
鹤甫碱茅,he'fu'jian'mao
禾秆旱蕨,he'gan'han'jue
禾秆金星蕨,he'gan'jin'xing'jue
禾秆亮毛蕨,he'gan'liang'mao'jue
禾秆薹草,he'gan'tai'cao
禾秆蹄盖蕨,he'gan'ti'gai'jue
禾秆紫柄蕨,he'gan'zi'bing'jue
河谷地不容,he'gu'di'bu'rong
河谷风毛菊,he'gu'feng'mao'ju
河谷南星,he'gu'nan'xing
褐冠蓟,he'guan'ji
合冠菊属,he'guan'ju'shu
褐冠小苦荬,he'guan'xiao'ku'mai
核果茶属,he'guo'cha'shu
核果桦,he'guo'hua
核果桦科,he'guo'hua'ke
核果桦属,he'guo'hua'shu
核果尖苞木,he'guo'jian'bao'mu
核果尖苞木属,he'guo'jian'bao'mu'shu
合果景天,he'guo'jing'tian
核果菊,he'guo'ju
核果菊属,he'guo'ju'shu
合果木,he'guo'mu
核果木,he'guo'mu
合果木属,he'guo'mu'shu
核果木属,he'guo'mu'shu
核果茄科,he'guo'qie'ke
褐果水马齿,he'guo'shui'ma'chi
褐果薹草,he'guo'tai'cao
鹤果薹草,he'guo'tai'cao
盒果藤,he'guo'teng
盒果藤属,he'guo'teng'shu
合果芋,he'guo'yu
合果芋属,he'guo'yu'shu
褐果枣,he'guo'zao
合核冬青,he'he'dong'qing
褐红脉薹草,he'hong'mai'tai'cao
褐花灯芯草,he'hua'deng'xin'cao
荷花柳,he'hua'liu
褐花鹿药,he'hua'lu'yao
褐花雪莲,he'hua'xue'lian
褐花羊耳蒜,he'hua'yang'er'suan
荷花玉兰,he'hua'yu'lan
荷花掌,he'hua'zhang
合欢,he'huan
合欢草,he'huan'cao
合欢草属,he'huan'cao'shu
合欢柳叶菜,he'huan'liu'ye'cai
合欢盆距兰,he'huan'pen'ju'lan
合欢山蹄盖蕨,he'huan'shan'ti'gai'jue
合欢属,he'huan'shu
褐黄鳞薹草,he'huang'lin'tai'cao
