爱听的不是,ai'ting'de'bu'shi
法家的历史哲学,fa'jia'de'li'shi'zhe'xue
法家的历史哲学观,fa'jia'de'li'shi'zhe'xue'guan
法家的误解,fa'jia'de'wu'jie
法家发展历史,fa'jia'fa'zhan'li'shi
法家分三派,fa'jia'fen'san'pai
法家是,fa'jia'shi
法家思想,fa'jia'si'xiang
法家学派,fa'jia'xue'pai
法家主张,fa'jia'zhu'zhang
法律和威势,fa'lv'he'wei'shi
法律与规章制度,fa'lv'yu'gui'zhang'zhi'du
法者,fa'zhe
方术之士,fang'shu'zhi'shi
非立德,fei'li'de
非以德,fei'yi'de
封建社会礼里,feng'jian'she'hui'li'li
封建专制主义,feng'jian'zhuan'zhi'zhu'yi
夫圣人之治国,fu'sheng'ren'zhi'zhi'guo
感化民众,gan'hua'min'zhong
高于当代人民,gao'yu'dang'dai'ren'min
各国君王,ge'guo'jun'wang
各国领导人,ge'guo'ling'dao'ren
革命的观点,ge'ming'de'guan'dian
各派都,ge'pai'dou
个人接触,ge'ren'jie'chu
各有不同,ge'you'bu'tong
各种社会关系,ge'zhong'she'hui'guan'xi
更古老的圣王,geng'gu'lao'de'sheng'wang
耕耘种地,geng'yun'zhong'di
更早几百年,geng'zao'ji'bai'nian
故不务德而务法,gu'bu'wu'de'er'wu'fa
鼓吹的,gu'chui'de
古代的人民,gu'dai'de'ren'min
古代人民,gu'dai'ren'min
故民不争,gu'min'bu'zheng
故民争,gu'min'zheng
归本于黄老,gui'ben'yu'huang'lao
国君之子,guo'jun'zhi'zi
过去经验,guo'qu'jing'yan
韩非,han'fei
韩非子,han'fei'zi
韩非子曾对,han'fei'zi'ceng'dui
韩非子认为,han'fei'zi'ren'wei
韩非子之前,han'fei'zi'zhi'qian
韩国公子,han'guo'gong'zi
韩国人,han'guo'ren
韩愈等,han'yu'deng
韩子,han'zi
和个人关系,he'ge'ren'guan'xi
和小贵族,he'xiao'gui'zu
和周公,he'zhou'gong
很少外出旅行,hen'shao'wai'chu'lv'xing
黄老之法,huang'lao'zhi'fa
集大成者,ji'da'cheng'zhe
即权力,ji'quan'li
极权主义的,ji'quan'zhu'yi'de
兼称霸力,jian'cheng'ba'li
皆帝王之具也,jie'di'wang'zhi'ju'ye
解决当前的,jie'jue'dang'qian'de
皆守株之类也,jie'shou'zhu'zhi'lei'ye
今河南省新郑,jin'he'nan'sheng'xin'zheng
今人有五子不为多,jin'ren'you'wu'zi'bu'wei'duo
今欲以先王之政,jin'yu'yi'xian'wang'zhi'zheng
经济实力,jing'ji'shi'li
境内不什数,jing'nei'bu'shen'shu
就想过去,jiu'xiang'guo'qu
就需要中央集权,jiu'xu'yao'zhong'yang'ji'quan
据此推论,ju'ci'tui'lun
举贤能,ju'xian'neng
君臣自正,jun'chen'zi'zheng
君王的各种问题,jun'wang'de'ge'zhong'wen'ti
君王驾驭人时,jun'wang'jia'yu'ren'shi
君王拥有威严,jun'wang'yong'you'wei'yan
君王治国,jun'wang'zhi'guo
君主当执术无刑,jun'zhu'dang'zhi'shu'wu'xing
可是都过于理想化,ke'shi'dou'guo'yu'li'xiang'hua
可以惩罚,ke'yi'cheng'fa
可以得到印证,ke'yi'de'dao'yin'zheng
可以奖赏,ke'yi'jiang'shang
可以依循,ke'yi'yi'xun
孔子喜欢,kong'zi'xi'huan
来督促,lai'du'cu
来维持,lai'wei'chi
来源于中国,lai'yuan'yu'zhong'guo
来支持自己,lai'zhi'chi'zi'ji
礼和刑,li'he'xing
理论称为,li'lun'cheng'wei
理论和方法,li'lun'he'fang'fa
理论依据,li'lun'yi'ju
历史的舞台,li'shi'de'wu'tai
历史退化观,li'shi'tui'hua'guan
历史在逐渐退化,li'shi'zai'zhu'jian'tui'hua
李斯,li'si
力图解决,li'tu'jie'jue
令出如山,ling'chu'ru'shan
令人无法捉摸,ling'ren'wu'fa'zhuo'mo
论世之事,lun'shi'zhi'shi
每个时代,mei'ge'shi'dai
没有直接关系,mei'you'zhi'jie'guan'xi
孟子为,meng'zi'wei
面对这样的形势,mian'dui'zhe'yang'de'xing'shi
民众的安居乐业,min'zhong'de'an'ju'le'ye
明君如天,ming'jun'ru'tian
墨家等,mo'jia'deng
墨子与,mo'zi'yu
能动性,neng'dong'xing
能凌驾墨家之上,neng'ling'jia'mo'jia'zhi'shang
农民通常,nong'min'tong'chang
农民种地,nong'min'zhong'di
迫使庶民服从,po'shi'shu'min'fu'cong
其责深刻,qi'ze'shen'ke
强大国家军事,qiang'da'guo'jia'jun'shi
强化国家的统治,qiang'hua'guo'jia'de'tong'zhi
秦王政十四年,qin'wang'zheng'shi'si'nian
请出伏曦,qing'chu'fu'xi
清简无为,qing'jian'wu'wei
权利原则,quan'li'yuan'ze
权威周文王,quan'wei'zhou'wen'wang
人的拯救,ren'de'zheng'jiu
人类社会的黄金时代在过去,ren'lei'she'hui'de'huang'jin'shi'dai'zai'guo'qu
人民少而财有余,ren'min'shao'er'cai'you'yu
人人不作恶,ren'ren'bu'zuo'e
人人为善,ren'ren'wei'shan
认为他们,ren'wei'ta'men
人性趋利避害,ren'xing'qu'li'bi'hai
儒家和墨家,ru'jia'he'mo'jia
儒家学派,ru'jia'xue'pai
儒家争辩,ru'jia'zheng'bian
儒墨之道,ru'mo'zhi'dao
儒学大师,ru'xue'da'shi
弱肉强食的,ruo'rou'qiang'shi'de
三家的这种观念,san'jia'de'zhe'zhong'guan'nian
三十五年,san'shi'wu'nian
散文家,san'wen'jia
善于著述,shan'yu'zhu'shu
商鞅,shang'yang
商鞅也提过,shang'yang'ye'ti'guo
社会各阶层,she'hui'ge'jie'ceng
社会金字塔,she'hui'jin'zi'ta
设之于官府,she'zhi'yu'guan'fu
申不害,shen'bu'hai
慎到,shen'dao
慎到为首,shen'dao'wei'shou
神农等三皇五帝,shen'nong'deng'san'huang'wu'di
生活在,sheng'huo'zai
圣人治国,sheng'ren'zhi'guo
事力劳而供养薄,shi'li'lao'er'gong'yang'bo
是两项,shi'liang'xiang
是农民,shi'nong'min
恃人之为吾善也,shi'ren'zhi'wei'wu'shan'ye
世事变而行道异也,shi'shi'bian'er'xing'dao'yi'ye
是以人民众而货财寡,shi'yi'ren'min'zhong'er'huo'cai'gua
是以圣人不期修古,shi'yi'sheng'ren'bu'qi'xiu'gu
是约束,shi'yue'shu
守株待兔的故事,shou'zhu'dai'tu'de'gu'shi
顺服王法,shun'fu'wang'fa
思想主张,si'xiang'zhu'zhang
虽然思想主张,sui'ran'si'xiang'zhu'zhang
所束缚,suo'shu'fu
所造成的,suo'zao'cheng'de
他们认为,ta'men'ren'wei
提供理论依据,ti'gong'li'lun'yi'ju
天道鬼神,tian'dao'gui'shen
通过赏罚,tong'guo'shang'fa
统治方略,tong'zhi'fang'lue
完全是一种全新,wan'quan'shi'yi'zhong'quan'xin
往往援引尧舜,wang'wang'yuan'yin'yao'shun
未必普遍,wei'bi'pu'bian
违法之人,wei'fa'zhi'ren
为他们,wei'ta'men
为治者用众而舍寡,wei'zhi'zhe'yong'zhong'er'she'gua
物质条件的低下,wu'zhi'tiao'jian'de'di'xia
喜刑名法术之学,xi'xing'ming'fa'shu'zhi'xue
西周封建社会,xi'zhou'feng'jian'she'hui
下级诸侯,xia'ji'zhu'hou
先秦各,xian'qin'ge
现实地,xian'shi'de
相对于其他,xiang'dui'yu'qi'ta
刑名,xing'ming
刑名法术之学,xing'ming'fa'shu'zhi'xue
许多哲学家,xu'duo'zhe'xue'jia
荀卿,xun'qing
荀子,xun'zi
严峻的国际形势,yan'jun'de'guo'ji'xing'shi
以法治民,yi'fa'zhi'min
一国可使齐,yi'guo'ke'shi'qi
依靠的,yi'kao'de
一派以,yi'pai'yi
一派以商鞅为首,yi'pai'yi'shang'yang'wei'shou
一派以申不害为首,yi'pai'yi'shen'bu'hai'wei'shou
依循过去经验的,yi'xun'guo'qu'jing'yan'de
一种共同点,yi'zhong'gong'tong'dian
因此只能,yin'ci'zhi'neng
因为之备,yin'wei'zhi'bei
因循以督责臣下,yin'xun'yi'du'ze'chen'xia
应着眼于,ying'zhuo'yan'yu
用人不得为非,yong'ren'bu'de'wei'fei
拥有权势,yong'you'quan'shi
有较大的影响,you'jiao'da'de'ying'xiang
有什么经验,you'shen'me'jing'yan
有一些人,you'yi'xie'ren
有一种对,you'yi'zhong'dui
遇到新事,yu'dao'xin'shi
与普通百姓,yu'pu'tong'bai'xing
与威势,yu'wei'shi
援引比周文王周公更古老的夏禹,yuan'yin'bi'zhou'wen'wang'zhou'gong'geng'gu'lao'de'xia'yu
援引古代,yuan'yin'gu'dai
原有的僵硬界限,yuan'you'de'jiang'ying'jie'xian
在西周,zai'xi'zhou
则是一些,ze'shi'yi'xie
怎样谋求,zen'yang'mou'qiu
战国末年,zhan'guo'mo'nian
战国七雄之中,zhan'guo'qi'xiong'zhi'zhong
战国时,zhan'guo'shi
这对后世,zhe'dui'hou'shi
这就构成了,zhe'jiu'gou'cheng'le
这就是三家的,zhe'jiu'shi'san'jia'de
这是徒劳的,zhe'shi'tu'lao'de
哲学流派,zhe'xue'liu'pai
哲学流派中,zhe'xue'liu'pai'zhong
这在春秋五霸,zhe'zai'chun'qiu'wu'ba
针对贵族,zhen'dui'gui'zu
针对普通百姓,zhen'dui'pu'tong'bai'xing
政论家,zheng'lun'jia
政论文,zheng'lun'wen
政治权术,zheng'zhi'quan'shu
政治思想,zheng'zhi'si'xiang
政治与,zheng'zhi'yu
政治主张,zheng'zhi'zhu'zhang
治当世之民,zhi'dang'shi'zhi'min
制定法律,zhi'ding'fa'lv
执法公正,zhi'fa'gong'zheng
治国方术之中,zhi'guo'fang'shu'zhi'zhong
之间的交往称为,zhi'jian'de'jiao'wang'cheng'wei
只是当时,zhi'shi'dang'shi
只需凭借,zhi'xu'ping'jie
只需掌握,zhi'xu'zhang'wo
中国古代,zhong'guo'gu'dai
中国人大多,zhong'guo'ren'da'duo
周赧王,zhou'nan'wang
诸侯都,zhu'hou'dou
诸侯国,zhu'hou'guo
逐渐被打破,zhu'jian'bei'da'po
著名的,zhu'ming'de
主要依靠,zhu'yao'yi'kao
主张法学,zhu'zhang'fa'xue
主张在,zhu'zhang'zai
着力于执法,zhuo'li'yu'zhi'fa
自古代的,zi'gu'dai'de
子又有五子,zi'you'you'wu'zi
卒于,zu'yu
组织领导,zu'zhi'ling'dao
最后出现,zui'hou'chu'xian
最为重要,zui'wei'zhong'yao
尊王道,zun'wang'dao
做了评价,zuo'le'ping'jia
