艾慈灸,ai'ci'jiu
待诊断明确后进一步治疗,dai'zhen'duan'ming'que'hou'jin'yi'bu'zhi'liao
带状,dai'zhuang
蛋白质,dan'bai'zhi
但常有,dan'chang'you
胆固醇,dan'gu'chun
胆管,dan'guan
胆红素,dan'hong'su
胆绞痛,dan'jiao'tong
胆囊切除术,dan'nang'qie'chu'shu
胆囊未触及,dan'nang'wei'chu'ji
单眼,dan'yan
胆汁酸,dan'zhi'suan
党办,dang'ban
当地门诊,dang'di'men'zhen
导管,dao'guan
盗汗,dao'han
导尿,dao'niao
导尿管,dao'niao'guan
导尿术,dao'niao'shu
刀片,dao'pian
等长收缩,deng'chang'shou'suo
等动作,deng'dong'zuo
等疾病治疗,deng'ji'bing'zhi'liao
等检查,deng'jian'cha
等药物,deng'yao'wu
等张收缩,deng'zhang'shou'suo
等治疗,deng'zhi'liao
等治疗后,deng'zhi'liao'hou
敌百虫,di'bai'chong
敌敌畏,di'di'wei
低分子肝素钙,di'fen'zi'gan'su'gai
低钾血症,di'jia'xue'zheng
低流量给氧,di'liu'liang'gei'yang
低颅压性头痛,di'lu'ya'xing'tou'tong
低密度脂蛋白,di'mi'du'zhi'dan'bai
低密度脂蛋白胆固醇,di'mi'du'zhi'dan'bai'dan'gu'chun
低热,di're
滴数,di'shu
低危组,di'wei'zu
滴眼剂,di'yan'ji
低张性缺氧,di'zhang'xing'que'yang
碘酊,dian'ding
淀粉酶,dian'fen'mei
碘伏,dian'fu
电击痛,dian'ji'tong
电解质紊乱,dian'jie'zhi'wen'luan
电疗,dian'liao
癫痫,dian'xian
酊剂,ding'ji
冻疮,dong'chuang
动脉硬化,dong'mai'ying'hua
动脉粥样硬化,dong'mai'zhou'yang'ying'hua
动作缓慢,dong'zuo'huan'man
动作较缓慢,dong'zuo'jiao'huan'man
窦房结,dou'fang'jie
渎职,du'zhi
端坐呼吸,duan'zuo'hu'xi
端坐位,duan'zuo'wei
对称性,dui'chen'xing
对光反射迟钝,dui'guang'fan'she'chi'dun
对光反射灵敏,dui'guang'fan'she'ling'min
对光反射消失,dui'guang'fan'she'xiao'shi
对光反射正常,dui'guang'fan'she'zheng'chang
对症,dui'zheng
对症治疗,dui'zheng'zhi'liao
钝痛,dun'tong
多次在,duo'ci'zai
多发性,duo'fa'xing
多见,duo'jian
多见于,duo'jian'yu
多见于中老年人,duo'jian'yu'zhong'lao'nian'ren
多毛症,duo'mao'zheng
多梦,duo'meng
多尿,duo'niao
多为,duo'wei
恶病质,e'bing'zhi
额部,e'bu
恶梦,e'meng
呃逆,e'ni
额纹,e'wen
恶心,e'xin
恶性病变,e'xing'bing'bian
恶液质,e'ye'zhi
耳鼻喉科,er'bi'hou'ke
耳闭塞感,er'bi'se'gan
耳垢,er'gou
二级护理,er'ji'hu'li
二甲医院,er'jia'yi'yuan
儿科,er'ke
耳廓,er'kuo
二联律,er'lian'lv
耳聋,er'long
耳鸣,er'ming
二羟丙茶碱,er'qiang'bing'cha'jian
耳痛,er'tong
发绀,fa'gan
发冷,fa'leng
发热,fa're
发热反应,fa're'fan'ying
发烧,fa'shao
发生,fa'sheng
发育正常,fa'yu'zheng'chang
发作性睡病,fa'zuo'xing'shui'bing
反复发作,fan'fu'fa'zuo
反复头晕,fan'fu'tou'yun
饭后,fan'hou
饭前,fan'qian
反射性末梢血管收缩,fan'she'xing'mo'shao'xue'guan'shou'suo
反射性心率减慢,fan'she'xing'xin'lv'jian'man
翻身,fan'shen
饭时,fan'shi
反跳试验,fan'tiao'shi'yan
反跳痛,fan'tiao'tong
反应迟钝,fan'ying'chi'dun
反应蛋白,fan'ying'dan'bai
反应稍迟钝,fan'ying'shao'chi'dun
犯罪,fan'zui
方法,fang'fa
防腐,fang'fu
放屁,fang'pi
防褥疮护理,fang'ru'chuang'hu'li
放射科,fang'she'ke
房室传导阻滞,fang'shi'chuan'dao'zu'zhi
防止,fang'zhi
肺癌,fei'ai
非搏动性,fei'bo'dong'xing
肺部感染,fei'bu'gan'ran
肺部引流,fei'bu'yin'liu
肺不张,fei'bu'zhang
非快速动眼期,fei'kuai'su'dong'yan'qi
肥胖,fei'pang
肥胖症,fei'pang'zheng
肺水肿,fei'shui'zhong
肺心病,fei'xin'bing
肺炎链球菌肺炎,fei'yan'lian'qiu'jun'fei'yan
肺炎支原体,fei'yan'zhi'yuan'ti
非致病,fei'zhi'bing
痱子,fei'zi
腓总神经,fei'zong'shen'jing
分裂样头痛,fen'lie'yang'tou'tong
分泌物,fen'mi'wu
分娩,fen'mian
风湿,feng'shi
风湿热,feng'shi're
风湿三项,feng'shi'san'xiang
风团,feng'tuan
风疹,feng'zhen
腹部,fu'bu
腹部饱胀,fu'bu'bao'zhang
腹部不适,fu'bu'bu'shi
腹部检查,fu'bu'jian'cha
腹部平坦,fu'bu'ping'tan
腹部无移动性浊音,fu'bu'wu'yi'dong'xing'zhuo'yin
妇产科,fu'chan'ke
复方的,fu'fang'de
复方天麻蜜环糖肽片,fu'fang'tian'ma'mi'huan'tang'tai'pian
腹肌紧张,fu'ji'jin'zhang
腹肌软,fu'ji'ruan
腹肌稍紧张,fu'ji'shao'jin'zhang
辅检,fu'jian
辅检回报,fu'jian'hui'bao
腹平软,fu'ping'ruan
腹平坦,fu'ping'tan
腹腔穿刺,fu'qiang'chuan'ci
呋塞米,fu'sai'mi
复视,fu'shi
扶手,fu'shou
腹水,fu'shui
腹痛,fu'tong
俯卧位,fu'wo'wei
腹泻,fu'xie
腹型肥胖,fu'xing'fei'pang
复诊时,fu'zhen'shi
辅助呼吸,fu'zhu'hu'xi
辅助检查,fu'zhu'jian'cha
副主任护师,fu'zhu'ren'hu'shi
副主任技师,fu'zhu'ren'ji'shi
副主任医师,fu'zhu'ren'yi'shi
改测,gai'ce
该患者可排除,gai'huan'zhe'ke'pai'chu
改善循环,gai'shan'xun'huan
肝癌,gan'ai
肝胆脾胰,gan'dan'pi'yi
肝胆外科,gan'dan'wai'ke
肝功,gan'gong
肝功能,gan'gong'neng
肝功能失代偿期,gan'gong'neng'shi'dai'chang'qi
肝功能异常,gan'gong'neng'yi'chang
感觉迟钝,gan'jue'chi'dun
感觉传导障碍,gan'jue'chuan'dao'zhang'ai
感觉过敏,gan'jue'guo'min
感觉减退,gan'jue'jian'tui
感觉灵敏,gan'jue'ling'min
感觉丧失,gan'jue'sang'shi
感觉神经,gan'jue'shen'jing
感觉异常,gan'jue'yi'chang
感觉正常,gan'jue'zheng'chang
干咳,gan'ke
干啰音,gan'luo'yin
感冒,gan'mao
肝区无叩击痛,gan'qu'wu'kou'ji'tong
感染,gan'ran
感染性休克,gan'ran'xing'xiu'ke
肝肾功能,gan'shen'gong'neng
甘舒霖,gan'shu'lin
感双下肢酸痛,gan'shuang'xia'zhi'suan'tong
肝损害,gan'sun'hai
干性啰音,gan'xing'luo'yin
甘油三酯,gan'you'san'zhi
肝脏肋下未触及,gan'zang'lei'xia'wei'chu'ji
肝浊音界缩小,gan'zhuo'yin'jie'suo'xiao
肝浊音界消失,gan'zhuo'yin'jie'xiao'shi
肝浊音界正常,gan'zhuo'yin'jie'zheng'chang
肛肠外科,gang'chang'wai'ke
肛门,gang'men
肛门检查,gang'men'jian'cha
肛门排气,gang'men'pai'qi
肛诊,gang'zhen
高甘油三酯血症,gao'gan'you'san'zhi'xue'zheng
高流量给氧,gao'liu'liang'gei'yang
高锰酸钾,gao'meng'suan'jia
高密度脂蛋白,gao'mi'du'zhi'dan'bai
高密度脂蛋白胆固醇,gao'mi'du'zhi'dan'bai'dan'gu'chun
高热,gao're
高危组,gao'wei'zu
高血压,gao'xue'ya
高血压病,gao'xue'ya'bing
高压氧治疗,gao'ya'yang'zhi'liao
告知患者及家属,gao'zhi'huan'zhe'ji'jia'shu
告知患者家属,gao'zhi'huan'zhe'jia'shu
各瓣膜听诊区,ge'ban'mo'ting'zhen'qu
革兰氏染色,ge'lan'shi'ran'se
革兰氏阳性,ge'lan'shi'yang'xing
革兰氏阴性,ge'lan'shi'yin'xing
隔离,ge'li
各浅反射正常,ge'qian'fan'she'zheng'chang
个人史,ge'ren'shi
膈疝,ge'shan
各生理反射正常,ge'sheng'li'fan'she'zheng'chang
跟骨,gen'gu
跟腱反射,gen'jian'fan'she
更年期,geng'nian'qi
肱二头肌反射,gong'er'tou'ji'fan'she
工会,gong'hui
共济运动无异常,gong'ji'yun'dong'wu'yi'chang
公斤,gong'jin
巩膜无黄染,gong'mo'wu'huang'ran
功能低下,gong'neng'di'xia
功能减退,gong'neng'jian'tui
功能障碍,gong'neng'zhang'ai
肱三头肌反射,gong'san'tou'ji'fan'she
构成,gou'cheng
沟通,gou'tong
故办理出院,gu'ban'li'chu'yuan
谷丙转氨酶,gu'bing'zhuan'an'mei
谷草转氨酶,gu'cao'zhuan'an'mei
固定痛,gu'ding'tong
骨科,gu'ke
鼓腮,gu'sai
骨髓穿刺,gu'sui'chuan'ci
骨髓细胞学检查,gu'sui'xi'bao'xue'jian'cha
骨折,gu'zhe
拐杖,guai'zhang
观察,guan'cha
灌肠剂,guan'chang'ji
关节痛,guan'jie'tong
关节炎,guan'jie'yan
冠状动脉,guan'zhuang'dong'mai
冠状动脉痉挛,guan'zhuang'dong'mai'jing'luan
冠状动脉粥样硬化,guan'zhuang'dong'mai'zhou'yang'ying'hua
广谱抗菌,guang'pu'kang'jun
过程,guo'cheng
过程顺利,guo'cheng'shun'li
过度回响,guo'du'hui'xiang
腘静脉,guo'jing'mai
过敏,guo'min
过敏性休克,guo'min'xing'xiu'ke
过氧化氢,guo'yang'hua'qing
过氧乙酸,guo'yang'yi'suan
寒颤,han'chan
含氯消毒剂,han'lv'xiao'du'ji
含漱剂,han'shu'ji
毫克,hao'ke
毫升,hao'sheng
合剂,he'ji
核医学科,he'yi'xue'ke
红斑,hong'ban
红细胞,hong'xi'bao
后颈部疼痛或僵硬,hou'jing'bu'teng'tong'huo'jiang'ying
后倾,hou'qing
后头部痛,hou'tou'bu'tong
后循环缺血,hou'xun'huan'que'xue
护肝,hu'gan
护患关系,hu'huan'guan'xi
糊剂,hu'ji
呼叫系统,hu'jiao'xi'tong
护栏,hu'lan
护理,hu'li
护理部,hu'li'bu
护理程序,hu'li'cheng'xu
护理记录,hu'li'ji'lu
护理学,hu'li'xue
护肾,hu'shen
护士,hu'shi
护师,hu'shi
护胃,hu'wei
呼吸,hu'xi
呼吸道分泌物,hu'xi'dao'fen'mi'wu
呼吸道隔离,hu'xi'dao'ge'li
呼吸短促,hu'xi'duan'cu
呼吸费力,hu'xi'fei'li
呼吸机辅助呼吸,hu'xi'ji'fu'zhu'hu'xi
呼吸加快,hu'xi'jia'kuai
呼吸困难,hu'xi'kun'nan
呼吸频率,hu'xi'pin'lv
呼吸浅快,hu'xi'qian'kuai
呼吸衰竭,hu'xi'shuai'jie
呼吸兴奋剂,hu'xi'xing'fen'ji
呼吸抑制,hu'xi'yi'zhi
呼吸音粗糙,hu'xi'yin'cu'cao
呼吸音减弱,hu'xi'yin'jian'ruo
呼吸音清,hu'xi'yin'qing
呼吸音消失,hu'xi'yin'xiao'shi
呼吸运动减弱,hu'xi'yun'dong'jian'ruo
呼吸运动正常,hu'xi'yun'dong'zheng'chang
呼之不应,hu'zhi'bu'ying
划价,hua'jia
化脓,hua'nong
化学物,hua'xue'wu
化学消毒剂,hua'xue'xiao'du'ji
坏死,huai'si
怀孕,huai'yun
患侧,huan'ce
环境,huan'jing
幻觉,huan'jue
缓慢性心律失常,huan'man'xing'xin'lv'shi'chang
环氧乙烷,huan'yang'yi'wan
患者,huan'zhe
患者本人,huan'zhe'ben'ren
患者病情好转,huan'zhe'bing'qing'hao'zhuan
患者及家属,huan'zhe'ji'jia'shu
患者及陪人,huan'zhe'ji'pei'ren
患者及同事,huan'zhe'ji'tong'shi
患者家属,huan'zhe'jia'shu
患者诉,huan'zhe'su
患者未留大小便检查,huan'zhe'wei'liu'da'xiao'bian'jian'cha
患者未诉明显不适,huan'zhe'wei'su'ming'xian'bu'shi
患者无明显不适,huan'zhe'wu'ming'xian'bu'shi
患者因,huan'zhe'yin
黄白色痰,huang'bai'se'tan
黄疸,huang'dan
黄色不成形大便,huang'se'bu'cheng'xing'da'bian
黄色稀水样大便,huang'se'xi'shui'yang'da'bian
黄视,huang'shi
黄痰,huang'tan
回报,hui'bao
回报后,hui'bao'hou
恢复健康,hui'fu'jian'kang
恢复期,hui'fu'qi
恢复意识,hui'fu'yi'shi
会阴,hui'yin
混合后给予,hun'he'hou'ji'yu
混合性失语,hun'he'xing'shi'yu
昏厥,hun'jue
昏迷,hun'mi
昏睡,hun'shui
混血痰,hun'xue'tan
混有少量粘液,hun'you'shao'liang'nian'ye
混有少量血液,hun'you'shao'liang'xue'ye
混有少许咖啡色物,hun'you'shao'xu'ka'fei'se'wu
婚育史,hun'yu'shi
混浊尿,hun'zhuo'niao
活动受限,huo'dong'shou'xian
活动中发病,huo'dong'zhong'fa'bing
活动自如,huo'dong'zi'ru
霍乱,huo'luan
肌电图,ji'dian'tu
记二十四小时尿量,ji'er'shi'si'xiao'shi'niao'liang
急腹症,ji'fu'zheng
肌钙蛋白,ji'gai'dan'bai
肌酐,ji'gan
肌酐清除率,ji'gan'qing'chu'lv
极高危组,ji'gao'wei'zu
级护理,ji'hu'li
计划,ji'hua
肌力,ji'li
稽留热,ji'liu're
记录,ji'lu
记尿量,ji'niao'liang
肌肉痛,ji'rou'tong
肌肉萎缩,ji'rou'wei'suo
肌肉压痛,ji'rou'ya'tong
肌肉注射,ji'rou'zhu'she
技师,ji'shi
及时到医院诊治,ji'shi'dao'yi'yuan'zhen'zhi
及时就诊,ji'shi'jiu'zhen
急速,ji'su
肌酸激酶,ji'suan'ji'mei
既往史,ji'wang'shi
肌无力,ji'wu'li
急性,ji'xing
急性病程,ji'xing'bing'cheng
急性肺水肿,ji'xing'fei'shui'zhong
急性加重,ji'xing'jia'zhong
急性加重期,ji'xing'jia'zhong'qi
急性起病,ji'xing'qi'bing
急性肾衰竭,ji'xing'shen'shuai'jie
急性肾炎,ji'xing'shen'yan
急性炎症反应,ji'xing'yan'zheng'fan'ying
急性左心衰补充诊断,ji'xing'zuo'xin'shuai'bu'chong'zhen'duan
继续使用,ji'xu'shi'yong
继续住院治疗,ji'xu'zhu'yuan'zhi'liao
肌张力,ji'zhang'li
肌张力低,ji'zhang'li'di
肌张力正常,ji'zhang'li'zheng'chang
急诊科,ji'zhen'ke
急诊室,ji'zhen'shi
脊柱四肢,ji'zhu'si'zhi
夹板,jia'ban
甲肝抗体,jia'gan'kang'ti
甲亢,jia'kang
加量至,jia'liang'zhi
加强防褥疮护理,jia'qiang'fang'ru'chuang'hu'li
加强看护,jia'qiang'kan'hu
加强肢体功能锻炼,jia'qiang'zhi'ti'gong'neng'duan'lian
甲醛,jia'quan
家属表示理解,jia'shu'biao'shi'li'jie
加至,jia'zhi
加重时伴,jia'zhong'shi'ban
甲状旁腺激素,jia'zhuang'pang'xian'ji'su
甲状腺毒症,jia'zhuang'xian'du'zheng
甲状腺正常,jia'zhuang'xian'zheng'chang
家族史,jia'zu'shi
家族遗传病史,jia'zu'yi'chuan'bing'shi
鉴别诊断,jian'bie'zhen'duan
检查,jian'cha
检查不合作,jian'cha'bu'he'zuo
间隔,jian'ge
碱化尿液,jian'hua'niao'ye
间接胆红素,jian'jie'dan'hong'su
睑结膜无充血,jian'jie'mo'wu'chong'xue
健康,jian'kang
健康教育,jian'kang'jiao'yu
减量至,jian'liang'zhi
减慢输液速度,jian'man'shu'ye'su'du
减轻,jian'qing
减轻或消失,jian'qing'huo'xiao'shi
减轻局部出血,jian'qing'ju'bu'chu'xie
减弱,jian'ruo
减少输液量,jian'shao'shu'ye'liang
剑突,jian'tu
剑突下疼痛,jian'tu'xia'teng'tong
健忘,jian'wang
间歇给药,jian'xie'gei'yao
间歇热,jian'xie're
间歇性跛行,jian'xie'xing'bo'xing
碱性磷酸酶,jian'xing'lin'suan'mei
检验科,jian'yan'ke
降门脉压,jiang'men'mai'ya
降尿酸,jiang'niao'suan
降糖药,jiang'tang'yao
降温,jiang'wen
胶布,jiao'bu
焦虑,jiao'lv
较明显,jiao'ming'xian
角膜无混浊,jiao'mo'wu'hun'zhuo
胶囊剂,jiao'nang'ji
较前,jiao'qian
较前加重,jiao'qian'jia'zhong
较前稍减轻,jiao'qian'shao'jian'qing
教授,jiao'shou
交替脉,jiao'ti'mai
绞痛,jiao'tong
较稳定,jiao'wen'ding
矫正,jiao'zheng
解除,jie'chu
接触隔离,jie'chu'ge'li
接触史,jie'chu'shi
结核杆菌,jie'he'gan'jun
结核性渗出性胸膜炎,jie'he'xing'shen'chu'xing'xiong'mo'yan
解黄色稀大便,jie'huang'se'xi'da'bian
解黄色稀水样大便,jie'huang'se'xi'shui'yang'da'bian
结节,jie'jie
节律,jie'lv
结膜无充血,jie'mo'wu'chong'xue
结膜炎,jie'mo'yan
截石位,jie'shi'wei
今晨血糖,jin'chen'xue'tang
禁忌症,jin'ji'zheng
今来上午,jin'lai'shang'wu
今拟,jin'ni
今日加,jin'ri'jia
今日来我院,jin'ri'lai'wo'yuan
今日来我院就诊,jin'ri'lai'wo'yuan'jiu'zhen
今日血糖较稳定,jin'ri'xue'tang'jiao'wen'ding
近日血糖较稳定,jin'ri'xue'tang'jiao'wen'ding
近日血压较稳定,jin'ri'xue'ya'jiao'wen'ding
近视,jin'shi
进食时,jin'shi'shi
紧束感,jin'shu'gan
今天早晨,jin'tian'zao'chen
进一步诊治,jin'yi'bu'zhen'zhi
进一步治疗,jin'yi'bu'zhi'liao
近一月,jin'yi'yue
进展快,jin'zhan'kuai
颈部,jing'bu
精蛋白锌,jing'dan'bai'xin
静滴,jing'di
胫骨结节牵引,jing'gu'jie'jie'qian'yin
经患者及家属同意,jing'huan'zhe'ji'jia'shu'tong'yi
经量,jing'liang
痉挛,jing'luan
静脉滴注,jing'mai'di'zhu
静脉输液,jing'mai'shu'ye
静脉推注,jing'mai'tui'zhu
静脉炎,jing'mai'yan
静脉注射,jing'mai'zhu'she
经期,jing'qi
颈强可疑,jing'qiang'ke'yi
胫神经,jing'shen'jing
精神食欲,jing'shen'shi'yu
精神食欲尚好,jing'shen'shi'yu'shang'hao
精神异常,jing'shen'yi'chang
经卧床休息后,jing'wo'chuang'xiu'xi'hou
颈无抵抗,jing'wu'di'kang
经休息,jing'xiu'xi
经休息无好转,jing'xiu'xi'wu'hao'zhuan
经治疗后缓解,jing'zhi'liao'hou'huan'jie
颈椎牵引,jing'zhui'qian'yin
经追问病史,jing'zhui'wen'bing'shi
救护车,jiu'hu'che
酒精擦浴,jiu'jing'ca'yu
纠酸,jiu'suan
就诊,jiu'zhen
纠正电解质紊乱,jiu'zheng'dian'jie'zhi'wen'luan
纠正贫血,jiu'zheng'pin'xue
纠正酸中毒,jiu'zheng'suan'zhong'du
局部持续缺血,ju'bu'chi'xu'que'xue
局部组织,ju'bu'zu'zhi
局部组织肿胀,ju'bu'zu'zhi'zhong'zhang
咀嚼,ju'jue
剧烈疼痛,ju'lie'teng'tong
具体用药不详,ju'ti'yong'yao'bu'xiang
具体诊断及用药不详,ju'ti'zhen'duan'ji'yong'yao'bu'xiang
倦怠,juan'dai
角色,jue'se
龟裂,jun'lie
均无明显异常,jun'wu'ming'xian'yi'chang
咖啡样物,ka'fei'yang'wu
咯血,ka'xie
开放性,kai'fang'xing
开腹,kai'fu
开口器,kai'kou'qi
看过患者,kan'guo'huan'zhe
康复科,kang'fu'ke
抗感染,kang'gan'ran
抗过敏,kang'guo'min
抗焦虑,kang'jiao'lv
抗结核,kang'jie'he
抗惊厥,kang'jing'jue
抗体,kang'ti
抗休克,kang'xiu'ke
抗眩晕,kang'xuan'yun
抗血栓,kang'xue'shuan
抗血小板,kang'xue'xiao'ban
抗炎,kang'yan
抗组胺,kang'zu'an
抗组胺类,kang'zu'an'lei
考虑为,kao'lv'wei
可伴有,ke'ban'you
可触及,ke'chu'ji
客观,ke'guan
