阿尔贝德拉帕朗地质学院,a'er'bei'de'la'pa'lang'di'zhi'xue'yuan
贝朗瑞,bei'lang'rui
贝桑松,bei'sang'song
贝桑松大学,bei'sang'song'da'xue
贝聿铭,bei'yu'ming
比利牛斯,bi'li'niu'si
比利牛斯山,bi'li'niu'si'shan
标致,biao'zhi
滨海大学,bin'hai'da'xue
波城大学,bo'cheng'da'xue
波城高等商业学校,bo'cheng'gao'deng'shang'ye'xue'xiao
波德莱尔,bo'de'lai'er
波尔多,bo'er'duo
波尔多二大,bo'er'duo'er'da
波尔多高等生物分子技术学校,bo'er'duo'gao'deng'sheng'wu'fen'zi'ji'shu'xue'xiao
波尔多国立高等电子信息与无线电通讯学校,bo'er'duo'guo'li'gao'deng'dian'zi'xin'xi'yu'wu'xian'dian'tong'xun'xue'xiao
波尔多国立高等化学与物理学校,bo'er'duo'guo'li'gao'deng'hua'xue'yu'wu'li'xue'xiao
波尔多国立农业工程工程师学校,bo'er'duo'guo'li'nong'ye'gong'cheng'gong'cheng'shi'xue'xiao
波尔多经济管理学校,bo'er'duo'jing'ji'guan'li'xue'xiao
波尔多军队卫生事业学校,bo'er'duo'jun'dui'wei'sheng'shi'ye'xue'xiao
波尔多里昂欧洲商业学校,bo'er'duo'li'ang'ou'zhou'shang'ye'xue'xiao
波尔多三大,bo'er'duo'san'da
波尔多四大,bo'er'duo'si'da
波尔多一大,bo'er'duo'yi'da
波伏瓦,bo'fu'wa
勃艮第大学第戎,bo'gen'di'da'xue'di'rong
勃朗峰,bo'lang'feng
博马舍,bo'ma'she
博韦高等农业学院,bo'wei'gao'deng'nong'ye'xue'yuan
布尔日国立高等工程师学校,bu'er'ri'guo'li'gao'deng'gong'cheng'shi'xue'xiao
布雷斯特,bu'lei'si'te
布雷斯特国立工程师学校,bu'lei'si'te'guo'li'gong'cheng'shi'xue'xiao
布雷斯特食品工程与微生物学高等学院,bu'lei'si'te'shi'pin'gong'cheng'yu'wei'sheng'wu'xue'gao'deng'xue'yuan
布里孚商业管理学校,bu'li'fu'shang'ye'guan'li'xue'xiao
布列塔尼,bu'lie'ta'ni
布列塔尼布雷斯特高等商业学校,bu'lie'ta'ni'bu'lei'si'te'gao'deng'shang'ye'xue'xiao
布列塔尼国立高等电信学校,bu'lie'ta'ni'guo'li'gao'deng'dian'xin'xue'xiao
布列塔尼商业管理学校,bu'lie'ta'ni'shang'ye'guan'li'xue'xiao
布列塔尼语,bu'lie'ta'ni'yu
布瓦图夏朗德,bu'wa'tu'xia'lang'de
查理曼大帝,cha'li'man'da'di
车神,che'shen
赤焰顶峰,chi'yan'ding'feng
抽象主义,chou'xiang'zhu'yi
船舶学校,chuan'bo'xue'xiao
达达主义,da'da'zhu'yi
达荣军院,da'rong'jun'yuan
大溪地,da'xi'di
大西洋商业管理学校,da'xi'yang'shang'ye'guan'li'xue'xiao
戴高乐,dai'gao'le
戴高乐机场,dai'gao'le'ji'chang
德斯坦,de'si'tan
第戎,di'rong
第戎勃艮第高等商业学校,di'rong'bo'gen'di'gao'deng'shang'ye'xue'xiao
第戎国家高等农艺学校,di'rong'guo'jia'gao'deng'nong'yi'xue'xiao
地中海商业进修中心,di'zhong'hai'shang'ye'jin'xiu'zhong'xin
动词变位,dong'ci'bian'wei
杜埃矿业学校,du'ai'kuang'ye'xue'xiao
都德,du'de
都会性男女,du'hui'xing'nan'nv
杜拉斯,du'la'si
敦克尔克,dun'ke'er'ke
敦刻尔克高等国际商业学校,dun'ke'er'ke'gao'deng'guo'ji'shang'ye'xue'xiao
法国波利尼西亚大学,fa'guo'bo'li'ni'xi'ya'da'xue
法国电子与计算机信息学校,fa'guo'dian'zi'yu'ji'suan'ji'xin'xi'xue'xiao
法国工业制冷与气象工程学院,fa'guo'gong'ye'zhi'leng'yu'qi'xiang'gong'cheng'xue'yuan
法国国际广播电台,fa'guo'guo'ji'guang'bo'dian'tai
法国国立工艺学院,fa'guo'guo'li'gong'yi'xue'yuan
法国先进机械学院,fa'guo'xian'jin'ji'xie'xue'yuan
法国造纸与印刷工业学校,fa'guo'zao'zhi'yu'yin'shua'gong'ye'xue'xiao
法郎,fa'lang
法语法国,fa'yu'fa'guo
法语天地网,fa'yu'tian'di'wang
凡尔赛大学,fan'er'sai'da'xue
凡尔赛宫,fan'er'sai'gong
放牛班的春天,fang'niu'ban'de'chun'tian
费加罗报,fei'jia'luo'bao
枫丹白露,feng'dan'bai'lu
枫丹白露宫,feng'dan'bai'lu'gong
伏尔泰,fu'er'tai
复合过去时,fu'he'guo'qu'shi
弗朗什贡岱,fu'lang'shen'gong'dai
弗朗什孔泰大学,fu'lang'shen'kong'tai'da'xue
弗朗什孔泰商业管理学校,fu'lang'shen'kong'tai'shang'ye'guan'li'xue'xiao
福楼拜,fu'lou'bai
冈城国立高等工程师学校,gang'cheng'guo'li'gao'deng'gong'cheng'shi'xue'xiao
高等电子与电工技术工程师学校,gao'deng'dian'zi'yu'dian'gong'ji'shu'gong'cheng'shi'xue'xiao
高等翻译学院,gao'deng'fan'yi'xue'yuan
高等工程应用学校,gao'deng'gong'cheng'ying'yong'xue'xiao
高等工业学校,gao'deng'gong'ye'xue'xiao
高等管理学校,gao'deng'guan'li'xue'xiao
高等管理学院,gao'deng'guan'li'xue'yuan
高等光学学校,gao'deng'guang'xue'xue'xiao
高等航空技术与汽车制造学校,gao'deng'hang'kong'ji'shu'yu'qi'che'zhi'zao'xue'xiao
高等计量学校,gao'deng'ji'liang'xue'xiao
高等技术与管理学院,gao'deng'ji'shu'yu'guan'li'xue'yuan
高等经济与商业科学学校,gao'deng'jing'ji'yu'shang'ye'ke'xue'xue'xiao
高等经济与商业研究学院,gao'deng'jing'ji'yu'shang'ye'yan'jiu'xue'yuan
高等军事通讯技术学校,gao'deng'jun'shi'tong'xun'ji'shu'xue'xiao
高等科学技术与经济商业学院,gao'deng'ke'xue'ji'shu'yu'jing'ji'shang'ye'xue'yuan
高等企业管理学校,gao'deng'qi'ye'guan'li'xue'xiao
高等热带农艺学校,gao'deng're'dai'nong'yi'xue'xiao
高等人文科学师范学校,gao'deng'ren'wen'ke'xue'shi'fan'xue'xiao
高等商业学校,gao'deng'shang'ye'xue'xiao
高等商业学院,gao'deng'shang'ye'xue'yuan
高等社会劳动事务学校,gao'deng'she'hui'lao'dong'shi'wu'xue'xiao
高等视听制作学校,gao'deng'shi'ting'zhi'zuo'xue'xiao
高等外贸学校,gao'deng'wai'mao'xue'xiao
高等畜产品学院,gao'deng'xu'chan'pin'xue'yuan
高更,gao'geng
高卢雄鸡,gao'lu'xiong'ji
格拉斯,ge'la'si
格勒诺布尔电信学校,ge'le'nuo'bu'er'dian'xin'xue'xiao
格勒诺布尔二大,ge'le'nuo'bu'er'er'da
格勒诺布尔高等商业学校,ge'le'nuo'bu'er'gao'deng'shang'ye'xue'xiao
格勒诺布尔国立高等电工工程师学校,ge'le'nuo'bu'er'guo'li'gao'deng'dian'gong'gong'cheng'shi'xue'xiao
格勒诺布尔国立高等电化学与电冶金学学校,ge'le'nuo'bu'er'guo'li'gao'deng'dian'hua'xue'yu'dian'ye'jin'xue'xue'xiao
格勒诺布尔国立高等电子与无线电技术学校,ge'le'nuo'bu'er'guo'li'gao'deng'dian'zi'yu'wu'xian'dian'ji'shu'xue'xiao
格勒诺布尔国立高等工业工程学校,ge'le'nuo'bu'er'guo'li'gao'deng'gong'ye'gong'cheng'xue'xiao
格勒诺布尔国立高等计算机与实用数学学校,ge'le'nuo'bu'er'guo'li'gao'deng'ji'suan'ji'yu'shi'yong'shu'xue'xue'xiao
格勒诺布尔国立高等水力与机械学校,ge'le'nuo'bu'er'guo'li'gao'deng'shui'li'yu'ji'xie'xue'xiao
格勒诺布尔国立高等物理学校,ge'le'nuo'bu'er'guo'li'gao'deng'wu'li'xue'xiao
格勒诺布尔国立高等信息与应用数学学校,ge'le'nuo'bu'er'guo'li'gao'deng'xin'xi'yu'ying'yong'shu'xue'xue'xiao
格勒诺布尔国立理工学院,ge'le'nuo'bu'er'guo'li'li'gong'xue'yuan
格勒诺布尔国立综合理工学院,ge'le'nuo'bu'er'guo'li'zong'he'li'gong'xue'yuan
格勒诺布尔三大,ge'le'nuo'bu'er'san'da
格勒诺布尔一大,ge'le'nuo'bu'er'yi'da
贡比涅高等商业学校,gong'bi'nie'gao'deng'shang'ye'xue'xiao
贡比涅技术大学,gong'bi'nie'ji'shu'da'xue
古典主义,gu'dian'zhu'yi
国际培训学院,guo'ji'pei'xun'xue'yuan
国际商业人学校,guo'ji'shang'ye'ren'xue'xiao
国际商业学校,guo'ji'shang'ye'xue'xiao
国际商业学院,guo'ji'shang'ye'xue'yuan
国际信息处理科学学校,guo'ji'xin'xi'chu'li'ke'xue'xue'xiao
国家高等航空与航天学校,guo'jia'gao'deng'hang'kong'yu'hang'tian'xue'xiao
国家行政学院,guo'jia'xing'zheng'xue'yuan
国立巴黎高等矿业学校,guo'li'ba'li'gao'deng'kuang'ye'xue'xiao
国立地理科学学校,guo'li'di'li'ke'xue'xue'xiao
国立地质学校,guo'li'di'zhi'xue'xiao
国立电信学院,guo'li'dian'xin'xue'yuan
国立电信学院管理学校,guo'li'dian'xin'xue'yuan'guan'li'xue'xiao
国立法官学校,guo'li'fa'guan'xue'xiao
国立高等地质学校,guo'li'gao'deng'di'zhi'xue'xiao
国立高等电工技术电子信息水力与电信学校,guo'li'gao'deng'dian'gong'ji'shu'dian'zi'xin'xi'shui'li'yu'dian'xin'xue'xiao
国立高等电信学校,guo'li'gao'deng'dian'xin'xue'xiao
国立高等电子及电子应用学校,guo'li'gao'deng'dian'zi'ji'dian'zi'ying'yong'xue'xiao
国立高等纺织工艺学校,guo'li'gao'deng'fang'zhi'gong'yi'xue'xiao
国立高等工业创新学校,guo'li'gao'deng'gong'ye'chuang'xin'xue'xiao
国立高等工业技术工程工程师学校,guo'li'gao'deng'gong'ye'ji'shu'gong'cheng'gong'cheng'shi'xue'xiao
国立高等工业陶瓷学校,guo'li'gao'deng'gong'ye'tao'ci'xue'xiao
国立高等工业系统工程学校,guo'li'gao'deng'gong'ye'xi'tong'gong'cheng'xue'xiao
国立高等工艺学校,guo'li'gao'deng'gong'yi'xue'xiao
国立高等航空制造工程师学校,guo'li'gao'deng'hang'kong'zhi'zao'gong'cheng'shi'xue'xiao
国立高等化工学校,guo'li'gao'deng'hua'gong'xue'xiao
国立高等化学工艺与技术工程师学校,guo'li'gao'deng'hua'xue'gong'yi'yu'ji'shu'gong'cheng'shi'xue'xiao
国立高等技术与应用科学学校,guo'li'gao'deng'ji'shu'yu'ying'yong'ke'xue'xue'xiao
国立高等计算机电子能源及机械自动化工程师学院,guo'li'gao'deng'ji'suan'ji'dian'zi'neng'yuan'ji'ji'xie'zi'dong'hua'gong'cheng'shi'xue'yuan
国立高等机械与航空技术学校,guo'li'gao'deng'ji'xie'yu'hang'kong'ji'shu'xue'xiao
国立高等机械与微技术学校,guo'li'gao'deng'ji'xie'yu'wei'ji'shu'xue'xiao
国立高等美术学校,guo'li'gao'deng'mei'shu'xue'xiao
国立高等农业与食品工业学校,guo'li'gao'deng'nong'ye'yu'shi'pin'gong'ye'xue'xiao
国立高等农艺与食品工业学校,guo'li'gao'deng'nong'yi'yu'shi'pin'gong'ye'xue'xiao
国立高等石油与发动机学校,guo'li'gao'deng'shi'you'yu'fa'dong'ji'xue'xiao
国立高等先进技术学校,guo'li'gao'deng'xian'jin'ji'shu'xue'xiao
国立高等自然与景观学校,guo'li'gao'deng'zi'ran'yu'jing'guan'xue'xiao
国立高级图书情报学学校,guo'li'gao'ji'tu'shu'qing'bao'xue'xue'xiao
国立公共卫生学校,guo'li'gong'gong'wei'sheng'xue'xiao
国立国家公共工程学校,guo'li'guo'jia'gong'gong'gong'cheng'xue'xiao
国立海洋工程学校,guo'li'hai'yang'gong'cheng'xue'xiao
国立核科技学院,guo'li'he'ke'ji'xue'yuan
国立军事工程学校,guo'li'jun'shi'gong'cheng'xue'xiao
国立勒芒高等测绘工程学院,guo'li'le'mang'gao'deng'ce'hui'gong'cheng'xue'yuan
国立勒芒高等工程师学校,guo'li'le'mang'gao'deng'gong'cheng'shi'xue'xiao
国立路桥学校,guo'li'lu'qiao'xue'xiao
国立民用航空学校,guo'li'min'yong'hang'kong'xue'xiao
国立农业与食品工业技术工程师学校,guo'li'nong'ye'yu'shi'pin'gong'ye'ji'shu'gong'cheng'shi'xue'xiao
国立气象学校图卢兹,guo'li'qi'xiang'xue'xiao'tu'lu'zi
国立水林农村工程学校,guo'li'shui'lin'nong'cun'gong'cheng'xue'xiao
国立统计与经济管理学校,guo'li'tong'ji'yu'jing'ji'guan'li'xue'xiao
国立文献学校,guo'li'wen'xian'xue'xiao
国立信息统计与分析学校,guo'li'xin'xi'tong'ji'yu'fen'xi'xue'xiao
国立艺术史学院,guo'li'yi'shu'shi'xue'yuan
国立园艺学院,guo'li'yuan'yi'xue'yuan
国立园艺与风景规划学校,guo'li'yuan'yi'yu'feng'jing'gui'hua'xue'xiao
国立园艺与景观工程师学校,guo'li'yuan'yi'yu'jing'guan'gong'cheng'shi'xue'xiao
捍卫天骑,han'wei'tian'qi
红磨坊,hong'mo'fang
后印象主义,hou'yin'xiang'zhu'yi
蝴蝶,hu'die
沪江法语,hu'jiang'fa'yu
虎口脱险,hu'kou'tuo'xian
纪德,ji'de
急速的士,ji'su'di'shi
计算机工程学院,ji'suan'ji'gong'cheng'xue'yuan
加莱,jia'lai
加隆河,jia'long'he
加缪,jia'miu
戛纳,jia'na
简单过去时,jian'dan'guo'qu'shi
简单将来时,jian'dan'jiang'lai'shi
建筑专业学校,jian'zhu'zhuan'ye'xue'xiao
解放报,jie'fang'bao
金桥,jin'qiao
卡昂,ka'ang
卡昂大学,ka'ang'da'xue
卡尔卡松,ka'er'ka'song
卡拉布吕尼,ka'la'bu'lv'ni
卡尚高等师范学校,ka'shang'gao'deng'shi'fan'xue'xiao
开罗谍影,kai'luo'die'ying
凯旋门,kai'xuan'men
克莱蒙费郎,ke'lai'meng'fei'lang
克莱蒙费朗,ke'lai'meng'fei'lang
克莱蒙费朗二大,ke'lai'meng'fei'lang'er'da
克莱蒙费朗高等商业学校,ke'lai'meng'fei'lang'gao'deng'shang'ye'xue'xiao
克莱蒙费朗工程师学校,ke'lai'meng'fei'lang'gong'cheng'shi'xue'xiao
克莱蒙费朗国立高等化工学校,ke'lai'meng'fei'lang'guo'li'gao'deng'hua'gong'xue'xiao
克莱蒙费朗国立农业工程工程师学校,ke'lai'meng'fei'lang'guo'li'nong'ye'gong'cheng'gong'cheng'shi'xue'xiao
克莱蒙费朗一大,ke'lai'meng'fei'lang'yi'da
科西嘉,ke'xi'jia
科西嘉大学,ke'xi'jia'da'xue
科西嘉岛,ke'xi'jia'dao
科西嘉任务,ke'xi'jia'ren'wu
科学经济与管理学院,ke'xue'jing'ji'yu'guan'li'xue'yuan
科学经济与管理学院里尔,ke'xue'jing'ji'yu'guan'li'xue'yuan'li'er
恐怖系统,kong'bu'xi'tong
快报,kuai'bao
拉罗舎尔欧洲商业管理学院,la'luo'she'er'ou'zhou'shang'ye'guan'li'xue'yuan
拉罗谢尔大学,la'luo'xie'er'da'xue
拉罗谢尔高等商业学校,la'luo'xie'er'gao'deng'shang'ye'xue'xiao
拉芒什海峡,la'mang'shen'hai'xia
拉斯科洞窟壁画,la'si'ke'dong'ku'bi'hua
莱雅法国,lai'ya'fa'guo
蓝色海岸,lan'se'hai'an
兰斯大学,lan'si'da'xue
兰斯高等商业学校,lan'si'gao'deng'shang'ye'xue'xiao
朗格多克鲁西永大区,lang'ge'duo'ke'lu'xi'yong'da'qu
朗克多克鲁西翁,lang'ke'duo'ke'lu'xi'weng
狼犬丹尼,lang'quan'dan'ni
勒阿弗尔大学,le'a'fu'er'da'xue
勒芒材料工程学院,le'mang'cai'liao'gong'cheng'xue'yuan
雷恩,lei'en
雷恩二大,lei'en'er'da
雷恩高等商业学校,lei'en'gao'deng'shang'ye'xue'xiao
雷恩国立高等化工学校,lei'en'guo'li'gao'deng'hua'gong'xue'xiao
雷恩国立农学及食品研究高等教育学院,lei'en'guo'li'nong'xue'ji'shi'pin'yan'jiu'gao'deng'jiao'yu'xue'yuan
雷恩国立应用科学学院,lei'en'guo'li'ying'yong'ke'xue'xue'yuan
雷恩一大,lei'en'yi'da
雷恩政治学院,lei'en'zheng'zhi'xue'yuan
雷诺,lei'nuo
里昂,li'ang
里昂布龙军队卫生事业学校,li'ang'bu'long'jun'dui'wei'sheng'shi'ye'xue'xiao
里昂二大,li'ang'er'da
里昂高等化学物理及电子学校,li'ang'gao'deng'hua'xue'wu'li'ji'dian'zi'xue'xiao
里昂高等师范学校,li'ang'gao'deng'shi'fan'xue'xiao
里昂工程师科学技术学院,li'ang'gong'cheng'shi'ke'xue'ji'shu'xue'yuan
里昂国立兽医学校,li'ang'guo'li'shou'yi'xue'xiao
里昂国立应用科学学院,li'ang'guo'li'ying'yong'ke'xue'xue'yuan
里昂经济管理学校,li'ang'jing'ji'guan'li'xue'xiao
里昂三大,li'ang'san'da
里昂商业进修中心,li'ang'shang'ye'jin'xiu'zhong'xin
里昂社会经济发展高级学校,li'ang'she'hui'jing'ji'fa'zhan'gao'ji'xue'xiao
里昂一大,li'ang'yi'da
里昂中央理工学校,li'ang'zhong'yang'li'gong'xue'xiao
里尔,li'er
里尔都市商业管理学校,li'er'du'shi'shang'ye'guan'li'xue'xiao
里尔二大,li'er'er'da
里尔高等农业学院,li'er'gao'deng'nong'ye'xue'yuan
里尔高等商业学校,li'er'gao'deng'shang'ye'xue'xiao
里尔高等新闻学校,li'er'gao'deng'xin'wen'xue'xiao
里尔国立高等化工学校,li'er'guo'li'gao'deng'hua'gong'xue'xiao
里尔三大,li'er'san'da
里尔一大,li'er'yi'da
里尔中央理工学校,li'er'zhong'yang'li'gong'xue'xiao
利摩日,li'mo'ri
利摩日大学,li'mo'ri'da'xue
利摩日国立高等工程师学校,li'mo'ri'guo'li'gao'deng'gong'cheng'shi'xue'xiao
利姆赞,li'mu'zan
利托拉尔大学,li'tuo'la'er'da'xue
恋爱梦游中,lian'ai'meng'you'zhong
两小无猜,liang'xiao'wu'cai
留尼汪大学,liu'ni'wang'da'xue
留尼汪商业管理学校,liu'ni'wang'shang'ye'guan'li'xue'xiao
鲁昂,lu'ang
鲁昂大学,lu'ang'da'xue
鲁昂高等商业学校,lu'ang'gao'deng'shang'ye'xue'xiao
鲁昂高等职业预备学院,lu'ang'gao'deng'zhi'ye'yu'bei'xue'yuan
鲁昂国立应用科学学院,lu'ang'guo'li'ying'yong'ke'xue'xue'yuan
露点的诱惑,lu'dian'de'you'huo
卢浮宫,lu'fu'gong
卢瓦尔,lu'wa'er
卢瓦尔城堡群,lu'wa'er'cheng'bao'qun
卢瓦尔工程师学校,lu'wa'er'gong'cheng'shi'xue'xiao
卢瓦尔河谷,lu'wa'er'he'gu
路易十四,lu'yi'shi'si
路易维登,lu'yi'wei'deng
罗德兹商业管理学校,luo'de'zi'shang'ye'guan'li'xue'xiao
洛丽塔,luo'li'ta
洛林,luo'lin
洛林国立高等理工学院,luo'lin'guo'li'gao'deng'li'gong'xue'yuan
洛林国立综合理工学院,luo'lin'guo'li'zong'he'li'gong'xue'yuan
罗纳阿尔卑斯,luo'na'a'er'bei'si
罗纳阿尔卑斯高等农业学院,luo'na'a'er'bei'si'gao'deng'nong'ye'xue'yuan
罗纳阿尔卑斯高等先进工业系统工程师学校,luo'na'a'er'bei'si'gao'deng'xian'jin'gong'ye'xi'tong'gong'cheng'shi'xue'xiao
吕埃,lv'ai
吕格迪尼姆,lv'ge'di'ni'mu
绿芥刑警,lv'jie'xing'jing
吕泰蒂亚,lv'tai'di'ya
马恩河畔沙隆,ma'en'he'pan'sha'long
马恩拉瓦雷大学,ma'en'la'wa'lei'da'xue
玛莱区,ma'lai'qu
玛丽亚娜,ma'li'ya'na
马奈,ma'nai
马赛,ma'sai
马赛工程师学校,ma'sai'gong'cheng'shi'xue'xiao
马赛经济管理学校,ma'sai'jing'ji'guan'li'xue'xiao
马赛旧港,ma'sai'jiu'gang
马提尼克商业管理学校,ma'ti'ni'ke'shang'ye'guan'li'xue'xiao
曼恩大学,man'en'da'xue
曼恩商业管理学校,man'en'shang'ye'guan'li'xue'xiao
玫瑰人生,mei'gui'ren'sheng
玫瑰之城,mei'gui'zhi'cheng
梅里美,mei'li'mei
梅斯,mei'si
梅斯大学,mei'si'da'xue
梅斯国立工程师学校,mei'si'guo'li'gong'cheng'shi'xue'xiao
蒙巴纳斯办公楼,meng'ba'na'si'ban'gong'lou
蒙巴纳思塔,meng'ba'na'si'ta
蒙彼利埃,meng'bi'li'ai
蒙波利埃二大,meng'bo'li'ai'er'da
蒙波利埃高等商业学校,meng'bo'li'ai'gao'deng'shang'ye'xue'xiao
蒙波利埃国立高等化工学校,meng'bo'li'ai'guo'li'gao'deng'hua'gong'xue'xiao
蒙波利埃国立高等农艺学校,meng'bo'li'ai'guo'li'gao'deng'nong'yi'xue'xiao
蒙波利埃三大,meng'bo'li'ai'san'da
蒙波利埃一大,meng'bo'li'ai'yi'da
蒙马特,meng'ma'te
蒙玛特高地,meng'ma'te'gao'di
蒙娜丽莎的微笑,meng'na'li'sha'de'wei'xiao
蒙圣埃尼昂高等电子工程工程师学院,meng'sheng'ai'ni'ang'gao'deng'dian'zi'gong'cheng'gong'cheng'shi'xue'yuan
蒙特卡罗赌场,meng'te'ka'luo'du'chang
蒙特利尔,meng'te'li'er
蒙托邦商业管理学校,meng'tuo'bang'shang'ye'guan'li'xue'xiao
米鲁兹,mi'lu'zi
米鲁兹国立高等化工学校,mi'lu'zi'guo'li'gao'deng'hua'gong'xue'xiao
咪咪学法语,mi'mi'xue'fa'yu
密特朗,mi'te'lang
命令式,ming'ling'shi
缪塞,miu'sai
莫泊桑,mo'bo'sang
莫洛亚,mo'luo'ya
莫纳,mo'na
模型化信息技术及其应用高等学院,mo'xing'hua'xin'xi'ji'shu'ji'qi'ying'yong'gao'deng'xue'yuan
木材工程学校,mu'cai'gong'cheng'xue'xiao
拿破仑,na'po'lun
南比利牛斯,nan'bi'li'niu'si
南布列塔尼大学,nan'bu'lie'ta'ni'da'xue
南特,nan'te
南特大西洋设计学校,nan'te'da'xi'yang'she'ji'xue'xiao
南特大学,nan'te'da'xue
南特国立高等工业技术与矿业学校,nan'te'guo'li'gao'deng'gong'ye'ji'shu'yu'kuang'ye'xue'xiao
南特国立兽医学校,nan'te'guo'li'shou'yi'xue'xiao
南特经济管理学校,nan'te'jing'ji'guan'li'xue'xiao
南特中央理工学校,nan'te'zhong'yang'li'gong'xue'xiao
南锡,nan'xi
南锡二大,nan'xi'er'da
