嗳腐,ai'fu
烂喉丹痧,lan'hou'dan'sha
烂喉痧,lan'hou'sha
懒言,lan'yan
劳淋,lao'lin
痨淋,lao'lin
牢脉,lao'mai
落枕,lao'zhen
类霍乱,lei'huo'luan
冷厥,leng'jue
黧黑,li'hei
痢疾,li'ji
疠气,li'qi
连声咳,lian'sheng'ke
量中,liang'zhong
两眦,liang'zi
临时医嘱,lin'shi'yi'zhu
临嘱,lin'zhu
流泪症,liu'lei'zheng
六脉,liu'mai
癃闭,long'bi
漏睛病,lou'jing'bing
漏睛疮,lou'jing'chuang
颅脑痈,lu'nao'yong
麻痛,ma'tong
麻疹,ma'zhen
脉痹,mai'bi
脉场,mai'chang
脉沉,mai'chen
脉沉迟,mai'chen'chi
脉沉细,mai'chen'xi
脉沉弦,mai'chen'xian
脉迟,mai'chi
脉促,mai'cu
脉大,mai'da
脉代,mai'dai
脉动,mai'dong
脉短,mai'duan
脉伏,mai'fu
脉浮,mai'fu
脉浮缓,mai'fu'huan
脉浮数,mai'fu'shuo
脉革,mai'ge
脉洪,mai'hong
脉滑,mai'hua
脉缓,mai'huan
脉疾,mai'ji
脉结,mai'jie
脉结代,mai'jie'dai
脉紧,mai'jin
脉芤,mai'kou
脉牢,mai'lao
脉濡,mai'ru
脉散,mai'san
脉涩,mai'se
脉实,mai'shi
脉数,mai'shuo
脉微,mai'wei
脉微细,mai'wei'xi
脉细,mai'xi
脉细数,mai'xi'shuo
脉弦,mai'xian
脉弦数,mai'xian'shuo
脉虚,mai'xu
慢性肾衰,man'xing'shen'shuai
眉间,mei'jian
眉棱骨痛,mei'leng'gu'tong
梦遗,meng'yi
眠差,mian'cha
面风痛,mian'feng'tong
面红如妆,mian'hong'ru'zhuang
眠可,mian'ke
面色,mian'se
眠一般,mian'yi'ban
命关,ming'guan
目系,mu'xi
目劄,mu'zha
纳差,na'cha
纳佳,na'jia
纳可,na'ke
纳眠可,na'mian'ke
纳香,na'xiang
脑呆,nao'dai
脑痨,nao'lao
脑瘤,nao'liu
脑络痹,nao'luo'bi
脑鸣,nao'ming
脑萎,nao'wei
内收,nei'shou
内外障,nei'wai'zhang
内障,nei'zhang
尿崩,niao'beng
尿道痿,niao'dao'wei
尿血,niao'xie
尿浊,niao'zhuo
凝脂翳,ning'zhi'yi
脓漏睛,nong'lou'jing
脓漏眼,nong'lou'yan
胬肉攀睛,nu'rou'pan'jing
怒张,nu'zhang
呕吐,ou'tu
呕血,ou'xue
膀胱癌,pang'guang'ai
皮痹,pi'bi
皮水,pi'shui
脾水,pi'shui
脾痿,pi'wei
脾系病类,pi'xi'bing'lei
脾约,pi'yue
偏痹,pian'bi
偏头风,pian'tou'feng
平脐,ping'qi
气喘,qi'chuan
气腹痛,qi'fu'tong
气关,qi'guan
气厥,qi'jue
气淋,qi'lin
气轮,qi'lun
气逆而咳,qi'ni'er'ke
脐上,qi'shang
气瘿,qi'ying
前屈,qian'qu
前伸,qian'shen
强中,qiang'zhong
切诊,qie'zhen
青黑,qing'hei
青腿牙疳,qing'tui'ya'gan
青紫,qing'zi
屈髋,qu'kuan
屈曲,qu'qu
屈膝,qu'xi
缺血中风,que'xue'zhong'feng
热痹,re'bi
热毒,re'du
热淋,re'lin
热邪,re'xie
日多夜少,ri'duo'ye'shao
日二行,ri'er'hang
日夜均作,ri'ye'jun'zuo
肉痉,rou'jing
肉轮,rou'lun
肉瘿,rou'ying
濡脉,ru'mai
软脚瘟,ruan'jiao'wen
弱脉,ruo'mai
三关,san'guan
散脉,san'mai
涩脉,se'mai
上胞下垂,shang'bao'xia'chui
上犯,shang'fan
伤津,shang'jin
上扰,shang'rao
伤食,shang'shi
伤暑,shang'shu
上熏,shang'xun
上蒸,shang'zheng
少气,shao'qi
舌红绛,she'hong'jiang
舌绛,she'jiang
舌青,she'qing
舌下络脉,she'xia'luo'mai
舌象,she'xiang
舌紫,she'zi
肾癌,shen'ai
肾垂,shen'chui
肾瘅,shen'dan
神昏,shen'hun
肾厥,shen'jue
神劳,shen'lao
肾痨,shen'lao
肾衰,shen'shuai
肾水,shen'shui
肾系病类,shen'xi'bing'lei
肾痈,shen'yong
肾著,shen'zhu
湿痹,shi'bi
湿病,shi'bing
视触叩听,shi'chu'kou'ting
湿毒,shi'du
视二为一,shi'er'wei'yi
时复病,shi'fu'bing
视膏,shi'gao
食管痹,shi'guan'bi
食管瘅,shi'guan'dan
湿脚气,shi'jiao'qi
尸厥,shi'jue
食厥,shi'jue
石淋,shi'lin
湿啰音,shi'luo'yin
实脉,shi'mai
失眠,shi'mian
嗜睡,shi'shui
石水,shi'shui
湿温,shi'wen
湿瘟,shi'wen
视物不清,shi'wu'bu'qing
湿邪,shi'xie
时行感冒,shi'xing'gan'mao
失养,shi'yang
湿翳,shi'yi
视衣,shi'yi
食亦,shi'yi
石瘿,shi'ying
食指络脉,shi'zhi'luo'mai
湿阻,shi'zu
首程,shou'cheng
首次病程记录,shou'ci'bing'cheng'ji'lu
手心多汗,shou'xin'duo'han
手足心多汗,shou'zu'xin'duo'han
数脉,shu'mai
暑热,shu're
暑湿,shu'shi
暑温,shu'wen
水痘,shui'dou
水轮,shui'lun
水肿,shui'zhong
粟疮,su'chuang
宿翳,su'yi
髓劳,sui'lao
缩阴病,suo'yin'bing
苔白厚腻,tai'bai'hou'ni
苔白滑,tai'bai'hua
苔白腻,tai'bai'ni
苔薄白,tai'bo'bai
苔薄黄,tai'bo'huang
苔黑,tai'hei
苔黄厚腻,tai'huang'hou'ni
苔黄腻,tai'huang'ni
苔灰,tai'hui
苔少,tai'shao
瘫痪,tan'huan
痰厥,tan'jue
痰色白,tan'se'bai
痰色黄,tan'se'huang
天行赤眼,tian'xing'chi'yan
跳痛,tiao'tong
痛风,tong'feng
瞳神,tong'shen
瞳神干缺,tong'shen'gan'que
瞳神紧小,tong'shen'jin'xiao
头部内伤,tou'bu'nei'shang
头痛,tou'tong
头痛欲裂,tou'tong'yu'lie
吞酸,tun'suan
脱肛,tuo'gang
外展,wai'zhan
外障,wai'zhang
尪痹,wang'bi
望色,wang'se
望诊,wang'zhen
胃癌,wei'ai
痿躄,wei'bi
为病,wei'bing
痿病,wei'bing
胃瘅,wei'dan
胃反,wei'fan
畏光,wei'guang
畏寒,wei'han
胃缓,wei'huan
胃瘕,wei'jia
胃络痛,wei'luo'tong
微脉,wei'mai
胃痞,wei'pi
畏声,wei'sheng
胃石,wei'shi
胃脘痛,wei'wan'tong
胃疡,wei'yang
胃饮,wei'yin
胃胀,wei'zhang
温毒发斑,wen'du'fa'ban
温疫,wen'yi
问诊,wen'zhen
闻诊,wen'zhen
五风,wu'feng
恶风,wu'feng
恶风寒,wu'feng'han
恶寒,wu'han
无汗,wu'han
五色,wu'se
无苔,wu'tai
喜按,xi'an
膝痹,xi'bi
喜冷饮,xi'leng'yin
细脉,xi'mai
细数,xi'shuo
喜温,xi'wen
喜饮,xi'yin
夏季热,xia'ji're
侠瘿瘅,xia'ying'dan
痫病,xian'bing
现病史,xian'bing'shi
弦脉,xian'mai
弦数,xian'shuo
项背,xiang'bei
项痹,xiang'bi
小便不禁,xiao'bian'bu'jin
小便黄,xiao'bian'huang
小便清长,xiao'bian'qing'chang
哮病,xiao'bing
小肠瘅,xiao'chang'dan
消渴,xiao'ke
消渴厥,xiao'ke'jue
蟹睛,xie'jing
胁肋痛,xie'lei'tong
胁痛,xie'tong
泄泻,xie'xie
心痹,xin'bi
心瘅,xin'dan
心动悸,xin'dong'ji
心悸,xin'ji
心厥,xin'jue
心衰,xin'shuai
心痛,xin'tong
形寒,xing'han
胸痛,xiong'tong
虚脉,xu'mai
需脉,xu'mai
虚眩,xu'xuan
蓄血病,xu'xue'bing
玄府,xuan'fu
旋后,xuan'hou
旋内,xuan'nei
旋前,xuan'qian
旋外,xuan'wai
悬饮,xuan'yin
眩晕,xuan'yun
血痹,xue'bi
血疸,xue'dan
血厥,xue'jue
血劳,xue'lao
血轮,xue'lun
血脱,xue'tuo
血溢病,xue'yi'bing
循经,xun'jing
眼丹,yan'dan
咽干,yan'gan
厌食,yan'shi
咽痒而咳,yan'yang'er'ke
杨梅舌,yang'mei'she
阳痿,yang'wei
腰痹,yao'bi
暍病,ye'bing
夜多日少,ye'duo'ri'shao
噎膈,ye'ge
液脱,ye'tuo
胰癌,yi'ai
疫斑热,yi'ban're
胰瘅,yi'dan
疫疠,yi'li
遗尿,yi'niao
易醒,yi'xing
溢饮,yi'yin
胰痈,yi'yong
翳障,yi'zhang
胰胀,yi'zhang
阴暑,yin'shu
阴阳毒,yin'yang'du
瘿病,ying'bing
瘿劳,ying'lao
瘿瘤岩,ying'liu'yan
瘿气,ying'qi
痈疽,yong'ju
用药史,yong'yao'shi
右尺,you'chi
右寸,you'cun
右关,you'guan
右脉,you'mai
瘀点,yu'dian
预防接种史,yu'fang'jie'zhong'shi
欲裂,yu'lie
欲饮,yu'yin
晕动病,yun'dong'bing
脏躁,zang'zao
早泄,zao'xie
燥邪,zao'xie
痄腮,zha'sai
胀痛,zhang'tong
振颤,zhen'chan
针眼,zhen'yan
真脏脉,zhen'zang'mai
癥积,zheng'ji
正水,zheng'shui
肢痹,zhi'bi
质稠,zhi'chou
质软,zhi'ruan
肢痿,zhi'wei
质稀,zhi'xi
支饮,zhi'yin
质硬,zhi'ying
质粘,zhi'zhan
指诊,zhi'zhen
质中,zhi'zhong
中恶,zhong'e
中风,zhong'feng
中暑,zhong'shu
肘窝,zhou'wo
侏儒,zhu'ru
疰夏,zhu'xia
转筋,zhuan'jin
紫斑,zi'ban
紫癜病,zi'dian'bing
自汗,zi'han
足底多汗,zu'di'duo'han
足跟,zu'gen
足跟痹,zu'gen'bi
左尺,zuo'chi
左寸,zuo'cun
左关,zuo'guan
左脉,zuo'mai
