包括清代,bao'kuo'qing'dai
两位最,liang'wei'zui
临武君,lin'wu'jun
论述了他,lun'shu'le'ta
论题鲜明,lun'ti'xian'ming
脉络方面出发,mai'luo'fang'mian'chu'fa
猛烈抨击,meng'lie'peng'ji
孟子和,meng'zi'he
孟子中心思想为,meng'zi'zhong'xin'si'xiang'wei
民国时代的,min'guo'shi'dai'de
名况,ming'kuang
能反映现实,neng'fan'ying'xian'shi
排比偶句很多,pai'bi'ou'ju'hen'duo
偏向经验,pian'xiang'jing'yan
其注者不多,qi'zhu'zhe'bu'duo
前期儒家,qian'qi'ru'jia
强调后天,qiang'diao'hou'tian
清末学者谭嗣同,qing'mo'xue'zhe'tan'si'tong
全文参见,quan'wen'can'jian
劝学篇,quan'xue'pian
人的思维,ren'de'si'wei
人的物质需求,ren'de'wu'zhi'xu'qiu
人的影响,ren'de'ying'xiang
人定胜天的思想,ren'ding'sheng'tian'de'si'xiang
人们行为,ren'men'xing'wei
认为国家要兴旺,ren'wei'guo'jia'yao'xing'wang
认为教师,ren'wei'jiao'shi
认为只有,ren'wei'zhi'you
认为子弓,ren'wei'zi'gong
人性本恶,ren'xing'ben'e
人与生俱来,ren'yu'sheng'ju'lai
如果不给学生,ru'guo'bu'gei'xue'sheng
儒家的礼治原则,ru'jia'de'li'zhi'yuan'ze
儒家典藉,ru'jia'dian'ji
儒家学者,ru'jia'xue'zhe
儒家重要,ru'jia'zhong'yao
入室弟子,ru'shi'di'zi
若欲望,ruo'yu'wang
三十二篇,san'shi'er'pian
三为祭酒,san'wei'ji'jiu
善于比喻,shan'yu'bi'yu
涉及到哲学,she'ji'dao'zhe'xue
圣王及礼法,sheng'wang'ji'li'fa
是不以人的意志转移的,shi'bu'yi'ren'de'yi'zhi'zhuan'yi'de
适楚,shi'chu
是从社会,shi'cong'she'hui
是否属于,shi'fou'shu'yu
使历代,shi'li'dai
使人格提高,shi'ren'ge'ti'gao
受历代学者,shou'li'dai'xue'zhe
说理透彻,shuo'li'tou'che
死而荀卿废,si'er'xun'qing'fei
思孟学派,si'meng'xue'pai
他采用,ta'cai'yong
他曾经传道授业,ta'ceng'jing'chuan'dao'shou'ye
他曾入秦,ta'ceng'ru'qin
他承认,ta'cheng'ren
他的生平,ta'de'sheng'ping
他的学问渊博,ta'de'xue'wen'yuan'bo
他反对信仰,ta'fan'dui'xin'yang
他非常,ta'fei'chang
他集中,ta'ji'zhong
他坚持,ta'jian'chi
他提出,ta'ti'chu
唐代杨倞,tang'dai'yang'jing
提倡性恶论,ti'chang'xing'e'lun
提出严格要求,ti'chu'yan'ge'yao'qiu
天命鬼神,tian'ming'gui'shen
同时对教师,tong'shi'dui'jiao'shi
同时指出,tong'shi'zhi'chu
同时重视,tong'shi'zhong'shi
王面前,wang'mian'qian
王先谦,wang'xian'qian
伟大的思想家,wei'da'de'si'xiang'jia
为其作注,wei'qi'zuo'zhu
唯物主义传统,wei'wu'zhu'yi'chuan'tong
文字通俗易懂,wen'zi'tong'su'yi'dong
我国古代一位,wo'guo'gu'dai'yi'wei
五十年始来,wu'shi'nian'shi'lai
现存的,xian'cun'de
现代研究,xian'dai'yan'jiu
新兴地主阶级,xin'xing'di'zhu'jie'ji
性恶论,xing'e'lun
性善论比较,xing'shan'lun'bi'jiao
形式写的,xing'shi'xie'de
许多学者,xu'duo'xue'zhe
须要由,xu'yao'you
学生是不能,xue'sheng'shi'bu'neng
学术思想,xue'shu'si'xiang
学说的基础上,xue'shuo'de'ji'chu'shang
学习必须联系实际,xue'xi'bi'xu'lian'xi'shi'ji
学习态度应当,xue'xi'tai'du'ying'dang
学者也,xue'zhe'ye
荀况不愧为,xun'kuang'bu'kui'wei
荀况是,xun'kuang'shi
荀卿列传,xun'qing'lie'zhuan
荀学也,xun'xue'ye
荀子的,xun'zi'de
荀子的思想,xun'zi'de'si'xiang
荀子继二人后提出,xun'zi'ji'er'ren'hou'ti'chu
荀子认为,xun'zi'ren'wei
荀子也,xun'zi'ye
荀子于,xun'zi'yu
荀子自己,xun'zi'zi'ji
也有相当,ye'you'xiang'dang
议兵于,yi'bing'yu
以赋为名,yi'fu'wei'ming
以及人事方面,yi'ji'ren'shi'fang'mian
以孔子为圣人,yi'kong'zi'wei'sheng'ren
猗氏,yi'shi
亦因为他,yi'yin'wei'ta
因此主张,yin'ci'zhu'zhang
因其弟子,yin'qi'di'zi
因为荀子,yin'wei'xun'zi
有部分学者,you'bu'fen'xue'zhe
又到过,you'dao'guo
有很强的逻辑性,you'hen'qiang'de'luo'ji'xing
有所发展,you'suo'fa'zhan
有他特有的风格,you'ta'te'you'de'feng'ge
又吸收了,you'xi'shou'le
游学于齐,you'xue'yu'qi
有一定影响,you'yi'ding'ying'xiang
于楚国,yu'chu'guo
语言丰富多彩,yu'yan'feng'fu'duo'cai
与自己,yu'zi'ji
运用说唱形式,yun'yong'shuo'chang'xing'shi
在继承,zai'ji'cheng
在教学,zai'jiao'xue
在认识论上,zai'ren'shi'lun'shang
在人性问题上,zai'ren'xing'wen'ti'shang
在有名的,zai'you'ming'de
在政治思想上,zai'zheng'zhi'si'xiang'shang
在自然观方面,zai'zi'ran'guan'fang'mian
战国末期,zhan'guo'mo'qi
战国时期赵国,zhan'guo'shi'qi'zhao'guo
赵国与,zhao'guo'yu
赵孝成,zhao'xiao'cheng
哲学思想,zhe'xue'si'xiang
至襄王时代,zhi'xiang'wang'shi'dai
直至清代,zhi'zhi'qing'dai
治之至也,zhi'zhi'zhi'ye
知助而无过,zhi'zhu'er'wu'guo
中的地位,zhong'de'di'wei
中的五篇,zhong'de'wu'pian
重视教师,zhong'shi'jiao'shi
重视人为,zhong'shi'ren'wei
重视社会上,zhong'shi'she'hui'shang
重视社会秩序,zhong'shi'she'hui'zhi'xu
中这样评价,zhong'zhe'yang'ping'jia
著名的思想家,zhu'ming'de'si'xiang'jia
著名思想家,zhu'ming'si'xiang'jia
注释校订者,zhu'shi'jiao'ding'zhe
主张发展经济,zhu'zhang'fa'zhan'jing'ji
字卿,zi'qing
子思为首的,zi'si'wei'shou'de
最后老死,zui'hou'lao'si
最为老师,zui'wei'lao'shi
做出榜样,zuo'chu'bang'yang
