艾莱依,ai'lai'yi
丽水了,li'shui'le
丽水吗,li'shui'ma
丽水呢,li'shui'ne
丽水人,li'shui'ren
丽水市,li'shui'shi
丽水信息港,li'shui'xin'xi'gang
丽水学院,li'shui'xue'yuan
丽水中学,li'shui'zhong'xue
丽阳街,li'yang'jie
丽阳门,li'yang'men
莲都,lian'du
莲都区,lian'du'qu
林校,lin'xiao
灵山寺,ling'shan'si
岭头,ling'tou
龙泉,long'quan
龙泉的,long'quan'de
龙泉了,long'quan'le
龙泉人,long'quan'ren
龙泉市,long'quan'shi
龙渊,long'yuan
鸬鹚,lu'ci
绿谷,lv'gu
买个来,mai'ge'lai
麦圈,mai'quan
毛竹,mao'zhu
没噶,mei'ga
没事噶,mei'shi'ga
没套路,mei'tao'lu
梅源,mei'yuan
锰钢,meng'gang
妙高,miao'gao
妙高山,miao'gao'shan
妙高镇,miao'gao'zhen
目钉,mu'ding
木果,mu'guo
木玩,mu'wan
纳爱斯,na'ai'si
那空,na'kong
那是没,na'shi'mei
那是没有,na'shi'mei'you
南麂岛,nan'ji'dao
南尖岩,nan'jian'yan
南明湖,nan'ming'hu
南明山,nan'ming'shan
脑不清,nao'bu'qing
内内内,nei'nei'nei
你来丽水,ni'lai'li'shui
你丽水,ni'li'shui
你在丽水,ni'zai'li'shui
牛头山,niu'tou'shan
农办,nong'ban
女客人,nv'ke'ren
瓯江,ou'jiang
泡精肉,pao'jing'rou
屁烦,pi'fan
汽校,qi'xiao
七滋八味,qi'zi'ba'wei
前村,qian'cun
青瓷,qing'ci
清明果,qing'ming'guo
青田,qing'tian
青田的,qing'tian'de
青田话,qing'tian'hua
青田了,qing'tian'le
青田人,qing'tian'ren
青田网,qing'tian'wang
青田县,qing'tian'xian
庆元,qing'yuan
庆元人,qing'yuan'ren
庆元县,qing'yuan'xian
求关注,qiu'guan'zhu
衢江,qu'jiang
衢江区,qu'jiang'qu
去丽水,qu'li'shui
去青田,qu'qing'tian
去温州,qu'wen'zhou
衢州,qu'zhou
全稳,quan'wen
仁庄,ren'zhuang
箬寮,ruo'liao
三岩寺,san'yan'si
山粉饺,shan'fen'jiao
上江,shang'jiang
上一秒钟,shang'yi'miao'zhong
社后,she'hou
畲乡,she'xiang
畲族,she'zu
神龙谷,shen'long'gu
圣华,sheng'hua
盛武肥牛,sheng'wu'fei'niu
石雕,shi'diao
石帆,shi'fan
是噶,shi'ga
石郭,shi'guo
石练,shi'lian
石龙山,shi'long'shan
石门洞,shi'men'dong
石牛,shi'niu
十五里,shi'wu'li
寿尔福路,shou'er'fu'lu
瘦肉丸,shou'rou'wan
舒洪,shu'hong
刷刷锅,shua'shua'guo
睡不去,shui'bu'qu
睡不去了,shui'bu'qu'le
睡得去,shui'de'qu
水阁,shui'ge
水南,shui'nan
丝带绣,si'dai'xiu
四都,si'dou
寺后,si'hou
松阳,song'yang
松阳县,song'yang'xian
遂昌,sui'chang
遂昌县,sui'chang'xian
塔山下,ta'shan'xia
塔石,ta'shi
滩坑,tan'keng
唐刀,tang'dao
汤沐园,tang'mu'yuan
桃花酒,tao'hua'jiu
通校,tong'xiao
万地,wan'di
万象山,wan'xiang'shan
王村口,wang'cun'kou
喂喂喂无,wei'wei'wei'wu
温溪,wen'xi
温溪镇,wen'xi'zhen
喔吼,wo'hou
我丽水,wo'li'shui
我睡不去,wo'shui'bu'qu
我在丽水,wo'zai'li'shui
吴垵,wu'an
武村,wu'cun
五都,wu'dou
婺剧,wu'ju
五里亭,wu'li'ting
五十街,wu'shi'jie
五云镇,wu'yun'zhen
溪边,xi'bian
西城广场,xi'cheng'guang'chang
溪东,xi'dong
溪口,xi'kou
西门外,xi'men'wai
喜梦客,xi'meng'ke
西屏镇,xi'ping'zhen
溪下,xi'xia
溪鱼,xi'yu
吓去,xia'qu
吓去了,xia'qu'le
仙都,xian'du
象溪,xiang'xi
小弄,xiao'nong
小转盘,xiao'zhuan'pan
新碧,xin'bi
新大街,xin'da'jie
新建岭,xin'jian'ling
新路湾,xin'lu'wan
欣苑,xin'yuan
绣绷,xiu'beng
绣布,xiu'bu
绣法,xiu'fa
学不起来,xue'bu'qi'lai
压花,ya'hua
雅溪,ya'xi
研磨,yan'mo
岩泉,yan'quan
杨梅干,yang'mei'gan
叶昌平,ye'chang'ping
叶村,ye'cun
叶俊,ye'jun
叶坦,ye'tan
夜学,ye'xue
意尔康,yi'er'kang
银苑,yin'yuan
英川,ying'chuan
涌金街,yong'jin'jie
囿山,you'shan
囿山路,you'shan'lu
宇雷路,yu'lei'lu
源口,yuan'kou
元立,yuan'li
月觉,yue'jue
云和,yun'he
云和人,yun'he'ren
云和县,yun'he'xian
晕去,yun'qu
在壶镇,zai'hu'zhen
在缙云,zai'jin'yun
在景宁,zai'jing'ning
在丽水,zai'li'shui
在龙泉,zai'long'quan
在青田,zai'qing'tian
在庆元,zai'qing'yuan
在衢州,zai'qu'zhou
在松阳,zai'song'yang
在遂昌,zai'sui'chang
在云和,zai'yun'he
张村,zhang'cun
章旦,zhang'dan
浙江丽水,zhe'jiang'li'shui
真的噶,zhen'de'ga
真铜,zhen'tong
中东路,zhong'dong'lu
中山街,zhong'shan'jie
竹口,zhu'kou
住龙,zhu'long
竹木,zhu'mu
装具,zhuang'ju
紫金大桥,zi'jin'da'qiao
紫金路,zi'jin'lu
左库,zuo'ku
做玩具,zuo'wan'ju
