把动物分为,ba'dong'wu'fen'wei
蠕虫等六纲,ru'chong'deng'liu'gang
软骨鱼纲,ruan'gu'yu'gang
三大类群,san'da'lei'qun
三亿余年前,san'yi'yu'nian'qian
三月三日曲水诗序,san'yue'san'ri'qu'shui'shi'xu
鲨鱼的须,sha'yu'de'xu
鲨鱼皮铠甲,sha'yu'pi'kai'jia
神创论,shen'chuang'lun
生活在海洋里,sheng'huo'zai'hai'yang'li
生命历程进程中,sheng'ming'li'cheng'jin'cheng'zhong
是不再值得的,shi'bu'zai'zhi'de'de
是各种,shi'ge'zhong
世纪瑞典,shi'ji'rui'dian
是脊椎动物中,shi'ji'zhui'dong'wu'zhong
时间的消逝,shi'jian'de'xiao'shi
世界上已知,shi'jie'shang'yi'zhi
食品与,shi'pin'yu
使它们,shi'ta'men
是由完全无知无觉,shi'you'wan'quan'wu'zhi'wu'jue
水虫也,shui'chong'ye
水生动物,shui'sheng'dong'wu
说文,shuo'wen
随着科学的发展,sui'zhe'ke'xue'de'fa'zhan
所下的定义,suo'xia'de'ding'yi
所有的水生动物,suo'you'de'shui'sheng'dong'wu
獭祭鱼,ta'ji'yu
他将动物界分为哺乳,ta'jiang'dong'wu'jie'fen'wei'bu'ru
它们绝大多数,ta'men'jue'da'duo'shu
他在所著的,ta'zai'suo'zhu'de
唐代作为符信用的,tang'dai'zuo'wei'fu'xin'yong'de
特牲礼,te'sheng'li
特指生食的鱼片,te'zhi'sheng'shi'de'yu'pian
通常所说的,tong'chang'suo'shuo'de
通过深厚,tong'guo'shen'hou
铜鱼符,tong'yu'fu
投入水中,tou'ru'shui'zhong
土地薄册,tu'di'bo'ce
豚鱼吉,tun'yu'ji
完全水生并在水中呼吸的有头冷血脊椎动物,wan'quan'shui'sheng'bing'zai'shui'zhong'hu'xi'de'you'tou'leng'xue'ji'zhui'dong'wu
王融,wang'rong
为贵妇乘用,wei'gui'fu'cheng'yong
为腧,wei'shu
文昌鱼,wen'chang'yu
我国汉代初期的,wo'guo'han'dai'chu'qi'de
我国现有,wo'guo'xian'you
五千多年历程,wu'qian'duo'nian'li'cheng
无知之罪,wu'zhi'zhi'zui
系辞下,xi'ci'xia
系统分类学,xi'tong'fen'lei'xue
下的定义是,xia'de'ding'yi'shi
现代分类学,xian'dai'fen'lei'xue
现代分类学家给,xian'dai'fen'lei'xue'jia'gei
鲜鱼曰脡祭,xian'yu'yue'ting'ji
相伴人类,xiang'ban'ren'lei
像鱼鳞那样,xiang'yu'lin'na'yang
象鱼形,xiang'yu'xing
形容威仪整肃的样子,xing'rong'wei'yi'zheng'su'de'yang'zi
许多生活,xu'duo'sheng'huo
鸦飞成阵,ya'fei'cheng'zhen
演化而来的,yan'hua'er'lai'de
雁门郡,yan'men'jun
也发生了,ye'fa'sheng'le
也就确定下来,ye'jiu'que'ding'xia'lai
以佃以鱼,yi'dian'yi'yu
一个新的,yi'ge'xin'de
仪礼,yi'li
一书中,yi'shu'zhong
意同鱼契,yi'tong'yu'qi
以为在,yi'wei'zai
一种水生脊椎动物,yi'zhong'shui'sheng'ji'zhui'dong'wu
因而把,yin'er'ba
隐公五年,yin'gong'wu'nian
因为它们,yin'wei'ta'men
因为鱼贯行,yin'wei'yu'guan'xing
硬骨骨骼,ying'gu'gu'ge
硬骨鱼纲,ying'gu'yu'gang
英国生物学家,ying'guo'sheng'wu'xue'jia
应如何下,ying'ru'he'xia
用鳍游泳,yong'qi'you'yong
用鳃呼吸,yong'sai'hu'xi
用鱼皮装饰的一种车辆,yong'yu'pi'zhuang'shi'de'yi'zhong'che'liang
由于近代科学的发展,you'yu'jin'dai'ke'xue'de'fa'zhan
有着不同的定义,you'zhe'bu'tong'de'ding'yi
鱼肠尺素,yu'chang'chi'su
鱼沉雁杳,yu'chen'yan'yao
鱼船,yu'chuan
鱼的定义,yu'de'ding'yi
鱼钓,yu'diao
鱼封,yu'feng
鱼幅,yu'fu
鱼符,yu'fu
鱼舸,yu'ge
鱼罟,yu'gu
鱼鸿,yu'hong
鱼后一寸陷者中也,yu'hou'yi'cun'xian'zhe'zhong'ye
鱼户,yu'hu
鱼鲩冠儿,yu'huan'guan'er
鱼甲,yu'jia
鱼甲烟聚,yu'jia'yan'ju
鱼脍,yu'kuai
鱼烂,yu'lan
鱼榔,yu'lang
鱼类包括,yu'lei'bao'kuo
鱼类的定义,yu'lei'de'ding'yi
鱼类和米粮,yu'lei'he'mi'liang
鱼类近,yu'lei'jin
鱼类约有,yu'lei'yue'you
鱼鳞册,yu'lin'ce
鱼鳞图册,yu'lin'tu'ce
鱼舲,yu'ling
鱼米,yu'mi
鱼名,yu'ming
鱼木精,yu'mu'jing
鱼脑骨似的,yu'nao'gu'shi'de
鱼契,yu'qi
与人类,yu'ren'lei
鱼上冰,yu'shang'bing
鱼市,yu'shi
鱼十有五,yu'shi'you'wu
鱼书,yu'shu
鱼素,yu'su
鱼网之设,yu'wang'zhi'she
鱼尾与燕尾相似,yu'wei'yu'yan'wei'xiang'si
鱼形的符信,yu'xing'de'fu'xin
鱼形动物,yu'xing'dong'wu
鱼须,yu'xu
鱼轩,yu'xuan
鱼秧,yu'yang
鱼鱼雅雅,yu'yu'ya'ya
鱼罩,yu'zhao
鱼质龙文外貌似龙,yu'zhi'long'wen'wai'mao'si'long
园口纲,yuan'kou'gang
圆口类,yuan'kou'lei
约占脊椎动物总数的,yue'zhan'ji'zhui'dong'wu'zong'shu'de
在不同年代,zai'bu'tong'nian'dai
在地球上的鱼类,zai'di'qiu'shang'de'yu'lei
在水中的,zai'shui'zhong'de
载于北宋编撰之,zai'yu'bei'song'bian'zhuan'zhi
在整个悠久历史过程中,zai'zheng'ge'you'jiu'li'shi'guo'cheng'zhong
造出来的,zao'chu'lai'de
早已彻底否定了,zao'yi'che'di'fou'ding'le
早已随着,zao'yi'sui'zhe
这就是鱼,zhe'jiu'shi'yu
这一类,zhe'yi'lei
这一类中,zhe'yi'lei'zhong
这种观点,zhe'zhong'guan'dian
真正的鱼类,zhen'zheng'de'yu'lei
征派赋役,zheng'pai'fu'yi
指瑞,zhi'rui
指手拇指,zhi'shou'mu'zhi
指书信,zhi'shu'xin
重大的飞跃,zhong'da'de'fei'yue
种类最多的一大类,zhong'lei'zui'duo'de'yi'da'lei
终生生活在水里,zhong'sheng'sheng'huo'zai'shui'li
中医穴位名,zhong'yi'xue'wei'ming
种左右,zhong'zuo'you
周本记,zhou'ben'ji
状如鱼腹的部位,zhuang'ru'yu'fu'de'bu'wei
自然系统,zi'ran'xi'tong
自实丰仓归,zi'shi'feng'cang'gui
走过了,zou'guo'le
罪恶的后代,zui'e'de'hou'dai
最早出现于,zui'zao'chu'xian'yu
作为有了,zuo'wei'you'le
