八音能谐,ba'yin'neng'xie
旁罗日月星辰水波土石金玉,pang'luo'ri'yue'xing'chen'shui'bo'tu'shi'jin'yu
披九山,pi'jiu'shan
披山通道,pi'shan'tong'dao
辟四门,pi'si'men
平者去之,ping'zhe'qu'zhi
普施利物,pu'shi'li'wu
扑作教刑,pu'zuo'jiao'xing
其得姓者十四人,qi'de'xing'zhe'shi'si'ren
其德嶷嶷,qi'de'yi'yi
其动也时,qi'dong'ye'shi
其二曰昌意,qi'er'yue'chang'yi
其发明五帝德帝系姓章矣,qi'fa'ming'wu'di'de'di'xi'xing'zhang'yi
其服也士,qi'fu'ye'shi
其号放勋,qi'hao'fang'xun
其何如,qi'he'ru
其後皆有天下,qi'hou'jie'you'tian'xia
其民析,qi'min'xi
其民夷易,qi'min'yi'yi
其民因,qi'min'yin
其民燠,qi'min'yu
其仁如天,qi'ren'ru'tian
其色郁郁,qi'se'yu'yu
其孙昌意之子高阳立,qi'sun'chang'yi'zhi'zi'gao'yang'li
其所表见皆不虚,qi'suo'biao'jian'jie'bu'xu
契为商,qi'wei'shang
弃为周,qi'wei'zhou
其文不雅驯,qi'wen'bu'ya'xun
其轶乃时时见於他说,qi'yi'nai'shi'shi'jian'yu'ta'shuo
其一曰玄嚣,qi'yi'yue'xuan'xiao
其用僻,qi'yong'pi
其知如神,qi'zhi'ru'shen
弃主稷,qi'zhu'ji
契主司徒,qi'zhu'si'tu
迁三苗於三危,qian'san'miao'yu'san'wei
迁徙往来无常处,qian'xi'wang'lai'wu'chang'chu
迁于四裔,qian'yu'si'yi
桥牛父曰句望,qiao'niu'fu'yue'ju'wang
钦哉,qin'zai
请流共工於幽陵,qing'liu'gong'gong'yu'you'ling
青阳降居江水,qing'yang'jiang'ju'jiang'shui
穷蝉父曰帝颛顼,qiong'chan'fu'yue'di'zhuan'xu
取地之财而节用之,qu'di'zhi'cai'er'jie'yong'zhi
娶娵訾氏女,qu'ju'zi'shi'nv
群后四朝,qun'hou'si'chao
然後得其志,ran'hou'de'qi'zhi
然後禹践天子位,ran'hou'yu'jian'tian'zi'wei
然尚书独载尧以来,ran'shang'shu'du'zai'yao'yi'lai
让丹硃,rang'dan'zhu
让於稷契与皋陶,rang'yu'ji'qi'yu'gao'tao
让于诸臣硃虎熊罴,rang'yu'zhu'chen'zhu'hu'xiong'pi
仁而威,ren'er'wei
日短,ri'duan
日以笃谨,ri'yi'du'jin
日永,ri'yong
日月所照,ri'yue'suo'zhao
日中,ri'zhong
如妇礼,ru'fu'li
汝后稷播时百穀,ru'hou'ji'bo'shi'bai'gu
汝能庸命,ru'neng'yong'ming
汝平水土,ru'ping'shui'tu
如丧父母,ru'sang'fu'mu
如舜让尧子,ru'shun'rang'yao'zi
汝为司徒,ru'wei'si'tu
如五器,ru'wu'qi
汝谐,ru'xie
儒者或不传,ru'zhe'huo'bu'chuan
如子道,ru'zi'dao
汝作士,ru'zuo'shi
弱而能言,ruo'er'neng'yan
三考绌陟,san'kao'chu'zhi
三苗在江淮荆州数为乱,san'miao'zai'jiang'huai'jing'zhou'shu'wei'luan
三年,san'nian
三年成都,san'nian'cheng'du
三年丧毕,san'nian'sang'bi
三年矣,san'nian'yi
三年之丧毕,san'nian'zhi'sang'bi
三十而帝尧问可用者,san'shi'er'di'yao'wen'ke'yong'zhe
三岁一考功,san'sui'yi'kao'gong
三战,san'zhan
山泽辟,shan'ze'pi
汤汤洪水滔天,shang'shang'hong'shui'tao'tian
上下咸让,shang'xia'xian'rang
尚矣,shang'yi
少典之子,shao'dian'zhi'zi
少昚氏有不才子,shao'shen'shi'you'bu'cai'zi
摄政八年而尧崩,she'zheng'ba'nian'er'yao'beng
申命和叔,shen'ming'he'shu
申命和仲,shen'ming'he'zhong
申命羲叔,shen'ming'xi'shu
神农氏世衰,shen'nong'shi'shi'shuai
神人以和,shen'ren'yi'he
甚有妇道,shen'you'fu'dao
生而神灵,sheng'er'shen'ling
生二子,sheng'er'zi
生放勋,sheng'fang'xun
生高阳,sheng'gao'yang
声依永,sheng'yi'yong
眚灾过,sheng'zai'guo
生挚,sheng'zhi
时播百穀草木,shi'bo'bai'gu'cao'mu
示不敢专也,shi'bu'gan'zhuan'ye
试不可用而已,shi'bu'ke'yong'er'yi
使布五教于四方,shi'bu'wu'jiao'yu'si'fang
世得其利,shi'de'qi'li
十二牧行而九州莫敢辟违,shi'er'mu'xing'er'jiu'zhou'mo'gan'pi'wei
世济其美,shi'ji'qi'mei
使九男与处以观其外,shi'jiu'nan'yu'chu'yi'guan'qi'wai
使居官相事,shi'ju'guan'xiang'shi
十七年而崩,shi'qi'nian'er'beng
使舜上涂廪,shi'shun'shang'tu'lin
使舜摄行天子政,shi'shun'she'xing'tian'zi'zheng
是为帝喾,shi'wei'di'ku
是为帝舜,shi'wei'di'shun
是为帝尧,shi'wei'di'yao
是为帝颛顼也,shi'wei'di'zhuan'xu'ye
是为黄帝,shi'wei'huang'di
是为嫘祖,shi'wei'lei'zu
是为零陵,shi'wei'ling'ling
是为青阳,shi'wei'qing'yang
世谓之八元,shi'wei'zhi'ba'yuan
诗言意,shi'yan'yi
十一月,shi'yi'yue
试之而无功,shi'zhi'er'wu'gong
使主后土,shi'zhu'hou'tu
授丹硃,shou'dan'zhu
授舜,shou'shun
数法日月星辰,shu'fa'ri'yue'xing'chen
书缺有间矣,shu'que'you'jian'yi
疏通而知事,shu'tong'er'zhi'shi
谁可顺此事,shui'ke'shun'ci'shi
谁可者,shui'ke'zhe
谁能驯予工,shui'neng'xun'yu'gong
谁能驯予上下草木鸟兽,shui'neng'xun'yu'shang'xia'cao'mu'niao'shou
舜避逃,shun'bi'tao
舜宾於四门,shun'bin'yu'si'men
舜饬下二女於妫汭,shun'chi'xia'er'nv'yu'gui'rui
舜穿井为匿空旁出,shun'chuan'jing'wei'ni'kong'pang'chu
舜从匿空出,shun'cong'ni'kong'chu
舜得举用事二十年,shun'de'ju'yong'shi'er'shi'nian
舜父瞽叟盲,shun'fu'gu'sou'mang
舜父瞽叟顽,shun'fu'gu'sou'wan
舜复事瞽叟爱弟弥谨,shun'fu'shi'gu'sou'ai'di'mi'jin
舜耕历山,shun'geng'li'shan
舜既入深,shun'ji'ru'shen
舜举八恺,shun'ju'ba'kai
舜居妫汭,shun'ju'gui'rui
舜乃以两笠自扞而下,shun'nai'yi'liang'li'zi'han'er'xia
舜乃豫荐禹於天,shun'nai'yu'jian'yu'yu'tian
舜乃在璿玑玉衡,shun'nai'zai'xuan'ji'yu'heng
舜年二十以孝闻,shun'nian'er'shi'yi'xiao'wen
舜妻尧二女,shun'qi'yao'er'nv
舜让辟丹硃於南河之南,shun'rang'pi'dan'zhu'yu'nan'he'zhi'nan
舜让於德不怿,shun'rang'yu'de'bu'yi
舜入于大麓,shun'ru'yu'da'lu
顺事父及後母与弟,shun'shi'fu'ji'hou'mu'yu'di
舜受终於文祖,shun'shou'zhong'yu'wen'zu
舜顺適不失子道,shun'shun'shi'bu'shi'zi'dao
顺天地之纪,shun'tian'di'zhi'ji
顺天之义,shun'tian'zhi'yi
舜往见之,shun'wang'jian'zhi
舜谓四岳曰,shun'wei'si'yue'yue
舜行不迷,shun'xing'bu'mi
舜曰,shun'yue
舜曰天也,shun'yue'tian'ye
舜之践帝位,shun'zhi'jian'di'wei
舜子商均,shun'zi'shang'jun
舜子商均亦不肖,shun'zi'shang'jun'yi'bu'xiao
四方莫举乐,si'fang'mo'ju'le
似恭漫天,si'gong'man'tian
四海之内咸戴帝舜之功,si'hai'zhi'nei'xian'dai'di'shun'zhi'gong
四门穆穆,si'men'mu'mu
死生之说,si'sheng'zhi'shuo
四岳,si'yue
四岳举鲧治鸿水,si'yue'ju'gun'zhi'hong'shui
四岳咸荐虞舜,si'yue'xian'jian'yu'shun
嗣子丹硃开明,si'zi'dan'zhu'kai'ming
四罪而天下咸服,si'zui'er'tian'xia'xian'fu
夙夜出入朕命,su'ye'chu'ru'zhen'ming
夙夜维敬,su'ye'wei'jing
岁二月,sui'er'yue
遂见东方君长,sui'jian'dong'fang'jun'zhang
遂类于上帝,sui'lei'yu'shang'di
遂禽蚩尤,sui'qin'chi'you
遂禽杀蚩尤,sui'qin'sha'chi'you
岁三百六十六日,sui'san'bai'liu'shi'liu'ri
遂以硃虎熊罴为佐,sui'yi'zhu'hu'xiong'pi'wei'zuo
太史公曰,tai'shi'gong'yue
贪于饮食,tan'yu'yin'shi
陶河滨,tao'he'bin
天下恶之,tian'xia'e'zhi
天下归舜,tian'xia'gui'shun
天下明德皆自虞帝始,tian'xia'ming'de'jie'zi'yu'di'shi
天下谓之檮杌,tian'xia'wei'zhi'chou'wu
天下谓之浑沌,tian'xia'wei'zhi'hun'dun
天下谓之穷奇,tian'xia'wei'zhi'qiong'qi
天下谓之饕餮,tian'xia'wei'zhi'tao'tie
天下有不顺者,tian'xia'you'bu'shun'zhe
天子弗臣,tian'zi'fu'chen
彤车乘白马,tong'che'cheng'bai'ma
通九泽,tong'jiu'ze
同律度量衡,tong'lv'du'liang'heng
万国和,wan'guo'he
顽凶,wan'xiong
往朝父瞽叟,wang'chao'fu'gu'sou
往矣,wang'yi
望于山川,wang'yu'shan'chuan
望之如云,wang'zhi'ru'yun
望秩於山川,wang'zhi'yu'shan'chuan
未尝宁居,wei'chang'ning'ju
维明能信,wei'ming'neng'xin
维是勉哉,wei'shi'mian'zai
惟时相天事,wei'shi'xiang'tian'shi
惟信,wei'xin
惟刑之静哉,wei'xing'zhi'jing'zai
未有分职,wei'you'fen'zhi
唯禹之功为大,wei'yu'zhi'gong'wei'da
为云师,wei'yun'shi
谓之八恺,wei'zhi'ba'kai
为筑仓廪,wei'zhu'cang'lin
文祖者,wen'zu'zhe
我思舜正郁陶,wo'si'shun'zheng'yu'tao
五典能从,wu'dian'neng'cong
五度三居,wu'du'san'ju
五服三就,wu'fu'san'jiu
五流有度,wu'liu'you'du
五品不驯,wu'pin'bu'xun
吾其试哉,wu'qi'shi'zai
五岁一巡狩,wu'sui'yi'xun'shou
毋相夺伦,wu'xiang'duo'lun
五刑有服,wu'xing'you'fu
五月,wu'yue
五种,wu'zhong
昔帝鸿氏有不才子,xi'di'hong'shi'you'bu'cai'zi
昔高阳氏有才子八人,xi'gao'yang'shi'you'cai'zi'ba'ren
悉举贵戚及疏远隐匿者,xi'ju'gui'qi'ji'shu'yuan'yin'ni'zhe
西戎析枝渠廋氐羌,xi'rong'xi'zhi'qu'sou'di'qiang
西巡狩,xi'xun'shou
西至于空桐,xi'zhi'yu'kong'tong
西至于流沙,xi'zhi'yu'liu'sha
下民其忧,xia'min'qi'you
贤哉二君,xian'zai'er'jun
象傲,xiang'ao
象鄂不怿,xiang'e'bu'yi
象乃止舜宫居,xiang'nai'zhi'shun'gong'ju
象取之,xiang'qu'zhi
象以典刑,xiang'yi'dian'xing
象与其父母分,xiang'yu'qi'fu'mu'fen
象曰本谋者象,xiang'yue'ben'mou'zhe'xiang
小大远近,xiao'da'yuan'jin
絜诚以祭祀,xie'cheng'yi'ji'si
信饬百官,xin'chi'bai'guan
心知其意,xin'zhi'qi'yi
姓公孙,xing'gong'sun
行厚德,xing'hou'de
星火,xing'huo
姓姬氏,xing'ji'shi
星昴,xing'mao
星鸟,xing'niao
姓姒氏,xing'si'shi
星虚,xing'xu
姓子氏,xing'zi'shi
兄弟孝慈,xiong'di'xiao'ci
兄友,xiong'you
脩身而天下服,xiu'shen'er'tian'xia'fu
脩五礼五玉三帛二生一死为挚,xiu'wu'li'wu'yu'san'bo'er'sheng'yi'si'wei'zhi
玄德升闻,xuan'de'sheng'wen
玄嚣父曰黄帝,xuan'xiao'fu'yue'huang'di
轩辕乃修德振兵,xuan'yuan'nai'xiu'de'zhen'bing
轩辕之时,xuan'yuan'zhi'shi
学者多称五帝,xue'zhe'duo'cheng'wu'di
巡狩,xun'shou
炎帝欲侵陵诸侯,yan'di'yu'qin'ling'zhu'hou
言毋凶人也,yan'wu'xiong'ren'ye
掩义隐贼,yan'yi'yin'zei
养材以任地,yang'cai'yi'ren'di
尧崩,yao'beng
尧大祖也,yao'da'zu'ye
尧二女不敢以贵骄事舜亲戚,yao'er'nv'bu'gan'yi'gui'jiao'shi'shun'qin'qi
尧九男皆益笃,yao'jiu'nan'jie'yi'du
尧老,yao'lao
尧立七十年得舜,yao'li'qi'shi'nian'de'shun
尧乃赐舜絺衣,yao'nai'ci'shun'chi'yi
尧乃知舜之足授天下,yao'nai'zhi'shun'zhi'zu'shou'tian'xia
尧辟位凡二十八年而崩,yao'pi'wei'fan'er'shi'ba'nian'er'beng
尧善之,yao'shan'zhi
尧使舜入山林川泽,yao'shi'shun'ru'shan'lin'chuan'ze
尧未能举,yao'wei'neng'ju
尧未能去,yao'wei'neng'qu
尧以为不可,yao'yi'wei'bu'ke
尧以为圣,yao'yi'wei'sheng
尧又曰,yao'you'yue
尧於是听岳用鲧,yao'yu'shi'ting'yue'yong'gun
尧曰,yao'yue
尧曰不可而试之工师,yao'yue'bu'ke'er'shi'zhi'gong'shi
尧曰终不以天下之病而利一人,yao'yue'zhong'bu'yi'tian'xia'zhi'bing'er'li'yi'ren
尧知子丹硃之不肖,yao'zhi'zi'dan'zhu'zhi'bu'xiao
尧子丹硃,yao'zi'dan'zhu
夜中,ye'zhong
益拜稽首,yi'bai'qi'shou
以变北狄,yi'bian'bei'di
以变东夷,yi'bian'dong'yi
以变南蛮,yi'bian'nan'man
以变西戎,yi'bian'xi'rong
以奉先祀,yi'feng'xian'si
以观天命,yi'guan'tian'ming
依鬼神以制义,yi'gui'shen'yi'zhi'yi
以客见天子,yi'ke'jian'tian'zi
以揆百事,yi'kui'bai'shi
以夔为典乐,yi'kui'wei'dian'le
一年而所居成聚,yi'nian'er'suo'ju'cheng'ju
以齐七政,yi'qi'qi'zheng
以亲九族,yi'qin'jiu'zu
以汝为秩宗,yi'ru'wei'zhi'zong
以闰月正四时,yi'run'yue'zheng'si'shi
以师兵为营卫,yi'shi'bing'wei'ying'wei
以舜为已死,yi'shun'wei'yi'si
以思尧,yi'si'yao
揖五瑞,yi'wu'rui
以殷中春,yi'yin'zhong'chun
以御螭魅,yi'yu'chi'mei
