阿波罗御庭酒店,a'bo'luo'yu'ting'jiu'dian
火车南站,huo'che'nan'zhan
火车站,huo'che'zhan
火车站东广场,huo'che'zhan'dong'guang'chang
疾控中心,ji'kong'zhong'xin
机械工业园,ji'xie'gong'ye'yuan
驾管所,jia'guan'suo
驾考中心,jia'kao'zhong'xin
检察院,jian'cha'yuan
建军村,jian'jun'cun
建设路口,jian'she'lu'kou
建申桥,jian'shen'qiao
交警支队,jiao'jing'zhi'dui
交通局,jiao'tong'ju
解放路,jie'fang'lu
金达雅公司,jin'da'ya'gong'si
金鹗小学,jin'e'xiao'xue
金湖花园,jin'hu'hua'yuan
金辉小区,jin'hui'xiao'qu
金联星,jin'lian'xing
金盆社区,jin'pen'she'qu
金泰粮油,jin'tai'liang'you
锦绣河山,jin'xiu'he'shan
经编厂,jing'bian'chang
兢才修业学校,jing'cai'xiu'ye'xue'xiao
旧货市场,jiu'huo'shi'chang
九盛家居,jiu'sheng'jia'ju
九兴家电,jiu'xing'jia'dian
君山区检察院,jun'shan'qu'jian'cha'yuan
君山区农业局,jun'shan'qu'nong'ye'ju
君山区人民医院,jun'shan'qu'ren'min'yi'yuan
君山区卫生局,jun'shan'qu'wei'sheng'ju
君山小学,jun'shan'xiao'xue
君山纸厂,jun'shan'zhi'chang
开发区管委会,kai'fa'qu'guan'wei'hui
开发区农行,kai'fa'qu'nong'hang
康尔药业,kang'er'yao'ye
康王新区,kang'wang'xin'qu
康岳花园,kang'yue'hua'yuan
快乐英语学校,kuai'le'ying'yu'xue'xiao
昆山,kun'shan
莱科所,lai'ke'suo
劳动力市场,lao'dong'li'shi'chang
老干宾馆,lao'gan'bin'guan
雷锋山,lei'feng'shan
雷锋山社区,lei'feng'shan'she'qu
冷水库办事处,leng'shui'ku'ban'shi'chu
冷水铺,leng'shui'pu
冷水铺工商所,leng'shui'pu'gong'shang'suo
冷水铺十字路口,leng'shui'pu'shi'zi'lu'kou
立交桥南,li'jiao'qiao'nan
丽珠陶瓷,li'zhu'tao'ci
莲花塘,lian'hua'tang
联通公司,lian'tong'gong'si
联运大厦,lian'yun'da'sha
粮库,liang'ku
临港新区,lin'gang'xin'qu
六九,liu'jiu
柳林洲,liu'lin'zhou
楼区妇幼保健院,lou'qu'fu'you'bao'jian'yuan
楼区公安分局,lou'qu'gong'an'fen'ju
楼区疾控中心,lou'qu'ji'kong'zhong'xin
楼区武装部,lou'qu'wu'zhuang'bu
洛王,luo'wang
洛王社区,luo'wang'she'qu
率新麻织厂,lv'xin'ma'zhi'chang
麻纺厂,ma'fang'chang
茅栗铺,mao'li'pu
美食街,mei'shi'jie
梅溪中学,mei'xi'zhong'xue
梅子柿,mei'zi'shi
梅子柿村,mei'zi'shi'cun
民族学院,min'zu'xue'yuan
明月大酒店,ming'yue'da'jiu'dian
南湖宾馆,nan'hu'bin'guan
南湖电排站,nan'hu'dian'pai'zhan
南湖广场,nan'hu'guang'chang
南湖路口,nan'hu'lu'kou
南湖社区,nan'hu'she'qu
南湖水殖,nan'hu'shui'zhi
南湖寓园,nan'hu'yu'yuan
南岳坡,nan'yue'po
藕塘坡社区,ou'tang'po'she'qu
畔湖湾,pan'hu'wan
潘家祖,pan'jia'zu
飘尾,piao'wei
平地,ping'di
平田村,ping'tian'cun
七彩艺校,qi'cai'yi'xiao
汽车站,qi'che'zhan
七里山,qi'li'shan
桥石,qiao'shi
青春园大酒店,qing'chun'yuan'da'jiu'dian
青年东路,qing'nian'dong'lu
青年路立交桥,qing'nian'lu'li'jiao'qiao
求真学校,qiu'zhen'xue'xiao
区财政局,qu'cai'zheng'ju
区公路局,qu'gong'lu'ju
区建设局,qu'jian'she'ju
屈原路口,qu'yuan'lu'kou
屈原南路,qu'yuan'nan'lu
区政府,qu'zheng'fu
人大新区,ren'da'xin'qu
日化公司,ri'hua'gong'si
肉联厂,rou'lian'chang
三店,san'dian
三荷,san'he
三角线,san'jiao'xian
三旗,san'qi
三鑫驾校,san'xin'jia'xiao
三医院,san'yi'yuan
尚书山公园,shang'shu'shan'gong'yuan
商业大厦,shang'ye'da'sha
神堂村,shen'tang'cun
申湘汽车公司,shen'xiang'qi'che'gong'si
圣安寺,sheng'an'si
省建三公司,sheng'jian'san'gong'si
省建五公司,sheng'jian'wu'gong'si
生态蒲萄园,sheng'tai'pu'tao'yuan
市城管局,shi'cheng'guan'ju
市氮肥厂,shi'dan'fei'chang
市二医院,shi'er'yi'yuan
市妇幼保健院,shi'fu'you'bao'jian'yuan
市公安局,shi'gong'an'ju
世纪星,shi'ji'xing
市康复医院分院,shi'kang'fu'yi'yuan'fen'yuan
市劳动局,shi'lao'dong'ju
史密斯公司,shi'mi'si'gong'si
市七中,shi'qi'zhong
市三医院,shi'san'yi'yuan
市生殖保健医院,shi'sheng'zhi'bao'jian'yi'yuan
市生殖健康医院,shi'sheng'zhi'jian'kang'yi'yuan
市石油公司,shi'shi'you'gong'si
市四中,shi'si'zhong
市委,shi'wei
市五中,shi'wu'zhong
市一医院东院,shi'yi'yi'yuan'dong'yuan
市一院东院,shi'yi'yuan'dong'yuan
市一职业中专,shi'yi'zhi'ye'zhong'zhuan
市一中,shi'yi'zhong
市运管局,shi'yun'guan'ju
市政府,shi'zheng'fu
市政府社区,shi'zheng'fu'she'qu
市政公司,shi'zheng'gong'si
市政沥青厂,shi'zheng'li'qing'chang
市政协,shi'zheng'xie
市肿瘤医院,shi'zhong'liu'yi'yuan
市中医院,shi'zhong'yi'yuan
蔬菜市场,shu'cai'shi'chang
水果市场,shui'guo'shi'chang
水泥厂,shui'ni'chang
四分场,si'fen'chang
四化建,si'hua'jian
四化建家属区,si'hua'jian'jia'shu'qu
松阳湖,song'yang'hu
松阳湖四分厂,song'yang'hu'si'fen'chang
松阳湖一分厂,song'yang'hu'yi'fen'chang
泰格林纸,tai'ge'lin'zhi
泰和商城,tai'he'shang'cheng
泰和商厦,tai'he'shang'sha
太平桥,tai'ping'qiao
太阳桥市场,tai'yang'qiao'shi'chang
太子庙,tai'zi'miao
桃李村,tao'li'cun
天鹅山庄,tian'e'shan'zhuang
天伦城,tian'lun'cheng
土马,tu'ma
土桥,tu'qiao
土桥小学,tu'qiao'xiao'xue
土桥新大新酒店,tu'qiao'xin'da'xin'jiu'dian
团湖,tuan'hu
望湖公寓,wang'hu'gong'yu
望湖路口,wang'hu'lu'kou
王家河大桥,wang'jia'he'da'qiao
汪家岭,wang'jia'ling
王桥,wang'qiao
威尔机械,wei'er'ji'xie
威尔机械厂,wei'er'ji'xie'chang
五里牌,wu'li'pai
五龙潭,wu'long'tan
湘北女校,xiang'bei'nv'xiao
湘北市场,xiang'bei'shi'chang
湘岳医院,xiang'yue'yi'yuan
乡砖厂,xiang'zhuan'chang
新大新酒店,xin'da'xin'jiu'dian
新华书店,xin'hua'shu'dian
新开林场,xin'kai'lin'chang
新开塘,xin'kai'tang
新开政府,xin'kai'zheng'fu
新路口,xin'lu'kou
新路口小区,xin'lu'kou'xiao'qu
信用联社,xin'yong'lian'she
兴长汽站,xing'chang'qi'zhan
兴燕汽贸公司,xing'yan'qi'mao'gong'si
刑侦大队,xing'zhen'da'dui
胥家桥村,xu'jia'qiao'cun
雅典新城,ya'dian'xin'cheng
雅典新城东,ya'dian'xin'cheng'dong
延寿村口,yan'shou'cun'kou
延寿洞口,yan'shou'dong'kou
延寿小学,yan'shou'xiao'xue
一分厂,yi'fen'chang
一分场,yi'fen'chang
一工区,yi'gong'qu
医院函洞口,yi'yuan'han'dong'kou
银杏山庄,yin'xing'shan'zhuang
迎丰村,ying'feng'cun
鹰化厂区,ying'hua'chang'qu
应山,ying'shan
永城村,yong'cheng'cun
永城铺,yong'cheng'pu
油厂,you'chang
预备役三团,yu'bei'yi'san'tuan
岳城小学,yue'cheng'xiao'xue
岳化二工区,yue'hua'er'gong'qu
岳化一工区,yue'hua'yi'gong'qu
岳化医院南院,yue'hua'yi'yuan'nan'yuan
岳荣路口,yue'rong'lu'kou
岳阳,yue'yang
岳阳北站,yue'yang'bei'zhan
岳阳电大,yue'yang'dian'da
岳阳乐园,yue'yang'le'yuan
岳阳楼景区,yue'yang'lou'jing'qu
岳州中学,yue'zhou'zhong'xue
云梦律师楼,yun'meng'lv'shi'lou
云山街口,yun'shan'jie'kou
云溪宾馆,yun'xi'bin'guan
云溪地税局,yun'xi'di'shui'ju
云溪区政府,yun'xi'qu'zheng'fu
云中路,yun'zhong'lu
站前医院,zhan'qian'yi'yuan
张鸡桥,zhang'ji'qiao
征稽处,zheng'ji'chu
纸厂,zhi'chang
制药厂,zhi'yao'chang
职业学院,zhi'ye'xue'yuan
职院附属医院,zhi'yuan'fu'shu'yi'yuan
中大物流,zhong'da'wu'liu
中级法院,zhong'ji'fa'yuan
中南批发市场,zhong'nan'pi'fa'shi'chang
中南市场,zhong'nan'shi'chang
中南市场路口,zhong'nan'shi'chang'lu'kou
中南市场南,zhong'nan'shi'chang'nan
贮木场,zhu'mu'chang
竹荫街,zhu'yin'jie
总厂办公楼,zong'chang'ban'gong'lou
