阿巴嘎旗,a'ba'ga'qi
吃甚了,chi'shen'le
吃甚呀,chi'shen'ya
吃莜面,chi'you'mian
吃早点没,chi'zao'dian'mei
吃早点呢,chi'zao'dian'ne
愁的我,chou'de'wo
稠糊,chou'hu
臭美猴,chou'mei'hou
愁死呀,chou'si'ya
丑痛心,chou'tong'xin
出不个,chu'bu'ge
出个了,chu'ge'le
出个呀,chu'ge'ya
出观众,chu'guan'zhong
出来哇,chu'lai'wa
创业学院,chuang'ye'xue'yuan
此地话,ci'di'hua
此货,ci'huo
从包头,cong'bao'tou
从呼市,cong'hu'shi
凑胡,cou'hu
搓火,cuo'huo
打不上车,da'bu'shang'che
大查,da'cha
打大,da'da
打电话哇,da'dian'hua'wa
大东街,da'dong'jie
达古拉,da'gu'la
大黑河,da'hei'he
达拉特,da'la'te
达拉特旗,da'la'te'qi
大力加强,da'li'jia'qiang
大力支持下,da'li'zhi'chi'xia
达茂,da'mao
达茂旗,da'mao'qi
大牧场,da'mu'chang
大南街,da'nan'jie
大内蒙,da'nei'meng
大清明,da'qing'ming
大青山,da'qing'shan
打扰家,da'rao'jia
打扫家,da'sao'jia
打上车没,da'shang'che'mei
大商城,da'shang'cheng
大盛魁,da'sheng'kui
大台,da'tai
大统,da'tong
大细细,da'xi'xi
大学东街,da'xue'dong'jie
大学东路,da'xue'dong'lu
大学西街,da'xue'xi'jie
大学西路,da'xue'xi'lu
大昭寺,da'zhao'si
打字哇,da'zi'wa
呆的吧,dai'de'ba
呆的了,dai'de'le
呆的呢,dai'de'ne
呆的哇,dai'de'wa
岱海,dai'hai
带要,dai'yao
带要不,dai'yao'bu
但求是,dan'qiu'shi
到包头,dao'bao'tou
到赤峰,dao'chi'feng
到呼和浩特,dao'hu'he'hao'te
到呼市,dao'hu'shi
叨啦,dao'la
叨了,dao'le
到内蒙,dao'nei'meng
到内蒙古,dao'nei'meng'gu
道日娜,dao'ri'na
到时候看哇,dao'shi'hou'kan'wa
到通辽,dao'tong'liao
到行了,dao'xing'le
的保护,de'bao'hu
的不了,de'bu'liao
德克隆,de'ke'long
的了哇,de'le'wa
等不上,deng'bu'shang
等不上你,deng'bu'shang'ni
等的吧,deng'de'ba
等的了,deng'de'le
等的呢,deng'de'ne
等的哇,deng'de'wa
等等哇,deng'deng'wa
磴口,deng'kou
磴口县,deng'kou'xian
等你的了,deng'ni'de'le
等你的呢,deng'ni'de'ne
等我的啊,deng'wo'de'a
底店,di'dian
电话哇,dian'hua'wa
电力家园,dian'li'jia'yuan
丁香路,ding'xiang'lu
东岸国际,dong'an'guo'ji
东方罗马,dong'fang'luo'ma
东河,dong'he
东河区,dong'he'qu
东河湾,dong'he'wan
东库街,dong'ku'jie
东胜,dong'sheng
东胜的,dong'sheng'de
东胜了,dong'sheng'le
东升庙,dong'sheng'miao
东胜区,dong'sheng'qu
冻死呀,dong'si'ya
东瓦窑,dong'wa'yao
东乌旗,dong'wu'qi
东影,dong'ying
东影南路,dong'ying'nan'lu
都不带要,dou'bu'dai'yao
豆腐坊,dou'fu'fang
都也,dou'ye
都也是,dou'ye'shi
杜强,du'qiang
肚疼的,du'teng'de
对的了,dui'de'le
对夹,dui'jia
对象哇,dui'xiang'wa
炖骨头,dun'gu'tou
炖羊肉,dun'yang'rou
多会,duo'hui
多会儿,duo'hui'er
多会儿回来,duo'hui'er'hui'lai
多会放假,duo'hui'fang'jia
多会回来,duo'hui'hui'lai
多会回来的,duo'hui'hui'lai'de
多会回来呀,duo'hui'hui'lai'ya
多会来,duo'hui'lai
多回来呀,duo'hui'lai'ya
多会能,duo'hui'neng
多会去,duo'hui'qu
多会睡,duo'hui'shui
多会呀,duo'hui'ya
多会要,duo'hui'yao
多会有,duo'hui'you
多会有时间,duo'hui'you'shi'jian
多会走,duo'hui'zou
多了哇,duo'le'wa
多伦县,duo'lun'xian
多斯,duo'si
鄂尔多斯,e'er'duo'si
鄂尔多斯大街,e'er'duo'si'da'jie
鄂尔多斯的,e'er'duo'si'de
鄂尔多斯市,e'er'duo'si'shi
额尔古纳,e'er'gu'na
饿坏呀,e'huai'ya
额吉,e'ji
鄂伦春,e'lun'chun
饿死呀,e'si'ya
鄂托克,e'tuo'ke
鄂托克旗,e'tuo'ke'qi
鄂温克,e'wen'ke
恩和家园,en'he'jia'yuan
嗯是了,en'shi'le
嗯是么,en'shi'me
嗯是呢,en'shi'ne
二道河,er'dao'he
二妗,er'jin
二连,er'lian
二连浩特,er'lian'hao'te
二连浩特市,er'lian'hao'te'shi
二旅社,er'lv'she
二人台,er'ren'tai
二五三,er'wu'san
二霞,er'xia
二学位,er'xue'wei
范家营,fan'jia'ying
放的了,fang'de'le
放的呢,fang'de'ne
芳汀,fang'ting
芳汀花园,fang'ting'hua'yuan
放心哇,fang'xin'wa
分了哇,fen'le'wa
风干肉,feng'gan'rou
疯了就,feng'le'jiu
疯了我就,feng'le'wo'jiu
疯呀,feng'ya
丰镇,feng'zhen
丰镇市,feng'zhen'shi
丰州路,feng'zhou'lu
福成肥牛,fu'cheng'fei'niu
扶贫楼,fu'pin'lou
附院,fu'yuan
附中东巷,fu'zhong'dong'xiang
嘎查,ga'cha
改天哇,gai'tian'wa
敢定,gan'ding
敢个,gan'ge
赶交流,gan'jiao'liu
赶紧睡哇,gan'jin'shui'wa
干嘛的了,gan'ma'de'le
干嘛的呢,gan'ma'de'ne
甘旗卡,gan'qi'ka
干啥的了,gan'sha'de'le
干啥的呢,gan'sha'de'ne
干甚的,gan'shen'de
干甚的了,gan'shen'de'le
干甚了,gan'shen'le
干什么的了,gan'shen'me'de'le
干什么的呢,gan'shen'me'de'ne
干甚呀,gan'shen'ya
刚买上,gang'mai'shang
钢铁大街,gang'tie'da'jie
钢铁路,gang'tie'lu
格尔,ge'er
格根,ge'gen
葛根塔拉,ge'gen'ta'la
各盟市,ge'meng'shi
个跑,ge'pao
格日勒,ge'ri'le
格日勒图,ge'ri'le'tu
个呀,ge'ya
给你哇,gei'ni'wa
给我哇,gei'wo'wa
根河,gen'he
工大的,gong'da'de
公交五公司,gong'jiao'wu'gong'si
公喇嘛,gong'la'ma
公主府,gong'zhu'fu
沟子板,gou'zi'ban
孤的,gu'de
估计哇,gu'ji'wa
故家,gu'jia
鼓楼立交桥,gu'lou'li'jiao'qiao
古摄影,gu'she'ying
固阳县,gu'yang'xian
寡逼,gua'bi
寡的,gua'de
挂的了,gua'de'le
褂褂,gua'gua
乖哄,guai'hong
管你得了,guan'ni'de'le
管求你,guan'qiu'ni
管他的了,guan'ta'de'le
观音庙,guan'yin'miao
光华街,guang'hua'jie
贵巴巴,gui'ba'ba
鬼嚼,gui'jiao
鬼迷溜眼,gui'mi'liu'yan
过个了,guo'ge'le
国家文物局,guo'jia'wen'wu'ju
过来哇,guo'lai'wa
过去哇,guo'qu'wa
过油肉,guo'you'rou
哈达门,ha'da'men
哈拉沁,ha'la'qin
哈斯,ha'si
哈素海,ha'su'hai
哈图,ha'tu
哈呀,ha'ya
海勃湾,hai'bo'wan
海勃湾区,hai'bo'wan'qu
还凑乎,hai'cou'hu
海东路,hai'dong'lu
还好哇,hai'hao'wa
还看的呢,hai'kan'de'ne
海拉尔,hai'la'er
海拉尔的,hai'la'er'de
海拉尔区,hai'la'er'qu
海亮,hai'liang
海亮广场,hai'liang'guang'chang
还忙的呢,hai'mang'de'ne
海日汗,hai'ri'han
还睡得了,hai'shui'de'le
还睡的呢,hai'shui'de'ne
还玩的呢,hai'wan'de'ne
海西路,hai'xi'lu
还行哇,hai'xing'wa
还有啥呢,hai'you'sha'ne
还在呼市,hai'zai'hu'shi
杭锦后旗,hang'jin'hou'qi
杭锦旗,hang'jin'qi
好够的,hao'gou'de
好好学哇,hao'hao'xue'wa
好后生,hao'hou'sheng
好了也,hao'le'ye
好麻烦呀,hao'ma'fan'ya
好呢哇,hao'ne'wa
好女女,hao'nv'nv
好亲呀,hao'qin'ya
毫沁营,hao'qin'ying
浩特,hao'te
喝的呢,he'de'ne
和呼和浩特,he'hu'he'hao'te
和林,he'lin
和林格尔,he'lin'ge'er
和林格尔县,he'lin'ge'er'xian
和林县,he'lin'xian
喝水没,he'shui'mei
河套王,he'tao'wang
和我找,he'wo'zhao
喝药没,he'yao'mei
和爷,he'ye
黑豆地,hei'dou'di
鸿德,hong'de
红火,hong'huo
红火了,hong'huo'le
红火呢,hong'huo'ne
洪利梅,hong'li'mei
红山区,hong'shan'qu
哄娃娃,hong'wa'wa
红腌菜,hong'yan'cai
后半夜了,hou'ban'ye'le
呼包鄂,hu'bao'e
呼和,hu'he
呼和浩特,hu'he'hao'te
呼和浩特的,hu'he'hao'te'de
呼和浩特东,hu'he'hao'te'dong
呼和浩特机场店,hu'he'hao'te'ji'chang'dian
呼和浩特了,hu'he'hao'te'le
呼和浩特市,hu'he'hao'te'shi
呼和佳地,hu'he'jia'di
呼伦贝尔,hu'lun'bei'er
呼伦贝尔市,hu'lun'bei'er'shi
呼伦北路,hu'lun'bei'lu
呼伦南路,hu'lun'nan'lu
胡日查,hu'ri'cha
呼市,hu'shi
呼市啊,hu'shi'a
呼市吧,hu'shi'ba
呼市的,hu'shi'de
呼市店,hu'shi'dian
呼市二中,hu'shi'er'zhong
呼市号,hu'shi'hao
呼市啦,hu'shi'la
呼市了,hu'shi'le
呼市吗,hu'shi'ma
呼市民族商场,hu'shi'min'zu'shang'chang
呼市呢,hu'shi'ne
呼市人,hu'shi'ren
呼市呀,hu'shi'ya
呼斯乐,hu'si'le
呼斯楞,hu'si'leng
呼铁局,hu'tie'ju
呼职,hu'zhi
华香面粥,hua'xiang'mian'zhou
坏呀,huai'ya
欢乐牧场,huan'le'mu'chang
欢乐时光,huan'le'shi'guang
黄合少,huang'he'shao
黄花沟,huang'hua'gou
黄街,huang'jie
回包头,hui'bao'tou
烩菜,hui'cai
回赤峰,hui'chi'feng
回东胜,hui'dong'sheng
惠丰堂,hui'feng'tang
回个啦,hui'ge'la
回个了,hui'ge'le
回个么,hui'ge'me
回个没,hui'ge'mei
灰个泡,hui'ge'pao
灰个跑,hui'ge'pao
回个哇,hui'ge'wa
回个呀,hui'ge'ya
汇豪天下,hui'hao'tian'xia
灰猴,hui'hou
回呼,hui'hu
回呼市,hui'hu'shi
回呼市了,hui'hu'shi'le
回集宁,hui'ji'ning
回家不了,hui'jia'bu'liao
回家哇,hui'jia'wa
回来不啦,hui'lai'bu'la
回来哇,hui'lai'wa
回来呀不,hui'lai'ya'bu
回了哇,hui'le'wa
回临河,hui'lin'he
回民区,hui'min'qu
回去了哇,hui'qu'le'wa
回去哇,hui'qu'wa
汇商广场,hui'shang'guang'chang
回勺面,hui'shao'mian
回时候,hui'shi'hou
灰说,hui'shuo
烩酸菜,hui'suan'cai
辉腾锡勒,hui'teng'xi'le
回通辽,hui'tong'liao
回乌海,hui'wu'hai
回呀,hui'ya
回呀不,hui'ya'bu
汇雅风尚,hui'ya'feng'shang
活的不,huo'de'bu
活的呢,huo'de'ne
霍林郭勒,huo'lin'guo'le
霍林郭勒市,huo'lin'guo'le'shi
霍林河,huo'lin'he
机场自提,ji'chang'zi'ti
集宁,ji'ning
集宁的,ji'ning'de
集宁了,ji'ning'le
集宁南,ji'ning'nan
集宁区,ji'ning'qu
吉日嘎拉,ji'ri'ga'la
吉日木图,ji'ri'mu'tu
集通,ji'tong
及相关部门,ji'xiang'guan'bu'men
吉祥斋,ji'xiang'zhai
家呆的,jia'dai'de
佳地,jia'di
家了哇,jia'le'wa
嘉茂,jia'mao
家呢哇,jia'ne'wa
假期工,jia'qi'gong
假期红,jia'qi'hong
家坐的,jia'zuo'de
健康街,jian'kang'jie
建校,jian'xiao
将军衙署,jiang'jun'ya'shu
嚼毛,jiao'mao
叫啥啦,jiao'sha'la
叫啥了,jiao'sha'le
饺子楼,jiao'zi'lou
接擦,jie'ca
结呀,jie'ya
金川,jin'chuan
金川开发区,jin'chuan'kai'fa'qu
金地商城,jin'di'shang'cheng
金河湾,jin'he'wan
金河镇,jin'he'zhen
金蓝港,jin'lan'gang
金马杯,jin'ma'bei
金桥开发区,jin'qiao'kai'fa'qu
金山开发区,jin'shan'kai'fa'qu
今天是不,jin'tian'shi'bu
进一步做好,jin'yi'bu'zuo'hao
金隅时代城,jin'yu'shi'dai'cheng
金宇文苑,jin'yu'wen'yuan
京源港,jing'yuan'gang
旧城北门,jiu'cheng'bei'men
就呼市,jiu'hu'shi
就回呀,jiu'hui'ya
就家,jiu'jia
就是说了哇,jiu'shi'shuo'le'wa
就是哇,jiu'shi'wa
就睡哇,jiu'shui'wa
就说了哇,jiu'shuo'le'wa
就说了呀,jiu'shuo'le'ya
就说呢哇,jiu'shuo'ne'wa
就说呢呀,jiu'shuo'ne'ya
旧校区,jiu'xiao'qu
九原,jiu'yuan
九原区,jiu'yuan'qu
就在呼市,jiu'zai'hu'shi
就这样哇,jiu'zhe'yang'wa
就知道个,jiu'zhi'dao'ge
就走呀,jiu'zou'ya
就坐的,jiu'zuo'de
巨海,ju'hai
巨海城,ju'hai'cheng
巨华,ju'hua
卷草纹,juan'cao'wen
军区招待所,jun'qu'zhao'dai'suo
开办了,kai'ban'le
开的呢,kai'de'ne
开鲁,kai'lu
开鲁县,kai'lu'xian
看不对,kan'bu'dui
看草原,kan'cao'yuan
看对,kan'dui
看对的,kan'dui'de
看对了,kan'dui'le
看对你,kan'dui'ni
看对你了,kan'dui'ni'le
看个哇,kan'ge'wa
看看哇,kan'kan'wa
看呢哇,kan'ne'wa
看你哇,kan'ni'wa
看哇,kan'wa
看爷,kan'ye
康巴什,kang'ba'shi
考不住,kao'bu'zhu
考车本,kao'che'ben
考好么,kao'hao'me
考好没,kao'hao'mei
考科三,kao'ke'san
考住,kao'zhu
可大呢,ke'da'ne
可多呢,ke'duo'ne
科尔沁,ke'er'qin
科尔沁区,ke'er'qin'qu
科二下,ke'er'xia
可乖呢,ke'guai'ne
可好吃呢,ke'hao'chi'ne
可好看呢,ke'hao'kan'ne
可好呢,ke'hao'ne
可快呢,ke'kuai'ne
可冷呢,ke'leng'ne
可厉害呢,ke'li'hai'ne
可怜死啦,ke'lian'si'la
可麻烦呢,ke'ma'fan'ne
可亲了,ke'qin'le
可亲呢,ke'qin'ne
科三,ke'san
克什克腾,ke'shen'ke'teng
可是被,ke'shi'bei
克什克腾旗,ke'shi'ke'teng'qi
可想呢,ke'xiang'ne
科右中旗,ke'you'zhong'qi
科左后旗,ke'zuo'hou'qi
科左中旗,ke'zuo'zhong'qi
肯定哇,ken'ding'wa
孔夫子旧书网,kong'fu'zi'jiu'shu'wang
孔家营,kong'jia'ying
库伦旗,ku'lun'qi
快表,kuai'biao
快别了,kuai'bie'le
快别去了,kuai'bie'qu'le
快不说了,kuai'bu'shuo'le
快不要,kuai'bu'yao
快到呀,kuai'dao'ya
快点哇,kuai'dian'wa
快赶紧,kuai'gan'jin
快滚哇,kuai'gun'wa
快回来哇,kuai'hui'lai'wa
快来哇,kuai'lai'wa
快了哇,kuai'le'wa
快你妈,kuai'ni'ma
快你们,kuai'ni'men
快起哇,kuai'qi'wa
快去哇,kuai'qu'wa
快睡哇,kuai'shui'wa
快睡呀,kuai'shui'ya
快死呀,kuai'si'ya
快算啦,kuai'suan'la
快算了,kuai'suan'le
快行啦,kuai'xing'la
快行了,kuai'xing'le
快行了吧,kuai'xing'le'ba
快行了哇,kuai'xing'le'wa
昆都仑,kun'du'lun
昆都仑区,kun'du'lun'qu
昆区,kun'qu
困死呀,kun'si'ya
辣焙子,la'bei'zi
拉到哇,la'dao'wa
辣椒段,la'jiao'duan
喇嘛湾,la'ma'wan
辣鸭头,la'ya'tou
来包头,lai'bao'tou
来单位了,lai'dan'wei'le
来东胜,lai'dong'sheng
来故事,lai'gu'shi
来呼市,lai'hu'shi
来呼市了,lai'hu'shi'le
来内蒙,lai'nei'meng
来通辽,lai'tong'liao
来哇么,lai'wa'me
来呀不,lai'ya'bu
兰毕安,lan'bi'an
老个泡,lao'ge'pao
老虎山,lao'hu'shan
老毛驴,lao'mao'lv
老牛湾,lao'niu'wan
老上居,lao'shang'ju
老也老了,lao'ye'lao'le
了多么,le'duo'me
了哇,le'wa
累坏呀,lei'huai'ya
累了哇,lei'le'wa
累呢哇,lei'ne'wa
累死呀,lei'si'ya
楞的,leng'de
楞个跑,leng'ge'pao
楞狗,leng'gou
楞货,leng'huo
冷了哇,leng'le'wa
愣球,leng'qiu
愣子,leng'zi
俪城,li'cheng
礼分,li'fen
利丰,li'feng
厉害了哇,li'hai'le'wa
离呼市,li'hu'shi
李俊霞,li'jun'xia
利客,li'ke
历史研究所,li'shi'yan'jiu'suo
礼仪公司,li'yi'gong'si
丽苑,li'yuan
丽苑小区,li'yuan'xiao'qu
丽苑阳光城,li'yuan'yang'guang'cheng
联系哇,lian'xi'wa
凉城县,liang'cheng'xian
聊的了,liao'de'le
林东,lin'dong
临河,lin'he
临河的,lin'he'de
临河了,lin'he'le
临河区,lin'he'qu
刘建飞,liu'jian'fei
楼妈,lou'ma
搂上,lou'shang
鲁北,lu'bei
路上慢点儿,lu'shang'man'dian'er
乱不成,luan'bu'cheng
略略略,lue'lue'lue
罗家营,luo'jia'ying
旅游点,lv'you'dian
麻烦了才,ma'fan'le'cai
麻烦啥呢,ma'fan'sha'ne
麻烦死我了,ma'fan'si'wo'le
麻烦死呀,ma'fan'si'ya
麻辣百分百,ma'la'bai'fen'bai
吗囚犯,ma'qiu'fan
麻球烦的,ma'qiu'fan'de
马头琴,ma'tou'qin
骂呀,ma'ya
妈呀呀,ma'ya'ya
骂爷,ma'ye
买了哇,mai'le'wa
麦莎,mai'sha
买上啦,mai'shang'la
买上没,mai'shang'mei
麦香村,mai'xiang'cun
满达,man'da
慢慢来哇,man'man'lai'wa
满小,man'xiao
满洲里,man'zhou'li
满洲里的,man'zhou'li'de
满洲里市,man'zhou'li'shi
忙的不,mang'de'bu
忙的了,mang'de'le
忙的呢,mang'de'ne
忙了不,mang'le'bu
忙了哇,mang'le'wa
忙乱的,mang'luan'de
忙啥的了,mang'sha'de'le
忙啥的呢,mang'sha'de'ne
忙甚,mang'shen
忙甚了,mang'shen'le
忙死呀,mang'si'ya
毛虎,mao'hu
么掉,me'diao
么非,me'fei
么调,me'tiao
么哇,me'wa
么做的,me'zuo'de
没出个,mei'chu'ge
没带要,mei'dai'yao
没电呀,mei'dian'ya
没敢定,mei'gan'ding
没个啥,mei'ge'sha
没看对,mei'kan'dui
没了哇,mei'le'wa
梅力更,mei'li'geng
没蒙古,mei'meng'gu
没呢哇,mei'ne'wa
没事哇,mei'shi'wa
每天累的,mei'tian'lei'de
每天忙的,mei'tian'mang'de
每天也,mei'tian'ye
美通,mei'tong
没哇,mei'wa
没影儿,mei'ying'er
没找见,mei'zhao'jian
没找上,mei'zhao'shang
美之藤,mei'zhi'teng
没做的,mei'zuo'de
闷不,men'bu
门脸房,men'lian'fang
焖米饭,men'mi'fan
焖面,men'mian
蒙班,meng'ban
蒙餐,meng'can
蒙东,meng'dong
孟根,meng'gen
蒙古,meng'gu
蒙古包,meng'gu'bao
蒙古大营,meng'gu'da'ying
蒙古国,meng'gu'guo
蒙古袍,meng'gu'pao
蒙古人,meng'gu'ren
蒙古王,meng'gu'wang
蒙古舞,meng'gu'wu
蒙古语,meng'gu'yu
蒙古族,meng'gu'zu
蒙汉,meng'han
孟和,meng'he
孟克,meng'ke
蒙泰,meng'tai
蒙校,meng'xiao
蒙药,meng'yao
蒙医,meng'yi
蒙医院,meng'yi'yuan
蒙语,meng'yu
蒙元,meng'yuan
蒙之旅,meng'zhi'lv
蒙专,meng'zhuan
蒙族,meng'zu
蒙族人,meng'zu'ren
免渡河,mian'du'he
面精,mian'jing
民盛,min'sheng
民族地区,min'zu'di'qu
民族商场,min'zu'shang'chang
民族学院,min'zu'xue'yuan
明确提出,ming'que'ti'chu
明天哇,ming'tian'wa
莫日根,mo'ri'gen
没收见,mo'shou'jian
木里图,mu'li'tu
木其尔,mu'qi'er
木仁,mu'ren
那必须的哇,na'bi'xu'de'wa
那必须哇,na'bi'xu'wa
那达慕,na'da'mu
哪的啦,na'de'la
哪的了,na'de'le
那多会,na'duo'hui
那多会儿,na'duo'hui'er
那二年,na'er'nian
那烦死啦,na'fan'si'la
哪个啦,na'ge'la
那个女女,na'ge'nv'nv
那个求,na'ge'qiu
那好哇,na'hao'wa
娜荷芽,na'he'ya
那就别了,na'jiu'bie'le
那就睡哇,na'jiu'shui'wa
那可呗,na'ke'bei
那肯定哇,na'ken'ding'wa
那俩天,na'lia'tian
那你多会,na'ni'duo'hui
那你多会儿,na'ni'duo'hui'er
那你看哇,na'ni'kan'wa
那你来哇,na'ni'lai'wa
那你忙哇,na'ni'mang'wa
那你去哇,na'ni'qu'wa
那你是不,na'ni'shi'bu
那你睡哇,na'ni'shui'wa
那你咋呀,na'ni'za'ya
那日苏,na'ri'su
那是不,na'shi'bu
那睡哇,na'shui'wa
那顺,na'shun
那挺好哇,na'ting'hao'wa
那我等你的,na'wo'deng'ni'de
那我去呀,na'wo'qu'ya
那我是不,na'wo'shi'bu
那我睡呀,na'wo'shui'ya
那行啦,na'xing'la
那咋办呀,na'za'ban'ya
那咋闹,na'za'nao
那咋呀,na'za'ya
乃菜,nai'cai
奶茶粉,nai'cha'fen
奶豆腐,nai'dou'fu
乃就,nai'jiu
奈伦国际,nai'lun'guo'ji
奈曼旗,nai'man'qi
乃求货,nai'qiu'huo
奶食,nai'shi
奶食品,nai'shi'pin
南茶坊,nan'cha'fang
南店,nan'dian
南丁,nan'ding
南二环,nan'er'huan
南湖湿地,nan'hu'shi'di
南湖湿地公园,nan'hu'shi'di'gong'yuan
南马路,nan'ma'lu
难受不了,nan'shou'bu'liao
闹不成,nao'bu'cheng
闹不机密,nao'bu'ji'mi
闹不住,nao'bu'zhu
闹不住了,nao'bu'zhu'le
闹错了,nao'cuo'le
恼的,nao'de
淖尔,nao'er
闹个,nao'ge
闹了个,nao'le'ge
闹甚了,nao'shen'le
闹呀,nao'ya
闹一个,nao'yi'ge
闹住,nao'zhu
呢才,ne'cai
呢是不,ne'shi'bu
