阿兵哥,a'bing'ge
龙佳,long'jia
隆教,long'jiao
龙千玉,long'qian'yu
龙山,long'shan
龙山镇,long'shan'zhen
龙文,long'wen
龙文区,long'wen'qu
龙文塔,long'wen'ta
龙岩,long'yan
龙岩的,long'yan'de
龙眼干,long'yan'gan
龙岩了,long'yan'le
龙岩人,long'yan'ren
龙岩市,long'yan'shi
龙岩学院,long'yan'xue'yuan
卤料,lu'liao
卤面,lu'mian
鲁死,lu'si
芦溪,lu'xi
罗坑,luo'keng
马公,ma'gong
马坑,ma'keng
马口,ma'kou
马銮湾,ma'luan'wan
马坪,ma'ping
麦茶,mai'cha
买看看,mai'kan'kan
麦市街,mai'shi'jie
买下去,mai'xia'qu
芒果冰,mang'guo'bing
毛啦,mao'la
毛神,mao'shen
毛兔,mao'tu
猫仔粥,mao'zai'zhou
没半点,mei'ban'dian
没半个,mei'ban'ge
没差,mei'cha
没差啦,mei'cha'la
没差了,mei'cha'le
美而美,mei'er'mei
没法度,mei'fa'du
梅岭,mei'ling
没摩托,mei'mo'tuo
没人要去,mei'ren'yao'qu
美山,mei'shan
没什么差,mei'shen'me'cha
没用人,mei'yong'ren
没有哩,mei'you'li
没雨,mei'yu
没雨了,mei'yu'le
没在读,mei'zai'du
没在怕,mei'zai'pa
没在听,mei'zai'ting
没在用,mei'zai'yong
湄洲湾,mei'zhou'wan
蒙发利,meng'fa'li
面巾纸,mian'jin'zhi
闽南,min'nan
闽南话,min'nan'hua
闽南快运,min'nan'kuai'yun
闽南理工,min'nan'li'gong
闽南人,min'nan'ren
闽南日报,min'nan'ri'bao
闽南师范,min'nan'shi'fan
闽南师范大学,min'nan'shi'fan'da'xue
闽南语,min'nan'yu
闽师大,min'shi'da
闽台,min'tai
魔指,mo'zhi
某啦,mou'la
木瓜牛奶,mu'gua'niu'nai
木做,mu'zuo
哪读,na'du
哪间,na'jian
那阶段,na'jie'duan
拿来去,na'lai'qu
那么好命,na'me'hao'ming
拿去给你,na'qu'gei'ni
那要去哪,na'yao'qu'na
哪一间,na'yi'jian
南昌路,nan'chang'lu
南光,nan'guang
南靖,nan'jing
南靖县,nan'jing'xian
南坑,nan'keng
南炮台,nan'pao'tai
男人情,nan'ren'qing
南胜,nan'sheng
南诏镇,nan'zhao'zhen
内街,nei'jie
内山,nei'shan
你不认识啦,ni'bu'ren'shi'la
你吃好了吗,ni'chi'hao'le'ma
你吃好了没,ni'chi'hao'le'mei
你几点要去,ni'ji'dian'yao'qu
你几岁呢,ni'ji'sui'ne
你来载我,ni'lai'zai'wo
你来漳州,ni'lai'zhang'zhou
你妈啦,ni'ma'la
你妹啦,ni'mei'la
你去厦门,ni'qu'xia'men
你试看看,ni'shi'kan'kan
你是哪里的呢,ni'shi'na'li'de'ne
你是在干嘛,ni'shi'zai'gan'ma
你说看看,ni'shuo'kan'kan
你问看看,ni'wen'kan'kan
你厦门,ni'xia'men
你要出来吗,ni'yao'chu'lai'ma
你要回来吗,ni'yao'hui'lai'ma
你要来了吗,ni'yao'lai'le'ma
你也有去,ni'ye'you'qu
你有给我,ni'you'gei'wo
你有跟,ni'you'gen
你有回家,ni'you'hui'jia
你有回来,ni'you'hui'lai
你有回来吗,ni'you'hui'lai'ma
你有加,ni'you'jia
你有来,ni'you'lai
你有买,ni'you'mai
你有去,ni'you'qu
你有问,ni'you'wen
你有在,ni'you'zai
你载我,ni'zai'wo
你在厦门,ni'zai'xia'men
你在漳州,ni'zai'zhang'zhou
你漳州,ni'zhang'zhou
年段,nian'duan
年段的,nian'duan'de
年段长,nian'duan'zhang
年节,nian'jie
牛排店,niu'pai'dian
牛太,niu'tai
牛太郎,niu'tai'lang
弄看看,nong'kan'kan
排骨粥,pai'gu'zhou
跑不开,pao'bu'kai
泡茶,pao'cha
泡茶了,pao'cha'le
泡椒田鸡,pao'jiao'tian'ji
泡泡茶,pao'pao'cha
跑去那,pao'qu'na
泡爪,pao'zhao
屁啦,pi'la
皮在痒,pi'zai'yang
片仔癀,pian'zai'huang
撇习,pie'xi
平和,ping'he
平和的,ping'he'de
平和县,ping'he'xian
平码,ping'ma
平宁,ping'ning
平特,ping'te
破病,po'bing
破胎,po'tai
普度,pu'du
扑感敏,pu'gan'min
普照寺,pu'zhao'si
旗滨,qi'bin
起来了啦,qi'lai'le'la
气死掉,qi'si'diao
起笑,qi'xiao
七星海,qi'xing'hai
七早八早,qi'zao'ba'zao
牵车,qian'che
前阶段,qian'jie'duan
钱隆,qian'long
前埔,qian'pu
牵去,qian'qu
前亭,qian'ting
桥村,qiao'cun
巧凤,qiao'feng
巧红,qiao'hong
巧慧,qiao'hui
翘头,qiao'tou
芹菜啦,qin'cai'la
庆菜,qing'cai
青菜啦,qing'cai'la
青队,qing'dui
清辉,qing'hui
请假下,qing'jia'xia
清汤粉,qing'tang'fen
秋娟,qiu'juan
去拜拜,qu'bai'bai
去吃下,qu'chi'xia
去东山,qu'dong'shan
去福州,qu'fu'zhou
去困,qu'kun
去龙岩,qu'long'yan
去石码,qu'shi'ma
去厦门,qu'xia'men
去厦门了,qu'xia'men'le
去载,qu'zai
去载你,qu'zai'ni
去漳浦,qu'zhang'pu
去漳州,qu'zhang'zhou
全年段,quan'nian'duan
全委会,quan'wei'hui
泉州的,quan'zhou'de
泉州人,quan'zhou'ren
群裕,qun'yu
热病,re'bing
人家我,ren'jia'wo
人民剧场,ren'min'ju'chang
认真读书,ren'zhen'du'shu
日春,ri'chun
日月谷,ri'yue'gu
荣斌,rong'bin
荣杰,rong'jie
肉圆,rou'yuan
瑞京路,rui'jing'lu
瑞竹岩,rui'zhu'yan
三八八,san'ba'ba
三八婆,san'ba'po
三卞,san'bian
三层肉,san'ceng'rou
三角饼,san'jiao'bing
三角点,san'jiao'dian
三里路,san'li'lu
三平,san'ping
三平寺,san'ping'si
三远,san'yuan
沙茶,sha'cha
沙茶面,sha'cha'mian
沙建,sha'jian
沙西,sha'xi
傻坐,sha'zuo
山边,shan'bian
山城,shan'cheng
山城镇,shan'cheng'zhen
山格,shan'ge
山后,shan'hou
山美,shan'mei
山重,shan'zhong
上车站,shang'che'zhan
上杭,shang'hang
上湖,shang'hu
上花,shang'hua
上坑,shang'keng
商业城,shang'ye'cheng
上苑,shang'yuan
少斌,shao'bin
少聪,shao'cong
少娟,shao'juan
少君,shao'jun
少年人,shao'nian'ren
少平,shao'ping
少强,shao'qiang
少伟,shao'wei
烧窑,shao'yao
烧窑鸡,shao'yao'ji
蛇哥,she'ge
社头,she'tou
圣地亚哥,sheng'di'ya'ge
圣杰士,sheng'jie'shi
胜利公园,sheng'li'gong'yuan
胜利西路,sheng'li'xi'lu
省质检,sheng'zhi'jian
石仓,shi'cang
是哄,shi'hong
世纪广场,shi'ji'guang'chang
实践周,shi'jian'zhou
试看看,shi'kan'kan
石码,shi'ma
石码的,shi'ma'de
石码了,shi'ma'le
石码镇,shi'ma'zhen
石美,shi'mei
石山水,shi'shan'shui
石狮,shi'shi
石亭,shi'ting
石亭镇,shi'ting'zhen
狮头,shi'tou
市尾,shi'wei
市医院,shi'yi'yuan
师院,shi'yuan
食杂,shi'za
石斋,shi'zhai
市质检,shi'zhi'jian
手称,shou'cheng
淑红,shu'hong
淑惠,shu'hui
舒静,shu'jing
淑娟,shu'juan
舒颖,shu'ying
双第,shuang'di
双科,shuang'ke
睡饱吃,shui'bao'chi
睡不起来,shui'bu'qi'lai
睡觉了啦,shui'jiao'le'la
睡看看,shui'kan'kan
水亏,shui'kui
水舞,shui'wu
水仙大街,shui'xian'da'jie
睡要去,shui'yao'qu
水煮活鱼,shui'zhu'huo'yu
顺昌,shun'chang
说看看,shuo'kan'kan
说下啦,shuo'xia'la
四都,si'dou
四果,si'guo
四果汤,si'guo'tang
思静,si'jing
斯利美,si'li'mei
思婷,si'ting
思图,si'tu
松辉,song'hui
算看看,suan'kan'kan
酸小,suan'xiao
绥安,sui'an
绥安镇,sui'an'zhen
塔尾,ta'wei
他有说,ta'you'shuo
台风天,tai'feng'tian
太哥,tai'ge
台轰,tai'hong
泰景,tai'jing
汰口,tai'kou
汰内,tai'nei
台商,tai'shang
太上火,tai'shang'huo
抬神,tai'shen
台湾路,tai'wan'lu
碳烤鱼,tan'kao'yu
讨海,tao'hai
讨钱,tao'qian
特香包,te'xiang'bao
腾飞路,teng'fei'lu
梯教,ti'jiao
天宝,tian'bao
天宝镇,tian'bao'zhen
田边,tian'bian
天福,tian'fu
天福园,tian'fu'yuan
天利仁和,tian'li'ren'he
天马山,tian'ma'shan
田头,tian'tou
田王府,tian'wang'fu
天下广场,tian'xia'guang'chang
填鸭,tian'ya
田中央,tian'zhong'yang
通北,tong'bei
同间,tong'jian
铜陵镇,tong'ling'zhen
通鑫,tong'xin
童游,tong'you
投档分,tou'dang'fen
头家,tou'jia
头壳,tou'ke
头啦,tou'la
头路,tou'lu
偷跑去,tou'pao'qu
偷摘,tou'zhai
投资区,tou'zi'qu
土楼,tu'lou
土水,tu'shui
脱窗,tuo'chuang
挖起来,wa'qi'lai
晚点看看,wan'dian'kan'kan
碗糕,wan'gao
玩看看,wan'kan'kan
万利达,wan'li'da
晚上来去,wan'shang'lai'qu
万秀猪王,wan'xiu'zhu'wang
玩一起,wan'yi'qi
旺佳,wang'jia
伟斌,wei'bin
伟超,wei'chao
伟城,wei'cheng
伟聪,wei'cong
伟宏,wei'hong
伟煌,wei'huang
伟记,wei'ji
炜杰,wei'jie
伟军,wei'jun
伟坤,wei'kun
围炉,wei'lu
伟敏,wei'min
伟明,wei'ming
伟鹏,wei'peng
伟平,wei'ping
伟强,wei'qiang
伟清,wei'qing
伟松,wei'song
伟婷,wei'ting
伟祥,wei'xiang
伟鑫,wei'xin
尾牙,wei'ya
伟艺,wei'yi
文昌门,wen'chang'men
问看看,wen'kan'kan
问看看吧,wen'kan'kan'ba
文泉,wen'quan
温书假,wen'shu'jia
问说,wen'shuo
文伟,wen'wei
翁立友,weng'li'you
我吃饭下,wo'chi'fan'xia
我吃下,wo'chi'xia
我都嘛,wo'dou'ma
我福建,wo'fu'jian
我刚要,wo'gang'yao
我刚要吃,wo'gang'yao'chi
我刚要去,wo'gang'yao'qu
我刚在吃,wo'gang'zai'chi
我姑丈,wo'gu'zhang
我来去,wo'lai'qu
我嘛是,wo'ma'shi
我嘛要,wo'ma'yao
我忙下,wo'mang'xia
我没差,wo'mei'cha
我们来去,wo'men'lai'qu
我们年段,wo'men'nian'duan
我泡茶,wo'pao'cha
我去洗澡下,wo'qu'xi'zao'xia
我去厦门,wo'qu'xia'men
我去载你,wo'qu'zai'ni
我试看看,wo'shi'kan'kan
我问看看,wo'wen'kan'kan
我洗澡下,wo'xi'zao'xia
我厦门,wo'xia'men
我先来去,wo'xian'lai'qu
我要过去了,wo'yao'guo'qu'le
我要来去,wo'yao'lai'qu
我要睡了啦,wo'yao'shui'le'la
我也不会说,wo'ye'bu'hui'shuo
我也来去,wo'ye'lai'qu
我也有去,wo'ye'you'qu
我有给你,wo'you'gei'ni
我有跟,wo'you'gen
我有回,wo'you'hui
我有叫,wo'you'jiao
我有看到,wo'you'kan'dao
我有看到你,wo'you'kan'dao'ni
我有买,wo'you'mai
我有去,wo'you'qu
我有问,wo'you'wen
我在补习,wo'zai'bu'xi
我在福建,wo'zai'fu'jian
我载你,wo'zai'ni
我在厦门,wo'zai'xia'men
我在漳州,wo'zai'zhang'zhou
我漳州,wo'zhang'zhou
我找看看,wo'zhao'kan'kan
武安镇,wu'an'zhen
五板桥,wu'ban'qiao
五厂区,wu'chang'qu
梧村,wu'cun
无法度,wu'fa'du
午课,wu'ke
五年专,wu'nian'zhuan
武平,wu'ping
乌山,wu'shan
五尚砖,wu'shang'zhuan
乌石,wu'shi
浯屿,wu'yu
无缘的,wu'yuan'de
五寨,wu'zhai
溪坂,xi'ban
溪边,xi'bian
洗地板,xi'di'ban
溪东,xi'dong
西湖公园,xi'hu'gong'yuan
喜力,xi'li
西马仑,xi'ma'lun
溪南,xi'nan
戏台,xi'tai
西潭,xi'tan
洗头下,xi'tou'xia
洗下澡,xi'xia'zao
西洋坪,xi'yang'ping
洗澡下,xi'zao'xia
洗澡一下,xi'zao'yi'xia
溪州,xi'zhou
下板,xia'ban
下车站,xia'che'zhan
虾池,xia'chi
厦大,xia'da
厦大附中,xia'da'fu'zhong
霞葛,xia'ge
下坑,xia'keng
霞美,xia'mei
厦门啊,xia'men'a
厦门吧,xia'men'ba
厦门北,xia'men'bei
厦门大学,xia'men'da'xue
厦门到,xia'men'dao
厦门的,xia'men'de
厦门好,xia'men'hao
厦门回来,xia'men'hui'lai
厦门啦,xia'men'la
厦门了,xia'men'le
厦门了吗,xia'men'le'ma
厦门理工,xia'men'li'gong
厦门吗,xia'men'ma
厦门那,xia'men'na
厦门哪里,xia'men'na'li
厦门呢,xia'men'ne
厦门去,xia'men'qu
厦门人,xia'men'ren
厦门玩,xia'men'wan
厦门要,xia'men'yao
厦门有,xia'men'you
吓死掉,xia'si'diao
下尾,xia'wei
下午要不要,xia'wu'yao'bu'yao
霞寨,xia'zhai
厦漳泉,xia'zhang'quan
下庄,xia'zhuang
仙草蜜,xian'cao'mi
仙都,xian'du
咸饭,xian'fan
先来去,xian'lai'qu
咸梅,xian'mei
咸水鸭,xian'shui'ya
芗城,xiang'cheng
芗城区,xiang'cheng'qu
芗江,xiang'jiang
芗剧,xiang'ju
巷口,xiang'kou
想来去,xiang'lai'qu
向阳坊,xiang'yang'fang
想也知道,xiang'ye'zhi'dao
小菠萝,xiao'bo'luo
小电动,xiao'dian'dong
小东山,xiao'dong'shan
小羔羊,xiao'gao'yang
效能办,xiao'neng'ban
小石码,xiao'shi'ma
笑死掉,xiao'si'diao
小溪,xiao'xi
小溪镇,xiao'xi'zhen
小鱼网,xiao'yu'wang
小漳浦,xiao'zhang'pu
小漳州,xiao'zhang'zhou
新策略,xin'ce'lue
新潮味,xin'chao'wei
新华东,xin'hua'dong
新华都,xin'hua'du
新华西,xin'hua'xi
新罗区,xin'luo'qu
新浦路,xin'pu'lu
鑫荣花苑,xin'rong'hua'yuan
鑫荣小区,xin'rong'xiao'qu
新山福,xin'shan'fu
新中山,xin'zhong'shan
兴才,xing'cai
幸福钱柜,xing'fu'qian'gui
兴业楼,xing'ye'lou
秀芬,xiu'fen
秀凤,xiu'feng
休闲吧,xiu'xian'ba
秀秀啦,xiu'xiu'la
秀篆,xiu'zhuan
许林头,xu'lin'tou
续摊,xu'tan
雪津,xue'jin
雪娟,xue'juan
雅彬,ya'bin
鸭饭,ya'fan
雅芬,ya'fen
雅红,ya'hong
雅华,ya'hua
雅慧,ya'hui
雅娟,ya'juan
雅君,ya'jun
鸭面,ya'mian
鸭母,ya'mu
雅萍,ya'ping
雅珊,ya'shan
压郁,ya'yu
延安北,yan'an'bei
延安北路,yan'an'bei'lu
延安广场,yan'an'guang'chang
燕彬,yan'bin
颜厝镇,yan'cuo'zhen
淹大水,yan'da'shui
盐典,yan'dian
燕芬,yan'fen
燕凤,yan'feng
燕红,yan'hong
燕华,yan'hua
燕惠,yan'hui
盐鸡,yan'ji
燕娟,yan'juan
雁石,yan'shi
岩溪,yan'xi
燕雪,yan'xue
洋老洲,yang'lao'zhou
要补习,yao'bu'xi
要不要出来,yao'bu'yao'chu'lai
要不要回来,yao'bu'yao'hui'lai
要不要啦,yao'bu'yao'la
要不要来去,yao'bu'yao'lai'qu
要不要来我家,yao'bu'yao'lai'wo'jia
要不要下来,yao'bu'yao'xia'lai
要出来吗,yao'chu'lai'ma
要过来那,yao'guo'lai'na
要回来了吗,yao'hui'lai'le'ma
要回来吗,yao'hui'lai'ma
要回来那,yao'hui'lai'na
要回去了,yao'hui'qu'le
要回去了吗,yao'hui'qu'le'ma
窑鸡,yao'ji
要啦,yao'la
