扒丝,ba'si
秘针子,mi'zhen'zi
米字针,mi'zi'zhen
苗绣,miao'xiu
闽绣,min'xiu
纳锦,na'jin
纳纱,na'sha
纳丝,na'si
纳绣,na'xiu
南北朝仙鹤鹦鹉绣裙,nan'bei'chao'xian'he'ying'wu'xiu'qun
拈金,nian'jin
捏绣,nie'xiu
拗参针,niu'can'zhen
扭针绣,niu'zhen'xiu
女子绣工科,nv'zi'xiu'gong'ke
瓯绣,ou'xiu
排参针,pai'can'zhen
排绣,pai'xiu
盘带花边,pan'dai'hua'bian
盘金,pan'jin
旁布,pang'bu
旁步,pang'bu
旁补,pang'bu
鬅毛针,peng'mao'zhen
篷眼针,peng'yan'zhen
皮头,pi'tou
劈线,pi'xian
拼布,pin'bu
平金,ping'jin
平套,ping'tao
平绣,ping'xiu
平针,ping'zhen
破针,po'zhen
铺绒,pu'rong
铺绒绣,pu'rong'xiu
铺针,pu'zhen
起老线,qi'lao'xian
起针,qi'zhen
齐针,qi'zhen
千丝珍珠,qian'si'zhen'zhu
巧得丽,qiao'de'li
切针,qie'zhen
切针绣,qie'zhen'xiu
切子,qie'zi
抋绒针,qin'rong'zhen
曲带,qu'dai
全三色,quan'san'se
犬牙绣,quan'ya'xiu
染绣,ran'xiu
绕针,rao'zhen
绕针子,rao'zhen'zi
人字针,ren'zi'zhen
绒线,rong'xian
茸线,rong'xian
绒线绣,rong'xian'xiu
绒线绣花,rong'xian'xiu'hua
绒绣,rong'xiu
肉人针,rou'ren'zhen
肉入针,rou'ru'zhen
洒插针,sa'cha'zhen
洒线,sa'xian
洒线绣,sa'xian'xiu
撒针绣,sa'zhen'xiu
三角网针,san'jiao'wang'zhen
三连花针,san'lian'hua'zhen
三列针,san'lie'zhen
三拼,san'pin
散套,san'tao
沙丽,sha'li
霎针绣,sha'zhen'xiu
陕西民间刺绣,shan'xi'min'jian'ci'xiu
上绷,shang'beng
上棚,shang'peng
上手,shang'shou
神丝绣被,shen'si'xiu'bei
渗针,shen'zhen
升箩底拼,sheng'luo'di'pin
生丝镶边,sheng'si'xiang'bian
施毛针,shi'mao'zhen
实绣,shi'xiu
施针,shi'zhen
十字花绣,shi'zi'hua'xiu
十字挑花,shi'zi'tiao'hua
手绷,shou'beng
手拿花边,shou'na'hua'bian
蜀绣,shu'xiu
舒针,shu'zhen
闩针绣,shuan'zhen'xiu
双面冚针,shuang'mian'kan'zhen
双面三异绣,shuang'mian'san'yi'xiu
双面绣,shuang'mian'xiu
双面异色绣,shuang'mian'yi'se'xiu
双线回针,shuang'xian'hui'zhen
双线马针,shuang'xian'ma'zhen
水路,shui'lu
丝理,si'li
丝路,si'lu
丝缕,si'lv
丝线刺绣,si'xian'ci'xiu
撕针,si'zhen
宋人绣画,song'ren'xiu'hua
宋人之绣,song'ren'zhi'xiu
松索,song'suo
松针,song'zhen
松子针,song'zi'zhen
擞和针,sou'he'zhen
素五彩,su'wu'cai
苏绣,su'xiu
锁丝,suo'si
锁绣,suo'xiu
梭针绣,suo'zhen'xiu
梭子花边,suo'zi'hua'bian
填高绣,tian'gao'xiu
填锦,tian'jin
跳掺针,tiao'chan'zhen
挑花,tiao'hua
挑花针,tiao'hua'zhen
挑织,tiao'zhi
贴布,tie'bu
贴绫,tie'ling
同立绣校,tong'li'xiu'xiao
凸绣,tu'xiu
挖参针,wa'can'zhen
万缕丝,wan'lv'si
网绣,wang'xiu
文绣,wen'xiu
温绣,wen'xiu
纹绣,wen'xiu
细绣,xi'xiu
下手,xia'shou
显五彩,xian'wu'cai
湘绣,xiang'xiu
镶针,xiang'zhen
小乱针,xiao'luan'zhen
萧山花边,xiao'shan'hua'bian
斜拼法,xie'pin'fa
斜纱绣,xie'sha'xiu
斜行针,xie'xing'zhen
斜一丝,xie'yi'si
行针,xing'zhen
绣绷,xiu'beng
绣地,xiu'di
绣法,xiu'fa
绣画,xiu'hua
绣花,xiu'hua
绣花线,xiu'hua'xian
绣料,xiu'liao
绣像,xiu'xiang
绣椅披,xiu'yi'pi
绣针,xiu'zhen
续针,xu'zhen
续针绣,xu'zhen'xiu
虚针绣,xu'zhen'xiu
绚得丽,xuan'de'li
旋针,xuan'zhen
旋针绣,xuan'zhen'xiu
压瓣,ya'ban
压象眼针法,ya'xiang'yan'zhen'fa
咬针绣,yao'zhen'xiu
夜光印花绣,ye'guang'yin'hua'xiu
野五彩,ye'wu'cai
一抹色,yi'mo'se
一绒,yi'rong
一丝,yi'si
一丝串,yi'si'chuan
一字针,yi'zi'zhen
隐针,yin'zhen
影金,ying'jin
影针绣,ying'zhen'xiu
影子绣,ying'zi'xiu
游针,you'zhen
游针绣,you'zhen'xiu
羽毛刺绣,yu'mao'ci'xiu
鸳被,yuan'bei
鸳衾,yuan'qin
鸳鸯被,yuan'yang'bei
鸳鸯皱,yuan'yang'zhou
圆针,yuan'zhen
圆子针,yuan'zi'zhen
粤绣,yue'xiu
晕针绣,yun'zhen'xiu
载针绣,zai'zhen'xiu
扎针,zha'zhen
折布立体绣,zhe'bu'li'ti'xiu
针法,zhen'fa
针脚,zhen'jiao
针结花边,zhen'jie'hua'bian
针切,zhen'qie
针线绣,zhen'xian'xiu
针绣,zhen'xiu
针黹,zhen'zhi
正抢针,zheng'qiang'zhen
正则绣,zheng'ze'xiu
直参针,zhi'can'zhen
指甲扣,zhi'jia'kou
织锦针,zhi'jin'zhen
直拼法,zhi'pin'fa
直针绣,zhi'zhen'xiu
竹节针,zhu'jie'zhen
蛛网绣,zhu'wang'xiu
珠绣,zhu'xiu
茱萸纹绣,zhu'yu'wen'xiu
珠针,zhu'zhen
竹织针,zhu'zhi'zhen
转针,zhuan'zhen
装方,zhuang'fang
