阿大多为,a'da'duo'wei
安全自动化装置,an'quan'zi'dong'hua'zhuang'zhi
按确认键,an'que'ren'jian
按时,an'shi
暗示,an'shi
按时打算,an'shi'da'suan
按时打算的,an'shi'da'suan'de
按时送电,an'shi'song'dian
胺添加纸,an'tian'jia'zhi
按图纸,an'tu'zhi
安文,an'wen
安稳,an'wen
胺系化合物,an'xi'hua'he'wu
按下,an'xia
暗线,an'xian
暗箱式测径仪,an'xiang'shi'ce'jing'yi
安心,an'xin
鞍形接头,an'xing'jie'tou
鞍形套管,an'xing'tao'guan
按一一,an'yi'yi
安源,an'yuan
安源变,an'yuan'bian
安源变电站,an'yuan'bian'dian'zhan
按运行方式,an'yun'xing'fang'shi
按照,an'zhao
按照电表设计,an'zhao'dian'biao'she'ji
按照规程,an'zhao'gui'cheng
按照图纸,an'zhao'tu'zhi
安装,an'zhuang
安装标准,an'zhuang'biao'zhun
安装的,an'zhuang'de
安装电缆,an'zhuang'dian'lan
安装费用,an'zhuang'fei'yong
安装工,an'zhuang'gong
安装工具,an'zhuang'gong'ju
安装功率,an'zhuang'gong'lv
安装工装配工,an'zhuang'gong'zhuang'pei'gong
安装管,an'zhuang'guan
安装规程,an'zhuang'gui'cheng
安装结束后,an'zhuang'jie'shu'hou
安装卷册说明,an'zhuang'juan'ce'shuo'ming
安装类,an'zhuang'lei
安装人员,an'zhuang'ren'yuan
安装容量安装功率,an'zhuang'rong'liang'an'zhuang'gong'lv
安装说明书,an'zhuang'shuo'ming'shu
安装调试,an'zhuang'tiao'shi
安装图,an'zhuang'tu
安装线,an'zhuang'xian
安装修理确定,an'zhuang'xiu'li'que'ding
安装指南,an'zhuang'zhi'nan
安装装配布置设置,an'zhuang'zhuang'pei'bu'zhi'she'zhi
暗自,an'zi
凹板印字,ao'ban'yin'zi
凹板印字机,ao'ban'yin'zi'ji
凹槽式印字轮,ao'cao'shi'yin'zi'lun
奥克,ao'ke
奥科崩,ao'ke'beng
奥科别斯托普连,ao'ke'bie'si'tuo'pu'lian
奥科别斯托普连垫层带,ao'ke'bie'si'tuo'pu'lian'dian'ceng'dai
奥科勃纶,ao'ke'bo'lun
奥科瓜德,ao'ke'gua'de
奥科柯尔德电缆,ao'ke'ke'er'de'dian'lan
奥科克列,ao'ke'ke'lie
奥科龙,ao'ke'long
奥科龙绝缘护套,ao'ke'long'jue'yuan'hu'tao
奥科纶,ao'ke'lun
奥科纶护套,ao'ke'lun'hu'tao
澳柯玛,ao'ke'ma
奥科奈奥科龙,ao'ke'nai'ao'ke'long
奥科奈绝缘,ao'ke'nai'jue'yuan
奥科佩斯,ao'ke'pei'si
奥科普雷护套,ao'ke'pu'lei'hu'tao
奥克桑,ao'ke'sang
奥科瑟姆,ao'ke'se'mu
奥克斯,ao'ke'si
奥克斯空调,ao'ke'si'kong'tiao
奥科西,ao'ke'xi
奥科希思,ao'ke'xi'si
奥科泽尔,ao'ke'ze'er
凹口试杆冲击试验,ao'kou'shi'gan'chong'ji'shi'yan
奥利塞姆,ao'li'sai'mu
坳里线,ao'li'xian
熬漆罐,ao'qi'guan
奥氏体不锈钢,ao'shi'ti'bu'xiu'gang
奥氏体合金钢,ao'shi'ti'he'jin'gang
奥氏体化处理,ao'shi'ti'hua'chu'li
奥式形变拉丝法,ao'shi'xing'bian'la'si'fa
奥索尼克,ao'suo'ni'ke
凹凸型矫直器,ao'tu'xing'jiao'zhi'qi
凹凸压花标志器,ao'tu'ya'hua'biao'zhi'qi
奥托昆普,ao'tuo'kun'pu
凹陷半径,ao'xian'ban'jing
凹陷包层光纤,ao'xian'bao'ceng'guang'xian
凹陷内包层,ao'xian'nei'bao'ceng
凹陷深度,ao'xian'shen'du
凹陷型包层,ao'xian'xing'bao'ceng
敖志鹏,ao'zhi'peng
凹状梯度折射率光纤,ao'zhuang'ti'du'zhe'she'lv'guang'xian
拔叉,ba'cha
拔插,ba'cha
八都,ba'du
八都线,ba'du'xian
把关,ba'guan
把关也需要,ba'guan'ye'xu'yao
把好,ba'hao
跋扈,ba'hu
把里面的,ba'li'mian'de
捌零,ba'ling
巴鲁芬,ba'lu'fen
巴伦,ba'lun
八氯二丙烯醚,ba'lv'er'bing'xi'mi
拔模斜度,ba'mo'xie'du
八盘行星式成缆机,ba'pan'xing'xing'shi'cheng'lan'ji
捌柒,ba'qi
拔稍,ba'shao
巴申曲线,ba'shen'qu'xian
巴氏合金,ba'shi'he'jin
把手,ba'shou
把手更换,ba'shou'geng'huan
把手切至,ba'shou'qie'zhi
把手悬挂,ba'shou'xuan'gua
把握,ba'wo
巴西加那利群岛电话电缆,ba'xi'jia'na'li'qun'dao'dian'hua'dian'lan
八芯光纤连接器,ba'xin'guang'xian'lian'jie'qi
把一些,ba'yi'xie
八月份,ba'yue'fen
八字形导线,ba'zi'xing'dao'xian
八字形凸边,ba'zi'xing'tu'bian
白炽光源系统,bai'chi'guang'yuan'xi'tong
摆动臂,bai'dong'bi
摆动式分线板,bai'dong'shi'fen'xian'ban
摆动式剪切机,bai'dong'shi'jian'qie'ji
摆动式捆扎机,bai'dong'shi'kun'za'ji
摆动式绕扎装置,bai'dong'shi'rao'zha'zhuang'zhi
摆动式收线机,bai'dong'shi'shou'xian'ji
白垩,bai'e
白垩槽,bai'e'cao
白垩层,bai'e'ceng
白垩粉,bai'e'fen
白垩粉槽,bai'e'fen'cao
白垩粉盒,bai'e'fen'he
白垩涂敷器,bai'e'tu'fu'qi
白垩涂敷装置,bai'e'tu'fu'zhuang'zhi
白垩箱,bai'e'xiang
摆放,bai'fang
百分比显示,bai'fen'bi'xian'shi
白粉缸,bai'fen'gang
百分数,bai'fen'shu
百分数导电率,bai'fen'shu'dao'dian'lv
白粉装置,bai'fen'zhuang'zhi
摆杆,bai'gan
摆杆式拉线机,bai'gan'shi'la'xian'ji
白光源,bai'guang'yuan
白和线,bai'he'xian
白桦树杆,bai'hua'shu'gan
白吉,bai'ji
白吉线,bai'ji'xian
白胶布,bai'jiao'bu
白金丝,bai'jin'si
百令达的品牌,bai'ling'da'de'pin'pai
摆轮,bai'lun
白排式收线,bai'pai'shi'shou'xian
白热退火,bai're'tui'huo
百日,bai'ri
白色,bai'se
白色浸渍电缆,bai'se'jin'zi'dian'lan
白天,bai'tian
白铜线,bai'tong'xian
白蚁防护剂,bai'yi'fang'hu'ji
佰元,bai'yuan
白云母纸,bai'yun'mu'zhi
白云山,bai'yun'shan
白云山间隔,bai'yun'shan'jian'ge
白噪声测试仪,bai'zao'sheng'ce'shi'yi
白竹线,bai'zhu'xian
斑白,ban'bai
斑斑驳驳,ban'ban'bo'bo
班办公室,ban'ban'gong'shi
版本,ban'ben
版本升级,ban'ben'sheng'ji
版别,ban'bie
半波长导线,ban'bo'chang'dao'xian
半波导线,ban'bo'dao'xian
班伯里混炼机,ban'bo'li'hun'lian'ji
班仓库,ban'cang'ku
半成品生产线,ban'cheng'pin'sheng'chan'xian
半成品铜包铝线,ban'cheng'pin'tong'bao'lv'xian
班成员,ban'cheng'yuan
半淬火线杆,ban'cui'huo'xian'gan
半搭接,ban'da'jie
半搭接头,ban'da'jie'tou
半导电层,ban'dao'dian'ceng
半导电带,ban'dao'dian'dai
半导电挡水带,ban'dao'dian'dang'shui'dai
半导电垫层,ban'dao'dian'dian'ceng
半导电丁基橡胶带,ban'dao'dian'ding'ji'xiang'jiao'dai
半导电护套,ban'dao'dian'hu'tao
半导电绞线屏蔽,ban'dao'dian'jiao'xian'ping'bi
半导电聚合物,ban'dao'dian'ju'he'wu
半导电绝缘屏蔽,ban'dao'dian'jue'yuan'ping'bi
半导电料,ban'dao'dian'liao
半导电尼龙带,ban'dao'dian'ni'long'dai
半导电膨胀阻水层,ban'dao'dian'peng'zhang'zu'shui'ceng
半导电屏蔽,ban'dao'dian'ping'bi
半导电漆,ban'dao'dian'qi
半导电热固性混合物,ban'dao'dian're'gu'xing'hun'he'wu
半导电塑料,ban'dao'dian'su'liao
半导电线芯,ban'dao'dian'xian'xin
半导电橡胶,ban'dao'dian'xiang'jiao
半导电橡塑材料电阻率试验方法,ban'dao'dian'xiang'su'cai'liao'dian'zu'lv'shi'yan'fang'fa
半导电性,ban'dao'dian'xing
半导体材料,ban'dao'ti'cai'liao
半导体材料挤出机,ban'dao'ti'cai'liao'ji'chu'ji
半导体层,ban'dao'ti'ceng
半导体护套,ban'dao'ti'hu'tao
半导体护套料,ban'dao'ti'hu'tao'liao
半导体混合物,ban'dao'ti'hun'he'wu
半导体激光器,ban'dao'ti'ji'guang'qi
半导体交联聚乙烯,ban'dao'ti'jiao'lian'ju'yi'xi
半导体开关元件,ban'dao'ti'kai'guan'yuan'jian
半导体屏蔽,ban'dao'ti'ping'bi
半导体漆,ban'dao'ti'qi
半导体釉,ban'dao'ti'you
半导体纸,ban'dao'ti'zhi
班的,ban'de
半电导电层,ban'dian'dao'dian'ceng
半叠包,ban'die'bao
班二,ban'er
办法,ban'fa
办公,ban'gong
半功率点之间的发射光束角,ban'gong'lv'dian'zhi'jian'de'fa'she'guang'shu'jiao
办公设备申请表,ban'gong'she'bei'shen'qing'biao
办公室,ban'gong'shi
办公室郭志红,ban'gong'shi'guo'zhi'hong
办公室内部通信系统,ban'gong'shi'nei'bu'tong'xin'xi'tong
办公室线缆内联系统,ban'gong'shi'xian'lan'nei'lian'xi'tong
办公桌,ban'gong'zhuo
半合成纸,ban'he'cheng'zhi
班后,ban'hou
班后会,ban'hou'hui
班会,ban'hui
班会活动,ban'hui'huo'dong
班继保班,ban'ji'bao'ban
班基本,ban'ji'ben
班继电保护,ban'ji'dian'bao'hu
板件,ban'jian
半截面,ban'jie'mian
扳紧,ban'jin
半径损耗,ban'jing'sun'hao
半聚合物,ban'ju'he'wu
半空气绝缘电缆,ban'kong'qi'jue'yuan'dian'lan
办理,ban'li
班里,ban'li
半连续铸锭,ban'lian'xu'zhu'ding
半连续铸锭机,ban'lian'xu'zhu'ding'ji
伴流,ban'liu
半硫化,ban'liu'hua
半年,ban'nian
半年学期半学年,ban'nian'xue'qi'ban'xue'nian
半扭绞结构,ban'niu'jiao'jie'gou
班前,ban'qian
班前班后,ban'qian'ban'hou
班前会,ban'qian'hui
半切线式绕包头,ban'qie'xian'shi'rao'bao'tou
半切线式纸包机,ban'qie'xian'shi'zhi'bao'ji
半球范围,ban'qiu'fan'wei
伴热设备,ban're'she'bei
半软铝线,ban'ruan'lv'xian
半塞止式接头盒,ban'sai'zhi'shi'jie'tou'he
班上,ban'shang
板式滤油机,ban'shi'lv'you'ji
半双工,ban'shuang'gong
伴随,ban'sui
板条,ban'tiao
半透膜,ban'tou'mo
半退火铝导体,ban'tui'huo'lv'dao'ti
班务,ban'wu
班务管理,ban'wu'guan'li
班务会,ban'wu'hui
半雾面,ban'wu'mian
半线圈,ban'xian'quan
板型换热器板式换热器,ban'xing'huan're'qi'ban'shi'huan're'qi
半硬铝线,ban'ying'lv'xian
半硬铜线,ban'ying'tong'xian
半硬同轴电缆,ban'ying'tong'zhou'dian'lan
半硬质,ban'ying'zhi
班员,ban'yuan
班员班员,ban'yuan'ban'yuan
半圆半圆形体,ban'yuan'ban'yuan'xing'ti
半圆黄铜带,ban'yuan'huang'tong'dai
半圆形导体,ban'yuan'xing'dao'ti
半月,ban'yue
搬运,ban'yun
搬运时,ban'yun'shi
办展,ban'zhan
班长,ban'zhang
班长安排任务,ban'zhang'an'pai'ren'wu
班长副班长,ban'zhang'fu'ban'zhang
班长怒,ban'zhang'nu
班长账号,ban'zhang'zhang'hao
半正弦波脉冲,ban'zheng'xian'bo'mai'chong
班周末,ban'zhou'mo
半锥,ban'zhui
半锥角,ban'zhui'jiao
半自动电缆测量装置,ban'zi'dong'dian'lan'ce'liang'zhuang'zhi
半自动电缆绝缘剥除机,ban'zi'dong'dian'lan'jue'yuan'bo'chu'ji
半自动和全自动包装流水线,ban'zi'dong'he'quan'zi'dong'bao'zhuang'liu'shui'xian
半自动精密层绕生产线,ban'zi'dong'jing'mi'ceng'rao'sheng'chan'xian
半自动上盘装置,ban'zi'dong'shang'pan'zhuang'zhi
半自动上下收线盘,ban'zi'dong'shang'xia'shou'xian'pan
半自动生产线控制系统,ban'zi'dong'sheng'chan'xian'kong'zhi'xi'tong
半自动生产线控制装置,ban'zi'dong'sheng'chan'xian'kong'zhi'zhuang'zhi
半自动手动控制装置,ban'zi'dong'shou'dong'kong'zhi'zhuang'zhi
半自动收线装置,ban'zi'dong'shou'xian'zhuang'zhi
半自动双盘收线装置,ban'zi'dong'shuang'pan'shou'xian'zhuang'zhi
半自动双头微型复绕生产线,ban'zi'dong'shuang'tou'wei'xing'fu'rao'sheng'chan'xian
半自动液压上下盘装置,ban'zi'dong'ye'ya'shang'xia'pan'zhuang'zhi
半自动装盘系统,ban'zi'dong'zhuang'pan'xi'tong
班组,ban'zu
班组安全,ban'zu'an'quan
班组安全建设,ban'zu'an'quan'jian'she
班组成员,ban'zu'cheng'yuan
班组床戏,ban'zu'chuang'xi
班组的,ban'zu'de
班组或,ban'zu'huo
班组继保班,ban'zu'ji'bao'ban
班组基础建设,ban'zu'ji'chu'jian'she
班组技能建设,ban'zu'ji'neng'jian'she
班组技术,ban'zu'ji'shu
班组绩效考核,ban'zu'ji'xiao'kao'he
班组建设,ban'zu'jian'she
班组建设包括,ban'zu'jian'she'bao'kuo
班组建设国网,ban'zu'jian'she'guo'wang
班组将全力,ban'zu'jiang'quan'li
班组开展工作,ban'zu'kai'zhan'gong'zuo
班组民主建设,ban'zu'min'zhu'jian'she
班组内,ban'zu'nei
班组日,ban'zu'ri
班组思想建设,ban'zu'si'xiang'jian'she
班组文化建设,ban'zu'wen'hua'jian'she
班组员工,ban'zu'yuan'gong
班组长,ban'zu'zhang
班组整理资料,ban'zu'zheng'li'zi'liao
班组专业,ban'zu'zhuan'ye
班组资料,ban'zu'zi'liao
班组资料整理,ban'zu'zi'liao'zheng'li
棒材矫直,bang'cai'jiao'zhi
棒材自动供送装置,bang'cai'zi'dong'gong'song'zhuang'zhi
磅秤,bang'cheng
绑带,bang'dai
帮忙,bang'mang
帮忙删除,bang'mang'shan'chu
帮忙删掉,bang'mang'shan'diao
棒型支柱绝缘子,bang'xing'zhi'zhu'jue'yuan'zi
榜样,bang'yang
绑扎,bang'za
绑扎带,bang'za'dai
绑扎工艺,bang'za'gong'yi
绑扎模,bang'za'mo
绑扎绳,bang'za'sheng
绑扎头,bang'za'tou
绑扎线,bang'za'xian
绑扎张力,bang'za'zhang'li
帮助,bang'zhu
保奥运,bao'ao'yun
保班,bao'ban
薄壁绝缘低压电线,bao'bi'jue'yuan'di'ya'dian'xian
报表,bao'biao
包层,bao'ceng
包层表面,bao'ceng'biao'mian
包层表面不圆度,bao'ceng'biao'mian'bu'yuan'du
包层表面直径偏差,bao'ceng'biao'mian'zhi'jing'pian'cha
包层玻璃,bao'ceng'bo'li
包层材料,bao'ceng'cai'liao
薄层层析法,bao'ceng'ceng'xi'fa
包层光纤,bao'ceng'guang'xian
包层模,bao'ceng'mo
包层偏心率,bao'ceng'pian'xin'lv
包层石英光纤,bao'ceng'shi'ying'guang'xian
包层损耗,bao'ceng'sun'hao
包层涂层偏心率,bao'ceng'tu'ceng'pian'xin'lv
薄层涂覆,bao'ceng'tu'fu
薄层粘接扁形电缆,bao'ceng'zhan'jie'bian'xing'dian'lan
薄层粘接护套,bao'ceng'zhan'jie'hu'tao
包层折射率,bao'ceng'zhe'she'lv
包层直径,bao'ceng'zhi'jing
包层中心,bao'ceng'zhong'xin
保持,bao'chi
保持保持力,bao'chi'bao'chi'li
保持力,bao'chi'li
保持力试验,bao'chi'li'shi'yan
报出,bao'chu
刨床转度卡盘,bao'chuang'zhuan'du'ka'pan
保存,bao'cun
保存定值,bao'cun'ding'zhi
保存上报,bao'cun'shang'bao
包带绑扎头,bao'dai'bang'za'tou
包带成型装置,bao'dai'cheng'xing'zhuang'zhi
包带导体,bao'dai'dao'ti
包带点,bao'dai'dian
包带对接覆盖,bao'dai'dui'jie'fu'gai
包带机,bao'dai'ji
包带接近用完指示器,bao'dai'jie'jin'yong'wan'zhi'shi'qi
包带节距,bao'dai'jie'ju
包带绝缘接头,bao'dai'jue'yuan'jie'tou
包带屏蔽,bao'dai'ping'bi
包带式,bao'dai'shi
包带速度,bao'dai'su'du
包带头,bao'dai'tou
包带在线调节系统,bao'dai'zai'xian'tiao'jie'xi'tong
包带站,bao'dai'zhan
包带制动装置,bao'dai'zhi'dong'zhuang'zhi
包带装置,bao'dai'zhuang'zhi
包带最大储存空间,bao'dai'zui'da'chu'cun'kong'jian
报道,bao'dao
刨刀片,bao'dao'pian
包德泽,bao'de'ze
保电,bao'dian
保电工作,bao'dian'gong'zuo
保电奖,bao'dian'jiang
保定,bao'ding
报废,bao'fei
包封,bao'feng
暴风负载,bao'feng'fu'zai
包封胶,bao'feng'jiao
包覆粉粒,bao'fu'fen'li
报告,bao'gao
报告模板,bao'gao'mu'ban
包箍,bao'gu
抱箍,bao'gu
饱和,bao'he
饱和浸渍剂,bao'he'jin'zi'ji
饱和蒸汽,bao'he'zheng'qi
保护,bao'hu
保护班,bao'hu'ban
保护版本,bao'hu'ban'ben
保护班统计,bao'hu'ban'tong'ji
保护报文,bao'hu'bao'wen
保护材料,bao'hu'cai'liao
保护测控,bao'hu'ce'kong
保护测控柜屏面图,bao'hu'ce'kong'gui'ping'mian'tu
保护测控屏,bao'hu'ce'kong'ping
保护层,bao'hu'ceng
保护插件更换,bao'hu'cha'jian'geng'huan
保护程序,bao'hu'cheng'xu
保护重叠区,bao'hu'chong'die'qu
保护倒换,bao'hu'dao'huan
保护的,bao'hu'de
保护的安全性,bao'hu'de'an'quan'xing
保护的不正确动作,bao'hu'de'bu'zheng'que'dong'zuo
保护的可靠性,bao'hu'de'ke'kao'xing
保护的区选择性,bao'hu'de'qu'xuan'ze'xing
保护的相选择性,bao'hu'de'xiang'xuan'ze'xing
保护的信赖性,bao'hu'de'xin'lai'xing
保护的选择性,bao'hu'de'xuan'ze'xing
保护的正确动作,bao'hu'de'zheng'que'dong'zuo
保护电压,bao'hu'dian'ya
保护电源,bao'hu'dian'yuan
保护定检,bao'hu'ding'jian
保护定检工作,bao'hu'ding'jian'gong'zuo
保护定检和,bao'hu'ding'jian'he
保护定值,bao'hu'ding'zhi
保护定值单,bao'hu'ding'zhi'dan
保护定值更改,bao'hu'ding'zhi'geng'gai
保护定值秀发,bao'hu'ding'zhi'xiu'fa
保护定值修改,bao'hu'ding'zhi'xiu'gai
保护动作,bao'hu'dong'zuo
保护动作情况,bao'hu'dong'zuo'qing'kuang
保护断路器,bao'hu'duan'lu'qi
保护二次图,bao'hu'er'ci'tu
保护范围,bao'hu'fan'wei
保护范围内,bao'hu'fan'wei'nei
保护改定值,bao'hu'gai'ding'zhi
保护改造,bao'hu'gai'zao
保护公共,bao'hu'gong'gong
保护公共开入,bao'hu'gong'gong'kai'ru
保护工器具,bao'hu'gong'qi'ju
保护公用,bao'hu'gong'yong
保护柜,bao'hu'gui
保护还,bao'hu'hai
保护盒,bao'hu'he
保护盒安装和拆卸试验,bao'hu'he'an'zhuang'he'chai'xie'shi'yan
保护盒的密封耐久性试验,bao'hu'he'de'mi'feng'nai'jiu'xing'shi'yan
保护换型,bao'hu'huan'xing
保护回路,bao'hu'hui'lu
保护及,bao'hu'ji
保护继电器,bao'hu'ji'dian'qi
保护检查,bao'hu'jian'cha
保护校验,bao'hu'jiao'yan
保护交直流,bao'hu'jiao'zhi'liu
保护接地,bao'hu'jie'di
保护拒动,bao'hu'ju'dong
保护联跳,bao'hu'lian'tiao
保护能,bao'hu'neng
保护屏,bao'hu'ping
保护屏不,bao'hu'ping'bu
保护屏设备,bao'hu'ping'she'bei
保护器,bao'hu'qi
保护漆层,bao'hu'qi'ceng
保护气体,bao'hu'qi'ti
保护区,bao'hu'qu
保护全,bao'hu'quan
保护圈,bao'hu'quan
保护软件,bao'hu'ruan'jian
保护设备,bao'hu'she'bei
保护室,bao'hu'shi
保护试验,bao'hu'shi'yan
保护试验仪,bao'hu'shi'yan'yi
保护套,bao'hu'tao
保护特性,bao'hu'te'xing
保护调试,bao'hu'tiao'shi
保护调试仪,bao'hu'tiao'shi'yi
保护跳闸,bao'hu'tiao'zha
保护图档管理系统,bao'hu'tu'dang'guan'li'xi'tong
保护图纸,bao'hu'tu'zhi
保护为,bao'hu'wei
保护误动,bao'hu'wu'dong
保护系统,bao'hu'xi'tong
保护线,bao'hu'xian
保护小室,bao'hu'xiao'shi
保护信息子站,bao'hu'xin'xi'zi'zhan
保护虚拟端子,bao'hu'xu'ni'duan'zi
保护压板,bao'hu'ya'ban
保护原理,bao'hu'yuan'li
保护中,bao'hu'zhong
保护专业,bao'hu'zhuan'ye
保护装置,bao'hu'zhuang'zhi
保护装置需,bao'hu'zhuang'zhi'xu
保护资料,bao'hu'zi'liao
抱回,bao'hui
保驾护航,bao'jia'hu'hang
报警,bao'jing
报警系统,bao'jing'xi'tong
报警线对,bao'jing'xian'dui
报警仪,bao'jing'yi
包括,bao'kuo
包括备用,bao'kuo'bei'yong
包括备用芯,bao'kuo'bei'yong'xin
包括的,bao'kuo'de
包括电网,bao'kuo'dian'wang
包括开关,bao'kuo'kai'guan
包括旁路,bao'kuo'pang'lu
包括数字化,bao'kuo'shu'zi'hua
包括一套,bao'kuo'yi'tao
保留,bao'liu
暴露,bao'lu
报名,bao'ming
报名表,bao'ming'biao
薄膜绝缘,bao'mo'jue'yuan
薄膜绝缘电磁线,bao'mo'jue'yuan'dian'ci'xian
薄膜开关,bao'mo'kai'guan
薄膜绕包机,bao'mo'rao'bao'ji
薄膜绕包设备,bao'mo'rao'bao'she'bei
薄膜绕包线,bao'mo'rao'bao'xian
剥皮工具,bao'pi'gong'ju
剥皮机,bao'pi'ji
剥皮机头,bao'pi'ji'tou
剥皮模,bao'pi'mo
剥皮器,bao'pi'qi
剥皮设备,bao'pi'she'bei
剥皮生产线,bao'pi'sheng'chan'xian
剥皮头,bao'pi'tou
剥皮装置,bao'pi'zhuang'zhi
保偏光纤,bao'pian'guang'xian
薄片云母,bao'pian'yun'mu
薄片制品,bao'pian'zhi'pin
包飘忽,bao'piao'hu
爆破到时,bao'po'dao'shi
爆破电缆,bao'po'dian'lan
报缺,bao'que
暴晒,bao'shai
包套,bao'tao
包套电缆,bao'tao'dian'lan
包套外护套,bao'tao'wai'hu'tao
保梯电抗,bao'ti'dian'kang
包围围攻,bao'wei'wei'gong
报文,bao'wen
保温槽,bao'wen'cao
报文规约,bao'wen'gui'yue
保温炉,bao'wen'lu
保温区,bao'wen'qu
报文为,bao'wen'wei
保温铸造炉,bao'wen'zhu'zao'lu
刨铣床,bao'xi'chuang
保险圈,bao'xian'quan
保险绳,bao'xian'sheng
报销,bao'xiao
报销报销,bao'xiao'bao'xiao
报销单,bao'xiao'dan
保养,bao'yang
包样化学分析,bao'yang'hua'xue'fen'xi
抱怨,bao'yuan
包扎,bao'za
爆炸,bao'zha
爆炸成形,bao'zha'cheng'xing
爆炸焊,bao'zha'han
爆炸后,bao'zha'hou
保障,bao'zhang
报账,bao'zhang
报账单,bao'zhang'dan
保证,bao'zheng
保证班组,bao'zheng'ban'zu
保证负荷,bao'zheng'fu'he
保证功率,bao'zheng'gong'lv
保证了,bao'zheng'le
保质保量,bao'zhi'bao'liang
包装标准,bao'zhuang'biao'zhun
包装等级,bao'zhuang'deng'ji
包装工段,bao'zhuang'gong'duan
