爱因斯坦关系,ai'yin'si'tan'guan'xi
俄歇,e'xie
俄歇过程,e'xie'guo'cheng
二分频,er'fen'pin
二极管,er'ji'guan
二进制代码,er'jin'zhi'dai'ma
二氧化硅,er'yang'hua'gui
二元化合物半导体,er'yuan'hua'he'wu'ban'dao'ti
发光二极管,fa'guang'er'ji'guan
发射极,fa'she'ji
发射极集边效应,fa'she'ji'ji'bian'xiao'ying
发射极耦合对,fa'she'ji'ou'he'dui
发射极耦合逻辑,fa'she'ji'ou'he'luo'ji
反掺杂,fan'chan'za
反馈,fan'kui
反向工作,fan'xiang'gong'zuo
反向偏置,fan'xiang'pian'zhi
反相器,fan'xiang'qi
反型,fan'xing
反应溅射源,fan'ying'jian'she'yuan
放大器,fang'da'qi
放电,fang'dian
非本征,fei'ben'zheng
非挥发性,fei'hui'fa'xing
非接触式掩模,fei'jie'chu'shi'yan'mo
非晶体,fei'jing'ti
菲克方程,fei'ke'fang'cheng
费米,fei'mi
费米狄拉克分布,fei'mi'di'la'ke'fen'bu
费米能级,fei'mi'neng'ji
费米势,fei'mi'shi
非平衡,fei'ping'heng
非线性鉴相器,fei'xian'xing'jian'xiang'qi
分贝,fen'bei
分布电容,fen'bu'dian'rong
分布模型,fen'bu'mo'xing
分立元件,fen'li'yuan'jian
分凝,fen'ning
分子晶体,fen'zi'jing'ti
峰点电压,feng'dian'dian'ya
峰值电压,feng'zhi'dian'ya
封装,feng'zhuang
幅度,fu'du
负反馈,fu'fan'kui
复合,fu'he
氟化氢刻蚀,fu'hua'qing'ke'shi
俘获截面,fu'huo'jie'mian
俘获载流子,fu'huo'zai'liu'zi
浮栅,fu'shan
辐射保护,fu'she'bao'hu
辐射电导率,fu'she'dian'dao'lv
辐射加固,fu'she'jia'gu
辐射加固器件,fu'she'jia'gu'qi'jian
辐射损伤,fu'she'sun'shang
辐射通量密度,fu'she'tong'liang'mi'du
负温度系数,fu'wen'du'xi'shu
负载线,fu'zai'xian
辐照,fu'zhao
辐照复合,fu'zhao'fu'he
负阻,fu'zu
概率密度,gai'lv'mi'du
概率密度函数,gai'lv'mi'du'han'shu
干法腐蚀,gan'fa'fu'shi
坩埚,gan'guo
感应沟道,gan'ying'gou'dao
高场特性,gao'chang'te'xing
高斯,gao'si
高斯掺杂分布,gao'si'chan'za'fen'bu
高斯分布,gao'si'fen'bu
隔离岛,ge'li'dao
葛谋潘模型,ge'mou'pan'mo'xing
各向同性,ge'xiang'tong'xing
各向异性,ge'xiang'yi'xing
功放,gong'fang
功函数,gong'han'shu
功耗,gong'hao
共价键,gong'jia'jian
共阶跨交,gong'jie'kua'jiao
共漏,gong'lou
功率晶体管,gong'lv'jing'ti'guan
功率谱,gong'lv'pu
共模输入,gong'mo'shu'ru
共模抑制比,gong'mo'yi'zhi'bi
共模增益,gong'mo'zeng'yi
共溶,gong'rong
共栅,gong'shan
共射频率,gong'she'pin'lv
工艺,gong'yi
共源,gong'yuan
工作点,gong'zuo'dian
工作偏置,gong'zuo'pian'zhi
工作周期,gong'zuo'zhou'qi
沟道掺杂,gou'dao'chan'za
沟道电流,gou'dao'dian'liu
沟道击穿,gou'dao'ji'chuan
沟道宽度,gou'dao'kuan'du
沟道缩短,gou'dao'suo'duan
谷间散射,gu'jian'san'she
固溶度,gu'rong'du
固体电路,gu'ti'dian'lu
管脚,guan'jiao
光猝灭,guang'cu'mie
光电池,guang'dian'chi
光电导,guang'dian'dao
光电二极管,guang'dian'er'ji'guan
光电效应,guang'dian'xiao'ying
光刻,guang'ke
光刻工艺,guang'ke'gong'yi
光耦合隔离器,guang'ou'he'ge'li'qi
光通信,guang'tong'xin
光跃迁,guang'yue'qian
光致抗蚀剂,guang'zhi'kang'shi'ji
光子,guang'zi
光子器件,guang'zi'qi'jian
归一化,gui'yi'hua
过冲,guo'chong
过度金属硅化物,guo'du'jin'shu'gui'hua'wu
过渡区,guo'du'qu
国际单位制,guo'ji'dan'wei'zhi
过流保护,guo'liu'bao'hu
过剩载流子,guo'sheng'zai'liu'zi
过压保护,guo'ya'bao'hu
过载,guo'zai
耗尽层,hao'jin'ceng
耗尽接触,hao'jin'jie'chu
耗尽近似,hao'jin'jin'si
耗尽区,hao'jin'qu
耗尽深度,hao'jin'shen'du
耗尽效应,hao'jin'xiao'ying
合金结器件,he'jin'jie'qi'jian
恒定源扩散,heng'ding'yuan'kuo'san
横向,heng'xiang
厚膜技术,hou'mo'ji'shu
互补达林顿电路,hu'bu'da'lin'dun'dian'lu
互补金属氧化物半导体场效应晶体管,hu'bu'jin'shu'yang'hua'wu'ban'dao'ti'chang'xiao'ying'jing'ti'guan
互连,hu'lian
互连延时,hu'lian'yan'shi
化合物半导体,hua'he'wu'ban'dao'ti
划片格,hua'pian'ge
化学腐蚀法,hua'xue'fu'shi'fa
化学机械抛光,hua'xue'ji'xie'pao'guang
化学抛光,hua'xue'pao'guang
缓变沟道,huan'bian'gou'dao
缓变结晶粒,huan'bian'jie'jing'li
环路参数,huan'lu'can'shu
环路带宽,huan'lu'dai'kuan
环路滤波器,huan'lu'lv'bo'qi
环路相应,huan'lu'xiang'ying
环形振荡器,huan'xing'zhen'dang'qi
恢复二极管,hui'fu'er'ji'guan
恢复时间,hui'fu'shi'jian
混合集成,hun'he'ji'cheng
霍尔效应,huo'er'xiao'ying
急变时间,ji'bian'shi'jian
集成注入逻辑,ji'cheng'zhu'ru'luo'ji
击穿,ji'chuan
寄存器,ji'cun'qi
集电极,ji'dian'ji
激发能,ji'fa'neng
激发态,ji'fa'tai
几何尺寸,ji'he'chi'cun
激活,ji'huo
激活能,ji'huo'neng
基极,ji'ji
积累层,ji'lei'ceng
积累接触,ji'lei'jie'chu
积累区,ji'lei'qu
级联,ji'lian
基区渡越时间,ji'qu'du'yue'shi'jian
基区接触,ji'qu'jie'chu
基区宽度调制,ji'qu'kuan'du'tiao'zhi
基区扩展效应,ji'qu'kuo'zhan'xiao'ying
基区输运系数,ji'qu'shu'yun'xi'shu
寄生晶体管,ji'sheng'jing'ti'guan
寄生效应,ji'sheng'xiao'ying
寄生振荡,ji'sheng'zhen'dang
基矢,ji'shi
极性,ji'xing
基准点,ji'zhun'dian
激子,ji'zi
集总模型,ji'zong'mo'xing
价带,jia'dai
价带顶,jia'dai'ding
价电子,jia'dian'zi
夹断,jia'duan
价键,jia'jian
加速实验,jia'su'shi'yan
简并半导体,jian'bing'ban'dao'ti
简并度,jian'bing'du
键合,jian'he
键合点,jian'he'dian
简立方,jian'li'fang
建立时间,jian'li'shi'jian
鉴频,jian'pin
鉴频鉴相,jian'pin'jian'xiang
溅射,jian'she
减速,jian'su
鉴相,jian'xiang
交迭,jiao'die
交互式结构,jiao'hu'shi'jie'gou
结侧壁,jie'ce'bi
接触电势,jie'chu'dian'shi
接触孔,jie'chu'kong
接触式掩模,jie'chu'shi'yan'mo
介电,jie'dian
结隔离,jie'ge'li
结构组态,jie'gou'zu'tai
结间距,jie'jian'ju
解理面,jie'li'mian
界面,jie'mian
结型场效应管,jie'xing'chang'xiao'ying'guan
截止,jie'zhi
介质隔离,jie'zhi'ge'li
禁带,jin'dai
金属半导体,jin'shu'ban'dao'ti
金属氧化物半导体场效应晶体管,jin'shu'yang'hua'wu'ban'dao'ti'chang'xiao'ying'jing'ti'guan
进位输出,jin'wei'shu'chu
进位输入,jin'wei'shu'ru
晶胞,jing'bao
晶格,jing'ge
晶格畸变,jing'ge'ji'bian
晶格结合力,jing'ge'jie'he'li
晶面,jing'mian
晶片波动方程,jing'pian'bo'dong'fang'cheng
静态特性,jing'tai'te'xing
晶体管老化,jing'ti'guan'lao'hua
晶体缺陷,jing'ti'que'xian
晶向,jing'xiang
镜象力碰撞电离,jing'xiang'li'peng'zhuang'dian'li
晶闸管,jing'zha'guan
聚合物半导体,ju'he'wu'ban'dao'ti
绝对抖动,jue'dui'dou'dong
绝缘硅,jue'yuan'gui
绝缘栅,jue'yuan'shan
绝缘体,jue'yuan'ti
均匀分布,jun'yun'fen'bu
开环带宽,kai'huan'dai'kuan
开路,kai'lu
抗腐蚀剂,kang'fu'shi'ji
抗蚀剂掩模,kang'shi'ji'yan'mo
可擦取存储器,ke'ca'qu'cun'chu'qi
可动离子,ke'dong'li'zi
可靠性,ke'kao'xing
可控硅,ke'kong'gui
可渗透基区,ke'shen'tou'ji'qu
刻蚀剂,ke'shi'ji
空带,kong'dai
空间电荷,kong'jian'dian'he
空位,kong'wei
空穴,kong'xue
空载时间,kong'zai'shi'jian
跨导,kua'dao
快恢复,kuai'hui'fu
快界面态,kuai'jie'mian'tai
扩频,kuo'pin
扩频通信,kuo'pin'tong'xin
扩散常数,kuo'san'chang'shu
扩散电容,kuo'san'dian'rong
扩散率,kuo'san'lv
扩散势垒,kuo'san'shi'lei
扩散系数,kuo'san'xi'shu
扩音器,kuo'yin'qi
扩展电阻,kuo'zhan'dian'zu
扩展频谱,kuo'zhan'pin'pu
蓝宝石,lan'bao'shi
浪涌能力,lang'yong'neng'li
里德二极管,li'de'er'ji'guan
李奇,li'qi
离子,li'zi
离子刻蚀,li'zi'ke'shi
离子束,li'zi'shu
离子注入,li'zi'zhu'ru
连续性方程,lian'xu'xing'fang'cheng
连续性条件,lian'xu'xing'tiao'jian
量子化,liang'zi'hua
量子效应,liang'zi'xiao'ying
临界,lin'jie
灵敏度,ling'min'du
漏电流,lou'dian'liu
逻辑摆幅,luo'ji'bai'fu
洛沦兹,luo'lun'zi
裸片,luo'pian
螺旋电感,luo'xuan'dian'gan
铝钝化,lv'dun'hua
铝氧化物,lv'yang'hua'wu
码型,ma'xing
脉冲宽度调制,mai'chong'kuan'du'tiao'zhi
脉冲调制,mai'chong'tiao'zhi
埋沟,mai'gou
麦克斯韦,mai'ke'si'wei
曼彻斯特码,man'che'si'te'ma
满带,man'dai
蒙特卡洛,meng'te'ka'luo
密堆积结构,mi'dui'ji'jie'gou
密勒指数,mi'le'zhi'shu
面心立方,mian'xin'li'fang
模拟板,mo'ni'ban
模拟比较器,mo'ni'bi'jiao'qi
南开,nan'kai
南开大学,nan'kai'da'xue
内插法,nei'cha'fa
内建,nei'jian
内建电场,nei'jian'dian'chang
能带,neng'dai
能带间隙,neng'dai'jian'xi
能级深陷阱,neng'ji'shen'xian'jing
能态,neng'tai
耦合,ou'he
偶极层直接耦合,ou'ji'ceng'zhi'jie'ou'he
偶极畴,ou'ji'chou
欧姆接触,ou'mu'jie'chu
硼硅玻璃,peng'gui'bo'li
匹配,pi'pei
偏差,pian'cha
偏置,pian'zhi
偏置电流,pian'zhi'dian'liu
偏置电压,pian'zhi'dian'ya
漂移电场,piao'yi'dian'chang
频率漂移噪声,pin'lv'piao'yi'zao'sheng
频率响应函数,pin'lv'xiang'ying'han'shu
品质因子,pin'zhi'yin'zi
平带,ping'dai
平衡多子,ping'heng'duo'zi
平衡少子,ping'heng'shao'zi
平均工作时间,ping'jun'gong'zuo'shi'jian
平均自由程,ping'jun'zi'you'cheng
平面工艺,ping'mian'gong'yi
平面晶体管,ping'mian'jing'ti'guan
汽相,qi'xiang
箝位,qian'wei
箝位二极管,qian'wei'er'ji'guan
潜行通路,qian'xing'tong'lu
迁移率,qian'yi'lv
前置放大器,qian'zhi'fang'da'qi
切克劳斯基技术,qie'ke'lao'si'ji'ji'shu
球面,qiu'mian
球形键合,qiu'xing'jian'he
趋肤效应,qu'fu'xiao'ying
曲率,qu'lv
全速率,quan'su'lv
确定抖动,que'ding'dou'dong
缺陷,que'xian
热沉,re'chen
热导率,re'dao'lv
热激发,re'ji'fa
热平衡,re'ping'heng
热氧化,re'yang'hua
热运动,re'yun'dong
热载流子,re'zai'liu'zi
热阻,re'zu
容差,rong'cha
三重扩散,san'chong'kuo'san
三角波发生器,san'jiao'bo'fa'sheng'qi
散粒噪声,san'li'zao'sheng
散热器,san're'qi
散射,san'she
扇出,shan'chu
扇入,shan'ru
闪烁存储器,shan'shuo'cun'chu'qi
闪烁噪声,shan'shuo'zao'sheng
栅氧化层,shan'yang'hua'ceng
上跳变,shang'tiao'bian
少数载流子,shao'shu'zai'liu'zi
射频微电子,she'pin'wei'dian'zi
射随器,she'sui'qi
射线,she'xian
深度杂质,shen'du'za'zhi
砷化钾,shen'hua'jia
深施主能级,shen'shi'zhu'neng'ji
深受主能级,shen'shou'zhu'neng'ji
升华,sheng'hua
生长结,sheng'zhang'jie
声子谱,sheng'zi'pu
湿法氧化,shi'fa'yang'hua
势阱,shi'jing
势垒,shi'lei
势垒层,shi'lei'ceng
势垒宽度,shi'lei'kuan'du
失配,shi'pei
失锁,shi'suo
石英玻璃,shi'ying'bo'li
时钟触发器,shi'zhong'chu'fa'qi
时钟发生器,shi'zhong'fa'sheng'qi
时钟恢复,shi'zhong'hui'fu
时钟频率,shi'zhong'pin'lv
时钟与数据恢复,shi'zhong'yu'shu'ju'hui'fu
施主耗尽,shi'zhu'hao'jin
受激发射,shou'ji'fa'she
受激复合,shou'ji'fu'he
受控,shou'kong
寿命测试,shou'ming'ce'shi
受主,shou'zhu
受主原子,shou'zhu'yuan'zi
输出电压摆幅,shu'chu'dian'ya'bai'fu
输出特性,shu'chu'te'xing
束缚电子,shu'fu'dian'zi
数据转换器,shu'ju'zhuan'huan'qi
输入失调电压,shu'ru'shi'tiao'dian'ya
梳状发射极结,shu'zhuang'fa'she'ji'jie
数字电路,shu'zi'dian'lu
双极,shuang'ji
双极晶体管,shuang'ji'jing'ti'guan
双扩散,shuang'kuo'san
双列直插式封装,shuang'lie'zhi'cha'shi'feng'zhuang
双向开关,shuang'xiang'kai'guan
瞬态,shun'tai
瞬态仿真,shun'tai'fang'zhen
速度功耗乘积,su'du'gong'hao'cheng'ji
隧穿,sui'chuan
隧道电流,sui'dao'dian'liu
随机抖动,sui'ji'dou'dong
锁相环,suo'xiang'huan
态密度,tai'mi'du
太阳能电池,tai'yang'neng'dian'chi
碳化硅,tan'hua'gui
探针,tan'zhen
陶瓷,tao'ci
套刻,tao'ke
特征阻抗,te'zheng'zu'kang
体复合,ti'fu'he
体立心结构,ti'li'xin'jie'gou
替位式,ti'wei'shi
体吸收,ti'xi'shou
体心立方,ti'xin'li'fang
调制器,tiao'zhi'qi
铜互连系统,tong'hu'lian'xi'tong
突变结,tu'bian'jie
退火,tui'huo
推挽,tui'wan
推挽输出,tui'wan'shu'chu
椭球,tuo'qiu
外推法,wai'tui'fa
外延,wai'yan
外延层,wai'yan'ceng
外延片,wai'yan'pian
弯曲,wan'qu
伪差分,wei'cha'fen
位错,wei'cuo
微电子,wei'dian'zi
微电子学,wei'dian'zi'xue
微分电容扩散结,wei'fen'dian'rong'kuo'san'jie
伪随机,wei'sui'ji
卫星谷,wei'xing'gu
温差电动势率,wen'cha'dian'dong'shi'lv
稳压管,wen'ya'guan
卧式外延反应器,wo'shi'wai'yan'fan'ying'qi
物理常数,wu'li'chang'shu
无源器件,wu'yuan'qi'jian
无源元件,wu'yuan'yuan'jian
下标,xia'biao
下降时间,xia'jiang'shi'jian
陷阱电荷,xian'jing'dian'he
线性度,xian'xing'du
线性鉴相器,xian'xing'jian'xiang'qi
相位噪声,xiang'wei'zao'sheng
相移,xiang'yi
响应时间,xiang'ying'shi'jian
肖克莱二极管,xiao'ke'lai'er'ji'guan
肖特基,xiao'te'ji
肖特基接触,xiao'te'ji'jie'chu
肖特基势垒,xiao'te'ji'shi'lei
谐波失真,xie'bo'shi'zhen
谐振,xie'zhen
芯片,xin'pian
芯片成品率,xin'pian'cheng'pin'lv
信噪比,xin'zao'bi
行为级模型,xing'wei'ji'mo'xing
悬挂键,xuan'gua'jian
选择性,xuan'ze'xing
雪崩击穿,xue'beng'ji'chuan
雪崩激发,xue'beng'ji'fa
薛定谔,xue'ding'e
压电效应,ya'dian'xiao'ying
压焊点,ya'han'dian
亚阈值,ya'yu'zhi
掩膜板,yan'mo'ban
掩模序号,yan'mo'xu'hao
掩模组,yan'mo'zu
延时锁相环,yan'shi'suo'xiang'huan
眼图,yan'tu
氧化,yang'hua
氧化层钝化,yang'hua'ceng'dun'hua
氧化物,yang'hua'wu
液氮,ye'dan
液相外延生长技术,ye'xiang'wai'yan'sheng'zhang'ji'shu
一次性电可擦除只读存储器,yi'ci'xing'dian'ke'ca'chu'zhi'du'cun'chu'qi
译码,yi'ma
异质结,yi'zhi'jie
异质结结构,yi'zhi'jie'jie'gou
异质结双极型晶体,yi'zhi'jie'shuang'ji'xing'jing'ti
阴极,yin'ji
隐埋扩散区,yin'mai'kuo'san'qu
铟锡氧化物,yin'xi'yang'hua'wu
银须,yin'xu
印制电路板,yin'zhi'dian'lu'ban
应力,ying'li
膺势发,ying'shi'fa
永久存储电路,yong'jiu'cun'chu'dian'lu
有机半导体,you'ji'ban'dao'ti
有效质量,you'xiao'zhi'liang
有源放大区,you'yuan'fang'da'qu
有源器件,you'yuan'qi'jian
有源区有源元,you'yuan'qu'you'yuan'yuan
余误差函数,yu'wu'cha'han'shu
阈值,yu'zhi
元胞,yuan'bao
源极,yuan'ji
元素半导体,yuan'su'ban'dao'ti
源随器,yuan'sui'qi
跃迁,yue'qian
跃迁几率,yue'qian'ji'lv
运放,yun'fang
运算放大器,yun'suan'fang'da'qi
杂质半导体,za'zhi'ban'dao'ti
载波进位位,zai'bo'jin'wei'wei
载流子,zai'liu'zi
早期失效,zao'qi'shi'xiao
噪声容限,zao'sheng'rong'xian
增强型模式,zeng'qiang'xing'mo'shi
增益,zeng'yi
增益级,zeng'yi'ji
展频,zhan'pin
张量,zhang'liang
折射率,zhe'she'lv
振荡器,zhen'dang'qi
真值表,zhen'zhi'biao
整流电阻,zheng'liu'dian'zu
整流接触,zheng'liu'jie'chu
整流器,zheng'liu'qi
正向导通,zheng'xiang'dao'tong
正向偏置,zheng'xiang'pian'zhi
正向阻断,zheng'xiang'zu'duan
直接带隙半导体,zhi'jie'dai'xi'ban'dao'ti
直接跃迁,zhi'jie'yue'qian
直立单晶,zhi'li'dan'jing
质量守恒定律,zhi'liang'shou'heng'ding'lv
志散射,zhi'san'she
重掺杂,zhong'chan'za
中心频率,zhong'xin'pin'lv
周期表,zhou'qi'biao
周期抖动,zhou'qi'dou'dong
周期周期抖动,zhou'qi'zhou'qi'dou'dong
主从触发器,zhu'cong'chu'fa'qi
柱面,zhu'mian
主平面,zhu'ping'mian
注入,zhu'ru
注入剂量,zhu'ru'ji'liang
注入离子,zhu'ru'li'zi
主轴,zhu'zhou
转换器,zhuan'huan'qi
转移电子,zhuan'yi'dian'zi
转移特性,zhuan'yi'te'xing
准费米能级,zhun'fei'mi'neng'ji
子带,zi'dai
自对准,zi'dui'zhun
自发发射,zi'fa'fa'she
籽晶,zi'jing
自举电路,zi'ju'dian'lu
自举射极跟随器,zi'ju'she'ji'gen'sui'qi
自扩散,zi'kuo'san
自旋,zi'xuan
纵向,zong'xiang
阻挡接触,zu'dang'jie'chu
阻挡能带,zu'dang'neng'dai
阻抗不完整结构,zu'kang'bu'wan'zheng'jie'gou
阻尼因子,zu'ni'yin'zi
组态,zu'tai
