安兴苑,an'xing'yuan
大学南路,da'xue'nan'lu
大洋造船,da'yang'zao'chuan
大杨庄,da'yang'zhuang
大众维修站,da'zhong'wei'xiu'zhan
大众闸,da'zhong'zha
戴庄,dai'zhuang
第一人民医院,di'yi'ren'min'yi'yuan
丁庄,ding'zhuang
东方百合园,dong'fang'bai'he'yuan
东方医院,dong'fang'yi'yuan
东方医院福满楼饭店,dong'fang'yi'yuan'fu'man'lou'fan'dian
东关古渡,dong'guan'gu'du
东花园,dong'hua'yuan
东花园泵站,dong'hua'yuan'beng'zhan
董桥,dong'qiao
冻青村彭博设备,dong'qing'cun'peng'bo'she'bei
冻青铺高旻寺,dong'qing'pu'gao'min'si
东徐庄,dong'xu'zhuang
东园饭店,dong'yuan'fan'dian
董庄,dong'zhuang
渡江南路,du'jiang'nan'lu
渡江桥,du'jiang'qiao
二桥村,er'qiao'cun
二十四桥,er'shi'si'qiao
方巷开发区,fang'xiang'kai'fa'qu
方巷镇,fang'xiang'zhen
方正苑,fang'zheng'yuan
房庄,fang'zhuang
飞亚毛绒公司,fei'ya'mao'rong'gong'si
枫丹白露园,feng'dan'bai'lu'yuan
凤凰岛,feng'huang'dao
凤凰桥,feng'huang'qiao
凤凰桥街,feng'huang'qiao'jie
冯庄,feng'zhuang
福克都酒店,fu'ke'dou'jiu'dian
福客都酒店,fu'ke'du'jiu'dian
富丽家园保集半岛,fu'li'jia'yuan'bao'ji'ban'dao
副食品城,fu'shi'pin'cheng
富扬路,fu'yang'lu
妇幼保健院,fu'you'bao'jian'yuan
福运门,fu'yun'men
富字食品厂,fu'zi'shi'pin'chang
甘泉医院,gan'quan'yi'yuan
甘泉中学,gan'quan'zhong'xue
干休所,gan'xiu'suo
港口工业园,gang'kou'gong'ye'yuan
港口机械厂,gang'kou'ji'xie'chang
港南村部,gang'nan'cun'bu
高力汽配城,gao'li'qi'pei'cheng
高旻寺,gao'min'si
高旻寺江海学院,gao'min'si'jiang'hai'xue'yuan
高桥,gao'qiao
高新橡塑,gao'xin'xiang'su
高庄,gao'zhuang
个园,ge'yuan
公道桥西,gong'dao'qiao'xi
公道镇政府,gong'dao'zhen'zheng'fu
公道中学,gong'dao'zhong'xue
公交公司,gong'jiao'gong'si
公交三公司,gong'jiao'san'gong'si
公交总公司,gong'jiao'zong'gong'si
工具三厂,gong'ju'san'chang
工具三厂邗江公路站,gong'ju'san'chang'han'jiang'gong'lu'zhan
公路处,gong'lu'chu
工人新村,gong'ren'xin'cun
工业技术学院,gong'ye'ji'shu'xue'yuan
工业品市场,gong'ye'pin'shi'chang
工业学校,gong'ye'xue'xiao
工业职业技术学校,gong'ye'zhi'ye'ji'shu'xue'xiao
工业职业技术学院,gong'ye'zhi'ye'ji'shu'xue'yuan
工艺公司,gong'yi'gong'si
工艺公司大五酒家,gong'yi'gong'si'da'wu'jiu'jia
龚庄,gong'zhuang
顾庄新村,gu'zhuang'xin'cun
瓜州古渡,gua'zhou'gu'du
瓜州化纤,gua'zhou'hua'xian
瓜州桥,gua'zhou'qiao
瓜洲桥,gua'zhou'qiao
官塘,guan'tang
观音,guan'yin
广陵产业园,guang'ling'chan'ye'yuan
广陵骨伤科医院,guang'ling'gu'shang'ke'yi'yuan
广陵学院,guang'ling'xue'yuan
广陵学院南,guang'ling'xue'yuan'nan
广陵学院南浦花园,guang'ling'xue'yuan'nan'pu'hua'yuan
广陵医院,guang'ling'yi'yuan
光明,guang'ming
广润发超市,guang'run'fa'chao'shi
广润发超市北大门,guang'run'fa'chao'shi'bei'da'men
广润发超市汇好数码广场,guang'run'fa'chao'shi'hui'hao'shu'ma'guang'chang
国防训练地,guo'fang'xun'lian'di
国际珠宝城,guo'ji'zhu'bao'cheng
国展中心,guo'zhan'zhong'xin
海德公园,hai'de'gong'yuan
海克赛尔,hai'ke'sai'er
海沃机械产业园管委会,hai'wo'ji'xie'chan'ye'yuan'guan'wei'hui
邗沟路,han'gou'lu
汉广陵王墓,han'guang'ling'wang'mu
邗江殡仪馆,han'jiang'bin'yi'guan
邗江公安局,han'jiang'gong'an'ju
邗江工业园,han'jiang'gong'ye'yuan
邗江河桥,han'jiang'he'qiao
邗江民政局,han'jiang'min'zheng'ju
邗江区政府,han'jiang'qu'zheng'fu
邗江人才市场,han'jiang'ren'cai'shi'chang
邗江中路北,han'jiang'zhong'lu'bei
邗江中路南,han'jiang'zhong'lu'nan
邗江中学,han'jiang'zhong'xue
邗江中专,han'jiang'zhong'zhuan
寒鸟服饰,han'niao'fu'shi
邗培中心,han'pei'zhong'xin
杭集车站,hang'ji'che'zhan
杭中村,hang'zhong'cun
河大桥,he'da'qiao
荷花池公园,he'hua'chi'gong'yuan
荷花池公园苏北医院,he'hua'chi'gong'yuan'su'bei'yi'yuan
河南七队,he'nan'qi'dui
何桥,he'qiao
和泰毛绒毯业,he'tai'mao'rong'tan'ye
何园,he'yuan
鸿大路,hong'da'lu
宏福服务中心冯庄,hong'fu'fu'wu'zhong'xin'feng'zhuang
宏福集团,hong'fu'ji'tuan
鸿福家园,hong'fu'jia'yuan
红接,hong'jie
红桥镇红中,hong'qiao'zhen'hong'zhong
鸿泰家园,hong'tai'jia'yuan
红星美凯龙,hong'xing'mei'kai'long
红星针织厂,hong'xing'zhen'zhi'chang
鸿扬路,hong'yang'lu
弘扬中学,hong'yang'zhong'xue
弘杨中学,hong'yang'zhong'xue
后谈庄,hou'tan'zhuang
虎豹集团,hu'bao'ji'tuan
湖滨公园,hu'bin'gong'yuan
胡杨村,hu'yang'cun
化肥厂,hua'fei'chang
化工学校,hua'gong'xue'xiao
花桥临时,hua'qiao'lin'shi
花亭,hua'ting
华通橡塑,hua'tong'xiang'su
华信织带,hua'xin'zhi'dai
华扬路,hua'yang'lu
花园小区,hua'yuan'xiao'qu
花园庄,hua'yuan'zhuang
槐泗镇,huai'si'zhen
淮左郡,huai'zuo'jun
环境资源学院,huan'jing'zi'yuan'xue'yuan
环资学院,huan'zi'xue'yuan
黄珏岔路口,huang'jue'cha'lu'kou
黄珏镇,huang'jue'zhen
火车站,huo'che'zhan
霍桥,huo'qiao
计划生育指导所,ji'hua'sheng'yu'zhi'dao'suo
计划生育指导所大五酒家,ji'hua'sheng'yu'zhi'dao'suo'da'wu'jiu'jia
集贸市场,ji'mao'shi'chang
技师学院,ji'shi'xue'yuan
吉祥苑,ji'xiang'yuan
机械厂,ji'xie'chang
嘉迪集团,jia'di'ji'tuan
嘉丰苑,jia'feng'yuan
贾桥,jia'qiao
加油站,jia'you'zhan
建安公司,jian'an'gong'si
建工大厦,jian'gong'da'sha
建邺组,jian'ye'zu
江都南路曲江装饰城西,jiang'du'nan'lu'qu'jiang'zhuang'shi'cheng'xi
江海学院,jiang'hai'xue'yuan
江苏中显富钰纺织,jiang'su'zhong'xian'fu'yu'fang'zhi
蒋王菜场,jiang'wang'cai'chang
蒋王街道风机厂,jiang'wang'jie'dao'feng'ji'chang
蒋王小学,jiang'wang'xiao'xue
蒋王镇,jiang'wang'zhen
蒋王中学,jiang'wang'zhong'xue
蒋西庄,jiang'xi'zhuang
江阳大桥东,jiang'yang'da'qiao'dong
江阳大桥西,jiang'yang'da'qiao'xi
江阳电缆公司,jiang'yang'dian'lan'gong'si
江阳工业园,jiang'yang'gong'ye'yuan
江阳商贸城,jiang'yang'shang'mao'cheng
江阳西路,jiang'yang'xi'lu
江阳学院,jiang'yang'xue'yuan
蒋庄,jiang'zhuang
焦山公园,jiao'shan'gong'yuan
解放桥,jie'fang'qiao
金丰公司,jin'feng'gong'si
金槐村,jin'huai'cun
金桥大道,jin'qiao'da'dao
金泉公司,jin'quan'gong'si
金山公园,jin'shan'gong'yuan
金山花园小区,jin'shan'hua'yuan'xiao'qu
金山路阿波罗蓄电池,jin'shan'lu'a'bo'luo'xu'dian'chi
金盛国际家居,jin'sheng'guo'ji'jia'ju
金田庄,jin'tian'zhuang
金鑫花园,jin'xin'hua'yuan
锦绣时代,jin'xiu'shi'dai
金阳光商城汽车西站,jin'yang'guang'shang'cheng'qi'che'xi'zhan
京华城北门,jing'hua'cheng'bei'men
京华城路,jing'hua'cheng'lu
京华城南门,jing'hua'cheng'nan'men
京华城全生活广场,jing'hua'cheng'quan'sheng'huo'guang'chang
京华城怡景苑,jing'hua'cheng'yi'jing'yuan
京华大酒店,jing'hua'da'jiu'dian
晶来集团,jing'lai'ji'tuan
敬老院,jing'lao'yuan
景文印刷厂,jing'wen'yin'shua'chang
晶新微电子,jing'xin'wei'dian'zi
酒厂,jiu'chang
酒甸镇,jiu'dian'zhen
开发大厦,kai'fa'da'sha
开发路,kai'fa'lu
开发西路,kai'fa'xi'lu
凯莱花园,kai'lai'hua'yuan
康乐新村,kang'le'xin'cun
康乐新村时代超市,kang'le'xin'cun'shi'dai'chao'shi
康桥花园,kang'qiao'hua'yuan
客运站,ke'yun'zhan
口岸委,kou'an'wei
莱福花园,lai'fu'hua'yuan
来鹤台广场,lai'he'tai'guang'chang
来鹤台广场富春酒楼,lai'he'tai'guang'chang'fu'chun'jiu'lou
莱茵苑小区,lai'yin'yuan'xiao'qu
蓝天大厦,lan'tian'da'sha
蓝天大厦三院门诊部,lan'tian'da'sha'san'yuan'men'zhen'bu
蓝天大厦三院门诊分部,lan'tian'da'sha'san'yuan'men'zhen'fen'bu
蓝天大厦市三院门诊分部,lan'tian'da'sha'shi'san'yuan'men'zhen'fen'bu
老菜场,lao'cai'chang
力创机床公司,li'chuang'ji'chuang'gong'si
李典镇,li'dian'zhen
利民桥,li'min'qiao
立新桥,li'xin'qiao
李庄,li'zhuang
联谊路,lian'yi'lu
联谊西路,lian'yi'xi'lu
连运村,lian'yun'cun
连运小区,lian'yun'xiao'qu
廖家,liao'jia
林河村,lin'he'cun
临时停靠站,lin'shi'ting'kao'zhan
刘东庄,liu'dong'zhuang
六里庄,liu'li'zhuang
六圩乡,liu'wei'xiang
柳馨花园,liu'xin'hua'yuan
刘庄,liu'zhuang
罗家,luo'jia
绿扬旅社,lv'yang'lv'she
绿杨旅社,lv'yang'lv'she
绿扬新苑,lv'yang'xin'yuan
马家,ma'jia
码头,ma'tou
马庄,ma'zhuang
马庄北,ma'zhuang'bei
马庄西,ma'zhuang'xi
美迪集团,mei'di'ji'tuan
玫瑰花园,mei'gui'hua'yuan
梅花山庄,mei'hua'shan'zhuang
梅岭东苑,mei'ling'dong'yuan
梅岭派出所,mei'ling'pai'chu'suo
美琪学校月亮园南门,mei'qi'xue'xiao'yue'liang'yuan'nan'men
美食街,mei'shi'jie
梅庄,mei'zhuang
梅庄新村,mei'zhuang'xin'cun
名兴花园,ming'xing'hua'yuan
牧羊集团,mu'yang'ji'tuan
南宝带小区,nan'bao'dai'xiao'qu
念二村,nian'er'cun
埝桥,nian'qiao
念四新村,nian'si'xin'cun
念泗新村,nian'si'xin'cun
淰泗新村,nian'si'xin'cun
念香苑,nian'xiang'yuan
聂庄,nie'zhuang
牛奶场,niu'nai'chang
农科所,nong'ke'suo
牌坊,pai'fang
潘庄桥,pan'zhuang'qiao
平山茶场,ping'shan'cha'chang
平山堂,ping'shan'tang
平山堂停车场,ping'shan'tang'ting'che'chang
平山乡政府,ping'shan'xiang'zheng'fu
汽车东站,qi'che'dong'zhan
汽车西站,qi'che'xi'zhan
汽车西站公交四公司,qi'che'xi'zhan'gong'jiao'si'gong'si
汽车西站南,qi'che'xi'zhan'nan
汽车西站南和平医院,qi'che'xi'zhan'nan'he'ping'yi'yuan
七二三所,qi'er'san'suo
七里甸,qi'li'dian
汽配城,qi'pei'cheng
强盛机械,qiang'sheng'ji'xie
侨光公司,qiao'guang'gong'si
琴曼集团,qin'man'ji'tuan
清合,qing'he
琼都宾馆,qiong'dou'bin'guan
琼花观,qiong'hua'guan
琼花观银河电子城,qiong'hua'guan'yin'he'dian'zi'cheng
琼花集团,qiong'hua'ji'tuan
曲江商品城新兴金属公司,qu'jiang'shang'pin'cheng'xin'xing'jin'shu'gong'si
曲江新苑,qu'jiang'xin'yuan
曲江装饰城,qu'jiang'zhuang'shi'cheng
群发化工,qun'fa'hua'gong
燃气总公司,ran'qi'zong'gong'si
燃气总公司省水机总厂,ran'qi'zong'gong'si'sheng'shui'ji'zong'chang
燃汽总公司省水机总厂,ran'qi'zong'gong'si'sheng'shui'ji'zong'chang
人民大厦,ren'min'da'sha
人民大厦中医院,ren'min'da'sha'zhong'yi'yuan
人民商场,ren'min'shang'chang
润扬南路,run'yang'nan'lu
润扬森林公园,run'yang'sen'lin'gong'yuan
三布厂,san'bu'chang
三叉汪,san'cha'wang
三超能源公司,san'chao'neng'yuan'gong'si
三笑集团,san'xiao'ji'tuan
三阳木业,san'yang'mu'ye
沙北三村,sha'bei'san'cun
沙头村,sha'tou'cun
沙头交管所,sha'tou'jiao'guan'suo
山河林场,shan'he'lin'chang
山河巷,shan'he'xiang
商城,shang'cheng
尚福乐公司,shang'fu'le'gong'si
商务高等职业学校,shang'wu'gao'deng'zhi'ye'xue'xiao
沈院,shen'yuan
生态园,sheng'tai'yuan
圣庄,sheng'zhuang
时代超市,shi'dai'chao'shi
时代超市康乐新村,shi'dai'chao'shi'kang'le'xin'cun
市二院,shi'er'yuan
市二院竹西公园,shi'er'yuan'zhu'xi'gong'yuan
市福利院,shi'fu'li'yuan
史公祠,shi'gong'ci
世纪家园,shi'ji'jia'yuan
世纪联华,shi'ji'lian'hua
施井路,shi'jing'lu
施井小区,shi'jing'xiao'qu
市客管处,shi'ke'guan'chu
施桥,shi'qiao
石桥,shi'qiao
施桥船闸,shi'qiao'chuan'zha
施桥镇,shi'qiao'zhen
施桥中学,shi'qiao'zhong'xue
市人医,shi'ren'yi
市三院,shi'san'yuan
施沙路,shi'sha'lu
石塔寺,shi'ta'si
石塔寺人寿保险,shi'ta'si'ren'shou'bao'xian
时新汽贸公司,shi'xin'qi'mao'gong'si
时新修理厂,shi'xin'xiu'li'chang
石油城,shi'you'cheng
石油山庄,shi'you'shan'zhuang
石油指挥部,shi'you'zhi'hui'bu
石油指挥部新兴金属公司,shi'you'zhi'hui'bu'xin'xing'jin'shu'gong'si
市政府,shi'zheng'fu
时庄,shi'zhuang
瘦西湖,shou'xi'hu
瘦西湖二十四桥,shou'xi'hu'er'shi'si'qiao
蜀岗西峰,shu'gang'xi'feng
蜀岗西路,shu'gang'xi'lu
曙光新苑,shu'guang'xin'yuan
蜀景花园,shu'jing'hua'yuan
双博馆,shuang'bo'guan
双高机械公司,shuang'gao'ji'xie'gong'si
双虹桥,shuang'hong'qiao
双桥,shuang'qiao
双塘路,shuang'tang'lu
水厂,shui'chang
水利加油站,shui'li'jia'you'zhan
水利学院,shui'li'xue'yuan
水泥厂,shui'ni'chang
水箱公司,shui'xiang'gong'si
顺达路,shun'da'lu
四季园,si'ji'yuan
四联村,si'lian'cun
四十八间,si'shi'ba'jian
四水厂,si'shui'chang
苏北医院,su'bei'yi'yuan
苏果超市,su'guo'chao'shi
隋炀帝陵,sui'yang'di'ling
孙庄,sun'zhuang
泰安工业园,tai'an'gong'ye'yuan
泰安镇,tai'an'zhen
太平路,tai'ping'lu
汤汪派出所,tang'wang'pai'chu'suo
汤汪乡政府汤汪医院,tang'wang'xiang'zheng'fu'tang'wang'yi'yuan
汤汪镇,tang'wang'zhen
汤庄,tang'zhuang
特钢厂,te'gang'chang
特种车辆厂,te'zhong'che'liang'chang
体育公园,ti'yu'gong'yuan
天德制衣,tian'de'zhi'yi
天地公司,tian'di'gong'si
天和国际花园,tian'he'guo'ji'hua'yuan
天乐港,tian'le'gang
田庄,tian'zhuang
通承公司,tong'cheng'gong'si
通达毛绒公司,tong'da'mao'rong'gong'si
同人生物,tong'ren'sheng'wu
通运集团,tong'yun'ji'tuan
头道桥,tou'dao'qiao
头桥镇,tou'qiao'zhen
团结桥,tuan'jie'qiao
万福大队,wan'fu'da'dui
万福闸,wan'fu'zha
万豪西花苑,wan'hao'xi'hua'yuan
玩具厂训考场,wan'ju'chang'xun'kao'chang
万马滨河城,wan'ma'bin'he'cheng
湾头码头,wan'tou'ma'tou
湾头镇政府,wan'tou'zhen'zheng'fu
望月路,wang'yue'lu
望月路步行街,wang'yue'lu'bu'xing'jie
望月苑,wang'yue'yuan
维扬路,wei'yang'lu
韦庄,wei'zhuang
文昌北苑,wen'chang'bei'yuan
文昌阁,wen'chang'ge
文昌花苑,wen'chang'hua'yuan
文昌花园东,wen'chang'hua'yuan'dong
文昌花苑南,wen'chang'hua'yuan'nan
文昌苑,wen'chang'yuan
文峰塔,wen'feng'ta
武警医院,wu'jing'yi'yuan
五里庙,wu'li'miao
吴桥加油站,wu'qiao'jia'you'zhan
五台山大桥,wu'tai'shan'da'qiao
五台山技师学院,wu'tai'shan'ji'shi'xue'yuan
武塘,wu'tang
五亭龙玩具厂,wu'ting'long'wan'ju'chang
五亭龙玩具城,wu'ting'long'wan'ju'cheng
五亭桥,wu'ting'qiao
吴巷,wu'xiang
吴州西路,wu'zhou'xi'lu
邬庄,wu'zhuang
西湖镇,xi'hu'zhen
西湖镇政府,xi'hu'zhen'zheng'fu
西花园,xi'hua'yuan
西津渡,xi'jin'du
西门,xi'men
西门菜场,xi'men'cai'chang
西区医院培圣文化中心,xi'qu'yi'yuan'pei'sheng'wen'hua'zhong'xin
西站南,xi'zhan'nan
下马桥,xia'ma'qiao
仙鹤寺,xian'he'si
仙鹤寺市口腔医院,xian'he'si'shi'kou'qiang'yi'yuan
线路版厂,xian'lu'ban'chang
祥和路,xiang'he'lu
祥园路,xiang'yuan'lu
乡政府,xiang'zheng'fu
小赵庄,xiao'zhao'zhuang
谢庄小区,xie'zhuang'xiao'qu
新东方中学,xin'dong'fang'zhong'xue
新港名兴花园,xin'gang'ming'xing'hua'yuan
新华中学,xin'hua'zhong'xue
新集科技中心,xin'ji'ke'ji'zhong'xin
新集学校,xin'ji'xue'xiao
新疆干休所,xin'jiang'gan'xiu'suo
新能源,xin'neng'yuan
新能源小区,xin'neng'yuan'xiao'qu
新胜印花彪龙彩钢,xin'sheng'yin'hua'biao'long'cai'gang
新星村,xin'xing'cun
新扬村,xin'yang'cun
新扬饭店,xin'yang'fan'dian
幸福小区,xing'fu'xiao'qu
兴森市场,xing'sen'shi'chang
兴扬路,xing'yang'lu
畜牧兽医院,xu'mu'shou'yi'yuan
徐凝门桥,xu'ning'men'qiao
徐桥村,xu'qiao'cun
旭日太阳能,xu'ri'tai'yang'neng
许庄,xu'zhuang
亚普公司,ya'pu'gong'si
牙刷城,ya'shua'cheng
亚细亚商厦,ya'xi'ya'shang'sha
亚星集团,ya'xing'ji'tuan
亚星客车厂,ya'xing'ke'che'chang
雅韵古筝果园,ya'yun'gu'zheng'guo'yuan
砚池小区,yan'chi'xiao'qu
沿河村,yan'he'cun
严桥,yan'qiao
燕庄,yan'zhuang
扬柴二分厂,yang'chai'er'fen'chang
扬大附中东校区,yang'da'fu'zhong'dong'xiao'qu
扬大农学院,yang'da'nong'xue'yuan
扬大师院,yang'da'shi'yuan
扬大医学院,yang'da'yi'xue'yuan
扬瓜路,yang'gua'lu
扬机厂,yang'ji'chang
养路费征嵇所,yang'lu'fei'zheng'ji'suo
养路费征稽所,yang'lu'fei'zheng'ji'suo
杨庙菜场,yang'miao'cai'chang
杨庙二砖,yang'miao'er'zhuan
杨庙镇政府,yang'miao'zhen'zheng'fu
扬农集团,yang'nong'ji'tuan
扬寿镇,yang'shou'zhen
扬中西校区,yang'zhong'xi'xiao'qu
扬州大剧院,yang'zhou'da'ju'yuan
扬州大学,yang'zhou'da'xue
扬州发电有限公司,yang'zhou'fa'dian'you'xian'gong'si
扬州港,yang'zhou'gang
扬州漆器厂,yang'zhou'qi'qi'chang
扬州森林公园,yang'zhou'sen'lin'gong'yuan
扬州商城,yang'zhou'shang'cheng
扬州西郊花园,yang'zhou'xi'jiao'hua'yuan
扬州星力公司,yang'zhou'xing'li'gong'si
扬州闸,yang'zhou'zha
扬州职大,yang'zhou'zhi'da
扬庄,yang'zhuang
杨庄,yang'zhuang
扬子厂,yang'zi'chang
扬子妇产医院,yang'zi'fu'chan'yi'yuan
扬子妇科医院,yang'zi'fu'ke'yi'yuan
扬子妇科医院邗江行政中心,yang'zi'fu'ke'yi'yuan'han'jiang'xing'zheng'zhong'xin
扬子津街办,yang'zi'jin'jie'ban
扬子津科教园,yang'zi'jin'ke'jiao'yuan
液化气公司,ye'hua'qi'gong'si
液化气公司职大南门,ye'hua'qi'gong'si'zhi'da'nan'men
冶金厂,ye'jin'chang
裔家,yi'jia
一人医,yi'ren'yi
银柏路,yin'bai'lu
银河小区,yin'he'xiao'qu
引江桥,yin'jiang'qiao
银桥,yin'qiao
银桥小区,yin'qiao'xiao'qu
印染厂,yin'ran'chang
印刷厂,yin'shua'chang
迎宾馆,ying'bin'guan
雍华府,yong'hua'fu
雍华府广润发,yong'hua'fu'guang'run'fa
永华浴室,yong'hua'yu'shi
友好会馆,you'hao'hui'guan
友谊广场,you'yi'guang'chang
友谊新村,you'yi'xin'cun
育才小学,yu'cai'xiao'xue
余林村,yu'lin'cun
俞桥村,yu'qiao'cun
跃进桥,yue'jin'qiao
月亮园,yue'liang'yuan
运河大桥,yun'he'da'qiao
运河西路,yun'he'xi'lu
云塘,yun'tang
运西,yun'xi
运西马庄,yun'xi'ma'zhuang
造纸厂,zao'zhi'chang
站南路,zhan'nan'lu
张家湾,zhang'jia'wan
张家庄,zhang'jia'zhuang
樟木桥,zhang'mu'qiao
张庄,zhang'zhuang
正泰花园,zheng'tai'hua'yuan
正宇锅炉湾头医院,zheng'yu'guo'lu'wan'tou'yi'yuan
制药厂,zhi'yao'chang
仲裁委,zhong'cai'wei
中平桥临时,zhong'ping'qiao'lin'shi
中心村,zhong'xin'cun
中心桥,zhong'xin'qiao
周庄,zhou'zhuang
珠宝城,zhu'bao'cheng
朱塘小区,zhu'tang'xiao'qu
朱圩,zhu'wei
茱萸湾公园,zhu'yu'wan'gong'yuan
庄台七闸村,zhuang'tai'qi'zha'cun
紫薇苑,zi'wei'yuan
综合场,zong'he'chang
