按时足额发放,an'shi'zu'e'fa'fang
年终过渡,nian'zhong'guo'du
农垦企业,nong'ken'qi'ye
农垦系统,nong'ken'xi'tong
农林水系统,nong'lin'shui'xi'tong
农业系统,nong'ye'xi'tong
平衡运行,ping'heng'yun'xing
企业补缴,qi'ye'bu'jiao
企业补缴方式,qi'ye'bu'jiao'fang'shi
企业参保,qi'ye'can'bao
企业化管理,qi'ye'hua'guan'li
企业欠缴社会保险费,qi'ye'qian'jiao'she'hui'bao'xian'fei
企业投保,qi'ye'tou'bao
欠费,qian'fei
欠费期间,qian'fei'qi'jian
欠缴,qian'jiao
欠缴社保费,qian'jiao'she'bao'fei
欠缴社会保险费,qian'jiao'she'hui'bao'xian'fei
全省统筹,quan'sheng'tong'chou
全市在岗职工月平均工资,quan'shi'zai'gang'zhi'gong'yue'ping'jun'gong'zi
若干年本人缴费工资指数,ruo'gan'nian'ben'ren'jiao'fei'gong'zi'zhi'shu
三资企业投保,san'zi'qi'ye'tou'bao
丧抚费,sang'fu'fei
丧葬费,sang'zang'fei
上年度全市在岗职工月平均工资,shang'nian'du'quan'shi'zai'gang'zhi'gong'yue'ping'jun'gong'zi
上年度在岗职工月平均工资,shang'nian'du'zai'gang'zhi'gong'yue'ping'jun'gong'zi
商业局,shang'ye'ju
商业系统,shang'ye'xi'tong
社保费,she'bao'fei
社保费率,she'bao'fei'lv
社保局,she'bao'ju
社保欠费,she'bao'qian'fei
社保业务,she'bao'ye'wu
社保政策,she'bao'zheng'ce
社会保险补贴,she'hui'bao'xian'bu'tie
社会保险待遇,she'hui'bao'xian'dai'yu
社会保险费,she'hui'bao'xian'fei
社会保险费率,she'hui'bao'xian'fei'lv
社会保险基金,she'hui'bao'xian'ji'jin
社会保险事业管理局,she'hui'bao'xian'shi'ye'guan'li'ju
社会保险政策,she'hui'bao'xian'zheng'ce
社会保障,she'hui'bao'zhang
社会发放,she'hui'fa'fang
社会化发放,she'hui'hua'fa'fang
社会统筹账户,she'hui'tong'chou'zhang'hu
社会养老保险费,she'hui'yang'lao'bao'xian'fei
社平工资,she'ping'gong'zi
社区劳动保障,she'qu'lao'dong'bao'zhang
升高费率,sheng'gao'fei'lv
省劳动保障厅,sheng'lao'dong'bao'zhang'ting
生育保险,sheng'yu'bao'xian
生育保险费,sheng'yu'bao'xian'fei
生育保险统筹基金,sheng'yu'bao'xian'tong'chou'ji'jin
生育保险制度,sheng'yu'bao'xian'zhi'du
实际缴费工资平均指数,shi'ji'jiao'fei'gong'zi'ping'jun'zhi'shu
实际缴费年限,shi'ji'jiao'fei'nian'xian
市劳动保障局,shi'lao'dong'bao'zhang'ju
视同缴费,shi'tong'jiao'fei
视同缴费工龄,shi'tong'jiao'fei'gong'ling
视同缴费年限,shi'tong'jiao'fei'nian'xian
失业保险,shi'ye'bao'xian
失业保险费,shi'ye'bao'xian'fei
失业保险统筹基金,shi'ye'bao'xian'tong'chou'ji'jin
失业保险制度,shi'ye'bao'xian'zhi'du
事业单位退休人员,shi'ye'dan'wei'tui'xiu'ren'yuan
事业单位退休职工,shi'ye'dan'wei'tui'xiu'zhi'gong
失业专项资金,shi'ye'zhuan'xiang'zi'jin
事业组织,shi'ye'zu'zhi
数据整理,shu'ju'zheng'li
水力系统,shui'li'xi'tong
私营企业投保,si'ying'qi'ye'tou'bao
私营投保,si'ying'tou'bao
特困企业,te'kun'qi'ye
特殊工种,te'shu'gong'zhong
提前退休,ti'qian'tui'xiu
提前退休人员,ti'qian'tui'xiu'ren'yuan
提前退休职工,ti'qian'tui'xiu'zhi'gong
调济金,tiao'ji'jin
调资,tiao'zi
统筹基金,tong'chou'ji'jin
统筹内,tong'chou'nei
统筹外,tong'chou'wai
退休费,tui'xiu'fei
退休金,tui'xiu'jin
退休年龄,tui'xiu'nian'ling
退休人员,tui'xiu'ren'yuan
退休人员死亡,tui'xiu'ren'yuan'si'wang
退休申报,tui'xiu'shen'bao
退休审批,tui'xiu'shen'pi
退休证年检,tui'xiu'zheng'nian'jian
退休职工年检,tui'xiu'zhi'gong'nian'jian
退职,tui'zhi
退职人员,tui'zhi'ren'yuan
托管中心,tuo'guan'zhong'xin
拖欠保险费,tuo'qian'bao'xian'fei
拖欠工伤保险费,tuo'qian'gong'shang'bao'xian'fei
拖欠生育保险费,tuo'qian'sheng'yu'bao'xian'fei
拖欠失业保险费,tuo'qian'shi'ye'bao'xian'fei
拖欠养老保险费,tuo'qian'yang'lao'bao'xian'fei
拖欠养老金,tuo'qian'yang'lao'jin
拖欠医疗保险费,tuo'qian'yi'liao'bao'xian'fei
外商企业投保,wai'shang'qi'ye'tou'bao
外资企业投保,wai'zi'qi'ye'tou'bao
完成情况,wan'cheng'qing'kuang
五保合一,wu'bao'he'yi
下岗服务中心,xia'gang'fu'wu'zhong'xin
下岗失业人员,xia'gang'shi'ye'ren'yuan
下岗中心,xia'gang'zhong'xin
相关社保业务,xiang'guan'she'bao'ye'wu
协保,xie'bao
续保,xu'bao
延五补差,yan'wu'bu'cha
养老保险,yang'lao'bao'xian
养老保险费,yang'lao'bao'xian'fei
养老保险统筹基金,yang'lao'bao'xian'tong'chou'ji'jin
养老保险制度,yang'lao'bao'xian'zhi'du
养老金,yang'lao'jin
养老金月标准,yang'lao'jin'yue'biao'zhun
养老金专项补助,yang'lao'jin'zhuan'xiang'bu'zhu
一次性支付,yi'ci'xing'zhi'fu
医疗保险,yi'liao'bao'xian
医疗保险费,yi'liao'bao'xian'fei
医疗保险统筹基金,yi'liao'bao'xian'tong'chou'ji'jin
医疗保险制度,yi'liao'bao'xian'zhi'du
因病退休,yin'bing'tui'xiu
银行代发,yin'hang'dai'fa
银行代发工资,yin'hang'dai'fa'gong'zi
银行代发退休费,yin'hang'dai'fa'tui'xiu'fei
银行发放,yin'hang'fa'fang
预期寿命,yu'qi'shou'ming
月标准,yue'biao'zhun
在岗职工月平均工资,zai'gang'zhi'gong'yue'ping'jun'gong'zi
在职死亡,zai'zhi'si'wang
在职职工,zai'zhi'zhi'gong
在职职工死亡,zai'zhi'zhi'gong'si'wang
增加费率,zeng'jia'fei'lv
增加退休费,zeng'jia'tui'xiu'fei
增加退休金,zeng'jia'tui'xiu'jin
增资,zeng'zi
帐户余额,zhang'hu'yu'e
政策性破产,zheng'ce'xing'po'chan
征缴,zheng'jiao
征缴任务,zheng'jiao'ren'wu
征缴社保欠费,zheng'jiao'she'bao'qian'fei
滞纳金,zhi'na'jin
滞纳金部分,zhi'na'jin'bu'fen
指数化,zhi'shu'hua
指数化月平均工资,zhi'shu'hua'yue'ping'jun'gong'zi
指数化月平均缴费工资,zhi'shu'hua'yue'ping'jun'jiao'fei'gong'zi
中断缴费,zhong'duan'jiao'fei
中断缴费工龄,zhong'duan'jiao'fei'gong'ling
中断缴费年限,zhong'duan'jiao'fei'nian'xian
中断缴费年月,zhong'duan'jiao'fei'nian'yue
中断缴费期间,zhong'duan'jiao'fei'qi'jian
中断缴费时段,zhong'duan'jiao'fei'shi'duan
终止保险关系,zhong'zhi'bao'xian'guan'xi
终止工伤保险关系,zhong'zhi'gong'shang'bao'xian'guan'xi
终止生育保险关系,zhong'zhi'sheng'yu'bao'xian'guan'xi
终止失业保险关系,zhong'zhi'shi'ye'bao'xian'guan'xi
终止投保,zhong'zhi'tou'bao
终止养老保险关系,zhong'zhi'yang'lao'bao'xian'guan'xi
终止医疗保险关系,zhong'zhi'yi'liao'bao'xian'guan'xi
逐年递减,zhu'nian'di'jian
逐年递增,zhu'nian'di'zeng
专项资金,zhuan'xiang'zi'jin
自收自支事业单位,zi'shou'zi'zhi'shi'ye'dan'wei
足额发放,zu'e'fa'fang
足额缴费,zu'e'jiao'fei
足额支付,zu'e'zhi'fu
