北京公共关系学会,bei'jing'gong'gong'guan'xi'xue'hui
公共关系机构微观模式,gong'gong'guan'xi'ji'gou'wei'guan'mo'shi
公共关系机构预算,gong'gong'guan'xi'ji'gou'yu'suan
公共关系机构职能模式,gong'gong'guan'xi'ji'gou'zhi'neng'mo'shi
公共关系机构装备,gong'gong'guan'xi'ji'gou'zhuang'bei
公共关系秘书,gong'gong'guan'xi'mi'shu
公共关系手段型,gong'gong'guan'xi'shou'duan'xing
公共关系委员会型,gong'gong'guan'xi'wei'yuan'hui'xing
公共关系协会,gong'gong'guan'xi'xie'hui
公共关系业务组,gong'gong'guan'xi'ye'wu'zu
公共关系与广告合营公司,gong'gong'guan'xi'yu'guang'gao'he'ying'gong'si
公共关系子机构,gong'gong'guan'xi'zi'ji'gou
公共关系咨询公司,gong'gong'guan'xi'zi'xun'gong'si
公共关系组织机能图,gong'gong'guan'xi'zu'zhi'ji'neng'tu
公共关系组织结构,gong'gong'guan'xi'zu'zhi'jie'gou
公共关系组织结构图,gong'gong'guan'xi'zu'zhi'jie'gou'tu
公共关系组织图,gong'gong'guan'xi'zu'zhi'tu
公共关系组织职位图,gong'gong'guan'xi'zu'zhi'zhi'wei'tu
公共事务部,gong'gong'shi'wu'bu
公众调查组,gong'zhong'diao'cha'zu
沟通型公共关系机构,gou'tong'xing'gong'gong'guan'xi'ji'gou
广东地区公共关系俱乐部,guang'dong'di'qu'gong'gong'guan'xi'ju'le'bu
广州白云山制药厂公共关系部,guang'zhou'bai'yun'shan'zhi'yao'chang'gong'gong'guan'xi'bu
广州中国大酒店公共关系部,guang'zhou'zhong'guo'da'jiu'dian'gong'gong'guan'xi'bu
规范组织,gui'fan'zu'zhi
国际公共关系协会,guo'ji'gong'gong'guan'xi'xie'hui
国际公共关系协会评论,guo'ji'gong'gong'guan'xi'xie'hui'ping'lun
国际公共关系协会通讯,guo'ji'gong'gong'guan'xi'xie'hui'tong'xun
国际公共关系协会中国分会,guo'ji'gong'gong'guan'xi'xie'hui'zhong'guo'fen'hui
国家型公共关系组织,guo'jia'xing'gong'gong'guan'xi'zu'zhi
合肥市公共关系协会,he'fei'shi'gong'gong'guan'xi'xie'hui
互利组织,hu'li'zu'zhi
混合型非正式组织,hun'he'xing'fei'zheng'shi'zu'zhi
机构型公共关系组织,ji'gou'xing'gong'gong'guan'xi'zu'zhi
积极型非正式组织,ji'ji'xing'fei'zheng'shi'zu'zhi
集权制,ji'quan'zhi
集团型公共关系组织,ji'tuan'xing'gong'gong'guan'xi'zu'zhi
机械组织,ji'xie'zu'zhi
记者招待会组织组,ji'zhe'zhao'dai'hui'zu'zhi'zu
交迭群体模型,jiao'die'qun'ti'mo'xing
接待组,jie'dai'zu
巨型组织,ju'xing'zu'zhi
矩阵制,ju'zhen'zhi
刊物编辑室,kan'wu'bian'ji'shi
科层制,ke'ceng'zhi
联盟型公共关系研究机构,lian'meng'xing'gong'gong'guan'xi'yan'jiu'ji'gou
领导体制,ling'dao'ti'zhi
美国电话电报公司,mei'guo'dian'hua'dian'bao'gong'si
美国电话电报公司公共关系部,mei'guo'dian'hua'dian'bao'gong'si'gong'gong'guan'xi'bu
美国公共关系协会,mei'guo'gong'gong'guan'xi'xie'hui
美国公共关系学生会,mei'guo'gong'gong'guan'xi'xue'sheng'hui
美国公共关系研究和教育基金,mei'guo'gong'gong'guan'xi'yan'jiu'he'jiao'yu'ji'jin
美国公共关系研究信息中心,mei'guo'gong'gong'guan'xi'yan'jiu'xin'xi'zhong'xin
美国硼砂公司内外联合公关队伍,mei'guo'peng'sha'gong'si'nei'wai'lian'he'gong'guan'dui'wu
媒介关系咨询服务公司,mei'jie'guan'xi'zi'xun'fu'wu'gong'si
媒介关系组,mei'jie'guan'xi'zu
母体组织,mu'ti'zu'zhi
欧洲公共关系联盟会,ou'zhou'gong'gong'guan'xi'lian'meng'hui
企业最高指挥部直属型公共关系部,qi'ye'zui'gao'zhi'hui'bu'zhi'shu'xing'gong'gong'guan'xi'bu
区域型公共关系组织,qu'yu'xing'gong'gong'guan'xi'zu'zhi
权变组织设计,quan'bian'zu'zhi'she'ji
全球新闻部,quan'qiu'xin'wen'bu
群众工作部,qun'zhong'gong'zuo'bu
群众组织,qun'zhong'zu'zhi
上海市公共关系协会,shang'hai'shi'gong'gong'guan'xi'xie'hui
上海市政府新闻处,shang'hai'shi'zheng'fu'xin'wen'chu
社区关系组,she'qu'guan'xi'zu
社团型公共关系研究机构,she'tuan'xing'gong'gong'guan'xi'yan'jiu'ji'gou
生产组织,sheng'chan'zu'zhi
实务型公共关系机构,shi'wu'xing'gong'gong'guan'xi'ji'gou
事业部制,shi'ye'bu'zhi
授权制,shou'quan'zhi
天津市公共关系协会,tian'jin'shi'gong'gong'guan'xi'xie'hui
文化组织,wen'hua'zu'zhi
系统工程,xi'tong'gong'cheng
消费者关系咨询服务公司,xiao'fei'zhe'guan'xi'zi'xun'fu'wu'gong'si
消费者关系组,xiao'fei'zhe'guan'xi'zu
消极型非正式组织,xiao'ji'xing'fei'zheng'shi'zu'zhi
校刊编辑部,xiao'kan'bian'ji'bu
小型组织,xiao'xing'zu'zhi
新闻公报组,xin'wen'gong'bao'zu
宣传型公共关系机构,xuan'chuan'xing'gong'gong'guan'xi'ji'gou
宣传资料组,xuan'chuan'zi'liao'zu
研究型公共关系机构,yan'jiu'xing'gong'gong'guan'xi'ji'gou
英国出口公共关系机构,ying'guo'chu'kou'gong'gong'guan'xi'ji'gou
英国对外贸易委员会,ying'guo'dui'wai'mao'yi'wei'yuan'hui
英国公共关系顾问协会,ying'guo'gong'gong'guan'xi'gu'wen'xie'hui
英国公共关系学会,ying'guo'gong'gong'guan'xi'xue'hui
英国广播公司对外部,ying'guo'guang'bo'gong'si'dui'wai'bu
英国信息中心办公室,ying'guo'xin'xi'zhong'xin'ban'gong'shi
有机组织,you'ji'zu'zhi
展览会工作组,zhan'lan'hui'gong'zuo'zu
政府关系组,zheng'fu'guan'xi'zu
政府经济协作办公室,zheng'fu'jing'ji'xie'zuo'ban'gong'shi
正式组织,zheng'shi'zu'zhi
整体组织效应,zheng'ti'zu'zhi'xiao'ying
职能参谋系统,zhi'neng'can'mou'xi'tong
职能分散型公共关系机构,zhi'neng'fen'san'xing'gong'gong'guan'xi'ji'gou
职能集中型公共关系机构,zhi'neng'ji'zhong'xing'gong'gong'guan'xi'ji'gou
职能型组织,zhi'neng'xing'zu'zhi
职能制,zhi'neng'zhi
直线制,zhi'xian'zhi
直线指挥系统,zhi'xian'zhi'hui'xi'tong
直线职能制,zhi'xian'zhi'neng'zhi
职员项目组织,zhi'yuan'xiang'mu'zu'zhi
中国公共关系公司,zhong'guo'gong'gong'guan'xi'gong'si
中国公共关系协会,zhong'guo'gong'gong'guan'xi'xie'hui
中国公共关系协会深圳办事处,zhong'guo'gong'gong'guan'xi'xie'hui'shen'zhen'ban'shi'chu
中国公共关系专业委员会,zhong'guo'gong'gong'guan'xi'zhuan'ye'wei'yuan'hui
中国环球公共关系公司,zhong'guo'huan'qiu'gong'gong'guan'xi'gong'si
中间型非正式组织,zhong'jian'xing'fei'zheng'shi'zu'zhi
中型组织,zhong'xing'zu'zhi
专项咨询服务公司,zhuan'xiang'zi'xun'fu'wu'gong'si
专业制作组,zhuan'ye'zhi'zuo'zu
准公共关系公司,zhun'gong'gong'guan'xi'gong'si
准公共关系机构,zhun'gong'gong'guan'xi'ji'gou
自由型组织结构,zi'you'xing'zu'zhi'jie'gou
综合型公共关系研究机构,zong'he'xing'gong'gong'guan'xi'yan'jiu'ji'gou
综合咨询服务公司,zong'he'zi'xun'fu'wu'gong'si
总经理间接负责型公共关系部,zong'jing'li'jian'jie'fu'ze'xing'gong'gong'guan'xi'bu
总经理直接负责型公共关系部,zong'jing'li'zhi'jie'fu'ze'xing'gong'gong'guan'xi'bu
组织,zu'zhi
组织标准化作用,zu'zhi'biao'zhun'hua'zuo'yong
组织构成四要素,zu'zhi'gou'cheng'si'yao'su
组织环境,zu'zhi'huan'jing
组织结构横向设计,zu'zhi'jie'gou'heng'xiang'she'ji
组织结构纵向设计,zu'zhi'jie'gou'zong'xiang'she'ji
组织模式,zu'zhi'mo'shi
组织目标,zu'zhi'mu'biao
组织内公共关系机构,zu'zhi'nei'gong'gong'guan'xi'ji'gou
组织内外联合公共关系队伍,zu'zhi'nei'wai'lian'he'gong'gong'guan'xi'dui'wu
组织软件,zu'zhi'ruan'jian
组织设计,zu'zhi'she'ji
组织外公共关系机构,zu'zhi'wai'gong'gong'guan'xi'ji'gou
组织效率,zu'zhi'xiao'lv
组织形态,zu'zhi'xing'tai
组织形象设计,zu'zhi'xing'xiang'she'ji
组织一体化,zu'zhi'yi'ti'hua
组织硬件,zu'zhi'ying'jian
组织助长作用,zu'zhi'zhu'zhang'zuo'yong
