哀而不伤,ai'er'bu'shang
不能死,bu'neng'si
不能以礼让国,bu'neng'yi'li'rang'guo
不能正其身,bu'neng'zheng'qi'shen
不能专对,bu'neng'zhuan'dui
不逆,bu'ni
不其然乎,bu'qi'ran'hu
不迁怒,bu'qian'nu
不亲指,bu'qin'zhi
不去也,bu'qu'ye
不然,bu'ran
不仁者,bu'ren'zhe
不仁者不可以久处约,bu'ren'zhe'bu'ke'yi'jiu'chu'yue
不仁者远矣,bu'ren'zhe'yuan'yi
不辱,bu'ru
不如丘之好学也,bu'ru'qiu'zhi'hao'xue'ye
不如乡人之善者好之,bu'ru'xiang'ren'zhi'shan'zhe'hao'zhi
不如诸夏之亡也,bu'ru'zhu'xia'zhi'wang'ye
不善不能改,bu'shan'bu'neng'gai
不舍昼夜,bu'she'zhou'ye
不食,bu'shi
不使不仁者加乎其身,bu'shi'bu'ren'zhe'jia'hu'qi'shen
不时不食,bu'shi'bu'shi
不使胜食气,bu'shi'sheng'shi'qi
不食之矣,bu'shi'zhi'yi
不说也,bu'shuo'ye
不俟驾行矣,bu'si'jia'xing'yi
不图为乐之至於斯也,bu'tu'wei'le'zhi'zhi'yu'si'ye
不违,bu'wei
不为酒困,bu'wei'jiu'kun
不问马,bu'wen'ma
不吾知也,bu'wu'zhi'ye
不信,bu'xin
不幸短命死矣,bu'xing'duan'ming'si'yi
不行焉,bu'xing'yan
不言,bu'yan
不亿,bu'yi
不以兵车,bu'yi'bing'che
不亦不可乎,bu'yi'bu'ke'hu
不易得也,bu'yi'de'ye
不以吊,bu'yi'diao
不义而富且贵,bu'yi'er'fu'qie'gui
不亦君子乎,bu'yi'jun'zi'hu
不亦乐乎,bu'yi'le'hu
不以礼节之,bu'yi'li'jie'zhi
不以其道得之,bu'yi'qi'dao'de'zhi
不亦善乎,bu'yi'shan'hu
不亦远乎,bu'yi'yuan'hu
不亦说乎,bu'yi'yue'hu
不亦重乎,bu'yi'zhong'hu
不忧不惧,bu'you'bu'ju
不有祝沱之佞,bu'you'zhu'tuo'zhi'ning
不逾矩,bu'yu'ju
不与其退也,bu'yu'qi'tui'ye
不怨天,bu'yuan'tian
不远游,bu'yuan'you
不在其位,bu'zai'qi'wei
不占而已矣,bu'zhan'er'yi'yi
不忮不求,bu'zhi'bu'qiu
不知老之将至云尔,bu'zhi'lao'zhi'jiang'zhi'yun'er
不知其,bu'zhi'qi
不知其可也,bu'zhi'qi'ke'ye
不知其仁也,bu'zhi'qi'ren'ye
不知所以裁,bu'zhi'suo'yi'cai
不知为不知,bu'zhi'wei'bu'zhi
不知也,bu'zhi'ye
不至於谷,bu'zhi'yu'gu
不中,bu'zhong
不足以为士矣,bu'zu'yi'wei'shi'yi
才不才,cai'bu'cai
菜羹,cai'geng
才难,cai'nan
参乎,can'hu
参也鲁,can'ye'lu
策其马,ce'qi'ma
曾,ceng
曾是以,ceng'shi'yi
曾谓泰山不如林放乎,ceng'wei'tai'shan'bu'ru'lin'fang'hu
察其所安,cha'qi'suo'an
察言而观色,cha'yan'er'guan'se
柴也愚,chai'ye'yu
谄也,chan'ye
尝从事於斯矣,chang'cong'shi'yu'si'yi
长而无述焉,chang'er'wu'shu'yan
长一身,chang'yi'shen
长一身有半,chang'yi'shen'you'ban
朝服而立於阼阶,chao'fu'er'li'yu'zuo'jie
朝与下大夫言,chao'yu'xia'dai'fu'yan
车中不内顾,che'zhong'bu'nei'gu
臣,chen
臣不臣,chen'bu'chen
陈成子弑简公,chen'cheng'zi'shi'jian'gong
陈恒弑其君,chen'heng'shi'qi'jun
晨门曰,chen'men'yue
臣事,chen'shi
臣事君,chen'shi'jun
陈司败问昭公知礼乎,chen'si'bai'wen'zhao'gong'zhi'li'hu
陈文子有马十乘,chen'wen'zi'you'ma'shi'cheng
诚不以富,cheng'bu'yi'fu
乘肥马,cheng'fei'ma
乘桴浮于海,cheng'fu'fu'yu'hai
称其德也,cheng'qi'de'ye
成人,cheng'ren
成事不说,cheng'shi'bu'shuo
逞颜色,cheng'yan'se
枨也欲,cheng'ye'yu
成於乐,cheng'yu'le
诚哉是言也,cheng'zai'shi'yan'ye
耻,chi
赤,chi
迟出,chi'chu
赤各言其志,chi'ge'yan'qi'zhi
耻躬之不逮也,chi'gong'zhi'bu'dai'ye
耻也,chi'ye
赤也,chi'ye
赤也感,chi'ye'gan
赤也何如,chi'ye'he'ru
赤也为之小,chi'ye'wei'zhi'xiao
赤之适齐也,chi'zhi'shi'qi'ye
崇德,chong'de
臭恶不食,chou'e'bu'shi
出,chu
出辞气,chu'ci'qi
出降一等,chu'jiang'yi'deng
出门如见大宾,chu'men'ru'jian'da'bin
出三日,chu'san'ri
出曰,chu'yue
出则弟,chu'ze'di
出则事公卿,chu'ze'shi'gong'qing
传不,chuan'bu
春服既成,chun'fu'ji'cheng
纯俭,chun'jian
纯如也,chun'ru'ye
赐,ci
辞,ci
赐也,ci'ye
赐也达,ci'ye'da
赐也何敢望回,ci'ye'he'gan'wang'hui
赐也何如,ci'ye'he'ru
赐也可使政也与,ci'ye'ke'shi'zheng'ye'yu
赐也闻一知二,ci'ye'wen'yi'zhi'er
从而不改,cong'er'bu'gai
从我於陈蔡者,cong'wo'yu'chen'cai'zhe
从我者,cong'wo'zhe
从吾所好,cong'wu'suo'hao
从者病,cong'zhe'bing
从者见之,cong'zhe'jian'zhi
从者曰,cong'zhe'yue
从之,cong'zhi
崔子杀齐君,cui'zi'sha'qi'jun
错诸直,cuo'zhu'zhi
大车无车儿,da'che'wu'che'er
达巷党人曰,da'xiang'dang'ren'yue
大哉孔子,da'zai'kong'zi
大哉问,da'zai'wen
大宰问於子贡曰,da'zai'wen'yu'zi'gong'yue
大哉尧之为军也,da'zai'yao'zhi'wei'jun'ye
大宰知我乎,da'zai'zhi'wo'hu
荡荡乎,dang'dang'hu
当暑,dang'shu
祷,dao
盗比於我老彭,dao'bi'yu'wo'lao'peng
道不行,dao'bu'xing
道千乘之国,dao'qian'sheng'zhi'guo
道之将废也与,dao'zhi'jiang'fei'ye'yu
道之将行也与,dao'zhi'jiang'xing'ye'yu
道之以德,dao'zhi'yi'de
道之以政,dao'zhi'yi'zheng
德不孤,de'bu'gu
得见君子者,de'jian'jun'zi'zhe
得见有恒者,de'jian'you'heng'zhe
德行,de'xing
德之不修,de'zhi'bu'xiu
弟也,di'ye
弟子,di'zi
弟子服其劳,di'zi'fu'qi'lao
弟子孰为好学,di'zi'shu'wei'hao'xue
点,dian
颠沛必於是,dian'pei'bi'yu'shi
定公问,ding'gong'wen
侗而不愿,dong'er'bu'yuan
东里子产润色,dong'li'zi'chan'run'se
动容貌,dong'rong'mao
东首加朝服拖绅,dong'shou'jia'chao'fu'tuo'shen
斗筲之人,dou'shao'zhi'ren
笃信好学,du'xin'hao'xue
短右袂,duan'you'mei
端章甫,duan'zhang'fu
对曰,dui'yue
夺伯氏骈邑三百,duo'bo'shi'pian'yi'san'bai
多见,duo'jian
多见阙殆,duo'jian'que'dai
多闻,duo'wen
多闻阙疑,duo'wen'que'yi
多怨,duo'yuan
恶,e
恶不仁者,e'bu'ren'zhe
恶衣服,e'yi'fu
恶者成名,e'zhe'cheng'ming
二,er
而,er
尔爱其羊,er'ai'qi'yang
而不耻者,er'bu'chi'zhe
而不可夺也,er'bu'ke'duo'ye
而不信,er'bu'xin
而不与焉,er'bu'yu'yan
而藏诸,er'cang'zhu
而耻恶衣恶食者,er'chi'e'yi'e'shi'zhe
而犯之,er'fan'zhi
而非邦也者,er'fei'bang'ye'zhe
而好犯上者,er'hao'fan'shang'zhe
而好作乱者,er'hao'zuo'luan'zhe
尔何如,er'he'ru
而後和之,er'hou'he'zhi
而货殖焉,er'huo'zhi'yan
而今而後,er'jin'er'hou
而尽力乎沟恤,er'jin'li'hu'gou'xu
而莫之知也,er'mo'zhi'zhi'ye
而亲仁,er'qin'ren
而求也为之聚敛而附益之,er'qiu'ye'wei'zhi'ju'lian'er'fu'yi'zhi
二三子何患於丧乎,er'san'zi'he'huan'yu'sang'hu
二三子以我为隐乎,er'san'zi'yi'wo'wei'yin'hu
而识之,er'shi'zhi
而谁为,er'shui'wei
尔所谓达者,er'suo'wei'da'zhe
而天下治,er'tian'xia'zhi
而问,er'wen
而问焉,er'wen'yan
而已矣,er'yi'yi
而由仁乎哉,er'you'ren'hu'zai
而有宋朝之美,er'you'song'chao'zhi'mei
而有天下,er'you'tian'xia
尔于上下神祁,er'yu'shang'xia'shen'qi
而致美乎黻冕,er'zhi'mei'hu'fu'mian
而致孝乎鬼神,er'zhi'xiao'hu'gui'shen
伐,fa
发愤忘,fa'fen'wang
法语之言,fa'yu'zhi'yan
樊,fan
凡爱众,fan'ai'zhong
樊迟请学稼,fan'chi'qing'xue'jia
樊迟退,fan'chi'tui
樊迟未达,fan'chi'wei'da
樊迟问,fan'chi'wen
樊迟问仁,fan'chi'wen'ren
樊迟问知,fan'chi'wen'zhi
樊迟御,fan'chi'yu
樊迟曰,fan'chi'yue
犯而不校,fan'er'bu'jiao
饭疏食,fan'shu'shi
饭疏食饮水,fan'shu'shi'yin'shui
樊须也,fan'xu'ye
方六七十,fang'liu'qi'shi
放於利而行,fang'yu'li'er'xing
非,fei
非不说子之道,fei'bu'shuo'zi'zhi'dao
非崇德与,fei'chong'de'yu
非达也,fei'da'ye
非尔所及也,fei'er'suo'ji'ye
非夫人之为恸,fei'fu'ren'zhi'wei'tong
非敢,fei'gan
非敢后也,fei'gan'hou'ye
非公事,fei'gong'shi
非惑与,fei'huo'yu
非祭肉,fei'ji'rou
非礼勿动,fei'li'wu'dong
非礼勿视,fei'li'wu'shi
非礼勿听,fei'li'wu'ting
非其鬼而祭之,fei'qi'gui'er'ji'zhi
非其罪也,fei'qi'zui'ye
非求益者也,fei'qiu'yi'zhe'ye
斐然成章,fei'ran'cheng'zhang
非帷裳,fei'wei'shang
非我也,fei'wo'ye
非吾徒也,fei'wu'tu'ye
菲饮食,fei'yin'shi
非诸侯而何,fei'zhu'hou'er'he
非助我者也,fei'zhu'wo'zhe'ye
粪土之墙不可木亏也,fen'tu'zhi'qiang'bu'ke'mu'kui'ye
风乎舞雩,feng'hu'wu'yu
风烈必变,feng'lie'bi'bian
凤鸟不至,feng'niao'bu'zhi
父,fu
父不父,fu'bu'fu
夫达也者,fu'da'ye'zhe
富而好礼者也,fu'er'hao'li'zhe'ye
富而可求也,fu'er'ke'qiu'ye
夫二三子也,fu'er'san'zi'ye
富而无骄,fu'er'wu'jiao
富贵在天,fu'gui'zai'tian
夫何忧何惧,fu'he'you'he'ju
父没,fu'mei
父母唯其疾之忧,fu'mu'wei'qi'ji'zhi'you
父母在,fu'mu'zai
父母之年,fu'mu'zhi'nian
复其位,fu'qi'wei
富且贵焉,fu'qie'gui'yan
夫人,fu'ren
夫仁者,fu'ren'zhe
夫如是,fu'ru'shi
弗如也,fu'ru'ye
夫三子者之言何如,fu'san'zi'zhe'zhi'yan'he'ru
父为子隐,fu'wei'zi'yin
夫闻也者,fu'wen'ye'zhe
夫我则不暇,fu'wo'ze'bu'xia
富有,fu'you
富与贵,fu'yu'gui
父在,fu'zai
富哉言,fu'zai'yan
富之,fu'zhi
夫子不答,fu'zi'bu'da
夫子不为也,fu'zi'bu'wei'ye
夫子不言不笑不取乎,fu'zi'bu'yan'bu'xiao'bu'qu'hu
夫子固有惑志於公伯寮,fu'zi'gu'you'huo'zhi'yu'gong'bo'liao
夫子何哂由也,fu'zi'he'shen'you'ye
夫子何为,fu'zi'he'wei
夫子哂之,fu'zi'shen'zhi
夫子圣者与,fu'zi'sheng'zhe'yu
夫子时然後言,fu'zi'shi'ran'hou'yan
夫子矢之曰,fu'zi'shi'zhi'yue
夫子为卫君乎,fu'zi'wei'wei'jun'hu
夫子温,fu'zi'wen
夫子循循然善诱人,fu'zi'xun'xun'ran'shan'you'ren
夫子欲寡其过而未能也,fu'zi'yu'gua'qi'guo'er'wei'neng'ye
夫子之道,fu'zi'zhi'dao
夫子之求之也,fu'zi'zhi'qiu'zhi'ye
夫子之说君子,fu'zi'zhi'shuo'jun'zi
夫子之文章,fu'zi'zhi'wen'zhang
夫子之言性与天道,fu'zi'zhi'yan'xing'yu'tian'dao
夫子至於是邦也,fu'zi'zhi'yu'shi'bang'ye
夫子自道也,fu'zi'zi'dao'ye
改其乐,gai'qi'le
盖阙,gai'que
盖有不知而作之者,gai'you'bu'zhi'er'zuo'zhi'zhe
改之为贵,gai'zhi'wei'gui
敢问,gan'wen
敢问崇德,gan'wen'chong'de
敢问其次,gan'wen'qi'ci
敢问死,gan'wen'si
刚,gang
告夫三,gao'fu'san
告夫三子,gao'fu'san'zi
羔裘玄冠,gao'qiu'xuan'guan
告於哀公曰,gao'yu'ai'gong'yue
告诸往而知来者,gao'zhu'wang'er'zhi'lai'zhe
高宗谅阴三年不言,gao'zong'liang'yin'san'nian'bu'yan
戈不射宿,ge'bu'she'su
割不正不食,ge'bu'zheng'bu'shi
各得其所,ge'de'qi'suo
各於其党,ge'yu'qi'dang
公,gong
恭,gong
公绰之不欲,gong'chuo'zhi'bu'yu
恭而安,gong'er'an
恭而无礼则劳,gong'er'wu'li'ze'lao
攻乎异端,gong'hu'yi'duan
恭近於礼,gong'jin'yu'li
公明,gong'ming
攻其恶,gong'qi'e
公叔文子,gong'shu'wen'zi
公西华侍坐,gong'xi'hua'shi'zuo
公西华曰,gong'xi'hua'yue
躬行君子,gong'xing'jun'zi
公冶长第五,gong'ye'chang'di'wu
公曰,gong'yue
贡曰,gong'yue
攻之可也,gong'zhi'ke'ye
苟合矣,gou'he'yi
苟美矣,gou'mei'yi
苟完矣,gou'wan'yi
苟有过,gou'you'guo
苟有用我者,gou'you'yong'wo'zhe
苟正其身矣,gou'zheng'qi'shen'yi
苟志於仁矣,gou'zhi'yu'ren'yi
苟子之不欲,gou'zi'zhi'bu'yu
鼓,gu
觚不觚,gu'bu'gu
故多能鄙事,gu'duo'neng'bi'shi
故进之,gu'jin'zhi
沽酒,gu'jiu
故旧不遗,gu'jiu'bu'yi
故君子名之必可言也,gu'jun'zi'ming'zhi'bi'ke'yan'ye
固天纵之将,gu'tian'zong'zhi'jiang
故退之,gu'tui'zhi
故艺,gu'yi
觚哉,gu'zai
古者言之不出,gu'zhe'yan'zhi'bu'chu
古之道也,gu'zhi'dao'ye
古之人皆然,gu'zhi'ren'jie'ran
古之贤人也,gu'zhi'xian'ren'ye
古之学者为己,gu'zhi'xue'zhe'wei'ji
沽之哉,gu'zhi'zai
瓜祭,gua'ji
观过,guan'guo
关雎,guan'ju
观其所由,guan'qi'suo'you
观其行,guan'qi'xing
观其志,guan'qi'zhi
官事不摄,guan'shi'bu'she
管氏而知礼,guan'shi'er'zhi'li
管氏亦树塞门,guan'shi'yi'shu'sai'men
管氏亦有反坫,guan'shi'yi'you'fan'dian
管氏有三归,guan'shi'you'san'gui
关睢之乱,guan'sui'zhi'luan
冠者五六人,guan'zhe'wu'liu'ren
管仲,guan'zhong
管仲不死,guan'zhong'bu'si
管仲非仁者与,guan'zhong'fei'ren'zhe'yu
管仲俭乎,guan'zhong'jian'hu
管仲相桓公,guan'zhong'xiang'huan'gong
管仲之力也,guan'zhong'zhi'li'ye
管仲之器小哉,guan'zhong'zhi'qi'xiao'zai
归,gui
归与,gui'yu
国,guo
过,guo
过位,guo'wei
过犹不及,guo'you'bu'ji
果哉,guo'zai
过之必趋,guo'zhi'bi'qu
好古,hao'gu
好谋而成者,hao'mou'er'cheng'zhe
好仁者,hao'ren'zhe
好勇疾贫,hao'yong'ji'pin
好之者不如乐之者,hao'zhi'zhe'bu'ru'le'zhi'zhe
何,he
何必读书,he'bi'du'shu
何必改作,he'bi'gai'zuo
何必高宗,he'bi'gao'zong
何必然,he'bi'ran
河不出图,he'bu'chu'tu
盍彻乎,he'che'hu
盍各言尔志,he'ge'yan'er'zhi
何陋之有,he'lou'zhi'you
何莫由斯道也,he'mo'you'si'dao'ye
何其多能也,he'qi'duo'neng'ye
何器也,he'qi'ye
何如,he'ru
何如其知也,he'ru'qi'zhi'ye
何如斯可谓之,he'ru'si'ke'wei'zhi
何如斯可谓之达矣,he'ru'si'ke'wei'zhi'da'yi
何如斯可谓之士矣,he'ru'si'ke'wei'zhi'shi'yi
何伤乎,he'shang'hu
何事,he'shi
和为贵,he'wei'gui
何为其莫知子也,he'wei'qi'mo'zhi'zi'ye
何为也,he'wei'ye
何谓也,he'wei'ye
何为则民服,he'wei'ze'min'fu
何晏也,he'yan'ye
何以报德,he'yi'bao'de
何以别乎,he'yi'bie'hu
何以文为,he'yi'wen'wei
何用不臧,he'yong'bu'zang
何有,he'you
何有於我,he'you'yu'wo
何有於我哉,he'you'yu'wo'zai
何哉,he'zai
何诛,he'zhu
何足算也,he'zu'suan'ye
何足以臧,he'zu'yi'zang
恒颓其如予何,heng'tui'qi'ru'yu'he
红紫不以为亵服,hong'zi'bu'yi'wei'xie'fu
後,hou
後生可畏,hou'sheng'ke'wei
後死者不得与於斯文也,hou'si'zhe'bu'de'yu'yu'si'wen'ye
厚以居去,hou'yi'ju'qu
乎,hu
瑚琏也,hu'lian'ye
互乡难与言,hu'xiang'nan'yu'yan
忽焉在後,hu'yan'zai'hou
患不知人也,huan'bu'zhi'ren'ye
桓公九合诸侯,huan'gong'jiu'he'zhu'hou
桓公杀公子纠,huan'gong'sha'gong'zi'jiu
焕乎,huan'hu
患其不能也,huan'qi'bu'neng'ye
患所以立,huan'suo'yi'li
黄衣狐裘,huang'yi'hu'qiu
绘,hui
回何敢死,hui'he'gan'si
诲女知之乎,hui'nv'zhi'zhi'hu
诲人不倦,hui'ren'bu'juan
惠人也,hui'ren'ye
回虽不敏,hui'sui'bu'min
回也,hui'ye
回也不,hui'ye'bu
回也不愚,hui'ye'bu'yu
回也奇庶乎,hui'ye'qi'shu'hu
回也闻一以知,hui'ye'wen'yi'yi'zhi
获,huo
或承之羞,huo'cheng'zhi'xiu
或对曰,huo'dui'yue
或乞醯焉,huo'qi'xi'yan
或谓孔子曰,huo'wei'kong'zi'yue
或问,huo'wen
或问衣帝之说,huo'wen'yi'di'zhi'shuo
或问之曰,huo'wen'zhi'yue
或曰,huo'yue
己,ji
疾,ji
稷,ji
骥不称其力,ji'bu'cheng'qi'li
既而曰,ji'er'yue
既富矣,ji'fu'yi
疾固也,ji'gu'ye
既竭吾才,ji'jie'wu'cai
季康子问,ji'kang'zi'wen
及其使人也,ji'qi'shi'ren'ye
击磬乎,ji'qing'hu
祭肉,ji'rou
祭如在,ji'ru'zai
祭神如神在,ji'shen'ru'shen'zai
季氏旅於泰山,ji'shi'lv'yu'tai'shan
季氏使闵子骞为费宰,ji'shi'shi'min'zi'qian'wei'fei'zai
既庶矣,ji'shu'yi
己所不欲,ji'suo'bu'yu
既往不咎,ji'wang'bu'jiu
季文子三思而后行,ji'wen'zi'san'si'er'hou'xing
己以安百姓,ji'yi'an'bai'xing
己以安人,ji'yi'an'ren
己以敬,ji'yi'jing
己欲达而达人,ji'yu'da'er'da'ren
祭於公,ji'yu'gong
己欲立而立人,ji'yu'li'er'li'ren
既欲其生又欲其死,ji'yu'qi'sheng'you'yu'qi'si
吉月,ji'yue
祭之以礼,ji'zhi'yi'li
疾之已甚,ji'zhi'yi'shen
棘子成曰,ji'zi'cheng'yue
贾对曰,jia'dui'yue
加我数年,jia'wo'shu'nian
加之以师旅,jia'zhi'yi'shi'lv
俭,jian
见不贤而内自省也,jian'bu'xian'er'nei'zi'xing'ye
见利思义,jian'li'si'yi
见冕者与瞽者,jian'mian'zhe'yu'gu'zhe
见其,jian'qi
见齐衰者,jian'qi'shuai'zhe
见危授命,jian'wei'shou'ming
见贤思齐焉,jian'xian'si'qi'yan
见小利,jian'xiao'li
见义不为,jian'yi'bu'wei
俭则固,jian'ze'gu
谏志不从,jian'zhi'bu'cong
见之虽少必作,jian'zhi'sui'shao'bi'zuo
见子夏曰,jian'zi'xia'yue
将入门,jiang'ru'men
缴,jiao
教之,jiao'zhi
皆不及门也,jie'bu'ji'men'ye
皆能有养,jie'neng'you'yang
皆兄弟也,jie'xiong'di'ye
皆雅言也,jie'ya'yan'ye
竭焉,jie'yan
节用而爱人,jie'yong'er'ai'ren
进,jin
今拜乎上,jin'bai'hu'shang
谨而信,jin'er'xin
尽美矣,jin'mei'yi
今女画,jin'nv'hua
近仁,jin'ren
浸润之谮,jin'run'zhi'zen
晋文公谲而不正,jin'wen'gong'jue'er'bu'zheng
今吾於人也,jin'wu'yu'ren'ye
今也,jin'ye
今也则亡,jin'ye'ze'wang
今由与求也,jin'you'yu'qiu'ye
尽有之,jin'you'zhi
近者说,jin'zhe'shuo
今之成人者,jin'zhi'cheng'ren'zhe
今之从政者何如,jin'zhi'cong'zheng'zhe'he'ru
今之孝者,jin'zhi'xiao'zhe
今之学者为人,jin'zhi'xue'zhe'wei'ren
敬鬼神而远之,jing'gui'shen'er'yuan'zhi
敬事而信,jing'shi'er'xin
井有仁焉,jing'you'ren'yan
久而敬之,jiu'er'jing'zhi
厩焚,jiu'fen
旧令尹,jiu'ling'yin
九人而已,jiu'ren'er'yi
久要不忘平生之言,jiu'yao'bu'wang'ping'sheng'zhi'yan
久矣吾不复梦见周公,jiu'yi'wu'bu'fu'meng'jian'zhou'gong
久矣哉,jiu'yi'zai
就有道而正焉,jiu'you'dao'er'zheng'yan
俱不得其死然,ju'bu'de'qi'si'ran
居不容,ju'bu'rong
居处恭,ju'chu'gong
举尔所不知,ju'er'suo'bu'zhi
鞠躬如也,ju'gong'ru'ye
居简而行简,ju'jian'er'xing'jian
居敬而行简,ju'jing'er'xing'jian
举善而教不能,ju'shan'er'jiao'bu'neng
居上不宽,ju'shang'bu'kuan
举枉,ju'wang
居无求安,ju'wu'qiu'an
举贤才,ju'xian'cai
举伊尹,ju'yi'yin
举一隅不以三隅反,ju'yi'yu'bu'yi'san'yu'fan
据於德,ju'yu'de
居则曰,ju'ze'yue
居之不,ju'zhi'bu
举直错诸枉,ju'zhi'cuo'zhu'wang
居之无倦,ju'zhi'wu'juan
狷者有所不为也,juan'zhe'you'suo'bu'wei'ye
君,jun
君赐生,jun'ci'sheng
君赐食,jun'ci'shi
君赐腥,jun'ci'xing
君而知礼,jun'er'zhi'li
君薨,jun'hong
君祭,jun'ji
军旅之事,jun'lv'zhi'shi
君命,jun'ming
君命召,jun'ming'zhao
君取於吴,jun'qu'yu'wu
君使臣,jun'shi'chen
君使臣以礼,jun'shi'chen'yi'li
君视之,jun'shi'zhi
君孰,jun'shu
君孰不足,jun'shu'bu'zu
君以忠,jun'yi'zhong
君曰,jun'yue
君在,jun'zai
君召使摈,jun'zhao'shi'bin
君子,jun'zi
君子博学於文,jun'zi'bo'xue'yu'wen
君子不器,jun'zi'bu'qi
君子不以绀饰,jun'zi'bu'yi'gan'shi
君子不忧不惧,jun'zi'bu'you'bu'ju
君子不重,jun'zi'bu'zhong
君子成人之美,jun'zi'cheng'ren'zhi'mei
君子耻其言而过其行,jun'zi'chi'qi'yan'er'guo'qi'xing
