奥斯特,ao'si'te
磁结构,ci'jie'gou
磁矩,ci'ju
磁卡效应,ci'ka'xiao'ying
磁老化,ci'lao'hua
磁路,ci'lu
磁路的有效尺寸,ci'lu'de'you'xiao'chi'cun
磁能积,ci'neng'ji
磁能积曲线,ci'neng'ji'qu'xian
磁粘滞性,ci'nian'zhi'xing
磁偶极子,ci'ou'ji'zi
磁屏蔽,ci'ping'bi
磁屏蔽因数,ci'ping'bi'yin'shu
磁谱,ci'pu
磁强计,ci'qiang'ji
磁损耗电阻,ci'sun'hao'dian'zu
磁通,ci'tong
磁通计,ci'tong'ji
磁通量子,ci'tong'liang'zi
磁通门磁强计,ci'tong'men'ci'qiang'ji
磁通密度,ci'tong'mi'du
磁通势,ci'tong'shi
磁头,ci'tou
磁头芯,ci'tou'xin
磁退火,ci'tui'huo
磁芯,ci'xin
磁心磁滞参数,ci'xin'ci'zhi'can'shu
磁芯磁滞常数,ci'xin'ci'zhi'chang'shu
磁芯电感参数,ci'xin'dian'gan'can'shu
磁应力各向异性,ci'ying'li'ge'xiang'yi'xing
磁滞,ci'zhi
磁致伸缩,ci'zhi'shen'suo
磁滞损耗,ci'zhi'sun'hao
磁轴,ci'zhou
磁阻,ci'zu
磁组构,ci'zu'gou
磁阻率,ci'zu'lv
磁阻系数,ci'zu'xi'shu
单轴磁各向异性,dan'zhou'ci'ge'xiang'yi'xing
地磁场,di'ci'chang
电磁体,dian'ci'ti
电感温度系数,dian'gan'wen'du'xi'shu
电感因数,dian'gan'yin'shu
叠片磁芯,die'pian'ci'xin
定向比,ding'xiang'bi
动态磁化曲线,dong'tai'ci'hua'qu'xian
短路带磁通,duan'lu'dai'ci'tong
反铁磁性,fan'tie'ci'xing
非磁性材料,fei'ci'xing'cai'liao
非晶态磁性材料,fei'jing'tai'ci'xing'cai'liao
幅照磁效应,fu'zhao'ci'xiao'ying
光泵磁强计,guang'beng'ci'qiang'ji
核磁共振,he'ci'gong'zhen
横向磁化,heng'xiang'ci'hua
横向磁致伸缩系数,heng'xiang'ci'zhi'shen'suo'xi'shu
回复磁导率,hui'fu'ci'dao'lv
回复线回线,hui'fu'xian'hui'xian
回复状态,hui'fu'zhuang'tai
回滞参数,hui'zhi'can'shu
霍尔效应,huo'er'xiao'ying
肌磁图,ji'ci'tu
机电耦合系数,ji'dian'ou'he'xi'shu
交换耦合,jiao'huan'ou'he
矫顽力,jiao'wan'li
静态磁化曲线,jing'tai'ci'hua'qu'xian
晶体磁各向异性,jing'ti'ci'ge'xiang'yi'xing
矩磁材料,ju'ci'cai'liao
居里点,ju'li'dian
矩形比,ju'xing'bi
绝对磁导率,jue'dui'ci'dao'lv
开关场分布,kai'guan'chang'fen'bu
开关时间,kai'guan'shi'jian
康贝尔线圈,kang'bei'er'xian'quan
抗磁,kang'ci
可逆磁导率,ke'ni'ci'dao'lv
雷利区,lei'li'qu
励磁,li'ci
漏磁通,lou'ci'tong
漏磁系数,lou'ci'xi'shu
螺线管,luo'xian'guan
脉冲磁导率,mai'chong'ci'dao'lv
迈斯纳效应,mai'si'na'xiao'ying
莫琦,mo'qi
奈耳温度,nai'er'wen'du
脑磁图,nao'ci'tu
偏磁,pian'ci
品质因数,pin'zhi'yin'shu
起始磁导率,qi'shi'ci'dao'lv
起始磁化率,qi'shi'ci'hua'lv
起始磁化曲线,qi'shi'ci'hua'qu'xian
乔丹图表,qiao'dan'tu'biao
软磁,ruan'ci
弱磁,ruo'ci
散反铁磁性,san'fan'tie'ci'xing
散铁磁性,san'tie'ci'xing
散亚铁磁性,san'ya'tie'ci'xing
上临界场强,shang'lin'jie'chang'qiang
神经磁图,shen'jing'ci'tu
剩磁,sheng'ci
剩磁比,sheng'ci'bi
剩余磁化强度,sheng'yu'ci'hua'qiang'du
剩余磁极化强度,sheng'yu'ci'ji'hua'qiang'du
剩余磁通,sheng'yu'ci'tong
剩余磁通密度,sheng'yu'ci'tong'mi'du
剩余损耗,sheng'yu'sun'hao
视在磁导率,shi'zai'ci'dao'lv
顺磁性,shun'ci'xing
损耗角,sun'hao'jiao
损耗因数,sun'hao'yin'shu
特斯拉计,te'si'la'ji
填充系数,tian'chong'xi'shu
铁磁共振,tie'ci'gong'zhen
铁磁共振线宽,tie'ci'gong'zhen'xian'kuan
铁磁性,tie'ci'xing
铁氧体,tie'yang'ti
凸度因子,tu'du'yin'zi
退磁曲线,tui'ci'qu'xian
退磁退磁场,tui'ci'tui'ci'chang
退磁因子,tui'ci'yin'zi
微分磁导率,wei'fen'ci'dao'lv
温度因子,wen'du'yin'zi
涡流损耗,wo'liu'sun'hao
无定向磁强计,wu'ding'xiang'ci'qiang'ji
下临界场强,xia'lin'jie'chang'qiang
衔铁,xian'tie
相对磁导率,xiang'dui'ci'dao'lv
效应,xiao'ying
心磁图,xin'ci'tu
形状磁各向异性,xing'zhuang'ci'ge'xiang'yi'xing
旋磁,xuan'ci
旋磁效应,xuan'ci'xiao'ying
旋磁谐振损耗,xuan'ci'xie'zhen'sun'hao
循环矫顽力,xun'huan'jiao'wan'li
循环剩磁,xun'huan'sheng'ci
压磁效应,ya'ci'xiao'ying
亚铁磁性,ya'tie'ci'xing
硬磁,ying'ci
永磁体,yong'ci'ti
有效磁导率,you'xiao'ci'dao'lv
有效磁导率的温度系数,you'xiao'ci'dao'lv'de'wen'du'xi'shu
有效品质因数,you'xiao'pin'zhi'yin'shu
有效振幅磁导率,you'xiao'zhen'fu'ci'dao'lv
有效质量,you'xiao'zhi'liang
约瑟夫森效应,yue'se'fu'sen'xiao'ying
增量磁导率,zeng'liang'ci'dao'lv
张量磁导率,zhang'liang'ci'dao'lv
振动样品磁强计,zhen'dong'yang'pin'ci'qiang'ji
振幅磁导率,zhen'fu'ci'dao'lv
质子旋磁比,zhi'zi'xuan'ci'bi
转动磁滞损耗,zhuan'dong'ci'zhi'sun'hao
自发磁化,zi'fa'ci'hua
纵向磁化,zong'xiang'ci'hua
纵向磁致伸缩系数,zong'xiang'ci'zhi'shen'suo'xi'shu
最大磁导率,zui'da'ci'dao'lv
最大磁通密度,zui'da'ci'tong'mi'du
