阿巴赖,a'ba'lai
阿史那思摩,a'shi'na'si'mo
阿史那苏尼失,a'shi'na'su'ni'shi
阿史那土门,a'shi'na'tu'men
阿史那俀子,a'shi'na'tui'zi
阿史那献,a'shi'na'xian
阿史那昕,a'shi'na'xin
阿史那元庆,a'shi'na'yuan'qing
阿史那忠,a'shi'na'zhong
阿施塔尔哈尼王朝,a'shi'ta'er'ha'ni'wang'chao
阿厮兰汗,a'si'lan'han
阿厮兰汗阿里,a'si'lan'han'a'li
阿厮兰汗穆罕默德,a'si'lan'han'mu'han'mo'de
阿斯兰汗木萨,a'si'lan'han'mu'sa
阿塔,a'ta
阿塔依,a'ta'yi
阿提拉,a'ti'la
阿瓦,a'wa
阿勿都董娥密竭笃,a'wu'dou'dong'e'mi'jie'du
阿吾勒,a'wu'le
阿悉结,a'xi'jie
阿寅勒,a'yin'le
阿玉奇汗,a'yu'qi'han
艾楚瓦克汗,ai'chu'wa'ke'han
艾得克,ai'de'ke
爱得来斯绸,ai'de'lai'si'chou
爱登里啰汨没蜜施合句主录毗伽可汗,ai'deng'li'luo'mi'mei'mi'shi'he'ju'zhu'lu'pi'ga'ke'han
爱登里啰汨没蜜施合毗伽可汗,ai'deng'li'luo'mi'mei'mi'shi'he'pi'ga'ke'han
爱登里啰汨没蜜施颉咄登蜜施合俱录毗伽可汗,ai'deng'li'luo'mi'mei'mi'shi'xie'duo'deng'mi'shi'he'ju'lu'pi'ga'ke'han
艾介克,ai'jie'ke
爱经,ai'jing
艾克拜尔,ai'ke'bai'er
艾拉汗,ai'la'han
艾林郡王,ai'lin'jun'wang
爱玛克,ai'ma'ke
艾买提,ai'mai'ti
艾曼占地,ai'man'zhan'di
艾沙,ai'sha
艾提卡尔,ai'ti'ka'er
艾先虎,ai'xian'hu
安巴玛法神,an'ba'ma'fa'shen
安巴萨林,an'ba'sa'lin
安藏,an'cang
安东诺夫,an'dong'nuo'fu
谙都剌,an'dou'la
安国,an'guo
安集延人,an'ji'yan'ren
安拉,an'la
安禄山,an'lu'shan
安明格尔,an'ming'ge'er
安尼瓦尔贾库林,an'ni'wa'er'jia'ku'lin
安宁史,an'ning'shi
安诺槃陀,an'nuo'pan'tuo
安塔秦舞春,an'ta'qin'wu'chun
安未弱,an'wei'ruo
安西都护府,an'xi'du'hu'fu
安玉贤,an'yu'xian
昂吉,ang'ji
奥当麻扎,ao'dang'ma'zha
奥父,ao'fu
奥父母劝嫁,ao'fu'mu'quan'jia
奥古尔恰克,ao'gu'er'qia'ke
袄教,ao'jiao
袄教的祭祀和祈祷,ao'jiao'de'ji'si'he'qi'dao
袄律,ao'lv
奥斯曼主义,ao'si'man'zhu'yi
奥兀孜考姆孜,ao'wu'zi'kao'mu'zi
巴拜噶斯,ba'bai'ga'si
巴而术阿而忒的斤,ba'er'shu'a'er'te'de'jin
巴合提亚尔的个树权,ba'he'ti'ya'er'de'ge'shu'quan
八户沟,ba'hu'gou
八户沟清真寺,ba'hu'gou'qing'zhen'si
八滑,ba'hua
巴吉格尔伯克,ba'ji'ge'er'bo'ke
巴克玛塔尔伯克,ba'ke'ma'ta'er'bo'ke
巴拉克汗,ba'la'ke'han
巴拉曼,ba'la'man
巴里坤哈萨克自治县,ba'li'kun'ha'sa'ke'zi'zhi'xian
跋利延,ba'li'yan
巴伦台黄庙,ba'lun'tai'huang'miao
巴纳厄真,ba'na'e'zhen
巴品古特,ba'pin'gu'te
巴奇赤,ba'qi'chi
巴启色特启勒图和硕特,ba'qi'se'te'qi'le'tu'he'shuo'te
巴奇斯,ba'qi'si
拔塞干,ba'sai'gan
巴什阿依历,ba'shen'a'yi'li
巴特满,ba'te'man
巴图尔,ba'tu'er
巴图尔珲台吉,ba'tu'er'hun'tai'ji
巴希拜舒拉克,ba'xi'bai'shu'la'ke
拔悉蜜,ba'xi'mi
拔悉蜜汗国,ba'xi'mi'han'guo
拔曳固,ba'ye'gu
巴音郭楞蒙古自治州,ba'yin'guo'leng'meng'gu'zi'zhi'zhou
八月十五家祭,ba'yue'shi'wu'jia'ji
巴杂尔伯克,ba'za'er'bo'ke
巴泽雷克墓葬,ba'ze'lei'ke'mu'zang
巴札尔,ba'zha'er
八正道,ba'zheng'dao
巴兹尔,ba'zi'er
白斑山羊,bai'ban'shan'yang
白骨头,bai'gu'tou
白俩,bai'liang
白龙驹,bai'long'ju
白马羌,bai'ma'qiang
白眉可汗,bai'mei'ke'han
百日,bai'ri
白山派,bai'shan'pai
白天鹅的故事与哈萨克动物崇拜,bai'tian'e'de'gu'shi'yu'ha'sa'ke'dong'wu'chong'bai
白匈奴,bai'xiong'nu
白帐汗国,bai'zhang'han'guo
班禅额尔德尼,ban'chan'e'er'de'ni
班超,ban'chao
班达玛法,ban'da'ma'fa
班吉拉,ban'ji'la
般头达多,ban'tou'da'duo
搬新娘,ban'xin'niang
班勇,ban'yong
拌猪碎,ban'zhu'sui
邦达鲁,bang'da'lu
帮工婿,bang'gong'xu
包尔沙克,bao'er'sha'ke
报喜节,bao'xi'jie
保义可汗,bao'yi'ke'han
保义可汗南征吐蕃与葛逻禄,bao'yi'ke'han'nan'zheng'tu'bo'yu'ge'luo'lu
胞族,bao'zu
北斗星祭,bei'dou'xing'ji
北吉尔吉斯人,bei'ji'er'ji'si'ren
贝利特勤,bei'li'te'qin
北凉流亡政权,bei'liang'liu'wang'zheng'quan
北虏,bei'lu
卑摩罗叉,bei'mo'luo'cha
北庭都护府,bei'ting'du'hu'fu
北庭回鹘王族寺院遗址,bei'ting'hui'hu'wang'zu'si'yuan'yi'zhi
北亭可汗,bei'ting'ke'han
北匈奴,bei'xiong'nu
被压迫民族,bei'ya'po'min'zu
奔走,ben'zou
比,bi
毕家场门宦,bi'jia'chang'men'huan
必兰纳识里,bi'lan'na'shi'li
毕勒哥,bi'le'ge
比栗,bi'li
比适,bi'shi
鞭揭头巾,bian'jie'tou'jin
别达申柯,bie'da'shen'ke
宾国的塞王,bin'guo'de'sai'wang
殡礼,bin'li
斌通买身契,bin'tong'mai'shen'qi
博贝密尔咱,bo'bei'mi'er'zan
伯笃鲁丁,bo'du'lu'ding
博尔塔拉蒙古自治州,bo'er'ta'la'meng'gu'zi'zhi'zhou
博格拉汗哈桑本苏来曼,bo'ge'la'han'ha'sang'ben'su'lai'man
卜古可汗的传说,bo'gu'ke'han'de'chuan'shuo
蕃客,bo'ke
伯克,bo'ke
伯克制,bo'ke'zhi
博拉提汗,bo'la'ti'han
博勒克,bo'le'ke
博罗纳哈勒,bo'luo'na'ha'le
博罗泥都,bo'luo'ni'dou
薄皮包子,bo'pi'bao'zi
帛尸梨蜜,bo'shi'li'mi
波斯拉施德史集与回纥,bo'si'la'shi'de'shi'ji'yu'hui'he
波调,bo'tiao
伯锡尔,bo'xi'er
伯孜克里克石窟,bo'zi'ke'li'ke'shi'ku
布达什汗,bu'da'shen'han
不答失里,bu'da'shi'li
布尔堪巴克西玛法,bu'er'kan'ba'ke'xi'ma'fa
布格拉汗,bu'ge'la'han
布库,bu'ku
哺礼,bu'li
布鲁海牙,bu'lu'hai'ya
布鲁特,bu'lu'te
部落,bu'luo
部落联盟,bu'luo'lian'meng
布素鲁克,bu'su'lu'ke
布彦蒙库,bu'yan'meng'ku
布也宁舞春,bu'ye'ning'wu'chun
部族,bu'zu
藏时辰书,cang'shi'chen'shu
藏碗筷,cang'wan'kuai
曹国,cao'guo
漕国,cao'guo
曹妙达,cao'miao'da
曹婆罗门,cao'po'luo'men
曹僧奴,cao'seng'nu
策伯克多尔济,ce'bo'ke'duo'er'ji
策妄阿拉布坦,ce'wang'a'la'bu'tan
策妄多尔济那木扎勒,ce'wang'duo'er'ji'na'mu'zha'le
岑参,cen'shen
察布查尔锡伯自治县,cha'bu'cha'er'xi'bo'zi'zhi'xian
察哈尔,cha'ha'er
察哈尔营,cha'ha'er'ying
察合台,cha'he'tai
察合台汗国,cha'he'tai'han'guo
察合台文,cha'he'tai'wen
察拉克,cha'la'ke
察乞儿,cha'qi'er
柴哲威,chai'zhe'wei
缠回,chan'hui
单于,chan'yu
长春真人西游记,chang'chun'zhen'ren'xi'you'ji
常惠,chang'hui
昌吉,chang'ji
昌吉本地寺,chang'ji'ben'di'si
昌吉回族自治州,chang'ji'hui'zu'zi'zhi'zhou
昌吉县回民小学,chang'ji'xian'hui'min'xiao'xue
长寿天亲可汗,chang'shou'tian'qin'ke'han
朝觐,chao'jin
朝向,chao'xiang
车臣默尔根哈屯,che'chen'mo'er'gen'ha'tun
车凌端多布,che'ling'duan'duo'bu
车师,che'shi
陈诚,chen'cheng
晨礼,chen'li
陈潭秋,chen'tan'qiu
陈汤,chen'tang
城郭诸国,cheng'guo'zhu'guo
成吉思汗,cheng'ji'si'han
成年节,cheng'nian'jie
程知节,cheng'zhi'jie
承宗,cheng'zong
赤谷城,chi'gu'cheng
勑懃,chi'qin
赤水羌,chi'shui'qiang
赤心宰相,chi'xin'zai'xiang
冲巴噶什,chong'ba'ga'shen
崇德可汗,chong'de'ke'han
丑奴,chou'nu
处罗可汗,chu'luo'ke'han
处蜜,chu'mi
处木昆,chu'mu'kun
处月,chu'yue
春游,chun'you
绰罗斯,chuo'luo'si
婼羌,chuo'qiang
婼羌国,chuo'qiang'guo
雌栗靡,ci'li'mi
赐旨,ci'zhi
从化乡,cong'hua'xiang
葱茈羌,cong'zi'qiang
哒,da
大般若经,da'bo're'jing
大策凌敦多布,da'ce'ling'dun'duo'bu
大乘,da'cheng
答刺罕,da'ci'han
鞑靼,da'da
打丁巴,da'ding'ba
达尔汗伯克,da'er'han'bo'ke
打甫,da'fu
大拱北门宦,da'gong'bei'men'huan
哒国,da'guo
大汉族主义,da'han'zu'zhu'yi
大化总归,da'hua'zong'gui
大回鹘龟兹安西州大都督府单于军克韩王,da'hui'hu'qiu'ci'an'xi'zhou'da'du'du'fu'chan'yu'jun'ke'han'wang
达即拏,da'ji'na
大将,da'jiang
达赖汗,da'lai'han
达赖喇嘛,da'lai'la'ma
达赖台什,da'lai'tai'shen
大力洋行,da'li'yang'hang
达列力汗苏古尔巴也夫,da'lie'li'han'su'gu'er'ba'ye'fu
大禄,da'lu
达玛法,da'ma'fa
大民族主义,da'min'zu'zhu'yi
达木蒙古,da'mu'meng'gu
达尼亚和卓,da'ni'ya'he'zhuo
大年三十祭,da'nian'san'shi'ji
达契,da'qi
打千礼,da'qian'li
大泉塔塔尔民族乡,da'quan'ta'ta'er'min'zu'xiang
达什达瓦,da'shen'da'wa
达释,da'shi
大食国,da'shi'guo
大石国,da'shi'guo
大食使者来华,da'shi'shi'zhe'lai'hua
大食助唐,da'shi'zhu'tang
答思蛮,da'si'man
大檀,da'tan
达头可汗,da'tou'ke'han
大土耳其主义,da'tu'er'qi'zhu'yi
达瓦齐,da'wa'qi
达瓦孜,da'wa'zi
达斡尔语,da'wo'er'yu
达斡尔族,da'wo'er'zu
达斡尔族的哈拉莫昆,da'wo'er'zu'de'ha'la'mo'kun
达斡尔族的婚姻,da'wo'er'zu'de'hun'yin
达斡尔族的禁忌,da'wo'er'zu'de'jin'ji
达斡尔族的居住,da'wo'er'zu'de'ju'zhu
达斡尔族的丧葬,da'wo'er'zu'de'sang'zang
达斡尔族的饮食,da'wo'er'zu'de'yin'shi
达斡尔族萨满教,da'wo'er'zu'sa'man'jiao
达延鄂齐尔汗,da'yan'e'qi'er'han
大叶护,da'ye'hu
大玉兹,da'yu'zi
大元肃州路也可达鲁花赤世袭之碑,da'yuan'su'zhou'lu'ye'ke'da'lu'hua'chi'shi'xi'zhi'bei
大月氏,da'yue'shi
大云寺,da'yun'si
大众熨,da'zhong'yun
蛋婚,dan'hun
丹珠尔,dan'zhu'er
得尔涅克协会,de'er'nie'ke'xie'hui
德格都,de'ge'dou
德和洋行,de'he'yang'hang
德墨齐,de'mo'qi
德木齐,de'mu'qi
德盛洋行,de'sheng'yang'hang
灯祭,deng'ji
登里可汗,deng'li'ke'han
登利可汗,deng'li'ke'han
登里啰没蜜施俱录毗伽可汗,deng'li'luo'mei'mi'shi'ju'lu'pi'ga'ke'han
登里啰没蜜施翳德蜜施毗伽可汗,deng'li'luo'mei'mi'shi'yi'de'mi'shi'pi'ga'ke'han
登里啰羽录没蜜施合汨咄录毗伽可汗,deng'li'luo'yu'lu'mei'mi'shi'he'mi'duo'lu'pi'ga'ke'han
登里伊罗蜜施可汗,deng'li'yi'luo'mi'shi'ke'han
登啰羽录没蜜施合句主录毗伽可汗,deng'luo'yu'lu'mei'mi'shi'he'ju'zhu'lu'pi'ga'ke'han
氐,di
地方民族主义,di'fang'min'zu'zhu'yi
狄历,di'li
狄银,di'yin
奠基祭祀,dian'ji'ji'si
踮脚,dian'jiao
点踏,dian'ta
叼羊,diao'yang
迭夫妈妈,die'fu'ma'ma
丁鹤年,ding'he'nian
丁零,ding'ling
东部喀喇汗王朝的灭亡,dong'bu'ka'la'han'wang'chao'de'mie'wang
冬不拉,dong'bu'la
东布鲁特,dong'bu'lu'te
东察合台汗国,dong'cha'he'tai'han'guo
东干人,dong'gan'ren
东突厥汗国,dong'tu'jue'han'guo
东突厥斯坦历史,dong'tu'jue'si'tan'li'shi
董琬,dong'wan
东正教,dong'zheng'jiao
东正教七圣事,dong'zheng'jiao'qi'sheng'shi
东正教十二节,dong'zheng'jiao'shi'er'jie
豆,dou
都播,dou'bo
都尔本卫拉特,dou'er'ben'wei'la'te
都尔戛伯克,dou'er'jia'bo'ke
都官伯克,dou'guan'bo'ke
都摩支,dou'mo'zhi
斗琪歌,dou'qi'ge
都塔尔,dou'ta'er
都信,dou'xin
都督,du'du
杜尔伯特,du'er'bo'te
杜尔伯特三车凌,du'er'bo'te'san'che'ling
独解支,du'jie'zhi
杜卡恩杜里,du'ka'en'du'li
都兰可汗,du'lan'ke'han
笃哇,du'wa
独一,du'yi
段会宗,duan'hui'zong
段禧,duan'xi
敦煌西北长城烽燧遗址的粟特文书信,dun'huang'xi'bei'chang'cheng'feng'sui'yi'zhi'de'su'te'wen'shu'xin
敦煌于阗文遗书与仲云,dun'huang'yu'tian'wen'yi'shu'yu'zhong'yun
敦罗卜旺布,dun'luo'bo'wang'bu
敦罗布喇什,dun'luo'bu'la'shen
敦罗布喇什补充法规,dun'luo'bu'la'shen'bu'chong'fa'gui
顿莫贺达干,dun'mo'he'da'gan
多博伯克,duo'bo'bo'ke
多布栋策楞车敏,duo'bu'dong'ce'leng'che'min
朵儿茶,duo'er'cha
朵豁刺惕,duo'huo'ci'ti
多览葛,duo'lan'ge
多浪玛卡姆,duo'lang'ma'ka'mu
咄陆可汗,duo'lu'ke'han
额贝都拉,e'bei'dou'la
额德格纳,e'de'ge'na
鄂对,e'dui
额尔古伦,e'er'gu'lun
厄合恩杜里,e'he'en'du'li
额济纳土尔扈特,e'ji'na'tu'er'hu'te
俄历,e'li
厄鲁特,e'lu'te
厄鲁特营,e'lu'te'ying
俄罗斯经纪人,e'luo'si'jing'ji'ren
俄罗斯经济协会,e'luo'si'jing'ji'xie'hui
俄罗斯俱乐部,e'luo'si'ju'le'bu
俄罗斯族,e'luo'si'zu
俄罗斯族的棺材,e'luo'si'zu'de'guan'cai
俄罗斯族的入殓仪式,e'luo'si'zu'de'ru'lian'yi'shi
俄罗斯族的色彩禁忌,e'luo'si'zu'de'se'cai'jin'ji
俄罗斯族的生活禁忌,e'luo'si'zu'de'sheng'huo'jin'ji
俄罗斯族的宗教信仰,e'luo'si'zu'de'zong'jiao'xin'yang
俄罗斯族公墓,e'luo'si'zu'gong'mu
俄罗斯族文化促进会,e'luo'si'zu'wen'hua'cu'jin'hui
俄罗斯族与新疆养蜂业,e'luo'si'zu'yu'xin'jiang'yang'feng'ye
额敏,e'min
额敏和卓,e'min'he'zhuo
遏捻可汗,e'nian'ke'han
鄂齐尔图车臣汗,e'qi'er'tu'che'chen'han
额色木图拉,e'se'mu'tu'la
额色尹,e'se'yin
额什木汗,e'shen'mu'han
额什木汗习惯法,e'shen'mu'han'xi'guan'fa
鄂斯,e'si
额斯墨特达尔罕诺颜,e'si'mo'te'da'er'han'nuo'yan
鄂托克,e'tuo'ke
恩屈,en'qu
尔德,er'de
尔歌益德,er'ge'yi'de
尔埋里,er'mai'li
尔琪歌,er'qi'ge
二台保卫战,er'tai'bao'wei'zhan
二台骑兵三团的北伐和东征,er'tai'qi'bing'san'tuan'de'bei'fa'he'dong'zheng
二宗,er'zong
法进,fa'jin
发拉哈额分,fa'la'ha'e'fen
法朗,fa'lang
法里黛阿利耶娃,fa'li'dai'a'li'ye'wa
泛突厥主义,fan'tu'jue'zhu'yi
泛伊斯兰主义,fan'yi'si'lan'zhu'yi
放焰口,fang'yan'kou
废除盟旗制度设立县治,fei'chu'meng'qi'zhi'du'she'li'xian'zhi
飞马比武,fei'ma'bi'wu
飞马射元宝,fei'ma'she'yuan'bao
飞马拾元宝,fei'ma'shi'yuan'bao
分享,fen'xiang
封常清,feng'chang'qing
奉诚可汗,feng'cheng'ke'han
冯嫽,feng'liao
佛成道节,fo'cheng'dao'jie
佛诞节,fo'dan'jie
佛教,fo'jiao
佛涅槃节,fo'nie'pan'jie
佛说天地八阳神咒经,fo'shuo'tian'di'ba'yang'shen'zhou'jing
佛图澄,fo'tu'cheng
佛图舌弥,fo'tu'she'mi
佛托妈妈,fo'tuo'ma'ma
佛陀耶舍,fo'tuo'ye'she
伏帝匐,fu'di'fu
伏帝难,fu'di'nan
拂多诞,fu'duo'dan
副伏罗部,fu'fu'luo'bu
富何了了,fu'he'liao'liao
抚回庄,fu'hui'zhuang
复活节,fu'huo'jie
苻坚,fu'jian
傅介子,fu'jie'zi
阜康县城东关回族小学,fu'kang'xian'cheng'dong'guan'hui'zu'xiao'xue
阜康县村设回族小学,fu'kang'xian'cun'she'hui'zu'xiao'xue
福乐智慧,fu'le'zhi'hui
福寿山,fu'shou'shan
伏图,fu'tu
服役婚,fu'yi'hun
伏允,fu'yun
噶当派,ga'dang'pai
噶尔布特,ga'er'bu'te
嘎尔出克游戏,ga'er'chu'ke'you'xi
噶尔丹,ga'er'dan
噶尔丹策凌,ga'er'dan'ce'ling
噶尔丹策凌地图,ga'er'dan'ce'ling'di'tu
噶尔丹第一二项补充敕令,ga'er'dan'di'yi'er'xiang'bu'chong'chi'ling
噶举派,ga'ju'pai
噶勒察,ga'le'cha
尕皮,ga'pi
噶特默特,ga'te'mo'te
噶匝纳齐伯克,ga'za'na'qi'bo'ke
盖斯拱北,gai'si'gong'bei
盖头,gai'tou
甘父,gan'fu
干杰喇嘛,gan'jie'la'ma
甘沙州回鹘可汗,gan'sha'zhou'hui'hu'ke'han
甘肃阿克塞哈萨克族自治县,gan'su'a'ke'sai'ha'sa'ke'zu'zi'zhi'xian
感天皇后,gan'tian'huang'hou
甘延寿,gan'yan'shou
甘英,gan'ying
擀毡舞,gan'zhan'wu
甘州回鹘,gan'zhou'hui'hu
甘州回鹘大王府,gan'zhou'hui'hu'da'wang'fu
甘州回鹘的来源,gan'zhou'hui'hu'de'lai'yuan
甘州回鹘国,gan'zhou'hui'hu'guo
甘州回鹘国的灭亡,gan'zhou'hui'hu'guo'de'mie'wang
甘州回鹘国与宋朝的官方贸易,gan'zhou'hui'hu'guo'yu'song'chao'de'guan'fang'mao'yi
甘州回鹘国与于阗的关系,gan'zhou'hui'hu'guo'yu'yu'tian'de'guan'xi
甘州回鹘与归义军曹氏,gan'zhou'hui'hu'yu'gui'yi'jun'cao'shi
甘州回鹘与萨曼尼王朝联姻,gan'zhou'hui'hu'yu'sa'man'ni'wang'chao'lian'yin
甘珠尔,gan'zhu'er
高昌馆课,gao'chang'guan'ke
高昌馆杂字,gao'chang'guan'za'zi
高昌国大王府,gao'chang'guo'da'wang'fu
高昌回鹘的西迁传说,gao'chang'hui'hu'de'xi'qian'chuan'shuo
高昌回鹘国,gao'chang'hui'hu'guo
高昌内藏奏得称价钱帐,gao'chang'nei'cang'zou'de'cheng'jia'qian'zhang
高昌麴氏王朝祭祀的丁谷天,gao'chang'qu'shi'wang'chao'ji'si'de'ding'gu'tian
高昌麴氏王朝祀部的萨薄,gao'chang'qu'shi'wang'chao'si'bu'de'sa'bao
高昌偰氏家传,gao'chang'xie'shi'jia'chuan
高昌永康十七年残文书,gao'chang'yong'kang'shi'qi'nian'can'wen'shu
高昌昭武九姓胡人曹莫门陀等名籍,gao'chang'zhao'wu'jiu'xing'hu'ren'cao'mo'men'tuo'deng'ming'ji
高昌主簿张绾等传供状,gao'chang'zhu'bu'zhang'wan'deng'chuan'gong'zhuang
高车,gao'che
高车六部,gao'che'liu'bu
高车十二姓,gao'che'shi'er'xing
告解礼,gao'jie'li
高居诲,gao'ju'hui
告旨,gao'zhi
格底林耶,ge'di'lin'ye
格底目,ge'di'mu
葛根,ge'gen
格贵,ge'gui
葛勒可汗,ge'le'ke'han
格勒游戏,ge'le'you'xi
割礼,ge'li
格鲁派,ge'lu'pai
葛逻禄,ge'luo'lu
格米里肯,ge'mi'li'ken
哥舒,ge'shu
格西,ge'xi
拱北,gong'bei
宫火因,gong'huo'yin
宫明活佛,gong'ming'huo'fo
弓月,gong'yue
古城东大寺,gu'cheng'dong'da'si
古代民族,gu'dai'min'zu
骨都侯,gu'dou'hou
骨咄录毗伽可汗,gu'duo'lu'pi'ga'ke'han
骨咄录毗伽阙可汗,gu'duo'lu'pi'ga'que'ke'han
古兰丹姆海比布里娜,gu'lan'dan'mu'hai'bi'bu'li'na
古兰经,gu'lan'jing
骨利干,gu'li'gan
骨力裴罗,gu'li'pei'luo
姑娘追,gu'niang'zhui
顾实汗,gu'shi'han
关于迦萨甘的神话,guan'yu'jia'sa'gan'de'shen'hua
贯云石,guan'yun'shi
广泉回民清真寺,guang'quan'hui'min'qing'zhen'si
归化军骑兵二团,gui'hua'jun'qi'bing'er'tuan
归化军骑兵三团,gui'hua'jun'qi'bing'san'tuan
归化军骑兵一团,gui'hua'jun'qi'bing'yi'tuan
归化军与乏马塘战役,gui'hua'jun'yu'fa'ma'tang'zhan'yi
归化军与四一二政变,gui'hua'jun'yu'si'yi'er'zheng'bian
归化军总指挥部,gui'hua'jun'zong'zhi'hui'bu
归化人与归化族,gui'hua'ren'yu'gui'hua'zu
贵霜王朝,gui'shuang'wang'chao
归真要道,gui'zhen'yao'dao
归真总义,gui'zhen'zong'yi
棍噶扎勒参,gun'ga'zha'le'can
国家民委第一次委员扩大会议,guo'jia'min'wei'di'yi'ci'wei'yuan'kuo'da'hui'yi
锅盔额分,guo'kui'e'fen
郭虔瓘,guo'qian'guan
郭孝恪,guo'xiao'ke
郭元振,guo'yuan'zhen
哈班拜,ha'ban'bai
哈比布拉,ha'bi'bu'la
哈德万,ha'de'wan
哈吉,ha'ji
哈克那札尔汗,ha'ke'na'zha'er'han
哈喇忽喇,ha'la'hu'la
哈剌灰,ha'la'hui
哈拉奇起义,ha'la'qi'qi'yi
哈拉萨满,ha'la'sa'man
哈拉萨满神,ha'la'sa'man'shen
哈喇亦哈直北鲁,ha'la'yi'ha'zhi'bei'lu
哈拉茔地,ha'la'ying'di
哈力别克,ha'li'bie'ke
哈里发,ha'li'fa
哈密阿孜那清真寺,ha'mi'a'zi'na'qing'zhen'si
哈密柳树泉焉不拉克墓地人种,ha'mi'liu'shu'quan'yan'bu'la'ke'mu'di'ren'zhong
哈密玛卡姆,ha'mi'ma'ka'mu
哈密陕西寺,ha'mi'shan'xi'si
哈密卫,ha'mi'wei
哈密五堡墓群的人种,ha'mi'wu'bao'mu'qun'de'ren'zhong
哈尼诺颜洪果尔,ha'ni'nuo'yan'hong'guo'er
哈萨克的族源,ha'sa'ke'de'zu'yuan
哈萨克汗国,ha'sa'ke'han'guo
哈萨克柯尔克孜族文化促进会,ha'sa'ke'ke'er'ke'zi'zu'wen'hua'cu'jin'hui
哈萨克文,ha'sa'ke'wen
哈萨克音乐,ha'sa'ke'yin'yue
哈萨克游牧税则,ha'sa'ke'you'mu'shui'ze
哈萨克语,ha'sa'ke'yu
哈萨克与哥萨克,ha'sa'ke'yu'ge'sa'ke
哈萨克族,ha'sa'ke'zu
