爱尚丽,ai'shang'li
黄朋湾街,huang'peng'wan'jie
皇天大道,huang'tian'da'dao
黄屯,huang'tun
黄屯镇,huang'tun'zhen
黄营,huang'ying
黄营工业园,huang'ying'gong'ye'yuan
黄营染料厂,huang'ying'ran'liao'chang
皇营小区,huang'ying'xiao'qu
汇景酒楼,hui'jing'jiu'lou
霍家街,huo'jia'jie
火炬路,huo'ju'lu
济安桥,ji'an'qiao
济安台,ji'an'tai
吉安小区,ji'an'xiao'qu
济东新村,ji'dong'xin'cun
济宁金乡县,ji'ning'jin'xiang'xian
济宁微山县,ji'ning'wei'shan'xian
济宁一中,ji'ning'yi'zhong
济宁职业技术学院,ji'ning'zhi'ye'ji'shu'xue'yuan
吉市口,ji'shi'kou
纪委宿舍,ji'wei'su'she
吉祥北街,ji'xiang'bei'jie
吉祥小区,ji'xiang'xiao'qu
技校宿舍,ji'xiao'su'she
济邹花园,ji'zou'hua'yuan
贾庄,jia'zhuang
健康路,jian'kang'lu
建设北路,jian'she'bei'lu
建设路,jian'she'lu
建设南路,jian'she'nan'lu
建设新村,jian'she'xin'cun
建筑三处,jian'zhu'san'chu
蒋林,jiang'lin
姜楼,jiang'lou
江南春,jiang'nan'chun
教育学院,jiao'yu'xue'yuan
解放路,jie'fang'lu
接庄,jie'zhuang
接庄镇,jie'zhuang'zhen
金宝迪,jin'bao'di
金城,jin'cheng
金盾医院,jin'dun'yi'yuan
金茂大厦,jin'mao'da'sha
津蒲,jin'pu
津浦北街,jin'pu'bei'jie
金桥康茂,jin'qiao'kang'mao
金鑫小区,jin'xin'xiao'qu
金宇路,jin'yu'lu
金宇小区,jin'yu'xiao'qu
金宇装饰城,jin'yu'zhuang'shi'cheng
警察学校,jing'cha'xue'xiao
景东园,jing'dong'yuan
经纬大厦,jing'wei'da'sha
九九花园,jiu'jiu'hua'yuan
九巨龙,jiu'ju'long
聚宾园,ju'bin'yuan
聚宾园饭店,ju'bin'yuan'fan'dian
军分区第一干休所,jun'fen'qu'di'yi'gan'xiu'suo
军分区家属院,jun'fen'qu'jia'shu'yuan
凯赛大桥,kai'sai'da'qiao
开泰花园,kai'tai'hua'yuan
康明市场,kang'ming'shi'chang
康桥华居,kang'qiao'hua'ju
康驿,kang'yi
科苑小区,ke'yuan'xiao'qu
快活林,kuai'huo'lin
来鹤小区,lai'he'xiao'qu
兰氏木业,lan'shi'mu'ye
老洋桥,lao'yang'qiao
老运河,lao'yun'he
李楼,li'lou
李楼新区,li'lou'xin'qu
里彦电厂,li'yan'dian'chang
里彦分局,li'yan'fen'ju
李营,li'ying
李营信用社,li'ying'xin'yong'she
李营镇,li'ying'zhen
两城一学,liang'cheng'yi'xue
菱花小区,ling'hua'xiao'qu
凌云小区,ling'yun'xiao'qu
刘家鱼池,liu'jia'yu'chi
六四农场,liu'si'nong'chang
柳行,liu'xing
柳行变厂,liu'xing'bian'chang
柳行医院,liu'xing'yi'yuan
刘庄,liu'zhuang
刘庄路,liu'zhuang'lu
刘庄小区,liu'zhuang'xiao'qu
龙行路,long'hang'lu
龙行小区,long'hang'xiao'qu
龙祥花园,long'xiang'hua'yuan
龙祥小区,long'xiang'xiao'qu
龙阳小区,long'yang'xiao'qu
鲁抗,lu'kang
鲁抗二分厂,lu'kang'er'fen'chang
鲁抗宿舍,lu'kang'su'she
鲁强小区,lu'qiang'xiao'qu
鲁桥,lu'qiao
鲁兴花园,lu'xing'hua'yuan
鲁兴新苑,lu'xing'xin'yuan
马庙镇,ma'miao'zhen
马坡,ma'po
马驿桥,ma'yi'qiao
美河宾馆,mei'he'bin'guan
煤矿冶金宿舍,mei'kuang'ye'jin'su'she
美特斯邦威,mei'te'si'bang'wei
梅笑园,mei'xiao'yuan
孟营,meng'ying
梦园,meng'yuan
梦园小区,meng'yuan'xiao'qu
梦园幼儿园,meng'yuan'you'er'yuan
苗营,miao'ying
明珠,ming'zhu
明珠翠竹园,ming'zhu'cui'zhu'yuan
明珠茂林,ming'zhu'mao'lin
明珠小区,ming'zhu'xiao'qu
南菜市,nan'cai'shi
南岱庄,nan'dai'zhuang
南刘庄小区,nan'liu'zhuang'xiao'qu
南门口,nan'men'kou
南旺寺,nan'wang'si
南辛街,nan'xin'jie
南辛庄,nan'xin'zhuang
南辛庄派出所,nan'xin'zhuang'pai'chu'suo
南杨,nan'yang
南杨庄,nan'yang'zhuang
南苑信用社,nan'yuan'xin'yong'she
南张,nan'zhang
南张镇,nan'zhang'zhen
宁建小区,ning'jian'xiao'qu
牛市街,niu'shi'jie
潘家大楼,pan'jia'da'lou
琵琶山,pi'pa'shan
琵琶山小区,pi'pa'shan'xiao'qu
漂亮宝贝,piao'liang'bao'bei
齐鑫花园,qi'xin'hua'yuan
汽运公司,qi'yun'gong'si
前铺村,qian'pu'cun
前四村,qian'si'cun
秦庄,qin'zhuang
秦庄路,qin'zhuang'lu
秦庄市场,qin'zhuang'shi'chang
任城,ren'cheng
任城公路局,ren'cheng'gong'lu'ju
任城路,ren'cheng'lu
任城农业局,ren'cheng'nong'ye'ju
人民医院,ren'min'yi'yuan
荣旺小区,rong'wang'xiao'qu
如雅堂,ru'ya'tang
如意小区,ru'yi'xiao'qu
赛玛特,sai'ma'te
三处宿舍,san'chu'su'she
三二七国道,san'er'qi'guo'dao
三郭,san'guo
三号井,san'hao'jing
三贾,san'jia
三贾办事处,san'jia'ban'shi'chu
三建公司,san'jian'gong'si
三里铺,san'li'pu
三里营,san'li'ying
三神庙,san'shen'miao
三义庙,san'yi'miao
莎蔓莉莎,sha'man'li'sha
莎曼利莎,sha'man'li'sha
山推,shan'tui
山推国际事业园,shan'tui'guo'ji'shi'ye'yuan
山推宿舍,shan'tui'su'she
山推一区,shan'tui'yi'qu
商检局宿舍,shang'jian'ju'su'she
上码头,shang'ma'tou
圣景苑,sheng'jing'yuan
声远舞台,sheng'yuan'wu'tai
生资公司,sheng'zi'gong'si
石佛,shi'fo
市工商银行,shi'gong'shang'yin'hang
世纪宾馆,shi'ji'bin'guan
世纪联华,shi'ji'lian'hua
市技术学院,shi'ji'shu'xue'yuan
十里营,shi'li'ying
石桥,shi'qiao
石桥镇,shi'qiao'zhen
师专高中,shi'zhuan'gao'zhong
师专生活区,shi'zhuan'sheng'huo'qu
曙光宾馆,shu'guang'bin'guan
水岸盛世,shui'an'sheng'shi
水产路,shui'chan'lu
水景花园,shui'jing'hua'yuan
税务街,shui'wu'jie
水箱厂宿舍,shui'xiang'chang'su'she
顺河门,shun'he'men
顺河门外街,shun'he'men'wai'jie
舜泰园,shun'tai'yuan
舜泰园小区,shun'tai'yuan'xiao'qu
丝纲厂,si'gang'chang
宋南小区,song'nan'xiao'qu
苏家,su'jia
苏家村,su'jia'cun
苏州西苑,su'zhou'xi'yuan
孙家街,sun'jia'jie
孙井村,sun'jing'cun
太白楼,tai'bai'lou
太白楼路,tai'bai'lou'lu
太白西路,tai'bai'xi'lu
太白小区,tai'bai'xiao'qu
太东,tai'dong
太东北门,tai'dong'bei'men
太东大市场,tai'dong'da'shi'chang
太东市场,tai'dong'shi'chang
太和桥,tai'he'qiao
太河桥,tai'he'qiao
唐口,tang'kou
唐口煤矿,tang'kou'mei'kuang
唐口镇,tang'kou'zhen
天马转播台宿舍,tian'ma'zhuan'bo'tai'su'she
田庙村,tian'miao'cun
铁路宿舍,tie'lu'su'she
铁塔寺,tie'ta'si
铁塔寺小区,tie'ta'si'xiao'qu
同仁大药房,tong'ren'da'yao'fang
土产公司,tu'chan'gong'si
土管局,tu'guan'ju
外经贸委,wai'jing'mao'wei
外经贸委宿舍,wai'jing'mao'wei'su'she
外塘子街,wai'tang'zi'jie
万佳广场,wan'jia'guang'chang
万锡小区,wan'xi'xiao'qu
望湖小区,wang'hu'xiao'qu
王庙,wang'miao
王母阁,wang'mu'ge
王母阁路,wang'mu'ge'lu
网通家园,wang'tong'jia'yuan
微山县,wei'shan'xian
文昌阁,wen'chang'ge
文大街,wen'da'jie
文化小区,wen'hua'xiao'qu
汶上,wen'shang
五交化宿舍,wu'jiao'hua'su'she
五里营,wu'li'ying
污水处理厂,wu'shui'chu'li'chang
吴泰闸,wu'tai'zha
吴泰闸路,wu'tai'zha'lu
武装部宿舍,wu'zhuang'bu'su'she
西关体育场,xi'guan'ti'yu'chang
西红庙,xi'hong'miao
西柳行,xi'liu'xing
西门,xi'men
西门大街,xi'men'da'jie
西五里营,xi'wu'li'ying
西闸小区,xi'zha'xiao'qu
夏桥批发市场,xia'qiao'pi'fa'shi'chang
仙营,xian'ying
仙营绿地,xian'ying'lv'di
仙营西区,xian'ying'xi'qu
仙营西小区,xian'ying'xi'xiao'qu
仙营小区,xian'ying'xiao'qu
香港大厦,xiang'gang'da'xia
小北湖,xiao'bei'hu
小南门,xiao'nan'men
小松山推,xiao'song'shan'tui
小闸口,xiao'zha'kou
协和医院,xie'he'yi'yuan
谢营,xie'ying
新华小区,xin'hua'xiao'qu
新华新村,xin'hua'xin'cun
新世纪广场,xin'shi'ji'guang'chang
新世纪花园,xin'shi'ji'hua'yuan
新天地花园,xin'tian'di'hua'yuan
新兴小区,xin'xing'xiao'qu
新苑雅居,xin'yuan'ya'ju
欣苑雅居,xin'yuan'ya'ju
兴东小区,xing'dong'xiao'qu
兴隆桥,xing'long'qiao
兴唐经典,xing'tang'jing'dian
秀水城,xiu'shui'cheng
许厂煤矿,xu'chang'mei'kuang
许庄,xu'zhuang
许庄镇,xu'zhuang'zhen
演武路,yan'wu'lu
兖州,yan'zhou
杨柳国际,yang'liu'guo'ji
冶金宿舍,ye'jin'su'she
义河村,yi'he'cun
益民,yi'min
益民东区,yi'min'dong'qu
益民西区,yi'min'xi'qu
益民小区,yi'min'xiao'qu
一天门,yi'tian'men
亿维数码广场,yi'wei'shu'ma'guang'chang
怡心园,yi'xin'yuan
医学院宿舍,yi'xue'yuan'su'she
一尊黄牛,yi'zun'huang'niu
银都,yin'du
银都花园,yin'du'hua'yuan
银都锦绣园,yin'du'jin'xiu'yuan
银都小区,yin'du'xiao'qu
银都怡心,yin'du'yi'xin
银都怡心园,yin'du'yi'xin'yuan
银河胶带,yin'he'jiao'dai
殷营,yin'ying
殷营村,yin'ying'cun
银资小区,yin'zi'xiao'qu
银座,yin'zuo
樱花五金,ying'hua'wu'jin
樱花小区,ying'hua'xiao'qu
樱花园,ying'hua'yuan
樱花园小区,ying'hua'yuan'xiao'qu
邮电局宿舍,you'dian'ju'su'she
油篓巷,you'lou'xiang
育才中学,yu'cai'zhong'xue
玉堂,yu'tang
玉堂酱园,yu'tang'jiang'yuan
于屯,yu'tun
喻屯,yu'tun
于屯村,yu'tun'cun
越河,yue'he
越河街,yue'he'jie
月锈园,yue'xiu'yuan
运河城,yun'he'cheng
运河佳园,yun'he'jia'yuan
运河小区,yun'he'xiao'qu
枣店阁,zao'dian'ge
张飞炖牛,zhang'fei'dun'niu
赵崮墩,zhao'gu'dun
针织厂宿舍,zhen'zhi'chang'su'she
置城国际,zhi'cheng'guo'ji
置城中央公园,zhi'cheng'zhong'yang'gong'yuan
纸纺镇,zhi'fang'zhen
纸中村,zhi'zhong'cun
中华旅馆,zhong'hua'lv'guan
中区法院,zhong'qu'fa'yuan
中区教育局,zhong'qu'jiao'yu'ju
中三里营,zhong'san'li'ying
中心闸,zhong'xin'zha
中苑小区,zhong'yuan'xiao'qu
轴承厂,zhou'cheng'chang
竹竿巷,zhu'gan'xiang
庄景东苑,zhuang'jing'dong'yuan
