阿那克萨戈拉,a'na'ke'sa'ge'la
唯物主义哲学,wei'wu'zhu'yi'zhe'xue
为准则,wei'zhun'ze
文艺复兴时期,wen'yi'fu'xing'shi'qi
无神论者,wu'shen'lun'zhe
无所谓错误,wu'suo'wei'cuo'wu
物性论,wu'xing'lun
系统地,xi'tong'di
现存的只有,xian'cun'de'zhi'you
相互约定,xiang'hu'yue'ding
幸福生活,xing'fu'sheng'huo
修正和发展了,xiu'zheng'he'fa'zhan'le
修正了,xiu'zheng'le
宣传和保存,xuan'chuan'he'bao'cun
学派也称,xue'pai'ye'cheng
学习哲学,xue'xi'zhe'xue
亚里士多德和,ya'li'shi'duo'de'he
延续了,yan'xu'le
伊壁鸠鲁成了,yi'bi'jiu'lu'cheng'le
伊壁鸠鲁的伦理学说,yi'bi'jiu'lu'de'lun'li'xue'shuo
伊壁鸠鲁的社会契约说,yi'bi'jiu'lu'de'she'hui'qi'yue'shuo
伊壁鸠鲁的学说,yi'bi'jiu'lu'de'xue'shuo
伊壁鸠鲁的学说成了,yi'bi'jiu'lu'de'xue'shuo'cheng'le
伊壁鸠鲁的学说广泛,yi'bi'jiu'lu'de'xue'shuo'guang'fan
伊壁鸠鲁的学校里,yi'bi'jiu'lu'de'xue'xiao'li
伊壁鸠鲁的著名学生有,yi'bi'jiu'lu'de'zhu'ming'xue'sheng'you
伊壁鸠鲁的著作多达,yi'bi'jiu'lu'de'zhu'zuo'duo'da
伊壁鸠鲁还认为,yi'bi'jiu'lu'hai'ren'wei
伊壁鸠鲁继承,yi'bi'jiu'lu'ji'cheng
伊壁鸠鲁认为,yi'bi'jiu'lu'ren'wei
伊壁鸠鲁认为感觉,yi'bi'jiu'lu'ren'wei'gan'jue
伊壁鸠鲁认为物体,yi'bi'jiu'lu'ren'wei'wu'ti
伊壁鸠鲁学派,yi'bi'jiu'lu'xue'pai
伊壁鸠鲁学派作为,yi'bi'jiu'lu'xue'pai'zuo'wei
伊壁鸠鲁学说对,yi'bi'jiu'lu'xue'shuo'dui
伊壁鸠鲁学园领袖的,yi'bi'jiu'lu'xue'yuan'ling'xiu'de
以便获得,yi'bian'huo'de
以充满友谊而著称,yi'chong'man'you'yi'er'zhu'cheng
以及古代哲学家,yi'ji'gu'dai'zhe'xue'jia
以及由此而产生的碰撞运动,yi'ji'you'ci'er'chan'sheng'de'peng'zhuang'yun'dong
因此他的,yin'ci'ta'de
因重量而,yin'zhong'liang'er
应当区分,ying'dang'qu'fen
由此伊壁鸠鲁,you'ci'yi'bi'jiu'lu
有关的重量,you'guan'de'zhong'liang
有利于人相互关系的,you'li'yu'ren'xiang'hu'guan'xi'de
有男有女,you'nan'you'nv
有三种运动,you'san'zhong'yun'dong
有无限多差别,you'wu'xian'duo'cha'bie
由于卢克莱修,you'yu'lu'ke'lai'xiu
与原子,yu'yuan'zi
远离政事,yuan'li'zheng'shi
原子论学说,yuan'zi'lun'xue'shuo
原子体积和形状,yuan'zi'ti'ji'he'xing'zhuang
在他自己,zai'ta'zi'ji
在中世纪,zai'zhong'shi'ji
早期启蒙思想家,zao'qi'qi'meng'si'xiang'jia
增加了,zeng'jia'le
这是生活的目的,zhe'shi'sheng'huo'de'mu'di
哲学长诗,zhe'xue'chang'shi
哲学的任务,zhe'xue'de'ren'wu
哲学可以,zhe'xue'ke'yi
哲学思想,zhe'xue'si'xiang
这一特性,zhe'yi'te'xing
正义是,zheng'yi'shi
直接先驱他的伦理思想,zhi'jie'xian'qu'ta'de'lun'li'si'xiang
主要讨论,zhu'yao'tao'lun
准则学论生活,zhun'ze'xue'lun'sheng'huo
自然的本性,zi'ran'de'ben'xing
组成部分,zu'cheng'bu'fen
最高的善,zui'gao'de'shan
最有影响的学派之一,zui'you'ying'xiang'de'xue'pai'zhi'yi
