暗区,an'qu
二尖瓣关闭不全,er'jian'ban'guan'bi'bu'quan
二尖瓣轻度返流,er'jian'ban'qing'du'fan'liu
二漏,er'lou
二窄,er'zhai
法乐氏四联症,fa'yue'shi'si'lian'zheng
返流,fan'liu
范围,fan'wei
房间隔,fang'jian'ge
房间隔连续完整,fang'jian'ge'lian'xu'wan'zheng
房间隔中,fang'jian'ge'zhong
房缺,fang'que
房室不大,fang'shi'bu'da
房室间隔,fang'shi'jian'ge
肺动脉,fei'dong'mai
肺动脉瓣,fei'dong'mai'ban
肺动脉瓣返流,fei'dong'mai'ban'fan'liu
肺动脉主干,fei'dong'mai'zhu'gan
非均质性,fei'jun'zhi'xing
分布不均,fen'bu'bu'jun
分布不均匀,fen'bu'bu'jun'yun
分布均匀,fen'bu'jun'yun
分布欠均匀,fen'bu'qian'jun'yun
分离,fen'li
分叶状,fen'ye'zhuang
峰值流速,feng'zhi'liu'su
腹膜后,fu'mo'hou
腹腔积液,fu'qiang'ji'ye
腹腔内未见液暗区,fu'qiang'nei'wei'jian'ye'an'qu
腹主动脉,fu'zhu'dong'mai
附着囊壁,fu'zhuo'nang'bi
改变体位,gai'bian'ti'wei
改变体位缓慢移动,gai'bian'ti'wei'huan'man'yi'dong
钙化,gai'hua
肝癌,gan'ai
肝包膜,gan'bao'mo
肝胆脾胰未见异常,gan'dan'pi'yi'wei'jian'yi'chang
肝多发囊肿,gan'duo'fa'nang'zhong
肝管,gan'guan
肝静脉变细,gan'jing'mai'bian'xi
肝囊肿,gan'nang'zhong
肝内,gan'nei
肝内胆管,gan'nei'dan'guan
肝内胆管未见扩张,gan'nei'dan'guan'wei'jian'kuo'zhang
肝内分支扩张呈枯枝状,gan'nei'fen'zhi'kuo'zhang'cheng'ku'zhi'zhuang
肝内管道系统受压弯曲,gan'nei'guan'dao'xi'tong'shou'ya'wan'qu
肝内外胆管无扩张,gan'nei'wai'dan'guan'wu'kuo'zhang
肝内血管显示尚清晰,gan'nei'xue'guan'xian'shi'shang'qing'xi
肝内脂肪沉积,gan'nei'zhi'fang'chen'ji
肝内脂质沉积,gan'nei'zhi'zhi'chen'ji
肝偏大,gan'pian'da
肝区回声增强,gan'qu'hui'sheng'zeng'qiang
肝区脂肪沉积,gan'qu'zhi'fang'chen'ji
肝区脂质沉积,gan'qu'zhi'zhi'chen'ji
肝肾间隙,gan'shen'jian'xi
肝肾隐窝,gan'shen'yin'wo
肝实质回声均匀,gan'shi'zhi'hui'sheng'jun'yun
肝实质回声细密,gan'shi'zhi'hui'sheng'xi'mi
肝形态正常,gan'xing'tai'zheng'chang
肝血管瘤,gan'xue'guan'liu
肝胰之间,gan'yi'zhi'jian
肝硬化,gan'ying'hua
肝右后叶,gan'you'hou'ye
肝右静脉,gan'you'jing'mai
肝中静脉,gan'zhong'jing'mai
肝总管扩张,gan'zong'guan'kuo'zhang
肝左静脉,gan'zuo'jing'mai
肝左叶厚,gan'zuo'ye'hou
高低不一,gao'di'bu'yi
高回声团块,gao'hui'sheng'tuan'kuai
高水平回声,gao'shui'ping'hui'sheng
睾丸长径,gao'wan'chang'jing
睾丸肿瘤,gao'wan'zhong'liu
个低回声团块,ge'di'hui'sheng'tuan'kuai
膈下,ge'xia
宫底,gong'di
宫底横径较宽,gong'di'heng'jing'jiao'kuan
宫内见二个胎儿,gong'nei'jian'er'ge'tai'er
宫腔,gong'qiang
宫腔内积血,gong'qiang'nei'ji'xue
宫腔线,gong'qiang'xian
宫腔线居中,gong'qiang'xian'ju'zhong
宫腔线至宫颈处融合卵巢囊肿,gong'qiang'xian'zhi'gong'jing'chu'rong'he'luan'chao'nang'zhong
股骨长,gu'gu'zhang
股浅动脉,gu'qian'dong'mai
股浅静脉,gu'qian'jing'mai
股深动脉,gu'shen'dong'mai
股深静脉,gu'shen'jing'mai
股总动脉,gu'zong'dong'mai
股总静脉,gu'zong'jing'mai
关闭不全,guan'bi'bu'quan
关闭欠佳,guan'bi'qian'jia
管道交通,guan'dao'jiao'tong
管径,guan'jing
管径狭窄,guan'jing'xia'zhai
管径左右对称,guan'jing'zuo'you'dui'chen
管腔,guan'qiang
管腔呈无回声暗区,guan'qiang'cheng'wu'hui'sheng'an'qu
光斑,guang'ban
光斑回声,guang'ban'hui'sheng
光带,guang'dai
光带分隔,guang'dai'fen'ge
光点,guang'dian
光点分布均匀,guang'dian'fen'bu'jun'yun
光点密集,guang'dian'mi'ji
光滑,guang'hua
光环,guang'huan
光环完整,guang'huan'wan'zheng
光团,guang'tuan
光团回声,guang'tuan'hui'sheng
规则,gui'ze
腘动脉,guo'dong'mai
腘静脉,guo'jing'mai
含液性,han'ye'xing
横部,heng'bu
后伴声影,hou'ban'sheng'ying
后方伴,hou'fang'ban
后方伴声影,hou'fang'ban'sheng'ying
后方回声,hou'fang'hui'sheng
后方回声无增强,hou'fang'hui'sheng'wu'zeng'qiang
后方回声增强,hou'fang'hui'sheng'zeng'qiang
后方回声增强效应,hou'fang'hui'sheng'zeng'qiang'xiao'ying
后方声衰减,hou'fang'sheng'shuai'jian
后方无声影,hou'fang'wu'sheng'ying
后方有增强效应,hou'fang'you'zeng'qiang'xiao'ying
厚径,hou'jing
后缘反射增强,hou'yuan'fan'she'zeng'qiang
弧形强回声,hu'xing'qiang'hui'sheng
环状强回声,huan'zhuang'qiang'hui'sheng
回声粗糙,hui'sheng'cu'cao
回声均匀,hui'sheng'jun'yun
回声衰减,hui'sheng'shuai'jian
回声细密,hui'sheng'xi'mi
回声增强,hui'sheng'zeng'qiang
慧星尾征,hui'xing'wei'zheng
混合回声,hun'he'hui'sheng
混合性回声,hun'he'xing'hui'sheng
混合性肿块,hun'he'xing'zhong'kuai
活动好,huo'dong'hao
活动正常,huo'dong'zheng'chang
活胎,huo'tai
肌壁,ji'bi
肌壁回声均匀,ji'bi'hui'sheng'jun'yun
肌层,ji'ceng
基底动脉,ji'di'dong'mai
基底宽,ji'di'kuan
继发胆囊癌,ji'fa'dan'nang'ai
及高速血流,ji'gao'su'xue'liu
集合系统,ji'he'xi'tong
急性炎症,ji'xing'yan'zheng
脊柱,ji'zhu
假肾征,jia'shen'zheng
假性囊肿,jia'xing'nang'zhong
甲状腺未见异常,jia'zhuang'xian'wei'jian'yi'chang
甲状腺腺瘤,jia'zhuang'xian'xian'liu
甲状腺肿大,jia'zhuang'xian'zhong'da
间隙,jian'xi
见一个高回声团块,jian'yi'ge'gao'hui'sheng'tuan'kuai
降主动脉,jiang'zhu'dong'mai
较粗,jiao'cu
较佳,jiao'jia
较密集,jiao'mi'ji
界限,jie'xian
近场增强,jin'chang'zeng'qiang
浸润肌层,jin'run'ji'ceng
颈部未,jing'bu'wei
颈部肿大淋巴结影,jing'bu'zhong'da'lin'ba'jie'ying
颈动脉未见异常,jing'dong'mai'wei'jian'yi'chang
颈动脉硬化,jing'dong'mai'ying'hua
胫后动脉,jing'hou'dong'mai
胫后静脉,jing'hou'jing'mai
颈静脉受压凹陷,jing'jing'mai'shou'ya'ao'xian
经颅多普勒超声,jing'lu'duo'pu'le'chao'sheng
颈内动脉,jing'nei'dong'mai
胫前动脉,jing'qian'dong'mai
胫前静脉,jing'qian'jing'mai
经食道,jing'shi'dao
经食道超声,jing'shi'dao'chao'sheng
颈外动脉,jing'wai'dong'mai
经阴道,jing'yin'dao
经阴道超声,jing'yin'dao'chao'sheng
经直肠,jing'zhi'chang
经直肠前列腺,jing'zhi'chang'qian'lie'xian
经直肠前列腺超声,jing'zhi'chang'qian'lie'xian'chao'sheng
颈总动脉,jing'zong'dong'mai
局部结节状增生,ju'bu'jie'jie'zhuang'zeng'sheng
锯齿状,ju'chi'zhuang
局限性,ju'xian'xing
局限性胆囊壁增厚,ju'xian'xing'dan'nang'bi'zeng'hou
局限性积液,ju'xian'xing'ji'ye
局限性增大,ju'xian'xing'zeng'da
局限性脂肪肝待除外,ju'xian'xing'zhi'fang'gan'dai'chu'wai
居中,ju'zhong
均匀分布,jun'yun'fen'bu
均匀性扩张,jun'yun'xing'kuo'zhang
均质性,jun'zhi'xing
开放受限,kai'fang'shou'xian
可见该光团在尿液中晃动,ke'jian'gai'guang'tuan'zai'niao'ye'zhong'huang'dong
可疑,ke'yi
宽径,kuan'jing
扩张,kuo'zhang
肋膈角,lei'ge'jiao
肋间,lei'jian
连续完整,lian'xu'wan'zheng
连续性差,lian'xu'xing'cha
连续性好,lian'xu'xing'hao
连续中断,lian'xu'zhong'duan
两侧,liang'ce
淋巴结肿大,lin'ba'jie'zhong'da
瘤栓,liu'shuan
瘤体,liu'ti
颅骨圆形光环,lu'gu'yuan'xing'guang'huan
卵巢,luan'chao
卵巢多囊样改变,luan'chao'duo'nang'yang'gai'bian
卵巢畸胎瘤,luan'chao'ji'tai'liu
卵泡,luan'pao
轮廓,lun'kuo
轮廓不清,lun'kuo'bu'qing
轮廓粗糙,lun'kuo'cu'cao
轮廓光滑,lun'kuo'guang'hua
轮廓清晰,lun'kuo'qing'xi
马蹄肾,ma'ti'shen
脉冲多普勒,mai'chong'duo'pu'le
慢性肝病,man'xing'gan'bing
毛糙,mao'cao
门静脉主干内径,men'jing'mai'zhu'gan'nei'jing
门静脉主干未见异常,men'jing'mai'zhu'gan'wei'jian'yi'chang
门静脉左支,men'jing'mai'zuo'zhi
门脉内,men'mai'nei
密集,mi'ji
弥漫性,mi'man'xing
面包圈征,mian'bao'quan'zheng
面包征,mian'bao'zheng
明亮回声,ming'liang'hui'sheng
模糊,mo'hu
膜周部,mo'zhou'bu
囊壁光滑,nang'bi'guang'hua
囊壁毛糙,nang'bi'mao'cao
囊壁向囊腔内突出,nang'bi'xiang'nang'qiang'nei'tu'chu
囊壁增厚,nang'bi'zeng'hou
囊袋状,nang'dai'zhuang
囊内见,nang'nei'jian
囊实性肿块,nang'shi'xing'zhong'kuai
囊腺瘤,nang'xian'liu
囊性,nang'xing
内部光点分布均匀,nei'bu'guang'dian'fen'bu'jun'yun
内部回声,nei'bu'hui'sheng
内部回声不均匀,nei'bu'hui'sheng'bu'jun'yun
内部回声呈筛网状,nei'bu'hui'sheng'cheng'shai'wang'zhuang
内部回声细小均匀,nei'bu'hui'sheng'xi'xiao'jun'yun
内部透声佳,nei'bu'tou'sheng'jia
内部为等回声,nei'bu'wei'deng'hui'sheng
内见密集光点,nei'jian'mi'ji'guang'dian
内径,nei'jing
内径稍增宽,nei'jing'shao'zeng'kuan
内膜薄而光滑,nei'mo'bo'er'guang'hua
内上,nei'shang
内上象限,nei'shang'xiang'xian
内外腺,nei'wai'xian
内未见结石和肿块,nei'wei'jian'jie'shi'he'zhong'kuai
内未见异常回声,nei'wei'jian'yi'chang'hui'sheng
内下,nei'xia
内下象限,nei'xia'xiang'xian
内腺,nei'xian
内有细小均匀回声,nei'you'xi'xiao'jun'yun'hui'sheng
逆向运动,ni'xiang'yun'dong
颞窗,nie'chuang
牛眼征,niu'yan'zheng
拍击膀胱时,pai'ji'pang'guang'shi
膀胱壁回声零乱不清,pang'guang'bi'hui'sheng'ling'luan'bu'qing
膀胱充盈好,pang'guang'chong'ying'hao
膀胱充盈佳,pang'guang'chong'ying'jia
膀胱入口处,pang'guang'ru'kou'chu
膀胱液性暗区内,pang'guang'ye'xing'an'qu'nei
膀胱直肠窝,pang'guang'zhi'chang'wo
膀胱肿瘤,pang'guang'zhong'liu
盆腔探查,pen'qiang'tan'cha
盆腔未见明显液性暗区,pen'qiang'wei'jian'ming'xian'ye'xing'an'qu
盆腔未见液暗区,pen'qiang'wei'jian'ye'an'qu
盆腔未见液性暗区,pen'qiang'wei'jian'ye'xing'an'qu
膨大,peng'da
脾长径,pi'chang'jing
脾厚,pi'hou
脾静脉内径无扩张,pi'jing'mai'nei'jing'wu'kuo'zhang
脾静脉增宽,pi'jing'mai'zeng'kuan
脾内回声均匀,pi'nei'hui'sheng'jun'yun
脾偏大,pi'pian'da
脾肾隐窝,pi'shen'yin'wo
脾实质回声均匀,pi'shi'zhi'hui'sheng'jun'yun
皮髓质分界清,pi'sui'zhi'fen'jie'qing
皮质,pi'zhi
脾肿大,pi'zhong'da
片状,pian'zhuang
频谱,pin'pu
频谱多普勒,pin'pu'duo'pu'le
脐带压迹,qi'dai'ya'ji
气管移位,qi'guan'yi'wei
骑跨度约,qi'kua'du'yue
骑跨于室间隔之上,qi'kua'yu'shi'jian'ge'zhi'shang
其内未见光团及积液,qi'nei'wei'jian'guang'tuan'ji'ji'ye
髂外动脉,qia'wai'dong'mai
髂外静脉,qia'wai'jing'mai
欠光滑,qian'guang'hua
前后径,qian'hou'jing
前列腺穿刺,qian'lie'xian'chuan'ci
前列腺大小,qian'lie'xian'da'xiao
前列腺囊肿,qian'lie'xian'nang'zhong
前列腺增大,qian'lie'xian'zeng'da
前列腺增大呈球状,qian'lie'xian'zeng'da'cheng'qiu'zhuang
前置胎盘,qian'zhi'tai'pan
强光带,qiang'guang'dai
强光点,qiang'guang'dian
强光团,qiang'guang'tuan
强回声,qiang'hui'sheng
强回声钙化斑,qiang'hui'sheng'gai'hua'ban
强回声光斑,qiang'hui'sheng'guang'ban
强回声团,qiang'hui'sheng'tuan
强回声团块,qiang'hui'sheng'tuan'kuai
腔内超声,qiang'nei'chao'sheng
切面形态正常,qie'mian'xing'tai'zheng'chang
轻度返流,qing'du'fan'liu
轻度狭窄,qing'du'xia'zhai
轻度增大,qing'du'zeng'da
清晰未见占位,qing'xi'wei'jian'zhan'wei
轻中度返流,qing'zhong'du'fan'liu
轻中度狭窄,qing'zhong'du'xia'zhai
绒毛膜与蜕膜分离,rong'mao'mo'yu'tui'mo'fen'li
乳腺导管未见扩张,ru'xian'dao'guan'wei'jian'kuo'zhang
乳腺未见异常,ru'xian'wei'jian'yi'chang
乳腺纤维瘤,ru'xian'xian'wei'liu
锐利,rui'li
弱回声,ruo'hui'sheng
弱声影,ruo'sheng'ying
三尖瓣返流,san'jian'ban'fan'liu
沙石,sha'shi
扇形,shan'xing
尚佳,shang'jia
上腔静脉,shang'qiang'jing'mai
上下径,shang'xia'jing
稍强回声,shao'qiang'hui'sheng
射精管囊肿,she'jing'guan'nang'zhong
射血分数,she'xue'fen'shu
肾癌,shen'ai
肾被膜回声中断,shen'bei'mo'hui'sheng'zhong'duan
肾窦,shen'dou
肾窦回声变形,shen'dou'hui'sheng'bian'xing
肾多发性囊肿,shen'duo'fa'xing'nang'zhong
肾发育不全,shen'fa'yu'bu'quan
肾活动不受限,shen'huo'dong'bu'shou'xian
肾积水,shen'ji'shui
肾结石,shen'jie'shi
肾界线消失,shen'jie'xian'xiao'shi
肾静脉,shen'jing'mai
肾门,shen'men
肾囊肿,shen'nang'zhong
肾内充满,shen'nei'chong'man
肾皮质,shen'pi'zhi
肾皮质变薄,shen'pi'zhi'bian'bao
肾上极,shen'shang'ji
肾上腺腺体,shen'shang'xian'xian'ti
肾上腺肿瘤,shen'shang'xian'zhong'liu
肾实质,shen'shi'zhi
肾实质厚度正常,shen'shi'zhi'hou'du'zheng'chang
肾实质回声,shen'shi'zhi'hui'sheng
肾输尿管膀胱前列腺未见异常,shen'shu'niao'guan'pang'guang'qian'lie'xian'wei'jian'yi'chang
肾髓质,shen'sui'zhi
肾外形,shen'wai'xing
肾盂,shen'yu
肾盂分离,shen'yu'fen'li
肾盏扩张,shen'zhan'kuo'zhang
肾盏与肾盂相连续,shen'zhan'yu'shen'yu'xiang'lian'xu
肾锥体,shen'zhui'ti
声衰减,sheng'shuai'jian
声影,sheng'ying
声影不明显,sheng'ying'bu'ming'xian
声晕,sheng'yun
室间隔,shi'jian'ge
室间隔嵴,shi'jian'ge'ji
室间隔上段,shi'jian'ge'shang'duan
室缺,shi'que
实性肿块,shi'xing'zhong'kuai
实质暗区,shi'zhi'an'qu
实质内,shi'zhi'nei
实质性回声,shi'zhi'xing'hui'sheng
实质性肿块,shi'zhi'xing'zhong'kuai
矢状部,shi'zhuang'bu
受压变形,shou'ya'bian'xing
输卵管积水,shu'luan'guan'ji'shui
输尿管结石肾积水,shu'niao'guan'jie'shi'shen'ji'shui
输尿管扩张,shu'niao'guan'kuo'zhang
衰减暗区,shuai'jian'an'qu
双侧附件区,shuang'ce'fu'jian'qu
双侧附件未见明显肿块,shuang'ce'fu'jian'wei'jian'ming'xian'zhong'kuai
双侧甲状腺内,shuang'ce'jia'zhuang'xian'nei
双侧乳腺,shuang'ce'ru'xian
双侧输尿管未见扩张,shuang'ce'shu'niao'guan'wei'jian'kuo'zhang
双侧输尿管无扩张,shuang'ce'shu'niao'guan'wu'kuo'zhang
双顶径,shuang'ding'jing
双附件未见明显肿块回声,shuang'fu'jian'wei'jian'ming'xian'zhong'kuai'hui'sheng
双环征,shuang'huan'zheng
双颈动脉,shuang'jing'dong'mai
双髂外静脉,shuang'qia'wai'jing'mai
双肾外周滑,shuang'shen'wai'zhou'hua
双肾形态正常,shuang'shen'xing'tai'zheng'chang
双肾盏可见多个强光团,shuang'shen'zhan'ke'jian'duo'ge'qiang'guang'tuan
双胎妊娠,shuang'tai'ren'shen
双下肢动脉走行正常,shuang'xia'zhi'dong'mai'zou'xing'zheng'chang
双子宫,shuang'zi'gong
死胎,si'tai
随呼吸的改变减弱,sui'hu'xi'de'gai'bian'jian'ruo
随体位改变不移动,sui'ti'wei'gai'bian'bu'yi'dong
随体位改变而移动,sui'ti'wei'gai'bian'er'yi'dong
碎屑,sui'xie
缩小,suo'xiao
胎儿,tai'er
胎儿回声,tai'er'hui'sheng
胎盘,tai'pan
胎盘覆盖,tai'pan'fu'gai
胎盘早剥,tai'pan'zao'bo
胎头,tai'tou
胎心率,tai'xin'lv
探头加压,tan'tou'jia'ya
陶氏窝未见液暗区内见多个,tao'shi'wo'wei'jian'ye'an'qu'nei'jian'duo'ge
体积明显增大,ti'ji'ming'xian'zeng'da
凸向膀胱腔,tu'xiang'pang'guang'qiang
图像质量不佳,tu'xiang'zhi'liang'bu'jia
图像质量差,tu'xiang'zhi'liang'cha
图像质量较佳,tu'xiang'zhi'liang'jiao'jia
图像质量欠佳,tu'xiang'zhi'liang'qian'jia
团块边界清,tuan'kuai'bian'jie'qing
团块状回声,tuan'kuai'zhuang'hui'sheng
湍流频谱,tuan'liu'pin'pu
驼峰征,tuo'feng'zheng
椭圆形,tuo'yuan'xing
外上,wai'shang
外上象限,wai'shang'xiang'xian
外下,wai'xia
外下象限,wai'xia'xiang'xian
外腺,wai'xian
晚孕,wan'yun
未见斑块回声,wei'jian'ban'kuai'hui'sheng
未见包块回声,wei'jian'bao'kuai'hui'sheng
未见过隔血流信号,wei'jian'guo'ge'xue'liu'xin'hao
未见结石回声,wei'jian'jie'shi'hui'sheng
未见明显占位,wei'jian'ming'xian'zhan'wei
未见明显肿块回声,wei'jian'ming'xian'zhong'kuai'hui'sheng
未见异常,wei'jian'yi'chang
未见异常回声,wei'jian'yi'chang'hui'sheng
未见增厚,wei'jian'zeng'hou
未见占位,wei'jian'zhan'wei
未见占位性病变,wei'jian'zhan'wei'xing'bing'bian
萎缩,wei'suo
未显示结石回声,wei'xian'shi'jie'shi'hui'sheng
无包膜,wu'bao'mo
无蒂,wu'di
无回声,wu'hui'sheng
无回声区,wu'hui'sheng'qu
无回声声影,wu'hui'sheng'sheng'ying
无明显声影,wu'ming'xian'sheng'ying
无声影,wu'sheng'ying
细点状,xi'dian'zhuang
稀疏散在,xi'shu'san'zai
细小点状回声,xi'xiao'dian'zhuang'hui'sheng
下腹腔,xia'fu'qiang
下腹未见液性暗区,xia'fu'wei'jian'ye'xing'an'qu
下腔静脉,xia'qiang'jing'mai
下肢动脉未见异常,xia'zhi'dong'mai'wei'jian'yi'chang
下肢动脉硬化,xia'zhi'dong'mai'ying'hua
下肢静脉,xia'zhi'jing'mai
下肢深静脉血栓形成,xia'zhi'shen'jing'mai'xue'shuan'xing'cheng
显示,xian'shi
显示不清,xian'shi'bu'qing
显示清晰,xian'shi'qing'xi
腺体层,xian'ti'ceng
腺体组织回声正常,xian'ti'zu'zhi'hui'sheng'zheng'chang
线条状回声,xian'tiao'zhuang'hui'sheng
向外凸起,xiang'wai'tu'qi
小隐静脉,xiao'yin'jing'mai
心包积液,xin'bao'ji'ye
心梗,xin'geng
心率,xin'lv
心脏正常,xin'zang'zheng'chang
形肾,xing'shen
形态,xing'tai
形态轮廓正常,xing'tai'lun'kuo'zheng'chang
形状不规则,xing'zhuang'bu'gui'ze
形状欠规则,xing'zhuang'qian'gui'ze
胸腔积液,xiong'qiang'ji'ye
修补术后,xiu'bu'shu'hou
血管瘤,xue'guan'liu
血管平滑肌脂肪瘤,xue'guan'ping'hua'ji'zhi'fang'liu
血管走向自然,xue'guan'zou'xiang'zi'ran
血流曲线,xue'liu'qu'xian
血流速度增快,xue'liu'su'du'zeng'kuai
血吸虫性肝病,xue'xi'chong'xing'gan'bing
压瘪搏动消失,ya'bie'bo'dong'xiao'shi
羊水,yang'shui
羊水厚,yang'shui'hou
液实混合性团块,ye'shi'hun'he'xing'tuan'kuai
液性暗区,ye'xing'an'qu
液性暗区深,ye'xing'an'qu'shen
异常血流信号及频谱,yi'chang'xue'liu'xin'hao'ji'pin'pu
异常血流征,yi'chang'xue'liu'zheng
胰管扩张,yi'guan'kuo'zhang
胰管未见扩张,yi'guan'wei'jian'kuo'zhang
疑似,yi'si
胰体厚,yi'ti'hou
胰头厚,yi'tou'hou
胰尾厚,yi'wei'hou
胰腺大小正常,yi'xian'da'xiao'zheng'chang
胰腺周围,yi'xian'zhou'wei
一周后复查,yi'zhou'hou'fu'cha
有包膜,you'bao'mo
右侧肩胛线,you'ce'jian'jia'xian
右侧卵巢,you'ce'luan'chao
有蒂,you'di
右房,you'fang
右肝管,you'gan'guan
右肝静脉,you'gan'jing'mai
右肝实性占位性病变,you'gan'shi'xing'zhan'wei'xing'bing'bian
右肝斜径,you'gan'xie'jing
